VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,CLINTON,BCPERSON,HOU,XWAY2000,ISSUE,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,35.0,11.0,42.0,THIRD CALL,30-39,WHITE,MALE,GORE,CONRAD,HOEVEN,APPROVE,UNFAVORABLE,POMEROY,GORE,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,INDEPEND,COLGRAD,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.893
STATE ONLY,35.0,11.0,43.0,THIRD CALL,30-39,WHITE,MALE,BUSH,CONRAD,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,ECON/JOBS,DOLE,SAME,DIS/UNFAV,INDEPEND,HSGRAD,CATHOLIC,75-100K,LIBERAL,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.8130000000000001
STATE ONLY,35.0,11.0,44.0,THIRD CALL,18-24,WHITE,MALE,GORE,CONRAD,HEITKAMP,APPROVE,FAVORABLE,POMEROY,GORE,ECON/JOBS,PEROT,SAME,APP/FAV,INDEPEND,COLGRAD,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,SOUTH,18-29,18-24,IND/OTHER,18-24,CATHOLIC,,,0.779
STATE ONLY,35.0,14.0,1.0,FIRST CALL,18-24,OTHER,FEMALE,GORE,CONRAD,HEITKAMP,APPROVE,UNFAVORABLE,DORSO,GORE,EDUCATION,NOVOTE,SAME,APP/UNFAV,DEMOCRAT,HSGRAD,PROTESTANT,LESS15K,LIBERAL,18-64,STATE,COMPLETE,EAST,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,1.283
STATE ONLY,35.0,14.0,2.0,FIRST CALL,65-74,WHITE,MALE,GORE,SAND,HEITKAMP,DISAPPR,UNFAVORABLE,DORSO,GORE,MEDICARE/RX,DOLE,SAME,DIS/UNFAV,INDEPEND,HSGRAD,PROTESTANT,30-50K,CONSERV,65+,STATE,COMPLETE,EAST,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.1300000000000001
STATE ONLY,35.0,14.0,3.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,CONRAD,HEITKAMP,APPROVE,FAVORABLE,POMEROY,GORE,HEALTHCARE,CLINTON,WORSE,APP/FAV,DEMOCRAT,,PROTESTANT,,,65+,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.137
STATE ONLY,35.0,14.0,4.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,CONRAD,HEITKAMP,APPROVE,FAVORABLE,POMEROY,GORE,SOCIALSECUR,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,15-30K,MODERATE,65+,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.137
STATE ONLY,35.0,14.0,5.0,FIRST CALL,65-74,,MALE,GORE,CONRAD,HEITKAMP,APPROVE,OMITS,POMEROY,GORE,SOCIALSECUR,CLINTON,BETTER,OMITS,DEMOCRAT,,PROTESTANT,15-30K,MODERATE,65+,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.219
STATE ONLY,35.0,14.0,6.0,FIRST CALL,65-74,WHITE,MALE,BUSH,SAND,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,MEDICARE/RX,DOLE,SAME,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,65+,STATE,COMPLETE,EAST,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.331
STATE ONLY,35.0,14.0,7.0,FIRST CALL,40-44,WHITE,MALE,NADER,CONRAD,HOEVEN,APPROVE,FAVORABLE,POMEROY,WOULDNOTVOTE,ECON/JOBS,OMITS,SAME,APP/FAV,ELSE,HSGRAD,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,EAST,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.809
STATE ONLY,35.0,14.0,8.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,CONRAD,HEITKAMP,OMITS,OMITS,POMEROY,GORE,WORLDAFFAIRS,CLINTON,OMITS,OMITS,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,,LIBERAL,18-64,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,1.35
STATE ONLY,35.0,14.0,9.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,CONRAD,HEITKAMP,APPROVE,UNFAVORABLE,POMEROY,GORE,MEDICARE/RX,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HSGRAD,CATHOLIC,LESS15K,MODERATE,65+,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.137
STATE ONLY,35.0,14.0,10.0,FIRST CALL,40-44,WHITE,MALE,BUSH,SAND,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,TAXES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,NONE,30-50K,CONSERV,18-64,STATE,COMPLETE,EAST,30-44,40-49,REPUBLICAN,40-49,NONE,,,1.583
STATE ONLY,35.0,14.0,11.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,CONRAD,HOEVEN,APPROVE,FAVORABLE,POMEROY,GORE,HEALTHCARE,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,EAST,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.35
STATE ONLY,35.0,14.0,12.0,FIRST CALL,50-59,WHITE,MALE,GORE,SAND,HEITKAMP,APPROVE,FAVORABLE,DORSO,GORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.346
STATE ONLY,35.0,14.0,13.0,FIRST CALL,65-74,ASIAN,FEMALE,GORE,SAND,HOEVEN,APPROVE,FAVORABLE,DORSO,GORE,TAXES,CLINTON,SAME,APP/FAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,,LIBERAL,65+,STATE,COMPLETE,EAST,60+,60+,REPUBLICAN,65+,CATHOLIC,,,1.051
STATE ONLY,35.0,14.0,14.0,FIRST CALL,50-59,WHITE,MALE,BUSH,SAND,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,TAXES,PEROT,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,EAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.583
STATE ONLY,35.0,14.0,15.0,FIRST CALL,30-39,WHITE,MALE,BUSH,CONRAD,HOEVEN,APPROVE,FAVORABLE,POMEROY,BUSH,ECON/JOBS,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.705
STATE ONLY,35.0,14.0,16.0,FIRST CALL,30-39,WHITE,MALE,GORE,CONRAD,HEITKAMP,APPROVE,FAVORABLE,POMEROY,GORE,OMITS,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,NONE,30-50K,MODERATE,18-64,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,NONE,,,1.45
STATE ONLY,35.0,14.0,17.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,CONRAD,HEITKAMP,APPROVE,OMITS,POMEROY,GORE,WORLDAFFAIRS,CLINTON,BETTER,OMITS,INDEPEND,COLGRAD,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.35
STATE ONLY,35.0,14.0,18.0,FIRST CALL,60-64,WHITE,MALE,GORE,CONRAD,HEITKAMP,APPROVE,FAVORABLE,POMEROY,GORE,WORLDAFFAIRS,PEROT,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,15-30K,LIBERAL,18-64,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,1.219
STATE ONLY,35.0,14.0,19.0,FIRST CALL,50-59,WHITE,MALE,BUSH,CONRAD,HOEVEN,DISAPPR,UNFAVORABLE,POMEROY,BUSH,MEDICARE/RX,CLINTON,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,EAST,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,,,1.705
STATE ONLY,35.0,14.0,20.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,CONRAD,HEITKAMP,APPROVE,UNFAVORABLE,POMEROY,GORE,ECON/JOBS,DOLE,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,PROTESTANT,30-50K,LIBERAL,18-64,STATE,COMPLETE,EAST,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,1.211
STATE ONLY,35.0,14.0,21.0,SECOND CALL,18-24,WHITE,MALE,BUSH,CONRAD,HOEVEN,DISAPPR,UNFAVORABLE,POMEROY,BUSH,TAXES,NOVOTE,BETTER,DIS/UNFAV,INDEPEND,HSGRAD,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,EAST,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,1.5330000000000001
STATE ONLY,35.0,14.0,22.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,CONRAD,HOEVEN,DISAPPR,UNFAVORABLE,POMEROY,BUSH,HEALTHCARE,CLINTON,WORSE,DIS/UNFAV,DEMOCRAT,HSGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.589
