VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,ENVIRON,UNION4,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,MSCASE,TELEPOLL,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,48.0,4.0,11.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,CANTWELL,LOCKE,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,WORLDAFFAIRS,GOODJUDGMENT,NO,CLINTON,OMITS,NONE,SAME,APP/FAV,NO,DEMOCRAT,10-50K,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,30-50K,YES,YES,LIBERAL,18-64,OMITS,NOTMUCH,EXITPOLL,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,BOTH,BOTH,ISSUES,,,0.218
STATE ONLY,48.0,4.0,12.0,SECOND CALL,45-49,WHITE,MALE,BUSH,GORTON,CARLSON,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,OMITS,HONEST,YES,DOLE,OMITS,NONE,SAME,DIS/UNFAV,YES,REPUBLCN,10-50K,COLGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,SOMEWHAT,EXITPOLL,STATE,COMPLETE,EAST,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,0.303
STATE ONLY,48.0,4.0,13.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,CANTWELL,LOCKE,DISAPPR,FAVORABLE,GORE,OMITS,SMCITY/RURAL,ECON/JOBS,COMPLEXISSUE,NO,CLINTON,PROENVIR,NONE,BETTER,DIS/FAV,YES,INDEPEND,10-50K,POSTGRAD,JEWISH,AFEWAMONTH,75-100K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,NOTATALL,EXITPOLL,STATE,COMPLETE,EAST,45-59,40-49,IND/OTHER,40-49,JEWISH,ONLYBUSH,BOTH,ISSUES,,,0.218
STATE ONLY,48.0,4.0,14.0,SECOND CALL,30-39,WHITE,MALE,BUSH,CANTWELL,CARLSON,APPROVE,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,EDUCATION,COMPLEXISSUE,YES,PEROT,PROENVIR,NONE,WORSE,APP/UNFAV,NO,INDEPEND,10-50K,HSGRAD,OTHERCHRIST,NEVER,LESS15K,NO,NO,MODERATE,18-64,SOCIALSECURI,NOTATALL,EXITPOLL,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,0.22
STATE ONLY,48.0,4.0,15.0,SECOND CALL,50-59,OTHER,MALE,BUSH,GORTON,LOCKE,OMITS,OMITS,OMITS,MORE,SMCITY/RURAL,OMITS,HONEST,NO,OMITS,OMITS,,OMITS,,,,10-50K,,,OMITS,,,,,18-64,OMITS,OMITS,EXITPOLL,STATE,NOTCOMPLETE,EAST,45-59,50-59,,50-64,,OMITS,OMITS,OMITS,,,0.28400000000000003
STATE ONLY,48.0,4.0,16.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,GORTON,CARLSON,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,OMITS,OMITS,YES,DOLE,PROGRWTH,NONE,WORSE,DIS/UNFAV,NO,REPUBLCN,10-50K,HSGRAD,PROTESTANT,MORETHAN1AWK,LESS15K,YES,NO,MODERATE,65+,OMITS,GREATDEAL,EXITPOLL,STATE,COMPLETE,EAST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,0.357
STATE ONLY,48.0,4.0,17.0,SECOND CALL,65-74,WHITE,MALE,BUSH,GORTON,CARLSON,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,OMITS,OMITS,YES,CLINTON,PROGRWTH,NONE,WORSE,DIS/UNFAV,NO,REPUBLCN,10-50K,NOHS,PROTESTANT,MORETHAN1AWK,LESS15K,YES,NO,CONSERV,65+,SOCIALSECURI,NOTATALL,EXITPOLL,STATE,COMPLETE,EAST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,NEITHER,ONLYGORE,PERSONALQUAL,,,0.372
STATE ONLY,48.0,4.0,18.0,SECOND CALL,30-39,WHITE,MALE,NADER,CANTWELL,,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,EDUCATION,GOODJUDGMENT,NO,PEROT,PROENVIR,NONE,BETTER,DIS/UNFAV,YES,INDEPEND,10-50K,SOMCOL/ASSOC,ELSE,AFEWAYEAR,30-50K,NO,YES,MODERATE,18-64,SOCIALSECURI,NOTATALL,EXITPOLL,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,OTHER,NEITHER,BOTH,PERSONALQUAL,,,0.115
STATE ONLY,48.0,4.0,19.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,CANTWELL,LOCKE,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,COMPLEXISSUE,NO,PEROT,PROGRWTH,NONE,SAME,DIS/UNFAV,NO,REPUBLCN,10-50K,SOMCOL/ASSOC,NONE,NEVER,15-30K,YES,YES,MODERATE,18-64,SOCIALSECURI,NOTMUCH,EXITPOLL,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,NONE,BOTH,BOTH,ISSUES,,,0.198
STATE ONLY,48.0,4.0,20.0,SECOND CALL,30-39,WHITE,FEMALE,NADER,CANTWELL,LOCKE,DISAPPR,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,EDUCATION,COMPLEXISSUE,NO,PEROT,PROGRWTH,SOMEONEELSE,SAME,DIS/UNFAV,NO,DEMOCRAT,10-50K,COLGRAD,CATHOLIC,AFEWAYEAR,15-30K,NO,YES,MODERATE,18-64,OTHRPROGRAMS,NOTMUCH,EXITPOLL,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,NEITHER,BOTH,PERSONALQUAL,,,0.106
STATE ONLY,48.0,4.0,21.0,SECOND CALL,45-49,WHITE,MALE,BUSH,GORTON,LOCKE,APPROVE,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,ECON/JOBS,STRONGLEADER,NO,DOLE,PROGRWTH,ME,WORSE,APP/UNFAV,YES,INDEPEND,10-50K,,,OMITS,,YES,NO,,18-64,SOCIALSECURI,GREATDEAL,EXITPOLL,STATE,COMPLETE,EAST,45-59,40-49,IND/OTHER,40-49,,ONLYBUSH,BOTH,ISSUES,,,0.28400000000000003
STATE ONLY,48.0,4.0,22.0,SECOND CALL,30-39,WHITE,MALE,BUSH,CANTWELL,LOCKE,DISAPPR,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,WORLDAFFAIRS,OMITS,NO,NOVOTE,PROGRWTH,NONE,WORSE,DIS/UNFAV,YES,INDEPEND,10-50K,COLGRAD,PROTESTANT,AFEWAYEAR,30-50K,YES,NO,LIBERAL,18-64,SOCIALSECURI,NOTMUCH,EXITPOLL,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,NEITHER,BOTH,ISSUES,,,0.20600000000000002
STATE ONLY,48.0,4.0,23.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,GORTON,CARLSON,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,WORLDAFFAIRS,HONEST,NO,DOLE,PROGRWTH,NONE,SAME,DIS/UNFAV,YES,REPUBLCN,10-50K,POSTGRAD,PROTESTANT,AFEWAMONTH,50-75K,NO,NO,MODERATE,18-64,SOCIALSECURI,GREATDEAL,EXITPOLL,STATE,COMPLETE,EAST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,0.29
STATE ONLY,48.0,4.0,24.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,CANTWELL,LOCKE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,WORLDAFFAIRS,COMPLEXISSUE,NO,CLINTON,PROGRWTH,NONE,BETTER,APP/FAV,YES,DEMOCRAT,10-50K,SOMCOL/ASSOC,ELSE,NEVER,30-50K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,NOTMUCH,EXITPOLL,STATE,COMPLETE,EAST,18-29,25-29,DEMOCRAT,25-29,OTHER,ONLYGORE,ONLYBUSH,ISSUES,,,0.29
STATE ONLY,48.0,4.0,25.0,THIRD CALL,30-39,WHITE,MALE,OTHER,OTHER,OTHER,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,LESS,SMCITY/RURAL,TAXES,CARES,NO,NOVOTE,PROENVIR,NONE,SAME,DIS/UNFAV,NO,ELSE,10-50K,SOMCOL/ASSOC,ELSE,ONCEAWEEK,LESS15K,NO,NO,MODERATE,18-64,REDUCNATDEBT,NOTMUCH,EXITPOLL,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,OTHER,NEITHER,BOTH,ISSUES,,,0.5720000000000001
STATE ONLY,48.0,4.0,26.0,THIRD CALL,30-39,ASIAN,FEMALE,BUSH,GORTON,CARLSON,OMITS,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,OMITS,GOODJUDGMENT,NO,NOVOTE,PROGRWTH,NONE,BETTER,OMITS,YES,REPUBLCN,10-50K,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,15-30K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,SOMEWHAT,EXITPOLL,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,BOTH,BOTH,ISSUES,,,0.29
STATE ONLY,48.0,4.0,27.0,THIRD CALL,50-59,WHITE,MALE,GORE,CANTWELL,LOCKE,APPROVE,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,WORLDAFFAIRS,EXPERIENCE,NO,CLINTON,PROENVIR,NONE,BETTER,APP/UNFAV,YES,INDEPEND,10-50K,POSTGRAD,PROTESTANT,NEVER,50-75K,YES,YES,LIBERAL,18-64,REDUCNATDEBT,NOTMUCH,EXITPOLL,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,0.227
STATE ONLY,48.0,4.0,28.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,CANTWELL,LOCKE,APPROVE,UNFAVORABLE,GORE,LESS,SMCITY/RURAL,TAXES,EXPERIENCE,NO,NOVOTE,PROENVIR,NONE,SAME,APP/UNFAV,YES,ELSE,10-50K,NOHS,NONE,NEVER,30-50K,NO,YES,MODERATE,18-64,SOCIALSECURI,NOTATALL,EXITPOLL,STATE,COMPLETE,EAST,18-29,25-29,IND/OTHER,25-29,NONE,BOTH,BOTH,ISSUES,,,0.29
STATE ONLY,48.0,4.0,29.0,THIRD CALL,30-39,WHITE,MALE,GORE,CANTWELL,LOCKE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,WORLDAFFAIRS,CARES,NO,NOVOTE,PROENVIR,NONE,OMITS,APP/FAV,YES,INDEPEND,10-50K,NOHS,ELSE,NEVER,30-50K,NO,NO,CONSERV,18-64,REDUCNATDEBT,NOTATALL,EXITPOLL,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,OTHER,ONLYGORE,BOTH,ISSUES,,,0.227
STATE ONLY,48.0,4.0,30.0,THIRD CALL,30-39,WHITE,MALE,BUSH,GORTON,CARLSON,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,WORLDAFFAIRS,STRONGLEADER,NO,DOLE,PROGRWTH,NONE,BETTER,DIS/UNFAV,YES,REPUBLCN,10-50K,POSTGRAD,CATHOLIC,ONCEAWEEK,OVER100K,NO,YES,CONSERV,18-64,CUTFEDINCTAX,NOTATALL,EXITPOLL,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,BOTH,ONLYGORE,ISSUES,,,0.303
STATE ONLY,48.0,4.0,31.0,THIRD CALL,18-24,WHITE,MALE,BUSH,GORTON,CARLSON,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,HONEST,NO,NOVOTE,PROENVIR,SOMEONEELSE,BETTER,DIS/UNFAV,YES,ELSE,10-50K,HSGRAD,ELSE,MORETHAN1AWK,15-30K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,GREATDEAL,EXITPOLL,STATE,COMPLETE,EAST,18-29,18-24,IND/OTHER,18-24,OTHER,ONLYBUSH,ONLYGORE,ISSUES,,,0.404
STATE ONLY,48.0,4.0,32.0,THIRD CALL,25-29,WHITE,MALE,BUSH,GORTON,CARLSON,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,EDUCATION,GOODJUDGMENT,NO,PEROT,OMITS,NONE,WORSE,DIS/UNFAV,YES,ELSE,10-50K,SOMCOL/ASSOC,ELSE,AFEWAYEAR,30-50K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,NOTATALL,EXITPOLL,STATE,COMPLETE,EAST,18-29,25-29,IND/OTHER,25-29,OTHER,BOTH,BOTH,OMITS,,,0.404
STATE ONLY,48.0,4.0,33.0,THIRD CALL,45-49,WHITE,MALE,GORE,CANTWELL,LOCKE,APPROVE,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,ECON/JOBS,COMPLEXISSUE,NO,CLINTON,PROENVIR,SOMEONEELSE,BETTER,APP/UNFAV,YES,DEMOCRAT,10-50K,COLGRAD,NONE,NEVER,50-75K,YES,YES,MODERATE,18-64,REDUCNATDEBT,NOTATALL,EXITPOLL,STATE,COMPLETE,EAST,45-59,40-49,DEMOCRAT,40-49,NONE,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,0.227
STATE ONLY,48.0,4.0,34.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,CANTWELL,LOCKE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,SOCIALSECUR,CARES,NO,CLINTON,OMITS,SOMEONEELSE,BETTER,APP/FAV,YES,INDEPEND,10-50K,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,,YES,NO,MODERATE,18-64,CUTFEDINCTAX,NOTATALL,EXITPOLL,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,0.218
STATE ONLY,48.0,4.0,35.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,CANTWELL,LOCKE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,EDUCATION,COMPLEXISSUE,NO,NOVOTE,PROENVIR,NONE,BETTER,APP/FAV,NO,INDEPEND,10-50K,SOMCOL/ASSOC,OTHERCHRIST,NEVER,OVER100K,NO,NO,MODERATE,18-64,REDUCNATDEBT,SOMEWHAT,EXITPOLL,STATE,COMPLETE,EAST,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,BOTH,BOTH,ISSUES,,,0.29
STATE ONLY,48.0,4.0,36.0,THIRD CALL,25-29,HISP,FEMALE,BUSH,GORTON,CARLSON,DISAPPR,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,EDUCATION,COMPLEXISSUE,NO,NOVOTE,PROENVIR,ME,BETTER,DIS/UNFAV,YES,REPUBLCN,10-50K,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,50-75K,YES,YES,MODERATE,18-64,REDUCNATDEBT,NOTMUCH,EXITPOLL,STATE,COMPLETE,EAST,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,BOTH,NEITHER,ISSUES,,,0.434
STATE ONLY,48.0,4.0,37.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,CANTWELL,LOCKE,OMITS,OMITS,OMITS,LESS,SMCITY/RURAL,MEDICARE/RX,COMPLEXISSUE,NO,OMITS,PROENVIR,NONE,OMITS,,,,10-50K,,,OMITS,,,,,18-64,OMITS,NOTATALL,EXITPOLL,STATE,NOTCOMPLETE,EAST,18-29,25-29,,25-29,,OMITS,OMITS,OMITS,,,0.29
STATE ONLY,48.0,4.0,38.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,GORTON,CARLSON,DISAPPR,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,HEALTHCARE,HONEST,NO,OTHER,PROENVIR,NONE,BETTER,DIS/UNFAV,NO,REPUBLCN,10-50K,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,LESS15K,NO,NO,LIBERAL,18-64,CUTFEDINCTAX,SOMEWHAT,EXITPOLL,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,BOTH,BOTH,PERSONALQUAL,,,0.29
STATE ONLY,48.0,4.0,39.0,THIRD CALL,65-74,WHITE,FEMALE,BUSH,GORTON,CARLSON,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,HONEST,NO,DOLE,PROENVIR,NONE,SAME,DIS/UNFAV,NO,REPUBLCN,10-50K,COLGRAD,PROTESTANT,AFEWAYEAR,50-75K,NO,NO,MODERATE,65+,CUTFEDINCTAX,GREATDEAL,EXITPOLL,STATE,COMPLETE,EAST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,0.357
STATE ONLY,48.0,4.0,40.0,THIRD CALL,65-74,WHITE,MALE,BUSH,GORTON,CARLSON,DISAPPR,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,MEDICARE/RX,GOODJUDGMENT,NO,DOLE,PROGRWTH,NONE,SAME,DIS/UNFAV,YES,REPUBLCN,10-50K,POSTGRAD,PROTESTANT,AFEWAYEAR,75-100K,YES,NO,CONSERV,65+,SOCIALSECURI,NOTATALL,EXITPOLL,STATE,COMPLETE,EAST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,0.372
STATE ONLY,48.0,4.0,41.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,GORTON,CARLSON,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,OMITS,OMITS,NO,DOLE,OMITS,NONE,SAME,DIS/UNFAV,YES,REPUBLCN,10-50K,COLGRAD,PROTESTANT,AFEWAYEAR,30-50K,NO,NO,CONSERV,18-64,SOCIALSECURI,GREATDEAL,EXITPOLL,STATE,COMPLETE,EAST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,BOTH,ONLYGORE,PERSONALQUAL,,,0.29
STATE ONLY,48.0,4.0,42.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,GORTON,CARLSON,DISAPPR,UNFAVORABLE,BUSH,OMITS,SMCITY/RURAL,EDUCATION,GOODJUDGMENT,NO,DOLE,OMITS,NONE,SAME,DIS/UNFAV,YES,REPUBLCN,10-50K,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,LESS15K,NO,NO,,18-64,CUTFEDINCTAX,OMITS,EXITPOLL,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,ONLYBUSH,OMITS,OMITS,,,0.29
STATE ONLY,48.0,4.0,43.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,GORTON,CARLSON,APPROVE,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,OMITS,CARES,OMITS,CLINTON,PROGRWTH,NONE,SAME,APP/UNFAV,YES,ELSE,10-50K,HSGRAD,OTHERCHRIST,OMITS,,YES,NO,CONSERV,18-64,SOCIALSECURI,NOTMUCH,EXITPOLL,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,BOTH,ONLYGORE,ISSUES,,,0.29
STATE ONLY,48.0,4.0,44.0,THIRD CALL,40-44,WHITE,MALE,BUSH,GORTON,CARLSON,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,HONEST,NO,DOLE,PROGRWTH,NONE,SAME,DIS/UNFAV,YES,REPUBLCN,10-50K,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,50-75K,YES,YES,CONSERV,18-64,REDUCNATDEBT,NOTATALL,EXITPOLL,STATE,COMPLETE,EAST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,BOTH,ONLYGORE,ISSUES,,,0.303
