VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,UNION4,UNFAIR,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,GUNOWNER,GUN,WEIGHT
STATE ONLY,36.0,2.0,15.0,SECOND CALL,40-44,WHITE,MALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,MEDICARE/RX,HONEST,NO,OTHER,NONE,BUSHDID,BETTER,APP/FAV,YES,INDEPEND,10-50K,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,15-30K,NO,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,CENTRAL,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,BOTH,ONLYBUSH,PERSONALQUAL,,,NO,SUPPORT,1.042
STATE ONLY,36.0,2.0,16.0,SECOND CALL,75+,WHITE,FEMALE,GORE,CELESTE,DISAPPR,OMITS,GORE,LESS,SMCITY/RURAL,SOCIALSECUR,COMPLEXISSUE,NO,PEROT,NONE,BOTHDID,WORSE,OMITS,NO,DEMOCRAT,10-50K,,PROTESTANT,AFEWAYEAR,15-30K,NO,NO,MODERATE,65+,SOCIALSECURI,STATE,COMPLETE,CENTRAL,60+,60+,DEMOCRAT,65+,PROT/CHRIST,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,NO,OPPOSE,1.223
STATE ONLY,36.0,2.0,17.0,SECOND CALL,40-44,BLACK,MALE,GORE,CELESTE,APPROVE,FAVORABLE,WOULDNOTVOTE,MORE,SMCITY/RURAL,MEDICARE/RX,CARES,NO,CLINTON,NONE,BUSHDID,BETTER,APP/FAV,YES,DEMOCRAT,10-50K,NOHS,PROTESTANT,NEVER,15-30K,NO,NO,MODERATE,18-64,OTHRPROGRAMS,STATE,COMPLETE,CENTRAL,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,ONLYGORE,ONLYGORE,PERSONALQUAL,,,YES,SUPPORT,1.26
STATE ONLY,36.0,2.0,18.0,SECOND CALL,30-39,WHITE,MALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,ECON/JOBS,EXPERIENCE,NO,CLINTON,ME,BOTHDID,BETTER,APP/FAV,YES,DEMOCRAT,10-50K,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,50-75K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,CENTRAL,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,ONLYGORE,BOTH,ISSUES,,,YES,SUPPORT,1.042
STATE ONLY,36.0,2.0,19.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,DEWINE,DISAPPR,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,SOCIALSECUR,LIKEABLE,YES,DOLE,SOMEONEELSE,GOREDID,BETTER,DIS/UNFAV,YES,REPUBLCN,10-50K,HSGRAD,PROTESTANT,AFEWAMONTH,50-75K,YES,YES,,18-64,CUTFEDINCTAX,STATE,COMPLETE,CENTRAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,YES,OPPOSE,1.024
STATE ONLY,36.0,2.0,20.0,THIRD CALL,18-24,BLACK,FEMALE,BUSH,CELESTE,APPROVE,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,MEDICARE/RX,CARES,YES,CLINTON,NONE,GOREDID,BETTER,APP/UNFAV,NO,INDEPEND,10-50K,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,15-30K,NO,NO,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,CENTRAL,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,NO,SUPPORT,1.0210000000000001
STATE ONLY,36.0,2.0,21.0,THIRD CALL,30-39,WHITE,MALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,EDUCATION,LIKEABLE,NO,PEROT,SOMEONEELSE,BUSHDID,SAME,APP/FAV,YES,DEMOCRAT,10-50K,COLGRAD,PROTESTANT,AFEWAYEAR,30-50K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,CENTRAL,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,ONLYGORE,NEITHER,ISSUES,,,NO,SUPPORT,1.042
STATE ONLY,36.0,2.0,22.0,THIRD CALL,40-44,BLACK,MALE,GORE,CELESTE,DISAPPR,FAVORABLE,GORE,MORE,SMCITY/RURAL,ECON/JOBS,HONEST,NO,CLINTON,NONE,BOTHDID,SAME,DIS/FAV,YES,DEMOCRAT,10-50K,COLGRAD,OTHERCHRIST,AFEWAYEAR,30-50K,NO,NO,LIBERAL,18-64,OTHRPROGRAMS,STATE,COMPLETE,CENTRAL,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,YES,SUPPORT,1.26
STATE ONLY,36.0,2.0,23.0,THIRD CALL,18-24,WHITE,MALE,NADER,,DISAPPR,FAVORABLE,WOULDNOTVOTE,MORE,SMCITY/RURAL,EDUCATION,EXPERIENCE,NO,NOVOTE,NONE,BOTHDID,SAME,DIS/FAV,NO,INDEPEND,10-50K,HSGRAD,PROTESTANT,AFEWAYEAR,LESS15K,NO,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,CENTRAL,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,NEITHER,NEITHER,PERSONALQUAL,,,YES,OPPOSE,0.672
STATE ONLY,36.0,2.0,24.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,EDUCATION,HONEST,YES,CLINTON,NONE,BOTHDID,BETTER,APP/FAV,YES,DEMOCRAT,10-50K,HSGRAD,PROTESTANT,AFEWAYEAR,30-50K,YES,NO,LIBERAL,18-64,OTHRPROGRAMS,STATE,COMPLETE,CENTRAL,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,ONLYGORE,NEITHER,ISSUES,,,NO,SUPPORT,1.109
STATE ONLY,36.0,2.0,25.0,THIRD CALL,18-24,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,EDUCATION,EXPERIENCE,NO,NOVOTE,SOMEONEELSE,GOREDID,BETTER,DIS/UNFAV,YES,REPUBLCN,10-50K,HSGRAD,CATHOLIC,AFEWAMONTH,30-50K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,CENTRAL,18-29,18-24,REPUBLICAN,18-24,CATHOLIC,ONLYBUSH,ONLYGORE,ISSUES,,,YES,OPPOSE,1.073
STATE ONLY,36.0,2.0,26.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,,DISAPPR,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,HEALTHCARE,HONEST,NO,NOVOTE,NONE,BUSHDID,SAME,DIS/UNFAV,YES,DEMOCRAT,10-50K,HSGRAD,NONE,NEVER,15-30K,NO,NO,MODERATE,18-64,OTHRPROGRAMS,STATE,COMPLETE,CENTRAL,18-29,18-24,DEMOCRAT,18-24,NONE,ONLYGORE,ONLYGORE,ISSUES,,,NO,SUPPORT,0.973
STATE ONLY,36.0,2.0,27.0,THIRD CALL,25-29,WHITE,FEMALE,NADER,DEWINE,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,MORE,SMCITY/RURAL,WORLDAFFAIRS,COMPLEXISSUE,NO,NOVOTE,NONE,BOTHDID,BETTER,DIS/UNFAV,YES,INDEPEND,10-50K,HSGRAD,ELSE,NEVER,30-50K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,CENTRAL,18-29,25-29,IND/OTHER,25-29,OTHER,BOTH,BOTH,ISSUES,,,YES,OPPOSE,0.609
STATE ONLY,36.0,2.0,28.0,THIRD CALL,30-39,WHITE,MALE,BUSH,CELESTE,DISAPPR,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,EDUCATION,EXPERIENCE,NO,DOLE,ME,BOTHDID,BETTER,DIS/UNFAV,YES,REPUBLCN,10-50K,HSGRAD,NONE,NEVER,LESS15K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,CENTRAL,30-44,30-39,REPUBLICAN,30-39,NONE,BOTH,ONLYGORE,ISSUES,,,YES,OPPOSE,1.012
STATE ONLY,36.0,2.0,29.0,THIRD CALL,30-39,WHITE,MALE,BUSH,DEWINE,DISAPPR,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,WORLDAFFAIRS,HONEST,NO,NOVOTE,NONE,GOREDID,BETTER,DIS/UNFAV,YES,REPUBLCN,10-50K,HSGRAD,NONE,AFEWAYEAR,15-30K,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,CENTRAL,30-44,30-39,REPUBLICAN,30-39,NONE,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,YES,OPPOSE,1.163
STATE ONLY,36.0,2.0,30.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,DEWINE,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,HONEST,NO,DOLE,NONE,OMITS,BETTER,DIS/UNFAV,YES,REPUBLCN,10-50K,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,30-50K,YES,YES,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,CENTRAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,YES,OPPOSE,1.024
STATE ONLY,36.0,2.0,31.0,THIRD CALL,18-24,WHITE,MALE,NADER,,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,LESS,SMCITY/RURAL,WORLDAFFAIRS,CARES,YES,NOVOTE,NONE,BOTHDID,BETTER,DIS/UNFAV,NO,INDEPEND,10-50K,NOHS,PROTESTANT,NEVER,50-75K,NO,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,CENTRAL,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,NEITHER,BOTH,ISSUES,,,YES,OPPOSE,0.672
STATE ONLY,36.0,2.0,32.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,DEWINE,DISAPPR,FAVORABLE,GORE,MORE,SMCITY/RURAL,HEALTHCARE,STRONGLEADER,NO,DOLE,NONE,NEITHERDID,BETTER,DIS/FAV,YES,INDEPEND,10-50K,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,30-50K,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,CENTRAL,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,BOTH,BOTH,PERSONALQUAL,,,NO,SUPPORT,1.055
STATE ONLY,36.0,2.0,33.0,THIRD CALL,18-24,WHITE,MALE,GORE,CELESTE,DISAPPR,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,HEALTHCARE,COMPLEXISSUE,NO,DOLE,NONE,BUSHDID,WORSE,DIS/UNFAV,YES,DEMOCRAT,10-50K,SOMCOL/ASSOC,CATHOLIC,NEVER,15-30K,NO,YES,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,CENTRAL,18-29,18-24,DEMOCRAT,18-24,CATHOLIC,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,NO,OPPOSE,0.989
STATE ONLY,36.0,2.0,34.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,CELESTE,APPROVE,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,EDUCATION,COMPLEXISSUE,NO,PEROT,NONE,GOREDID,SAME,APP/UNFAV,YES,REPUBLCN,10-50K,HSGRAD,PROTESTANT,NEVER,30-50K,NO,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,CENTRAL,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,ONLYBUSH,ONLYBUSH,ISSUES,,,YES,OPPOSE,0.845
NATIONAL WHITE,36.0,6.0,1.0,FIRST CALL,60-64,WHITE,MALE,BUSH,DEWINE,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,WORLDAFFAIRS,OMITS,NO,CLINTON,NONE,,SAME,APP/UNFAV,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,30-50K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,NORTHEAST,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,ISSUES,,,,,0.914
NATIONAL WHITE,36.0,6.0,2.0,FIRST CALL,45-49,WHITE,MALE,GORE,CELESTE,DISAPPR,UNFAVORABLE,GORE,OMITS,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,NO,PEROT,ME,,SAME,DIS/UNFAV,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,50-75K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,NORTHEAST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,ISSUES,,,,,0.617
NATIONAL WHITE,36.0,6.0,3.0,FIRST CALL,40-44,WHITE,MALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,TAXES,HONEST,NO,CLINTON,ME,,BETTER,APP/FAV,YES,DEMOCRAT,SUBURBS,HSGRAD,PROTESTANT,AFEWAYEAR,30-50K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,NORTHEAST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,ISSUES,,,,,0.617
NATIONAL YELLOW,36.0,6.0,4.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,DEWINE,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,HEALTHCARE,STRONGLEADER,NO,NOVOTE,NONE,,SAME,APP/UNFAV,YES,DEMOCRAT,SUBURBS,HSGRAD,PROTESTANT,MORETHAN1AWK,15-30K,NO,NO,MODERATE,18-64,,NATIONAL,COMPLETE,NORTHEAST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,ISSUES,HEALTHCARE,STRONGLEADER,,,0.608
NATIONAL YELLOW,36.0,6.0,5.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,,APPROVE,UNFAVORABLE,GORE,OMITS,SUBURBS,SOCIALSECUR,OMITS,YES,NOVOTE,ME,,SAME,APP/UNFAV,YES,DEMOCRAT,SUBURBS,HSGRAD,PROTESTANT,MORETHAN1AWK,15-30K,NO,NO,MODERATE,18-64,,NATIONAL,COMPLETE,NORTHEAST,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,ISSUES,SOCIALSECUR,OMITS,,,0.895
NATIONAL GREY,36.0,6.0,6.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,CELESTE,,,,,SUBURBS,,,,,,NEITHERDID,,,,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,,,15-30K,,,MODERATE,18-64,SOCIALSECURI,NATIONAL,COMPLETE,NORTHEAST,45-59,50-59,DEMOCRAT,50-64,,BOTH,ONLYBUSH,,,,YES,OPPOSE,0.5730000000000001
NATIONAL GREY,36.0,6.0,7.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,CELESTE,,,,,SUBURBS,,,,,,NEITHERDID,,,,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,,,15-30K,,,MODERATE,18-64,SOCIALSECURI,NATIONAL,COMPLETE,NORTHEAST,45-59,50-59,DEMOCRAT,50-64,,BOTH,ONLYBUSH,,,,YES,OPPOSE,0.5730000000000001
NATIONAL GREY,36.0,6.0,8.0,FIRST CALL,40-44,WHITE,MALE,GORE,CELESTE,,,,,SUBURBS,,,,,,NEITHERDID,,,,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,,,30-50K,,,MODERATE,18-64,REDUCNATDEBT,NATIONAL,COMPLETE,NORTHEAST,30-44,40-49,DEMOCRAT,40-49,,NEITHER,BOTH,,,,YES,OPPOSE,0.617
NATIONAL PINK,36.0,6.0,9.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,DEWINE,,,,,SUBURBS,,,NO,,NONE,,,,YES,ELSE,SUBURBS,,OTHERCHRIST,,30-50K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,NORTHEAST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,,,,,,0.657
NATIONAL PINK,36.0,6.0,10.0,FIRST CALL,45-49,WHITE,MALE,BUCHANAN,,,,,,SUBURBS,,,YES,,NONE,,,,YES,ELSE,SUBURBS,,OTHERCHRIST,,30-50K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,NORTHEAST,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,,,,,,0.72
NATIONAL PINK,36.0,6.0,11.0,FIRST CALL,45-49,WHITE,MALE,BUSH,DEWINE,,,,,SUBURBS,,,NO,,NONE,,,,YES,ELSE,SUBURBS,,OTHERCHRIST,,30-50K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,NORTHEAST,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,,,,,,0.654
NATIONAL WHITE,36.0,6.0,12.0,SECOND CALL,50-59,WHITE,MALE,GORE,CELESTE,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,HEALTHCARE,GOODJUDGMENT,NO,CLINTON,ME,,BETTER,APP/UNFAV,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,30-50K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,NORTHEAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,PERSONALQUAL,,,,,0.617
NATIONAL WHITE,36.0,6.0,13.0,SECOND CALL,65-74,WHITE,MALE,BUSH,DEWINE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,EXPERIENCE,NO,DOLE,NONE,,BETTER,DIS/UNFAV,NO,REPUBLCN,SUBURBS,SOMCOL/ASSOC,ELSE,MORETHAN1AWK,15-30K,YES,NO,CONSERV,65+,,NATIONAL,COMPLETE,NORTHEAST,60+,60+,REPUBLICAN,65+,OTHER,,,PERSONALQUAL,,,,,0.914
