VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,PROPNV,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,UNION4,ABORTION,FINSIT,JOBPERS,WORK,MIGRATNV,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,HISPANIC,QRACE,REL5,PRESKNOW,NUCLEAR,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,29.0,3.0,11.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,BERNSTEIN,APPROVE,UNFAVORABLE,GORE,YES,LESS,SMCITY/RURAL,SOCIALSECUR,GOODJUDGMENT,PEROT,NONE,MOSTILL,SAME,APP/UNFAV,NO,NO,REPUBLCN,RURAL,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,30-50K,YES,NO,LIBERAL,65+,SOCIALSECURI,STATE,COMPLETE,RURAL,60+,60+,REPUBLICAN,65+,NO,WHITE,PROT/CHRIST,ONLYGORE,VERYIMP,BOTH,PERSONALQUAL,,,0.499
STATE ONLY,29.0,3.0,12.0,SECOND CALL,50-59,WHITE,MALE,GORE,BERNSTEIN,OMITS,OMITS,OMITS,YES,LESS,SMCITY/RURAL,ECON/JOBS,EXPERIENCE,OMITS,ME,MOSTILL,OMITS,,,YES,,RURAL,,,OMITS,,,,,18-64,OMITS,STATE,NOTCOMPLETE,RURAL,45-59,50-59,,50-64,NO,WHITE,,OMITS,SOMEWHAT,OMITS,OMITS,,,0.264
STATE ONLY,29.0,3.0,13.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,MORE,SMCITY/RURAL,ECON/JOBS,LIKEABLE,OMITS,ME,ALWYSLGL,BETTER,DIS/UNFAV,YES,YES,REPUBLCN,RURAL,HSGRAD,PROTESTANT,AFEWAYEAR,50-75K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,RURAL,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,BOTH,VERYIMP,BOTH,ISSUES,,,0.431
STATE ONLY,29.0,3.0,14.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,ENSIGN,OMITS,OMITS,OMITS,YES,LESS,SMCITY/RURAL,EDUCATION,HONEST,OMITS,NONE,ALWYSILL,OMITS,,,NO,,RURAL,,,OMITS,,,,,18-64,OMITS,STATE,NOTCOMPLETE,RURAL,18-29,25-29,,25-29,NO,WHITE,,OMITS,SOMEWHAT,OMITS,OMITS,,,0.641
STATE ONLY,29.0,3.0,15.0,SECOND CALL,65-74,OTHER,MALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,WORLDAFFAIRS,GOODJUDGMENT,OTHER,NONE,MOSTILL,WORSE,DIS/UNFAV,NO,NO,INDEPEND,RURAL,SOMCOL/ASSOC,OTHERCHRIST,NEVER,30-50K,YES,NO,CONSERV,65+,CUTFEDINCTAX,STATE,COMPLETE,RURAL,60+,60+,IND/OTHER,65+,,OTHER,PROT/CHRIST,ONLYBUSH,NOTTOOIMP,ONLYGORE,PERSONALQUAL,,,0.507
STATE ONLY,29.0,3.0,16.0,SECOND CALL,30-39,WHITE,MALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,MORE,SMCITY/RURAL,ECON/JOBS,EXPERIENCE,PEROT,NONE,MOSTILL,WORSE,DIS/UNFAV,YES,NO,REPUBLCN,RURAL,NOHS,OTHERCHRIST,ONCEAWEEK,LESS15K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,RURAL,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,BOTH,VERYIMP,ONLYGORE,ISSUES,,,0.342
STATE ONLY,29.0,3.0,17.0,SECOND CALL,45-49,WHITE,MALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,MORE,SMCITY/RURAL,TAXES,HONEST,DOLE,ME,ALWYSLGL,BETTER,DIS/UNFAV,YES,YES,REPUBLCN,RURAL,HSGRAD,PROTESTANT,AFEWAYEAR,30-50K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,RURAL,45-59,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,BOTH,SOMEWHAT,BOTH,ISSUES,,,0.342
STATE ONLY,29.0,3.0,18.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,MORE,SMCITY/RURAL,EDUCATION,EXPERIENCE,DOLE,SOMEONEELSE,OMITS,BETTER,DIS/UNFAV,YES,YES,REPUBLCN,RURAL,HSGRAD,PROTESTANT,AFEWAYEAR,30-50K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,RURAL,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,BOTH,SOMEWHAT,ONLYGORE,ISSUES,,,0.431
STATE ONLY,29.0,3.0,19.0,SECOND CALL,65-74,OTHER,MALE,BUCHANAN,ENSIGN,APPROVE,UNFAVORABLE,GORE,YES,MORE,SMCITY/RURAL,MEDICARE/RX,GOODJUDGMENT,PEROT,NONE,MOSTLGL,BETTER,APP/UNFAV,NO,YES,INDEPEND,RURAL,POSTGRAD,NONE,NEVER,LESS15K,NO,NO,LIBERAL,65+,REDUCNATDEBT,STATE,COMPLETE,RURAL,60+,60+,IND/OTHER,65+,,OTHER,NONE,NEITHER,VERYIMP,BOTH,ISSUES,,,0.353
STATE ONLY,29.0,3.0,20.0,SECOND CALL,50-59,WHITE,MALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,MORE,SMCITY/RURAL,ECON/JOBS,HONEST,CLINTON,ME,ALWYSLGL,BETTER,DIS/UNFAV,YES,YES,REPUBLCN,RURAL,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,30-50K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,RURAL,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,BOTH,SOMEWHAT,BOTH,ISSUES,,,0.342
STATE ONLY,29.0,3.0,21.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,SMCITY/RURAL,ECON/JOBS,GOODJUDGMENT,NOVOTE,ME,MOSTLGL,BETTER,DIS/UNFAV,YES,NO,INDEPEND,RURAL,SOMCOL/ASSOC,NONE,NEVER,30-50K,NO,YES,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,RURAL,30-44,40-49,IND/OTHER,40-49,NO,WHITE,NONE,ONLYBUSH,VERYIMP,ONLYGORE,ISSUES,,,0.335
STATE ONLY,29.0,3.0,22.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,WORLDAFFAIRS,HONEST,CLINTON,NONE,MOSTILL,BETTER,DIS/UNFAV,YES,NO,REPUBLCN,RURAL,POSTGRAD,PROTESTANT,ONCEAWEEK,OVER100K,YES,NO,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,RURAL,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,BOTH,SOMEWHAT,ONLYGORE,PERSONALQUAL,,,0.431
STATE ONLY,29.0,3.0,23.0,THIRD CALL,45-49,,MALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,WORLDAFFAIRS,HONEST,DOLE,ME,ALWYSILL,OMITS,DIS/UNFAV,YES,YES,REPUBLCN,RURAL,,OTHERCHRIST,MORETHAN1AWK,,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,RURAL,45-59,40-49,REPUBLICAN,40-49,,,PROT/CHRIST,ONLYBUSH,VERYIMP,ONLYGORE,ISSUES,,,0.342
STATE ONLY,29.0,3.0,24.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,WORLDAFFAIRS,HONEST,DOLE,ME,ALWYSILL,WORSE,DIS/UNFAV,YES,,REPUBLCN,RURAL,,OTHERCHRIST,MORETHAN1AWK,,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,RURAL,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,ONLYBUSH,VERYIMP,ONLYGORE,ISSUES,,,0.431
STATE ONLY,29.0,3.0,25.0,THIRD CALL,60-64,WHITE,MALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,WORLDAFFAIRS,STRONGLEADER,DOLE,NONE,MOSTILL,WORSE,DIS/UNFAV,YES,NO,INDEPEND,RURAL,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,15-30K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,RURAL,60+,60+,IND/OTHER,50-64,NO,WHITE,PROT/CHRIST,ONLYGORE,VERYIMP,ONLYGORE,ISSUES,,,0.507
STATE ONLY,29.0,3.0,26.0,THIRD CALL,40-44,WHITE,MALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,EDUCATION,COMPLEXISSUE,DOLE,ME,MOSTILL,SAME,DIS/UNFAV,YES,NO,REPUBLCN,RURAL,POSTGRAD,OTHERCHRIST,MORETHAN1AWK,30-50K,YES,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,RURAL,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,ONLYBUSH,NOTATALL,BOTH,ISSUES,,,0.342
STATE ONLY,29.0,3.0,27.0,THIRD CALL,45-49,WHITE,MALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,WORLDAFFAIRS,GOODJUDGMENT,DOLE,NONE,ALWYSILL,SAME,DIS/UNFAV,YES,NO,REPUBLCN,RURAL,POSTGRAD,PROTESTANT,MORETHAN1AWK,OVER100K,YES,NO,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,RURAL,45-59,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,ONLYBUSH,SOMEWHAT,ONLYGORE,ISSUES,,,0.342
STATE ONLY,29.0,3.0,28.0,THIRD CALL,45-49,WHITE,FEMALE,BUCHANAN,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,WORLDAFFAIRS,HONEST,OTHER,SOMEONEELSE,MOSTILL,SAME,DIS/UNFAV,YES,NO,INDEPEND,RURAL,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,50-75K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,RURAL,45-59,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,ONLYBUSH,VERYIMP,BOTH,ISSUES,,,0.301
STATE ONLY,29.0,3.0,29.0,THIRD CALL,30-39,WHITE,MALE,BUSH,BERNSTEIN,DISAPPR,UNFAVORABLE,BUSH,YES,MORE,SMCITY/RURAL,WORLDAFFAIRS,GOODJUDGMENT,DOLE,ME,ALWYSLGL,SAME,DIS/UNFAV,YES,NO,REPUBLCN,RURAL,HSGRAD,OTHERCHRIST,AFEWAMONTH,30-50K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,RURAL,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,BOTH,NOTATALL,NEITHER,ISSUES,,,0.364
STATE ONLY,29.0,3.0,30.0,THIRD CALL,50-59,WHITE,MALE,BUCHANAN,OTHER,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,TAXES,HONEST,OTHER,ME,ALWYSILL,SAME,DIS/UNFAV,YES,NO,INDEPEND,RURAL,HSGRAD,ELSE,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,RURAL,45-59,50-59,IND/OTHER,50-64,NO,WHITE,OTHER,NEITHER,NOTATALL,BOTH,ISSUES,,,0.369
STATE ONLY,29.0,3.0,31.0,THIRD CALL,30-39,HISP,MALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,MORE,SMCITY/RURAL,ECON/JOBS,HONEST,NOVOTE,NONE,ALWYSILL,SAME,DIS/UNFAV,YES,NO,DEMOCRAT,RURAL,NOHS,OTHERCHRIST,ONCEAWEEK,30-50K,YES,YES,LIBERAL,18-64,REDUCNATDEBT,STATE,COMPLETE,RURAL,30-44,30-39,DEMOCRAT,30-39,YES,HISP,PROT/CHRIST,BOTH,VERYIMP,ONLYGORE,ISSUES,,,0.2
STATE ONLY,29.0,3.0,32.0,THIRD CALL,30-39,WHITE,MALE,GORE,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,ECON/JOBS,STRONGLEADER,DOLE,NONE,MOSTILL,SAME,DIS/UNFAV,YES,YES,REPUBLCN,RURAL,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,30-50K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,RURAL,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,ONLYGORE,VERYIMP,ONLYGORE,ISSUES,,,0.248
STATE ONLY,29.0,3.0,33.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,TAXES,HONEST,DOLE,NONE,MOSTILL,SAME,DIS/UNFAV,NO,NO,REPUBLCN,RURAL,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,30-50K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,RURAL,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,ONLYBUSH,VERYIMP,ONLYGORE,PERSONALQUAL,,,0.431
STATE ONLY,29.0,3.0,34.0,THIRD CALL,40-44,WHITE,MALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,EDUCATION,HONEST,DOLE,NONE,MOSTILL,WORSE,DIS/UNFAV,NO,NO,REPUBLCN,RURAL,POSTGRAD,PROTESTANT,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,RURAL,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,BOTH,VERYIMP,ONLYGORE,PERSONALQUAL,,,0.342
STATE ONLY,29.0,3.0,35.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,BERNSTEIN,OMITS,OMITS,OMITS,NO,MORE,SMCITY/RURAL,WORLDAFFAIRS,COMPLEXISSUE,OMITS,NONE,MOSTLGL,OMITS,,,,,RURAL,,,OMITS,,,,,65+,OMITS,STATE,NOTCOMPLETE,RURAL,60+,60+,,65+,NO,WHITE,,OMITS,VERYIMP,OMITS,OMITS,,,0.385
STATE ONLY,29.0,3.0,36.0,THIRD CALL,65-74,WHITE,FEMALE,BUSH,BERNSTEIN,DISAPPR,UNFAVORABLE,BUSH,YES,MORE,SMCITY/RURAL,MEDICARE/RX,GOODJUDGMENT,PEROT,NONE,ALWYSLGL,BETTER,DIS/UNFAV,NO,NO,DEMOCRAT,RURAL,POSTGRAD,PROTESTANT,AFEWAYEAR,50-75K,YES,NO,LIBERAL,65+,CUTFEDINCTAX,STATE,COMPLETE,RURAL,60+,60+,DEMOCRAT,65+,NO,WHITE,PROT/CHRIST,ONLYBUSH,VERYIMP,ONLYGORE,PERSONALQUAL,,,0.681
STATE ONLY,29.0,3.0,37.0,THIRD CALL,75+,WHITE,MALE,BUSH,BERNSTEIN,DISAPPR,UNFAVORABLE,BUSH,YES,MORE,SMCITY/RURAL,SOCIALSECUR,EXPERIENCE,DOLE,NONE,MOSTLGL,WORSE,DIS/UNFAV,NO,NO,DEMOCRAT,RURAL,HSGRAD,PROTESTANT,NEVER,15-30K,YES,NO,MODERATE,65+,CUTFEDINCTAX,STATE,COMPLETE,RURAL,60+,60+,DEMOCRAT,65+,NO,WHITE,PROT/CHRIST,ONLYBUSH,VERYIMP,ONLYBUSH,ISSUES,,,0.539
STATE ONLY,29.0,3.0,38.0,THIRD CALL,50-59,WHITE,MALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,MEDICARE/RX,HONEST,DOLE,ME,ALWYSLGL,SAME,DIS/UNFAV,YES,YES,INDEPEND,RURAL,POSTGRAD,OTHERCHRIST,AFEWAYEAR,50-75K,NO,NO,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,RURAL,45-59,50-59,IND/OTHER,50-64,NO,WHITE,PROT/CHRIST,ONLYBUSH,VERYIMP,ONLYGORE,PERSONALQUAL,,,0.342
STATE ONLY,29.0,3.0,39.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,OMITS,SMCITY/RURAL,OMITS,OMITS,DOLE,NONE,MOSTILL,BETTER,DIS/UNFAV,YES,NO,REPUBLCN,RURAL,HSGRAD,CATHOLIC,AFEWAMONTH,30-50K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,RURAL,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,CATHOLIC,NEITHER,VERYIMP,BOTH,OMITS,,,0.431
STATE ONLY,29.0,6.0,1.0,THIRD CALL,30-39,WHITE,MALE,BUSH,ENSIGN,OMITS,OMITS,OMITS,NO,LESS,CITYOVER50K,TAXES,CARES,OMITS,NONE,ALWYSLGL,OMITS,,,YES,,50-500K,,,OMITS,,,,,18-64,OMITS,STATE,NOTCOMPLETE,CLARKCNTY,30-44,30-39,,30-39,,WHITE,,OMITS,VERYIMP,OMITS,OMITS,,,1.096
STATE ONLY,29.0,6.0,2.0,THIRD CALL,45-49,WHITE,MALE,GORE,BERNSTEIN,APPROVE,FAVORABLE,GORE,YES,MORE,CITYOVER50K,ECON/JOBS,EXPERIENCE,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,YES,YES,ELSE,50-500K,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,75-100K,NO,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,CLARKCNTY,45-59,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,ONLYGORE,VERYIMP,BOTH,ISSUES,,,1.246
STATE ONLY,29.0,6.0,3.0,THIRD CALL,25-29,WHITE,MALE,BUSH,ENSIGN,DISAPPR,FAVORABLE,BUSH,NO,MORE,CITYOVER50K,ECON/JOBS,EXPERIENCE,DOLE,NONE,MOSTILL,BETTER,DIS/FAV,NO,YES,REPUBLCN,50-500K,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,30-50K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,CLARKCNTY,18-29,25-29,REPUBLICAN,25-29,NO,WHITE,CATHOLIC,ONLYBUSH,NOTTOOIMP,ONLYBUSH,PERSONALQUAL,,,1.183
STATE ONLY,29.0,6.0,4.0,THIRD CALL,25-29,WHITE,MALE,BUSH,NONEOFABOVE,OMITS,OMITS,OMITS,,LESS,CITYOVER50K,WORLDAFFAIRS,GOODJUDGMENT,OMITS,NONE,ALWYSLGL,OMITS,,,YES,,50-500K,,,OMITS,,,,,18-64,OMITS,STATE,NOTCOMPLETE,CLARKCNTY,18-29,25-29,,25-29,NO,WHITE,,OMITS,NOTATALL,OMITS,OMITS,,,0.8170000000000001
STATE ONLY,29.0,6.0,5.0,THIRD CALL,30-39,BLACK,FEMALE,BUSH,OTHER,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,CITYOVER50K,OMITS,STRONGLEADER,DOLE,ME,MOSTILL,SAME,DIS/UNFAV,YES,NO,INDEPEND,50-500K,SOMCOL/ASSOC,OTHERCHRIST,AFEWAMONTH,15-30K,NO,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,CLARKCNTY,30-44,30-39,IND/OTHER,30-39,NO,BLACK,PROT/CHRIST,ONLYBUSH,VERYIMP,ONLYGORE,PERSONALQUAL,,,1.786
STATE ONLY,29.0,6.0,6.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,BERNSTEIN,APPROVE,UNFAVORABLE,GORE,YES,MORE,CITYOVER50K,SOCIALSECUR,CARES,CLINTON,NONE,MOSTILL,BETTER,APP/UNFAV,NO,NO,DEMOCRAT,50-500K,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,LESS15K,NO,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,CLARKCNTY,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,CATHOLIC,BOTH,SOMEWHAT,NEITHER,ISSUES,,,1.2570000000000001
