VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,25.0,3.0,27.0,THIRD CALL,50-59,BLACK,,GORE,BROWN,DISAPPR,UNFAVORABLE,GORE,YES,OMITS,WORSE,DIS/UNFAV,DEMOCRAT,OTHERCHRIST,LESS15K,LIBERAL,18-64,STATE,JACKSON/DELT,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.256
STATE ONLY,25.0,3.0,28.0,THIRD CALL,60-64,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,SAME,APP/FAV,DEMOCRAT,,LESS15K,LIBERAL,18-64,STATE,JACKSON/DELT,60+,60+,DEMOCRAT,50-64,,,,0.289
STATE ONLY,25.0,3.0,29.0,THIRD CALL,60-64,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,JACKSON/DELT,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,0.289
STATE ONLY,25.0,3.0,30.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,JACKSON/DELT,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.256
STATE ONLY,25.0,3.0,31.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,ELSE,LESS15K,MODERATE,18-64,STATE,JACKSON/DELT,30-44,40-49,DEMOCRAT,40-49,OTHER,,,0.256
STATE ONLY,25.0,3.0,32.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,LESS15K,MODERATE,18-64,STATE,JACKSON/DELT,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.256
STATE ONLY,25.0,3.0,33.0,THIRD CALL,18-24,BLACK,MALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,NOVOTE,SAME,APP/FAV,DEMOCRAT,OTHERCHRIST,,CONSERV,18-64,STATE,JACKSON/DELT,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.423
STATE ONLY,25.0,3.0,34.0,THIRD CALL,25-29,BLACK,FEMALE,GORE,BROWN,DISAPPR,FAVORABLE,GORE,YES,NOVOTE,BETTER,DIS/FAV,DEMOCRAT,ELSE,LESS15K,MODERATE,18-64,STATE,JACKSON/DELT,18-29,25-29,DEMOCRAT,25-29,OTHER,,,0.396
STATE ONLY,25.0,3.0,35.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,BROWN,DISAPPR,UNFAVORABLE,GORE,YES,CLINTON,SAME,DIS/UNFAV,DEMOCRAT,ELSE,15-30K,MODERATE,18-64,STATE,JACKSON/DELT,30-44,40-49,DEMOCRAT,40-49,OTHER,,,0.256
STATE ONLY,25.0,3.0,36.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,LOTT,APPROVE,FAVORABLE,GORE,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,OTHERCHRIST,LESS15K,CONSERV,18-64,STATE,JACKSON/DELT,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.327
STATE ONLY,25.0,3.0,37.0,THIRD CALL,18-24,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,NOVOTE,BETTER,APP/FAV,DEMOCRAT,ELSE,15-30K,MODERATE,18-64,STATE,JACKSON/DELT,18-29,18-24,DEMOCRAT,18-24,OTHER,,,0.396
STATE ONLY,25.0,3.0,38.0,THIRD CALL,45-49,BLACK,MALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,OTHERCHRIST,LESS15K,MODERATE,18-64,STATE,JACKSON/DELT,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.273
STATE ONLY,25.0,3.0,39.0,THIRD CALL,30-39,BLACK,FEMALE,BUSH,LOTT,DISAPPR,UNFAVORABLE,BUSH,NO,CLINTON,BETTER,DIS/UNFAV,DEMOCRAT,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,JACKSON/DELT,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.266
STATE ONLY,25.0,3.0,40.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,SAME,APP/FAV,DEMOCRAT,CATHOLIC,50-75K,MODERATE,18-64,STATE,JACKSON/DELT,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.256
STATE ONLY,25.0,3.0,41.0,THIRD CALL,40-44,BLACK,,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,JACKSON/DELT,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.273
STATE ONLY,25.0,13.0,1.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,LOTT,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,STATE,EAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.057
STATE ONLY,25.0,13.0,2.0,FIRST CALL,60-64,WHITE,MALE,BUSH,LOTT,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,INDEPEND,PROTESTANT,75-100K,CONSERV,18-64,STATE,EAST,60+,60+,IND/OTHER,50-64,PROT/CHRIST,,,1.52
STATE ONLY,25.0,13.0,3.0,FIRST CALL,30-39,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,ELSE,50-75K,MODERATE,18-64,STATE,EAST,30-44,30-39,DEMOCRAT,30-39,OTHER,,,1.5210000000000001
STATE ONLY,25.0,13.0,4.0,FIRST CALL,75+,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,LESS15K,,65+,STATE,EAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,2.102
STATE ONLY,25.0,13.0,5.0,FIRST CALL,75+,WHITE,,GORE,LOTT,APPROVE,UNFAVORABLE,GORE,OMITS,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,PROTESTANT,LESS15K,CONSERV,65+,STATE,EAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,2.438
STATE ONLY,25.0,13.0,6.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,LOTT,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,65+,STATE,EAST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.459
STATE ONLY,25.0,13.0,7.0,FIRST CALL,65-74,WHITE,MALE,BUSH,LOTT,OMITS,FAVORABLE,BUSH,YES,OTHER,SAME,OMITS,DEMOCRAT,PROTESTANT,15-30K,MODERATE,65+,STATE,EAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.52
STATE ONLY,25.0,13.0,8.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,LOTT,DISAPPR,UNFAVORABLE,BUSH,OMITS,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,18-64,STATE,EAST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.057
STATE ONLY,25.0,13.0,9.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,LOTT,APPROVE,UNFAVORABLE,BUSH,OMITS,OMITS,BETTER,APP/UNFAV,,PROTESTANT,30-50K,,65+,STATE,EAST,60+,60+,,65+,PROT/CHRIST,,,1.459
STATE ONLY,25.0,13.0,10.0,FIRST CALL,45-49,WHITE,MALE,BUSH,LOTT,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,INDEPEND,PROTESTANT,50-75K,CONSERV,18-64,STATE,EAST,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.1
STATE ONLY,25.0,13.0,11.0,FIRST CALL,60-64,WHITE,MALE,BUSH,LOTT,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,OVER100K,CONSERV,18-64,STATE,EAST,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,1.52
STATE ONLY,25.0,13.0,12.0,FIRST CALL,45-49,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,LESS15K,MODERATE,18-64,STATE,EAST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.5210000000000001
STATE ONLY,25.0,13.0,13.0,FIRST CALL,75+,BLACK,,GORE,BROWN,APPROVE,OMITS,GORE,OMITS,OMITS,SAME,OMITS,DEMOCRAT,,15-30K,,65+,STATE,EAST,60+,60+,DEMOCRAT,65+,,,,2.191
STATE ONLY,25.0,13.0,14.0,FIRST CALL,60-64,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,15-30K,MODERATE,18-64,STATE,EAST,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,2.102
STATE ONLY,25.0,13.0,15.0,FIRST CALL,75+,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,15-30K,LIBERAL,65+,STATE,EAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,2.102
STATE ONLY,25.0,13.0,16.0,SECOND CALL,50-59,WHITE,MALE,GORE,LOTT,APPROVE,FAVORABLE,GORE,NO,CLINTON,SAME,APP/FAV,INDEPEND,PROTESTANT,50-75K,MODERATE,18-64,STATE,EAST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.84
STATE ONLY,25.0,13.0,17.0,SECOND CALL,50-59,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,WOULDNOTVOTE,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,OTHERCHRIST,15-30K,LIBERAL,18-64,STATE,EAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.5210000000000001
STATE ONLY,25.0,13.0,18.0,SECOND CALL,40-44,WHITE,MALE,BUSH,LOTT,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,OVER100K,CONSERV,18-64,STATE,EAST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.1
STATE ONLY,25.0,13.0,19.0,SECOND CALL,40-44,BLACK,,GORE,BROWN,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,EAST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.5210000000000001
STATE ONLY,25.0,13.0,20.0,THIRD CALL,25-29,BLACK,MALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,BETTER,APP/FAV,DEMOCRAT,ELSE,15-30K,CONSERV,18-64,STATE,EAST,18-29,25-29,DEMOCRAT,25-29,OTHER,,,1.3940000000000001
STATE ONLY,25.0,13.0,21.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,LOTT,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,CONSERV,18-64,STATE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.057
STATE ONLY,25.0,13.0,22.0,THIRD CALL,18-24,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,EAST,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,1.339
STATE ONLY,25.0,13.0,23.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,SAME,APP/FAV,,ELSE,LESS15K,CONSERV,18-64,STATE,EAST,30-44,30-39,,30-39,OTHER,,,1.5210000000000001
STATE ONLY,25.0,13.0,24.0,THIRD CALL,25-29,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,EAST,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,1.339
STATE ONLY,25.0,13.0,25.0,THIRD CALL,18-24,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,NOVOTE,BETTER,APP/FAV,DEMOCRAT,ELSE,LESS15K,MODERATE,18-64,STATE,EAST,18-29,18-24,DEMOCRAT,18-24,OTHER,,,1.339
STATE ONLY,25.0,13.0,26.0,THIRD CALL,30-39,WHITE,MALE,BUSH,LOTT,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,CONSERV,18-64,STATE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.1
STATE ONLY,25.0,13.0,27.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,LOTT,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,75-100K,MODERATE,18-64,STATE,EAST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.057
STATE ONLY,25.0,13.0,28.0,THIRD CALL,25-29,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,NOVOTE,SAME,APP/FAV,DEMOCRAT,ELSE,LESS15K,LIBERAL,18-64,STATE,EAST,18-29,25-29,DEMOCRAT,25-29,OTHER,,,1.339
STATE ONLY,25.0,13.0,29.0,THIRD CALL,18-24,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,ELSE,15-30K,MODERATE,18-64,STATE,EAST,18-29,18-24,DEMOCRAT,18-24,OTHER,,,1.339
STATE ONLY,25.0,13.0,30.0,THIRD CALL,40-44,WHITE,MALE,BUSH,LOTT,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,15-30K,CONSERV,18-64,STATE,EAST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.1
STATE ONLY,25.0,13.0,31.0,THIRD CALL,18-24,BLACK,MALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,LESS15K,LIBERAL,18-64,STATE,EAST,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,1.3940000000000001
STATE ONLY,25.0,13.0,32.0,THIRD CALL,60-64,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,SAME,APP/FAV,DEMOCRAT,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,EAST,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,2.102
STATE ONLY,25.0,13.0,33.0,THIRD CALL,18-24,BLACK,MALE,GORE,BROWN,DISAPPR,UNFAVORABLE,GORE,YES,CLINTON,BETTER,DIS/UNFAV,,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,EAST,18-29,18-24,,18-24,PROT/CHRIST,,,1.3940000000000001
STATE ONLY,25.0,13.0,34.0,THIRD CALL,60-64,BLACK,,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,30-50K,LIBERAL,18-64,STATE,EAST,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,2.191
STATE ONLY,25.0,14.0,1.0,FIRST CALL,75+,WHITE,,BUSH,LOTT,APPROVE,OMITS,BUSH,OMITS,PEROT,BETTER,OMITS,REPUBLCN,PROTESTANT,LESS15K,LIBERAL,65+,STATE,EAST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.994
STATE ONLY,25.0,14.0,2.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,LOTT,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,,18-64,STATE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.72
STATE ONLY,25.0,14.0,3.0,FIRST CALL,65-74,WHITE,,BUSH,LOTT,APPROVE,UNFAVORABLE,BUSH,NO,CLINTON,SAME,APP/UNFAV,INDEPEND,PROTESTANT,,MODERATE,65+,STATE,EAST,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.036
STATE ONLY,25.0,14.0,4.0,FIRST CALL,75+,WHITE,MALE,BUSH,LOTT,DISAPPR,UNFAVORABLE,BUSH,YES,OTHER,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,65+,STATE,EAST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.036
STATE ONLY,25.0,14.0,5.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,LOTT,DISAPPR,UNFAVORABLE,BUSH,NO,NOVOTE,BETTER,DIS/UNFAV,ELSE,OTHERCHRIST,15-30K,CONSERV,18-64,STATE,EAST,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,0.634
STATE ONLY,25.0,14.0,6.0,FIRST CALL,75+,WHITE,MALE,BUSH,LOTT,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,65+,STATE,EAST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.036
