VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,FORCANNY,X6VOTE,UNION4,FINSIT,JOBPERS,WORK,UNFAIRNY,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,CARPETBG,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,LATINO,QRACE,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
NATIONAL YELLOW,33.0,3.0,17.0,SECOND CALL,45-49,WHITE,MALE,NADER,CLINTON,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,SOCIALSECUR,HONEST,,CLINTON,ME,BETTER,APP/FAV,YES,,ELSE,SUBURBS,COLGRAD,CATHOLIC,AFEWAYEAR,75-100K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,45-59,40-49,IND/OTHER,40-49,NO,WHITE,CATHOLIC,,,PERSONALQUAL,SOCIALSECUR,HONEST,0.492
NATIONAL YELLOW,33.0,3.0,18.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,EDUCATION,HONEST,,DOLE,NONE,WORSE,DIS/UNFAV,YES,,INDEPEND,SUBURBS,COLGRAD,CATHOLIC,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,40-49,IND/OTHER,40-49,NO,WHITE,CATHOLIC,,,ISSUES,EDUCATION,HONEST,0.981
NATIONAL YELLOW,33.0,3.0,19.0,SECOND CALL,18-24,WHITE,MALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,ECON/JOBS,HONEST,,NOVOTE,SOMEONEELSE,SAME,DIS/UNFAV,YES,,REPUBLCN,SUBURBS,HSGRAD,OTHERCHRIST,AFEWAYEAR,OVER100K,NO,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,18-29,18-24,REPUBLICAN,18-24,NO,WHITE,PROT/CHRIST,,,ISSUES,ECON/JOBS,HONEST,1.1
NATIONAL GREY,33.0,3.0,20.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,CLINTON,,,,,SUBURBS,,,,,,,,,,DEMOCRAT,SUBURBS,HSGRAD,,,,,,LIBERAL,65+,SOCIALSECURI,,NATIONAL,COMPLETE,URBANUPSTATE,60+,60+,DEMOCRAT,65+,,WHITE,,ONLYGORE,ONLYGORE,,,,1.299
NATIONAL GREY,33.0,3.0,21.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,LAZIO,,,,,SUBURBS,,,,,,,,,,,SUBURBS,,,,,,,,65+,OMITS,,NATIONAL,NOTCOMPLETE,URBANUPSTATE,60+,60+,,65+,NO,WHITE,,OMITS,OMITS,,,,1.242
NATIONAL GREY,33.0,3.0,22.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,OTHER,,,,,SUBURBS,,,,,,,,,,ELSE,SUBURBS,SOMCOL/ASSOC,,,75-100K,,,CONSERV,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,40-49,IND/OTHER,40-49,NO,WHITE,,BOTH,ONLYGORE,,,,1.4040000000000001
NATIONAL PINK,33.0,3.0,23.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,LAZIO,,,,,SUBURBS,,,,,ME,,,NO,,,SUBURBS,,,,,,,,65+,,,NATIONAL,NOTCOMPLETE,URBANUPSTATE,60+,60+,,65+,NO,WHITE,,,,,,,1.242
NATIONAL PINK,33.0,3.0,24.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,LAZIO,,,,,SUBURBS,,,,,NONE,,,NO,,REPUBLCN,SUBURBS,,PROTESTANT,,30-50K,YES,YES,CONSERV,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,,,,,,0.981
NATIONAL PINK,33.0,3.0,25.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,CLINTON,,,,,SUBURBS,,,,,ME,,,YES,,INDEPEND,SUBURBS,,CATHOLIC,,50-75K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,30-39,IND/OTHER,30-39,NO,WHITE,CATHOLIC,,,,,,1.025
NATIONAL WHITE,33.0,3.0,26.0,THIRD CALL,18-24,WHITE,MALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,EDUCATION,HONEST,,NOVOTE,SOMEONEELSE,SAME,DIS/UNFAV,YES,,INDEPEND,SUBURBS,HSGRAD,PROTESTANT,MORETHAN1AWK,15-30K,NO,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,18-29,18-24,IND/OTHER,18-24,NO,WHITE,PROT/CHRIST,,,ISSUES,,,1.1
NATIONAL WHITE,33.0,3.0,27.0,THIRD CALL,30-39,WHITE,MALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,ECON/JOBS,HONEST,,DOLE,NONE,SAME,DIS/UNFAV,YES,,REPUBLCN,SUBURBS,HSGRAD,OTHERCHRIST,ONCEAWEEK,30-50K,YES,YES,CONSERV,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,,,PERSONALQUAL,,,1.084
NATIONAL WHITE,33.0,3.0,28.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,LAZIO,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,MEDICARE/RX,STRONGLEADER,,DOLE,NONE,SAME,APP/UNFAV,YES,,ELSE,SUBURBS,HSGRAD,CATHOLIC,AFEWAMONTH,30-50K,YES,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,30-39,IND/OTHER,30-39,NO,WHITE,CATHOLIC,,,ISSUES,,,1.041
NATIONAL WHITE,33.0,3.0,29.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,STRONGLEADER,,PEROT,SOMEONEELSE,BETTER,DIS/UNFAV,YES,,REPUBLCN,SUBURBS,COLGRAD,CATHOLIC,AFEWAYEAR,30-50K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,CATHOLIC,,,PERSONALQUAL,,,0.981
NATIONAL WHITE,33.0,3.0,30.0,THIRD CALL,60-64,WHITE,FEMALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,EXPERIENCE,,DOLE,SOMEONEELSE,SAME,DIS/UNFAV,NO,,REPUBLCN,SUBURBS,NOHS,PROTESTANT,MORETHAN1AWK,15-30K,YES,NO,CONSERV,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,60+,60+,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,,,ISSUES,,,1.242
NATIONAL WHITE,33.0,3.0,31.0,THIRD CALL,30-39,WHITE,MALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,ECON/JOBS,HONEST,,CLINTON,NONE,WORSE,DIS/UNFAV,YES,,REPUBLCN,SUBURBS,COLGRAD,CATHOLIC,AFEWAYEAR,30-50K,YES,NO,,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,CATHOLIC,,,ISSUES,,,1.084
NATIONAL WHITE,33.0,3.0,32.0,THIRD CALL,50-59,WHITE,MALE,BUSH,LAZIO,OMITS,OMITS,OMITS,LESS,SUBURBS,ECON/JOBS,HONEST,,OMITS,NONE,OMITS,,YES,,,SUBURBS,,,OMITS,,,,,18-64,,,NATIONAL,NOTCOMPLETE,URBANUPSTATE,45-59,50-59,,50-64,NO,WHITE,,,,OMITS,,,1.084
NATIONAL YELLOW,33.0,3.0,33.0,THIRD CALL,40-44,WHITE,,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,WORLDAFFAIRS,GOODJUDGMENT,,CLINTON,ME,BETTER,APP/FAV,,,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAMONTH,LESS15K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,40-49,DEMOCRAT,40-49,NO,WHITE,PROT/CHRIST,,,ISSUES,WORLDAFFAIRS,GOODJUDGMENT,1.025
NATIONAL YELLOW,33.0,3.0,34.0,THIRD CALL,40-44,WHITE,MALE,OTHER,OTHER,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,HONEST,,DOLE,NONE,SAME,DIS/UNFAV,YES,,ELSE,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,30-50K,YES,YES,CONSERV,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,,,ISSUES,WORLDAFFAIRS,HONEST,1.5250000000000001
NATIONAL YELLOW,33.0,3.0,35.0,THIRD CALL,65-74,WHITE,MALE,BUSH,LAZIO,OMITS,OMITS,OMITS,LESS,SUBURBS,MEDICARE/RX,HONEST,,OMITS,NONE,OMITS,,NO,,,SUBURBS,,,OMITS,,,,,65+,,,NATIONAL,NOTCOMPLETE,URBANUPSTATE,60+,60+,,65+,NO,WHITE,,,,OMITS,MEDICARE/RX,HONEST,1.372
NATIONAL YELLOW,33.0,3.0,36.0,THIRD CALL,30-39,WHITE,FEMALE,NADER,CLINTON,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,EDUCATION,CARES,,CLINTON,NONE,SAME,APP/FAV,NO,,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,30-50K,NO,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,CATHOLIC,,,PERSONALQUAL,EDUCATION,CARES,0.446
NATIONAL YELLOW,33.0,3.0,37.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,EDUCATION,COMPLEXISSUE,,CLINTON,ME,BETTER,APP/FAV,YES,,DEMOCRAT,SUBURBS,POSTGRAD,PROTESTANT,ONCEAWEEK,OVER100K,YES,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,PROT/CHRIST,,,ISSUES,EDUCATION,COMPLEXISSUE,1.025
NATIONAL YELLOW,33.0,3.0,38.0,THIRD CALL,50-59,WHITE,MALE,GORE,CLINTON,APPROVE,OMITS,GORE,MORE,SUBURBS,HEALTHCARE,COMPLEXISSUE,,CLINTON,ME,SAME,OMITS,YES,,ELSE,SUBURBS,POSTGRAD,ELSE,NEVER,OVER100K,YES,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,45-59,50-59,IND/OTHER,50-64,NO,WHITE,OTHER,,,ISSUES,HEALTHCARE,COMPLEXISSUE,1.133
NATIONAL YELLOW,33.0,3.0,39.0,THIRD CALL,25-29,WHITE,MALE,GORE,CLINTON,OMITS,OMITS,OMITS,MORE,SUBURBS,SOCIALSECUR,EXPERIENCE,,OMITS,,BETTER,OMITS,YES,,,SUBURBS,,,OMITS,,NO,NO,,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,18-29,25-29,,25-29,NO,WHITE,,,,OMITS,SOCIALSECUR,EXPERIENCE,1.1500000000000001
NATIONAL GREY,33.0,3.0,40.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,CLINTON,,,,,SUBURBS,,,,,,,,,,,SUBURBS,,,,,,,,18-64,OMITS,,NATIONAL,NOTCOMPLETE,URBANUPSTATE,45-59,50-59,,50-64,NO,WHITE,,OMITS,OMITS,,,,1.025
NATIONAL GREY,33.0,3.0,41.0,THIRD CALL,45-49,WHITE,MALE,BUSH,LAZIO,,,,,SUBURBS,,,,,,,,,,INDEPEND,SUBURBS,SOMCOL/ASSOC,,,30-50K,,,MODERATE,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,URBANUPSTATE,45-59,40-49,IND/OTHER,40-49,NO,WHITE,,ONLYBUSH,BOTH,,,,1.084
NATIONAL GREY,33.0,3.0,42.0,THIRD CALL,30-39,HISP,FEMALE,BUSH,LAZIO,,,,,SUBURBS,,,,,,,,,,INDEPEND,SUBURBS,HSGRAD,,,30-50K,,,CONSERV,18-64,CUTFEDINCTAX,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,30-39,IND/OTHER,30-39,YES,BLACK,,BOTH,ONLYGORE,,,,0.904
NATIONAL GREY,33.0,3.0,43.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,CLINTON,,,,,SUBURBS,,,,,,,,,,DEMOCRAT,SUBURBS,POSTGRAD,,,OVER100K,,,LIBERAL,18-64,OTHRPROGRAMS,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,40-49,DEMOCRAT,40-49,NO,WHITE,,ONLYGORE,ONLYBUSH,,,,1.025
NATIONAL GREY,33.0,3.0,44.0,THIRD CALL,50-59,WHITE,MALE,,LAZIO,,,,,SUBURBS,,,,,,,,,,INDEPEND,SUBURBS,HSGRAD,,,30-50K,,,MODERATE,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,URBANUPSTATE,45-59,50-59,IND/OTHER,50-64,,WHITE,,NEITHER,BOTH,,,,1.068
NATIONAL GREY,33.0,3.0,45.0,THIRD CALL,65-74,WHITE,MALE,BUSH,LAZIO,,,,,SUBURBS,,,,,,,,,,,SUBURBS,,,,,,,,65+,OMITS,,NATIONAL,NOTCOMPLETE,URBANUPSTATE,60+,60+,,65+,NO,WHITE,,OMITS,OMITS,,,,1.372
NATIONAL PINK,33.0,3.0,46.0,THIRD CALL,65-74,WHITE,MALE,BUSH,LAZIO,,,,,SUBURBS,,,,,NONE,,,NO,,,SUBURBS,,,,,,,,65+,,,NATIONAL,NOTCOMPLETE,URBANUPSTATE,60+,60+,,65+,NO,WHITE,,,,,,,1.372
NATIONAL PINK,33.0,3.0,47.0,THIRD CALL,30-39,WHITE,MALE,GORE,CLINTON,,,,,SUBURBS,,,,,NONE,,,YES,,ELSE,SUBURBS,,OTHERCHRIST,,75-100K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,30-39,IND/OTHER,30-39,NO,WHITE,PROT/CHRIST,,,,,,1.133
NATIONAL PINK,33.0,3.0,48.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,CLINTON,,,,,SUBURBS,,,,,ME,,,YES,,INDEPEND,SUBURBS,,CATHOLIC,,30-50K,NO,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,40-49,IND/OTHER,40-49,NO,WHITE,CATHOLIC,,,,,,1.025
NATIONAL PINK,33.0,3.0,49.0,THIRD CALL,40-44,WHITE,MALE,GORE,CLINTON,,,,,SUBURBS,,,,,NONE,,,YES,,INDEPEND,SUBURBS,,ELSE,,50-75K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,40-49,IND/OTHER,40-49,NO,WHITE,OTHER,,,,,,1.133
NATIONAL PINK,33.0,3.0,50.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,LAZIO,,,,,SUBURBS,,,,,SOMEONEELSE,,,NO,,REPUBLCN,SUBURBS,,OTHERCHRIST,,50-75K,YES,YES,CONSERV,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,,,,,,0.981
NATIONAL PINK,33.0,3.0,51.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,CLINTON,,,,,SUBURBS,,,,,SOMEONEELSE,,,YES,,INDEPEND,SUBURBS,,CATHOLIC,,50-75K,YES,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,30-39,IND/OTHER,30-39,NO,WHITE,CATHOLIC,,,,,,0.967
NATIONAL PINK,33.0,3.0,52.0,THIRD CALL,50-59,HISP,MALE,GORE,CLINTON,,,,,SUBURBS,,,,,SOMEONEELSE,,,YES,,INDEPEND,SUBURBS,,CATHOLIC,,OVER100K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,45-59,50-59,IND/OTHER,50-64,YES,HISP,CATHOLIC,,,,,,1.044
STATE ONLY,33.0,5.0,1.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,MEDICARE/RX,STRONGLEADER,FORCAND,CLINTON,MEANDSOMEONE,SAME,DIS/UNFAV,NO,CLINTONDID,REPUBLCN,RURAL,HSGRAD,PROTESTANT,MORETHAN1AWK,15-30K,YES,NO,LIBERAL,18-64,SOCIALSECURI,VERYCONC,STATE,COMPLETE,RURALUPSTATE,60+,60+,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,ONLYBUSH,BOTH,PERSONALQUAL,,,0.893
STATE ONLY,33.0,5.0,2.0,FIRST CALL,75+,WHITE,MALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,SOCIALSECUR,GOODJUDGMENT,FORCAND,CLINTON,NONE,SAME,APP/FAV,NO,LAZIODID,DEMOCRAT,RURAL,COLGRAD,NONE,NEVER,50-75K,YES,NO,LIBERAL,65+,REDUCNATDEBT,NOTATALLCONC,STATE,COMPLETE,RURALUPSTATE,60+,60+,DEMOCRAT,65+,NO,WHITE,NONE,NEITHER,NEITHER,ISSUES,,,1.124
STATE ONLY,33.0,5.0,3.0,FIRST CALL,30-39,WHITE,MALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,OMITS,GOODJUDGMENT,FORCAND,NOVOTE,ME,SAME,DIS/UNFAV,YES,CLINTONDID,REPUBLCN,RURAL,HSGRAD,ELSE,NEVER,30-50K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,SOMEWHATCONC,STATE,COMPLETE,RURALUPSTATE,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,OTHER,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,0.727
STATE ONLY,33.0,5.0,4.0,FIRST CALL,75+,WHITE,FEMALE,GORE,CLINTON,APPROVE,UNFAVORABLE,GORE,LESS,SMCITY/RURAL,WORLDAFFAIRS,COMPLEXISSUE,AGNOPPS,CLINTON,NONE,SAME,APP/UNFAV,NO,LAZIODID,INDEPEND,RURAL,COLGRAD,NONE,NEVER,50-75K,YES,NO,LIBERAL,65+,REDUCNATDEBT,NOTTOOCONC,STATE,COMPLETE,RURALUPSTATE,60+,60+,IND/OTHER,65+,NO,WHITE,NONE,ONLYGORE,BOTH,ISSUES,,,1.104
STATE ONLY,33.0,5.0,5.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,CLINTON,APPROVE,UNFAVORABLE,GORE,LESS,SMCITY/RURAL,TAXES,HONEST,FORCAND,CLINTON,NONE,SAME,APP/UNFAV,YES,LAZIODID,DEMOCRAT,RURAL,COLGRAD,PROTESTANT,AFEWAYEAR,50-75K,YES,YES,CONSERV,18-64,REDUCNATDEBT,NOTATALLCONC,STATE,COMPLETE,RURALUPSTATE,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,0.879
