VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,UNION4,FINSIT,JOBPERS,WORK,GOV98MN,PARTYID,ISQUASEN,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,UNFAIRMN,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,TRACK,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,24.0,2.0,24.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,DAYTON,APPROVE,FAVORABLE,BUSH,MORE,SUBURBS,TAXES,CARES,CLINTON,SOMEONEELSE,WORSE,APP/FAV,YES,VENTURA,ELSE,PERSONALQUAL,SUBURBS,HSGRAD,ELSE,AFEWAYEAR,30-50K,NO,YES,CONSERV,18-64,CUTFEDINCTAX,DAYTONDID,STATE,COMPLETE,TWINCTYMETRO,18-29,18-24,IND/OTHER,18-24,OTHER,RIGHTDIR,BOTH,ONLYGORE,PERSONALQUAL,,,1.278
STATE ONLY,24.0,2.0,25.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,DAYTON,APPROVE,UNFAVORABLE,GORE,OMITS,SUBURBS,EDUCATION,HONEST,OMITS,SOMEONEELSE,BETTER,APP/UNFAV,YES,VENTURA,INDEPEND,OMITS,SUBURBS,HSGRAD,OTHERCHRIST,AFEWAYEAR,30-50K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,OMITS,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,RIGHTDIR,BOTH,ONLYBUSH,ISSUES,,,1.085
STATE ONLY,24.0,2.0,26.0,THIRD CALL,18-24,ASIAN,MALE,GORE,DAYTON,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,WORLDAFFAIRS,GOODJUDGMENT,NOVOTE,NONE,SAME,APP/UNFAV,NO,NOVOTE,DEMOCRAT,ISSUES,SUBURBS,HSGRAD,ELSE,MORETHAN1AWK,30-50K,NO,NO,LIBERAL,18-64,SOCIALSECURI,GRAMSDID,STATE,COMPLETE,TWINCTYMETRO,18-29,18-24,DEMOCRAT,18-24,OTHER,RIGHTDIR,ONLYGORE,BOTH,ISSUES,,,1.578
STATE ONLY,24.0,2.0,27.0,THIRD CALL,30-39,WHITE,MALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,HONEST,DOLE,SOMEONEELSE,SAME,DIS/UNFAV,YES,VENTURA,REPUBLCN,ISSUES,SUBURBS,HSGRAD,CATHOLIC,AFEWAYEAR,30-50K,YES,YES,MODERATE,18-64,SOCIALSECURI,OMITS,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,WRONGTRACK,BOTH,BOTH,PERSONALQUAL,,,1.3
STATE ONLY,24.0,2.0,28.0,THIRD CALL,40-44,WHITE,MALE,GORE,DAYTON,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,OMITS,EXPERIENCE,NOVOTE,SOMEONEELSE,BETTER,APP/FAV,YES,NOVOTE,INDEPEND,ISSUES,SUBURBS,HSGRAD,NONE,AFEWAYEAR,30-50K,YES,YES,,18-64,CUTFEDINCTAX,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,30-44,40-49,IND/OTHER,40-49,NONE,RIGHTDIR,ONLYGORE,BOTH,PERSONALQUAL,,,1.315
STATE ONLY,24.0,2.0,29.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,DAYTON,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,EDUCATION,GOODJUDGMENT,CLINTON,ME,BETTER,APP/UNFAV,YES,HUMPHREY,DEMOCRAT,ISSUES,SUBURBS,COLGRAD,CATHOLIC,AFEWAMONTH,30-50K,YES,NO,MODERATE,18-64,SOCIALSECURI,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,RIGHTDIR,BOTH,BOTH,ISSUES,,,1.302
STATE ONLY,24.0,2.0,30.0,THIRD CALL,30-39,WHITE,MALE,GORE,DAYTON,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,ECON/JOBS,COMPLEXISSUE,PEROT,NONE,SAME,APP/FAV,YES,VENTURA,INDEPEND,PERSONALQUAL,SUBURBS,COLGRAD,CATHOLIC,ONCEAWEEK,15-30K,NO,NO,CONSERV,18-64,REDUCNATDEBT,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,IND/OTHER,30-39,CATHOLIC,RIGHTDIR,BOTH,NEITHER,ISSUES,,,1.315
STATE ONLY,24.0,2.0,31.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,DAYTON,APPROVE,OMITS,GORE,MORE,SUBURBS,SOCIALSECUR,STRONGLEADER,CLINTON,NONE,BETTER,OMITS,YES,VENTURA,DEMOCRAT,ISSUES,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,NEVER,75-100K,YES,YES,MODERATE,18-64,SOCIALSECURI,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,RIGHTDIR,ONLYGORE,BOTH,PERSONALQUAL,,,1.085
STATE ONLY,24.0,2.0,32.0,THIRD CALL,30-39,WHITE,MALE,NADER,OTHER,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,MEDICARE/RX,HONEST,CLINTON,SOMEONEELSE,BETTER,APP/FAV,YES,VENTURA,INDEPEND,ISSUES,SUBURBS,COLGRAD,ELSE,NEVER,30-50K,NO,NO,MODERATE,18-64,REDUCNATDEBT,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,IND/OTHER,30-39,OTHER,WRONGTRACK,ONLYGORE,BOTH,ISSUES,,,5.214
STATE ONLY,24.0,2.0,33.0,THIRD CALL,18-24,WHITE,MALE,BUSH,DAYTON,APPROVE,FAVORABLE,BUSH,MORE,SUBURBS,SOCIALSECUR,GOODJUDGMENT,NOVOTE,NONE,SAME,APP/FAV,YES,NOVOTE,ELSE,PERSONALQUAL,SUBURBS,NOHS,NONE,NEVER,30-50K,NO,YES,CONSERV,18-64,CUTFEDINCTAX,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,18-29,18-24,IND/OTHER,18-24,NONE,WRONGTRACK,NEITHER,BOTH,ISSUES,,,1.547
STATE ONLY,24.0,2.0,34.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,DAYTON,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,HEALTHCARE,CARES,CLINTON,SOMEONEELSE,BETTER,APP/FAV,YES,VENTURA,DEMOCRAT,ISSUES,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAMONTH,50-75K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,RIGHTDIR,ONLYGORE,NEITHER,ISSUES,,,1.085
NATIONAL WHITE,24.0,5.0,1.0,FIRST CALL,30-39,WHITE,MALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,HEALTHCARE,HONEST,PEROT,NONE,SAME,DIS/UNFAV,YES,,INDEPEND,,SUBURBS,COLGRAD,PROTESTANT,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,TWINCTYMETRO,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,RIGHTDIR,,,ISSUES,,,0.729
NATIONAL WHITE,24.0,5.0,2.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,GOODJUDGMENT,PEROT,NONE,BETTER,DIS/UNFAV,YES,,INDEPEND,,SUBURBS,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,50-75K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,TWINCTYMETRO,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,RIGHTDIR,,,PERSONALQUAL,,,0.602
NATIONAL YELLOW,24.0,5.0,3.0,FIRST CALL,30-39,WHITE,MALE,BUSH,GRAMS,APPROVE,FAVORABLE,BUSH,LESS,SUBURBS,TAXES,STRONGLEADER,CLINTON,NONE,BETTER,APP/FAV,YES,,REPUBLCN,,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,50-75K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,TWINCTYMETRO,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,RIGHTDIR,,,ISSUES,TAXES,STRONGLEADER,0.729
NATIONAL YELLOW,24.0,5.0,4.0,FIRST CALL,40-44,WHITE,MALE,GORE,DAYTON,DISAPPR,FAVORABLE,GORE,MORE,SUBURBS,MEDICARE/RX,GOODJUDGMENT,CLINTON,NONE,SAME,DIS/FAV,YES,,DEMOCRAT,,SUBURBS,SOMCOL/ASSOC,ELSE,AFEWAYEAR,15-30K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,TWINCTYMETRO,30-44,40-49,DEMOCRAT,40-49,OTHER,RIGHTDIR,,,ISSUES,MEDICARE/RX,GOODJUDGMENT,0.737
NATIONAL GREY,24.0,5.0,5.0,FIRST CALL,30-39,WHITE,MALE,BUSH,GRAMS,,,,,SUBURBS,,,,,,,,,INDEPEND,,SUBURBS,SOMCOL/ASSOC,,,75-100K,,,MODERATE,18-64,CUTFEDINCTAX,,NATIONAL,COMPLETE,TWINCTYMETRO,30-44,30-39,IND/OTHER,30-39,,,ONLYBUSH,ONLYGORE,,,,0.729
NATIONAL PINK,24.0,5.0,6.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,GRAMS,,,,,SUBURBS,,,,SOMEONEELSE,,,NO,,REPUBLCN,,SUBURBS,,PROTESTANT,,75-100K,YES,YES,CONSERV,18-64,,,NATIONAL,COMPLETE,TWINCTYMETRO,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,,,,,0.602
NATIONAL WHITE,24.0,5.0,7.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,EDUCATION,HONEST,DOLE,NONE,WORSE,DIS/UNFAV,YES,,REPUBLCN,,SUBURBS,COLGRAD,PROTESTANT,MORETHAN1AWK,15-30K,YES,YES,CONSERV,18-64,,,NATIONAL,COMPLETE,TWINCTYMETRO,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,WRONGTRACK,,,ISSUES,,,0.602
NATIONAL WHITE,24.0,5.0,8.0,SECOND CALL,40-44,WHITE,MALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,STRONGLEADER,DOLE,NONE,BETTER,DIS/UNFAV,YES,,INDEPEND,,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,15-30K,YES,YES,CONSERV,18-64,,,NATIONAL,COMPLETE,TWINCTYMETRO,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,WRONGTRACK,,,ISSUES,,,0.729
NATIONAL WHITE,24.0,5.0,9.0,SECOND CALL,40-44,WHITE,MALE,GORE,DAYTON,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,CARES,CLINTON,NONE,SAME,APP/FAV,YES,,DEMOCRAT,,SUBURBS,HSGRAD,CATHOLIC,NEVER,50-75K,NO,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,TWINCTYMETRO,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,RIGHTDIR,,,ISSUES,,,0.737
NATIONAL YELLOW,24.0,5.0,10.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,SOCIALSECUR,GOODJUDGMENT,DOLE,NONE,WORSE,DIS/UNFAV,NO,,REPUBLCN,,SUBURBS,COLGRAD,PROTESTANT,AFEWAYEAR,30-50K,YES,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,TWINCTYMETRO,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,WRONGTRACK,,,PERSONALQUAL,SOCIALSECUR,GOODJUDGMENT,0.965
NATIONAL GREY,24.0,5.0,11.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,DAYTON,,,,,SUBURBS,,,,,,,,,DEMOCRAT,,SUBURBS,SOMCOL/ASSOC,,,15-30K,,,MODERATE,18-64,REDUCNATDEBT,,NATIONAL,COMPLETE,TWINCTYMETRO,18-29,25-29,DEMOCRAT,25-29,,,ONLYBUSH,ONLYGORE,,,,0.715
