VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,12.0,2.0,11.0,FIRST CALL,50-59,OTHER,MALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,WORSE,APP/FAV,DEMOCRAT,CATHOLIC,LESS15K,MODERATE,18-64,STATE,NEIGHBORISLE,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.0090000000000001
STATE ONLY,12.0,2.0,12.0,FIRST CALL,50-59,WHITE,MALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,WORSE,DIS/UNFAV,INDEPEND,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,NEIGHBORISLE,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.935
STATE ONLY,12.0,2.0,13.0,FIRST CALL,60-64,OTHER,MALE,GORE,,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,INDEPEND,NONE,LESS15K,CONSERV,18-64,STATE,NEIGHBORISLE,60+,60+,IND/OTHER,50-64,NONE,,,1.372
STATE ONLY,12.0,2.0,14.0,FIRST CALL,50-59,OTHER,MALE,BUSH,AKAKA,OMITS,UNFAVORABLE,BUSH,DOLE,SAME,OMITS,,CATHOLIC,50-75K,CONSERV,18-64,STATE,NEIGHBORISLE,45-59,50-59,,50-64,CATHOLIC,,,0.865
STATE ONLY,12.0,2.0,15.0,FIRST CALL,50-59,ASIAN,FEMALE,GORE,AKAKA,DISAPPR,FAVORABLE,GORE,CLINTON,SAME,DIS/FAV,DEMOCRAT,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,NEIGHBORISLE,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.895
STATE ONLY,12.0,2.0,16.0,SECOND CALL,40-44,ASIAN,MALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,CATHOLIC,50-75K,MODERATE,18-64,STATE,NEIGHBORISLE,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.0090000000000001
STATE ONLY,12.0,2.0,17.0,SECOND CALL,18-24,WHITE,FEMALE,GORE,AKAKA,APPROVE,UNFAVORABLE,GORE,NOVOTE,SAME,APP/UNFAV,INDEPEND,NONE,LESS15K,CONSERV,18-64,STATE,NEIGHBORISLE,18-29,18-24,IND/OTHER,18-24,NONE,,,1.491
STATE ONLY,12.0,2.0,18.0,SECOND CALL,40-44,OTHER,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,WORSE,APP/FAV,DEMOCRAT,CATHOLIC,LESS15K,CONSERV,18-64,STATE,NEIGHBORISLE,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.895
STATE ONLY,12.0,2.0,19.0,SECOND CALL,50-59,WHITE,MALE,GORE,AKAKA,DISAPPR,UNFAVORABLE,GORE,CLINTON,BETTER,DIS/UNFAV,INDEPEND,CATHOLIC,OVER100K,MODERATE,18-64,STATE,NEIGHBORISLE,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.0090000000000001
STATE ONLY,12.0,2.0,20.0,SECOND CALL,30-39,OTHER,FEMALE,GORE,AKAKA,DISAPPR,FAVORABLE,GORE,CLINTON,BETTER,DIS/FAV,DEMOCRAT,CATHOLIC,50-75K,MODERATE,18-64,STATE,NEIGHBORISLE,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.895
STATE ONLY,12.0,2.0,21.0,SECOND CALL,40-44,ASIAN,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,CATHOLIC,30-50K,MODERATE,18-64,STATE,NEIGHBORISLE,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.895
STATE ONLY,12.0,2.0,22.0,SECOND CALL,60-64,OTHER,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,CATHOLIC,30-50K,CONSERV,18-64,STATE,NEIGHBORISLE,60+,60+,DEMOCRAT,50-64,CATHOLIC,,,1.175
STATE ONLY,12.0,2.0,23.0,SECOND CALL,40-44,ASIAN,MALE,OTHER,OTHER,APPROVE,FAVORABLE,WOULDNOTVOTE,CLINTON,BETTER,APP/FAV,DEMOCRAT,ELSE,15-30K,LIBERAL,18-64,STATE,NEIGHBORISLE,30-44,40-49,DEMOCRAT,40-49,OTHER,,,2.184
STATE ONLY,12.0,2.0,24.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,CATHOLIC,LESS15K,MODERATE,18-64,STATE,NEIGHBORISLE,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.895
STATE ONLY,12.0,2.0,25.0,SECOND CALL,50-59,ASIAN,MALE,BUSH,AKAKA,APPROVE,FAVORABLE,BUSH,CLINTON,WORSE,APP/FAV,INDEPEND,CATHOLIC,75-100K,LIBERAL,18-64,STATE,NEIGHBORISLE,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.865
STATE ONLY,12.0,2.0,26.0,SECOND CALL,,OTHER,MALE,GORE,AKAKA,DISAPPR,FAVORABLE,GORE,OTHER,SAME,DIS/FAV,DEMOCRAT,OTHERCHRIST,30-50K,CONSERV,,STATE,NEIGHBORISLE,,,DEMOCRAT,,PROT/CHRIST,,,1.0090000000000001
STATE ONLY,12.0,2.0,27.0,SECOND CALL,50-59,WHITE,MALE,GORE,,APPROVE,UNFAVORABLE,GORE,CLINTON,SAME,APP/UNFAV,INDEPEND,NONE,LESS15K,LIBERAL,18-64,STATE,NEIGHBORISLE,45-59,50-59,IND/OTHER,50-64,NONE,,,1.046
STATE ONLY,12.0,2.0,28.0,SECOND CALL,50-59,ASIAN,FEMALE,BUSH,AKAKA,APPROVE,UNFAVORABLE,GORE,DOLE,BETTER,APP/UNFAV,INDEPEND,OTHERCHRIST,,MODERATE,18-64,STATE,NEIGHBORISLE,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.768
STATE ONLY,12.0,2.0,29.0,SECOND CALL,50-59,ASIAN,MALE,BUSH,AKAKA,DISAPPR,UNFAVORABLE,BUSH,CLINTON,BETTER,DIS/UNFAV,DEMOCRAT,PROTESTANT,,MODERATE,18-64,STATE,NEIGHBORISLE,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.865
STATE ONLY,12.0,2.0,30.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,ELSE,ELSE,15-30K,LIBERAL,18-64,STATE,NEIGHBORISLE,60+,60+,IND/OTHER,50-64,OTHER,,,1.175
STATE ONLY,12.0,2.0,31.0,SECOND CALL,45-49,ASIAN,FEMALE,BUSH,AKAKA,APPROVE,UNFAVORABLE,BUSH,DOLE,BETTER,APP/UNFAV,REPUBLCN,PROTESTANT,15-30K,CONSERV,18-64,STATE,NEIGHBORISLE,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.768
STATE ONLY,12.0,2.0,32.0,SECOND CALL,75+,OTHER,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,INDEPEND,CATHOLIC,LESS15K,LIBERAL,65+,STATE,NEIGHBORISLE,60+,60+,IND/OTHER,65+,CATHOLIC,,,1.175
STATE ONLY,12.0,2.0,33.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,CARROLL,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,,30-50K,CONSERV,18-64,STATE,NEIGHBORISLE,30-44,30-39,DEMOCRAT,30-39,,,,0.967
STATE ONLY,12.0,2.0,34.0,SECOND CALL,40-44,ASIAN,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,NEIGHBORISLE,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.895
STATE ONLY,12.0,2.0,35.0,SECOND CALL,40-44,OTHER,FEMALE,BUSH,AKAKA,APPROVE,FAVORABLE,BUSH,CLINTON,SAME,APP/FAV,INDEPEND,CATHOLIC,30-50K,MODERATE,18-64,STATE,NEIGHBORISLE,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.768
STATE ONLY,12.0,2.0,36.0,SECOND CALL,50-59,OTHER,MALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,OVER100K,MODERATE,18-64,STATE,NEIGHBORISLE,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.935
STATE ONLY,12.0,2.0,37.0,SECOND CALL,45-49,WHITE,MALE,BUSH,AKAKA,APPROVE,OMITS,BUSH,CLINTON,WORSE,OMITS,REPUBLCN,CATHOLIC,LESS15K,CONSERV,18-64,STATE,NEIGHBORISLE,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.865
STATE ONLY,12.0,2.0,38.0,SECOND CALL,18-24,OTHER,MALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,INDEPEND,NONE,50-75K,LIBERAL,18-64,STATE,NEIGHBORISLE,18-29,18-24,IND/OTHER,18-24,NONE,,,1.677
STATE ONLY,12.0,2.0,39.0,SECOND CALL,50-59,,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,WOULDNOTVOTE,CLINTON,SAME,APP/FAV,DEMOCRAT,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,NEIGHBORISLE,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.895
STATE ONLY,12.0,2.0,40.0,SECOND CALL,50-59,ASIAN,MALE,GORE,AKAKA,DISAPPR,FAVORABLE,GORE,CLINTON,WORSE,DIS/FAV,DEMOCRAT,OTHERCHRIST,LESS15K,MODERATE,18-64,STATE,NEIGHBORISLE,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.0090000000000001
STATE ONLY,12.0,2.0,41.0,THIRD CALL,50-59,OTHER,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,INDEPEND,CATHOLIC,,LIBERAL,18-64,STATE,NEIGHBORISLE,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.895
STATE ONLY,12.0,2.0,42.0,THIRD CALL,40-44,OTHER,FEMALE,BUSH,AKAKA,APPROVE,FAVORABLE,BUSH,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,30-50K,MODERATE,18-64,STATE,NEIGHBORISLE,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.768
STATE ONLY,12.0,2.0,43.0,THIRD CALL,65-74,OTHER,FEMALE,GORE,AKAKA,APPROVE,OMITS,GORE,CLINTON,OMITS,OMITS,DEMOCRAT,PROTESTANT,LESS15K,,65+,STATE,NEIGHBORISLE,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.175
STATE ONLY,12.0,2.0,44.0,THIRD CALL,30-39,OTHER,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,CATHOLIC,LESS15K,MODERATE,18-64,STATE,NEIGHBORISLE,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.895
STATE ONLY,12.0,2.0,45.0,THIRD CALL,30-39,OTHER,FEMALE,GORE,AKAKA,DISAPPR,FAVORABLE,GORE,CLINTON,BETTER,DIS/FAV,DEMOCRAT,CATHOLIC,15-30K,MODERATE,18-64,STATE,NEIGHBORISLE,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.895
STATE ONLY,12.0,2.0,46.0,THIRD CALL,50-59,ASIAN,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,PEROT,SAME,APP/FAV,DEMOCRAT,ELSE,50-75K,MODERATE,18-64,STATE,NEIGHBORISLE,45-59,50-59,DEMOCRAT,50-64,OTHER,,,0.895
STATE ONLY,12.0,2.0,47.0,THIRD CALL,50-59,ASIAN,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,ELSE,CATHOLIC,50-75K,LIBERAL,18-64,STATE,NEIGHBORISLE,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.895
STATE ONLY,12.0,2.0,48.0,THIRD CALL,60-64,OTHER,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,CATHOLIC,15-30K,CONSERV,18-64,STATE,NEIGHBORISLE,60+,60+,DEMOCRAT,50-64,CATHOLIC,,,1.175
STATE ONLY,12.0,2.0,49.0,THIRD CALL,40-44,OTHER,MALE,GORE,AKAKA,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,CATHOLIC,15-30K,MODERATE,18-64,STATE,NEIGHBORISLE,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.0090000000000001
STATE ONLY,12.0,2.0,50.0,THIRD CALL,40-44,OTHER,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,WORSE,APP/FAV,INDEPEND,PROTESTANT,50-75K,MODERATE,18-64,STATE,NEIGHBORISLE,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.895
STATE ONLY,12.0,2.0,51.0,THIRD CALL,75+,OTHER,MALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,CATHOLIC,15-30K,MODERATE,65+,STATE,NEIGHBORISLE,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.324
STATE ONLY,12.0,2.0,52.0,THIRD CALL,45-49,OTHER,MALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,CATHOLIC,30-50K,CONSERV,18-64,STATE,NEIGHBORISLE,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.0090000000000001
STATE ONLY,12.0,2.0,53.0,THIRD CALL,30-39,OTHER,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,CATHOLIC,15-30K,MODERATE,18-64,STATE,NEIGHBORISLE,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.895
STATE ONLY,12.0,2.0,54.0,THIRD CALL,45-49,OTHER,FEMALE,,AKAKA,OMITS,OMITS,OMITS,OMITS,BETTER,OMITS,,,,LIBERAL,18-64,STATE,NEIGHBORISLE,45-59,40-49,,40-49,,,,0.834
STATE ONLY,12.0,2.0,55.0,THIRD CALL,,OTHER,MALE,GORE,AKAKA,OMITS,OMITS,GORE,CLINTON,BETTER,OMITS,DEMOCRAT,OTHERCHRIST,,CONSERV,,STATE,NEIGHBORISLE,,,DEMOCRAT,,PROT/CHRIST,,,1.0090000000000001
STATE ONLY,12.0,2.0,56.0,THIRD CALL,45-49,ASIAN,FEMALE,BUSH,AKAKA,APPROVE,FAVORABLE,OMITS,CLINTON,BETTER,APP/FAV,DEMOCRAT,CATHOLIC,15-30K,MODERATE,18-64,STATE,NEIGHBORISLE,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.768
STATE ONLY,12.0,2.0,57.0,THIRD CALL,50-59,OTHER,MALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,CATHOLIC,15-30K,,18-64,STATE,NEIGHBORISLE,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.0090000000000001
STATE ONLY,12.0,2.0,58.0,THIRD CALL,30-39,ASIAN,MALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,CATHOLIC,15-30K,MODERATE,18-64,STATE,NEIGHBORISLE,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,1.0090000000000001
STATE ONLY,12.0,4.0,1.0,FIRST CALL,50-59,ASIAN,MALE,BUSH,AKAKA,APPROVE,UNFAVORABLE,BUSH,CLINTON,WORSE,APP/UNFAV,INDEPEND,CATHOLIC,OVER100K,MODERATE,18-64,STATE,HONOLULU,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.431
STATE ONLY,12.0,4.0,2.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,CARROLL,APPROVE,UNFAVORABLE,BUSH,CLINTON,BETTER,APP/UNFAV,REPUBLCN,PROTESTANT,OVER100K,MODERATE,18-64,STATE,HONOLULU,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.5010000000000001
STATE ONLY,12.0,4.0,3.0,FIRST CALL,75+,ASIAN,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,50-75K,MODERATE,65+,STATE,HONOLULU,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,2.408
STATE ONLY,12.0,4.0,4.0,FIRST CALL,50-59,ASIAN,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,NONE,OVER100K,MODERATE,18-64,STATE,HONOLULU,45-59,50-59,REPUBLICAN,50-64,NONE,,,1.482
STATE ONLY,12.0,4.0,5.0,FIRST CALL,50-59,ASIAN,FEMALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,PEROT,SAME,DIS/UNFAV,INDEPEND,PROTESTANT,OVER100K,MODERATE,18-64,STATE,HONOLULU,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.5010000000000001
STATE ONLY,12.0,4.0,6.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,CARROLL,APPROVE,FAVORABLE,BUSH,CLINTON,WORSE,APP/FAV,INDEPEND,CATHOLIC,50-75K,LIBERAL,18-64,STATE,HONOLULU,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.5010000000000001
STATE ONLY,12.0,4.0,7.0,FIRST CALL,,,,BUSH,,OMITS,OMITS,OMITS,DOLE,OMITS,OMITS,,,,,,STATE,HONOLULU,,,,,,,,1.482
STATE ONLY,12.0,4.0,8.0,FIRST CALL,40-44,ASIAN,FEMALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,75-100K,CONSERV,18-64,STATE,HONOLULU,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.5010000000000001
STATE ONLY,12.0,4.0,9.0,FIRST CALL,50-59,ASIAN,MALE,BUSH,,APPROVE,UNFAVORABLE,BUSH,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,PROTESTANT,,LIBERAL,18-64,STATE,HONOLULU,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.482
STATE ONLY,12.0,4.0,10.0,FIRST CALL,30-39,ASIAN,FEMALE,,AKAKA,OMITS,FAVORABLE,GORE,CLINTON,BETTER,OMITS,,NONE,15-30K,,18-64,STATE,HONOLULU,30-44,30-39,,30-39,NONE,,,1.548
STATE ONLY,12.0,4.0,11.0,FIRST CALL,50-59,WHITE,MALE,GORE,CARROLL,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,INDEPEND,PROTESTANT,OVER100K,MODERATE,18-64,STATE,HONOLULU,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.911
STATE ONLY,12.0,4.0,12.0,FIRST CALL,50-59,WHITE,MALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,INDEPEND,OTHERCHRIST,OVER100K,MODERATE,18-64,STATE,HONOLULU,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.545
STATE ONLY,12.0,4.0,13.0,FIRST CALL,65-74,OTHER,MALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,ELSE,OVER100K,CONSERV,65+,STATE,HONOLULU,60+,60+,REPUBLICAN,65+,OTHER,,,2.162
STATE ONLY,12.0,4.0,14.0,FIRST CALL,40-44,ASIAN,MALE,GORE,AKAKA,APPROVE,UNFAVORABLE,GORE,CLINTON,SAME,APP/UNFAV,REPUBLCN,OTHERCHRIST,OVER100K,MODERATE,18-64,STATE,HONOLULU,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.7710000000000001
STATE ONLY,12.0,4.0,15.0,FIRST CALL,40-44,ASIAN,FEMALE,BUSH,AKAKA,APPROVE,UNFAVORABLE,BUSH,DOLE,BETTER,APP/UNFAV,REPUBLCN,NONE,OVER100K,CONSERV,18-64,STATE,HONOLULU,30-44,40-49,REPUBLICAN,40-49,NONE,,,1.391
STATE ONLY,12.0,4.0,16.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,CARROLL,APPROVE,UNFAVORABLE,GORE,CLINTON,SAME,APP/UNFAV,DEMOCRAT,PROTESTANT,50-75K,MODERATE,18-64,STATE,HONOLULU,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,2.601
STATE ONLY,12.0,4.0,17.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,OVER100K,LIBERAL,18-64,STATE,HONOLULU,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.72
STATE ONLY,12.0,4.0,18.0,SECOND CALL,30-39,ASIAN,FEMALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,INDEPEND,NONE,OVER100K,CONSERV,18-64,STATE,HONOLULU,30-44,30-39,IND/OTHER,30-39,NONE,,,1.5010000000000001
STATE ONLY,12.0,4.0,19.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,AKAKA,APPROVE,UNFAVORABLE,GORE,CLINTON,SAME,APP/UNFAV,DEMOCRAT,PROTESTANT,50-75K,MODERATE,65+,STATE,HONOLULU,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,2.408
STATE ONLY,12.0,4.0,20.0,SECOND CALL,60-64,WHITE,MALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,OVER100K,CONSERV,18-64,STATE,HONOLULU,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,2.162
STATE ONLY,12.0,4.0,21.0,SECOND CALL,65-74,WHITE,MALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,65+,STATE,HONOLULU,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,2.162
STATE ONLY,12.0,4.0,22.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,INDEPEND,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,HONOLULU,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.5010000000000001
STATE ONLY,12.0,4.0,23.0,SECOND CALL,45-49,ASIAN,FEMALE,GORE,CARROLL,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,ELSE,OVER100K,MODERATE,18-64,STATE,HONOLULU,45-59,40-49,DEMOCRAT,40-49,OTHER,,,1.857
