VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,TIME,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,UNION4,UNFAIR,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,TRACK,PRESKNOW,THOMPSON,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,50.0,2.0,13.0,SECOND CALL,30-39,WHITE,MALE,BUSH,KOHL,LAST.3DAYS,APPROVE,FAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,CARES,NO,CLINTON,ME,NEITHERDID,BETTER,APP/FAV,YES,REPUBLCN,RURAL,SOMCOL/ASSOC,NONE,AFEWAYEAR,30-50K,YES,YES,MODERATE,18-64,OMITS,STATE,COMPLETE,FOXRIVERSW,30-44,30-39,REPUBLICAN,30-39,NONE,,BOTH,APPROVE,NEITHER,ISSUES,,,1.025
STATE ONLY,50.0,2.0,14.0,SECOND CALL,65-74,WHITE,MALE,BUSH,KOHL,BEFORE,APPROVE,FAVORABLE,OMITS,MORE,SMCITY/RURAL,SOCIALSECUR,OMITS,OMITS,CLINTON,ME,BOTHDID,BETTER,APP/FAV,YES,ELSE,RURAL,SOMCOL/ASSOC,OTHERCHRIST,NEVER,30-50K,YES,NO,,65+,REDUCNATDEBT,STATE,COMPLETE,FOXRIVERSW,60+,60+,IND/OTHER,65+,PROT/CHRIST,,NEITHER,APPROVE,BOTH,OMITS,,,1.2
STATE ONLY,50.0,2.0,15.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,KOHL,BEFORE,APPROVE,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,ECON/JOBS,GOODJUDGMENT,NO,CLINTON,NONE,NEITHERDID,BETTER,APP/UNFAV,YES,INDEPEND,RURAL,HSGRAD,ELSE,AFEWAMONTH,15-30K,NO,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,FOXRIVERSW,30-44,30-39,IND/OTHER,30-39,OTHER,,ONLYGORE,DISAPPR,BOTH,ISSUES,,,0.999
STATE ONLY,50.0,2.0,16.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,KOHL,BEFORE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,ECON/JOBS,CARES,NO,CLINTON,NONE,BUSHDID,BETTER,APP/FAV,YES,DEMOCRAT,RURAL,SOMCOL/ASSOC,OTHERCHRIST,AFEWAMONTH,LESS15K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,FOXRIVERSW,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,ONLYGORE,APPROVE,ONLYBUSH,ISSUES,,,1.161
STATE ONLY,50.0,2.0,17.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,KOHL,BEFORE,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,MEDICARE/RX,EXPERIENCE,NO,CLINTON,SOMEONEELSE,BOTHDID,SAME,APP/FAV,YES,DEMOCRAT,RURAL,HSGRAD,PROTESTANT,AFEWAMONTH,30-50K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,FOXRIVERSW,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,BOTH,APPROVE,BOTH,ISSUES,,,0.999
STATE ONLY,50.0,2.0,18.0,SECOND CALL,25-29,WHITE,FEMALE,NADER,GILLESPIE,LAST.MONTH,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,OMITS,SMCITY/RURAL,OMITS,OMITS,NO,NOVOTE,NONE,BOTHDID,SAME,DIS/UNFAV,YES,INDEPEND,RURAL,HSGRAD,OTHERCHRIST,NEVER,,NO,NO,MODERATE,18-64,OMITS,STATE,COMPLETE,FOXRIVERSW,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,,NEITHER,APPROVE,BOTH,OMITS,,,1.071
STATE ONLY,50.0,2.0,19.0,SECOND CALL,45-49,WHITE,MALE,GORE,KOHL,BEFORE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,WORLDAFFAIRS,GOODJUDGMENT,NO,CLINTON,ME,BUSHDID,BETTER,APP/FAV,YES,INDEPEND,RURAL,NOHS,NONE,NEVER,15-30K,YES,NO,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,FOXRIVERSW,45-59,40-49,IND/OTHER,40-49,NONE,,ONLYGORE,APPROVE,ONLYBUSH,PERSONALQUAL,,,1.018
STATE ONLY,50.0,2.0,20.0,SECOND CALL,60-64,WHITE,MALE,NADER,,LAST.3DAYS,APPROVE,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,SOCIALSECUR,HONEST,NO,PEROT,NONE,NEITHERDID,WORSE,APP/UNFAV,NO,DEMOCRAT,RURAL,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,50-75K,YES,NO,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,FOXRIVERSW,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,ONLYGORE,APPROVE,ONLYBUSH,ISSUES,,,1.164
STATE ONLY,50.0,2.0,21.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,KOHL,BEFORE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,MEDICARE/RX,LIKEABLE,NO,CLINTON,NONE,BOTHDID,BETTER,APP/FAV,,DEMOCRAT,RURAL,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,15-30K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,FOXRIVERSW,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,NEITHER,DISAPPR,BOTH,PERSONALQUAL,,,0.999
STATE ONLY,50.0,2.0,22.0,THIRD CALL,30-39,WHITE,MALE,BUSH,,LAST.MONTH,OMITS,OMITS,OMITS,OMITS,SMCITY/RURAL,OMITS,OMITS,NO,OMITS,NONE,BOTHDID,OMITS,,,,RURAL,,,OMITS,,,,,18-64,OMITS,STATE,NOTCOMPLETE,FOXRIVERSW,30-44,30-39,,30-39,,,OMITS,OMITS,OMITS,OMITS,,,0.995
STATE ONLY,50.0,2.0,23.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,KOHL,BEFORE,APPROVE,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,EDUCATION,EXPERIENCE,NO,CLINTON,ME,BOTHDID,SAME,APP/UNFAV,YES,DEMOCRAT,RURAL,POSTGRAD,PROTESTANT,AFEWAMONTH,50-75K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,FOXRIVERSW,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,ONLYGORE,DISAPPR,BOTH,ISSUES,,,0.999
STATE ONLY,50.0,2.0,24.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,GILLESPIE,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,HONEST,NO,DOLE,ME,GOREDID,WORSE,DIS/UNFAV,YES,INDEPEND,RURAL,POSTGRAD,CATHOLIC,ONCEAWEEK,50-75K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,FOXRIVERSW,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,BOTH,DISAPPR,ONLYGORE,PERSONALQUAL,,,0.922
STATE ONLY,50.0,2.0,25.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,GILLESPIE,LASTWEEK,DISAPPR,OMITS,BUSH,MORE,SMCITY/RURAL,TAXES,STRONGLEADER,NO,NOVOTE,NONE,GOREDID,WORSE,OMITS,NO,ELSE,RURAL,HSGRAD,OTHERCHRIST,ONCEAWEEK,15-30K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,FOXRIVERSW,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,BOTH,OMITS,ONLYGORE,ISSUES,,,1.069
STATE ONLY,50.0,2.0,26.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,KOHL,BEFORE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,WORLDAFFAIRS,COMPLEXISSUE,NO,NOVOTE,SOMEONEELSE,NEITHERDID,SAME,APP/FAV,NO,DEMOCRAT,RURAL,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,30-50K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,FOXRIVERSW,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,,ONLYGORE,DISAPPR,ONLYBUSH,ISSUES,,,1.161
STATE ONLY,50.0,2.0,27.0,THIRD CALL,45-49,WHITE,MALE,GORE,GILLESPIE,LASTWEEK,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,TAXES,CARES,YES,CLINTON,ME,BOTHDID,BETTER,APP/FAV,YES,INDEPEND,RURAL,SOMCOL/ASSOC,CATHOLIC,AFEWAMONTH,50-75K,YES,NO,MODERATE,18-64,OTHRPROGRAMS,STATE,COMPLETE,FOXRIVERSW,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,BOTH,APPROVE,ONLYGORE,PERSONALQUAL,,,0.932
STATE ONLY,50.0,2.0,28.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,GILLESPIE,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,STRONGLEADER,NO,DOLE,SOMEONEELSE,GOREDID,SAME,DIS/UNFAV,YES,REPUBLCN,RURAL,HSGRAD,PROTESTANT,AFEWAMONTH,50-75K,YES,NO,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,FOXRIVERSW,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,ONLYBUSH,APPROVE,ONLYGORE,ISSUES,,,0.922
STATE ONLY,50.0,2.0,29.0,THIRD CALL,45-49,WHITE,MALE,BUSH,GILLESPIE,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,SOCIALSECUR,HONEST,YES,DOLE,ME,GOREDID,SAME,DIS/UNFAV,YES,INDEPEND,RURAL,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,30-50K,YES,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,FOXRIVERSW,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,ONLYBUSH,APPROVE,ONLYGORE,ISSUES,,,0.9390000000000001
STATE ONLY,50.0,2.0,30.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,KOHL,BEFORE,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,EDUCATION,CARES,OMITS,CLINTON,NONE,BOTHDID,WORSE,APP/FAV,YES,DEMOCRAT,RURAL,HSGRAD,CATHOLIC,AFEWAYEAR,15-30K,YES,NO,,18-64,SOCIALSECURI,STATE,COMPLETE,FOXRIVERSW,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,ONLYGORE,APPROVE,ONLYBUSH,ISSUES,,,0.999
STATE ONLY,50.0,2.0,31.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,KOHL,LAST.3DAYS,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,LESS,SMCITY/RURAL,ECON/JOBS,CARES,YES,NOVOTE,ME,BOTHDID,SAME,DIS/UNFAV,YES,ELSE,RURAL,NOHS,PROTESTANT,AFEWAYEAR,30-50K,YES,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,FOXRIVERSW,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,NEITHER,APPROVE,BOTH,ISSUES,,,0.999
STATE ONLY,50.0,2.0,32.0,THIRD CALL,45-49,WHITE,MALE,GORE,KOHL,LASTWEEK,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,HEALTHCARE,EXPERIENCE,NO,CLINTON,NONE,BOTHDID,BETTER,APP/FAV,YES,DEMOCRAT,RURAL,SOMCOL/ASSOC,ELSE,AFEWAYEAR,30-50K,NO,NO,MODERATE,18-64,OTHRPROGRAMS,STATE,COMPLETE,FOXRIVERSW,45-59,40-49,DEMOCRAT,40-49,OTHER,,BOTH,APPROVE,ONLYBUSH,ISSUES,,,1.018
STATE ONLY,50.0,2.0,33.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,KOHL,LAST.3DAYS,APPROVE,FAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,CARES,NO,PEROT,ME,BOTHDID,SAME,APP/FAV,YES,INDEPEND,RURAL,HSGRAD,OTHERCHRIST,AFEWAYEAR,50-75K,YES,YES,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,FOXRIVERSW,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,OMITS,APPROVE,NEITHER,ISSUES,,,1.0070000000000001
STATE ONLY,50.0,2.0,34.0,THIRD CALL,25-29,BLACK,FEMALE,BUSH,GILLESPIE,LASTWEEK,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,MEDICARE/RX,HONEST,NO,NOVOTE,SOMEONEELSE,BOTHDID,SAME,DIS/UNFAV,YES,ELSE,RURAL,HSGRAD,ELSE,AFEWAYEAR,15-30K,NO,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,FOXRIVERSW,18-29,25-29,IND/OTHER,25-29,OTHER,,ONLYBUSH,DISAPPR,BOTH,PERSONALQUAL,,,1.458
STATE ONLY,50.0,3.0,1.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,KOHL,BEFORE,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,EDUCATION,CARES,NO,CLINTON,NONE,OMITS,BETTER,APP/UNFAV,YES,DEMOCRAT,SUBURBS,COLGRAD,PROTESTANT,ONCEAWEEK,30-50K,NO,NO,LIBERAL,18-64,REDUCNATDEBT,STATE,COMPLETE,FOXRIVERSW,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,ONLYGORE,APPROVE,ONLYBUSH,ISSUES,,,0.8310000000000001
STATE ONLY,50.0,3.0,2.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,GILLESPIE,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,STRONGLEADER,NO,DOLE,NONE,GOREDID,WORSE,DIS/UNFAV,YES,REPUBLCN,SUBURBS,HSGRAD,CATHOLIC,ONCEAWEEK,50-75K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,FOXRIVERSW,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,ONLYBUSH,APPROVE,ONLYGORE,ISSUES,,,0.766
STATE ONLY,50.0,3.0,3.0,FIRST CALL,30-39,WHITE,MALE,BUSH,GILLESPIE,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,OMITS,HONEST,YES,DOLE,NONE,GOREDID,SAME,DIS/UNFAV,YES,REPUBLCN,SUBURBS,COLGRAD,CATHOLIC,ONCEAWEEK,75-100K,YES,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,FOXRIVERSW,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,BOTH,APPROVE,BOTH,ISSUES,,,0.781
STATE ONLY,50.0,3.0,4.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,GILLESPIE,BEFORE,APPROVE,FAVORABLE,BUSH,MORE,SUBURBS,SOCIALSECUR,OMITS,NO,CLINTON,NONE,GOREDID,BETTER,APP/FAV,NO,REPUBLCN,SUBURBS,HSGRAD,PROTESTANT,ONCEAWEEK,15-30K,YES,NO,MODERATE,65+,SOCIALSECURI,STATE,COMPLETE,FOXRIVERSW,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,ONLYBUSH,APPROVE,ONLYGORE,ISSUES,,,0.896
STATE ONLY,50.0,3.0,5.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,KOHL,LAST.3DAYS,APPROVE,UNFAVORABLE,GORE,OMITS,SUBURBS,ECON/JOBS,EXPERIENCE,NO,DOLE,NONE,GOREDID,BETTER,APP/UNFAV,NO,INDEPEND,SUBURBS,POSTGRAD,PROTESTANT,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,FOXRIVERSW,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,BOTH,APPROVE,BOTH,ISSUES,,,0.8310000000000001
STATE ONLY,50.0,3.0,6.0,FIRST CALL,45-49,OTHER,FEMALE,GORE,KOHL,BEFORE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,NO,CLINTON,NONE,OMITS,BETTER,APP/FAV,YES,INDEPEND,SUBURBS,POSTGRAD,ELSE,MORETHAN1AWK,OVER100K,YES,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,FOXRIVERSW,45-59,40-49,IND/OTHER,40-49,OTHER,,ONLYGORE,DISAPPR,OMITS,ISSUES,,,0.8310000000000001
STATE ONLY,50.0,3.0,7.0,FIRST CALL,50-59,WHITE,MALE,BUSH,GILLESPIE,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,OMITS,DOLE,NONE,BOTHDID,SAME,DIS/UNFAV,YES,INDEPEND,SUBURBS,HSGRAD,OTHERCHRIST,AFEWAYEAR,,YES,NO,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,FOXRIVERSW,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,ONLYBUSH,APPROVE,BOTH,ISSUES,,,0.781
STATE ONLY,50.0,3.0,8.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,KOHL,BEFORE,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,SOCIALSECUR,OMITS,NO,CLINTON,NONE,BOTHDID,BETTER,APP/FAV,NO,DEMOCRAT,SUBURBS,COLGRAD,PROTESTANT,ONCEAWEEK,30-50K,NO,NO,MODERATE,65+,SOCIALSECURI,STATE,COMPLETE,FOXRIVERSW,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,ONLYGORE,DISAPPR,BOTH,ISSUES,,,0.972
STATE ONLY,50.0,3.0,9.0,FIRST CALL,30-39,WHITE,MALE,BUSH,GILLESPIE,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,OMITS,HONEST,NO,DOLE,SOMEONEELSE,NEITHERDID,SAME,DIS/UNFAV,YES,REPUBLCN,SUBURBS,COLGRAD,CATHOLIC,AFEWAYEAR,50-75K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,FOXRIVERSW,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,ONLYBUSH,APPROVE,ONLYGORE,ISSUES,,,0.781
STATE ONLY,50.0,3.0,10.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,GILLESPIE,LAST.3DAYS,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,COMPLEXISSUE,NO,CLINTON,NONE,BOTHDID,BETTER,APP/UNFAV,NO,DEMOCRAT,SUBURBS,COLGRAD,JEWISH,NEVER,OVER100K,YES,YES,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,FOXRIVERSW,30-44,40-49,DEMOCRAT,40-49,JEWISH,,BOTH,APPROVE,BOTH,PERSONALQUAL,,,0.763
