VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,PROPNE,SEN96NE,ISSUE,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,28.0,3.0,35.0,THIRD CALL,50-59,WHITE,MALE,GORE,NELSON,APPROVE,FAVORABLE,GORE,YES,NELSON,ECON/JOBS,OMITS,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,30-50K,LIBERAL,18-64,STATE,COMPLETE,CD3,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.709
STATE ONLY,28.0,3.0,36.0,THIRD CALL,45-49,BLACK,MALE,GORE,NELSON,APPROVE,UNFAVORABLE,GORE,YES,NELSON,ECON/JOBS,NO,CLINTON,SAME,APP/UNFAV,DEMOCRAT,COLGRAD,CATHOLIC,75-100K,MODERATE,18-64,STATE,COMPLETE,CD3,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.77
STATE ONLY,28.0,3.0,37.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,NELSON,APPROVE,FAVORABLE,GORE,YES,NELSON,ECON/JOBS,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,CD3,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.66
STATE ONLY,28.0,3.0,38.0,THIRD CALL,50-59,WHITE,MALE,GORE,NELSON,DISAPPR,UNFAVORABLE,GORE,YES,NELSON,SOCIALSECUR,NO,CLINTON,WORSE,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,50-75K,LIBERAL,18-64,STATE,COMPLETE,CD3,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.709
STATE ONLY,28.0,3.0,39.0,THIRD CALL,65-74,WHITE,MALE,NADER,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,HAGEL,OMITS,NO,PEROT,WORSE,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,30-50K,MODERATE,65+,STATE,COMPLETE,CD3,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.192
STATE ONLY,28.0,3.0,40.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,HAGEL,TAXES,OMITS,DOLE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,,MODERATE,18-64,STATE,COMPLETE,CD3,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.686
STATE ONLY,28.0,3.0,41.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,NOVOTE,OMITS,YES,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,CD3,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,0.882
STATE ONLY,28.0,8.0,1.0,FIRST CALL,60-64,WHITE,MALE,GORE,NELSON,APPROVE,FAVORABLE,GORE,YES,NELSON,SOCIALSECUR,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,CD3,60+,60+,DEMOCRAT,50-64,CATHOLIC,,,1.082
STATE ONLY,28.0,8.0,2.0,FIRST CALL,30-39,WHITE,MALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,OMITS,OMITS,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,ELSE,30-50K,MODERATE,18-64,STATE,COMPLETE,CD3,30-44,30-39,REPUBLICAN,30-39,OTHER,,,0.989
STATE ONLY,28.0,8.0,3.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,HAGEL,WORLDAFFAIRS,OMITS,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,CD3,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,1.044
STATE ONLY,28.0,8.0,4.0,FIRST CALL,40-44,WHITE,MALE,GORE,NELSON,APPROVE,FAVORABLE,GORE,NO,NELSON,ECON/JOBS,NO,CLINTON,SAME,APP/FAV,INDEPEND,COLGRAD,NONE,30-50K,LIBERAL,18-64,STATE,COMPLETE,CD3,30-44,40-49,IND/OTHER,40-49,NONE,,,0.9510000000000001
STATE ONLY,28.0,8.0,5.0,FIRST CALL,50-59,WHITE,MALE,GORE,NELSON,APPROVE,UNFAVORABLE,GORE,NO,NELSON,WORLDAFFAIRS,NO,CLINTON,SAME,APP/UNFAV,INDEPEND,POSTGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,CD3,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.9510000000000001
STATE ONLY,28.0,8.0,6.0,FIRST CALL,50-59,WHITE,MALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,OMITS,TAXES,OMITS,OMITS,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,,,18-64,STATE,COMPLETE,CD3,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.989
STATE ONLY,28.0,8.0,7.0,FIRST CALL,30-39,WHITE,MALE,GORE,NELSON,APPROVE,UNFAVORABLE,GORE,YES,NELSON,ECON/JOBS,NO,CLINTON,BETTER,APP/UNFAV,REPUBLCN,COLGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,CD3,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.9510000000000001
STATE ONLY,28.0,8.0,8.0,FIRST CALL,75+,WHITE,FEMALE,GORE,NELSON,APPROVE,UNFAVORABLE,GORE,YES,NELSON,OMITS,YES,CLINTON,SAME,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,LESS15K,MODERATE,65+,STATE,COMPLETE,CD3,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.0030000000000001
STATE ONLY,28.0,8.0,9.0,FIRST CALL,75+,WHITE,MALE,GORE,NELSON,OMITS,OMITS,OMITS,NO,NELSON,SOCIALSECUR,NO,OMITS,OMITS,,,,,,,65+,STATE,NOTCOMPLETE,CD3,60+,60+,,65+,,,,1.082
STATE ONLY,28.0,8.0,10.0,FIRST CALL,65-74,WHITE,MALE,GORE,NELSON,APPROVE,OMITS,GORE,,OMITS,OMITS,NO,CLINTON,SAME,OMITS,DEMOCRAT,COLGRAD,PROTESTANT,,MODERATE,65+,STATE,COMPLETE,CD3,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.082
STATE ONLY,28.0,8.0,11.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,NELSON,APPROVE,FAVORABLE,GORE,NO,OMITS,OMITS,NO,OMITS,BETTER,APP/FAV,DEMOCRAT,COLGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,CD3,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.881
STATE ONLY,28.0,8.0,12.0,FIRST CALL,25-29,WHITE,FEMALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,HAGEL,WORLDAFFAIRS,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,LIBERAL,18-64,STATE,COMPLETE,CD3,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,1.182
STATE ONLY,28.0,8.0,13.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,NELSON,APPROVE,UNFAVORABLE,BUSH,YES,NOVOTE,EDUCATION,NO,NOVOTE,SAME,APP/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,CD3,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,1.407
STATE ONLY,28.0,8.0,14.0,FIRST CALL,60-64,WHITE,MALE,BUSH,STENBERG,APPROVE,FAVORABLE,BUSH,YES,HAGEL,TAXES,YES,OTHER,SAME,APP/FAV,REPUBLCN,HSGRAD,PROTESTANT,,CONSERV,18-64,STATE,COMPLETE,CD3,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,1.127
STATE ONLY,28.0,8.0,15.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,OMITS,ECON/JOBS,OMITS,OMITS,BETTER,DIS/UNFAV,INDEPEND,COLGRAD,OTHERCHRIST,75-100K,MODERATE,18-64,STATE,COMPLETE,CD3,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,1.182
STATE ONLY,28.0,8.0,16.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,HAGEL,SOCIALSECUR,YES,DOLE,WORSE,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,LESS15K,CONSERV,18-64,STATE,COMPLETE,CD3,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,1.044
STATE ONLY,28.0,8.0,17.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,NELSON,DISAPPR,UNFAVORABLE,BUSH,YES,OMITS,SOCIALSECUR,NO,OMITS,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,,,65+,STATE,COMPLETE,CD3,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.244
STATE ONLY,28.0,8.0,18.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,HAGEL,TAXES,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,15-30K,CONSERV,18-64,STATE,COMPLETE,CD3,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.919
STATE ONLY,28.0,8.0,19.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,HAGEL,ECON/JOBS,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,30-50K,MODERATE,65+,STATE,COMPLETE,CD3,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.044
STATE ONLY,28.0,8.0,20.0,SECOND CALL,75+,WHITE,MALE,GORE,NELSON,APPROVE,FAVORABLE,GORE,YES,NELSON,HEALTHCARE,OMITS,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,LESS15K,MODERATE,65+,STATE,COMPLETE,CD3,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.082
STATE ONLY,28.0,8.0,21.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,NELSON,OMITS,OMITS,OMITS,YES,NELSON,HEALTHCARE,YES,OMITS,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,CD3,18-29,25-29,,25-29,,,,1.1360000000000001
STATE ONLY,28.0,8.0,22.0,SECOND CALL,50-59,WHITE,MALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,HAGEL,OMITS,NO,DOLE,BETTER,DIS/UNFAV,DEMOCRAT,HSGRAD,CATHOLIC,LESS15K,MODERATE,18-64,STATE,COMPLETE,CD3,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.989
STATE ONLY,28.0,8.0,23.0,SECOND CALL,65-74,WHITE,MALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,HAGEL,TAXES,OMITS,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,15-30K,MODERATE,65+,STATE,COMPLETE,CD3,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.127
STATE ONLY,28.0,8.0,24.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,NELSON,DISAPPR,UNFAVORABLE,BUSH,NO,NOVOTE,OMITS,YES,PEROT,WORSE,DIS/UNFAV,INDEPEND,HSGRAD,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,CD3,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.092
STATE ONLY,28.0,8.0,25.0,SECOND CALL,65-74,,MALE,BUSH,NELSON,APPROVE,FAVORABLE,BUSH,YES,NELSON,OMITS,NO,CLINTON,SAME,APP/FAV,INDEPEND,HSGRAD,PROTESTANT,15-30K,MODERATE,65+,STATE,COMPLETE,CD3,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.341
STATE ONLY,28.0,8.0,26.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,NELSON,APPROVE,FAVORABLE,GORE,YES,NELSON,OMITS,NO,CLINTON,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,CD3,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.881
