VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,GOV,CLINTON,BCPERSON,XWAY2000,GOVTDO,ISSUE,RELRIGHT,X6VOTE,FINSIT,JOBPERS,MIGRATNC,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,UNFAIRNC,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
NATIONAL PINK,34.0,3.0,12.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,EASLEY,,,,,,NO,,,,,DEMOCRAT,,NONE,15-30K,MODERATE,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,45-59,40-49,DEMOCRAT,40-49,NONE,,,0.40800000000000003
NATIONAL PINK,34.0,3.0,13.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,VINROOT,,,,,,YES,,,,,DEMOCRAT,,OTHERCHRIST,15-30K,MODERATE,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.41400000000000003
NATIONAL PINK,34.0,3.0,14.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,EASLEY,,,,,,YES,,,,,INDEPEND,,,LESS15K,LIBERAL,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,60+,60+,IND/OTHER,50-64,,,,0.505
NATIONAL PINK,34.0,3.0,15.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,VINROOT,,,,,,NO,,,,,REPUBLCN,,PROTESTANT,75-100K,CONSERV,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.456
NATIONAL WHITE,34.0,3.0,16.0,SECOND CALL,18-24,WHITE,FEMALE,GORE,EASLEY,DISAPPR,UNFAVORABLE,GORE,LESS,EDUCATION,NO,NOVOTE,BETTER,DIS/UNFAV,,DEMOCRAT,HSGRAD,PROTESTANT,LESS15K,MODERATE,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.464
NATIONAL WHITE,34.0,3.0,17.0,SECOND CALL,50-59,WHITE,FEMALE,OTHER,OTHER,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,LESS,TAXES,NO,OTHER,SAME,DIS/UNFAV,,ELSE,SOMCOL/ASSOC,NONE,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,45-59,50-59,IND/OTHER,50-64,NONE,,,0.31
NATIONAL WHITE,34.0,3.0,18.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,NO,DOLE,BETTER,DIS/UNFAV,,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,15-30K,,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,,,0.51
NATIONAL WHITE,34.0,3.0,19.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,NO,DOLE,SAME,DIS/UNFAV,,INDEPEND,HSGRAD,PROTESTANT,OVER100K,CONSERV,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.456
NATIONAL WHITE,34.0,3.0,20.0,SECOND CALL,65-74,WHITE,MALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,WORLDAFFAIRS,YES,CLINTON,BETTER,APP/FAV,,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,65+,,NATIONAL,COMPLETE,MOUNTAINWEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.531
NATIONAL WHITE,34.0,3.0,21.0,SECOND CALL,18-24,WHITE,MALE,BUSH,EASLEY,DISAPPR,UNFAVORABLE,BUSH,LESS,EDUCATION,NO,NOVOTE,WORSE,DIS/UNFAV,,INDEPEND,COLGRAD,CATHOLIC,LESS15K,MODERATE,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,18-29,18-24,IND/OTHER,18-24,CATHOLIC,,,0.588
NATIONAL YELLOW,34.0,3.0,22.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,EASLEY,APPROVE,UNFAVORABLE,BUSH,MORE,WORLDAFFAIRS,NO,CLINTON,BETTER,APP/UNFAV,,DEMOCRAT,POSTGRAD,PROTESTANT,75-100K,MODERATE,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,WORLDAFFAIRS,GOODJUDGMENT,0.449
NATIONAL YELLOW,34.0,3.0,23.0,SECOND CALL,65-74,WHITE,MALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,NO,DOLE,SAME,DIS/UNFAV,,REPUBLCN,HSGRAD,PROTESTANT,15-30K,MODERATE,65+,,NATIONAL,COMPLETE,MOUNTAINWEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,SOCIALSECUR,HONEST,0.593
NATIONAL YELLOW,34.0,3.0,24.0,SECOND CALL,18-24,WHITE,FEMALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,NO,NOVOTE,BETTER,DIS/UNFAV,,ELSE,HSGRAD,OTHERCHRIST,15-30K,CONSERV,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,WORLDAFFAIRS,HONEST,0.517
NATIONAL YELLOW,34.0,3.0,25.0,SECOND CALL,25-29,WHITE,MALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,NO,PEROT,SAME,DIS/UNFAV,,INDEPEND,COLGRAD,ELSE,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,18-29,25-29,IND/OTHER,25-29,OTHER,TAXES,LIKEABLE,0.599
NATIONAL YELLOW,34.0,3.0,26.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,NO,DOLE,SAME,DIS/UNFAV,,INDEPEND,POSTGRAD,CATHOLIC,,CONSERV,65+,,NATIONAL,COMPLETE,MOUNTAINWEST,60+,60+,IND/OTHER,65+,CATHOLIC,TAXES,HONEST,0.512
NATIONAL YELLOW,34.0,3.0,27.0,SECOND CALL,50-59,WHITE,MALE,OTHER,,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,NO,OTHER,SAME,DIS/UNFAV,,ELSE,SOMCOL/ASSOC,PROTESTANT,15-30K,CONSERV,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,WORLDAFFAIRS,COMPLEXISSUE,0.537
NATIONAL GREY,34.0,3.0,28.0,SECOND CALL,30-39,OTHER,MALE,GORE,,,,,,,,,,,,INDEPEND,COLGRAD,,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,30-44,30-39,IND/OTHER,30-39,,,,0.47100000000000003
NATIONAL GREY,34.0,3.0,29.0,SECOND CALL,30-39,WHITE,MALE,BUSH,VINROOT,,,,,,,,,,,REPUBLCN,COLGRAD,,30-50K,CONSERV,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,30-44,30-39,REPUBLICAN,30-39,,,,0.524
NATIONAL GREY,34.0,3.0,30.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,OTHER,,,,,,,,,,,REPUBLCN,SOMCOL/ASSOC,,50-75K,CONSERV,65+,,NATIONAL,COMPLETE,MOUNTAINWEST,60+,60+,REPUBLICAN,65+,,,,0.337
NATIONAL GREY,34.0,3.0,31.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,VINROOT,,,,,,,,,,,ELSE,HSGRAD,,30-50K,CONSERV,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,30-44,40-49,IND/OTHER,40-49,,,,0.456
NATIONAL GREY,34.0,3.0,32.0,SECOND CALL,50-59,WHITE,MALE,BUSH,VINROOT,,,,,,,,,,,REPUBLCN,,,50-75K,CONSERV,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,45-59,50-59,REPUBLICAN,50-64,,,,0.524
NATIONAL GREY,34.0,3.0,33.0,SECOND CALL,18-24,WHITE,MALE,GORE,EASLEY,,,,,,,,,,,DEMOCRAT,SOMCOL/ASSOC,,15-30K,LIBERAL,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,18-29,18-24,DEMOCRAT,18-24,,,,0.536
NATIONAL PINK,34.0,3.0,34.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,VINROOT,,,,,,YES,,,,,REPUBLCN,,PROTESTANT,50-75K,CONSERV,65+,,NATIONAL,COMPLETE,MOUNTAINWEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.512
NATIONAL PINK,34.0,3.0,35.0,SECOND CALL,75+,WHITE,FEMALE,GORE,EASLEY,,,,,,NO,,,,,,,JEWISH,,,65+,,NATIONAL,COMPLETE,MOUNTAINWEST,60+,60+,,65+,JEWISH,,,0.46
NATIONAL PINK,34.0,3.0,36.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,EASLEY,,,,,,NO,,,,,ELSE,,PROTESTANT,LESS15K,MODERATE,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.40800000000000003
NATIONAL PINK,34.0,3.0,37.0,SECOND CALL,30-39,WHITE,MALE,BUSH,VINROOT,,,,,,YES,,,,,REPUBLCN,,PROTESTANT,75-100K,CONSERV,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.524
NATIONAL PINK,34.0,3.0,38.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,VINROOT,,,,,,OMITS,,,,,REPUBLCN,,PROTESTANT,30-50K,MODERATE,65+,,NATIONAL,COMPLETE,MOUNTAINWEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.512
NATIONAL PINK,34.0,3.0,39.0,SECOND CALL,30-39,WHITE,MALE,BUSH,VINROOT,,,,,,NO,,,,,REPUBLCN,,PROTESTANT,50-75K,MODERATE,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.524
NATIONAL WHITE,34.0,3.0,40.0,THIRD CALL,30-39,WHITE,MALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,NO,NOVOTE,BETTER,DIS/UNFAV,,INDEPEND,COLGRAD,OTHERCHRIST,30-50K,CONSERV,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.524
NATIONAL WHITE,34.0,3.0,41.0,THIRD CALL,40-44,WHITE,MALE,GORE,EASLEY,APPROVE,FAVORABLE,BUSH,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,,ELSE,NOHS,JEWISH,OVER100K,MODERATE,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,30-44,40-49,IND/OTHER,40-49,JEWISH,,,0.47000000000000003
NATIONAL WHITE,34.0,3.0,42.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,EASLEY,APPROVE,FAVORABLE,BUSH,LESS,MEDICARE/RX,NO,PEROT,BETTER,APP/FAV,,DEMOCRAT,HSGRAD,OTHERCHRIST,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.449
NATIONAL YELLOW,34.0,3.0,43.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,YES,CLINTON,BETTER,APP/FAV,,DEMOCRAT,HSGRAD,PROTESTANT,15-30K,LIBERAL,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,HEALTHCARE,STRONGLEADER,0.464
NATIONAL YELLOW,34.0,3.0,44.0,THIRD CALL,50-59,BLACK,,GORE,EASLEY,APPROVE,UNFAVORABLE,WOULDNOTVOTE,MORE,EDUCATION,NO,DOLE,SAME,APP/UNFAV,,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,,MODERATE,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,EDUCATION,CARES,0.386
NATIONAL YELLOW,34.0,3.0,45.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,VINROOT,APPROVE,UNFAVORABLE,BUSH,LESS,OMITS,OMITS,CLINTON,BETTER,APP/UNFAV,,INDEPEND,HSGRAD,OTHERCHRIST,30-50K,CONSERV,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,OMITS,OMITS,0.456
NATIONAL GREY,34.0,3.0,46.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,VINROOT,,,,,,,,,,,INDEPEND,COLGRAD,,,MODERATE,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,18-29,25-29,IND/OTHER,25-29,,,,0.517
NATIONAL GREY,34.0,3.0,47.0,THIRD CALL,60-64,WHITE,FEMALE,BUSH,VINROOT,,,,,,,,,,,DEMOCRAT,NOHS,,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,60+,60+,DEMOCRAT,50-64,,,,0.512
NATIONAL GREY,34.0,3.0,48.0,THIRD CALL,,WHITE,FEMALE,GORE,,,,,,,,,,,,,NOHS,,,,,,NATIONAL,COMPLETE,MOUNTAINWEST,,,,,,,,0.40900000000000003
NATIONAL PINK,34.0,3.0,49.0,THIRD CALL,60-64,WHITE,FEMALE,BUSH,VINROOT,,,,,,NO,,,,,,,,,,18-64,,NATIONAL,NOTCOMPLETE,MOUNTAINWEST,60+,60+,,50-64,,,,0.512
NATIONAL PINK,34.0,3.0,50.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,EASLEY,,,,,,YES,,,,,INDEPEND,,OTHERCHRIST,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.40800000000000003
NATIONAL PINK,34.0,3.0,51.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,VINROOT,,,,,,NO,,,,,REPUBLCN,,PROTESTANT,30-50K,CONSERV,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.456
STATE ONLY,34.0,5.0,1.0,FIRST CALL,45-49,BLACK,FEMALE,GORE,EASLEY,OMITS,OMITS,GORE,MORE,ECON/JOBS,YES,CLINTON,BETTER,OMITS,NO,INDEPEND,COLGRAD,OTHERCHRIST,30-50K,LIBERAL,18-64,BOTH,STATE,COMPLETE,RALEIGH,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.1
STATE ONLY,34.0,5.0,2.0,FIRST CALL,40-44,BLACK,FEMALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,YES,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,LIBERAL,18-64,BOTH,STATE,COMPLETE,RALEIGH,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.1
STATE ONLY,34.0,5.0,3.0,FIRST CALL,65-74,BLACK,FEMALE,GORE,OTHER,APPROVE,FAVORABLE,GORE,MORE,SOCIALSECUR,YES,CLINTON,BETTER,APP/FAV,NO,DEMOCRAT,NOHS,OTHERCHRIST,LESS15K,,65+,BOTH,STATE,COMPLETE,RALEIGH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.06
STATE ONLY,34.0,5.0,4.0,FIRST CALL,50-59,BLACK,MALE,GORE,,OMITS,OMITS,OMITS,MORE,OMITS,OMITS,OMITS,OMITS,,,,,,,,18-64,EASLEY,STATE,NOTCOMPLETE,RALEIGH,45-59,50-59,,50-64,,,,1.052
STATE ONLY,34.0,5.0,5.0,FIRST CALL,65-74,BLACK,FEMALE,GORE,EASLEY,OMITS,FAVORABLE,GORE,LESS,EDUCATION,YES,OMITS,SAME,OMITS,,DEMOCRAT,NOHS,OTHERCHRIST,LESS15K,MODERATE,65+,EASLEY,STATE,COMPLETE,RALEIGH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.59
STATE ONLY,34.0,5.0,6.0,FIRST CALL,30-39,WHITE,MALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,MORE,WORLDAFFAIRS,YES,DOLE,WORSE,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,CONSERV,18-64,EASLEY,STATE,COMPLETE,RALEIGH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,2.048
STATE ONLY,34.0,5.0,7.0,FIRST CALL,18-24,BLACK,MALE,BUSH,VINROOT,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,NO,,,,,,18-64,VINROOT,STATE,NOTCOMPLETE,RALEIGH,18-29,18-24,,18-24,,,,1.718
STATE ONLY,34.0,5.0,8.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,VINROOT,OMITS,FAVORABLE,OMITS,OMITS,OMITS,OMITS,OMITS,SAME,OMITS,NO,REPUBLCN,,OTHERCHRIST,,,18-64,NEITHER,STATE,COMPLETE,RALEIGH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,2.1510000000000002
STATE ONLY,34.0,5.0,9.0,FIRST CALL,45-49,WHITE,MALE,BUSH,EASLEY,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,NO,OTHER,WORSE,DIS/UNFAV,NO,INDEPEND,NOHS,OTHERCHRIST,50-75K,MODERATE,18-64,BOTH,STATE,COMPLETE,RALEIGH,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,2.012
STATE ONLY,34.0,5.0,10.0,FIRST CALL,30-39,WHITE,MALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,YES,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,50-75K,CONSERV,18-64,BOTH,STATE,COMPLETE,RALEIGH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,2.048
STATE ONLY,34.0,5.0,11.0,SECOND CALL,40-44,WHITE,MALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,NO,DOLE,BETTER,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,50-75K,CONSERV,18-64,BOTH,STATE,COMPLETE,RALEIGH,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,2.048
STATE ONLY,34.0,5.0,12.0,SECOND CALL,18-24,BLACK,MALE,GORE,,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,YES,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,COLGRAD,,,,18-64,NEITHER,STATE,COMPLETE,RALEIGH,18-29,18-24,DEMOCRAT,18-24,,,,1.115
STATE ONLY,34.0,5.0,13.0,SECOND CALL,75+,WHITE,MALE,GORE,EASLEY,APPROVE,UNFAVORABLE,GORE,OMITS,EDUCATION,OMITS,CLINTON,BETTER,APP/UNFAV,NO,INDEPEND,,PROTESTANT,15-30K,,65+,VINROOT,STATE,COMPLETE,RALEIGH,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.9100000000000001
STATE ONLY,34.0,5.0,14.0,SECOND CALL,40-44,BLACK,FEMALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,NO,CLINTON,BETTER,APP/FAV,NO,DEMOCRAT,NOHS,NONE,LESS15K,MODERATE,18-64,VINROOT,STATE,COMPLETE,RALEIGH,30-44,40-49,DEMOCRAT,40-49,NONE,,,1.1
STATE ONLY,34.0,5.0,15.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,MORE,ECON/JOBS,NO,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,HSGRAD,CATHOLIC,15-30K,MODERATE,18-64,BOTH,STATE,COMPLETE,RALEIGH,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,2.2800000000000002
STATE ONLY,34.0,5.0,16.0,SECOND CALL,25-29,WHITE,MALE,GORE,VINROOT,DISAPPR,UNFAVORABLE,BUSH,MORE,OMITS,NO,OTHER,SAME,DIS/UNFAV,NO,INDEPEND,COLGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,BOTH,STATE,COMPLETE,RALEIGH,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,,,1.429
STATE ONLY,34.0,5.0,17.0,SECOND CALL,40-44,BLACK,FEMALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,WORLDAFFAIRS,YES,CLINTON,BETTER,APP/FAV,,DEMOCRAT,HSGRAD,PROTESTANT,15-30K,LIBERAL,18-64,VINROOT,STATE,COMPLETE,RALEIGH,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.1
STATE ONLY,34.0,5.0,18.0,SECOND CALL,65-74,,MALE,GORE,,OMITS,OMITS,OMITS,MORE,SOCIALSECUR,YES,OMITS,OMITS,,,,,,,,65+,NEITHER,STATE,NOTCOMPLETE,RALEIGH,60+,60+,,65+,,,,1.915
STATE ONLY,34.0,5.0,19.0,THIRD CALL,,WHITE,MALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,MORE,TAXES,NO,DOLE,WORSE,DIS/UNFAV,NO,REPUBLCN,HSGRAD,OTHERCHRIST,30-50K,CONSERV,,BOTH,STATE,COMPLETE,RALEIGH,,,REPUBLICAN,,PROT/CHRIST,,,2.048
STATE ONLY,34.0,5.0,20.0,THIRD CALL,75+,WHITE,FEMALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,NO,CLINTON,SAME,APP/FAV,NO,DEMOCRAT,POSTGRAD,PROTESTANT,30-50K,LIBERAL,65+,VINROOT,STATE,COMPLETE,RALEIGH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,2.0060000000000002
