VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,PROPCA,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,UNION4,FINSIT,JOBPERS,WORK,IMMIG,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,TELEPOLL,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,MEXICAN,QRACE,REL5,PRESKNOW,FTVOTER,SAYANY,ISSVQUAL,BORNUSA,VNS1,VNS2,WEIGHT
STATE ONLY,5.0,1.0,11.0,FIRST CALL,18-24,BLACK,MALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,EDUCATION,CARES,CLINTON,ME,BETTER,APP/FAV,NO,STAYSAME,DEMOCRAT,50-500K,SOMCOL/ASSOC,OTHERCHRIST,AFEWAMONTH,30-50K,NO,NO,LIBERAL,18-64,OTHRPROGRAMS,EXITPOLL,STATE,COMPLETE,BAYAREA,18-29,18-24,DEMOCRAT,18-24,NO,BLACK,PROT/CHRIST,ONLYGORE,NO,ONLYBUSH,PERSONALQUAL,YES,,,0.315
STATE ONLY,5.0,1.0,12.0,FIRST CALL,50-59,BLACK,MALE,GORE,FEINSTEIN,OMITS,OMITS,OMITS,NO,MORE,CITYOVER50K,ECON/JOBS,OMITS,OMITS,SOMEONEELSE,OMITS,,,DECREASE,,50-500K,,,OMITS,,,,,18-64,OMITS,EXITPOLL,STATE,NOTCOMPLETE,BAYAREA,45-59,50-59,,50-64,NO,BLACK,,OMITS,NO,OMITS,OMITS,YES,,,0.312
STATE ONLY,5.0,1.0,13.0,FIRST CALL,18-24,HISP,FEMALE,NADER,,DISAPPR,UNFAVORABLE,BUSH,,MORE,CITYOVER50K,OMITS,HONEST,NOVOTE,NONE,BETTER,DIS/UNFAV,YES,STAYSAME,REPUBLCN,50-500K,HSGRAD,CATHOLIC,AFEWAYEAR,50-75K,NO,NO,,18-64,CUTFEDINCTAX,EXITPOLL,STATE,COMPLETE,BAYAREA,18-29,18-24,REPUBLICAN,18-24,YES,OTHER,CATHOLIC,OMITS,YES,BOTH,ISSUES,YES,,,0.162
STATE ONLY,5.0,1.0,14.0,FIRST CALL,45-49,BLACK,MALE,GORE,FEINSTEIN,OMITS,OMITS,OMITS,NO,MORE,CITYOVER50K,ECON/JOBS,HONEST,OMITS,NONE,OMITS,,,INCREASE,,50-500K,,,OMITS,,,,,18-64,OMITS,EXITPOLL,STATE,NOTCOMPLETE,BAYAREA,45-59,40-49,,40-49,NO,BLACK,,OMITS,NO,OMITS,OMITS,YES,,,0.312
STATE ONLY,5.0,1.0,15.0,SECOND CALL,30-39,WHITE,MALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,WORLDAFFAIRS,EXPERIENCE,DOLE,NONE,BETTER,APP/FAV,YES,INCREASE,ELSE,50-500K,COLGRAD,NONE,NEVER,15-30K,NO,NO,MODERATE,18-64,SOCIALSECURI,EXITPOLL,STATE,COMPLETE,BAYAREA,30-44,30-39,IND/OTHER,30-39,NO,WHITE,NONE,ONLYGORE,NO,BOTH,ISSUES,YES,,,0.40800000000000003
STATE ONLY,5.0,1.0,16.0,SECOND CALL,18-24,WHITE,MALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,OMITS,GOODJUDGMENT,NOVOTE,SOMEONEELSE,SAME,APP/FAV,NO,STAYSAME,DEMOCRAT,50-500K,SOMCOL/ASSOC,NONE,NEVER,LESS15K,NO,NO,LIBERAL,18-64,SOCIALSECURI,EXITPOLL,STATE,COMPLETE,BAYAREA,18-29,18-24,DEMOCRAT,18-24,NO,WHITE,NONE,ONLYGORE,NO,BOTH,ISSUES,YES,,,0.41200000000000003
STATE ONLY,5.0,1.0,17.0,SECOND CALL,18-24,HISP,MALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,OMITS,OMITS,CLINTON,ME,BETTER,APP/FAV,YES,STAYSAME,DEMOCRAT,50-500K,HSGRAD,CATHOLIC,ONCEAWEEK,15-30K,YES,YES,LIBERAL,18-64,OTHRPROGRAMS,EXITPOLL,STATE,COMPLETE,BAYAREA,18-29,18-24,DEMOCRAT,18-24,,HISP,CATHOLIC,ONLYGORE,,ONLYGORE,ISSUES,,,,0.315
STATE ONLY,5.0,1.0,18.0,SECOND CALL,50-59,WHITE,MALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,WORLDAFFAIRS,GOODJUDGMENT,OTHER,NONE,SAME,APP/FAV,NO,INCREASE,ELSE,50-500K,COLGRAD,JEWISH,NEVER,LESS15K,NO,NO,LIBERAL,18-64,REDUCNATDEBT,EXITPOLL,STATE,COMPLETE,BAYAREA,45-59,50-59,IND/OTHER,50-64,NO,WHITE,JEWISH,ONLYGORE,NO,BOTH,ISSUES,YES,,,0.40800000000000003
STATE ONLY,5.0,1.0,19.0,SECOND CALL,25-29,HISP,MALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,EDUCATION,CARES,CLINTON,NONE,BETTER,APP/FAV,YES,STAYSAME,DEMOCRAT,50-500K,COLGRAD,CATHOLIC,AFEWAYEAR,15-30K,NO,NO,LIBERAL,18-64,OTHRPROGRAMS,EXITPOLL,STATE,COMPLETE,BAYAREA,18-29,25-29,DEMOCRAT,25-29,YES,HISP,CATHOLIC,ONLYGORE,NO,ONLYBUSH,ISSUES,YES,,,0.315
STATE ONLY,5.0,1.0,20.0,SECOND CALL,45-49,BLACK,FEMALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,ECON/JOBS,COMPLEXISSUE,CLINTON,ME,BETTER,APP/FAV,NO,DECREASE,DEMOCRAT,50-500K,COLGRAD,OTHERCHRIST,ONCEAWEEK,30-50K,NO,NO,LIBERAL,18-64,SOCIALSECURI,EXITPOLL,STATE,COMPLETE,BAYAREA,45-59,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,ONLYGORE,NO,ONLYGORE,ISSUES,YES,,,0.314
STATE ONLY,5.0,1.0,21.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,SOCIALSECUR,COMPLEXISSUE,CLINTON,NONE,BETTER,APP/FAV,YES,DECREASE,DEMOCRAT,50-500K,COLGRAD,NONE,NEVER,75-100K,NO,NO,LIBERAL,18-64,REDUCNATDEBT,EXITPOLL,STATE,COMPLETE,BAYAREA,60+,60+,DEMOCRAT,50-64,NO,WHITE,NONE,ONLYGORE,NO,ONLYBUSH,ISSUES,YES,,,0.545
STATE ONLY,5.0,1.0,22.0,SECOND CALL,18-24,WHITE,FEMALE,GORE,CAMPBELL,APPROVE,UNFAVORABLE,GORE,NO,LESS,CITYOVER50K,OMITS,EXPERIENCE,CLINTON,MEANDSOMEONE,WORSE,APP/UNFAV,YES,STAYSAME,ELSE,50-500K,COLGRAD,NONE,NEVER,OVER100K,NO,NO,LIBERAL,18-64,REDUCNATDEBT,EXITPOLL,STATE,COMPLETE,BAYAREA,18-29,18-24,IND/OTHER,18-24,NO,WHITE,NONE,ONLYGORE,NO,BOTH,ISSUES,YES,,,0.449
STATE ONLY,5.0,1.0,23.0,SECOND CALL,30-39,BLACK,MALE,GORE,FEINSTEIN,OMITS,OMITS,OMITS,YES,MORE,CITYOVER50K,MEDICARE/RX,CARES,CLINTON,NONE,BETTER,OMITS,NO,DECREASE,,50-500K,,,OMITS,,NO,NO,,18-64,OMITS,EXITPOLL,STATE,COMPLETE,BAYAREA,30-44,30-39,,30-39,NO,BLACK,,ONLYGORE,YES,ONLYGORE,PERSONALQUAL,YES,,,0.24
STATE ONLY,5.0,1.0,24.0,SECOND CALL,30-39,HISP,FEMALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,YES,MORE,CITYOVER50K,ECON/JOBS,CARES,CLINTON,SOMEONEELSE,BETTER,APP/FAV,YES,DECREASE,DEMOCRAT,50-500K,POSTGRAD,CATHOLIC,ONCEAWEEK,75-100K,NO,YES,MODERATE,18-64,SOCIALSECURI,EXITPOLL,STATE,COMPLETE,BAYAREA,30-44,30-39,DEMOCRAT,30-39,YES,HISP,CATHOLIC,ONLYGORE,YES,ONLYGORE,ISSUES,YES,,,0.243
STATE ONLY,5.0,1.0,25.0,SECOND CALL,75+,BLACK,,GORE,FEINSTEIN,OMITS,OMITS,OMITS,NO,MORE,CITYOVER50K,MEDICARE/RX,EXPERIENCE,OMITS,NONE,OMITS,,,STAYSAME,,50-500K,,,OMITS,,,,,65+,OMITS,EXITPOLL,STATE,NOTCOMPLETE,BAYAREA,60+,60+,,65+,,BLACK,,OMITS,NO,OMITS,OMITS,YES,,,0.41300000000000003
STATE ONLY,5.0,1.0,26.0,SECOND CALL,30-39,HISP,FEMALE,GORE,OTHER,APPROVE,OMITS,GORE,NO,MORE,CITYOVER50K,EDUCATION,EXPERIENCE,CLINTON,NONE,BETTER,OMITS,YES,INCREASE,DEMOCRAT,50-500K,POSTGRAD,ELSE,AFEWAYEAR,50-75K,YES,NO,LIBERAL,18-64,OTHRPROGRAMS,EXITPOLL,STATE,COMPLETE,BAYAREA,30-44,30-39,DEMOCRAT,30-39,YES,,OTHER,ONLYGORE,NO,OMITS,ISSUES,YES,,,0.61
STATE ONLY,5.0,1.0,27.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,OMITS,OMITS,CLINTON,NONE,BETTER,APP/FAV,YES,INCREASE,DEMOCRAT,50-500K,COLGRAD,ELSE,AFEWAYEAR,15-30K,NO,NO,LIBERAL,18-64,OMITS,EXITPOLL,STATE,COMPLETE,BAYAREA,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,OTHER,ONLYGORE,NO,OMITS,ISSUES,YES,,,0.41100000000000003
STATE ONLY,5.0,1.0,28.0,SECOND CALL,25-29,ASIAN,FEMALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,EDUCATION,COMPLEXISSUE,CLINTON,NONE,SAME,APP/FAV,YES,STAYSAME,DEMOCRAT,50-500K,POSTGRAD,CATHOLIC,AFEWAYEAR,30-50K,NO,NO,MODERATE,18-64,OTHRPROGRAMS,EXITPOLL,STATE,COMPLETE,BAYAREA,18-29,25-29,DEMOCRAT,25-29,NO,ASIAN,CATHOLIC,ONLYGORE,NO,BOTH,PERSONALQUAL,NO,,,0.41300000000000003
STATE ONLY,5.0,1.0,29.0,SECOND CALL,18-24,WHITE,MALE,NADER,OTHER,DISAPPR,FAVORABLE,GORE,NO,MORE,CITYOVER50K,OMITS,OMITS,OTHER,NONE,SAME,DIS/FAV,YES,OMITS,INDEPEND,50-500K,COLGRAD,JEWISH,AFEWAYEAR,15-30K,NO,NO,LIBERAL,18-64,OTHRPROGRAMS,EXITPOLL,STATE,COMPLETE,BAYAREA,18-29,18-24,IND/OTHER,18-24,NO,WHITE,JEWISH,ONLYGORE,NO,BOTH,ISSUES,YES,,,0.40900000000000003
STATE ONLY,5.0,1.0,30.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,CAMPBELL,DISAPPR,UNFAVORABLE,GORE,NO,MORE,CITYOVER50K,OMITS,OMITS,CLINTON,NONE,WORSE,DIS/UNFAV,NO,DECREASE,DEMOCRAT,50-500K,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,LESS15K,NO,NO,CONSERV,18-64,OMITS,EXITPOLL,STATE,COMPLETE,BAYAREA,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,CATHOLIC,ONLYGORE,YES,ONLYGORE,PERSONALQUAL,YES,,,0.445
STATE ONLY,5.0,1.0,31.0,SECOND CALL,60-64,HISP,FEMALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,ECON/JOBS,CARES,CLINTON,ME,BETTER,APP/FAV,YES,STAYSAME,DEMOCRAT,50-500K,COLGRAD,CATHOLIC,AFEWAYEAR,15-30K,NO,YES,MODERATE,18-64,CUTFEDINCTAX,EXITPOLL,STATE,COMPLETE,BAYAREA,60+,60+,DEMOCRAT,50-64,YES,HISP,CATHOLIC,ONLYGORE,NO,BOTH,ISSUES,NO,,,0.41500000000000004
STATE ONLY,5.0,1.0,32.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,YES,MORE,CITYOVER50K,ECON/JOBS,EXPERIENCE,CLINTON,SOMEONEELSE,BETTER,APP/FAV,YES,INCREASE,DEMOCRAT,50-500K,COLGRAD,NONE,MORETHAN1AWK,50-75K,NO,NO,MODERATE,18-64,OMITS,EXITPOLL,STATE,COMPLETE,BAYAREA,30-44,40-49,DEMOCRAT,40-49,NO,BLACK,NONE,ONLYGORE,NO,BOTH,ISSUES,YES,,,0.243
STATE ONLY,5.0,1.0,33.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,OTHER,OMITS,OMITS,OMITS,NO,MORE,CITYOVER50K,OMITS,OMITS,NOVOTE,NONE,SAME,OMITS,NO,OMITS,,50-500K,,,OMITS,,NO,NO,,18-64,OMITS,EXITPOLL,STATE,COMPLETE,BAYAREA,18-29,18-24,,18-24,NO,WHITE,,OMITS,YES,OMITS,ISSUES,YES,,,0.801
STATE ONLY,5.0,1.0,34.0,THIRD CALL,25-29,WHITE,FEMALE,NADER,OTHER,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,WORLDAFFAIRS,OMITS,CLINTON,NONE,BETTER,APP/FAV,NO,STAYSAME,DEMOCRAT,50-500K,POSTGRAD,PROTESTANT,ONCEAWEEK,30-50K,NO,NO,LIBERAL,18-64,SOCIALSECURI,EXITPOLL,STATE,COMPLETE,BAYAREA,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,PROT/CHRIST,ONLYGORE,NO,BOTH,ISSUES,YES,,,0.41300000000000003
STATE ONLY,5.0,1.0,35.0,THIRD CALL,18-24,WHITE,FEMALE,NADER,OTHER,DISAPPR,UNFAVORABLE,GORE,NO,MORE,CITYOVER50K,WORLDAFFAIRS,COMPLEXISSUE,CLINTON,NONE,WORSE,DIS/UNFAV,YES,INCREASE,ELSE,50-500K,COLGRAD,ELSE,AFEWAYEAR,15-30K,NO,NO,LIBERAL,18-64,OTHRPROGRAMS,EXITPOLL,STATE,COMPLETE,BAYAREA,18-29,18-24,IND/OTHER,18-24,NO,WHITE,OTHER,NEITHER,NO,BOTH,ISSUES,YES,,,0.41300000000000003
STATE ONLY,5.0,1.0,36.0,THIRD CALL,60-64,WHITE,MALE,NADER,OTHER,DISAPPR,UNFAVORABLE,GORE,NO,LESS,CITYOVER50K,ECON/JOBS,COMPLEXISSUE,OTHER,NONE,BETTER,DIS/UNFAV,YES,STAYSAME,INDEPEND,50-500K,POSTGRAD,PROTESTANT,AFEWAMONTH,30-50K,NO,NO,LIBERAL,18-64,REDUCNATDEBT,EXITPOLL,STATE,COMPLETE,BAYAREA,60+,60+,IND/OTHER,50-64,NO,WHITE,PROT/CHRIST,BOTH,NO,NEITHER,ISSUES,YES,,,0.539
STATE ONLY,5.0,1.0,37.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,ECON/JOBS,CARES,CLINTON,ME,BETTER,APP/FAV,YES,INCREASE,DEMOCRAT,50-500K,COLGRAD,ELSE,NEVER,50-75K,NO,YES,LIBERAL,18-64,CUTFEDINCTAX,EXITPOLL,STATE,COMPLETE,BAYAREA,30-44,40-49,DEMOCRAT,40-49,NO,WHITE,OTHER,ONLYGORE,NO,ONLYBUSH,ISSUES,YES,,,0.41100000000000003
STATE ONLY,5.0,1.0,38.0,THIRD CALL,60-64,WHITE,FEMALE,GORE,OTHER,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,ECON/JOBS,COMPLEXISSUE,CLINTON,NONE,BETTER,APP/FAV,YES,STAYSAME,DEMOCRAT,50-500K,SOMCOL/ASSOC,NONE,NEVER,75-100K,NO,YES,LIBERAL,18-64,OTHRPROGRAMS,EXITPOLL,STATE,COMPLETE,BAYAREA,60+,60+,DEMOCRAT,50-64,NO,WHITE,NONE,OMITS,NO,ONLYBUSH,ISSUES,YES,,,1.056
STATE ONLY,5.0,1.0,39.0,THIRD CALL,50-59,BLACK,,GORE,FEINSTEIN,OMITS,OMITS,OMITS,NO,OMITS,CITYOVER50K,OMITS,CARES,OMITS,ME,OMITS,,,INCREASE,,50-500K,,,OMITS,,,,,18-64,OMITS,EXITPOLL,STATE,NOTCOMPLETE,BAYAREA,45-59,50-59,,50-64,NO,BLACK,,OMITS,,OMITS,OMITS,YES,,,0.314
STATE ONLY,5.0,1.0,40.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,FEINSTEIN,OMITS,OMITS,GORE,NO,MORE,CITYOVER50K,EDUCATION,EXPERIENCE,NOVOTE,NONE,SAME,OMITS,YES,OMITS,DEMOCRAT,50-500K,HSGRAD,NONE,NEVER,LESS15K,NO,NO,LIBERAL,18-64,REDUCNATDEBT,EXITPOLL,STATE,COMPLETE,BAYAREA,18-29,18-24,DEMOCRAT,18-24,NO,WHITE,NONE,NEITHER,NO,BOTH,ISSUES,YES,,,0.41300000000000003
STATE ONLY,5.0,1.0,41.0,THIRD CALL,30-39,WHITE,FEMALE,NADER,,OMITS,OMITS,GORE,NO,OMITS,CITYOVER50K,OMITS,OMITS,CLINTON,SOMEONEELSE,SAME,OMITS,,INCREASE,INDEPEND,50-500K,SOMCOL/ASSOC,JEWISH,AFEWAYEAR,LESS15K,NO,NO,LIBERAL,18-64,OMITS,EXITPOLL,STATE,COMPLETE,BAYAREA,30-44,30-39,IND/OTHER,30-39,NO,WHITE,JEWISH,OMITS,NO,BOTH,ISSUES,YES,,,0.227
STATE ONLY,5.0,1.0,42.0,THIRD CALL,25-29,WHITE,MALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,HEALTHCARE,COMPLEXISSUE,CLINTON,NONE,BETTER,APP/FAV,YES,STAYSAME,DEMOCRAT,50-500K,COLGRAD,NONE,NEVER,30-50K,YES,NO,LIBERAL,18-64,OTHRPROGRAMS,EXITPOLL,STATE,COMPLETE,BAYAREA,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,NONE,ONLYGORE,NO,BOTH,ISSUES,YES,,,0.41200000000000003
STATE ONLY,5.0,1.0,43.0,THIRD CALL,18-24,WHITE,MALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,EDUCATION,EXPERIENCE,CLINTON,NONE,BETTER,APP/FAV,YES,INCREASE,INDEPEND,50-500K,COLGRAD,NONE,NEVER,15-30K,NO,NO,LIBERAL,18-64,OMITS,EXITPOLL,STATE,COMPLETE,BAYAREA,18-29,18-24,IND/OTHER,18-24,NO,WHITE,NONE,ONLYGORE,NO,BOTH,ISSUES,YES,,,0.41200000000000003
STATE ONLY,5.0,1.0,44.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,OTHER,APPROVE,UNFAVORABLE,GORE,NO,MORE,CITYOVER50K,EDUCATION,CARES,CLINTON,NONE,SAME,APP/UNFAV,YES,INCREASE,ELSE,50-500K,COLGRAD,NONE,NEVER,15-30K,NO,NO,LIBERAL,18-64,OTHRPROGRAMS,EXITPOLL,STATE,COMPLETE,BAYAREA,18-29,18-24,IND/OTHER,18-24,NO,WHITE,NONE,ONLYGORE,NO,ONLYBUSH,ISSUES,YES,,,0.801
STATE ONLY,5.0,1.0,45.0,THIRD CALL,25-29,HISP,FEMALE,GORE,OTHER,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,EDUCATION,OMITS,OTHER,NONE,BETTER,APP/FAV,YES,STAYSAME,DEMOCRAT,50-500K,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,OVER100K,YES,YES,LIBERAL,18-64,OTHRPROGRAMS,EXITPOLL,STATE,COMPLETE,BAYAREA,18-29,25-29,DEMOCRAT,25-29,YES,WHITE,PROT/CHRIST,ONLYGORE,NO,BOTH,ISSUES,YES,,,0.617
STATE ONLY,5.0,1.0,46.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,FEINSTEIN,OMITS,OMITS,OMITS,NO,OMITS,CITYOVER50K,WORLDAFFAIRS,COMPLEXISSUE,OMITS,,OMITS,,,OMITS,,50-500K,,,OMITS,,,,,18-64,OMITS,EXITPOLL,STATE,NOTCOMPLETE,BAYAREA,18-29,18-24,,18-24,NO,WHITE,,OMITS,NO,OMITS,OMITS,YES,,,0.41300000000000003
