VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,LOGO,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,37.0,2.0,21.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,CONSERV,65+,YES,STATE,WEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.892
STATE ONLY,37.0,2.0,22.0,FIRST CALL,18-24,HISP,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,JEWISH,,MODERATE,18-64,NO,STATE,WEST,18-29,18-24,REPUBLICAN,18-24,JEWISH,,,0.683
STATE ONLY,37.0,2.0,23.0,FIRST CALL,75+,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,DOLE,BETTER,APP/UNFAV,REPUBLCN,PROTESTANT,15-30K,CONSERV,65+,YES,STATE,WEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.886
STATE ONLY,37.0,2.0,24.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,,LIBERAL,65+,YES,STATE,WEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.21
STATE ONLY,37.0,2.0,25.0,SECOND CALL,75+,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,,MODERATE,65+,YES,STATE,WEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.202
STATE ONLY,37.0,2.0,26.0,SECOND CALL,45-49,,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,OMITS,BETTER,DIS/UNFAV,INDEPEND,ELSE,30-50K,MODERATE,18-64,YES,STATE,WEST,45-59,40-49,IND/OTHER,40-49,OTHER,,,0.728
STATE ONLY,37.0,2.0,27.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,DOLE,SAME,APP/UNFAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,65+,NO,STATE,WEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.892
STATE ONLY,37.0,2.0,28.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,YES,CLINTON,SAME,APP/UNFAV,DEMOCRAT,PROTESTANT,30-50K,MODERATE,65+,YES,STATE,WEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.892
STATE ONLY,37.0,2.0,29.0,SECOND CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,PEROT,BETTER,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,MODERATE,18-64,NO,STATE,WEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.723
STATE ONLY,37.0,2.0,30.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,YES,CLINTON,BETTER,APP/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,LIBERAL,18-64,YES,STATE,WEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.728
STATE ONLY,37.0,2.0,31.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,CLINTON,WORSE,APP/UNFAV,DEMOCRAT,PROTESTANT,LESS15K,CONSERV,65+,YES,STATE,WEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.892
STATE ONLY,37.0,2.0,32.0,THIRD CALL,45-49,WHITE,MALE,GORE,DISAPPR,UNFAVORABLE,BUSH,NO,CLINTON,WORSE,DIS/UNFAV,REPUBLCN,CATHOLIC,15-30K,CONSERV,18-64,NO,STATE,WEST,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.981
STATE ONLY,37.0,2.0,33.0,THIRD CALL,25-29,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,BUSH,NO,CLINTON,WORSE,APP/FAV,REPUBLCN,CATHOLIC,15-30K,MODERATE,18-64,YES,STATE,WEST,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,0.933
STATE ONLY,37.0,2.0,34.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,GORE,NO,DOLE,WORSE,DIS/UNFAV,DEMOCRAT,CATHOLIC,15-30K,MODERATE,18-64,NO,STATE,WEST,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.728
STATE ONLY,37.0,2.0,35.0,THIRD CALL,45-49,OTHER,MALE,BUCHANAN,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,NO,NOVOTE,WORSE,DIS/UNFAV,REPUBLCN,ELSE,LESS15K,CONSERV,18-64,NO,STATE,WEST,45-59,40-49,REPUBLICAN,40-49,OTHER,,,0.20800000000000002
STATE ONLY,37.0,2.0,36.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,WOULDNOTVOTE,NO,CLINTON,BETTER,APP/FAV,INDEPEND,PROTESTANT,30-50K,MODERATE,18-64,YES,STATE,WEST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.988
STATE ONLY,37.0,2.0,37.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,PEROT,SAME,APP/UNFAV,DEMOCRAT,PROTESTANT,50-75K,MODERATE,18-64,YES,STATE,WEST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.988
STATE ONLY,37.0,2.0,38.0,THIRD CALL,25-29,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,DOLE,BETTER,APP/UNFAV,REPUBLCN,CATHOLIC,LESS15K,MODERATE,18-64,NO,STATE,WEST,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,0.798
STATE ONLY,37.0,2.0,39.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,DISAPPR,UNFAVORABLE,GORE,NO,PEROT,WORSE,DIS/UNFAV,DEMOCRAT,OTHERCHRIST,LESS15K,MODERATE,18-64,YES,STATE,WEST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.988
STATE ONLY,37.0,2.0,40.0,THIRD CALL,60-64,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,NONE,OVER100K,LIBERAL,18-64,NO,STATE,WEST,60+,60+,REPUBLICAN,50-64,NONE,,,0.892
STATE ONLY,37.0,2.0,41.0,THIRD CALL,60-64,HISP,FEMALE,BUSH,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,NO,NOVOTE,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,75-100K,MODERATE,18-64,NO,STATE,WEST,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,0.764
STATE ONLY,37.0,2.0,42.0,THIRD CALL,40-44,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,DOLE,WORSE,APP/UNFAV,DEMOCRAT,PROTESTANT,15-30K,MODERATE,18-64,YES,STATE,WEST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.723
STATE ONLY,37.0,2.0,43.0,THIRD CALL,50-59,WHITE,MALE,BUSH,APPROVE,FAVORABLE,GORE,YES,DOLE,WORSE,APP/FAV,DEMOCRAT,OTHERCHRIST,15-30K,LIBERAL,18-64,YES,STATE,WEST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.723
STATE ONLY,37.0,2.0,44.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,APPROVE,FAVORABLE,GORE,YES,DOLE,WORSE,APP/FAV,DEMOCRAT,OTHERCHRIST,15-30K,LIBERAL,18-64,NO,STATE,WEST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.728
STATE ONLY,37.0,2.0,45.0,THIRD CALL,30-39,OTHER,FEMALE,BUCHANAN,DISAPPR,UNFAVORABLE,BUSH,YES,PEROT,SAME,DIS/UNFAV,DEMOCRAT,ELSE,LESS15K,MODERATE,18-64,YES,STATE,WEST,30-44,30-39,DEMOCRAT,30-39,OTHER,,,0.21
STATE ONLY,37.0,2.0,46.0,THIRD CALL,25-29,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,30-50K,LIBERAL,18-64,NO,STATE,WEST,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,1.083
STATE ONLY,37.0,2.0,47.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,WOULDNOTVOTE,NO,PEROT,BETTER,APP/UNFAV,ELSE,ELSE,15-30K,CONSERV,18-64,NO,STATE,WEST,30-44,30-39,IND/OTHER,30-39,OTHER,,,0.728
STATE ONLY,37.0,2.0,48.0,THIRD CALL,65-74,WHITE,FEMALE,BUCHANAN,DISAPPR,UNFAVORABLE,BUSH,NO,OTHER,SAME,DIS/UNFAV,ELSE,ELSE,50-75K,MODERATE,65+,YES,STATE,WEST,60+,60+,IND/OTHER,65+,OTHER,,,0.257
STATE ONLY,37.0,8.0,1.0,FIRST CALL,65-74,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,CATHOLIC,30-50K,MODERATE,65+,YES,STATE,OKLAHOMACITY,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.04
STATE ONLY,37.0,8.0,2.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,CATHOLIC,50-75K,MODERATE,18-64,NO,STATE,OKLAHOMACITY,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.777
STATE ONLY,37.0,8.0,3.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,PEROT,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,MODERATE,18-64,NO,STATE,OKLAHOMACITY,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.777
STATE ONLY,37.0,8.0,4.0,FIRST CALL,30-39,HISP,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,ELSE,50-75K,MODERATE,18-64,NO,STATE,OKLAHOMACITY,30-44,30-39,REPUBLICAN,30-39,OTHER,,,0.793
STATE ONLY,37.0,8.0,5.0,FIRST CALL,50-59,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,YES,DOLE,SAME,APP/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,CONSERV,18-64,YES,STATE,OKLAHOMACITY,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.793
STATE ONLY,37.0,8.0,6.0,FIRST CALL,50-59,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,DOLE,BETTER,APP/UNFAV,REPUBLCN,PROTESTANT,75-100K,CONSERV,18-64,YES,STATE,OKLAHOMACITY,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.793
STATE ONLY,37.0,8.0,7.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,PEROT,BETTER,DIS/UNFAV,INDEPEND,PROTESTANT,30-50K,MODERATE,18-64,YES,STATE,OKLAHOMACITY,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.777
STATE ONLY,37.0,8.0,8.0,FIRST CALL,60-64,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,PROTESTANT,50-75K,MODERATE,18-64,YES,STATE,OKLAHOMACITY,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,1.04
STATE ONLY,37.0,8.0,9.0,FIRST CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,PEROT,SAME,DIS/UNFAV,INDEPEND,,50-75K,CONSERV,18-64,NO,STATE,OKLAHOMACITY,45-59,50-59,IND/OTHER,50-64,,,,0.793
STATE ONLY,37.0,8.0,10.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,BETTER,APP/UNFAV,INDEPEND,PROTESTANT,30-50K,LIBERAL,18-64,YES,STATE,OKLAHOMACITY,60+,60+,IND/OTHER,50-64,PROT/CHRIST,,,1.02
STATE ONLY,37.0,8.0,11.0,FIRST CALL,18-24,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,MODERATE,18-64,YES,STATE,OKLAHOMACITY,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.768
STATE ONLY,37.0,8.0,12.0,FIRST CALL,45-49,ASIAN,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,OMITS,SAME,DIS/UNFAV,REPUBLCN,CATHOLIC,,MODERATE,18-64,NO,STATE,OKLAHOMACITY,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.793
STATE ONLY,37.0,8.0,13.0,FIRST CALL,60-64,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,75-100K,CONSERV,18-64,NO,STATE,OKLAHOMACITY,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,0.925
STATE ONLY,37.0,8.0,14.0,FIRST CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,OTHERCHRIST,OVER100K,CONSERV,18-64,NO,STATE,OKLAHOMACITY,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.793
STATE ONLY,37.0,8.0,15.0,FIRST CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,,MODERATE,18-64,NO,STATE,OKLAHOMACITY,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.793
STATE ONLY,37.0,8.0,16.0,FIRST CALL,30-39,WHITE,MALE,BUSH,APPROVE,FAVORABLE,BUSH,YES,DOLE,BETTER,APP/FAV,REPUBLCN,ELSE,50-75K,MODERATE,18-64,NO,STATE,OKLAHOMACITY,30-44,30-39,REPUBLICAN,30-39,OTHER,,,0.793
STATE ONLY,37.0,8.0,17.0,FIRST CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,YES,STATE,OKLAHOMACITY,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.793
STATE ONLY,37.0,8.0,18.0,FIRST CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,CATHOLIC,50-75K,MODERATE,18-64,NO,STATE,OKLAHOMACITY,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,0.793
STATE ONLY,37.0,8.0,19.0,FIRST CALL,40-44,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,NOVOTE,SAME,APP/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,NO,STATE,OKLAHOMACITY,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.793
STATE ONLY,37.0,8.0,20.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,OTHERCHRIST,LESS15K,CONSERV,18-64,YES,STATE,OKLAHOMACITY,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.753
STATE ONLY,37.0,8.0,21.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,DOLE,SAME,APP/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,18-64,YES,STATE,OKLAHOMACITY,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.777
STATE ONLY,37.0,8.0,22.0,FIRST CALL,18-24,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,PEROT,BETTER,APP/FAV,INDEPEND,OTHERCHRIST,50-75K,MODERATE,18-64,NO,STATE,OKLAHOMACITY,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,0.865
STATE ONLY,37.0,8.0,23.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,SAME,APP/UNFAV,DEMOCRAT,PROTESTANT,30-50K,MODERATE,18-64,NO,STATE,OKLAHOMACITY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.875
STATE ONLY,37.0,8.0,24.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,PEROT,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,NO,STATE,OKLAHOMACITY,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.777
STATE ONLY,37.0,8.0,25.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,75-100K,CONSERV,18-64,YES,STATE,OKLAHOMACITY,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.777
STATE ONLY,37.0,8.0,26.0,SECOND CALL,18-24,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,DOLE,BETTER,APP/FAV,REPUBLCN,OTHERCHRIST,30-50K,CONSERV,18-64,NO,STATE,OKLAHOMACITY,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.865
STATE ONLY,37.0,8.0,27.0,SECOND CALL,18-24,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,NOVOTE,BETTER,APP/FAV,INDEPEND,NONE,30-50K,LIBERAL,18-64,YES,STATE,OKLAHOMACITY,18-29,18-24,IND/OTHER,18-24,NONE,,,0.865
STATE ONLY,37.0,8.0,28.0,SECOND CALL,50-59,WHITE,MALE,BUCHANAN,DISAPPR,UNFAVORABLE,BUSH,NO,PEROT,BETTER,DIS/UNFAV,INDEPEND,PROTESTANT,50-75K,CONSERV,18-64,YES,STATE,OKLAHOMACITY,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.417
STATE ONLY,37.0,8.0,29.0,SECOND CALL,45-49,OTHER,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,50-75K,LIBERAL,18-64,YES,STATE,OKLAHOMACITY,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.875
STATE ONLY,37.0,8.0,30.0,SECOND CALL,65-74,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,ELSE,CATHOLIC,30-50K,MODERATE,65+,NO,STATE,OKLAHOMACITY,60+,60+,IND/OTHER,65+,CATHOLIC,,,1.04
STATE ONLY,37.0,8.0,31.0,SECOND CALL,30-39,ASIAN,MALE,GORE,DISAPPR,UNFAVORABLE,GORE,YES,NOVOTE,BETTER,DIS/UNFAV,DEMOCRAT,OTHERCHRIST,15-30K,,18-64,NO,STATE,OKLAHOMACITY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.892
STATE ONLY,37.0,8.0,32.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,OMITS,UNFAVORABLE,BUSH,NO,CLINTON,WORSE,OMITS,DEMOCRAT,OTHERCHRIST,LESS15K,MODERATE,65+,YES,STATE,OKLAHOMACITY,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.907
