VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,CLINTON,BCPERSON,XWAY2000,GOVTDO,ISSUE,MCINTAX,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
NATIONAL PINK,15.0,5.0,41.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,,OBANNON,,,,,,,NO,,,,DEMOCRAT,,PROTESTANT,75-100K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.141
NATIONAL WHITE,15.0,16.0,1.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,,OBANNON,OMITS,UNFAVORABLE,GORE,MORE,OMITS,,NO,OMITS,OMITS,OMITS,,,PROTESTANT,,,65+,NATIONAL,COMPLETE,EASTCENTRAL,60+,60+,,65+,PROT/CHRIST,,,1.408
NATIONAL WHITE,15.0,16.0,2.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,MORE,WORLDAFFAIRS,,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,OTHERCHRIST,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,EASTCENTRAL,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.508
NATIONAL WHITE,15.0,16.0,3.0,FIRST CALL,65-74,WHITE,MALE,GORE,,OBANNON,APPROVE,FAVORABLE,GORE,LESS,WORLDAFFAIRS,,NO,CLINTON,BETTER,APP/FAV,INDEPEND,NOHS,PROTESTANT,15-30K,MODERATE,65+,NATIONAL,COMPLETE,EASTCENTRAL,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.474
NATIONAL WHITE,15.0,16.0,4.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,MORE,ECON/JOBS,,NO,PEROT,BETTER,DIS/UNFAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,15-30K,CONSERV,18-64,NATIONAL,COMPLETE,EASTCENTRAL,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.508
NATIONAL WHITE,15.0,16.0,5.0,FIRST CALL,60-64,WHITE,MALE,GORE,,OBANNON,APPROVE,FAVORABLE,GORE,MORE,SOCIALSECUR,,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,EASTCENTRAL,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,1.474
NATIONAL YELLOW,15.0,16.0,6.0,FIRST CALL,40-44,BLACK,FEMALE,GORE,,OBANNON,APPROVE,OMITS,GORE,MORE,HEALTHCARE,,NO,CLINTON,SAME,OMITS,,SOMCOL/ASSOC,OTHERCHRIST,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,EASTCENTRAL,30-44,40-49,,40-49,PROT/CHRIST,HEALTHCARE,CARES,1.232
NATIONAL YELLOW,15.0,16.0,7.0,FIRST CALL,60-64,WHITE,MALE,GORE,,OBANNON,APPROVE,UNFAVORABLE,GORE,LESS,ECON/JOBS,,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,NOHS,PROTESTANT,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,EASTCENTRAL,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,ECON/JOBS,EXPERIENCE,1.474
NATIONAL YELLOW,15.0,16.0,8.0,FIRST CALL,25-29,WHITE,MALE,BUSH,,OBANNON,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,OTHERCHRIST,LESS15K,CONSERV,18-64,NATIONAL,COMPLETE,EASTCENTRAL,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,SOCIALSECUR,STRONGLEADER,1.592
NATIONAL YELLOW,15.0,16.0,9.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,MORE,SOCIALSECUR,,YES,CLINTON,SAME,DIS/UNFAV,INDEPEND,HSGRAD,PROTESTANT,15-30K,CONSERV,65+,NATIONAL,COMPLETE,EASTCENTRAL,60+,60+,IND/OTHER,65+,PROT/CHRIST,SOCIALSECUR,OMITS,1.572
NATIONAL GREY,15.0,16.0,10.0,FIRST CALL,40-44,WHITE,MALE,BUSH,,OBANNON,,,,,,,,,,,REPUBLCN,SOMCOL/ASSOC,,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,EASTCENTRAL,30-44,40-49,REPUBLICAN,40-49,,,,1.741
NATIONAL GREY,15.0,16.0,11.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,,MCINTOSH,,,,,,,,,,,REPUBLCN,HSGRAD,,LESS15K,MODERATE,18-64,NATIONAL,COMPLETE,EASTCENTRAL,45-59,50-59,REPUBLICAN,50-64,,,,1.508
NATIONAL GREY,15.0,16.0,12.0,FIRST CALL,45-49,WHITE,MALE,,,OBANNON,,,,,,,,,,,DEMOCRAT,SOMCOL/ASSOC,,,CONSERV,18-64,NATIONAL,COMPLETE,EASTCENTRAL,45-59,40-49,DEMOCRAT,40-49,,,,1.586
NATIONAL GREY,15.0,16.0,13.0,FIRST CALL,45-49,WHITE,MALE,BUSH,,MCINTOSH,,,,,,,,,,,REPUBLCN,SOMCOL/ASSOC,,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,EASTCENTRAL,45-59,40-49,REPUBLICAN,40-49,,,,1.58
NATIONAL GREY,15.0,16.0,14.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,,,,,,,,,,,,,REPUBLCN,COLGRAD,,15-30K,MODERATE,18-64,NATIONAL,COMPLETE,EASTCENTRAL,18-29,18-24,REPUBLICAN,18-24,,,,1.478
NATIONAL PINK,15.0,16.0,15.0,FIRST CALL,25-29,,FEMALE,BUSH,,,,,,,,,YES,,,,REPUBLCN,,OTHERCHRIST,15-30K,CONSERV,18-64,NATIONAL,COMPLETE,EASTCENTRAL,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,1.478
NATIONAL PINK,15.0,16.0,16.0,FIRST CALL,65-74,BLACK,FEMALE,GORE,,OBANNON,,,,,,,NO,,,,DEMOCRAT,,OTHERCHRIST,15-30K,MODERATE,65+,NATIONAL,COMPLETE,EASTCENTRAL,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.285
NATIONAL PINK,15.0,16.0,17.0,FIRST CALL,50-59,WHITE,MALE,GORE,,OBANNON,,,,,,,NO,,,,INDEPEND,,NONE,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,EASTCENTRAL,45-59,50-59,IND/OTHER,50-64,NONE,,,1.414
NATIONAL PINK,15.0,16.0,18.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,,OBANNON,,,,,,,NO,,,,REPUBLCN,,PROTESTANT,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,EASTCENTRAL,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.6620000000000001
NATIONAL PINK,15.0,16.0,19.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,,MCINTOSH,,,,,,,OMITS,,,,,,PROTESTANT,15-30K,MODERATE,18-64,NATIONAL,COMPLETE,EASTCENTRAL,60+,60+,,50-64,PROT/CHRIST,,,1.572
NATIONAL WHITE,15.0,16.0,20.0,SECOND CALL,30-39,WHITE,MALE,BUSH,,OBANNON,DISAPPR,UNFAVORABLE,BUSH,MORE,WORLDAFFAIRS,,NO,DOLE,WORSE,DIS/UNFAV,ELSE,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,18-64,NATIONAL,COMPLETE,EASTCENTRAL,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.741
NATIONAL WHITE,15.0,16.0,21.0,SECOND CALL,18-24,BLACK,FEMALE,GORE,,OBANNON,APPROVE,FAVORABLE,GORE,MORE,WORLDAFFAIRS,,YES,NOVOTE,BETTER,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,EASTCENTRAL,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,1.127
NATIONAL WHITE,15.0,16.0,22.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,,OBANNON,APPROVE,UNFAVORABLE,GORE,MORE,HEALTHCARE,,NO,DOLE,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,OTHERCHRIST,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,EASTCENTRAL,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.35
NATIONAL WHITE,15.0,16.0,23.0,SECOND CALL,50-59,BLACK,MALE,GORE,,OBANNON,APPROVE,FAVORABLE,OMITS,LESS,MEDICARE/RX,,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,NOHS,CATHOLIC,30-50K,LIBERAL,18-64,NATIONAL,COMPLETE,EASTCENTRAL,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.292
NATIONAL YELLOW,15.0,16.0,24.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,,OBANNON,DISAPPR,UNFAVORABLE,GORE,LESS,SOCIALSECUR,,NO,DOLE,WORSE,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,50-75K,LIBERAL,18-64,NATIONAL,COMPLETE,EASTCENTRAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,SOCIALSECUR,EXPERIENCE,1.35
NATIONAL YELLOW,15.0,16.0,25.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,,OBANNON,OMITS,OMITS,GORE,MORE,SOCIALSECUR,,OMITS,CLINTON,SAME,OMITS,,HSGRAD,,,CONSERV,18-64,NATIONAL,COMPLETE,EASTCENTRAL,30-44,30-39,,30-39,,SOCIALSECUR,STRONGLEADER,1.35
NATIONAL YELLOW,15.0,16.0,26.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,,OBANNON,DISAPPR,UNFAVORABLE,GORE,LESS,ECON/JOBS,,NO,CLINTON,BETTER,DIS/UNFAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,EASTCENTRAL,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,ECON/JOBS,CARES,1.35
NATIONAL YELLOW,15.0,16.0,27.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,,OBANNON,APPROVE,FAVORABLE,GORE,LESS,EDUCATION,,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,NONE,75-100K,MODERATE,18-64,NATIONAL,COMPLETE,EASTCENTRAL,18-29,25-29,DEMOCRAT,25-29,NONE,EDUCATION,COMPLEXISSUE,1.232
NATIONAL GREY,15.0,16.0,28.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,,OBANNON,,,,,,,,,,,DEMOCRAT,POSTGRAD,,50-75K,LIBERAL,18-64,NATIONAL,COMPLETE,EASTCENTRAL,30-44,40-49,DEMOCRAT,40-49,,,,1.35
NATIONAL GREY,15.0,16.0,29.0,SECOND CALL,65-74,WHITE,MALE,GORE,,OBANNON,,,,,,,,,,,INDEPEND,SOMCOL/ASSOC,,,MODERATE,65+,NATIONAL,COMPLETE,EASTCENTRAL,60+,60+,IND/OTHER,65+,,,,1.474
NATIONAL GREY,15.0,16.0,30.0,SECOND CALL,30-39,WHITE,MALE,BUSH,,MCINTOSH,,,,,,,,,,,ELSE,HSGRAD,,,,18-64,NATIONAL,COMPLETE,EASTCENTRAL,30-44,30-39,IND/OTHER,30-39,,,,1.58
NATIONAL GREY,15.0,16.0,31.0,SECOND CALL,65-74,WHITE,MALE,GORE,,MCINTOSH,,,,,,,,,,,REPUBLCN,HSGRAD,,30-50K,MODERATE,65+,NATIONAL,COMPLETE,EASTCENTRAL,60+,60+,REPUBLICAN,65+,,,,1.338
NATIONAL PINK,15.0,16.0,32.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,,MCINTOSH,,,,,,,YES,,,,REPUBLCN,,PROTESTANT,15-30K,MODERATE,18-64,NATIONAL,COMPLETE,EASTCENTRAL,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,1.3780000000000001
