VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,X6VOTE,FINSIT,JOBPERS,PARTYID,WARWEST,INCOME,REL7,PHIL3,OVER65,RELG6,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,13.0,1.0,11.0,FIRST CALL,40-44,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,INDEPEND,NOTAFFECT,30-50K,OTHERCHRIST,LIBERAL,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.244
STATE ONLY,13.0,1.0,12.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,CLINTON,BETTER,APP/UNFAV,ELSE,OMITS,LESS15K,CATHOLIC,MODERATE,65+,CATHOLIC,STATE,ADACOUNTY,60+,60+,IND/OTHER,65+,CATHOLIC,,,0.895
STATE ONLY,13.0,1.0,13.0,FIRST CALL,75+,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,SAME,APP/UNFAV,DEMOCRAT,HELPSTATE,15-30K,PROTESTANT,MODERATE,65+,PROT/CHRIST,STATE,ADACOUNTY,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.394
STATE ONLY,13.0,1.0,14.0,FIRST CALL,30-39,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,INDEPEND,HELPSTATE,50-75K,CATHOLIC,MODERATE,18-64,CATHOLIC,STATE,ADACOUNTY,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.244
STATE ONLY,13.0,1.0,15.0,FIRST CALL,75+,WHITE,MALE,BUSH,OMITS,OMITS,BUSH,DOLE,SAME,OMITS,REPUBLCN,HURTSTATE,30-50K,PROTESTANT,CONSERV,65+,PROT/CHRIST,STATE,ADACOUNTY,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.8270000000000001
STATE ONLY,13.0,1.0,16.0,SECOND CALL,65-74,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HELPSTATE,OVER100K,PROTESTANT,MODERATE,65+,PROT/CHRIST,STATE,ADACOUNTY,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.363
STATE ONLY,13.0,1.0,17.0,SECOND CALL,18-24,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NOVOTE,BETTER,APP/FAV,INDEPEND,HELPSTATE,50-75K,JEWISH,MODERATE,18-64,JEWISH,STATE,ADACOUNTY,18-29,18-24,IND/OTHER,18-24,JEWISH,,,0.213
STATE ONLY,13.0,1.0,18.0,SECOND CALL,45-49,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HELPSTATE,OVER100K,PROTESTANT,LIBERAL,18-64,PROT/CHRIST,STATE,ADACOUNTY,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.244
STATE ONLY,13.0,1.0,19.0,SECOND CALL,25-29,WHITE,MALE,BUCHANAN,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,NOVOTE,BETTER,DIS/UNFAV,INDEPEND,HURTSTATE,30-50K,CATHOLIC,MODERATE,18-64,CATHOLIC,STATE,ADACOUNTY,18-29,25-29,IND/OTHER,25-29,CATHOLIC,,,0.17400000000000002
STATE ONLY,13.0,1.0,20.0,SECOND CALL,45-49,WHITE,MALE,OTHER,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,HELPSTATE,LESS15K,PROTESTANT,LIBERAL,18-64,PROT/CHRIST,STATE,ADACOUNTY,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.08
STATE ONLY,13.0,1.0,21.0,SECOND CALL,18-24,WHITE,FEMALE,OTHER,APPROVE,UNFAVORABLE,BUSH,CLINTON,SAME,APP/UNFAV,REPUBLCN,OMITS,15-30K,OTHERCHRIST,CONSERV,18-64,PROT/CHRIST,STATE,ADACOUNTY,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.075
STATE ONLY,13.0,1.0,22.0,SECOND CALL,18-24,WHITE,MALE,GORE,DISAPPR,UNFAVORABLE,GORE,NOVOTE,BETTER,DIS/UNFAV,INDEPEND,HURTSTATE,LESS15K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,18-29,18-24,IND/OTHER,18-24,NONE,,,0.213
STATE ONLY,13.0,1.0,23.0,SECOND CALL,18-24,WHITE,FEMALE,OTHER,APPROVE,OMITS,GORE,NOVOTE,BETTER,OMITS,ELSE,OMITS,30-50K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,18-29,18-24,IND/OTHER,18-24,NONE,,,0.075
STATE ONLY,13.0,1.0,24.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,PEROT,BETTER,APP/UNFAV,INDEPEND,HURTSTATE,50-75K,CATHOLIC,MODERATE,18-64,CATHOLIC,STATE,ADACOUNTY,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.264
STATE ONLY,13.0,1.0,25.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,DOLE,SAME,APP/UNFAV,INDEPEND,NOTAFFECT,30-50K,PROTESTANT,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.598
STATE ONLY,13.0,1.0,26.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,DOLE,BETTER,APP/UNFAV,REPUBLCN,HELPSTATE,30-50K,CATHOLIC,MODERATE,18-64,CATHOLIC,STATE,ADACOUNTY,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,0.523
STATE ONLY,13.0,1.0,27.0,THIRD CALL,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,REPUBLCN,HELPSTATE,50-75K,CATHOLIC,MODERATE,18-64,CATHOLIC,STATE,ADACOUNTY,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,0.244
STATE ONLY,13.0,1.0,28.0,THIRD CALL,18-24,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NOVOTE,BETTER,APP/FAV,DEMOCRAT,HELPSTATE,,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.213
STATE ONLY,13.0,1.0,29.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HURTSTATE,50-75K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.264
STATE ONLY,13.0,1.0,30.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HELPSTATE,50-75K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,45-59,50-59,DEMOCRAT,50-64,NONE,,,0.264
STATE ONLY,13.0,1.0,31.0,THIRD CALL,40-44,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,DOLE,BETTER,APP/FAV,INDEPEND,HURTSTATE,50-75K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,30-44,40-49,IND/OTHER,40-49,NONE,,,0.244
STATE ONLY,13.0,1.0,32.0,THIRD CALL,18-24,OTHER,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NOVOTE,BETTER,APP/FAV,DEMOCRAT,NOTAFFECT,LESS15K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,18-29,18-24,DEMOCRAT,18-24,NONE,,,0.23
STATE ONLY,13.0,1.0,33.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,NOTAFFECT,50-75K,OTHER,LIBERAL,18-64,OTHER,STATE,ADACOUNTY,45-59,50-59,DEMOCRAT,50-64,OTHER,,,0.264
STATE ONLY,13.0,1.0,34.0,THIRD CALL,30-39,WHITE,MALE,OTHER,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,PEROT,BETTER,DIS/UNFAV,DEMOCRAT,HELPSTATE,LESS15K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.08
STATE ONLY,13.0,1.0,35.0,THIRD CALL,25-29,OTHER,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,DEMOCRAT,NOTAFFECT,50-75K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,0.482
STATE ONLY,13.0,1.0,36.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,DOLE,BETTER,APP/UNFAV,REPUBLCN,HELPSTATE,30-50K,CATHOLIC,MODERATE,18-64,CATHOLIC,STATE,ADACOUNTY,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,0.523
STATE ONLY,13.0,1.0,37.0,THIRD CALL,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,REPUBLCN,HELPSTATE,50-75K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.244
STATE ONLY,13.0,1.0,38.0,THIRD CALL,18-24,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NOVOTE,BETTER,APP/FAV,DEMOCRAT,HELPSTATE,,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.213
STATE ONLY,13.0,1.0,39.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HURTSTATE,50-75K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.264
STATE ONLY,13.0,1.0,40.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HELPSTATE,50-75K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,45-59,50-59,DEMOCRAT,50-64,NONE,,,0.264
STATE ONLY,13.0,1.0,41.0,THIRD CALL,40-44,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,PEROT,BETTER,APP/FAV,INDEPEND,HURTSTATE,50-75K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,30-44,40-49,IND/OTHER,40-49,NONE,,,0.244
STATE ONLY,13.0,1.0,42.0,THIRD CALL,18-24,OTHER,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NOVOTE,BETTER,APP/FAV,DEMOCRAT,NOTAFFECT,LESS15K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,18-29,18-24,DEMOCRAT,18-24,NONE,,,0.23
STATE ONLY,13.0,1.0,43.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,NOTAFFECT,50-75K,OTHER,LIBERAL,18-64,OTHER,STATE,ADACOUNTY,45-59,50-59,DEMOCRAT,50-64,OTHER,,,0.264
STATE ONLY,13.0,1.0,44.0,THIRD CALL,30-39,WHITE,MALE,OTHER,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,PEROT,BETTER,DIS/UNFAV,INDEPEND,HELPSTATE,LESS15K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,30-44,30-39,IND/OTHER,30-39,NONE,,,0.08
STATE ONLY,13.0,1.0,45.0,THIRD CALL,30-39,OTHER,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,DEMOCRAT,HURTSTATE,,OTHERCHRIST,,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.553
STATE ONLY,13.0,1.0,46.0,THIRD CALL,18-24,WHITE,MALE,GORE,DISAPPR,FAVORABLE,BUSH,CLINTON,BETTER,DIS/FAV,DEMOCRAT,HELPSTATE,50-75K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.213
STATE ONLY,13.0,1.0,47.0,THIRD CALL,25-29,WHITE,MALE,OTHER,APPROVE,FAVORABLE,WOULDNOTVOTE,CLINTON,SAME,APP/FAV,INDEPEND,NOTAFFECT,,NONE,,18-64,NONE,STATE,ADACOUNTY,18-29,25-29,IND/OTHER,25-29,NONE,,,0.07
STATE ONLY,13.0,1.0,48.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HELPSTATE,75-100K,OTHER,MODERATE,18-64,OTHER,STATE,ADACOUNTY,30-44,40-49,DEMOCRAT,40-49,OTHER,,,0.264
STATE ONLY,13.0,1.0,49.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,OMITS,15-30K,OTHERCHRIST,LIBERAL,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.264
STATE ONLY,13.0,1.0,50.0,THIRD CALL,50-59,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,BUSH,CLINTON,BETTER,APP/UNFAV,INDEPEND,NOTAFFECT,,NONE,CONSERV,18-64,NONE,STATE,ADACOUNTY,45-59,50-59,IND/OTHER,50-64,NONE,,,0.244
STATE ONLY,13.0,1.0,51.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,DOLE,BETTER,APP/UNFAV,REPUBLCN,HELPSTATE,30-50K,CATHOLIC,MODERATE,18-64,CATHOLIC,STATE,ADACOUNTY,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,0.523
STATE ONLY,13.0,1.0,52.0,THIRD CALL,50-59,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,INDEPEND,HELPSTATE,30-50K,NONE,MODERATE,18-64,NONE,STATE,ADACOUNTY,45-59,50-59,IND/OTHER,50-64,NONE,,,0.244
STATE ONLY,13.0,1.0,53.0,THIRD CALL,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,INDEPEND,HELPSTATE,50-75K,CATHOLIC,MODERATE,18-64,CATHOLIC,STATE,ADACOUNTY,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.244
STATE ONLY,13.0,1.0,54.0,THIRD CALL,18-24,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NOVOTE,BETTER,APP/FAV,DEMOCRAT,HELPSTATE,,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.213
STATE ONLY,13.0,1.0,55.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HURTSTATE,50-75K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.264
STATE ONLY,13.0,1.0,56.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HELPSTATE,50-75K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,45-59,50-59,DEMOCRAT,50-64,NONE,,,0.264
STATE ONLY,13.0,1.0,57.0,THIRD CALL,40-44,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,PEROT,BETTER,APP/FAV,INDEPEND,HURTSTATE,50-75K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,30-44,40-49,IND/OTHER,40-49,NONE,,,0.244
STATE ONLY,13.0,1.0,58.0,THIRD CALL,18-24,OTHER,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NOVOTE,BETTER,APP/FAV,DEMOCRAT,NOTAFFECT,LESS15K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,18-29,18-24,DEMOCRAT,18-24,NONE,,,0.23
STATE ONLY,13.0,1.0,59.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,NOTAFFECT,50-75K,OTHER,LIBERAL,18-64,OTHER,STATE,ADACOUNTY,45-59,50-59,DEMOCRAT,50-64,OTHER,,,0.264
STATE ONLY,13.0,1.0,60.0,THIRD CALL,30-39,WHITE,MALE,OTHER,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,PEROT,BETTER,DIS/UNFAV,DEMOCRAT,HELPSTATE,LESS15K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.08
STATE ONLY,13.0,1.0,61.0,THIRD CALL,30-39,OTHER,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,DEMOCRAT,HURTSTATE,50-75K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.553
STATE ONLY,13.0,1.0,62.0,THIRD CALL,45-49,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HELPSTATE,50-75K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.244
STATE ONLY,13.0,1.0,63.0,THIRD CALL,25-29,WHITE,MALE,OTHER,APPROVE,FAVORABLE,WOULDNOTVOTE,CLINTON,SAME,APP/FAV,INDEPEND,NOTAFFECT,LESS15K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,18-29,25-29,IND/OTHER,25-29,NONE,,,0.07
STATE ONLY,13.0,1.0,64.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HELPSTATE,75-100K,OTHER,MODERATE,18-64,OTHER,STATE,ADACOUNTY,30-44,40-49,DEMOCRAT,40-49,OTHER,,,0.264
STATE ONLY,13.0,1.0,65.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,OMITS,15-30K,OTHERCHRIST,LIBERAL,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.264
STATE ONLY,13.0,1.0,66.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HELPSTATE,50-75K,OTHERCHRIST,LIBERAL,18-64,PROT/CHRIST,STATE,ADACOUNTY,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.264
STATE ONLY,13.0,1.0,67.0,THIRD CALL,18-24,WHITE,FEMALE,OTHER,APPROVE,FAVORABLE,GORE,DOLE,BETTER,APP/FAV,INDEPEND,HELPSTATE,LESS15K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,18-29,18-24,IND/OTHER,18-24,NONE,,,0.075
STATE ONLY,13.0,1.0,68.0,THIRD CALL,25-29,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,INDEPEND,HURTSTATE,15-30K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,,,0.482
STATE ONLY,13.0,1.0,69.0,THIRD CALL,50-59,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,INDEPEND,OMITS,30-50K,OTHER,MODERATE,18-64,OTHER,STATE,ADACOUNTY,45-59,50-59,IND/OTHER,50-64,OTHER,,,0.244
STATE ONLY,13.0,1.0,70.0,THIRD CALL,30-39,WHITE,MALE,OTHER,APPROVE,OMITS,GORE,OTHER,BETTER,OMITS,ELSE,HELPSTATE,30-50K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,30-44,30-39,IND/OTHER,30-39,NONE,,,0.08
STATE ONLY,13.0,1.0,71.0,THIRD CALL,30-39,WHITE,FEMALE,OTHER,APPROVE,UNFAVORABLE,GORE,OTHER,SAME,APP/UNFAV,ELSE,HELPSTATE,15-30K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,30-44,30-39,IND/OTHER,30-39,NONE,,,0.08700000000000001
STATE ONLY,13.0,1.0,72.0,THIRD CALL,25-29,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,DOLE,BETTER,APP/UNFAV,REPUBLCN,NOTAFFECT,50-75K,NONE,CONSERV,18-64,NONE,STATE,ADACOUNTY,18-29,25-29,REPUBLICAN,25-29,NONE,,,0.482
STATE ONLY,13.0,1.0,73.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,NOTAFFECT,50-75K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.264
STATE ONLY,13.0,1.0,74.0,THIRD CALL,40-44,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HELPSTATE,30-50K,OTHER,LIBERAL,18-64,OTHER,STATE,ADACOUNTY,30-44,40-49,DEMOCRAT,40-49,OTHER,,,0.244
STATE ONLY,13.0,1.0,75.0,THIRD CALL,25-29,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,ELSE,HELPSTATE,30-50K,OTHER,LIBERAL,18-64,OTHER,STATE,ADACOUNTY,18-29,25-29,IND/OTHER,25-29,OTHER,,,0.213
STATE ONLY,13.0,1.0,76.0,THIRD CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,INDEPEND,HURTSTATE,50-75K,OTHER,MODERATE,18-64,OTHER,STATE,ADACOUNTY,30-44,30-39,IND/OTHER,30-39,OTHER,,,0.553
STATE ONLY,13.0,1.0,77.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,ELSE,HURTSTATE,30-50K,OTHERCHRIST,LIBERAL,18-64,PROT/CHRIST,STATE,ADACOUNTY,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.264
