VERSION,STATEID,PRECINCT,SEQ,CALL,WGT,AGE9,RACE,SEX,PRES,SEN,TIME,CLINTON,BCPERSON,XWAY2000,GOVTDO,ISSUE,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,FORESTS,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,SPANISH,QRACE,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,32.0,3.0,13.0,FIRST CALL,827.0,50-59,HISP,MALE,GORE,BINGAMAN,BEFORE,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,OVER100K,LIBERAL,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,45-59,50-59,DEMOCRAT,50-64,YES,HISP,CATHOLIC,,,0.8270000000000001
STATE ONLY,32.0,3.0,14.0,SECOND CALL,858.0,40-44,WHITE,FEMALE,GORE,BINGAMAN,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,MORE,ECON/JOBS,CLINTON,SAME,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,ELSE,15-30K,MODERATE,18-64,OMITS,STATE,COMPLETE,ALBUQUERQUE,30-44,40-49,DEMOCRAT,40-49,NO,WHITE,OTHER,,,0.858
STATE ONLY,32.0,3.0,15.0,SECOND CALL,757.0,50-59,HISP,FEMALE,GORE,BINGAMAN,BEFORE,APPROVE,FAVORABLE,GORE,MORE,MEDICARE/RX,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,45-59,50-59,DEMOCRAT,50-64,NO,HISP,CATHOLIC,,,0.757
STATE ONLY,32.0,3.0,16.0,SECOND CALL,658.0,40-44,HISP,FEMALE,BUSH,REDMOND,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,50-75K,CONSERV,18-64,OMITS,STATE,COMPLETE,ALBUQUERQUE,30-44,40-49,REPUBLICAN,40-49,YES,HISP,PROT/CHRIST,,,0.658
STATE ONLY,32.0,3.0,17.0,SECOND CALL,827.0,40-44,HISP,MALE,GORE,BINGAMAN,LAST.MONTH,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,OMITS,STATE,COMPLETE,ALBUQUERQUE,30-44,40-49,DEMOCRAT,40-49,YES,HISP,CATHOLIC,,,0.8270000000000001
STATE ONLY,32.0,3.0,18.0,SECOND CALL,827.0,50-59,HISP,MALE,GORE,BINGAMAN,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,MORE,OMITS,CLINTON,BETTER,APP/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,30-50K,MODERATE,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,45-59,50-59,IND/OTHER,50-64,YES,HISP,CATHOLIC,,,0.8270000000000001
STATE ONLY,32.0,3.0,19.0,SECOND CALL,676.0,30-39,HISP,MALE,NADER,BINGAMAN,LAST.MONTH,APPROVE,FAVORABLE,WOULDNOTVOTE,LESS,ECON/JOBS,NOVOTE,SAME,APP/FAV,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,30-50K,MODERATE,18-64,NOTAFFECT,STATE,COMPLETE,ALBUQUERQUE,30-44,30-39,IND/OTHER,30-39,YES,HISP,PROT/CHRIST,,,0.676
STATE ONLY,32.0,3.0,20.0,SECOND CALL,759.0,18-24,HISP,FEMALE,GORE,BINGAMAN,OMITS,APPROVE,FAVORABLE,GORE,LESS,EDUCATION,NOVOTE,SAME,APP/FAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,LESS15K,MODERATE,18-64,NOTAFFECT,STATE,COMPLETE,ALBUQUERQUE,18-29,18-24,IND/OTHER,18-24,YES,HISP,CATHOLIC,,,0.759
STATE ONLY,32.0,3.0,21.0,SECOND CALL,748.0,50-59,WHITE,FEMALE,BUSH,REDMOND,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,MORE,MEDICARE/RX,CLINTON,WORSE,DIS/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,15-30K,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,ALBUQUERQUE,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,CATHOLIC,,,0.748
STATE ONLY,32.0,3.0,22.0,SECOND CALL,757.0,40-44,HISP,FEMALE,GORE,BINGAMAN,LAST.3DAYS,APPROVE,FAVORABLE,GORE,MORE,SOCIALSECUR,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,15-30K,LIBERAL,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,30-44,40-49,DEMOCRAT,40-49,YES,HISP,CATHOLIC,,,0.757
STATE ONLY,32.0,3.0,23.0,SECOND CALL,938.0,45-49,WHITE,MALE,GORE,BINGAMAN,BEFORE,APPROVE,UNFAVORABLE,GORE,LESS,OMITS,CLINTON,BETTER,APP/UNFAV,INDEPEND,COLGRAD,NONE,75-100K,MODERATE,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,45-59,40-49,IND/OTHER,40-49,NO,WHITE,NONE,,,0.9380000000000001
STATE ONLY,32.0,3.0,24.0,SECOND CALL,1136.0,65-74,WHITE,FEMALE,GORE,BINGAMAN,LASTWEEK,APPROVE,FAVORABLE,GORE,MORE,SOCIALSECUR,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,65+,NOTAFFECT,STATE,COMPLETE,ALBUQUERQUE,60+,60+,DEMOCRAT,65+,NO,WHITE,PROT/CHRIST,,,1.1360000000000001
STATE ONLY,32.0,3.0,25.0,SECOND CALL,687.0,30-39,HISP,MALE,GORE,REDMOND,LASTWEEK,DISAPPR,UNFAVORABLE,GORE,MORE,ECON/JOBS,DOLE,SAME,DIS/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,30-44,30-39,DEMOCRAT,30-39,YES,HISP,CATHOLIC,,,0.687
STATE ONLY,32.0,3.0,26.0,SECOND CALL,827.0,45-49,HISP,MALE,GORE,BINGAMAN,BEFORE,APPROVE,FAVORABLE,GORE,LESS,ECON/JOBS,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,15-30K,LIBERAL,18-64,NOTAFFECT,STATE,COMPLETE,ALBUQUERQUE,45-59,40-49,DEMOCRAT,40-49,YES,HISP,CATHOLIC,,,0.8270000000000001
STATE ONLY,32.0,3.0,27.0,SECOND CALL,757.0,50-59,HISP,FEMALE,GORE,BINGAMAN,LAST.3DAYS,APPROVE,FAVORABLE,GORE,LESS,SOCIALSECUR,PEROT,SAME,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,LIBERAL,18-64,OMITS,STATE,COMPLETE,ALBUQUERQUE,45-59,50-59,DEMOCRAT,50-64,YES,HISP,PROT/CHRIST,,,0.757
STATE ONLY,32.0,3.0,28.0,SECOND CALL,829.0,18-24,HISP,MALE,GORE,BINGAMAN,LAST.MONTH,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,50-75K,LIBERAL,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,18-29,18-24,DEMOCRAT,18-24,YES,HISP,CATHOLIC,,,0.8290000000000001
STATE ONLY,32.0,3.0,29.0,SECOND CALL,790.0,45-49,HISP,FEMALE,BUSH,BINGAMAN,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,MORE,OMITS,NOVOTE,WORSE,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,LESS15K,LIBERAL,18-64,OMITS,STATE,COMPLETE,ALBUQUERQUE,45-59,40-49,IND/OTHER,40-49,YES,HISP,PROT/CHRIST,,,0.79
STATE ONLY,32.0,3.0,30.0,SECOND CALL,827.0,30-39,HISP,MALE,GORE,BINGAMAN,BEFORE,APPROVE,FAVORABLE,GORE,LESS,OMITS,CLINTON,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,LIBERAL,18-64,NOTAFFECT,STATE,COMPLETE,ALBUQUERQUE,30-44,30-39,DEMOCRAT,30-39,YES,HISP,CATHOLIC,,,0.8270000000000001
STATE ONLY,32.0,3.0,31.0,THIRD CALL,827.0,30-39,HISP,MALE,GORE,BINGAMAN,BEFORE,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,NOVOTE,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,LESS15K,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,ALBUQUERQUE,30-44,30-39,DEMOCRAT,30-39,YES,HISP,CATHOLIC,,,0.8270000000000001
STATE ONLY,32.0,3.0,32.0,THIRD CALL,829.0,18-24,HISP,MALE,GORE,BINGAMAN,LAST.3DAYS,APPROVE,FAVORABLE,GORE,MORE,WORLDAFFAIRS,NOVOTE,BETTER,APP/FAV,INDEPEND,HSGRAD,CATHOLIC,15-30K,MODERATE,18-64,NOTAFFECT,STATE,COMPLETE,ALBUQUERQUE,18-29,18-24,IND/OTHER,18-24,YES,HISP,CATHOLIC,,,0.8290000000000001
STATE ONLY,32.0,3.0,33.0,THIRD CALL,827.0,30-39,HISP,MALE,GORE,BINGAMAN,BEFORE,APPROVE,OMITS,GORE,LESS,OMITS,CLINTON,SAME,OMITS,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,15-30K,LIBERAL,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,30-44,30-39,DEMOCRAT,30-39,YES,HISP,CATHOLIC,,,0.8270000000000001
STATE ONLY,32.0,3.0,34.0,THIRD CALL,999.0,60-64,HISP,FEMALE,GORE,BINGAMAN,LASTWEEK,APPROVE,OMITS,GORE,OMITS,OMITS,PEROT,BETTER,OMITS,INDEPEND,HSGRAD,CATHOLIC,15-30K,MODERATE,18-64,OMITS,STATE,COMPLETE,ALBUQUERQUE,60+,60+,IND/OTHER,50-64,YES,HISP,CATHOLIC,,,0.999
STATE ONLY,32.0,3.0,35.0,THIRD CALL,827.0,30-39,HISP,MALE,GORE,BINGAMAN,LAST.MONTH,APPROVE,FAVORABLE,GORE,LESS,SOCIALSECUR,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,NOTAFFECT,STATE,COMPLETE,ALBUQUERQUE,30-44,30-39,DEMOCRAT,30-39,YES,HISP,CATHOLIC,,,0.8270000000000001
STATE ONLY,32.0,3.0,36.0,THIRD CALL,717.0,40-44,HISP,MALE,BUSH,REDMOND,LAST.3DAYS,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,CLINTON,WORSE,DIS/UNFAV,REPUBLCN,HSGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,ALBUQUERQUE,30-44,40-49,REPUBLICAN,40-49,YES,HISP,PROT/CHRIST,,,0.717
STATE ONLY,32.0,3.0,37.0,THIRD CALL,827.0,30-39,HISP,MALE,GORE,BINGAMAN,BEFORE,APPROVE,FAVORABLE,GORE,LESS,EDUCATION,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,MODERATE,18-64,NOTAFFECT,STATE,COMPLETE,ALBUQUERQUE,30-44,30-39,DEMOCRAT,30-39,YES,HISP,CATHOLIC,,,0.8270000000000001
STATE ONLY,32.0,3.0,38.0,THIRD CALL,759.0,18-24,HISP,FEMALE,GORE,BINGAMAN,LAST.MONTH,APPROVE,FAVORABLE,GORE,MORE,MEDICARE/RX,NOVOTE,SAME,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,15-30K,LIBERAL,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,18-29,18-24,DEMOCRAT,18-24,YES,OTHER,CATHOLIC,,,0.759
STATE ONLY,32.0,3.0,39.0,THIRD CALL,757.0,40-44,HISP,FEMALE,GORE,BINGAMAN,BEFORE,APPROVE,UNFAVORABLE,GORE,MORE,EDUCATION,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HSGRAD,CATHOLIC,50-75K,LIBERAL,18-64,OMITS,STATE,COMPLETE,ALBUQUERQUE,30-44,40-49,DEMOCRAT,40-49,YES,HISP,CATHOLIC,,,0.757
STATE ONLY,32.0,3.0,40.0,THIRD CALL,757.0,30-39,HISP,FEMALE,GORE,BINGAMAN,BEFORE,APPROVE,UNFAVORABLE,GORE,MORE,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,CATHOLIC,15-30K,MODERATE,18-64,NOTAFFECT,STATE,COMPLETE,ALBUQUERQUE,30-44,30-39,DEMOCRAT,30-39,YES,,CATHOLIC,,,0.757
STATE ONLY,32.0,3.0,41.0,THIRD CALL,827.0,40-44,HISP,MALE,GORE,BINGAMAN,LAST.MONTH,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,,18-64,NOTAFFECT,STATE,COMPLETE,ALBUQUERQUE,30-44,40-49,DEMOCRAT,40-49,YES,,CATHOLIC,,,0.8270000000000001
STATE ONLY,32.0,3.0,42.0,THIRD CALL,790.0,30-39,HISP,FEMALE,BUSH,BINGAMAN,LASTWEEK,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,CLINTON,SAME,DIS/UNFAV,DEMOCRAT,COLGRAD,OTHERCHRIST,30-50K,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,ALBUQUERQUE,30-44,30-39,DEMOCRAT,30-39,YES,HISP,PROT/CHRIST,,,0.79
STATE ONLY,32.0,3.0,43.0,THIRD CALL,757.0,30-39,HISP,FEMALE,GORE,BINGAMAN,LAST.3DAYS,APPROVE,FAVORABLE,GORE,MORE,MEDICARE/RX,CLINTON,BETTER,APP/FAV,ELSE,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,NOTAFFECT,STATE,COMPLETE,ALBUQUERQUE,30-44,30-39,IND/OTHER,30-39,YES,HISP,CATHOLIC,,,0.757
STATE ONLY,32.0,3.0,44.0,THIRD CALL,827.0,50-59,HISP,MALE,GORE,BINGAMAN,BEFORE,APPROVE,UNFAVORABLE,GORE,LESS,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,NOTAFFECT,STATE,COMPLETE,ALBUQUERQUE,45-59,50-59,DEMOCRAT,50-64,YES,HISP,CATHOLIC,,,0.8270000000000001
STATE ONLY,32.0,3.0,45.0,THIRD CALL,827.0,45-49,HISP,MALE,GORE,BINGAMAN,BEFORE,APPROVE,FAVORABLE,GORE,MORE,OMITS,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,18-64,NOTAFFECT,STATE,COMPLETE,ALBUQUERQUE,45-59,40-49,DEMOCRAT,40-49,YES,HISP,CATHOLIC,,,0.8270000000000001
STATE ONLY,32.0,4.0,1.0,FIRST CALL,398.0,30-39,WHITE,MALE,NADER,BINGAMAN,LAST.MONTH,APPROVE,FAVORABLE,WOULDNOTVOTE,MORE,HEALTHCARE,CLINTON,BETTER,APP/FAV,INDEPEND,COLGRAD,NONE,50-75K,LIBERAL,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,30-44,30-39,IND/OTHER,30-39,NO,WHITE,NONE,,,0.398
STATE ONLY,32.0,4.0,2.0,FIRST CALL,393.0,45-49,HISP,FEMALE,GORE,BINGAMAN,BEFORE,APPROVE,FAVORABLE,GORE,LESS,MEDICARE/RX,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,45-59,40-49,DEMOCRAT,40-49,YES,HISP,CATHOLIC,,,0.393
STATE ONLY,32.0,4.0,3.0,FIRST CALL,393.0,45-49,HISP,FEMALE,GORE,BINGAMAN,LAST.MONTH,APPROVE,FAVORABLE,GORE,LESS,SOCIALSECUR,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,15-30K,MODERATE,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,45-59,40-49,DEMOCRAT,40-49,YES,HISP,CATHOLIC,,,0.393
STATE ONLY,32.0,4.0,4.0,FIRST CALL,393.0,40-44,HISP,FEMALE,GORE,BINGAMAN,LAST.MONTH,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,NOTAFFECT,STATE,COMPLETE,ALBUQUERQUE,30-44,40-49,DEMOCRAT,40-49,YES,HISP,CATHOLIC,,,0.393
STATE ONLY,32.0,4.0,5.0,FIRST CALL,393.0,30-39,HISP,FEMALE,GORE,BINGAMAN,BEFORE,APPROVE,FAVORABLE,GORE,MORE,OMITS,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,50-75K,MODERATE,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,30-44,30-39,DEMOCRAT,30-39,YES,HISP,CATHOLIC,,,0.393
STATE ONLY,32.0,4.0,6.0,FIRST CALL,445.0,45-49,WHITE,FEMALE,GORE,BINGAMAN,BEFORE,APPROVE,UNFAVORABLE,GORE,LESS,OMITS,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,PROTESTANT,50-75K,LIBERAL,18-64,OMITS,STATE,COMPLETE,ALBUQUERQUE,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,PROT/CHRIST,,,0.445
STATE ONLY,32.0,4.0,7.0,FIRST CALL,465.0,30-39,WHITE,FEMALE,BUSH,BINGAMAN,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,LESS,EDUCATION,NOVOTE,WORSE,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,75-100K,MODERATE,18-64,OMITS,STATE,COMPLETE,ALBUQUERQUE,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,CATHOLIC,,,0.465
STATE ONLY,32.0,4.0,8.0,FIRST CALL,428.0,,HISP,MALE,GORE,BINGAMAN,BEFORE,APPROVE,FAVORABLE,GORE,LESS,OMITS,CLINTON,BETTER,APP/FAV,DEMOCRAT,NOHS,CATHOLIC,30-50K,LIBERAL,,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,,,DEMOCRAT,,YES,HISP,CATHOLIC,,,0.428
STATE ONLY,32.0,4.0,9.0,FIRST CALL,393.0,50-59,HISP,FEMALE,GORE,BINGAMAN,LAST.3DAYS,APPROVE,FAVORABLE,GORE,OMITS,SOCIALSECUR,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,LIBERAL,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,45-59,50-59,DEMOCRAT,50-64,YES,WHITE,CATHOLIC,,,0.393
STATE ONLY,32.0,4.0,10.0,FIRST CALL,520.0,60-64,HISP,FEMALE,GORE,BINGAMAN,BEFORE,APPROVE,FAVORABLE,GORE,OMITS,MEDICARE/RX,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,15-30K,MODERATE,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,60+,60+,DEMOCRAT,50-64,YES,HISP,CATHOLIC,,,0.52
STATE ONLY,32.0,4.0,11.0,FIRST CALL,393.0,50-59,HISP,FEMALE,GORE,BINGAMAN,LASTWEEK,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,15-30K,LIBERAL,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,45-59,50-59,DEMOCRAT,50-64,YES,HISP,CATHOLIC,,,0.393
STATE ONLY,32.0,4.0,12.0,FIRST CALL,428.0,30-39,HISP,MALE,GORE,BINGAMAN,LAST.MONTH,DISAPPR,UNFAVORABLE,GORE,MORE,OMITS,CLINTON,SAME,DIS/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,30-44,30-39,DEMOCRAT,30-39,YES,HISP,CATHOLIC,,,0.428
STATE ONLY,32.0,4.0,13.0,SECOND CALL,393.0,40-44,HISP,FEMALE,GORE,BINGAMAN,BEFORE,APPROVE,FAVORABLE,GORE,MORE,MEDICARE/RX,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,30-44,40-49,DEMOCRAT,40-49,YES,HISP,CATHOLIC,,,0.393
STATE ONLY,32.0,4.0,14.0,SECOND CALL,327.0,30-39,HISP,FEMALE,GORE,REDMOND,LAST.MONTH,APPROVE,FAVORABLE,GORE,MORE,WORLDAFFAIRS,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,LESS15K,MODERATE,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,30-44,30-39,DEMOCRAT,30-39,YES,HISP,CATHOLIC,,,0.327
