VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,PROPMA4,GOVTDO,ISSUE,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,LOGO,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
NATIONAL PINK,22.0,2.0,13.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,,,,,YES,,,,,,INDEPEND,,CATHOLIC,50-75K,CONSERV,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.899
NATIONAL PINK,22.0,2.0,14.0,FIRST CALL,40-44,WHITE,MALE,BUSH,,,,,YES,,,,,,INDEPEND,,CATHOLIC,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.868
NATIONAL PINK,22.0,2.0,15.0,FIRST CALL,45-49,WHITE,MALE,GORE,,,,,YES,,,,,,DEMOCRAT,,CATHOLIC,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.973
NATIONAL PINK,22.0,2.0,16.0,FIRST CALL,18-24,WHITE,FEMALE,NADER,,,,,NO,,,,,,DEMOCRAT,,NONE,15-30K,LIBERAL,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,18-29,18-24,DEMOCRAT,18-24,NONE,,,1.116
NATIONAL WHITE,22.0,2.0,17.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,,APPROVE,FAVORABLE,GORE,YES,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,15-30K,LIBERAL,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,1.0070000000000001
NATIONAL WHITE,22.0,2.0,18.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,,APPROVE,UNFAVORABLE,BUSH,YES,MORE,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HSGRAD,CATHOLIC,50-75K,LIBERAL,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.899
NATIONAL YELLOW,22.0,2.0,19.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,WORLDAFFAIRS,DOLE,BETTER,DIS/UNFAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,75-100K,LIBERAL,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,WORLDAFFAIRS,GOODJUDGMENT,0.899
NATIONAL YELLOW,22.0,2.0,20.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,,DISAPPR,UNFAVORABLE,GORE,YES,LESS,WORLDAFFAIRS,CLINTON,WORSE,DIS/UNFAV,INDEPEND,HSGRAD,PROTESTANT,15-30K,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,60+,60+,IND/OTHER,50-64,PROT/CHRIST,WORLDAFFAIRS,EXPERIENCE,0.978
NATIONAL GREY,22.0,2.0,21.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,,,,,NO,,,,,,INDEPEND,HSGRAD,,15-30K,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,60+,60+,IND/OTHER,50-64,,,,0.982
NATIONAL GREY,22.0,2.0,22.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,,,,,NO,,,,,,DEMOCRAT,SOMCOL/ASSOC,,50-75K,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,60+,60+,DEMOCRAT,50-64,,,,0.982
NATIONAL PINK,22.0,2.0,23.0,SECOND CALL,40-44,WHITE,MALE,GORE,,,,,YES,,,,,,INDEPEND,,PROTESTANT,75-100K,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.973
NATIONAL PINK,22.0,2.0,24.0,SECOND CALL,65-74,BLACK,MALE,GORE,,,,,NO,,,,,,INDEPEND,,PROTESTANT,50-75K,MODERATE,65+,,NATIONAL,COMPLETE,NO/SOSHORES,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.639
NATIONAL WHITE,22.0,2.0,25.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,,APPROVE,FAVORABLE,GORE,NO,MORE,SOCIALSECUR,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,15-30K,LIBERAL,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,1.0110000000000001
NATIONAL WHITE,22.0,2.0,26.0,THIRD CALL,30-39,,FEMALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,OMITS,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,OTHERCHRIST,75-100K,CONSERV,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.899
NATIONAL WHITE,22.0,2.0,27.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,,APPROVE,UNFAVORABLE,GORE,YES,LESS,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,NONE,50-75K,LIBERAL,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,45-59,50-59,IND/OTHER,50-64,NONE,,,1.0070000000000001
NATIONAL WHITE,22.0,2.0,28.0,THIRD CALL,60-64,,FEMALE,GORE,,APPROVE,FAVORABLE,GORE,NO,LESS,OMITS,CLINTON,SAME,APP/FAV,INDEPEND,,CATHOLIC,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,60+,60+,IND/OTHER,50-64,CATHOLIC,,,0.982
NATIONAL WHITE,22.0,2.0,29.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,EDUCATION,NOVOTE,SAME,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,15-30K,CONSERV,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,,,0.881
NATIONAL YELLOW,22.0,2.0,30.0,THIRD CALL,40-44,WHITE,FEMALE,NADER,,APPROVE,FAVORABLE,WOULDNOTVOTE,YES,LESS,ECON/JOBS,CLINTON,WORSE,APP/FAV,INDEPEND,COLGRAD,CATHOLIC,50-75K,LIBERAL,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,30-44,40-49,IND/OTHER,40-49,CATHOLIC,ECON/JOBS,HONEST,1.1320000000000001
NATIONAL YELLOW,22.0,2.0,31.0,THIRD CALL,65-74,WHITE,MALE,GORE,,APPROVE,FAVORABLE,GORE,YES,MORE,HEALTHCARE,CLINTON,SAME,APP/FAV,INDEPEND,NOHS,OTHERCHRIST,15-30K,MODERATE,65+,,NATIONAL,COMPLETE,NO/SOSHORES,60+,60+,IND/OTHER,65+,PROT/CHRIST,HEALTHCARE,EXPERIENCE,0.9440000000000001
NATIONAL YELLOW,22.0,2.0,32.0,THIRD CALL,45-49,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,EDUCATION,PEROT,SAME,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,45-59,40-49,IND/OTHER,40-49,CATHOLIC,EDUCATION,GOODJUDGMENT,0.873
NATIONAL YELLOW,22.0,2.0,33.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,,APPROVE,FAVORABLE,GORE,NO,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,75-100K,LIBERAL,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,ECON/JOBS,GOODJUDGMENT,1.0110000000000001
NATIONAL YELLOW,22.0,2.0,34.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,,APPROVE,UNFAVORABLE,GORE,YES,LESS,EDUCATION,CLINTON,SAME,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,EDUCATION,STRONGLEADER,1.0070000000000001
NATIONAL GREY,22.0,2.0,35.0,THIRD CALL,18-24,WHITE,MALE,NADER,,,,,YES,,,,,,INDEPEND,COLGRAD,,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,18-29,18-24,IND/OTHER,18-24,,,,1.071
NATIONAL GREY,22.0,2.0,36.0,THIRD CALL,30-39,WHITE,MALE,GORE,,,,,NO,,,,,,DEMOCRAT,HSGRAD,,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,30-44,30-39,DEMOCRAT,30-39,,,,0.977
NATIONAL GREY,22.0,2.0,37.0,THIRD CALL,60-64,WHITE,FEMALE,GORE,,,,,NO,,,,,,DEMOCRAT,POSTGRAD,,75-100K,LIBERAL,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,60+,60+,DEMOCRAT,50-64,,,,0.982
NATIONAL GREY,22.0,2.0,38.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,,,,,NO,,,,,,INDEPEND,HSGRAD,,50-75K,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,45-59,50-59,IND/OTHER,50-64,,,,0.903
NATIONAL GREY,22.0,2.0,39.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,,,,,NO,,,,,,INDEPEND,COLGRAD,,30-50K,LIBERAL,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,30-44,30-39,IND/OTHER,30-39,,,,1.0110000000000001
NATIONAL PINK,22.0,2.0,40.0,THIRD CALL,50-59,WHITE,MALE,BUSH,,,,,YES,,,,,,REPUBLCN,,CATHOLIC,50-75K,CONSERV,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,,,0.868
NATIONAL PINK,22.0,2.0,41.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,,,,,YES,,,,,,DEMOCRAT,,CATHOLIC,OVER100K,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,1.0070000000000001
NATIONAL PINK,22.0,2.0,42.0,THIRD CALL,45-49,WHITE,MALE,BUSH,,,,,YES,,,,,,REPUBLCN,,PROTESTANT,75-100K,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.868
NATIONAL PINK,22.0,2.0,43.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,,,,,YES,,,,,,DEMOCRAT,,CATHOLIC,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,,,0.987
NATIONAL PINK,22.0,2.0,44.0,THIRD CALL,30-39,WHITE,MALE,OTHER,,,,,YES,,,,,,REPUBLCN,,CATHOLIC,,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,0.897
NATIONAL WHITE,22.0,14.0,1.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,,APPROVE,FAVORABLE,GORE,NO,MORE,MEDICARE/RX,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,OTHERCHRIST,15-30K,LIBERAL,65+,,NATIONAL,COMPLETE,OTHLRGCITIES,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.714
NATIONAL WHITE,22.0,14.0,2.0,FIRST CALL,65-74,WHITE,,BUSH,,APPROVE,FAVORABLE,BUSH,YES,LESS,MEDICARE/RX,DOLE,SAME,APP/FAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,CONSERV,65+,,NATIONAL,COMPLETE,OTHLRGCITIES,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.979
NATIONAL WHITE,22.0,14.0,3.0,FIRST CALL,30-39,BLACK,MALE,GORE,,APPROVE,FAVORABLE,GORE,NO,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,75-100K,CONSERV,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.337
NATIONAL WHITE,22.0,14.0,4.0,FIRST CALL,45-49,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,EDUCATION,DOLE,SAME,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,30-50K,CONSERV,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.597
NATIONAL YELLOW,22.0,14.0,5.0,FIRST CALL,50-59,WHITE,MALE,BUSH,,OMITS,OMITS,OMITS,YES,LESS,OMITS,OMITS,OMITS,,,,,,,18-64,,NATIONAL,NOTCOMPLETE,OTHLRGCITIES,45-59,50-59,,50-64,,OMITS,HONEST,0.597
NATIONAL YELLOW,22.0,14.0,6.0,FIRST CALL,75+,WHITE,FEMALE,GORE,,APPROVE,FAVORABLE,GORE,NO,MORE,MEDICARE/RX,CLINTON,WORSE,APP/FAV,DEMOCRAT,NOHS,CATHOLIC,30-50K,CONSERV,65+,,NATIONAL,COMPLETE,OTHLRGCITIES,60+,60+,DEMOCRAT,65+,CATHOLIC,MEDICARE/RX,STRONGLEADER,0.714
NATIONAL YELLOW,22.0,14.0,7.0,FIRST CALL,25-29,WHITE,FEMALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,TAXES,CLINTON,BETTER,DIS/UNFAV,INDEPEND,POSTGRAD,NONE,50-75K,CONSERV,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,18-29,25-29,IND/OTHER,25-29,NONE,TAXES,STRONGLEADER,0.6930000000000001
NATIONAL YELLOW,22.0,14.0,8.0,FIRST CALL,50-59,OTHER,MALE,GORE,,APPROVE,FAVORABLE,GORE,YES,LESS,SOCIALSECUR,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,LIBERAL,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,SOCIALSECUR,STRONGLEADER,0.453
NATIONAL GREY,22.0,14.0,9.0,FIRST CALL,50-59,WHITE,MALE,GORE,,,,,NO,,,,,,INDEPEND,SOMCOL/ASSOC,,15-30K,MODERATE,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,45-59,50-59,IND/OTHER,50-64,,,,0.455
NATIONAL GREY,22.0,14.0,10.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,,,,,NO,,,,,,INDEPEND,HSGRAD,,50-75K,MODERATE,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,30-44,30-39,IND/OTHER,30-39,,,,0.436
NATIONAL GREY,22.0,14.0,11.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,,,,,NO,,,,,,REPUBLCN,HSGRAD,,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,45-59,50-59,REPUBLICAN,50-64,,,,0.436
NATIONAL GREY,22.0,14.0,12.0,FIRST CALL,40-44,BLACK,MALE,GORE,,,,,NO,,,,,,INDEPEND,POSTGRAD,,75-100K,LIBERAL,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,30-44,40-49,IND/OTHER,40-49,,,,0.337
NATIONAL PINK,22.0,14.0,13.0,FIRST CALL,30-39,WHITE,MALE,GORE,,,,,YES,,,,,,INDEPEND,,CATHOLIC,75-100K,MODERATE,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.453
NATIONAL PINK,22.0,14.0,14.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,,,,,YES,,,,,,REPUBLCN,,CATHOLIC,50-75K,CONSERV,65+,,NATIONAL,COMPLETE,OTHLRGCITIES,60+,60+,REPUBLICAN,65+,CATHOLIC,,,0.937
NATIONAL PINK,22.0,14.0,15.0,FIRST CALL,45-49,WHITE,MALE,GORE,,,,,NO,,,,,,DEMOCRAT,,CATHOLIC,50-75K,MODERATE,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.455
NATIONAL PINK,22.0,14.0,16.0,FIRST CALL,30-39,OTHER,MALE,BUSH,,,,,YES,,,,,,REPUBLCN,,NONE,75-100K,CONSERV,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,30-44,30-39,REPUBLICAN,30-39,NONE,,,0.597
NATIONAL WHITE,22.0,14.0,17.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,,APPROVE,UNFAVORABLE,BUSH,NO,LESS,ECON/JOBS,PEROT,OMITS,APP/UNFAV,INDEPEND,HSGRAD,OTHERCHRIST,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.5750000000000001
NATIONAL YELLOW,22.0,14.0,18.0,SECOND CALL,65-74,WHITE,MALE,BUSH,,APPROVE,UNFAVORABLE,BUSH,YES,MORE,OMITS,DOLE,BETTER,APP/UNFAV,REPUBLCN,COLGRAD,ELSE,50-75K,CONSERV,65+,,NATIONAL,COMPLETE,OTHLRGCITIES,60+,60+,REPUBLICAN,65+,OTHER,OMITS,STRONGLEADER,0.979
NATIONAL GREY,22.0,14.0,19.0,SECOND CALL,18-24,WHITE,MALE,GORE,,,,,YES,,,,,,ELSE,SOMCOL/ASSOC,,50-75K,LIBERAL,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,18-29,18-24,IND/OTHER,18-24,,,,0.547
NATIONAL PINK,22.0,14.0,20.0,SECOND CALL,18-24,WHITE,MALE,NADER,,,,,YES,,,,,,INDEPEND,,NONE,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,18-29,18-24,IND/OTHER,18-24,NONE,,,0.396
NATIONAL WHITE,22.0,14.0,21.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,,APPROVE,FAVORABLE,GORE,NO,MORE,SOCIALSECUR,NOVOTE,SAME,APP/FAV,REPUBLCN,COLGRAD,CATHOLIC,75-100K,CONSERV,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,,,0.436
NATIONAL WHITE,22.0,14.0,22.0,THIRD CALL,75+,WHITE,MALE,GORE,,OMITS,OMITS,OMITS,YES,MORE,WORLDAFFAIRS,OMITS,OMITS,,,,,,,65+,,NATIONAL,NOTCOMPLETE,OTHLRGCITIES,60+,60+,,65+,,,,0.741
NATIONAL WHITE,22.0,14.0,23.0,THIRD CALL,30-39,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,ECON/JOBS,PEROT,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.601
NATIONAL WHITE,22.0,14.0,24.0,THIRD CALL,50-59,WHITE,MALE,GORE,,APPROVE,UNFAVORABLE,GORE,YES,MORE,MEDICARE/RX,CLINTON,BETTER,APP/UNFAV,INDEPEND,HSGRAD,PROTESTANT,50-75K,MODERATE,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.453
NATIONAL WHITE,22.0,14.0,25.0,THIRD CALL,65-74,,,GORE,,APPROVE,FAVORABLE,GORE,NO,MORE,MEDICARE/RX,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,15-30K,MODERATE,65+,,NATIONAL,COMPLETE,OTHLRGCITIES,60+,60+,DEMOCRAT,65+,CATHOLIC,,,0.714
NATIONAL WHITE,22.0,14.0,26.0,THIRD CALL,45-49,WHITE,MALE,BUSH,,APPROVE,UNFAVORABLE,BUSH,NO,MORE,OMITS,PEROT,WORSE,APP/UNFAV,INDEPEND,HSGRAD,NONE,30-50K,LIBERAL,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,45-59,40-49,IND/OTHER,40-49,NONE,,,0.601
NATIONAL WHITE,22.0,14.0,27.0,THIRD CALL,18-24,WHITE,MALE,GORE,,OMITS,OMITS,OMITS,YES,MORE,SOCIALSECUR,OMITS,OMITS,,,,,,,18-64,,NATIONAL,NOTCOMPLETE,OTHLRGCITIES,18-29,18-24,,18-24,,,,0.547
NATIONAL YELLOW,22.0,14.0,28.0,THIRD CALL,50-59,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,ECON/JOBS,DOLE,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,CATHOLIC,50-75K,CONSERV,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,ECON/JOBS,OMITS,0.597
NATIONAL YELLOW,22.0,14.0,29.0,THIRD CALL,60-64,WHITE,MALE,GORE,,APPROVE,UNFAVORABLE,GORE,NO,MORE,WORLDAFFAIRS,DOLE,WORSE,APP/UNFAV,ELSE,SOMCOL/ASSOC,NONE,50-75K,MODERATE,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,60+,60+,IND/OTHER,50-64,NONE,WORLDAFFAIRS,COMPLEXISSUE,0.745
NATIONAL YELLOW,22.0,14.0,30.0,THIRD CALL,40-44,BLACK,MALE,GORE,,APPROVE,FAVORABLE,GORE,YES,MORE,EDUCATION,CLINTON,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,,18-64,,NATIONAL,COMPLETE,OTHLRGCITIES,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,EDUCATION,CARES,0.337
