VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,HOU,XWAY2000,PROPHEMP,PROPTAX,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,WEIGHT
STATE ONLY,2.0,2.0,15.0,SECOND CALL,40-44,WHITE,MALE,BUSH,APPROVE,FAVORABLE,OTHER,BUSH,NO,NO,CLINTON,BETTER,APP/FAV,INDEPEND,NONE,30-50K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,40-49,IND/OTHER,40-49,NONE,1.999
STATE ONLY,2.0,2.0,16.0,SECOND CALL,40-44,OTHER,FEMALE,GORE,DISAPPR,UNFAVORABLE,GREENE,GORE,YES,NO,CLINTON,WORSE,DIS/UNFAV,DEMOCRAT,NONE,30-50K,LIBERAL,18-64,STATE,JUNEAU/RURAL,30-44,40-49,DEMOCRAT,40-49,NONE,0.8190000000000001
STATE ONLY,2.0,2.0,17.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,PEROT,BETTER,DIS/UNFAV,INDEPEND,CATHOLIC,75-100K,CONSERV,18-64,STATE,JUNEAU/RURAL,45-59,50-59,IND/OTHER,50-64,CATHOLIC,0.8
STATE ONLY,2.0,2.0,18.0,SECOND CALL,60-64,ASIAN,FEMALE,GORE,APPROVE,FAVORABLE,,GORE,NO,NO,OTHER,BETTER,APP/FAV,INDEPEND,NONE,OVER100K,CONSERV,18-64,STATE,JUNEAU/RURAL,60+,60+,IND/OTHER,50-64,NONE,0.964
STATE ONLY,2.0,2.0,19.0,SECOND CALL,45-49,WHITE,FEMALE,,APPROVE,FAVORABLE,,OMITS,NO,YES,PEROT,BETTER,APP/FAV,INDEPEND,OTHERCHRIST,50-75K,LIBERAL,18-64,STATE,JUNEAU/RURAL,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,0.923
STATE ONLY,2.0,2.0,20.0,SECOND CALL,25-29,WHITE,FEMALE,NADER,APPROVE,FAVORABLE,,GORE,YES,NO,CLINTON,WORSE,APP/FAV,INDEPEND,ELSE,15-30K,LIBERAL,18-64,STATE,JUNEAU/RURAL,18-29,25-29,IND/OTHER,25-29,OTHER,0.366
STATE ONLY,2.0,2.0,21.0,SECOND CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,YES,YES,DOLE,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,JUNEAU/RURAL,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,0.9380000000000001
STATE ONLY,2.0,2.0,22.0,SECOND CALL,60-64,OTHER,FEMALE,GORE,OMITS,UNFAVORABLE,OTHER,GORE,NO,NO,DOLE,OMITS,OMITS,REPUBLCN,OTHERCHRIST,,MODERATE,18-64,STATE,JUNEAU/RURAL,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,1.846
STATE ONLY,2.0,2.0,23.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,DOLE,SAME,DIS/UNFAV,INDEPEND,PROTESTANT,,CONSERV,18-64,STATE,JUNEAU/RURAL,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,0.8
STATE ONLY,2.0,2.0,24.0,SECOND CALL,60-64,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,MODERATE,18-64,STATE,JUNEAU/RURAL,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,1.195
STATE ONLY,2.0,2.0,25.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,YES,NO,CLINTON,SAME,DIS/UNFAV,INDEPEND,NONE,50-75K,MODERATE,18-64,STATE,JUNEAU/RURAL,45-59,50-59,IND/OTHER,50-64,NONE,0.727
STATE ONLY,2.0,2.0,26.0,SECOND CALL,,OTHER,MALE,,OMITS,OMITS,,OMITS,YES,NO,OMITS,OMITS,OMITS,,,LESS15K,,,STATE,JUNEAU/RURAL,,,,,,0.753
STATE ONLY,2.0,2.0,27.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,YES,NO,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,JUNEAU/RURAL,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,0.795
STATE ONLY,2.0,2.0,28.0,SECOND CALL,50-59,WHITE,MALE,GORE,APPROVE,FAVORABLE,GREENE,GORE,YES,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,,LESS15K,MODERATE,18-64,STATE,JUNEAU/RURAL,45-59,50-59,DEMOCRAT,50-64,,0.881
STATE ONLY,2.0,2.0,29.0,SECOND CALL,40-44,WHITE,MALE,NADER,DISAPPR,UNFAVORABLE,OTHER,WOULDNOTVOTE,YES,NO,PEROT,SAME,DIS/UNFAV,INDEPEND,NONE,30-50K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,40-49,IND/OTHER,40-49,NONE,0.6880000000000001
STATE ONLY,2.0,2.0,30.0,SECOND CALL,18-24,WHITE,MALE,NADER,APPROVE,UNFAVORABLE,GREENE,WOULDNOTVOTE,YES,NO,OTHER,SAME,APP/UNFAV,ELSE,ELSE,LESS15K,LIBERAL,18-64,STATE,JUNEAU/RURAL,18-29,18-24,IND/OTHER,18-24,OTHER,0.529
STATE ONLY,2.0,2.0,31.0,SECOND CALL,40-44,WHITE,MALE,NADER,APPROVE,FAVORABLE,YOUNG,WOULDNOTVOTE,YES,NO,CLINTON,BETTER,APP/FAV,ELSE,NONE,30-50K,CONSERV,18-64,STATE,JUNEAU/RURAL,30-44,40-49,IND/OTHER,40-49,NONE,0.297
STATE ONLY,2.0,2.0,32.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,YOUNG,GORE,YES,NO,CLINTON,SAME,APP/UNFAV,INDEPEND,PROTESTANT,30-50K,LIBERAL,18-64,STATE,JUNEAU/RURAL,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,0.502
STATE ONLY,2.0,2.0,33.0,SECOND CALL,40-44,WHITE,MALE,,OMITS,OMITS,,WOULDNOTVOTE,,YES,OMITS,WORSE,OMITS,,,,CONSERV,18-64,STATE,JUNEAU/RURAL,30-44,40-49,,40-49,,0.9550000000000001
STATE ONLY,2.0,2.0,34.0,SECOND CALL,40-44,OTHER,FEMALE,GORE,APPROVE,FAVORABLE,YOUNG,GORE,NO,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,ELSE,75-100K,LIBERAL,18-64,STATE,JUNEAU/RURAL,30-44,40-49,DEMOCRAT,40-49,OTHER,0.66
STATE ONLY,2.0,2.0,35.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,YOUNG,GORE,YES,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,CATHOLIC,50-75K,MODERATE,18-64,STATE,JUNEAU/RURAL,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,0.502
STATE ONLY,2.0,2.0,36.0,SECOND CALL,30-39,BLACK,MALE,GORE,DISAPPR,UNFAVORABLE,GREENE,GORE,YES,NO,CLINTON,WORSE,DIS/UNFAV,INDEPEND,PROTESTANT,50-75K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,0.797
STATE ONLY,2.0,2.0,37.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,0.8
STATE ONLY,2.0,2.0,38.0,SECOND CALL,30-39,WHITE,FEMALE,NADER,APPROVE,FAVORABLE,OTHER,GORE,YES,YES,CLINTON,SAME,APP/FAV,ELSE,CATHOLIC,50-75K,LIBERAL,18-64,STATE,JUNEAU/RURAL,30-44,30-39,IND/OTHER,30-39,CATHOLIC,0.767
STATE ONLY,2.0,2.0,39.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,APPROVE,FAVORABLE,YOUNG,BUSH,YES,NO,OTHER,BETTER,APP/FAV,INDEPEND,CATHOLIC,50-75K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,40-49,IND/OTHER,40-49,CATHOLIC,0.727
STATE ONLY,2.0,2.0,40.0,SECOND CALL,30-39,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,YOUNG,BUSH,NO,YES,CLINTON,BETTER,APP/UNFAV,REPUBLCN,CATHOLIC,LESS15K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,1.029
STATE ONLY,2.0,3.0,1.0,FIRST CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,DOLE,BETTER,DIS/UNFAV,INDEPEND,CATHOLIC,OVER100K,MODERATE,18-64,STATE,JUNEAU/RURAL,45-59,50-59,IND/OTHER,50-64,CATHOLIC,1.181
STATE ONLY,2.0,3.0,2.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,YES,NO,CLINTON,BETTER,DIS/UNFAV,REPUBLCN,NONE,OVER100K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,30-39,REPUBLICAN,30-39,NONE,1.0010000000000001
STATE ONLY,2.0,3.0,3.0,FIRST CALL,40-44,WHITE,MALE,GORE,APPROVE,FAVORABLE,GREENE,GORE,YES,NO,CLINTON,BETTER,APP/FAV,INDEPEND,ELSE,50-75K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,40-49,IND/OTHER,40-49,OTHER,1.212
STATE ONLY,2.0,3.0,4.0,FIRST CALL,50-59,WHITE,MALE,GORE,APPROVE,FAVORABLE,YOUNG,GORE,YES,NO,CLINTON,BETTER,APP/FAV,INDEPEND,CATHOLIC,75-100K,LIBERAL,18-64,STATE,JUNEAU/RURAL,45-59,50-59,IND/OTHER,50-64,CATHOLIC,0.739
STATE ONLY,2.0,3.0,5.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,OTHER,GORE,YES,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,50-75K,LIBERAL,18-64,STATE,JUNEAU/RURAL,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,1.598
STATE ONLY,2.0,3.0,6.0,FIRST CALL,45-49,WHITE,MALE,GORE,APPROVE,FAVORABLE,OTHER,GORE,YES,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,CATHOLIC,75-100K,LIBERAL,18-64,STATE,JUNEAU/RURAL,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,1.719
STATE ONLY,2.0,3.0,7.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,JUNEAU/RURAL,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,1.103
STATE ONLY,2.0,3.0,8.0,FIRST CALL,50-59,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,YOUNG,BUSH,NO,NO,DOLE,SAME,APP/UNFAV,INDEPEND,CATHOLIC,OVER100K,MODERATE,18-64,STATE,JUNEAU/RURAL,45-59,50-59,IND/OTHER,50-64,CATHOLIC,1.181
STATE ONLY,2.0,3.0,9.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GREENE,GORE,NO,NO,CLINTON,SAME,APP/UNFAV,DEMOCRAT,NONE,15-30K,LIBERAL,18-64,STATE,JUNEAU/RURAL,30-44,30-39,DEMOCRAT,30-39,NONE,1.238
STATE ONLY,2.0,3.0,10.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,,GORE,NO,NO,CLINTON,SAME,APP/UNFAV,DEMOCRAT,PROTESTANT,50-75K,LIBERAL,18-64,STATE,JUNEAU/RURAL,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,0.918
STATE ONLY,2.0,3.0,11.0,FIRST CALL,45-49,WHITE,,GORE,APPROVE,FAVORABLE,YOUNG,GORE,NO,NO,CLINTON,BETTER,APP/FAV,INDEPEND,NONE,OVER100K,MODERATE,18-64,STATE,JUNEAU/RURAL,45-59,40-49,IND/OTHER,40-49,NONE,0.755
STATE ONLY,2.0,3.0,12.0,FIRST CALL,30-39,OTHER,MALE,NADER,DISAPPR,UNFAVORABLE,GREENE,BUSH,YES,NO,OTHER,SAME,DIS/UNFAV,INDEPEND,NONE,30-50K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,30-39,IND/OTHER,30-39,NONE,0.666
STATE ONLY,2.0,3.0,13.0,FIRST CALL,50-59,WHITE,MALE,GORE,APPROVE,FAVORABLE,OTHER,GORE,YES,NO,OTHER,SAME,APP/FAV,INDEPEND,ELSE,30-50K,LIBERAL,18-64,STATE,JUNEAU/RURAL,45-59,50-59,IND/OTHER,50-64,OTHER,1.719
STATE ONLY,2.0,3.0,14.0,FIRST CALL,45-49,WHITE,MALE,NADER,APPROVE,UNFAVORABLE,GREENE,GORE,,NO,CLINTON,SAME,APP/UNFAV,INDEPEND,ELSE,75-100K,MODERATE,18-64,STATE,JUNEAU/RURAL,45-59,40-49,IND/OTHER,40-49,OTHER,0.705
STATE ONLY,2.0,3.0,15.0,SECOND CALL,50-59,OTHER,MALE,GORE,APPROVE,FAVORABLE,OTHER,GORE,YES,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,ELSE,50-75K,MODERATE,18-64,STATE,JUNEAU/RURAL,45-59,50-59,DEMOCRAT,50-64,OTHER,1.719
STATE ONLY,2.0,3.0,16.0,SECOND CALL,65-74,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,YES,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,NONE,50-75K,CONSERV,65+,STATE,JUNEAU/RURAL,60+,60+,REPUBLICAN,65+,NONE,1.861
STATE ONLY,2.0,3.0,17.0,SECOND CALL,40-44,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,YOUNG,BUSH,NO,YES,CLINTON,WORSE,APP/UNFAV,ELSE,OTHERCHRIST,,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,1.42
STATE ONLY,2.0,3.0,18.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,DOLE,SAME,DIS/UNFAV,INDEPEND,PROTESTANT,50-75K,MODERATE,18-64,STATE,JUNEAU/RURAL,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,1.103
STATE ONLY,2.0,3.0,19.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GREENE,GORE,YES,NO,CLINTON,WORSE,APP/UNFAV,DEMOCRAT,PROTESTANT,LESS15K,MODERATE,18-64,STATE,JUNEAU/RURAL,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,1.125
STATE ONLY,2.0,3.0,20.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,,GORE,YES,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,NONE,OVER100K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,40-49,DEMOCRAT,40-49,NONE,0.835
STATE ONLY,2.0,3.0,21.0,SECOND CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,YES,NO,DOLE,WORSE,DIS/UNFAV,INDEPEND,PROTESTANT,50-75K,CONSERV,18-64,STATE,JUNEAU/RURAL,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,1.078
STATE ONLY,2.0,3.0,22.0,SECOND CALL,50-59,WHITE,MALE,BUSH,APPROVE,FAVORABLE,YOUNG,GORE,NO,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,50-75K,MODERATE,18-64,STATE,JUNEAU/RURAL,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,1.181
STATE ONLY,2.0,3.0,23.0,SECOND CALL,50-59,WHITE,FEMALE,NADER,APPROVE,FAVORABLE,OTHER,GORE,YES,NO,CLINTON,SAME,APP/FAV,INDEPEND,NONE,75-100K,LIBERAL,18-64,STATE,JUNEAU/RURAL,45-59,50-59,IND/OTHER,50-64,NONE,0.878
STATE ONLY,2.0,3.0,24.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,,GORE,YES,NO,DOLE,BETTER,APP/UNFAV,REPUBLCN,NONE,30-50K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,30-39,REPUBLICAN,30-39,NONE,0.835
STATE ONLY,2.0,3.0,25.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,YOUNG,GORE,NO,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,CATHOLIC,50-75K,LIBERAL,18-64,STATE,JUNEAU/RURAL,60+,60+,DEMOCRAT,50-64,CATHOLIC,1.091
STATE ONLY,2.0,3.0,26.0,SECOND CALL,45-49,OTHER,FEMALE,GORE,APPROVE,FAVORABLE,GREENE,GORE,YES,NO,CLINTON,WORSE,APP/FAV,DEMOCRAT,,LESS15K,LIBERAL,18-64,STATE,JUNEAU/RURAL,45-59,40-49,DEMOCRAT,40-49,,1.125
STATE ONLY,2.0,3.0,27.0,SECOND CALL,50-59,WHITE,MALE,,APPROVE,FAVORABLE,,OMITS,NO,NO,OMITS,SAME,APP/FAV,INDEPEND,PROTESTANT,50-75K,MODERATE,18-64,STATE,JUNEAU/RURAL,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,1.1360000000000001
STATE ONLY,2.0,3.0,28.0,SECOND CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,DOLE,SAME,DIS/UNFAV,ELSE,CATHOLIC,75-100K,MODERATE,18-64,STATE,JUNEAU/RURAL,45-59,50-59,IND/OTHER,50-64,CATHOLIC,1.181
STATE ONLY,2.0,3.0,29.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,YOUNG,GORE,NO,NO,CLINTON,SAME,APP/FAV,,CATHOLIC,50-75K,CONSERV,18-64,STATE,JUNEAU/RURAL,30-44,30-39,,30-39,CATHOLIC,0.755
STATE ONLY,2.0,3.0,30.0,SECOND CALL,30-39,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,YOUNG,BUSH,NO,NO,DOLE,SAME,APP/UNFAV,REPUBLCN,CATHOLIC,50-75K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,1.181
STATE ONLY,2.0,3.0,31.0,SECOND CALL,75+,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,OVER100K,MODERATE,65+,STATE,JUNEAU/RURAL,60+,60+,REPUBLICAN,65+,PROT/CHRIST,1.705
STATE ONLY,2.0,3.0,32.0,SECOND CALL,18-24,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,,BUSH,NO,YES,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,JUNEAU/RURAL,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,1.7510000000000001
STATE ONLY,2.0,3.0,33.0,SECOND CALL,18-24,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,OMITS,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,75-100K,CONSERV,18-64,STATE,JUNEAU/RURAL,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,1.291
STATE ONLY,2.0,3.0,34.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,OVER100K,CONSERV,18-64,STATE,JUNEAU/RURAL,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,1.103
STATE ONLY,2.0,3.0,35.0,SECOND CALL,40-44,WHITE,MALE,GORE,APPROVE,OMITS,GREENE,GORE,YES,NO,CLINTON,BETTER,OMITS,INDEPEND,OTHERCHRIST,OVER100K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,1.212
STATE ONLY,2.0,3.0,36.0,SECOND CALL,18-24,WHITE,MALE,GORE,APPROVE,FAVORABLE,YOUNG,GORE,YES,NO,NOVOTE,BETTER,APP/FAV,DEMOCRAT,NONE,30-50K,LIBERAL,18-64,STATE,JUNEAU/RURAL,18-29,18-24,DEMOCRAT,18-24,NONE,0.806
STATE ONLY,2.0,3.0,37.0,SECOND CALL,25-29,WHITE,MALE,BUSH,DISAPPR,FAVORABLE,YOUNG,BUSH,,YES,DOLE,SAME,DIS/FAV,INDEPEND,CATHOLIC,30-50K,CONSERV,18-64,STATE,JUNEAU/RURAL,18-29,25-29,IND/OTHER,25-29,CATHOLIC,1.488
STATE ONLY,2.0,3.0,38.0,SECOND CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,CLINTON,BETTER,DIS/UNFAV,INDEPEND,NONE,75-100K,MODERATE,18-64,STATE,JUNEAU/RURAL,45-59,40-49,IND/OTHER,40-49,NONE,1.181
STATE ONLY,2.0,3.0,39.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,YOUNG,GORE,YES,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,ELSE,50-75K,MODERATE,18-64,STATE,JUNEAU/RURAL,45-59,40-49,DEMOCRAT,40-49,OTHER,0.687
