VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,1.0,7.0,35.0,THIRD CALL,50-59,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,30-50K,MODERATE,18-64,STATE,NORTHCENTRAL,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.441
STATE ONLY,1.0,7.0,36.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,YES,CLINTON,BETTER,APP/UNFAV,INDEPEND,PROTESTANT,30-50K,LIBERAL,18-64,STATE,NORTHCENTRAL,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.403
STATE ONLY,1.0,7.0,37.0,THIRD CALL,18-24,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,15-30K,CONSERV,18-64,STATE,NORTHCENTRAL,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.422
STATE ONLY,1.0,7.0,38.0,THIRD CALL,75+,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,,MODERATE,65+,STATE,NORTHCENTRAL,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.52
STATE ONLY,1.0,7.0,39.0,THIRD CALL,65-74,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,ELSE,PROTESTANT,,,65+,STATE,NORTHCENTRAL,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,0.713
STATE ONLY,1.0,7.0,40.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,18-64,STATE,NORTHCENTRAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.551
STATE ONLY,1.0,7.0,41.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,PEROT,SAME,DIS/UNFAV,INDEPEND,OTHERCHRIST,75-100K,CONSERV,18-64,STATE,NORTHCENTRAL,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.551
STATE ONLY,1.0,7.0,42.0,THIRD CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,BETTER,DIS/UNFAV,INDEPEND,PROTESTANT,OVER100K,CONSERV,18-64,STATE,NORTHCENTRAL,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.5650000000000001
STATE ONLY,1.0,7.0,43.0,THIRD CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,75-100K,CONSERV,18-64,STATE,NORTHCENTRAL,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.5650000000000001
STATE ONLY,1.0,14.0,1.0,FIRST CALL,40-44,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,ELSE,30-50K,LIBERAL,18-64,STATE,SOUTH,30-44,40-49,DEMOCRAT,40-49,OTHER,,,2.056
STATE ONLY,1.0,14.0,2.0,FIRST CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,BETTER,DIS/UNFAV,INDEPEND,PROTESTANT,50-75K,CONSERV,18-64,STATE,SOUTH,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.584
STATE ONLY,1.0,14.0,4.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,STATE,SOUTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.574
STATE ONLY,1.0,14.0,5.0,FIRST CALL,40-44,OTHER,FEMALE,BUSH,APPROVE,FAVORABLE,BUSH,NO,NOVOTE,BETTER,APP/FAV,REPUBLCN,CATHOLIC,50-75K,MODERATE,18-64,STATE,SOUTH,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,,1.574
STATE ONLY,1.0,14.0,6.0,FIRST CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,INDEPEND,PROTESTANT,50-75K,MODERATE,18-64,STATE,SOUTH,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.584
STATE ONLY,1.0,14.0,7.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,PROTESTANT,50-75K,MODERATE,18-64,STATE,SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.574
STATE ONLY,1.0,14.0,8.0,FIRST CALL,45-49,WHITE,MALE,NADER,DISAPPR,UNFAVORABLE,BUSH,NO,PEROT,WORSE,DIS/UNFAV,INDEPEND,OTHERCHRIST,15-30K,LIBERAL,18-64,STATE,SOUTH,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.983
STATE ONLY,1.0,14.0,9.0,FIRST CALL,25-29,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,CATHOLIC,50-75K,MODERATE,18-64,STATE,SOUTH,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,1.61
STATE ONLY,1.0,14.0,10.0,FIRST CALL,30-39,WHITE,MALE,BUSH,DISAPPR,FAVORABLE,BUSH,NO,PEROT,BETTER,DIS/FAV,INDEPEND,NONE,30-50K,MODERATE,18-64,STATE,SOUTH,30-44,30-39,IND/OTHER,30-39,NONE,,,1.584
STATE ONLY,1.0,14.0,11.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,OMITS,OMITS,SAME,APP/FAV,DEMOCRAT,PROTESTANT,,MODERATE,65+,STATE,SOUTH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,2.4010000000000002
STATE ONLY,1.0,14.0,12.0,SECOND CALL,40-44,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,YES,NOVOTE,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,15-30K,CONSERV,18-64,STATE,SOUTH,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,2.056
STATE ONLY,1.0,14.0,13.0,SECOND CALL,60-64,BLACK,,GORE,APPROVE,FAVORABLE,GORE,YES,CLINTON,WORSE,APP/FAV,DEMOCRAT,,30-50K,,18-64,STATE,SOUTH,60+,60+,DEMOCRAT,50-64,,,,2.666
STATE ONLY,1.0,14.0,14.0,SECOND CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,75-100K,MODERATE,18-64,STATE,SOUTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.584
STATE ONLY,1.0,14.0,15.0,SECOND CALL,60-64,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,STATE,SOUTH,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,2.053
STATE ONLY,1.0,14.0,16.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,15-30K,CONSERV,18-64,STATE,SOUTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.574
STATE ONLY,1.0,14.0,17.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,NOVOTE,BETTER,APP/UNFAV,REPUBLCN,PROTESTANT,50-75K,MODERATE,18-64,STATE,SOUTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.574
STATE ONLY,1.0,14.0,18.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,DOLE,SAME,APP/UNFAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,65+,STATE,SOUTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,2.043
STATE ONLY,1.0,14.0,19.0,SECOND CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,SOUTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.584
STATE ONLY,1.0,14.0,20.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,STATE,SOUTH,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.574
STATE ONLY,1.0,14.0,21.0,SECOND CALL,40-44,HISP,FEMALE,BUSH,OMITS,OMITS,BUSH,NO,NOVOTE,SAME,OMITS,DEMOCRAT,CATHOLIC,30-50K,LIBERAL,18-64,STATE,SOUTH,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.739
STATE ONLY,1.0,14.0,22.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,MODERATE,18-64,STATE,SOUTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.574
STATE ONLY,1.0,14.0,23.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,CLINTON,BETTER,DIS/UNFAV,DEMOCRAT,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,SOUTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.574
STATE ONLY,1.0,14.0,24.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,OMITS,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,75-100K,CONSERV,18-64,STATE,SOUTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.574
STATE ONLY,1.0,14.0,25.0,THIRD CALL,18-24,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,INDEPEND,PROTESTANT,30-50K,MODERATE,18-64,STATE,SOUTH,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,1.9020000000000001
STATE ONLY,1.0,14.0,26.0,THIRD CALL,18-24,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,OTHERCHRIST,OVER100K,CONSERV,18-64,STATE,SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,1.618
STATE ONLY,1.0,14.0,27.0,THIRD CALL,18-24,WHITE,MALE,BUSH,APPROVE,FAVORABLE,BUSH,YES,NOVOTE,BETTER,APP/FAV,REPUBLCN,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,1.618
STATE ONLY,1.0,14.0,28.0,THIRD CALL,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,STATE,SOUTH,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.584
STATE ONLY,1.0,14.0,29.0,THIRD CALL,30-39,HISP,MALE,BUSH,APPROVE,UNFAVORABLE,WOULDNOTVOTE,NO,DOLE,SAME,APP/UNFAV,REPUBLCN,CATHOLIC,50-75K,LIBERAL,18-64,STATE,SOUTH,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.748
STATE ONLY,1.0,14.0,30.0,THIRD CALL,50-59,,,BUSH,DISAPPR,UNFAVORABLE,BUSH,OMITS,PEROT,WORSE,DIS/UNFAV,REPUBLCN,,75-100K,CONSERV,18-64,STATE,SOUTH,45-59,50-59,REPUBLICAN,50-64,,,,1.574
STATE ONLY,1.0,14.0,31.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,INDEPEND,PROTESTANT,75-100K,MODERATE,18-64,STATE,SOUTH,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.574
STATE ONLY,1.0,14.0,32.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,75-100K,CONSERV,18-64,STATE,SOUTH,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,1.61
STATE ONLY,1.0,14.0,33.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,YES,NOVOTE,SAME,APP/UNFAV,DEMOCRAT,OTHERCHRIST,75-100K,CONSERV,18-64,STATE,SOUTH,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,2.0460000000000003
STATE ONLY,1.0,14.0,34.0,THIRD CALL,40-44,OTHER,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,OVER100K,MODERATE,18-64,STATE,SOUTH,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.574
STATE ONLY,1.0,14.0,35.0,THIRD CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,SOUTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.584
STATE ONLY,1.0,14.0,36.0,THIRD CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,NONE,OVER100K,CONSERV,18-64,STATE,SOUTH,30-44,30-39,REPUBLICAN,30-39,NONE,,,1.584
STATE ONLY,1.0,14.0,37.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,1.61
STATE ONLY,1.0,14.0,38.0,THIRD CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,PEROT,BETTER,DIS/UNFAV,INDEPEND,NONE,50-75K,MODERATE,18-64,STATE,SOUTH,30-44,30-39,IND/OTHER,30-39,NONE,,,1.584
STATE ONLY,1.0,14.0,39.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,SOUTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.574
