VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,ISSUE,DROPOUT,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
NATIONAL WHITE,7.0,2.0,15.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,,DOLE,WORSE,DIS/UNFAV,REPUBLCN,HSGRAD,OTHERCHRIST,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,LARGECITY,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.059
NATIONAL WHITE,7.0,2.0,16.0,SECOND CALL,45-49,WHITE,FEMALE,BUCHANAN,GIORDANO,OMITS,OMITS,BUSH,LESS,WORLDAFFAIRS,,CLINTON,SAME,OMITS,INDEPEND,COLGRAD,OTHERCHRIST,75-100K,LIBERAL,18-64,NATIONAL,COMPLETE,LARGECITY,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.578
NATIONAL YELLOW,7.0,2.0,17.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,OTHER,APPROVE,UNFAVORABLE,GORE,LESS,HEALTHCARE,,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,JEWISH,75-100K,LIBERAL,18-64,NATIONAL,COMPLETE,LARGECITY,18-29,25-29,DEMOCRAT,25-29,JEWISH,HEALTHCARE,STRONGLEADER,1.2590000000000001
NATIONAL YELLOW,7.0,2.0,18.0,SECOND CALL,25-29,BLACK,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,LESS,HEALTHCARE,,PEROT,BETTER,APP/UNFAV,INDEPEND,POSTGRAD,NONE,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,18-29,25-29,IND/OTHER,25-29,NONE,HEALTHCARE,COMPLEXISSUE,0.635
NATIONAL YELLOW,7.0,2.0,19.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,SOCIALSECUR,,CLINTON,BETTER,APP/UNFAV,INDEPEND,HSGRAD,PROTESTANT,30-50K,LIBERAL,65+,NATIONAL,COMPLETE,LARGECITY,60+,60+,IND/OTHER,65+,PROT/CHRIST,SOCIALSECUR,GOODJUDGMENT,1.199
NATIONAL YELLOW,7.0,2.0,20.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,TAXES,,CLINTON,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,30-50K,LIBERAL,65+,NATIONAL,COMPLETE,LARGECITY,60+,60+,IND/OTHER,65+,PROT/CHRIST,TAXES,COMPLEXISSUE,1.199
NATIONAL GREY,7.0,2.0,21.0,SECOND CALL,50-59,WHITE,MALE,GORE,LIEBERMAN,,,,,,,,,,INDEPEND,,,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,45-59,50-59,IND/OTHER,50-64,,,,0.997
NATIONAL GREY,7.0,2.0,22.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,OTHER,,,,,,,,,,INDEPEND,COLGRAD,,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,45-59,50-59,IND/OTHER,50-64,,,,2.162
NATIONAL GREY,7.0,2.0,23.0,SECOND CALL,50-59,BLACK,MALE,GORE,LIEBERMAN,,,,,,,,,,DEMOCRAT,HSGRAD,,75-100K,LIBERAL,18-64,NATIONAL,COMPLETE,LARGECITY,45-59,50-59,DEMOCRAT,50-64,,,,0.878
NATIONAL GREY,7.0,2.0,24.0,SECOND CALL,50-59,WHITE,MALE,GORE,LIEBERMAN,,,,,,,,,,,,,,,18-64,NATIONAL,NOTCOMPLETE,LARGECITY,45-59,50-59,,50-64,,,,0.997
NATIONAL PINK,7.0,2.0,25.0,SECOND CALL,65-74,WHITE,MALE,GORE,LIEBERMAN,,,,,,,,,,REPUBLCN,,CATHOLIC,30-50K,MODERATE,65+,NATIONAL,COMPLETE,LARGECITY,60+,60+,REPUBLICAN,65+,CATHOLIC,,,1.464
NATIONAL PINK,7.0,2.0,26.0,SECOND CALL,25-29,WHITE,MALE,GORE,LIEBERMAN,,,,,,,,,,INDEPEND,,JEWISH,OVER100K,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,18-29,25-29,IND/OTHER,25-29,JEWISH,,,0.883
NATIONAL PINK,7.0,2.0,27.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,GIORDANO,,,,,,,,,,REPUBLCN,,CATHOLIC,OVER100K,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.059
NATIONAL PINK,7.0,2.0,28.0,SECOND CALL,65-74,WHITE,MALE,GORE,LIEBERMAN,,,,,,,,,,DEMOCRAT,,CATHOLIC,50-75K,LIBERAL,65+,NATIONAL,COMPLETE,LARGECITY,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.464
NATIONAL WHITE,7.0,2.0,29.0,THIRD CALL,45-49,WHITE,MALE,NADER,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,,CLINTON,WORSE,APP/FAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,75-100K,LIBERAL,18-64,NATIONAL,COMPLETE,LARGECITY,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,0.386
NATIONAL WHITE,7.0,2.0,30.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,LIEBERMAN,OMITS,UNFAVORABLE,GORE,MORE,EDUCATION,,NOVOTE,SAME,OMITS,INDEPEND,HSGRAD,ELSE,LESS15K,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,18-29,25-29,IND/OTHER,25-29,OTHER,,,0.721
NATIONAL WHITE,7.0,2.0,31.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,LESS,SOCIALSECUR,,OMITS,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,50-75K,LIBERAL,18-64,NATIONAL,COMPLETE,LARGECITY,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.8160000000000001
NATIONAL WHITE,7.0,2.0,32.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.059
NATIONAL WHITE,7.0,2.0,33.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,SOCIALSECUR,,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,LIBERAL,18-64,NATIONAL,COMPLETE,LARGECITY,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.8160000000000001
NATIONAL YELLOW,7.0,2.0,34.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,LESS,SOCIALSECUR,,CLINTON,SAME,APP/UNFAV,DEMOCRAT,HSGRAD,CATHOLIC,50-75K,LIBERAL,18-64,NATIONAL,COMPLETE,LARGECITY,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,SOCIALSECUR,GOODJUDGMENT,0.8160000000000001
NATIONAL YELLOW,7.0,2.0,35.0,THIRD CALL,60-64,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,LARGECITY,60+,60+,REPUBLICAN,50-64,CATHOLIC,OMITS,HONEST,1.556
NATIONAL YELLOW,7.0,2.0,36.0,THIRD CALL,50-59,BLACK,MALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,MEDICARE/RX,,CLINTON,BETTER,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,75-100K,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,MEDICARE/RX,COMPLEXISSUE,0.878
NATIONAL YELLOW,7.0,2.0,37.0,THIRD CALL,45-49,,MALE,NADER,GIORDANO,APPROVE,UNFAVORABLE,GORE,MORE,OMITS,,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,ELSE,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,45-59,40-49,DEMOCRAT,40-49,OTHER,OMITS,HONEST,0.331
NATIONAL YELLOW,7.0,2.0,38.0,THIRD CALL,30-39,WHITE,,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,ECON/JOBS,COMPLEXISSUE,0.997
NATIONAL GREY,7.0,2.0,39.0,THIRD CALL,25-29,WHITE,MALE,GORE,LIEBERMAN,,,,,,,,,,DEMOCRAT,HSGRAD,,30-50K,LIBERAL,18-64,NATIONAL,COMPLETE,LARGECITY,18-29,25-29,DEMOCRAT,25-29,,,,0.883
NATIONAL GREY,7.0,2.0,40.0,THIRD CALL,25-29,WHITE,MALE,GORE,LIEBERMAN,,,,,,,,,,DEMOCRAT,POSTGRAD,,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,18-29,25-29,DEMOCRAT,25-29,,,,0.883
NATIONAL GREY,7.0,2.0,41.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,GIORDANO,,,,,,,,,,INDEPEND,POSTGRAD,,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,18-29,25-29,IND/OTHER,25-29,,,,0.618
NATIONAL GREY,7.0,2.0,42.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,GIORDANO,,,,,,,,,,REPUBLCN,COLGRAD,,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,LARGECITY,30-44,40-49,REPUBLICAN,40-49,,,,1.059
NATIONAL GREY,7.0,2.0,43.0,THIRD CALL,40-44,WHITE,MALE,GORE,LIEBERMAN,,,,,,,,,,DEMOCRAT,COLGRAD,,75-100K,LIBERAL,18-64,NATIONAL,COMPLETE,LARGECITY,30-44,40-49,DEMOCRAT,40-49,,,,0.997
NATIONAL PINK,7.0,2.0,44.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,LIEBERMAN,,,,,,,,,,INDEPEND,,CATHOLIC,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,18-29,25-29,IND/OTHER,25-29,CATHOLIC,,,1.094
NATIONAL PINK,7.0,2.0,45.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,LIEBERMAN,,,,,,,,,,,,,,,18-64,NATIONAL,NOTCOMPLETE,LARGECITY,30-44,40-49,,40-49,,,,0.718
NATIONAL PINK,7.0,2.0,46.0,THIRD CALL,30-39,HISP,MALE,GORE,LIEBERMAN,,,,,,,,,,DEMOCRAT,,NONE,75-100K,LIBERAL,18-64,NATIONAL,COMPLETE,LARGECITY,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.878
NATIONAL PINK,7.0,2.0,47.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,GIORDANO,,,,,,,,,,INDEPEND,,OTHERCHRIST,OVER100K,CONSERV,18-64,NATIONAL,COMPLETE,LARGECITY,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.059
NATIONAL PINK,7.0,2.0,48.0,THIRD CALL,30-39,WHITE,MALE,BUSH,GIORDANO,,,,,,,,,,REPUBLCN,,CATHOLIC,,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.293
STATE ONLY,7.0,4.0,1.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,LESS,OMITS,NO,CLINTON,BETTER,APP/FAV,INDEPEND,HSGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,COAST/NYSUBS,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.099
STATE ONLY,7.0,4.0,2.0,FIRST CALL,50-59,WHITE,MALE,BUSH,LIEBERMAN,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,YES,PEROT,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,COAST/NYSUBS,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.347
STATE ONLY,7.0,4.0,3.0,FIRST CALL,45-49,WHITE,MALE,NADER,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,WORLDAFFAIRS,NO,PEROT,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,CATHOLIC,OVER100K,LIBERAL,18-64,STATE,COMPLETE,COAST/NYSUBS,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.221
STATE ONLY,7.0,4.0,4.0,FIRST CALL,30-39,WHITE,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,ELSE,OVER100K,MODERATE,18-64,STATE,COMPLETE,COAST/NYSUBS,30-44,30-39,DEMOCRAT,30-39,OTHER,,,1.189
STATE ONLY,7.0,4.0,5.0,FIRST CALL,40-44,WHITE,MALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,COAST/NYSUBS,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.189
STATE ONLY,7.0,4.0,6.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,75-100K,CONSERV,18-64,STATE,COMPLETE,COAST/NYSUBS,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.067
STATE ONLY,7.0,4.0,7.0,FIRST CALL,65-74,WHITE,MALE,BUSH,LIEBERMAN,APPROVE,UNFAVORABLE,BUSH,LESS,TAXES,NO,DOLE,SAME,APP/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,15-30K,MODERATE,65+,STATE,COMPLETE,COAST/NYSUBS,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.468
STATE ONLY,7.0,4.0,8.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,GIORDANO,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,OVER100K,LIBERAL,18-64,STATE,COMPLETE,COAST/NYSUBS,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.9410000000000001
STATE ONLY,7.0,4.0,9.0,FIRST CALL,60-64,WHITE,MALE,GORE,,APPROVE,FAVORABLE,GORE,LESS,HEALTHCARE,NO,CLINTON,SAME,APP/FAV,REPUBLCN,POSTGRAD,CATHOLIC,75-100K,MODERATE,18-64,STATE,COMPLETE,COAST/NYSUBS,60+,60+,REPUBLICAN,50-64,CATHOLIC,,,1.242
STATE ONLY,7.0,4.0,10.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,MORE,OMITS,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,15-30K,LIBERAL,18-64,STATE,COMPLETE,COAST/NYSUBS,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,1.199
STATE ONLY,7.0,4.0,11.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,75-100K,CONSERV,18-64,STATE,COMPLETE,COAST/NYSUBS,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.067
STATE ONLY,7.0,4.0,12.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,YES,DOLE,SAME,DIS/UNFAV,INDEPEND,HSGRAD,CATHOLIC,30-50K,CONSERV,65+,STATE,COMPLETE,COAST/NYSUBS,60+,60+,IND/OTHER,65+,CATHOLIC,,,1.162
STATE ONLY,7.0,4.0,13.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,50-75K,LIBERAL,18-64,STATE,COMPLETE,COAST/NYSUBS,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,1.099
STATE ONLY,7.0,4.0,14.0,SECOND CALL,75+,WHITE,MALE,NADER,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,YES,DOLE,SAME,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,15-30K,CONSERV,65+,STATE,COMPLETE,COAST/NYSUBS,60+,60+,IND/OTHER,65+,CATHOLIC,,,1.139
STATE ONLY,7.0,4.0,15.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,,APPROVE,FAVORABLE,GORE,OMITS,EDUCATION,NO,CLINTON,BETTER,APP/FAV,INDEPEND,POSTGRAD,PROTESTANT,75-100K,LIBERAL,18-64,STATE,COMPLETE,COAST/NYSUBS,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.056
STATE ONLY,7.0,4.0,16.0,SECOND CALL,30-39,WHITE,MALE,BUSH,GIORDANO,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,COAST/NYSUBS,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.1520000000000001
STATE ONLY,7.0,4.0,17.0,SECOND CALL,45-49,WHITE,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,LESS,HEALTHCARE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,JEWISH,50-75K,MODERATE,18-64,STATE,COMPLETE,COAST/NYSUBS,45-59,40-49,DEMOCRAT,40-49,JEWISH,,,1.189
STATE ONLY,7.0,4.0,18.0,SECOND CALL,40-44,WHITE,MALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,LESS,ECON/JOBS,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,JEWISH,75-100K,MODERATE,18-64,STATE,COMPLETE,COAST/NYSUBS,30-44,40-49,DEMOCRAT,40-49,JEWISH,,,1.189
STATE ONLY,7.0,4.0,19.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,LESS,OMITS,NO,CLINTON,BETTER,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,JEWISH,OVER100K,MODERATE,18-64,STATE,COMPLETE,COAST/NYSUBS,45-59,50-59,IND/OTHER,50-64,JEWISH,,,1.099
STATE ONLY,7.0,4.0,20.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,HEALTHCARE,YES,CLINTON,SAME,APP/UNFAV,INDEPEND,HSGRAD,CATHOLIC,50-75K,LIBERAL,18-64,STATE,COMPLETE,COAST/NYSUBS,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.099
STATE ONLY,7.0,4.0,21.0,SECOND CALL,,,,GORE,,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,DEMOCRAT,,CATHOLIC,,,,STATE,COMPLETE,COAST/NYSUBS,,,DEMOCRAT,,CATHOLIC,,,1.056
STATE ONLY,7.0,4.0,22.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,HEALTHCARE,NO,CLINTON,SAME,APP/UNFAV,DEMOCRAT,POSTGRAD,JEWISH,50-75K,LIBERAL,65+,STATE,COMPLETE,COAST/NYSUBS,60+,60+,DEMOCRAT,65+,JEWISH,,,1.199
STATE ONLY,7.0,4.0,23.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,COAST/NYSUBS,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.099
STATE ONLY,7.0,4.0,24.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,ECON/JOBS,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,COAST/NYSUBS,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.099
