VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,CLINTON,BCPERSON,HOU,XWAY2000,ISSUE,X6VOTE,FINSIT,JOBPERS,SSEXFEEL,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,46.0,10.0,11.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,OTHER,DWYER,DISAPPR,FAVORABLE,OTHER,BUSH,HEALTHCARE,DOLE,WORSE,DIS/FAV,OPPOSED,REPUBLCN,POSTGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.338
STATE ONLY,46.0,10.0,12.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,FLANAGAN,DEAN,APPROVE,UNFAVORABLE,SANDERS,GORE,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,ANGRY,INDEPEND,HSGRAD,,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,50-59,IND/OTHER,50-64,,,,0.77
STATE ONLY,46.0,10.0,13.0,FIRST CALL,50-59,HISP,FEMALE,GORE,FLANAGAN,DEAN,APPROVE,FAVORABLE,SANDERS,GORE,EDUCATION,CLINTON,BETTER,APP/FAV,SUPPORTIVE,DEMOCRAT,COLGRAD,CATHOLIC,50-75K,LIBERAL,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.534
STATE ONLY,46.0,10.0,14.0,FIRST CALL,50-59,WHITE,MALE,GORE,FLANAGAN,DEAN,APPROVE,UNFAVORABLE,SANDERS,GORE,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,OPPOSED,INDEPEND,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.805
STATE ONLY,46.0,10.0,15.0,FIRST CALL,30-39,WHITE,MALE,BUSH,JEFFORDS,DEAN,APPROVE,UNFAVORABLE,SANDERS,BUSH,SOCIALSECUR,PEROT,BETTER,APP/UNFAV,OPPOSED,REPUBLCN,COLGRAD,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.966
STATE ONLY,46.0,10.0,16.0,FIRST CALL,30-39,WHITE,MALE,BUSH,JEFFORDS,DWYER,APPROVE,UNFAVORABLE,KERIN,BUSH,TAXES,DOLE,BETTER,APP/UNFAV,ANGRY,INDEPEND,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.894
STATE ONLY,46.0,10.0,17.0,FIRST CALL,30-39,WHITE,MALE,BUCHANAN,JEFFORDS,DEAN,APPROVE,UNFAVORABLE,DIAMOND,WOULDNOTVOTE,WORLDAFFAIRS,DOLE,BETTER,APP/UNFAV,OPPOSED,INDEPEND,SOMCOL/ASSOC,PROTESTANT,50-75K,CONSERV,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.635
STATE ONLY,46.0,10.0,18.0,FIRST CALL,45-49,WHITE,MALE,BUSH,JEFFORDS,DWYER,APPROVE,UNFAVORABLE,SANDERS,BUSH,TAXES,DOLE,SAME,APP/UNFAV,ANGRY,INDEPEND,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,0.98
STATE ONLY,46.0,10.0,19.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,JEFFORDS,DWYER,DISAPPR,UNFAVORABLE,SANDERS,GORE,TAXES,CLINTON,WORSE,DIS/UNFAV,ANGRY,INDEPEND,COLGRAD,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.028
STATE ONLY,46.0,10.0,20.0,FIRST CALL,18-24,WHITE,MALE,BUSH,JEFFORDS,DWYER,APPROVE,UNFAVORABLE,SANDERS,BUSH,ECON/JOBS,NOVOTE,WORSE,APP/UNFAV,ANGRY,REPUBLCN,COLGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,18-29,18-24,REPUBLICAN,18-24,CATHOLIC,,,1.09
STATE ONLY,46.0,10.0,21.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,FLANAGAN,DEAN,APPROVE,UNFAVORABLE,SANDERS,GORE,MEDICARE/RX,CLINTON,BETTER,APP/UNFAV,SUPPORTIVE,INDEPEND,HSGRAD,CATHOLIC,15-30K,MODERATE,65+,STATE,COMPLETE,GREENMOUNTS,60+,60+,IND/OTHER,65+,CATHOLIC,,,0.669
STATE ONLY,46.0,10.0,22.0,FIRST CALL,30-39,WHITE,MALE,GORE,FLANAGAN,DEAN,APPROVE,UNFAVORABLE,DIAMOND,GORE,WORLDAFFAIRS,CLINTON,BETTER,APP/UNFAV,ENTHUSIASTIC,DEMOCRAT,COLGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.556
STATE ONLY,46.0,10.0,23.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,JEFFORDS,DEAN,APPROVE,FAVORABLE,SANDERS,GORE,SOCIALSECUR,CLINTON,BETTER,APP/FAV,ENTHUSIASTIC,INDEPEND,COLGRAD,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,1.0150000000000001
STATE ONLY,46.0,10.0,24.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,JEFFORDS,DEAN,APPROVE,FAVORABLE,SANDERS,GORE,TAXES,CLINTON,BETTER,APP/FAV,ENTHUSIASTIC,INDEPEND,POSTGRAD,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,1.0150000000000001
STATE ONLY,46.0,10.0,25.0,FIRST CALL,25-29,BLACK,MALE,GORE,JEFFORDS,DWYER,APPROVE,UNFAVORABLE,SANDERS,GORE,WORLDAFFAIRS,PEROT,SAME,APP/UNFAV,OPPOSED,INDEPEND,HSGRAD,CATHOLIC,LESS15K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,18-29,25-29,IND/OTHER,25-29,CATHOLIC,,,0.8310000000000001
STATE ONLY,46.0,10.0,26.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,FLANAGAN,DEAN,APPROVE,UNFAVORABLE,SANDERS,GORE,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,ANGRY,INDEPEND,HSGRAD,NONE,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,50-59,IND/OTHER,50-64,NONE,,,0.77
STATE ONLY,46.0,10.0,27.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,HUBBARD,DWYER,DISAPPR,FAVORABLE,SANDERS,BUSH,HEALTHCARE,CLINTON,WORSE,DIS/FAV,OPPOSED,REPUBLCN,COLGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.62
STATE ONLY,46.0,10.0,28.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,FLANAGAN,DEAN,APPROVE,UNFAVORABLE,SANDERS,BUSH,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,ANGRY,INDEPEND,NOHS,ELSE,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,40-49,IND/OTHER,40-49,OTHER,,,0.77
STATE ONLY,46.0,10.0,29.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,FLANAGAN,DEAN,APPROVE,FAVORABLE,SANDERS,GORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,SUPPORTIVE,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.77
STATE ONLY,46.0,10.0,30.0,FIRST CALL,45-49,WHITE,MALE,GORE,FLANAGAN,DEAN,APPROVE,UNFAVORABLE,SANDERS,GORE,HEALTHCARE,CLINTON,BETTER,APP/UNFAV,OPPOSED,INDEPEND,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.805
STATE ONLY,46.0,10.0,31.0,SECOND CALL,40-44,WHITE,MALE,BUSH,JEFFORDS,DWYER,APPROVE,UNFAVORABLE,SANDERS,BUSH,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,OPPOSED,INDEPEND,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.98
STATE ONLY,46.0,10.0,32.0,SECOND CALL,50-59,WHITE,MALE,BUSH,JEFFORDS,DWYER,APPROVE,UNFAVORABLE,SANDERS,BUSH,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,OPPOSED,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.98
STATE ONLY,46.0,10.0,33.0,SECOND CALL,50-59,WHITE,MALE,GORE,FLANAGAN,DEAN,APPROVE,UNFAVORABLE,DIAMOND,GORE,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,OPPOSED,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.556
STATE ONLY,46.0,10.0,34.0,SECOND CALL,50-59,WHITE,MALE,BUSH,JEFFORDS,DWYER,APPROVE,UNFAVORABLE,SANDERS,BUSH,TAXES,CLINTON,BETTER,APP/UNFAV,OPPOSED,INDEPEND,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.98
STATE ONLY,46.0,10.0,35.0,SECOND CALL,40-44,WHITE,MALE,GORE,JEFFORDS,DEAN,APPROVE,UNFAVORABLE,SANDERS,GORE,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,OPPOSED,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.063
STATE ONLY,46.0,10.0,36.0,SECOND CALL,40-44,WHITE,MALE,GORE,,,APPROVE,UNFAVORABLE,SANDERS,GORE,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,ANGRY,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.995
STATE ONLY,46.0,10.0,37.0,SECOND CALL,30-39,WHITE,FEMALE,NADER,JEFFORDS,DEAN,APPROVE,UNFAVORABLE,DIAMOND,GORE,EDUCATION,CLINTON,BETTER,APP/UNFAV,OPPOSED,ELSE,COLGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.983
STATE ONLY,46.0,10.0,38.0,SECOND CALL,50-59,WHITE,MALE,GORE,FLANAGAN,DEAN,APPROVE,FAVORABLE,SANDERS,GORE,TAXES,CLINTON,BETTER,APP/FAV,OPPOSED,DEMOCRAT,HSGRAD,PROTESTANT,15-30K,LIBERAL,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.805
STATE ONLY,46.0,10.0,39.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,JEFFORDS,DWYER,APPROVE,FAVORABLE,KERIN,GORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,OPPOSED,,SOMCOL/ASSOC,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,30-39,,30-39,CATHOLIC,,,0.9400000000000001
STATE ONLY,46.0,10.0,40.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,FLANAGAN,DEAN,APPROVE,UNFAVORABLE,SANDERS,GORE,EDUCATION,CLINTON,BETTER,APP/UNFAV,OPPOSED,INDEPEND,HSGRAD,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.77
STATE ONLY,46.0,10.0,41.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,FLANAGAN,POLLINA,APPROVE,UNFAVORABLE,DIAMOND,GORE,HEALTHCARE,CLINTON,SAME,APP/UNFAV,OPPOSED,INDEPEND,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,18-29,25-29,IND/OTHER,25-29,CATHOLIC,,,0.606
STATE ONLY,46.0,10.0,42.0,THIRD CALL,25-29,WHITE,FEMALE,NADER,JEFFORDS,DEAN,APPROVE,UNFAVORABLE,SANDERS,WOULDNOTVOTE,WORLDAFFAIRS,NOVOTE,BETTER,APP/UNFAV,SUPPORTIVE,INDEPEND,SOMCOL/ASSOC,PROTESTANT,15-30K,LIBERAL,18-64,STATE,COMPLETE,GREENMOUNTS,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,,,1.586
STATE ONLY,46.0,10.0,43.0,THIRD CALL,30-39,WHITE,MALE,BUSH,JEFFORDS,DWYER,APPROVE,UNFAVORABLE,SANDERS,BUSH,TAXES,DOLE,BETTER,APP/UNFAV,OPPOSED,INDEPEND,COLGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.98
STATE ONLY,46.0,10.0,44.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,JEFFORDS,DEAN,APPROVE,UNFAVORABLE,SANDERS,GORE,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,OPPOSED,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.0150000000000001
STATE ONLY,46.0,10.0,45.0,THIRD CALL,50-59,WHITE,MALE,GORE,JEFFORDS,DEAN,APPROVE,UNFAVORABLE,SANDERS,GORE,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,OPPOSED,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.063
STATE ONLY,46.0,10.0,46.0,THIRD CALL,30-39,HISP,MALE,GORE,FLANAGAN,DEAN,APPROVE,FAVORABLE,SANDERS,GORE,EDUCATION,CLINTON,BETTER,APP/FAV,SUPPORTIVE,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.56
STATE ONLY,46.0,10.0,47.0,THIRD CALL,45-49,WHITE,MALE,BUSH,JEFFORDS,DWYER,APPROVE,UNFAVORABLE,DIAMOND,BUSH,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,SUPPORTIVE,INDEPEND,COLGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.676
STATE ONLY,46.0,10.0,48.0,THIRD CALL,65-74,BLACK,FEMALE,NADER,HUBBARD,POLLINA,APPROVE,UNFAVORABLE,SANDERS,BUSH,EDUCATION,DOLE,SAME,APP/UNFAV,OPPOSED,INDEPEND,COLGRAD,PROTESTANT,30-50K,MODERATE,65+,STATE,COMPLETE,GREENMOUNTS,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,0.582
STATE ONLY,46.0,10.0,49.0,THIRD CALL,50-59,WHITE,MALE,GORE,FLANAGAN,DEAN,APPROVE,FAVORABLE,SANDERS,GORE,WORLDAFFAIRS,PEROT,SAME,APP/FAV,OPPOSED,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.805
STATE ONLY,46.0,10.0,50.0,THIRD CALL,30-39,BLACK,FEMALE,BUSH,JEFFORDS,DWYER,DISAPPR,UNFAVORABLE,KERIN,BUSH,SOCIALSECUR,DOLE,BETTER,DIS/UNFAV,SUPPORTIVE,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,OVER100K,CONSERV,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,0.59
STATE ONLY,46.0,10.0,51.0,THIRD CALL,40-44,WHITE,MALE,GORE,FLANAGAN,DEAN,APPROVE,FAVORABLE,SANDERS,GORE,ECON/JOBS,CLINTON,WORSE,APP/FAV,SUPPORTIVE,INDEPEND,HSGRAD,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.805
STATE ONLY,46.0,10.0,52.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,JEFFORDS,DEAN,APPROVE,UNFAVORABLE,SANDERS,GORE,TAXES,PEROT,SAME,APP/UNFAV,OPPOSED,INDEPEND,SOMCOL/ASSOC,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,1.0150000000000001
STATE ONLY,46.0,10.0,53.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,FLANAGAN,DEAN,APPROVE,UNFAVORABLE,SANDERS,GORE,TAXES,CLINTON,SAME,APP/UNFAV,SUPPORTIVE,REPUBLCN,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.77
STATE ONLY,46.0,10.0,54.0,THIRD CALL,45-49,WHITE,MALE,BUSH,JEFFORDS,DWYER,DISAPPR,UNFAVORABLE,SANDERS,BUSH,ECON/JOBS,DOLE,BETTER,DIS/UNFAV,OPPOSED,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.98
STATE ONLY,46.0,10.0,55.0,THIRD CALL,60-64,BLACK,FEMALE,BUSH,JEFFORDS,DWYER,APPROVE,UNFAVORABLE,SANDERS,BUSH,TAXES,DOLE,SAME,APP/UNFAV,ANGRY,REPUBLCN,HSGRAD,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,0.5640000000000001
STATE ONLY,46.0,10.0,56.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,FLANAGAN,DEAN,APPROVE,UNFAVORABLE,DIAMOND,GORE,EDUCATION,CLINTON,SAME,APP/UNFAV,ENTHUSIASTIC,DEMOCRAT,COLGRAD,PROTESTANT,30-50K,LIBERAL,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.531
STATE ONLY,46.0,12.0,1.0,FIRST CALL,50-59,WHITE,MALE,BUSH,OTHER,DWYER,DISAPPR,UNFAVORABLE,KERIN,BUSH,TAXES,DOLE,SAME,DIS/UNFAV,OPPOSED,INDEPEND,COLGRAD,NONE,,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,50-59,IND/OTHER,50-64,NONE,,,2.076
STATE ONLY,46.0,12.0,2.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,JEFFORDS,DEAN,APPROVE,FAVORABLE,SANDERS,GORE,EDUCATION,CLINTON,BETTER,APP/FAV,ENTHUSIASTIC,ELSE,SOMCOL/ASSOC,PROTESTANT,30-50K,LIBERAL,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,2.051
STATE ONLY,46.0,12.0,3.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,JEFFORDS,DWYER,DISAPPR,UNFAVORABLE,KERIN,BUSH,TAXES,DOLE,WORSE,DIS/UNFAV,OPPOSED,REPUBLCN,POSTGRAD,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.725
STATE ONLY,46.0,12.0,4.0,FIRST CALL,40-44,WHITE,MALE,BUSH,JEFFORDS,DWYER,DISAPPR,UNFAVORABLE,,OMITS,OMITS,DOLE,BETTER,DIS/UNFAV,OMITS,,,PROTESTANT,,,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,40-49,,40-49,PROT/CHRIST,,,1.9180000000000001
STATE ONLY,46.0,12.0,5.0,FIRST CALL,75+,WHITE,FEMALE,GORE,JEFFORDS,DEAN,APPROVE,UNFAVORABLE,SANDERS,GORE,HEALTHCARE,CLINTON,SAME,APP/UNFAV,ENTHUSIASTIC,INDEPEND,POSTGRAD,ELSE,50-75K,LIBERAL,65+,STATE,COMPLETE,GREENMOUNTS,60+,60+,IND/OTHER,65+,OTHER,,,1.784
STATE ONLY,46.0,12.0,6.0,FIRST CALL,40-44,WHITE,MALE,BUSH,,DWYER,DISAPPR,UNFAVORABLE,KERIN,BUSH,OMITS,DOLE,WORSE,DIS/UNFAV,OPPOSED,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.669
