VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,CLINTON,BCPERSON,XWAY2000,GOVTDO,JEANCARN,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,UNION4,ABORTION,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,GUN,WEIGHT
STATE ONLY,26.0,1.0,11.0,FIRST CALL,40-44,,FEMALE,BUSH,ASHCROFT,TALENT,DISAPPR,UNFAVORABLE,BUSH,LESS,ASHCROFT,CITYOVER50K,EDUCATION,HONEST,YES,DOLE,,MOSTILL,SAME,DIS/UNFAV,YES,REPUBLCN,50-500K,COLGRAD,PROTESTANT,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOEAST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,BOTH,ONLYGORE,PERSONALQUAL,,,OPPOSE,1.086
STATE ONLY,26.0,1.0,12.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,ASHCROFT,TALENT,DISAPPR,UNFAVORABLE,BUSH,LESS,ASHCROFT,CITYOVER50K,TAXES,HONEST,YES,DOLE,NONE,MOSTILL,BETTER,DIS/UNFAV,YES,REPUBLCN,50-500K,COLGRAD,OTHERCHRIST,MORETHAN1AWK,75-100K,YES,YES,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOEAST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,BOTH,ONLYGORE,PERSONALQUAL,,,OPPOSE,1.086
STATE ONLY,26.0,1.0,13.0,FIRST CALL,50-59,BLACK,MALE,GORE,CARNAHAN,HOLDEN,APPROVE,FAVORABLE,GORE,LESS,JEANCARNAHAN,CITYOVER50K,HEALTHCARE,CARES,NO,CLINTON,NONE,MOSTILL,BETTER,APP/FAV,YES,DEMOCRAT,50-500K,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH/SOEAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,SUPPORT,1.292
STATE ONLY,26.0,1.0,14.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,CARNAHAN,HOLDEN,APPROVE,FAVORABLE,GORE,LESS,OMITS,CITYOVER50K,SOCIALSECUR,STRONGLEADER,NO,CLINTON,SOMEONEELSE,ALWYSLGL,WORSE,APP/FAV,YES,DEMOCRAT,50-500K,HSGRAD,CATHOLIC,ONCEAWEEK,15-30K,NO,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOEAST,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,ONLYGORE,BOTH,ISSUES,,,SUPPORT,0.898
STATE ONLY,26.0,1.0,15.0,SECOND CALL,50-59,WHITE,MALE,GORE,CARNAHAN,HOLDEN,APPROVE,FAVORABLE,GORE,LESS,JEANCARNAHAN,CITYOVER50K,SOCIALSECUR,EXPERIENCE,NO,CLINTON,ME,MOSTILL,BETTER,APP/FAV,YES,DEMOCRAT,50-500K,COLGRAD,PROTESTANT,NEVER,50-75K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOEAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,ONLYBUSH,BOTH,ISSUES,,,OPPOSE,0.912
STATE ONLY,26.0,1.0,16.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,ASHCROFT,TALENT,DISAPPR,UNFAVORABLE,BUSH,LESS,ASHCROFT,CITYOVER50K,OMITS,HONEST,YES,DOLE,SOMEONEELSE,ALWYSILL,SAME,DIS/UNFAV,YES,REPUBLCN,50-500K,HSGRAD,,MORETHAN1AWK,50-75K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOEAST,30-44,40-49,REPUBLICAN,40-49,,ONLYBUSH,ONLYGORE,ISSUES,,,OPPOSE,1.086
STATE ONLY,26.0,1.0,17.0,SECOND CALL,18-24,WHITE,MALE,BUSH,ASHCROFT,TALENT,APPROVE,FAVORABLE,BUSH,LESS,ASHCROFT,CITYOVER50K,EDUCATION,STRONGLEADER,NO,DOLE,SOMEONEELSE,MOSTILL,BETTER,APP/FAV,YES,REPUBLCN,50-500K,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,50-75K,NO,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOEAST,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,BOTH,BOTH,ISSUES,,,OPPOSE,1.215
STATE ONLY,26.0,1.0,18.0,SECOND CALL,30-39,WHITE,,GORE,CARNAHAN,HOLDEN,APPROVE,UNFAVORABLE,GORE,MORE,WOULDNOTVOTE,CITYOVER50K,ECON/JOBS,COMPLEXISSUE,YES,NOVOTE,NONE,MOSTILL,BETTER,APP/UNFAV,NO,INDEPEND,50-500K,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,50-75K,NO,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH/SOEAST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,OPPOSE,0.898
STATE ONLY,26.0,1.0,19.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,ASHCROFT,TALENT,DISAPPR,UNFAVORABLE,BUSH,LESS,ASHCROFT,CITYOVER50K,EDUCATION,HONEST,YES,DOLE,NONE,MOSTILL,BETTER,DIS/UNFAV,NO,REPUBLCN,50-500K,COLGRAD,PROTESTANT,ONCEAWEEK,OVER100K,YES,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOEAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,SUPPORT,1.086
STATE ONLY,26.0,1.0,20.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,ASHCROFT,TALENT,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,LESS,ASHCROFT,CITYOVER50K,EDUCATION,HONEST,OMITS,DOLE,SOMEONEELSE,ALWYSLGL,SAME,DIS/UNFAV,NO,REPUBLCN,50-500K,COLGRAD,OTHERCHRIST,MORETHAN1AWK,,YES,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH/SOEAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,SUPPORT,1.086
STATE ONLY,26.0,1.0,21.0,SECOND CALL,25-29,WHITE,MALE,GORE,CARNAHAN,HOLDEN,APPROVE,FAVORABLE,GORE,LESS,JEANCARNAHAN,CITYOVER50K,WORLDAFFAIRS,CARES,NO,NOVOTE,NONE,MOSTLGL,BETTER,APP/FAV,YES,DEMOCRAT,50-500K,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,15-30K,NO,NO,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOEAST,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,ONLYGORE,ONLYGORE,ISSUES,,,OPPOSE,1.0050000000000001
STATE ONLY,26.0,1.0,22.0,THIRD CALL,30-39,WHITE,MALE,BUSH,ASHCROFT,TALENT,DISAPPR,UNFAVORABLE,BUSH,LESS,ASHCROFT,CITYOVER50K,TAXES,HONEST,YES,DOLE,NONE,MOSTILL,BETTER,DIS/UNFAV,YES,REPUBLCN,50-500K,COLGRAD,PROTESTANT,MORETHAN1AWK,75-100K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOEAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,BOTH,ONLYGORE,PERSONALQUAL,,,OPPOSE,1.103
STATE ONLY,26.0,1.0,23.0,THIRD CALL,45-49,,FEMALE,BUSH,,OTHER,APPROVE,UNFAVORABLE,BUSH,LESS,ASHCROFT,CITYOVER50K,MEDICARE/RX,HONEST,NO,DOLE,NONE,MOSTLGL,BETTER,APP/UNFAV,NO,ELSE,50-500K,HSGRAD,CATHOLIC,AFEWAMONTH,LESS15K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOEAST,45-59,40-49,IND/OTHER,40-49,CATHOLIC,ONLYGORE,ONLYGORE,PERSONALQUAL,,,OPPOSE,1.599
STATE ONLY,26.0,1.0,24.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,CARNAHAN,TALENT,APPROVE,FAVORABLE,GORE,OMITS,JEANCARNAHAN,CITYOVER50K,ECON/JOBS,STRONGLEADER,YES,CLINTON,NONE,ALWYSLGL,SAME,APP/FAV,YES,DEMOCRAT,50-500K,HSGRAD,OTHERCHRIST,NEVER,30-50K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOEAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,ONLYGORE,BOTH,PERSONALQUAL,,,OPPOSE,1.028
STATE ONLY,26.0,1.0,25.0,THIRD CALL,25-29,WHITE,MALE,BUSH,CARNAHAN,TALENT,DISAPPR,UNFAVORABLE,BUSH,LESS,JEANCARNAHAN,CITYOVER50K,SOCIALSECUR,LIKEABLE,NO,DOLE,NONE,MOSTLGL,SAME,DIS/UNFAV,YES,REPUBLCN,50-500K,HSGRAD,OTHERCHRIST,AFEWAYEAR,15-30K,NO,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOEAST,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,BOTH,NEITHER,PERSONALQUAL,,,SUPPORT,1.201
STATE ONLY,26.0,1.0,26.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,ASHCROFT,TALENT,DISAPPR,UNFAVORABLE,BUSH,MORE,ASHCROFT,CITYOVER50K,WORLDAFFAIRS,HONEST,NO,DOLE,NONE,ALWYSILL,SAME,DIS/UNFAV,YES,INDEPEND,50-500K,POSTGRAD,PROTESTANT,OMITS,30-50K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOEAST,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,OPPOSE,1.195
STATE ONLY,26.0,1.0,27.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,ASHCROFT,TALENT,DISAPPR,UNFAVORABLE,BUSH,LESS,ASHCROFT,CITYOVER50K,EDUCATION,HONEST,YES,NOVOTE,SOMEONEELSE,ALWYSILL,BETTER,DIS/UNFAV,NO,REPUBLCN,50-500K,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,30-50K,YES,YES,CONSERV,18-64,OTHRPROGRAMS,STATE,COMPLETE,NORTH/SOEAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,OPPOSE,1.086
STATE ONLY,26.0,1.0,28.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,ASHCROFT,HOLDEN,DISAPPR,UNFAVORABLE,BUSH,LESS,ASHCROFT,CITYOVER50K,EDUCATION,HONEST,NO,DOLE,NONE,MOSTILL,BETTER,DIS/UNFAV,YES,REPUBLCN,50-500K,COLGRAD,PROTESTANT,AFEWAYEAR,50-75K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOEAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,BOTH,ONLYGORE,PERSONALQUAL,,,SUPPORT,0.9490000000000001
STATE ONLY,26.0,1.0,29.0,THIRD CALL,40-44,WHITE,MALE,GORE,,,APPROVE,FAVORABLE,GORE,MORE,WOULDNOTVOTE,CITYOVER50K,MEDICARE/RX,EXPERIENCE,NO,CLINTON,NONE,OMITS,SAME,APP/FAV,YES,DEMOCRAT,50-500K,HSGRAD,OTHERCHRIST,ONCEAWEEK,,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOEAST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,ONLYGORE,NEITHER,PERSONALQUAL,,,SUPPORT,0.984
STATE ONLY,26.0,1.0,30.0,THIRD CALL,60-64,WHITE,MALE,GORE,CARNAHAN,HOLDEN,APPROVE,UNFAVORABLE,GORE,LESS,JEANCARNAHAN,CITYOVER50K,HEALTHCARE,GOODJUDGMENT,NO,CLINTON,NONE,ALWYSLGL,BETTER,APP/UNFAV,YES,DEMOCRAT,50-500K,HSGRAD,OTHERCHRIST,AFEWAYEAR,50-75K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOEAST,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,SUPPORT,1.1480000000000001
STATE ONLY,26.0,1.0,31.0,THIRD CALL,,BLACK,MALE,GORE,ASHCROFT,TALENT,APPROVE,UNFAVORABLE,BUSH,LESS,ASHCROFT,CITYOVER50K,MEDICARE/RX,OMITS,YES,DOLE,SOMEONEELSE,ALWYSILL,BETTER,APP/UNFAV,YES,ELSE,50-500K,SOMCOL/ASSOC,CATHOLIC,MORETHAN1AWK,LESS15K,YES,YES,MODERATE,,REDUCNATDEBT,STATE,COMPLETE,NORTH/SOEAST,,,IND/OTHER,,CATHOLIC,ONLYGORE,ONLYGORE,ISSUES,,,OPPOSE,1.495
STATE ONLY,26.0,1.0,32.0,THIRD CALL,18-24,WHITE,MALE,GORE,CARNAHAN,HOLDEN,APPROVE,FAVORABLE,GORE,MORE,JEANCARNAHAN,CITYOVER50K,ECON/JOBS,EXPERIENCE,NO,NOVOTE,ME,ALWYSILL,BETTER,APP/FAV,YES,DEMOCRAT,50-500K,HSGRAD,OTHERCHRIST,AFEWAMONTH,50-75K,YES,YES,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOEAST,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,OPPOSE,1.0050000000000001
STATE ONLY,26.0,4.0,1.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,ASHCROFT,TALENT,DISAPPR,UNFAVORABLE,BUSH,LESS,ASHCROFT,SMCITY/RURAL,TAXES,HONEST,NO,CLINTON,NONE,MOSTILL,SAME,DIS/UNFAV,YES,INDEPEND,RURAL,HSGRAD,CATHOLIC,ONCEAWEEK,30-50K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHWEST,30-44,40-49,IND/OTHER,40-49,CATHOLIC,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,OPPOSE,1.346
STATE ONLY,26.0,4.0,2.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,ASHCROFT,TALENT,APPROVE,UNFAVORABLE,BUSH,LESS,ASHCROFT,SMCITY/RURAL,TAXES,HONEST,NO,CLINTON,NONE,MOSTLGL,BETTER,APP/UNFAV,YES,REPUBLCN,RURAL,POSTGRAD,PROTESTANT,AFEWAYEAR,OVER100K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHWEST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,BOTH,ONLYGORE,ISSUES,,,OPPOSE,1.346
STATE ONLY,26.0,4.0,3.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,CARNAHAN,HOLDEN,APPROVE,FAVORABLE,GORE,MORE,JEANCARNAHAN,SMCITY/RURAL,EDUCATION,COMPLEXISSUE,NO,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,YES,DEMOCRAT,RURAL,POSTGRAD,PROTESTANT,MORETHAN1AWK,30-50K,NO,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHWEST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,SUPPORT,1.357
STATE ONLY,26.0,4.0,4.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,ASHCROFT,HOLDEN,DISAPPR,UNFAVORABLE,BUSH,OMITS,ASHCROFT,SMCITY/RURAL,OMITS,LIKEABLE,OMITS,NOVOTE,NONE,MOSTILL,BETTER,DIS/UNFAV,YES,REPUBLCN,RURAL,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,30-50K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHWEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,SUPPORT,1.177
STATE ONLY,26.0,4.0,5.0,FIRST CALL,50-59,WHITE,MALE,GORE,CARNAHAN,HOLDEN,APPROVE,FAVORABLE,GORE,MORE,JEANCARNAHAN,SMCITY/RURAL,HEALTHCARE,CARES,NO,CLINTON,NONE,OMITS,SAME,APP/FAV,YES,DEMOCRAT,RURAL,POSTGRAD,PROTESTANT,AFEWAYEAR,50-75K,YES,NO,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHWEST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,ONLYGORE,ONLYGORE,ISSUES,,,SUPPORT,1.325
STATE ONLY,26.0,4.0,6.0,FIRST CALL,25-29,WHITE,MALE,BUSH,ASHCROFT,HOLDEN,APPROVE,UNFAVORABLE,BUSH,MORE,ASHCROFT,SMCITY/RURAL,SOCIALSECUR,GOODJUDGMENT,NO,OTHER,NONE,ALWYSLGL,BETTER,APP/UNFAV,YES,REPUBLCN,RURAL,SOMCOL/ASSOC,CATHOLIC,AFEWAMONTH,30-50K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHWEST,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,ONLYBUSH,ONLYBUSH,PERSONALQUAL,,,OPPOSE,1.337
STATE ONLY,26.0,4.0,7.0,FIRST CALL,30-39,WHITE,MALE,BUSH,ASHCROFT,TALENT,DISAPPR,UNFAVORABLE,BUSH,LESS,ASHCROFT,SMCITY/RURAL,ECON/JOBS,HONEST,NO,DOLE,NONE,ALWYSILL,BETTER,DIS/UNFAV,YES,REPUBLCN,RURAL,POSTGRAD,CATHOLIC,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHWEST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,BOTH,ONLYGORE,PERSONALQUAL,,,OPPOSE,1.317
STATE ONLY,26.0,4.0,8.0,FIRST CALL,50-59,WHITE,MALE,GORE,CARNAHAN,HOLDEN,APPROVE,FAVORABLE,GORE,LESS,WOULDNOTVOTE,SMCITY/RURAL,ECON/JOBS,COMPLEXISSUE,NO,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,YES,INDEPEND,RURAL,POSTGRAD,JEWISH,AFEWAYEAR,OVER100K,YES,NO,LIBERAL,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHWEST,45-59,50-59,IND/OTHER,50-64,JEWISH,ONLYGORE,BOTH,ISSUES,,,SUPPORT,1.325
STATE ONLY,26.0,4.0,9.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,ASHCROFT,TALENT,DISAPPR,UNFAVORABLE,BUSH,LESS,ASHCROFT,SMCITY/RURAL,OMITS,HONEST,YES,DOLE,NONE,ALWYSILL,SAME,DIS/UNFAV,NO,REPUBLCN,RURAL,HSGRAD,JEWISH,MORETHAN1AWK,30-50K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHWEST,45-59,50-59,REPUBLICAN,50-64,JEWISH,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,OPPOSE,1.346
STATE ONLY,26.0,4.0,10.0,FIRST CALL,65-74,WHITE,MALE,BUSH,ASHCROFT,TALENT,DISAPPR,UNFAVORABLE,BUSH,LESS,ASHCROFT,SMCITY/RURAL,WORLDAFFAIRS,GOODJUDGMENT,NO,DOLE,NONE,MOSTILL,WORSE,DIS/UNFAV,NO,REPUBLCN,RURAL,POSTGRAD,OTHERCHRIST,MORETHAN1AWK,15-30K,YES,NO,CONSERV,65+,CUTFEDINCTAX,STATE,COMPLETE,SOUTHWEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,OPPOSE,1.617
