VERSION,STATEID,PRECINCT,SEQ,CALL,WGT,AGE9,RACE,SEX,PRES,SEN,TIME,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,UNION4,UNFAIR,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,RIDGEVP,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
NATIONAL WHITE,39.0,2.0,12.0,SECOND CALL,1519.0,75+,WHITE,MALE,BUSH,SANTORUM,,APPROVE,FAVORABLE,BUSH,LESS,CITYOVER50K,WORLDAFFAIRS,GOODJUDGMENT,DOLE,NONE,,SAME,APP/FAV,NO,REPUBLCN,50-500K,COLGRAD,PROTESTANT,AFEWAMONTH,OVER100K,NO,NO,MODERATE,65+,,,NATIONAL,COMPLETE,PITTBURGH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,PERSONALQUAL,,,1.5190000000000001
NATIONAL WHITE,39.0,2.0,13.0,SECOND CALL,1519.0,75+,WHITE,MALE,BUSH,SANTORUM,,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,TAXES,STRONGLEADER,DOLE,NONE,,SAME,DIS/UNFAV,YES,REPUBLCN,50-500K,POSTGRAD,PROTESTANT,AFEWAYEAR,OVER100K,YES,NO,LIBERAL,65+,,,NATIONAL,COMPLETE,PITTBURGH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,PERSONALQUAL,,,1.5190000000000001
NATIONAL YELLOW,39.0,2.0,14.0,SECOND CALL,1186.0,18-24,WHITE,MALE,BUSH,KLINK,,APPROVE,FAVORABLE,GORE,OMITS,CITYOVER50K,OMITS,EXPERIENCE,NOVOTE,NONE,,BETTER,APP/FAV,YES,DEMOCRAT,50-500K,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,LESS15K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PITTBURGH,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,ISSUES,OMITS,EXPERIENCE,1.186
NATIONAL YELLOW,39.0,2.0,15.0,SECOND CALL,1176.0,45-49,WHITE,MALE,GORE,KLINK,,APPROVE,UNFAVORABLE,GORE,LESS,CITYOVER50K,HEALTHCARE,GOODJUDGMENT,CLINTON,SOMEONEELSE,,SAME,APP/UNFAV,YES,REPUBLCN,50-500K,POSTGRAD,PROTESTANT,AFEWAYEAR,OVER100K,YES,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,PITTBURGH,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,ISSUES,HEALTHCARE,GOODJUDGMENT,1.176
NATIONAL YELLOW,39.0,2.0,16.0,SECOND CALL,1725.0,75+,WHITE,FEMALE,GORE,KLINK,,OMITS,OMITS,OMITS,MORE,CITYOVER50K,SOCIALSECUR,COMPLEXISSUE,OMITS,NONE,,OMITS,,NO,,50-500K,,,OMITS,,,,,65+,,,NATIONAL,NOTCOMPLETE,PITTBURGH,60+,60+,,65+,,,,OMITS,SOCIALSECUR,COMPLEXISSUE,1.725
NATIONAL YELLOW,39.0,2.0,17.0,SECOND CALL,509.0,18-24,WHITE,FEMALE,BUCHANAN,SANTORUM,,APPROVE,FAVORABLE,GORE,LESS,CITYOVER50K,SOCIALSECUR,STRONGLEADER,CLINTON,SOMEONEELSE,,BETTER,APP/FAV,YES,REPUBLCN,50-500K,NOHS,PROTESTANT,NEVER,15-30K,NO,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,PITTBURGH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,ISSUES,SOCIALSECUR,STRONGLEADER,0.509
NATIONAL YELLOW,39.0,2.0,18.0,SECOND CALL,1463.0,18-24,WHITE,FEMALE,GORE,OTHER,,APPROVE,UNFAVORABLE,GORE,LESS,CITYOVER50K,TAXES,CARES,NOVOTE,NONE,,SAME,APP/UNFAV,NO,INDEPEND,50-500K,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,30-50K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PITTBURGH,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,PERSONALQUAL,TAXES,CARES,1.463
NATIONAL GREY,39.0,2.0,19.0,SECOND CALL,1120.0,50-59,WHITE,FEMALE,GORE,KLINK,BEFORE,,,,,CITYOVER50K,,,,,BOTHDID,,,,REPUBLCN,50-500K,COLGRAD,,,50-75K,,,MODERATE,18-64,REDUCNATDEBT,,NATIONAL,COMPLETE,PITTBURGH,45-59,50-59,REPUBLICAN,50-64,,ONLYGORE,BOTH,,,,1.12
NATIONAL GREY,39.0,2.0,20.0,SECOND CALL,1045.0,25-29,WHITE,FEMALE,BUSH,SANTORUM,BEFORE,,,,,CITYOVER50K,,,,,BOTHDID,,,,REPUBLCN,50-500K,COLGRAD,,,15-30K,,,MODERATE,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,PITTBURGH,18-29,25-29,REPUBLICAN,25-29,,ONLYBUSH,NEITHER,,,,1.045
NATIONAL GREY,39.0,2.0,21.0,SECOND CALL,630.0,65-74,WHITE,FEMALE,NADER,SANTORUM,LASTWEEK,,,,,CITYOVER50K,,,,,BOTHDID,,,,REPUBLCN,50-500K,COLGRAD,,,15-30K,,,MODERATE,65+,CUTFEDINCTAX,,NATIONAL,COMPLETE,PITTBURGH,60+,60+,REPUBLICAN,65+,,ONLYBUSH,ONLYBUSH,,,,0.63
NATIONAL GREY,39.0,2.0,22.0,SECOND CALL,1725.0,60-64,WHITE,FEMALE,GORE,KLINK,BEFORE,,,,,CITYOVER50K,,,,,BOTHDID,,,,INDEPEND,50-500K,POSTGRAD,,,OVER100K,,,MODERATE,18-64,REDUCNATDEBT,,NATIONAL,COMPLETE,PITTBURGH,60+,60+,IND/OTHER,50-64,,ONLYGORE,BOTH,,,,1.725
NATIONAL GREY,39.0,2.0,23.0,SECOND CALL,1120.0,50-59,WHITE,FEMALE,GORE,KLINK,BEFORE,,,,,CITYOVER50K,,,,,OMITS,,,,,50-500K,,,,,,,,18-64,OMITS,,NATIONAL,NOTCOMPLETE,PITTBURGH,45-59,50-59,,50-64,,OMITS,OMITS,,,,1.12
NATIONAL PINK,39.0,2.0,24.0,SECOND CALL,987.0,40-44,WHITE,MALE,BUSH,SANTORUM,,,,,,CITYOVER50K,,,,NONE,,,,YES,REPUBLCN,50-500K,,CATHOLIC,,OVER100K,YES,NO,CONSERV,18-64,,,NATIONAL,COMPLETE,PITTBURGH,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,,,,,0.987
NATIONAL PINK,39.0,2.0,25.0,SECOND CALL,517.0,18-24,ASIAN,MALE,NADER,KLINK,,,,,,CITYOVER50K,,,,SOMEONEELSE,,,,NO,ELSE,50-500K,,CATHOLIC,,LESS15K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PITTBURGH,18-29,18-24,IND/OTHER,18-24,CATHOLIC,,,,,,0.517
NATIONAL PINK,39.0,2.0,26.0,SECOND CALL,1097.0,25-29,WHITE,MALE,BUSH,SANTORUM,,,,,,CITYOVER50K,,,,NONE,,,,YES,REPUBLCN,50-500K,,JEWISH,,75-100K,NO,NO,CONSERV,18-64,,,NATIONAL,COMPLETE,PITTBURGH,18-29,25-29,REPUBLICAN,25-29,JEWISH,,,,,,1.097
NATIONAL PINK,39.0,2.0,27.0,SECOND CALL,1395.0,65-74,BLACK,MALE,GORE,SANTORUM,,,,,,CITYOVER50K,,,,,,,,NO,,50-500K,,,,,,,,65+,,,NATIONAL,NOTCOMPLETE,PITTBURGH,60+,60+,,65+,,,,,,,1.395
NATIONAL PINK,39.0,2.0,28.0,SECOND CALL,1176.0,40-44,WHITE,MALE,GORE,KLINK,,,,,,CITYOVER50K,,,,NONE,,,,YES,DEMOCRAT,50-500K,,JEWISH,,75-100K,YES,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PITTBURGH,30-44,40-49,DEMOCRAT,40-49,JEWISH,,,,,,1.176
NATIONAL WHITE,39.0,2.0,29.0,THIRD CALL,987.0,40-44,WHITE,MALE,BUSH,SANTORUM,,APPROVE,UNFAVORABLE,BUSH,LESS,CITYOVER50K,EDUCATION,STRONGLEADER,NOVOTE,NONE,,SAME,APP/UNFAV,YES,INDEPEND,50-500K,COLGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,PITTBURGH,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,ISSUES,,,0.987
NATIONAL WHITE,39.0,2.0,30.0,THIRD CALL,987.0,50-59,WHITE,MALE,BUSH,SANTORUM,,OMITS,OMITS,OMITS,LESS,CITYOVER50K,EDUCATION,HONEST,DOLE,NONE,,SAME,OMITS,NO,,50-500K,,,OMITS,,YES,NO,,18-64,,,NATIONAL,COMPLETE,PITTBURGH,45-59,50-59,,50-64,,,,ISSUES,,,0.987
NATIONAL WHITE,39.0,2.0,31.0,THIRD CALL,987.0,30-39,WHITE,MALE,BUSH,SANTORUM,,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,TAXES,GOODJUDGMENT,DOLE,NONE,,BETTER,DIS/UNFAV,YES,REPUBLCN,50-500K,POSTGRAD,JEWISH,AFEWAYEAR,OVER100K,YES,YES,CONSERV,18-64,,,NATIONAL,COMPLETE,PITTBURGH,30-44,30-39,REPUBLICAN,30-39,JEWISH,,,ISSUES,,,0.987
NATIONAL WHITE,39.0,2.0,32.0,THIRD CALL,1078.0,45-49,WHITE,FEMALE,GORE,,,OMITS,OMITS,OMITS,MORE,CITYOVER50K,TAXES,STRONGLEADER,OMITS,,,OMITS,,YES,,50-500K,,,OMITS,,,,,18-64,,,NATIONAL,NOTCOMPLETE,PITTBURGH,45-59,40-49,,40-49,,,,OMITS,,,1.078
NATIONAL WHITE,39.0,2.0,33.0,THIRD CALL,1176.0,30-39,WHITE,MALE,GORE,KLINK,,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,SOCIALSECUR,COMPLEXISSUE,CLINTON,NONE,,BETTER,APP/FAV,YES,DEMOCRAT,50-500K,COLGRAD,CATHOLIC,AFEWAMONTH,50-75K,YES,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,PITTBURGH,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,ISSUES,,,1.176
NATIONAL WHITE,39.0,2.0,34.0,THIRD CALL,1045.0,18-24,WHITE,FEMALE,BUSH,SANTORUM,,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,TAXES,STRONGLEADER,DOLE,NONE,,WORSE,DIS/UNFAV,NO,REPUBLCN,50-500K,POSTGRAD,CATHOLIC,AFEWAMONTH,75-100K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PITTBURGH,18-29,18-24,REPUBLICAN,18-24,CATHOLIC,,,ISSUES,,,1.045
NATIONAL YELLOW,39.0,2.0,35.0,THIRD CALL,898.0,30-39,HISP,FEMALE,GORE,,,APPROVE,FAVORABLE,GORE,OMITS,CITYOVER50K,OMITS,COMPLEXISSUE,CLINTON,SOMEONEELSE,,SAME,APP/FAV,NO,DEMOCRAT,50-500K,COLGRAD,CATHOLIC,AFEWAYEAR,75-100K,YES,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,PITTBURGH,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,ISSUES,OMITS,COMPLEXISSUE,0.898
NATIONAL YELLOW,39.0,2.0,36.0,THIRD CALL,987.0,45-49,WHITE,MALE,BUSH,SANTORUM,,DISAPPR,UNFAVORABLE,BUSH,LESS,CITYOVER50K,ECON/JOBS,STRONGLEADER,DOLE,NONE,,BETTER,DIS/UNFAV,YES,REPUBLCN,50-500K,COLGRAD,PROTESTANT,AFEWAMONTH,OVER100K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,PITTBURGH,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,PERSONALQUAL,ECON/JOBS,STRONGLEADER,0.987
NATIONAL YELLOW,39.0,2.0,37.0,THIRD CALL,1035.0,40-44,WHITE,FEMALE,GORE,SANTORUM,,OMITS,OMITS,OMITS,MORE,CITYOVER50K,OMITS,EXPERIENCE,OMITS,NONE,,OMITS,,NO,,50-500K,,,OMITS,,,,,18-64,,,NATIONAL,NOTCOMPLETE,PITTBURGH,30-44,40-49,,40-49,,,,OMITS,OMITS,EXPERIENCE,1.035
NATIONAL YELLOW,39.0,2.0,38.0,THIRD CALL,1245.0,25-29,WHITE,FEMALE,GORE,KLINK,,APPROVE,UNFAVORABLE,GORE,LESS,CITYOVER50K,ECON/JOBS,EXPERIENCE,CLINTON,NONE,,BETTER,APP/UNFAV,YES,REPUBLCN,50-500K,COLGRAD,CATHOLIC,AFEWAMONTH,OVER100K,YES,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PITTBURGH,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,ISSUES,ECON/JOBS,EXPERIENCE,1.245
NATIONAL YELLOW,39.0,2.0,39.0,THIRD CALL,1245.0,18-24,WHITE,FEMALE,GORE,KLINK,,OMITS,OMITS,OMITS,MORE,CITYOVER50K,OMITS,COMPLEXISSUE,OMITS,NONE,,OMITS,,NO,,50-500K,,,OMITS,,,,,18-64,,,NATIONAL,NOTCOMPLETE,PITTBURGH,18-29,18-24,,18-24,,,,OMITS,OMITS,COMPLEXISSUE,1.245
NATIONAL YELLOW,39.0,2.0,40.0,THIRD CALL,1305.0,25-29,ASIAN,MALE,GORE,KLINK,,APPROVE,FAVORABLE,GORE,MORE,CITYOVER50K,MEDICARE/RX,CARES,NOVOTE,NONE,,BETTER,APP/FAV,YES,DEMOCRAT,50-500K,POSTGRAD,NONE,NEVER,30-50K,YES,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,PITTBURGH,18-29,25-29,DEMOCRAT,25-29,NONE,,,ISSUES,MEDICARE/RX,CARES,1.305
NATIONAL GREY,39.0,2.0,41.0,THIRD CALL,1519.0,60-64,WHITE,MALE,BUSH,SANTORUM,LASTWEEK,,,,,CITYOVER50K,,,,,BOTHDID,,,,REPUBLCN,50-500K,POSTGRAD,,,OVER100K,,,MODERATE,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,PITTBURGH,60+,60+,REPUBLICAN,50-64,,BOTH,ONLYGORE,,,,1.5190000000000001
NATIONAL GREY,39.0,2.0,42.0,THIRD CALL,987.0,45-49,WHITE,MALE,BUSH,SANTORUM,BEFORE,,,,,CITYOVER50K,,,,,BOTHDID,,,,REPUBLCN,50-500K,COLGRAD,,,OVER100K,,,CONSERV,18-64,CUTFEDINCTAX,,NATIONAL,COMPLETE,PITTBURGH,45-59,40-49,REPUBLICAN,40-49,,BOTH,BOTH,,,,0.987
NATIONAL GREY,39.0,2.0,43.0,THIRD CALL,550.0,25-29,WHITE,FEMALE,BUCHANAN,KLINK,BEFORE,,,,,CITYOVER50K,,,,,NEITHERDID,,,,INDEPEND,50-500K,SOMCOL/ASSOC,,,OVER100K,,,LIBERAL,18-64,REDUCNATDEBT,,NATIONAL,COMPLETE,PITTBURGH,18-29,25-29,IND/OTHER,25-29,,ONLYGORE,BOTH,,,,0.55
NATIONAL GREY,39.0,2.0,44.0,THIRD CALL,1017.0,45-49,WHITE,FEMALE,BUSH,KLINK,OMITS,,,,,CITYOVER50K,,,,,BOTHDID,,,,DEMOCRAT,50-500K,COLGRAD,,,OVER100K,,,CONSERV,18-64,REDUCNATDEBT,,NATIONAL,COMPLETE,PITTBURGH,45-59,40-49,DEMOCRAT,40-49,,BOTH,BOTH,,,,1.0170000000000001
NATIONAL GREY,39.0,2.0,45.0,THIRD CALL,783.0,30-39,HISP,FEMALE,BUSH,SANTORUM,BEFORE,,,,,CITYOVER50K,,,,,GOREDID,,,,INDEPEND,50-500K,POSTGRAD,,,75-100K,,,CONSERV,18-64,CUTFEDINCTAX,,NATIONAL,COMPLETE,PITTBURGH,30-44,30-39,IND/OTHER,30-39,,BOTH,BOTH,,,,0.783
NATIONAL GREY,39.0,2.0,46.0,THIRD CALL,1120.0,40-44,WHITE,FEMALE,GORE,KLINK,BEFORE,,,,,CITYOVER50K,,,,,BUSHDID,,,,DEMOCRAT,50-500K,POSTGRAD,,,OVER100K,,,LIBERAL,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,PITTBURGH,30-44,40-49,DEMOCRAT,40-49,,ONLYGORE,BOTH,,,,1.12
NATIONAL PINK,39.0,2.0,47.0,THIRD CALL,1129.0,45-49,WHITE,MALE,GORE,,,,,,,CITYOVER50K,,,,NONE,,,,YES,INDEPEND,50-500K,,JEWISH,,OVER100K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,PITTBURGH,45-59,40-49,IND/OTHER,40-49,JEWISH,,,,,,1.129
NATIONAL PINK,39.0,2.0,48.0,THIRD CALL,466.0,50-59,WHITE,MALE,NADER,KLINK,,,,,,CITYOVER50K,,,,NONE,,,,YES,INDEPEND,50-500K,,CATHOLIC,,OVER100K,YES,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,PITTBURGH,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,,,,0.466
NATIONAL PINK,39.0,2.0,49.0,THIRD CALL,1483.0,65-74,WHITE,FEMALE,,SANTORUM,,,,,,CITYOVER50K,,,,NONE,,,,NO,,50-500K,,,,,,,,65+,,,NATIONAL,NOTCOMPLETE,PITTBURGH,60+,60+,,65+,,,,,,,1.483
NATIONAL PINK,39.0,2.0,50.0,THIRD CALL,1245.0,25-29,WHITE,FEMALE,GORE,KLINK,,,,,,CITYOVER50K,,,,NONE,,,,NO,DEMOCRAT,50-500K,,JEWISH,,OVER100K,YES,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PITTBURGH,18-29,25-29,DEMOCRAT,25-29,JEWISH,,,,,,1.245
NATIONAL PINK,39.0,2.0,51.0,THIRD CALL,1463.0,25-29,WHITE,FEMALE,GORE,OTHER,,,,,,CITYOVER50K,,,,NONE,,,,YES,DEMOCRAT,50-500K,,JEWISH,,OVER100K,NO,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,PITTBURGH,18-29,25-29,DEMOCRAT,25-29,JEWISH,,,,,,1.463
NATIONAL PINK,39.0,2.0,52.0,THIRD CALL,1195.0,30-39,WHITE,FEMALE,BUSH,OTHER,,,,,,CITYOVER50K,,,,NONE,,,,YES,REPUBLCN,50-500K,,CATHOLIC,,30-50K,YES,NO,CONSERV,18-64,,,NATIONAL,COMPLETE,PITTBURGH,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,,,,1.195
STATE ONLY,39.0,8.0,1.0,FIRST CALL,776.0,60-64,WHITE,FEMALE,GORE,KLINK,BEFORE,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,SOCIALSECUR,EXPERIENCE,CLINTON,MEANDSOMEONE,BOTHDID,SAME,APP/UNFAV,NO,DEMOCRAT,SUBURBS,COLGRAD,PROTESTANT,ONCEAWEEK,50-75K,YES,NO,CONSERV,18-64,SOCIALSECURI,GORE/LIEBERM,STATE,COMPLETE,PITTBURGH,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,ONLYGORE,BOTH,PERSONALQUAL,,,0.776
STATE ONLY,39.0,8.0,2.0,FIRST CALL,437.0,45-49,HISP,MALE,GORE,KLINK,BEFORE,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,OMITS,OMITS,CLINTON,NONE,NEITHERDID,SAME,APP/UNFAV,YES,INDEPEND,SUBURBS,POSTGRAD,NONE,AFEWAYEAR,OVER100K,YES,NO,MODERATE,18-64,REDUCNATDEBT,GORE/LIEBERM,STATE,COMPLETE,PITTBURGH,45-59,40-49,IND/OTHER,40-49,NONE,ONLYGORE,BOTH,ISSUES,,,0.437
STATE ONLY,39.0,8.0,3.0,FIRST CALL,441.0,50-59,WHITE,MALE,BUSH,SANTORUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,EDUCATION,HONEST,DOLE,ME,GOREDID,SAME,DIS/UNFAV,YES,REPUBLCN,SUBURBS,POSTGRAD,PROTESTANT,AFEWAYEAR,OVER100K,NO,NO,CONSERV,18-64,CUTFEDINCTAX,BUSH/RIDGE,STATE,COMPLETE,PITTBURGH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,0.441
STATE ONLY,39.0,8.0,4.0,FIRST CALL,682.0,75+,WHITE,MALE,BUSH,SANTORUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,DOLE,NONE,BOTHDID,SAME,DIS/UNFAV,YES,REPUBLCN,SUBURBS,COLGRAD,PROTESTANT,ONCEAWEEK,50-75K,NO,NO,CONSERV,65+,OMITS,BUSH/RIDGE,STATE,COMPLETE,PITTBURGH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,0.682
STATE ONLY,39.0,8.0,5.0,FIRST CALL,421.0,45-49,WHITE,FEMALE,BUSH,SANTORUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,WORLDAFFAIRS,CARES,DOLE,NONE,BOTHDID,WORSE,DIS/UNFAV,YES,REPUBLCN,SUBURBS,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,,,YES,LIBERAL,18-64,REDUCNATDEBT,BUSH/RIDGE,STATE,COMPLETE,PITTBURGH,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,OMITS,ONLYGORE,ISSUES,,,0.421
