VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,TIME,CLINTON,BCPERSON,XWAY2000,ISSUE,QUAL,RELRIGHT,X6VOTE,FINSIT,JOBPERS,BCRUN,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,4.0,1.0,13.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,LAST.3DAYS,APPROVE,FAVORABLE,BUSH,SOCIALSECUR,STRONGLEADER,YES,CLINTON,BETTER,APP/FAV,YES,INDEPEND,HSGRAD,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,EAST,60+,60+,IND/OTHER,50-64,CATHOLIC,,,0.684
STATE ONLY,4.0,1.0,14.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,TAXES,HONEST,YES,DOLE,SAME,DIS/UNFAV,NO,INDEPEND,SOMCOL/ASSOC,CATHOLIC,15-30K,CONSERV,65+,STATE,COMPLETE,EAST,60+,60+,IND/OTHER,65+,CATHOLIC,,,0.684
STATE ONLY,4.0,1.0,15.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,EDUCATION,LIKEABLE,YES,NOVOTE,SAME,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,COMPLETE,EAST,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.492
STATE ONLY,4.0,1.0,16.0,FIRST CALL,60-64,BLACK,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,SOCIALSECUR,STRONGLEADER,YES,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,CONSERV,18-64,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,0.41600000000000004
STATE ONLY,4.0,1.0,17.0,FIRST CALL,65-74,,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,OMITS,HONEST,YES,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,PROTESTANT,LESS15K,MODERATE,65+,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.461
STATE ONLY,4.0,1.0,18.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,BEFORE,APPROVE,UNFAVORABLE,GORE,TAXES,COMPLEXISSUE,NO,CLINTON,BETTER,APP/UNFAV,YES,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,EAST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.342
STATE ONLY,4.0,1.0,19.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,MEDICARE/RX,GOODJUDGMENT,YES,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,NOHS,OTHERCHRIST,75-100K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.309
STATE ONLY,4.0,1.0,20.0,SECOND CALL,50-59,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,OMITS,HONEST,NO,DOLE,WORSE,DIS/UNFAV,NO,ELSE,COLGRAD,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.653
STATE ONLY,4.0,1.0,21.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,SOCIALSECUR,GOODJUDGMENT,NO,DOLE,SAME,DIS/UNFAV,NO,INDEPEND,HSGRAD,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.5760000000000001
STATE ONLY,4.0,1.0,22.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,BEFORE,OMITS,OMITS,OMITS,WORLDAFFAIRS,GOODJUDGMENT,YES,OMITS,OMITS,,OMITS,,,,,,18-64,STATE,NOTCOMPLETE,EAST,30-44,30-39,,30-39,,,,0.5760000000000001
STATE ONLY,4.0,1.0,23.0,SECOND CALL,30-39,BLACK,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,OMITS,COMPLEXISSUE,YES,CLINTON,SAME,APP/FAV,YES,DEMOCRAT,,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.309
STATE ONLY,4.0,1.0,24.0,SECOND CALL,60-64,BLACK,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,HONEST,NO,CLINTON,SAME,APP/FAV,YES,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,0.41600000000000004
STATE ONLY,4.0,1.0,25.0,SECOND CALL,,BLACK,FEMALE,GORE,OMITS,OMITS,OMITS,OMITS,SOCIALSECUR,OMITS,OMITS,OMITS,OMITS,,OMITS,,,,,,,STATE,NOTCOMPLETE,EAST,,,,,,,,0.309
STATE ONLY,4.0,1.0,26.0,SECOND CALL,75+,BLACK,MALE,GORE,BEFORE,OMITS,OMITS,OMITS,EDUCATION,COMPLEXISSUE,OMITS,OMITS,OMITS,,OMITS,,,,,,65+,STATE,NOTCOMPLETE,EAST,60+,60+,,65+,,,,0.41600000000000004
STATE ONLY,4.0,1.0,27.0,SECOND CALL,30-39,BLACK,FEMALE,BUCHANAN,LAST.3DAYS,OMITS,OMITS,OMITS,ECON/JOBS,COMPLEXISSUE,NO,OMITS,OMITS,,OMITS,,,,,,18-64,STATE,NOTCOMPLETE,EAST,30-44,30-39,,30-39,,,,1.446
STATE ONLY,4.0,1.0,28.0,SECOND CALL,50-59,BLACK,FEMALE,GORE,LAST.3DAYS,APPROVE,FAVORABLE,GORE,MEDICARE/RX,CARES,YES,NOVOTE,SAME,APP/FAV,YES,DEMOCRAT,NOHS,OTHERCHRIST,LESS15K,MODERATE,18-64,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.309
STATE ONLY,4.0,1.0,29.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,LASTWEEK,OMITS,OMITS,OMITS,OMITS,COMPLEXISSUE,YES,OMITS,OMITS,,OMITS,,,,,,18-64,STATE,NOTCOMPLETE,EAST,60+,60+,,50-64,,,,0.406
STATE ONLY,4.0,1.0,30.0,SECOND CALL,60-64,BLACK,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,TAXES,CARES,OMITS,CLINTON,SAME,APP/FAV,YES,DEMOCRAT,HSGRAD,PROTESTANT,,,18-64,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,0.41600000000000004
STATE ONLY,4.0,1.0,31.0,SECOND CALL,65-74,BLACK,FEMALE,GORE,LASTWEEK,OMITS,OMITS,OMITS,OMITS,GOODJUDGMENT,OMITS,OMITS,OMITS,,OMITS,,,,,,65+,STATE,NOTCOMPLETE,EAST,60+,60+,,65+,,,,0.367
STATE ONLY,4.0,1.0,32.0,SECOND CALL,30-39,BLACK,FEMALE,GORE,LAST.MONTH,APPROVE,FAVORABLE,GORE,MEDICARE/RX,HONEST,YES,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.309
STATE ONLY,4.0,1.0,33.0,SECOND CALL,75+,BLACK,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,SOCIALSECUR,EXPERIENCE,NO,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,NOHS,OTHERCHRIST,LESS15K,LIBERAL,65+,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.41600000000000004
STATE ONLY,4.0,1.0,34.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,EDUCATION,STRONGLEADER,YES,PEROT,SAME,DIS/UNFAV,NO,REPUBLCN,POSTGRAD,PROTESTANT,50-75K,CONSERV,18-64,STATE,COMPLETE,EAST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.5760000000000001
NATIONAL WHITE,4.0,3.0,1.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,,APPROVE,FAVORABLE,GORE,EDUCATION,EXPERIENCE,NO,CLINTON,BETTER,APP/FAV,,DEMOCRAT,POSTGRAD,PROTESTANT,50-75K,LIBERAL,18-64,NATIONAL,COMPLETE,SOUTH,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.5700000000000001
NATIONAL WHITE,4.0,3.0,2.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,,DISAPPR,UNFAVORABLE,GORE,MEDICARE/RX,STRONGLEADER,YES,PEROT,SAME,DIS/UNFAV,,DEMOCRAT,HSGRAD,OTHERCHRIST,30-50K,LIBERAL,18-64,NATIONAL,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.5700000000000001
NATIONAL YELLOW,4.0,3.0,3.0,FIRST CALL,30-39,WHITE,MALE,GORE,,APPROVE,FAVORABLE,GORE,ECON/JOBS,CARES,NO,CLINTON,BETTER,APP/FAV,,DEMOCRAT,NOHS,CATHOLIC,15-30K,,18-64,NATIONAL,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,ECON/JOBS,CARES,0.517
NATIONAL YELLOW,4.0,3.0,4.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,,APPROVE,OMITS,GORE,SOCIALSECUR,EXPERIENCE,YES,CLINTON,WORSE,OMITS,,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,SOCIALSECUR,EXPERIENCE,0.5700000000000001
NATIONAL GREY,4.0,3.0,5.0,FIRST CALL,45-49,WHITE,MALE,GORE,BEFORE,,,,,,,,,,,DEMOCRAT,COLGRAD,,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,45-59,40-49,DEMOCRAT,40-49,,,,0.517
NATIONAL GREY,4.0,3.0,6.0,FIRST CALL,30-39,,FEMALE,BUSH,LAST.MONTH,,,,,,,,,,,INDEPEND,COLGRAD,,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,30-44,30-39,IND/OTHER,30-39,,,,0.664
NATIONAL PINK,4.0,3.0,7.0,FIRST CALL,65-74,WHITE,MALE,BUSH,,,,,,,NO,,,,,,,,,,65+,NATIONAL,COMPLETE,SOUTH,60+,60+,,65+,,,,0.647
NATIONAL PINK,4.0,3.0,8.0,FIRST CALL,50-59,WHITE,MALE,BUSH,,,,,,,NO,,,,,DEMOCRAT,,OTHERCHRIST,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.602
NATIONAL WHITE,4.0,3.0,9.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,,DISAPPR,UNFAVORABLE,GORE,EDUCATION,HONEST,YES,OTHER,SAME,DIS/UNFAV,,INDEPEND,COLGRAD,OTHERCHRIST,75-100K,LIBERAL,18-64,NATIONAL,COMPLETE,SOUTH,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.664
NATIONAL WHITE,4.0,3.0,10.0,SECOND CALL,45-49,BLACK,MALE,GORE,,APPROVE,FAVORABLE,WOULDNOTVOTE,WORLDAFFAIRS,HONEST,YES,CLINTON,BETTER,APP/FAV,,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.533
NATIONAL WHITE,4.0,3.0,11.0,SECOND CALL,45-49,BLACK,MALE,BUSH,,OMITS,OMITS,OMITS,HEALTHCARE,LIKEABLE,NO,OMITS,OMITS,,,,,,,,18-64,NATIONAL,NOTCOMPLETE,SOUTH,45-59,40-49,,40-49,,,,0.621
NATIONAL YELLOW,4.0,3.0,12.0,SECOND CALL,18-24,WHITE,MALE,GORE,,APPROVE,FAVORABLE,GORE,ECON/JOBS,CARES,NO,DOLE,WORSE,APP/FAV,,ELSE,NOHS,PROTESTANT,15-30K,LIBERAL,18-64,NATIONAL,COMPLETE,SOUTH,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,ECON/JOBS,CARES,0.778
NATIONAL YELLOW,4.0,3.0,13.0,SECOND CALL,65-74,BLACK,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,SOCIALSECUR,GOODJUDGMENT,NO,DOLE,WORSE,DIS/UNFAV,,REPUBLCN,HSGRAD,OTHERCHRIST,30-50K,MODERATE,65+,NATIONAL,COMPLETE,SOUTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,SOCIALSECUR,GOODJUDGMENT,0.667
NATIONAL YELLOW,4.0,3.0,14.0,SECOND CALL,30-39,BLACK,MALE,GORE,,APPROVE,FAVORABLE,GORE,EDUCATION,CARES,NO,CLINTON,WORSE,APP/FAV,,DEMOCRAT,NOHS,OTHERCHRIST,LESS15K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,EDUCATION,CARES,0.533
NATIONAL GREY,4.0,3.0,15.0,SECOND CALL,30-39,WHITE,FEMALE,NADER,BEFORE,,,,,,,,,,,INDEPEND,SOMCOL/ASSOC,,15-30K,,18-64,NATIONAL,COMPLETE,SOUTH,30-44,30-39,IND/OTHER,30-39,,,,1.173
NATIONAL GREY,4.0,3.0,16.0,SECOND CALL,40-44,BLACK,MALE,BUSH,BEFORE,,,,,,,,,,,,,,,,18-64,NATIONAL,NOTCOMPLETE,SOUTH,30-44,40-49,,40-49,,,,0.621
NATIONAL GREY,4.0,3.0,17.0,SECOND CALL,30-39,,FEMALE,BUSH,LAST.MONTH,,,,,,,,,,,INDEPEND,COLGRAD,,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,30-44,30-39,IND/OTHER,30-39,,,,0.664
NATIONAL PINK,4.0,3.0,18.0,SECOND CALL,18-24,WHITE,FEMALE,GORE,,,,,,,OMITS,,,,,DEMOCRAT,,CATHOLIC,LESS15K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,18-29,18-24,DEMOCRAT,18-24,CATHOLIC,,,0.857
NATIONAL PINK,4.0,3.0,19.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,,,,,,,NO,,,,,DEMOCRAT,,OTHERCHRIST,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.5700000000000001
NATIONAL WHITE,4.0,3.0,20.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,MEDICARE/RX,GOODJUDGMENT,NO,CLINTON,SAME,DIS/UNFAV,,REPUBLCN,NOHS,OTHERCHRIST,LESS15K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.664
NATIONAL WHITE,4.0,3.0,21.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,,APPROVE,FAVORABLE,GORE,TAXES,COMPLEXISSUE,NO,CLINTON,SAME,APP/FAV,,DEMOCRAT,HSGRAD,PROTESTANT,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.5700000000000001
NATIONAL WHITE,4.0,3.0,22.0,THIRD CALL,65-74,WHITE,MALE,GORE,,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,GOODJUDGMENT,NO,CLINTON,SAME,APP/UNFAV,,DEMOCRAT,HSGRAD,PROTESTANT,15-30K,MODERATE,65+,NATIONAL,COMPLETE,SOUTH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.556
NATIONAL WHITE,4.0,3.0,23.0,THIRD CALL,50-59,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,MEDICARE/RX,GOODJUDGMENT,NO,NOVOTE,SAME,DIS/UNFAV,,REPUBLCN,HSGRAD,OTHERCHRIST,LESS15K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.602
NATIONAL WHITE,4.0,3.0,24.0,THIRD CALL,40-44,WHITE,MALE,GORE,,APPROVE,FAVORABLE,GORE,MEDICARE/RX,GOODJUDGMENT,YES,CLINTON,BETTER,APP/FAV,,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.517
NATIONAL WHITE,4.0,3.0,25.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,TAXES,HONEST,NO,CLINTON,WORSE,DIS/UNFAV,,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.664
NATIONAL WHITE,4.0,3.0,26.0,THIRD CALL,30-39,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,GOODJUDGMENT,NO,DOLE,SAME,DIS/UNFAV,,REPUBLCN,HSGRAD,OTHERCHRIST,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.602
NATIONAL WHITE,4.0,3.0,27.0,THIRD CALL,30-39,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,STRONGLEADER,NO,DOLE,WORSE,DIS/UNFAV,,REPUBLCN,HSGRAD,OTHERCHRIST,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.602
NATIONAL YELLOW,4.0,3.0,28.0,THIRD CALL,18-24,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,EDUCATION,CARES,NO,NOVOTE,WORSE,DIS/UNFAV,,REPUBLCN,HSGRAD,OTHERCHRIST,LESS15K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,EDUCATION,CARES,0.907
NATIONAL YELLOW,4.0,3.0,29.0,THIRD CALL,18-24,WHITE,MALE,BUSH,,DISAPPR,FAVORABLE,BUSH,TAXES,GOODJUDGMENT,NO,NOVOTE,BETTER,DIS/FAV,,INDEPEND,HSGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,TAXES,GOODJUDGMENT,0.907
NATIONAL YELLOW,4.0,3.0,30.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,GOODJUDGMENT,YES,DOLE,SAME,DIS/UNFAV,,REPUBLCN,POSTGRAD,PROTESTANT,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,ECON/JOBS,GOODJUDGMENT,0.664
NATIONAL YELLOW,4.0,3.0,31.0,THIRD CALL,25-29,HISP,FEMALE,GORE,,APPROVE,FAVORABLE,GORE,SOCIALSECUR,EXPERIENCE,YES,CLINTON,BETTER,APP/FAV,,DEMOCRAT,HSGRAD,OTHERCHRIST,LESS15K,,18-64,NATIONAL,COMPLETE,SOUTH,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,SOCIALSECUR,EXPERIENCE,0.883
NATIONAL YELLOW,4.0,3.0,32.0,THIRD CALL,18-24,WHITE,MALE,BUSH,,APPROVE,FAVORABLE,BUSH,TAXES,HONEST,NO,CLINTON,BETTER,APP/FAV,,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,TAXES,HONEST,0.907
NATIONAL YELLOW,4.0,3.0,33.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,HONEST,YES,OTHER,WORSE,DIS/UNFAV,,REPUBLCN,HSGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,ECON/JOBS,HONEST,0.999
NATIONAL YELLOW,4.0,3.0,34.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,,APPROVE,FAVORABLE,GORE,EDUCATION,EXPERIENCE,NO,CLINTON,SAME,APP/FAV,,DEMOCRAT,,PROTESTANT,30-50K,MODERATE,65+,NATIONAL,COMPLETE,SOUTH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,EDUCATION,EXPERIENCE,0.612
NATIONAL YELLOW,4.0,3.0,35.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,GOODJUDGMENT,YES,DOLE,SAME,DIS/UNFAV,,REPUBLCN,POSTGRAD,PROTESTANT,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,ECON/JOBS,GOODJUDGMENT,0.664
NATIONAL GREY,4.0,3.0,36.0,THIRD CALL,30-39,BLACK,MALE,,LAST.MONTH,,,,,,,,,,,ELSE,HSGRAD,,15-30K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,30-44,30-39,IND/OTHER,30-39,,,,0.5750000000000001
