VERSION,STATEID,PRECINCT,SEQ,CALL,WGT,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,UNION4,FINSIT,JOBPERS,WORK,RACPRO,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,CORZMONY,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,LATINO,QRACE,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,31.0,4.0,12.0,FIRST CALL,1246.0,45-49,HISP,FEMALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,OMITS,SUBURBS,HEALTHCARE,GOODJUDGMENT,CLINTON,NONE,BETTER,APP/FAV,NO,VERYSERIOUS,DEMOCRAT,SUBURBS,POSTGRAD,PROTESTANT,AFEWAMONTH,OVER100K,YES,YES,,18-64,OTHRPROGRAMS,NOTTOOCONC,STATE,COMPLETE,BERGEN,45-59,40-49,DEMOCRAT,40-49,YES,,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,1.246
STATE ONLY,31.0,4.0,13.0,FIRST CALL,864.0,30-39,HISP,MALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,DOLE,NONE,SAME,DIS/UNFAV,YES,SOMEWHTSERI,REPUBLCN,SUBURBS,COLGRAD,CATHOLIC,AFEWAMONTH,50-75K,YES,YES,CONSERV,18-64,REDUCNATDEBT,SOMEWHATCONC,STATE,COMPLETE,BERGEN,30-44,30-39,REPUBLICAN,30-39,YES,WHITE,CATHOLIC,BOTH,ONLYGORE,PERSONALQUAL,,,0.864
STATE ONLY,31.0,4.0,14.0,FIRST CALL,1196.0,50-59,WHITE,FEMALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,HEALTHCARE,GOODJUDGMENT,CLINTON,NONE,SAME,DIS/UNFAV,YES,SOMEWHTSERI,REPUBLCN,SUBURBS,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,50-75K,YES,NO,MODERATE,18-64,SOCIALSECURI,NOTTOOCONC,STATE,COMPLETE,BERGEN,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,CATHOLIC,BOTH,BOTH,PERSONALQUAL,,,1.196
STATE ONLY,31.0,4.0,15.0,SECOND CALL,1272.0,45-49,WHITE,MALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,HEALTHCARE,HONEST,PEROT,ME,SAME,DIS/UNFAV,YES,VERYSERIOUS,INDEPEND,SUBURBS,COLGRAD,OTHERCHRIST,ONCEAWEEK,OVER100K,YES,NO,MODERATE,18-64,REDUCNATDEBT,VERYCONC,STATE,COMPLETE,BERGEN,45-59,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,BOTH,ONLYBUSH,PERSONALQUAL,,,1.272
STATE ONLY,31.0,4.0,16.0,SECOND CALL,3349.0,75+,WHITE,MALE,GORE,FRANKS,APPROVE,FAVORABLE,GORE,OMITS,SUBURBS,MEDICARE/RX,CARES,CLINTON,SOMEONEELSE,BETTER,APP/FAV,NO,VERYSERIOUS,REPUBLCN,SUBURBS,POSTGRAD,CATHOLIC,AFEWAMONTH,,NO,YES,,65+,SOCIALSECURI,VERYCONC,STATE,COMPLETE,BERGEN,60+,60+,REPUBLICAN,65+,NO,WHITE,CATHOLIC,BOTH,BOTH,ISSUES,,,3.349
STATE ONLY,31.0,4.0,17.0,SECOND CALL,1272.0,30-39,WHITE,MALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,HONEST,DOLE,NONE,SAME,DIS/UNFAV,YES,VERYSERIOUS,REPUBLCN,SUBURBS,COLGRAD,PROTESTANT,NEVER,30-50K,NO,NO,CONSERV,18-64,OMITS,VERYCONC,STATE,COMPLETE,BERGEN,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,BOTH,ONLYGORE,ISSUES,,,1.272
STATE ONLY,31.0,4.0,18.0,SECOND CALL,1196.0,30-39,WHITE,FEMALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,ECON/JOBS,STRONGLEADER,DOLE,NONE,BETTER,DIS/UNFAV,NO,SOMEWHTSERI,REPUBLCN,SUBURBS,COLGRAD,PROTESTANT,AFEWAYEAR,OVER100K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,NOTATALLCONC,STATE,COMPLETE,BERGEN,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,BOTH,NEITHER,ISSUES,,,1.196
STATE ONLY,31.0,4.0,19.0,SECOND CALL,1953.0,40-44,WHITE,MALE,GORE,CORZINE,APPROVE,UNFAVORABLE,GORE,OMITS,SUBURBS,WORLDAFFAIRS,EXPERIENCE,CLINTON,NONE,BETTER,APP/UNFAV,YES,SOMEWHTSERI,INDEPEND,SUBURBS,COLGRAD,PROTESTANT,AFEWAYEAR,OVER100K,YES,YES,MODERATE,18-64,REDUCNATDEBT,NOTATALLCONC,STATE,COMPLETE,BERGEN,30-44,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,BOTH,NEITHER,ISSUES,,,1.953
STATE ONLY,31.0,4.0,20.0,SECOND CALL,2855.0,65-74,WHITE,FEMALE,GORE,CORZINE,OMITS,OMITS,OMITS,MORE,SUBURBS,MEDICARE/RX,EXPERIENCE,OMITS,NONE,OMITS,,,SOMEWHTSERI,,SUBURBS,,,OMITS,,,,,65+,OMITS,SOMEWHATCONC,STATE,NOTCOMPLETE,BERGEN,60+,60+,,65+,NO,WHITE,,OMITS,OMITS,OMITS,,,2.855
STATE ONLY,31.0,4.0,21.0,SECOND CALL,1860.0,60-64,WHITE,FEMALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,STRONGLEADER,DOLE,NONE,WORSE,DIS/UNFAV,NO,SOMEWHTSERI,REPUBLCN,SUBURBS,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,50-75K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,BERGEN,60+,60+,REPUBLICAN,50-64,NO,WHITE,CATHOLIC,BOTH,ONLYGORE,ISSUES,,,1.86
STATE ONLY,31.0,4.0,22.0,SECOND CALL,2855.0,65-74,WHITE,FEMALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,HEALTHCARE,EXPERIENCE,DOLE,NONE,WORSE,APP/FAV,NO,NOTATALLSERI,INDEPEND,SUBURBS,POSTGRAD,NONE,NEVER,30-50K,NO,NO,CONSERV,65+,REDUCNATDEBT,NOTATALLCONC,STATE,COMPLETE,BERGEN,60+,60+,IND/OTHER,65+,NO,WHITE,NONE,BOTH,BOTH,ISSUES,,,2.855
STATE ONLY,31.0,4.0,23.0,SECOND CALL,1836.0,45-49,WHITE,FEMALE,GORE,CORZINE,APPROVE,UNFAVORABLE,GORE,OMITS,SUBURBS,ECON/JOBS,COMPLEXISSUE,CLINTON,NONE,BETTER,APP/UNFAV,YES,SOMEWHTSERI,DEMOCRAT,SUBURBS,HSGRAD,CATHOLIC,AFEWAYEAR,OVER100K,YES,YES,MODERATE,18-64,REDUCNATDEBT,VERYCONC,STATE,COMPLETE,BERGEN,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,CATHOLIC,ONLYGORE,BOTH,PERSONALQUAL,,,1.836
STATE ONLY,31.0,4.0,24.0,SECOND CALL,1272.0,50-59,WHITE,MALE,BUSH,FRANKS,DISAPPR,OMITS,BUSH,LESS,SUBURBS,ECON/JOBS,HONEST,CLINTON,SOMEONEELSE,WORSE,OMITS,NO,NOTTOOSERIO,REPUBLCN,SUBURBS,POSTGRAD,PROTESTANT,NEVER,75-100K,YES,NO,CONSERV,18-64,SOCIALSECURI,SOMEWHATCONC,STATE,COMPLETE,BERGEN,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,BOTH,ONLYGORE,PERSONALQUAL,,,1.272
STATE ONLY,31.0,4.0,25.0,THIRD CALL,1272.0,30-39,WHITE,MALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,EDUCATION,HONEST,DOLE,NONE,BETTER,DIS/UNFAV,YES,NOTTOOSERIO,REPUBLCN,SUBURBS,COLGRAD,CATHOLIC,ONCEAWEEK,50-75K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,NOTTOOCONC,STATE,COMPLETE,BERGEN,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,CATHOLIC,BOTH,NEITHER,PERSONALQUAL,,,1.272
STATE ONLY,31.0,4.0,26.0,THIRD CALL,980.0,40-44,HISP,MALE,NADER,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,OMITS,CARES,NOVOTE,NONE,SAME,DIS/UNFAV,YES,NOTTOOSERIO,INDEPEND,SUBURBS,COLGRAD,CATHOLIC,AFEWAYEAR,75-100K,YES,NO,MODERATE,18-64,REDUCNATDEBT,VERYCONC,STATE,COMPLETE,BERGEN,30-44,40-49,IND/OTHER,40-49,YES,HISP,CATHOLIC,NEITHER,ONLYGORE,ISSUES,,,0.98
STATE ONLY,31.0,4.0,27.0,THIRD CALL,1953.0,50-59,WHITE,MALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,WORLDAFFAIRS,EXPERIENCE,DOLE,NONE,BETTER,APP/FAV,YES,SOMEWHTSERI,INDEPEND,SUBURBS,POSTGRAD,CATHOLIC,NEVER,OVER100K,YES,YES,MODERATE,18-64,REDUCNATDEBT,SOMEWHATCONC,STATE,COMPLETE,BERGEN,45-59,50-59,IND/OTHER,50-64,NO,WHITE,CATHOLIC,ONLYGORE,NEITHER,ISSUES,,,1.953
STATE ONLY,31.0,4.0,28.0,THIRD CALL,1836.0,45-49,WHITE,FEMALE,GORE,CORZINE,APPROVE,OMITS,GORE,LESS,SUBURBS,EDUCATION,EXPERIENCE,CLINTON,ME,SAME,OMITS,YES,SOMEWHTSERI,DEMOCRAT,SUBURBS,POSTGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,NOTTOOCONC,STATE,COMPLETE,BERGEN,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,CATHOLIC,OMITS,BOTH,ISSUES,,,1.836
STATE ONLY,31.0,4.0,29.0,THIRD CALL,1437.0,25-29,WHITE,MALE,BUSH,FRANKS,DISAPPR,OMITS,BUSH,LESS,SUBURBS,TAXES,COMPLEXISSUE,DOLE,NONE,SAME,OMITS,YES,NOTATALLSERI,REPUBLCN,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,30-50K,NO,NO,CONSERV,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,BERGEN,18-29,25-29,REPUBLICAN,25-29,NO,WHITE,CATHOLIC,ONLYBUSH,ONLYGORE,ISSUES,,,1.437
STATE ONLY,31.0,4.0,30.0,THIRD CALL,1272.0,30-39,WHITE,MALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,EDUCATION,HONEST,DOLE,ME,SAME,DIS/UNFAV,YES,NOTATALLSERI,REPUBLCN,SUBURBS,POSTGRAD,PROTESTANT,ONCEAWEEK,75-100K,YES,YES,CONSERV,18-64,REDUCNATDEBT,NOTATALLCONC,STATE,COMPLETE,BERGEN,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,ONLYBUSH,NEITHER,PERSONALQUAL,,,1.272
STATE ONLY,31.0,4.0,31.0,THIRD CALL,1836.0,30-39,WHITE,FEMALE,GORE,CORZINE,APPROVE,OMITS,GORE,OMITS,SUBURBS,OMITS,EXPERIENCE,CLINTON,NONE,BETTER,OMITS,YES,VERYSERIOUS,DEMOCRAT,SUBURBS,COLGRAD,CATHOLIC,AFEWAMONTH,OVER100K,NO,NO,MODERATE,18-64,OMITS,NOTATALLCONC,STATE,COMPLETE,BERGEN,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,CATHOLIC,ONLYGORE,BOTH,OMITS,,,1.836
STATE ONLY,31.0,4.0,32.0,THIRD CALL,1196.0,40-44,WHITE,FEMALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,ECON/JOBS,EXPERIENCE,CLINTON,NONE,BETTER,DIS/UNFAV,YES,NOTTOOSERIO,INDEPEND,SUBURBS,POSTGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,NOTTOOCONC,STATE,COMPLETE,BERGEN,30-44,40-49,IND/OTHER,40-49,NO,WHITE,CATHOLIC,BOTH,BOTH,ISSUES,,,1.196
STATE ONLY,31.0,4.0,33.0,THIRD CALL,1980.0,65-74,WHITE,MALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,MEDICARE/RX,CARES,DOLE,NONE,SAME,DIS/UNFAV,NO,NOTTOOSERIO,REPUBLCN,SUBURBS,HSGRAD,PROTESTANT,AFEWAMONTH,LESS15K,NO,NO,MODERATE,65+,REDUCNATDEBT,VERYCONC,STATE,COMPLETE,BERGEN,60+,60+,REPUBLICAN,65+,NO,WHITE,PROT/CHRIST,NEITHER,BOTH,ISSUES,,,1.98
STATE ONLY,31.0,4.0,34.0,THIRD CALL,1836.0,30-39,WHITE,FEMALE,GORE,CORZINE,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,OMITS,HONEST,CLINTON,NONE,SAME,APP/FAV,YES,SOMEWHTSERI,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,OVER100K,YES,YES,MODERATE,18-64,SOCIALSECURI,NOTTOOCONC,STATE,COMPLETE,BERGEN,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,PROT/CHRIST,ONLYGORE,NEITHER,ISSUES,,,1.836
STATE ONLY,31.0,4.0,35.0,THIRD CALL,1272.0,45-49,WHITE,MALE,BUSH,FRANKS,OMITS,OMITS,OMITS,LESS,SUBURBS,ECON/JOBS,HONEST,OMITS,NONE,OMITS,,,NOTTOOSERIO,,SUBURBS,,,OMITS,,,,,18-64,OMITS,VERYCONC,STATE,NOTCOMPLETE,BERGEN,45-59,40-49,,40-49,NO,WHITE,,OMITS,OMITS,OMITS,,,1.272
STATE ONLY,31.0,4.0,36.0,THIRD CALL,1196.0,50-59,WHITE,FEMALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,HONEST,DOLE,NONE,SAME,DIS/UNFAV,YES,NOTTOOSERIO,REPUBLCN,SUBURBS,POSTGRAD,CATHOLIC,ONCEAWEEK,75-100K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,BERGEN,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,CATHOLIC,ONLYBUSH,ONLYGORE,ISSUES,,,1.196
STATE ONLY,31.0,4.0,37.0,THIRD CALL,1196.0,45-49,,FEMALE,BUSH,FRANKS,APPROVE,UNFAVORABLE,WOULDNOTVOTE,LESS,SUBURBS,OMITS,HONEST,DOLE,NONE,BETTER,APP/UNFAV,,NOTTOOSERIO,,SUBURBS,HSGRAD,CATHOLIC,NEVER,75-100K,YES,YES,CONSERV,18-64,REDUCNATDEBT,VERYCONC,STATE,COMPLETE,BERGEN,45-59,40-49,,40-49,NO,,CATHOLIC,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,1.196
STATE ONLY,31.0,4.0,38.0,THIRD CALL,1437.0,18-24,,MALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,LIKEABLE,DOLE,ME,BETTER,DIS/UNFAV,NO,SOMEWHTSERI,REPUBLCN,SUBURBS,COLGRAD,CATHOLIC,ONCEAWEEK,OVER100K,NO,NO,CONSERV,18-64,CUTFEDINCTAX,NOTATALLCONC,STATE,COMPLETE,BERGEN,18-29,18-24,REPUBLICAN,18-24,NO,,CATHOLIC,NEITHER,BOTH,ISSUES,,,1.437
STATE ONLY,31.0,4.0,39.0,THIRD CALL,1272.0,30-39,WHITE,MALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,PEROT,NONE,SAME,DIS/UNFAV,YES,NOTTOOSERIO,INDEPEND,SUBURBS,POSTGRAD,PROTESTANT,MORETHAN1AWK,30-50K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,NOTATALLCONC,STATE,COMPLETE,BERGEN,30-44,30-39,IND/OTHER,30-39,NO,WHITE,PROT/CHRIST,BOTH,ONLYGORE,PERSONALQUAL,,,1.272
STATE ONLY,31.0,4.0,40.0,THIRD CALL,1272.0,45-49,WHITE,MALE,BUSH,FRANKS,APPROVE,FAVORABLE,BUSH,MORE,SUBURBS,OMITS,HONEST,CLINTON,NONE,BETTER,APP/FAV,YES,NOTTOOSERIO,DEMOCRAT,SUBURBS,COLGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,YES,MODERATE,18-64,SOCIALSECURI,NOTTOOCONC,STATE,COMPLETE,BERGEN,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,CATHOLIC,BOTH,NEITHER,ISSUES,,,1.272
STATE ONLY,31.0,4.0,41.0,THIRD CALL,1953.0,45-49,WHITE,MALE,GORE,CORZINE,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,COMPLEXISSUE,PEROT,NONE,BETTER,APP/UNFAV,YES,SOMEWHTSERI,INDEPEND,SUBURBS,POSTGRAD,OTHERCHRIST,NEVER,50-75K,NO,NO,MODERATE,18-64,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,BERGEN,45-59,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,1.953
STATE ONLY,31.0,4.0,42.0,THIRD CALL,1272.0,40-44,,MALE,BUSH,FRANKS,DISAPPR,FAVORABLE,WOULDNOTVOTE,LESS,SUBURBS,WORLDAFFAIRS,GOODJUDGMENT,NOVOTE,NONE,BETTER,DIS/FAV,YES,SOMEWHTSERI,INDEPEND,SUBURBS,HSGRAD,PROTESTANT,ONCEAWEEK,OVER100K,YES,YES,MODERATE,18-64,SOCIALSECURI,SOMEWHATCONC,STATE,COMPLETE,BERGEN,30-44,40-49,IND/OTHER,40-49,NO,,PROT/CHRIST,BOTH,BOTH,PERSONALQUAL,,,1.272
STATE ONLY,31.0,4.0,43.0,THIRD CALL,1272.0,40-44,WHITE,MALE,BUSH,FRANKS,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,CARES,DOLE,NONE,SAME,APP/UNFAV,YES,SOMEWHTSERI,INDEPEND,SUBURBS,POSTGRAD,JEWISH,AFEWAYEAR,OVER100K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,SOMEWHATCONC,STATE,COMPLETE,BERGEN,30-44,40-49,IND/OTHER,40-49,NO,WHITE,JEWISH,BOTH,ONLYGORE,ISSUES,,,1.272
STATE ONLY,31.0,6.0,1.0,FIRST CALL,781.0,45-49,WHITE,MALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,HONEST,DOLE,NONE,WORSE,DIS/UNFAV,YES,SOMEWHTSERI,REPUBLCN,SUBURBS,POSTGRAD,PROTESTANT,MORETHAN1AWK,30-50K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,VERYCONC,STATE,COMPLETE,BERGEN,45-59,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,BOTH,ONLYGORE,ISSUES,,,0.781
