VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,HOU,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,UNION4,ABORTION,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,TELEPOLL,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,HISPANIC,QRACE,REL5,TRACK,PRESKNOW,FTVOTER,SAYANY,ISSVQUAL,VNS1,VNS2,GAY,CLINPRES,NEC,FEC,CLINECON,WEIGHT
STATE ONLY,38.0,1.0,23.0,FIRST CALL,45-49,WHITE,MALE,GORE,APPROVE,FAVORABLE,,GORE,MORE,,HEALTHCARE,EXPERIENCE,NO,CLINTON,NONE,MOSTLGL,WORSE,APP/FAV,NO,DEMOCRAT,,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,15-30K,NO,NO,LIBERAL,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,45-59,40-49,DEMOCRAT,40-49,NO,,PROT/CHRIST,RIGHTDIR,ONLYGORE,NO,NEITHER,PERSONALQUAL,,,NO,NEITHER,GOOD,SAME,VERYRESPONSI,0.79
STATE ONLY,38.0,1.0,24.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,DISAPPR,FAVORABLE,,GORE,MORE,,HEALTHCARE,HONEST,NO,CLINTON,ME,MOSTLGL,WORSE,DIS/FAV,YES,DEMOCRAT,,COLGRAD,OTHERCHRIST,NEVER,15-30K,NO,YES,LIBERAL,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,30-44,40-49,DEMOCRAT,40-49,NO,,PROT/CHRIST,WRONGTRACK,ONLYGORE,NO,ONLYBUSH,ISSUES,,,NO,NEITHER,GOOD,WORSE,SOMEWHATRESP,0.725
STATE ONLY,38.0,1.0,25.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,,GORE,MORE,,HEALTHCARE,CARES,NO,CLINTON,NONE,MOSTLGL,BETTER,APP/UNFAV,YES,DEMOCRAT,,COLGRAD,PROTESTANT,AFEWAYEAR,30-50K,YES,YES,LIBERAL,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,30-44,30-39,DEMOCRAT,30-39,NO,,PROT/CHRIST,RIGHTDIR,BOTH,NO,NEITHER,ISSUES,,,NO,NEITHER,EXCEL,SAME,SOMEWHATRESP,1.449
STATE ONLY,38.0,1.0,26.0,FIRST CALL,18-24,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,,GORE,LESS,,SOCIALSECUR,EXPERIENCE,NO,NOVOTE,NONE,MOSTLGL,BETTER,APP/FAV,YES,DEMOCRAT,,SOMCOL/ASSOC,NONE,AFEWAYEAR,15-30K,YES,YES,LIBERAL,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,18-29,18-24,DEMOCRAT,18-24,NO,,NONE,WRONGTRACK,NEITHER,NO,ONLYBUSH,ISSUES,,,NO,NEITHER,POOR,SAME,SOMEWHATRESP,0.85
STATE ONLY,38.0,1.0,27.0,FIRST CALL,40-44,OTHER,FEMALE,GORE,APPROVE,FAVORABLE,,GORE,MORE,,HEALTHCARE,COMPLEXISSUE,NO,CLINTON,NONE,MOSTLGL,WORSE,APP/FAV,YES,ELSE,,COLGRAD,OTHERCHRIST,AFEWAYEAR,30-50K,NO,NO,MODERATE,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,30-44,40-49,IND/OTHER,40-49,NO,,PROT/CHRIST,WRONGTRACK,ONLYGORE,NO,ONLYBUSH,ISSUES,,,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,0.545
STATE ONLY,38.0,1.0,28.0,FIRST CALL,45-49,WHITE,MALE,GORE,APPROVE,FAVORABLE,,GORE,MORE,,EDUCATION,EXPERIENCE,NO,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,YES,INDEPEND,,COLGRAD,OTHERCHRIST,AFEWAYEAR,75-100K,YES,NO,MODERATE,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,45-59,40-49,IND/OTHER,40-49,NO,,PROT/CHRIST,RIGHTDIR,ONLYGORE,NO,ONLYBUSH,ISSUES,,,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,1.19
STATE ONLY,38.0,1.0,29.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,,GORE,OMITS,,EDUCATION,GOODJUDGMENT,NO,CLINTON,ME,MOSTLGL,BETTER,APP/UNFAV,NO,INDEPEND,,COLGRAD,PROTESTANT,AFEWAYEAR,OVER100K,YES,YES,MODERATE,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,30-44,30-39,IND/OTHER,30-39,NO,,PROT/CHRIST,RIGHTDIR,BOTH,NO,BOTH,ISSUES,,,NO,NEITHER,EXCEL,WORSE,SOMEWHATRESP,1.091
STATE ONLY,38.0,1.0,30.0,FIRST CALL,25-29,WHITE,MALE,GORE,APPROVE,FAVORABLE,,GORE,MORE,,EDUCATION,EXPERIENCE,NO,CLINTON,NONE,ALWYSLGL,BETTER,APP/FAV,NO,ELSE,,SOMCOL/ASSOC,NONE,NEVER,LESS15K,NO,YES,LIBERAL,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,18-29,25-29,IND/OTHER,25-29,NO,,NONE,WRONGTRACK,ONLYGORE,NO,ONLYBUSH,PERSONALQUAL,,,NO,NEITHER,EXCEL,SAME,VERYRESPONSI,1.313
STATE ONLY,38.0,1.0,31.0,FIRST CALL,25-29,WHITE,MALE,GORE,APPROVE,FAVORABLE,,GORE,MORE,,EDUCATION,STRONGLEADER,NO,CLINTON,NONE,ALWYSLGL,BETTER,APP/FAV,YES,DEMOCRAT,,COLGRAD,NONE,NEVER,30-50K,NO,NO,LIBERAL,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,18-29,25-29,DEMOCRAT,25-29,NO,,NONE,RIGHTDIR,ONLYGORE,NO,NEITHER,ISSUES,,,NO,OPPOSECLIN,EXCEL,BETTER,VERYRESPONSI,1.744
STATE ONLY,38.0,1.0,32.0,FIRST CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,,BUSH,LESS,,WORLDAFFAIRS,HONEST,NO,DOLE,NONE,MOSTLGL,SAME,DIS/UNFAV,YES,ELSE,,COLGRAD,NONE,NEVER,50-75K,NO,NO,MODERATE,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,30-44,30-39,IND/OTHER,30-39,NO,,NONE,RIGHTDIR,BOTH,NO,ONLYGORE,PERSONALQUAL,,,NO,NEITHER,EXCEL,SAME,NOTTOORESPON,1.192
STATE ONLY,38.0,1.0,33.0,FIRST CALL,75+,WHITE,MALE,GORE,APPROVE,OMITS,,GORE,MORE,,SOCIALSECUR,EXPERIENCE,NO,CLINTON,NONE,ALWYSLGL,BETTER,OMITS,NO,DEMOCRAT,,COLGRAD,,AFEWAYEAR,30-50K,YES,NO,MODERATE,65+,PHONESVY,STATE,COMPLETE,MULTNOMAH,60+,60+,DEMOCRAT,65+,NO,,,RIGHTDIR,ONLYGORE,NO,OMITS,ISSUES,,,,NEITHER,EXCEL,OMITS,VERYRESPONSI,1.742
STATE ONLY,38.0,1.0,34.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,,GORE,MORE,,EDUCATION,COMPLEXISSUE,NO,OTHER,NONE,MOSTLGL,SAME,APP/FAV,NO,INDEPEND,,POSTGRAD,JEWISH,AFEWAYEAR,30-50K,YES,YES,LIBERAL,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,45-59,40-49,IND/OTHER,40-49,NO,,JEWISH,OMITS,ONLYGORE,NO,BOTH,ISSUES,,,NO,NEITHER,GOOD,OMITS,SOMEWHATRESP,0.494
STATE ONLY,38.0,1.0,35.0,FIRST CALL,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,,BUSH,LESS,,TAXES,GOODJUDGMENT,YES,DOLE,NONE,ALWYSILL,SAME,DIS/UNFAV,YES,REPUBLCN,,COLGRAD,OTHERCHRIST,ONCEAWEEK,75-100K,NO,NO,LIBERAL,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,30-44,40-49,REPUBLICAN,40-49,NO,,PROT/CHRIST,WRONGTRACK,BOTH,NO,ONLYGORE,ISSUES,,,NO,OPPOSECLIN,GOOD,SAME,NOTATALLRESP,0.9400000000000001
STATE ONLY,38.0,1.0,36.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,,BUSH,LESS,,WORLDAFFAIRS,HONEST,NO,CLINTON,SOMEONEELSE,MOSTILL,SAME,DIS/UNFAV,NO,DEMOCRAT,,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,30-44,30-39,DEMOCRAT,30-39,NO,,PROT/CHRIST,WRONGTRACK,BOTH,NO,BOTH,ISSUES,,,NO,OPPOSECLIN,GOOD,SAME,SOMEWHATRESP,0.658
STATE ONLY,38.0,1.0,37.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,DISAPPR,UNFAVORABLE,,GORE,OMITS,,ECON/JOBS,GOODJUDGMENT,NO,OMITS,NONE,ALWYSLGL,WORSE,DIS/UNFAV,YES,DEMOCRAT,,HSGRAD,NONE,NEVER,50-75K,NO,NO,LIBERAL,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,45-59,50-59,DEMOCRAT,50-64,NO,,NONE,RIGHTDIR,ONLYGORE,NO,BOTH,PERSONALQUAL,,,NO,NEITHER,GOOD,OMITS,SOMEWHATRESP,0.219
STATE ONLY,38.0,1.0,38.0,FIRST CALL,40-44,WHITE,MALE,GORE,APPROVE,FAVORABLE,,GORE,MORE,,OMITS,COMPLEXISSUE,NO,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,YES,DEMOCRAT,,HSGRAD,NONE,AFEWAYEAR,30-50K,YES,YES,MODERATE,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,30-44,40-49,DEMOCRAT,40-49,NO,,NONE,RIGHTDIR,ONLYGORE,NO,ONLYBUSH,ISSUES,,,NO,NEITHER,EXCEL,OMITS,VERYRESPONSI,1.744
STATE ONLY,38.0,1.0,39.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,,BUSH,MORE,,EDUCATION,HONEST,NO,DOLE,NONE,MOSTILL,BETTER,DIS/UNFAV,YES,REPUBLCN,,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,15-30K,YES,NO,CONSERV,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,18-29,18-24,REPUBLICAN,18-24,NO,,PROT/CHRIST,WRONGTRACK,BOTH,NO,BOTH,PERSONALQUAL,,,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,1.223
STATE ONLY,38.0,1.0,40.0,FIRST CALL,,WHITE,FEMALE,BUSH,OMITS,UNFAVORABLE,,BUSH,LESS,,MEDICARE/RX,HONEST,NO,DOLE,SOMEONEELSE,ALWYSLGL,SAME,OMITS,YES,REPUBLCN,,POSTGRAD,,OMITS,,,NO,MODERATE,,PHONESVY,STATE,COMPLETE,MULTNOMAH,,,REPUBLICAN,,NO,,,RIGHTDIR,NEITHER,NO,BOTH,ISSUES,,,,NEITHER,GOOD,SAME,SOMEWHATRESP,1.028
STATE ONLY,38.0,1.0,41.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,,GORE,MORE,,EDUCATION,COMPLEXISSUE,NO,CLINTON,ME,ALWYSLGL,BETTER,APP/FAV,YES,DEMOCRAT,,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,75-100K,YES,YES,MODERATE,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,45-59,40-49,DEMOCRAT,40-49,NO,,PROT/CHRIST,RIGHTDIR,BOTH,NO,NEITHER,ISSUES,,,NO,NEITHER,EXCEL,SAME,VERYRESPONSI,1.97
STATE ONLY,38.0,1.0,42.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,,GORE,MORE,,OMITS,COMPLEXISSUE,NO,CLINTON,NONE,ALWYSLGL,BETTER,APP/FAV,NO,DEMOCRAT,,POSTGRAD,NONE,AFEWAYEAR,75-100K,YES,NO,LIBERAL,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,60+,60+,DEMOCRAT,50-64,NO,,NONE,OMITS,ONLYGORE,NO,BOTH,ISSUES,,,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,1.313
STATE ONLY,38.0,1.0,43.0,FIRST CALL,25-29,WHITE,MALE,OTHER,APPROVE,FAVORABLE,,GORE,LESS,,ECON/JOBS,EXPERIENCE,NO,OTHER,NONE,ALWYSLGL,WORSE,APP/FAV,NO,ELSE,,SOMCOL/ASSOC,NONE,NEVER,30-50K,NO,NO,,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,18-29,25-29,IND/OTHER,25-29,NO,,NONE,RIGHTDIR,NEITHER,NO,BOTH,ISSUES,,,NO,NEITHER,EXCEL,SAME,NOTTOORESPON,0.586
