VERSION,STATEID,PRECINCT,SEQ,CALL,WGT,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,EVOLCREA,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,17.0,10.0,13.0,FIRST CALL,2546.0,60-64,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,DOLE,SAME,APP/UNFAV,DEMOCRAT,PROTESTANT,30-50K,MODERATE,18-64,BOTH,STATE,WICHITA,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,2.5460000000000003
STATE ONLY,17.0,10.0,14.0,FIRST CALL,2546.0,60-64,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,LESS15K,LIBERAL,18-64,BOTH,STATE,WICHITA,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,2.5460000000000003
STATE ONLY,17.0,10.0,15.0,FIRST CALL,1653.0,65-74,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,15-30K,MODERATE,65+,BOTH,STATE,WICHITA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.653
STATE ONLY,17.0,10.0,16.0,FIRST CALL,1740.0,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,75-100K,,18-64,BOTH,STATE,WICHITA,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.74
STATE ONLY,17.0,10.0,17.0,FIRST CALL,2546.0,65-74,,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,CLINTON,WORSE,APP/FAV,DEMOCRAT,PROTESTANT,LESS15K,MODERATE,65+,OMITS,STATE,WICHITA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,2.5460000000000003
STATE ONLY,17.0,10.0,18.0,FIRST CALL,1607.0,25-29,WHITE,FEMALE,BUSH,APPROVE,FAVORABLE,BUSH,NO,DOLE,BETTER,APP/FAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,18-64,CREATIONISM,STATE,WICHITA,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,1.607
STATE ONLY,17.0,10.0,19.0,FIRST CALL,3526.0,65-74,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,WORSE,DIS/UNFAV,INDEPEND,PROTESTANT,15-30K,CONSERV,65+,BOTH,STATE,WICHITA,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,3.5260000000000002
STATE ONLY,17.0,10.0,20.0,FIRST CALL,2595.0,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,DEMOCRAT,PROTESTANT,30-50K,MODERATE,18-64,BOTH,STATE,WICHITA,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,2.595
STATE ONLY,17.0,10.0,21.0,FIRST CALL,1740.0,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,75-100K,MODERATE,18-64,EVOLUTION,STATE,WICHITA,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.74
STATE ONLY,17.0,10.0,22.0,FIRST CALL,1740.0,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,BOTH,STATE,WICHITA,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.74
STATE ONLY,17.0,10.0,23.0,FIRST CALL,3801.0,75+,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,30-50K,MODERATE,65+,BOTH,STATE,WICHITA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,3.801
STATE ONLY,17.0,10.0,24.0,SECOND CALL,1740.0,45-49,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,YES,PEROT,SAME,APP/UNFAV,INDEPEND,PROTESTANT,50-75K,CONSERV,18-64,CREATIONISM,STATE,WICHITA,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.74
STATE ONLY,17.0,10.0,25.0,SECOND CALL,2546.0,65-74,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,YES,CLINTON,SAME,APP/UNFAV,DEMOCRAT,PROTESTANT,,MODERATE,65+,BOTH,STATE,WICHITA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,2.5460000000000003
STATE ONLY,17.0,10.0,26.0,SECOND CALL,1256.0,50-59,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,75-100K,LIBERAL,18-64,BOTH,STATE,WICHITA,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.256
STATE ONLY,17.0,10.0,27.0,SECOND CALL,1653.0,75+,BLACK,,GORE,APPROVE,OMITS,GORE,OMITS,CLINTON,SAME,OMITS,DEMOCRAT,PROTESTANT,LESS15K,MODERATE,65+,OMITS,STATE,WICHITA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.653
STATE ONLY,17.0,10.0,28.0,SECOND CALL,1607.0,25-29,WHITE,FEMALE,BUSH,APPROVE,FAVORABLE,BUSH,NO,DOLE,BETTER,APP/FAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,18-64,CREATIONISM,STATE,WICHITA,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,1.607
STATE ONLY,17.0,10.0,29.0,SECOND CALL,1168.0,65-74,,,BUCHANAN,DISAPPR,UNFAVORABLE,BUSH,YES,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,CONSERV,65+,CREATIONISM,STATE,WICHITA,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.168
STATE ONLY,17.0,10.0,30.0,SECOND CALL,3526.0,65-74,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,WORSE,DIS/UNFAV,INDEPEND,PROTESTANT,15-30K,CONSERV,65+,BOTH,STATE,WICHITA,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,3.5260000000000002
STATE ONLY,17.0,10.0,31.0,THIRD CALL,1607.0,18-24,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,CONSERV,18-64,CREATIONISM,STATE,WICHITA,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,1.607
STATE ONLY,17.0,10.0,32.0,THIRD CALL,753.0,18-24,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,NOVOTE,SAME,APP/FAV,DEMOCRAT,OTHERCHRIST,15-30K,LIBERAL,18-64,BOTH,STATE,WICHITA,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.753
STATE ONLY,17.0,10.0,33.0,THIRD CALL,2595.0,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,CONSERV,18-64,CREATIONISM,STATE,WICHITA,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,2.595
STATE ONLY,17.0,10.0,34.0,THIRD CALL,1256.0,40-44,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,NOVOTE,SAME,APP/UNFAV,DEMOCRAT,PROTESTANT,30-50K,MODERATE,18-64,BOTH,STATE,WICHITA,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.256
STATE ONLY,17.0,10.0,35.0,THIRD CALL,1874.0,40-44,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,DOLE,SAME,APP/FAV,DEMOCRAT,OTHERCHRIST,30-50K,CONSERV,18-64,BOTH,STATE,WICHITA,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.874
STATE ONLY,17.0,10.0,36.0,THIRD CALL,2595.0,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,CONSERV,18-64,CREATIONISM,STATE,WICHITA,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,2.595
STATE ONLY,17.0,10.0,37.0,THIRD CALL,1256.0,50-59,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,WORSE,APP/FAV,DEMOCRAT,PROTESTANT,15-30K,MODERATE,18-64,BOTH,STATE,WICHITA,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.256
STATE ONLY,17.0,10.0,38.0,THIRD CALL,1256.0,30-39,WHITE,FEMALE,GORE,DISAPPR,UNFAVORABLE,GORE,YES,NOVOTE,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,LESS15K,CONSERV,18-64,BOTH,STATE,WICHITA,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.256
STATE ONLY,17.0,10.0,39.0,THIRD CALL,3801.0,65-74,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,30-50K,LIBERAL,65+,BOTH,STATE,WICHITA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,3.801
STATE ONLY,17.0,10.0,40.0,THIRD CALL,1607.0,18-24,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,OMITS,BETTER,DIS/UNFAV,INDEPEND,,,,18-64,BOTH,STATE,WICHITA,18-29,18-24,IND/OTHER,18-24,,,,1.607
STATE ONLY,17.0,10.0,41.0,THIRD CALL,3964.0,50-59,WHITE,MALE,NADER,DISAPPR,UNFAVORABLE,BUSH,NO,PEROT,BETTER,DIS/UNFAV,INDEPEND,ELSE,30-50K,LIBERAL,18-64,BOTH,STATE,WICHITA,45-59,50-59,IND/OTHER,50-64,OTHER,,,3.964
STATE ONLY,17.0,10.0,42.0,THIRD CALL,1740.0,45-49,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,PROTESTANT,30-50K,CONSERV,18-64,CREATIONISM,STATE,WICHITA,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.74
STATE ONLY,17.0,10.0,43.0,THIRD CALL,1607.0,18-24,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,15-30K,CONSERV,18-64,BOTH,STATE,WICHITA,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,1.607
STATE ONLY,17.0,10.0,44.0,THIRD CALL,1607.0,18-24,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,LESS15K,MODERATE,18-64,OMITS,STATE,WICHITA,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,1.607
STATE ONLY,17.0,10.0,45.0,THIRD CALL,2595.0,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,CONSERV,18-64,BOTH,STATE,WICHITA,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,2.595
STATE ONLY,17.0,10.0,46.0,THIRD CALL,2595.0,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,OMITS,DOLE,WORSE,DIS/UNFAV,DEMOCRAT,PROTESTANT,,MODERATE,18-64,BOTH,STATE,WICHITA,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,2.595
STATE ONLY,17.0,10.0,47.0,THIRD CALL,2595.0,30-39,WHITE,MALE,BUSH,APPROVE,FAVORABLE,BUSH,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,50-75K,MODERATE,18-64,BOTH,STATE,WICHITA,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,2.595
STATE ONLY,17.0,10.0,48.0,THIRD CALL,1740.0,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,BETTER,DIS/UNFAV,ELSE,PROTESTANT,30-50K,CONSERV,18-64,CREATIONISM,STATE,WICHITA,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.74
STATE ONLY,17.0,10.0,49.0,THIRD CALL,1256.0,40-44,WHITE,FEMALE,GORE,DISAPPR,UNFAVORABLE,GORE,NO,CLINTON,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,18-64,BOTH,STATE,WICHITA,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.256
STATE ONLY,17.0,10.0,50.0,THIRD CALL,1123.0,25-29,HISP,MALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,NOVOTE,BETTER,APP/UNFAV,INDEPEND,CATHOLIC,50-75K,LIBERAL,18-64,EVOLUTION,STATE,WICHITA,18-29,25-29,IND/OTHER,25-29,CATHOLIC,,,1.123
STATE ONLY,17.0,10.0,51.0,THIRD CALL,1256.0,45-49,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,CATHOLIC,50-75K,LIBERAL,18-64,EVOLUTION,STATE,WICHITA,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.256
STATE ONLY,17.0,10.0,52.0,THIRD CALL,1740.0,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,MODERATE,18-64,BOTH,STATE,WICHITA,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.74
STATE ONLY,17.0,10.0,53.0,THIRD CALL,1874.0,50-59,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,NONE,30-50K,LIBERAL,18-64,EVOLUTION,STATE,WICHITA,45-59,50-59,DEMOCRAT,50-64,NONE,,,1.874
STATE ONLY,17.0,10.0,54.0,THIRD CALL,1731.0,18-24,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,INDEPEND,OTHERCHRIST,15-30K,MODERATE,18-64,BOTH,STATE,WICHITA,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,1.731
STATE ONLY,17.0,10.0,55.0,THIRD CALL,1740.0,30-39,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,WOULDNOTVOTE,NO,DOLE,WORSE,APP/UNFAV,DEMOCRAT,OTHERCHRIST,30-50K,CONSERV,18-64,CREATIONISM,STATE,WICHITA,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.74
STATE ONLY,17.0,10.0,56.0,THIRD CALL,1740.0,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,LESS15K,CONSERV,18-64,CREATIONISM,STATE,WICHITA,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.74
STATE ONLY,17.0,10.0,57.0,THIRD CALL,1686.0,50-59,BLACK,MALE,BUSH,APPROVE,FAVORABLE,GORE,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,30-50K,MODERATE,18-64,BOTH,STATE,WICHITA,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.686
STATE ONLY,17.0,10.0,58.0,THIRD CALL,1256.0,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,YES,NOVOTE,SAME,APP/UNFAV,REPUBLCN,PROTESTANT,50-75K,MODERATE,18-64,BOTH,STATE,WICHITA,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.256
STATE ONLY,17.0,10.0,59.0,THIRD CALL,1607.0,25-29,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,MODERATE,18-64,BOTH,STATE,WICHITA,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,1.607
STATE ONLY,17.0,10.0,60.0,THIRD CALL,2546.0,60-64,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,50-75K,MODERATE,18-64,EVOLUTION,STATE,WICHITA,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,2.5460000000000003
STATE ONLY,17.0,10.0,61.0,THIRD CALL,1216.0,45-49,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,LESS15K,CONSERV,18-64,BOTH,STATE,WICHITA,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.216
STATE ONLY,17.0,10.0,62.0,THIRD CALL,2595.0,30-39,WHITE,MALE,BUSH,APPROVE,FAVORABLE,BUSH,YES,NOVOTE,SAME,APP/FAV,ELSE,OTHERCHRIST,30-50K,MODERATE,18-64,BOTH,STATE,WICHITA,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,2.595
STATE ONLY,17.0,10.0,63.0,THIRD CALL,1607.0,18-24,WHITE,FEMALE,BUSH,APPROVE,FAVORABLE,BUSH,NO,NOVOTE,BETTER,APP/FAV,INDEPEND,OTHERCHRIST,30-50K,,18-64,CREATIONISM,STATE,WICHITA,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,1.607
STATE ONLY,17.0,16.0,1.0,FIRST CALL,150.0,75+,WHITE,FEMALE,GORE,DISAPPR,UNFAVORABLE,GORE,NO,PEROT,SAME,DIS/UNFAV,DEMOCRAT,PROTESTANT,LESS15K,MODERATE,65+,BOTH,STATE,TOPEKAKCAREA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.15
STATE ONLY,17.0,16.0,2.0,FIRST CALL,538.0,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,GORE,NO,CLINTON,BETTER,DIS/UNFAV,DEMOCRAT,CATHOLIC,OVER100K,MODERATE,18-64,BOTH,STATE,TOPEKAKCAREA,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.538
STATE ONLY,17.0,16.0,3.0,FIRST CALL,150.0,75+,WHITE,FEMALE,GORE,DISAPPR,UNFAVORABLE,GORE,OMITS,CLINTON,WORSE,DIS/UNFAV,INDEPEND,CATHOLIC,50-75K,MODERATE,65+,BOTH,STATE,TOPEKAKCAREA,60+,60+,IND/OTHER,65+,CATHOLIC,,,0.15
STATE ONLY,17.0,16.0,4.0,FIRST CALL,442.0,65-74,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,MODERATE,65+,BOTH,STATE,TOPEKAKCAREA,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.442
STATE ONLY,17.0,16.0,5.0,FIRST CALL,182.0,45-49,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,REPUBLCN,NONE,75-100K,LIBERAL,18-64,EVOLUTION,STATE,TOPEKAKCAREA,45-59,40-49,REPUBLICAN,40-49,NONE,,,0.182
STATE ONLY,17.0,16.0,6.0,FIRST CALL,474.0,45-49,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,75-100K,MODERATE,18-64,BOTH,STATE,TOPEKAKCAREA,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.47400000000000003
STATE ONLY,17.0,16.0,7.0,FIRST CALL,182.0,50-59,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,INDEPEND,PROTESTANT,30-50K,LIBERAL,18-64,EVOLUTION,STATE,TOPEKAKCAREA,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.182
STATE ONLY,17.0,16.0,8.0,FIRST CALL,161.0,30-39,OTHER,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,INDEPEND,ELSE,75-100K,LIBERAL,18-64,EVOLUTION,STATE,TOPEKAKCAREA,30-44,30-39,IND/OTHER,30-39,OTHER,,,0.161
STATE ONLY,17.0,16.0,9.0,FIRST CALL,442.0,75+,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,GORE,NO,PEROT,SAME,DIS/UNFAV,DEMOCRAT,PROTESTANT,LESS15K,MODERATE,65+,BOTH,STATE,TOPEKAKCAREA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.442
STATE ONLY,17.0,16.0,10.0,FIRST CALL,538.0,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,ELSE,50-75K,CONSERV,18-64,BOTH,STATE,TOPEKAKCAREA,45-59,50-59,REPUBLICAN,50-64,OTHER,,,0.538
STATE ONLY,17.0,16.0,11.0,FIRST CALL,442.0,65-74,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,INDEPEND,PROTESTANT,15-30K,MODERATE,65+,CREATIONISM,STATE,TOPEKAKCAREA,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,0.442
STATE ONLY,17.0,16.0,12.0,FIRST CALL,150.0,65-74,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,SAME,APP/UNFAV,DEMOCRAT,OTHERCHRIST,LESS15K,CONSERV,65+,BOTH,STATE,TOPEKAKCAREA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.15
STATE ONLY,17.0,16.0,13.0,FIRST CALL,474.0,30-39,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,CLINTON,BETTER,APP/UNFAV,INDEPEND,CATHOLIC,30-50K,MODERATE,18-64,BOTH,STATE,TOPEKAKCAREA,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.47400000000000003
