VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,UNION4,ABORTION,FINSIT,JOBPERS,WORK,RYAN,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,DEATHPEN,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,HISPANIC,QRACE,REL5,TRACK,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
NATIONAL YELLOW,14.0,1.0,13.0,SECOND CALL,25-29,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,MEDICARE/RX,COMPLEXISSUE,CLINTON,ME,MOSTLGL,WORSE,APP/FAV,YES,,DEMOCRAT,RURAL,HSGRAD,OTHERCHRIST,AFEWAYEAR,15-30K,NO,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,SOUTH,18-29,25-29,DEMOCRAT,25-29,NO,BLACK,PROT/CHRIST,RIGHTDIR,,,PERSONALQUAL,MEDICARE/RX,COMPLEXISSUE,0.552
NATIONAL GREY,14.0,1.0,14.0,SECOND CALL,30-39,BLACK,MALE,GORE,,,,MORE,SMCITY/RURAL,,,,,,,,,,INDEPEND,RURAL,HSGRAD,,,30-50K,,,MODERATE,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,SOUTH,30-44,30-39,IND/OTHER,30-39,,BLACK,,,ONLYGORE,ONLYBUSH,,,,0.53
NATIONAL PINK,14.0,1.0,15.0,SECOND CALL,18-24,BLACK,MALE,GORE,,,,,SMCITY/RURAL,,,,SOMEONEELSE,,,,YES,,DEMOCRAT,RURAL,,ELSE,,30-50K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,SOUTH,18-29,18-24,DEMOCRAT,18-24,NO,BLACK,OTHER,,,,,,,0.537
NATIONAL PINK,14.0,1.0,16.0,SECOND CALL,50-59,BLACK,MALE,GORE,,,,,SMCITY/RURAL,,,,ME,,,,YES,,,RURAL,,,,,YES,NO,,18-64,,,NATIONAL,COMPLETE,SOUTH,45-59,50-59,,50-64,NO,BLACK,,,,,,,,0.53
NATIONAL PINK,14.0,1.0,17.0,SECOND CALL,18-24,BLACK,FEMALE,BUSH,,,,,SMCITY/RURAL,,,,ME,,,,YES,,DEMOCRAT,RURAL,,OTHERCHRIST,,15-30K,NO,YES,,18-64,,,NATIONAL,COMPLETE,SOUTH,18-29,18-24,DEMOCRAT,18-24,NO,BLACK,PROT/CHRIST,,,,,,,0.441
NATIONAL WHITE,14.0,1.0,18.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,ECON/JOBS,EXPERIENCE,CLINTON,SOMEONEELSE,ALWYSLGL,BETTER,APP/UNFAV,YES,,DEMOCRAT,RURAL,SOMCOL/ASSOC,OTHERCHRIST,NEVER,50-75K,YES,YES,,18-64,,,NATIONAL,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,NO,BLACK,PROT/CHRIST,RIGHTDIR,,,ISSUES,,,0.545
NATIONAL WHITE,14.0,1.0,19.0,THIRD CALL,50-59,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,ECON/JOBS,LIKEABLE,CLINTON,SOMEONEELSE,ALWYSILL,BETTER,APP/FAV,NO,,DEMOCRAT,RURAL,HSGRAD,PROTESTANT,MORETHAN1AWK,50-75K,YES,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,SOUTH,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,RIGHTDIR,,,ISSUES,,,0.53
NATIONAL WHITE,14.0,1.0,20.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,EDUCATION,CARES,CLINTON,SOMEONEELSE,MOSTLGL,WORSE,APP/FAV,YES,,INDEPEND,RURAL,SOMCOL/ASSOC,CATHOLIC,NEVER,30-50K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,SOUTH,18-29,18-24,IND/OTHER,18-24,NO,WHITE,CATHOLIC,WRONGTRACK,,,ISSUES,,,0.34900000000000003
NATIONAL WHITE,14.0,1.0,21.0,THIRD CALL,25-29,BLACK,MALE,BUCHANAN,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,HEALTHCARE,HONEST,CLINTON,SOMEONEELSE,ALWYSLGL,SAME,APP/FAV,YES,,INDEPEND,RURAL,NOHS,NONE,MORETHAN1AWK,30-50K,YES,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,SOUTH,18-29,25-29,IND/OTHER,25-29,NO,BLACK,NONE,RIGHTDIR,,,ISSUES,,,0.03
NATIONAL WHITE,14.0,1.0,22.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,WORLDAFFAIRS,STRONGLEADER,CLINTON,NONE,ALWYSILL,SAME,APP/FAV,YES,,INDEPEND,RURAL,HSGRAD,OTHERCHRIST,MORETHAN1AWK,LESS15K,YES,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,SOUTH,30-44,30-39,IND/OTHER,30-39,NO,BLACK,PROT/CHRIST,WRONGTRACK,,,ISSUES,,,0.545
NATIONAL YELLOW,14.0,1.0,23.0,THIRD CALL,50-59,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,MEDICARE/RX,HONEST,CLINTON,ME,MOSTLGL,BETTER,APP/FAV,YES,,DEMOCRAT,RURAL,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,75-100K,YES,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,SOUTH,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,RIGHTDIR,,,ISSUES,MEDICARE/RX,HONEST,0.53
NATIONAL YELLOW,14.0,1.0,24.0,THIRD CALL,40-44,BLACK,MALE,GORE,APPROVE,FAVORABLE,BUSH,MORE,SMCITY/RURAL,HEALTHCARE,LIKEABLE,CLINTON,ME,ALWYSILL,BETTER,APP/FAV,YES,,DEMOCRAT,RURAL,NOHS,OTHERCHRIST,ONCEAWEEK,75-100K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,SOUTH,30-44,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,WRONGTRACK,,,ISSUES,HEALTHCARE,LIKEABLE,0.53
NATIONAL YELLOW,14.0,1.0,25.0,THIRD CALL,45-49,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,EDUCATION,CARES,CLINTON,NONE,OMITS,BETTER,APP/FAV,YES,,DEMOCRAT,RURAL,COLGRAD,OTHERCHRIST,MORETHAN1AWK,15-30K,NO,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,SOUTH,45-59,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,RIGHTDIR,,,PERSONALQUAL,EDUCATION,CARES,0.545
NATIONAL YELLOW,14.0,1.0,26.0,THIRD CALL,75+,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,SOCIALSECUR,CARES,CLINTON,NONE,MOSTILL,WORSE,APP/FAV,NO,,DEMOCRAT,RURAL,HSGRAD,PROTESTANT,MORETHAN1AWK,15-30K,YES,YES,MODERATE,65+,,,NATIONAL,COMPLETE,SOUTH,60+,60+,DEMOCRAT,65+,NO,WHITE,PROT/CHRIST,RIGHTDIR,,,ISSUES,SOCIALSECUR,CARES,0.454
NATIONAL GREY,14.0,1.0,27.0,THIRD CALL,50-59,BLACK,MALE,GORE,,,,LESS,SMCITY/RURAL,,,,,,,,,,REPUBLCN,RURAL,NOHS,,,LESS15K,,,LIBERAL,18-64,CUTFEDINCTAX,,NATIONAL,COMPLETE,SOUTH,45-59,50-59,REPUBLICAN,50-64,,BLACK,,,ONLYGORE,ONLYGORE,,,,0.53
NATIONAL GREY,14.0,1.0,28.0,THIRD CALL,18-24,BLACK,FEMALE,GORE,,,,MORE,SMCITY/RURAL,,,,,,,,,,INDEPEND,RURAL,HSGRAD,,,,,,,18-64,CUTFEDINCTAX,,NATIONAL,COMPLETE,SOUTH,18-29,18-24,IND/OTHER,18-24,NO,BLACK,,,BOTH,NEITHER,,,,0.552
NATIONAL GREY,14.0,1.0,29.0,THIRD CALL,45-49,WHITE,MALE,GORE,,,,LESS,SMCITY/RURAL,,,,,,,,,,DEMOCRAT,RURAL,SOMCOL/ASSOC,,,50-75K,,,MODERATE,18-64,REDUCNATDEBT,,NATIONAL,COMPLETE,SOUTH,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,,,ONLYGORE,ONLYBUSH,,,,0.335
NATIONAL GREY,14.0,1.0,30.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,,,,MORE,SMCITY/RURAL,,,,,,,,,,ELSE,RURAL,NOHS,,,OVER100K,,,CONSERV,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,SOUTH,30-44,30-39,IND/OTHER,30-39,NO,WHITE,,,ONLYBUSH,ONLYBUSH,,,,0.275
NATIONAL GREY,14.0,1.0,31.0,THIRD CALL,18-24,HISP,FEMALE,GORE,,,,LESS,SMCITY/RURAL,,,,,,,,,,DEMOCRAT,RURAL,SOMCOL/ASSOC,,,OVER100K,,,LIBERAL,18-64,CUTFEDINCTAX,,NATIONAL,COMPLETE,SOUTH,18-29,18-24,DEMOCRAT,18-24,YES,WHITE,,,ONLYGORE,ONLYGORE,,,,0.552
NATIONAL PINK,14.0,1.0,32.0,THIRD CALL,25-29,WHITE,MALE,GORE,,,,,SMCITY/RURAL,,,,SOMEONEELSE,,,,YES,,DEMOCRAT,RURAL,,NONE,,LESS15K,,,LIBERAL,18-64,,,NATIONAL,COMPLETE,SOUTH,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,NONE,,,,,,,0.339
NATIONAL PINK,14.0,1.0,33.0,THIRD CALL,30-39,HISP,MALE,BUSH,,,,,SMCITY/RURAL,,,,ME,,,,YES,,DEMOCRAT,RURAL,,PROTESTANT,,30-50K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,YES,WHITE,PROT/CHRIST,,,,,,,0.423
NATIONAL PINK,14.0,1.0,34.0,THIRD CALL,25-29,HISP,MALE,BUSH,,,,,SMCITY/RURAL,,,,SOMEONEELSE,,,,NO,,DEMOCRAT,RURAL,,CATHOLIC,,15-30K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,SOUTH,18-29,25-29,DEMOCRAT,25-29,YES,BLACK,CATHOLIC,,,,,,,0.428
NATIONAL PINK,14.0,1.0,35.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,,,,,SMCITY/RURAL,,,,ME,,,,YES,,INDEPEND,RURAL,,PROTESTANT,,75-100K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,SOUTH,30-44,30-39,IND/OTHER,30-39,NO,WHITE,PROT/CHRIST,,,,,,,0.34400000000000003
NATIONAL PINK,14.0,1.0,36.0,THIRD CALL,45-49,WHITE,MALE,BUSH,,,,,SMCITY/RURAL,,,,ME,,,,NO,,ELSE,RURAL,,NONE,,15-30K,YES,YES,CONSERV,18-64,,,NATIONAL,COMPLETE,SOUTH,45-59,40-49,IND/OTHER,40-49,NO,WHITE,NONE,,,,,,,0.268
NATIONAL WHITE,14.0,2.0,1.0,FIRST CALL,40-44,HISP,MALE,GORE,APPROVE,FAVORABLE,GORE,OMITS,SUBURBS,WORLDAFFAIRS,OMITS,CLINTON,NONE,ALWYSLGL,BETTER,APP/FAV,YES,,INDEPEND,SUBURBS,SOMCOL/ASSOC,ELSE,AFEWAMONTH,50-75K,YES,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,NORTH,30-44,40-49,IND/OTHER,40-49,YES,HISP,OTHER,RIGHTDIR,,,ISSUES,,,1.002
NATIONAL WHITE,14.0,2.0,2.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,ECON/JOBS,COMPLEXISSUE,CLINTON,NONE,MOSTLGL,SAME,APP/UNFAV,YES,,INDEPEND,SUBURBS,COLGRAD,PROTESTANT,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,NORTH,30-44,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,RIGHTDIR,,,ISSUES,,,1.603
NATIONAL WHITE,14.0,2.0,3.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,DISAPPR,UNFAVORABLE,GORE,MORE,SUBURBS,TAXES,COMPLEXISSUE,NOVOTE,NONE,MOSTLGL,SAME,DIS/UNFAV,YES,,INDEPEND,SUBURBS,HSGRAD,NONE,NEVER,50-75K,YES,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,NORTH,45-59,40-49,IND/OTHER,40-49,NO,WHITE,NONE,WRONGTRACK,,,ISSUES,,,1.603
NATIONAL YELLOW,14.0,2.0,4.0,FIRST CALL,65-74,WHITE,MALE,NADER,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,ECON/JOBS,COMPLEXISSUE,DOLE,NONE,ALWYSILL,BETTER,DIS/UNFAV,NO,,REPUBLCN,SUBURBS,HSGRAD,CATHOLIC,ONCEAWEEK,50-75K,YES,NO,CONSERV,65+,,,NATIONAL,COMPLETE,NORTH,60+,60+,REPUBLICAN,65+,NO,WHITE,CATHOLIC,RIGHTDIR,,,ISSUES,ECON/JOBS,COMPLEXISSUE,0.562
NATIONAL YELLOW,14.0,2.0,5.0,FIRST CALL,75+,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,SOCIALSECUR,HONEST,DOLE,NONE,MOSTLGL,SAME,DIS/UNFAV,NO,,REPUBLCN,SUBURBS,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,15-30K,NO,NO,CONSERV,65+,,,NATIONAL,COMPLETE,NORTH,60+,60+,REPUBLICAN,65+,NO,WHITE,PROT/CHRIST,WRONGTRACK,,,PERSONALQUAL,SOCIALSECUR,HONEST,1.438
NATIONAL YELLOW,14.0,2.0,6.0,FIRST CALL,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,WORLDAFFAIRS,HONEST,DOLE,MEANDSOMEONE,MOSTILL,BETTER,DIS/UNFAV,YES,,REPUBLCN,SUBURBS,HSGRAD,PROTESTANT,ONCEAWEEK,75-100K,YES,YES,CONSERV,18-64,,,NATIONAL,COMPLETE,NORTH,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,WRONGTRACK,,,ISSUES,WORLDAFFAIRS,HONEST,1.41
NATIONAL GREY,14.0,2.0,7.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,,,,MORE,SUBURBS,,,,,,,,,,REPUBLCN,SUBURBS,SOMCOL/ASSOC,,,50-75K,,,MODERATE,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,NORTH,18-29,18-24,REPUBLICAN,18-24,NO,WHITE,,,BOTH,ONLYGORE,,,,1.468
NATIONAL GREY,14.0,2.0,8.0,FIRST CALL,75+,WHITE,FEMALE,GORE,,,,MORE,SUBURBS,,,,,,,,,,DEMOCRAT,SUBURBS,HSGRAD,,,15-30K,,,MODERATE,65+,SOCIALSECURI,,NATIONAL,COMPLETE,NORTH,60+,60+,DEMOCRAT,65+,NO,WHITE,,,ONLYGORE,BOTH,,,,1.6340000000000001
NATIONAL GREY,14.0,2.0,9.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,,,,MORE,SUBURBS,,,,,,,,,,INDEPEND,SUBURBS,HSGRAD,,,50-75K,,,MODERATE,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,NORTH,30-44,30-39,IND/OTHER,30-39,NO,WHITE,,,BOTH,BOTH,,,,1.528
NATIONAL PINK,14.0,2.0,10.0,FIRST CALL,75+,WHITE,MALE,BUSH,,,,,SUBURBS,,,,SOMEONEELSE,,,,NO,,REPUBLCN,SUBURBS,,PROTESTANT,,50-75K,YES,NO,MODERATE,65+,,,NATIONAL,COMPLETE,NORTH,60+,60+,REPUBLICAN,65+,NO,WHITE,PROT/CHRIST,,,,,,,1.438
NATIONAL PINK,14.0,2.0,11.0,FIRST CALL,30-39,WHITE,MALE,GORE,,,,,SUBURBS,,,,NONE,,,,YES,,INDEPEND,SUBURBS,,PROTESTANT,,50-75K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,NORTH,30-44,30-39,IND/OTHER,30-39,NO,WHITE,PROT/CHRIST,,,,,,,1.48
NATIONAL PINK,14.0,2.0,12.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,,,,,SUBURBS,,,,NONE,,,,NO,,INDEPEND,SUBURBS,,OTHERCHRIST,,15-30K,NO,NO,MODERATE,65+,,,NATIONAL,COMPLETE,NORTH,60+,60+,IND/OTHER,65+,NO,WHITE,PROT/CHRIST,,,,,,,1.558
NATIONAL WHITE,14.0,2.0,13.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,WORLDAFFAIRS,HONEST,DOLE,NONE,MOSTILL,WORSE,DIS/UNFAV,NO,,INDEPEND,SUBURBS,POSTGRAD,PROTESTANT,MORETHAN1AWK,30-50K,YES,NO,CONSERV,18-64,,,NATIONAL,COMPLETE,NORTH,45-59,50-59,IND/OTHER,50-64,NO,WHITE,PROT/CHRIST,WRONGTRACK,,,PERSONALQUAL,,,1.528
NATIONAL WHITE,14.0,2.0,14.0,SECOND CALL,75+,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,SOCIALSECUR,GOODJUDGMENT,DOLE,NONE,MOSTLGL,SAME,APP/UNFAV,,,REPUBLCN,SUBURBS,HSGRAD,PROTESTANT,AFEWAYEAR,,YES,NO,CONSERV,65+,,,NATIONAL,COMPLETE,NORTH,60+,60+,REPUBLICAN,65+,NO,WHITE,PROT/CHRIST,WRONGTRACK,,,ISSUES,,,1.438
NATIONAL YELLOW,14.0,2.0,15.0,SECOND CALL,50-59,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,SOCIALSECUR,CARES,CLINTON,ME,MOSTILL,BETTER,APP/FAV,YES,,DEMOCRAT,SUBURBS,HSGRAD,OTHERCHRIST,AFEWAYEAR,75-100K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,NORTH,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,RIGHTDIR,,,PERSONALQUAL,SOCIALSECUR,CARES,1.002
NATIONAL YELLOW,14.0,2.0,16.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,ECON/JOBS,HONEST,DOLE,NONE,OMITS,WORSE,DIS/UNFAV,YES,,INDEPEND,SUBURBS,SOMCOL/ASSOC,,OMITS,50-75K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,NORTH,30-44,40-49,IND/OTHER,40-49,,WHITE,,WRONGTRACK,,,PERSONALQUAL,ECON/JOBS,HONEST,1.528
NATIONAL GREY,14.0,2.0,17.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,,,,MORE,SUBURBS,,,,,,,,,,INDEPEND,SUBURBS,COLGRAD,,,50-75K,,,MODERATE,18-64,CUTFEDINCTAX,,NATIONAL,COMPLETE,NORTH,30-44,30-39,IND/OTHER,30-39,NO,WHITE,,,ONLYGORE,ONLYBUSH,,,,1.603
NATIONAL GREY,14.0,2.0,18.0,SECOND CALL,65-74,WHITE,MALE,GORE,,,,LESS,SUBURBS,,,,,,,,,,REPUBLCN,SUBURBS,COLGRAD,,,75-100K,,,MODERATE,65+,SOCIALSECURI,,NATIONAL,COMPLETE,NORTH,60+,60+,REPUBLICAN,65+,NO,WHITE,,,ONLYGORE,BOTH,,,,1.5090000000000001
NATIONAL PINK,14.0,2.0,19.0,SECOND CALL,75+,WHITE,FEMALE,GORE,,,,,SUBURBS,,,,NONE,,,,NO,,DEMOCRAT,SUBURBS,,CATHOLIC,,15-30K,NO,NO,CONSERV,65+,,,NATIONAL,COMPLETE,NORTH,60+,60+,DEMOCRAT,65+,NO,WHITE,CATHOLIC,,,,,,,1.6340000000000001
NATIONAL WHITE,14.0,2.0,20.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,OMITS,CARES,CLINTON,MEANDSOMEONE,MOSTLGL,BETTER,APP/UNFAV,YES,,ELSE,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,50-75K,YES,YES,,18-64,,,NATIONAL,COMPLETE,NORTH,30-44,30-39,IND/OTHER,30-39,NO,WHITE,CATHOLIC,WRONGTRACK,,,ISSUES,,,1.603
