VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,PROPMI,GOVTDO,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,UNION4,UNFAIR,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,MCSUPP,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,GUN,WEIGHT
STATE ONLY,23.0,1.0,11.0,SECOND CALL,40-44,WHITE,MALE,NADER,OTHER,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,NO,LESS,SMCITY/RURAL,OMITS,OMITS,YES,PEROT,MEANDSOMEONE,BOTHDID,SAME,DIS/UNFAV,NO,ELSE,RURAL,COLGRAD,ELSE,NEVER,50-75K,NO,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHWEST,30-44,40-49,IND/OTHER,40-49,OTHER,NO,BOTH,BOTH,PERSONALQUAL,,,OPPOSE,0.635
STATE ONLY,23.0,1.0,12.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,STABENOW,APPROVE,OMITS,GORE,YES,MORE,SMCITY/RURAL,EDUCATION,STRONGLEADER,NO,CLINTON,MEANDSOMEONE,BOTHDID,BETTER,OMITS,YES,INDEPEND,RURAL,HSGRAD,NONE,AFEWAYEAR,30-50K,YES,YES,MODERATE,18-64,OTHRPROGRAMS,STATE,COMPLETE,SOUTHWEST,30-44,30-39,IND/OTHER,30-39,NONE,YES,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,SUPPORT,0.594
STATE ONLY,23.0,1.0,13.0,SECOND CALL,60-64,WHITE,MALE,BUSH,ABRAHAM,APPROVE,UNFAVORABLE,BUSH,NO,LESS,SMCITY/RURAL,SOCIALSECUR,CARES,NO,CLINTON,ME,BOTHDID,SAME,APP/UNFAV,NO,DEMOCRAT,RURAL,HSGRAD,PROTESTANT,AFEWAYEAR,LESS15K,NO,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHWEST,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,YES,NEITHER,BOTH,ISSUES,,,OPPOSE,1.5190000000000001
STATE ONLY,23.0,1.0,14.0,SECOND CALL,40-44,WHITE,MALE,NADER,OTHER,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,NO,LESS,SMCITY/RURAL,OMITS,OMITS,YES,PEROT,MEANDSOMEONE,BOTHDID,SAME,DIS/UNFAV,NO,ELSE,RURAL,COLGRAD,ELSE,NEVER,50-75K,NO,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHWEST,30-44,40-49,IND/OTHER,40-49,OTHER,NO,BOTH,BOTH,PERSONALQUAL,,,OPPOSE,0.635
STATE ONLY,23.0,1.0,15.0,SECOND CALL,65-74,WHITE,FEMALE,NADER,STABENOW,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,NO,LESS,SMCITY/RURAL,WORLDAFFAIRS,STRONGLEADER,NO,CLINTON,NONE,BOTHDID,WORSE,DIS/UNFAV,NO,DEMOCRAT,RURAL,NOHS,PROTESTANT,AFEWAYEAR,15-30K,YES,NO,MODERATE,65+,SOCIALSECURI,STATE,COMPLETE,SOUTHWEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,NO,NEITHER,BOTH,ISSUES,,,OPPOSE,1.111
STATE ONLY,23.0,1.0,16.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,SMCITY/RURAL,ECON/JOBS,HONEST,NO,DOLE,NONE,GOREDID,SAME,DIS/UNFAV,YES,REPUBLCN,RURAL,COLGRAD,ELSE,AFEWAYEAR,30-50K,YES,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHWEST,30-44,30-39,REPUBLICAN,30-39,OTHER,YES,ONLYBUSH,ONLYGORE,ISSUES,,,OPPOSE,0.978
STATE ONLY,23.0,1.0,17.0,SECOND CALL,40-44,WHITE,MALE,GORE,STABENOW,APPROVE,UNFAVORABLE,GORE,NO,LESS,SMCITY/RURAL,EDUCATION,HONEST,NO,CLINTON,MEANDSOMEONE,BOTHDID,SAME,APP/UNFAV,YES,INDEPEND,RURAL,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,OVER100K,,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHWEST,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,NO,ONLYGORE,BOTH,ISSUES,,,SUPPORT,0.976
STATE ONLY,23.0,1.0,18.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,SOCIALSECUR,GOODJUDGMENT,YES,CLINTON,,GOREDID,BETTER,DIS/UNFAV,NO,INDEPEND,RURAL,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,30-50K,YES,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHWEST,60+,60+,IND/OTHER,50-64,PROT/CHRIST,NO,BOTH,OMITS,ISSUES,,,SUPPORT,0.927
STATE ONLY,23.0,1.0,19.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,STABENOW,APPROVE,FAVORABLE,GORE,NO,LESS,SMCITY/RURAL,SOCIALSECUR,CARES,NO,CLINTON,ME,BUSHDID,BETTER,APP/FAV,YES,DEMOCRAT,RURAL,SOMCOL/ASSOC,CATHOLIC,MORETHAN1AWK,30-50K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHWEST,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,YES,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,OPPOSE,0.93
STATE ONLY,23.0,1.0,20.0,SECOND CALL,65-74,WHITE,MALE,BUSH,ABRAHAM,OMITS,OMITS,OMITS,NO,LESS,SMCITY/RURAL,OMITS,OMITS,NO,OMITS,NONE,BOTHDID,OMITS,,,,RURAL,,,OMITS,,,,,65+,OMITS,STATE,NOTCOMPLETE,SOUTHWEST,60+,60+,,65+,,NO,OMITS,OMITS,OMITS,,,OPPOSE,1.5190000000000001
STATE ONLY,23.0,1.0,21.0,SECOND CALL,50-59,WHITE,MALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,SMCITY/RURAL,WORLDAFFAIRS,HONEST,YES,DOLE,NONE,GOREDID,WORSE,DIS/UNFAV,YES,REPUBLCN,RURAL,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,50-75K,YES,YES,MODERATE,18-64,OMITS,STATE,COMPLETE,SOUTHWEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,NO,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,OPPOSE,1.027
STATE ONLY,23.0,1.0,22.0,SECOND CALL,25-29,BLACK,FEMALE,NADER,STABENOW,APPROVE,FAVORABLE,OMITS,,OMITS,SMCITY/RURAL,OMITS,COMPLEXISSUE,NO,NOVOTE,NONE,NEITHERDID,BETTER,APP/FAV,YES,INDEPEND,RURAL,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,,YES,NO,MODERATE,18-64,OTHRPROGRAMS,STATE,COMPLETE,SOUTHWEST,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,NO,BOTH,BOTH,PERSONALQUAL,,,OPPOSE,0.41600000000000004
STATE ONLY,23.0,1.0,23.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,SMCITY/RURAL,EDUCATION,HONEST,YES,DOLE,NONE,NEITHERDID,SAME,DIS/UNFAV,YES,REPUBLCN,RURAL,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,50-75K,YES,,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHWEST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,NO,BOTH,ONLYGORE,PERSONALQUAL,,,OPPOSE,0.978
STATE ONLY,23.0,1.0,24.0,SECOND CALL,30-39,WHITE,FEMALE,NADER,STABENOW,APPROVE,UNFAVORABLE,GORE,NO,LESS,SMCITY/RURAL,OMITS,COMPLEXISSUE,NO,CLINTON,ME,BOTHDID,BETTER,APP/UNFAV,NO,INDEPEND,RURAL,POSTGRAD,ELSE,AFEWAYEAR,30-50K,YES,NO,LIBERAL,18-64,OTHRPROGRAMS,STATE,COMPLETE,SOUTHWEST,30-44,30-39,IND/OTHER,30-39,OTHER,NO,ONLYGORE,ONLYBUSH,ISSUES,,,SUPPORT,0.752
STATE ONLY,23.0,1.0,25.0,SECOND CALL,65-74,BLACK,MALE,GORE,STABENOW,APPROVE,FAVORABLE,GORE,NO,LESS,SMCITY/RURAL,MEDICARE/RX,EXPERIENCE,NO,CLINTON,ME,BUSHDID,BETTER,APP/FAV,NO,DEMOCRAT,RURAL,NOHS,PROTESTANT,NEVER,30-50K,YES,NO,MODERATE,65+,OMITS,STATE,COMPLETE,SOUTHWEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,NO,ONLYGORE,ONLYBUSH,ISSUES,,,SUPPORT,0.986
STATE ONLY,23.0,1.0,26.0,SECOND CALL,50-59,WHITE,MALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,YES,MORE,SMCITY/RURAL,SOCIALSECUR,HONEST,YES,PEROT,NONE,GOREDID,BETTER,DIS/UNFAV,YES,REPUBLCN,RURAL,HSGRAD,PROTESTANT,ONCEAWEEK,30-50K,YES,NO,CONSERV,18-64,OMITS,STATE,COMPLETE,SOUTHWEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,YES,ONLYBUSH,ONLYGORE,ISSUES,,,SUPPORT,0.656
STATE ONLY,23.0,1.0,27.0,SECOND CALL,65-74,WHITE,MALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,SOCIALSECUR,OMITS,YES,DOLE,NONE,BUSHDID,SAME,DIS/UNFAV,NO,REPUBLCN,RURAL,HSGRAD,OTHERCHRIST,ONCEAWEEK,30-50K,YES,NO,MODERATE,65+,SOCIALSECURI,STATE,COMPLETE,SOUTHWEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,NO,ONLYBUSH,ONLYGORE,ISSUES,,,OPPOSE,0.97
STATE ONLY,23.0,1.0,28.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,TAXES,HONEST,OMITS,DOLE,NONE,GOREDID,SAME,DIS/UNFAV,NO,REPUBLCN,RURAL,COLGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHWEST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,NO,ONLYBUSH,ONLYGORE,ISSUES,,,OPPOSE,0.625
STATE ONLY,23.0,1.0,29.0,SECOND CALL,50-59,WHITE,MALE,BUSH,ABRAHAM,APPROVE,UNFAVORABLE,BUSH,,LESS,SMCITY/RURAL,ECON/JOBS,GOODJUDGMENT,NO,PEROT,NONE,OMITS,SAME,APP/UNFAV,YES,REPUBLCN,RURAL,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,15-30K,NO,NO,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHWEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,NO,BOTH,ONLYGORE,ISSUES,,,OPPOSE,0.876
STATE ONLY,23.0,1.0,30.0,SECOND CALL,45-49,BLACK,MALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,TAXES,HONEST,YES,DOLE,SOMEONEELSE,GOREDID,SAME,DIS/UNFAV,YES,REPUBLCN,RURAL,COLGRAD,PROTESTANT,MORETHAN1AWK,75-100K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHWEST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,NO,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,OPPOSE,0.451
STATE ONLY,23.0,1.0,31.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,ABRAHAM,APPROVE,UNFAVORABLE,BUSH,NO,LESS,SMCITY/RURAL,OMITS,COMPLEXISSUE,NO,NOVOTE,NONE,GOREDID,BETTER,APP/UNFAV,NO,DEMOCRAT,RURAL,COLGRAD,NONE,NEVER,15-30K,YES,YES,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHWEST,18-29,25-29,DEMOCRAT,25-29,NONE,NO,ONLYBUSH,BOTH,PERSONALQUAL,,,SUPPORT,0.93
STATE ONLY,23.0,1.0,32.0,THIRD CALL,30-39,WHITE,MALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,ECON/JOBS,HONEST,YES,PEROT,NONE,GOREDID,SAME,DIS/UNFAV,YES,INDEPEND,RURAL,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,30-50K,YES,YES,,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHWEST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,YES,ONLYBUSH,ONLYGORE,ISSUES,,,OPPOSE,0.656
STATE ONLY,23.0,1.0,33.0,THIRD CALL,60-64,WHITE,MALE,GORE,,OMITS,OMITS,OMITS,NO,OMITS,SMCITY/RURAL,OMITS,OMITS,OMITS,OMITS,,OMITS,OMITS,OMITS,YES,,RURAL,,,OMITS,,,,,18-64,OMITS,STATE,COMPLETE,SOUTHWEST,60+,60+,,50-64,,OMITS,OMITS,OMITS,OMITS,,,OMITS,1.459
STATE ONLY,23.0,1.0,34.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,NO,LESS,SMCITY/RURAL,HEALTHCARE,GOODJUDGMENT,NO,CLINTON,NONE,BOTHDID,BETTER,DIS/UNFAV,YES,DEMOCRAT,RURAL,SOMCOL/ASSOC,ELSE,AFEWAYEAR,30-50K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHWEST,45-59,50-59,DEMOCRAT,50-64,OTHER,NO,BOTH,OMITS,PERSONALQUAL,,,OPPOSE,0.978
STATE ONLY,23.0,1.0,35.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,STABENOW,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,SMCITY/RURAL,MEDICARE/RX,HONEST,NO,DOLE,SOMEONEELSE,GOREDID,BETTER,DIS/UNFAV,NO,INDEPEND,RURAL,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,OVER100K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHWEST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,YES,BOTH,BOTH,PERSONALQUAL,,,OPPOSE,0.9470000000000001
STATE ONLY,23.0,1.0,36.0,THIRD CALL,50-59,WHITE,FEMALE,,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,YES,MORE,SMCITY/RURAL,OMITS,OMITS,YES,DOLE,NONE,OMITS,SAME,DIS/UNFAV,,REPUBLCN,RURAL,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,15-30K,YES,YES,,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHWEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,OMITS,NEITHER,BOTH,OMITS,,,SUPPORT,0.615
STATE ONLY,23.0,1.0,37.0,THIRD CALL,40-44,WHITE,MALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,WORLDAFFAIRS,HONEST,NO,DOLE,NONE,BUSHDID,BETTER,DIS/UNFAV,YES,INDEPEND,RURAL,SOMCOL/ASSOC,CATHOLIC,AFEWAMONTH,75-100K,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHWEST,30-44,40-49,IND/OTHER,40-49,CATHOLIC,YES,OMITS,ONLYGORE,PERSONALQUAL,,,OPPOSE,0.656
STATE ONLY,23.0,1.0,38.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,ABRAHAM,APPROVE,FAVORABLE,BUSH,NO,MORE,SMCITY/RURAL,ECON/JOBS,COMPLEXISSUE,NO,CLINTON,NONE,BOTHDID,BETTER,APP/FAV,NO,INDEPEND,RURAL,SOMCOL/ASSOC,NONE,NEVER,30-50K,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHWEST,18-29,18-24,IND/OTHER,18-24,NONE,NO,ONLYBUSH,BOTH,ISSUES,,,OPPOSE,0.93
STATE ONLY,23.0,1.0,39.0,THIRD CALL,50-59,WHITE,MALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,SMCITY/RURAL,OMITS,GOODJUDGMENT,NO,OTHER,NONE,BOTHDID,WORSE,DIS/UNFAV,YES,DEMOCRAT,RURAL,,OTHERCHRIST,AFEWAYEAR,15-30K,NO,NO,CONSERV,18-64,OMITS,STATE,COMPLETE,SOUTHWEST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,YES,ONLYBUSH,BOTH,ISSUES,,,OPPOSE,1.027
STATE ONLY,23.0,1.0,40.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,OMITS,OMITS,YES,OMITS,,BOTHDID,OMITS,DIS/UNFAV,YES,REPUBLCN,RURAL,COLGRAD,OTHERCHRIST,MORETHAN1AWK,,,,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHWEST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,OMITS,BOTH,OMITS,ISSUES,,,OPPOSE,0.625
STATE ONLY,23.0,1.0,41.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,STABENOW,APPROVE,FAVORABLE,GORE,NO,MORE,SMCITY/RURAL,SOCIALSECUR,COMPLEXISSUE,YES,NOVOTE,NONE,BUSHDID,BETTER,APP/FAV,,DEMOCRAT,RURAL,HSGRAD,PROTESTANT,ONCEAWEEK,30-50K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHWEST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,NO,ONLYGORE,ONLYGORE,ISSUES,,,OPPOSE,0.93
STATE ONLY,23.0,1.0,42.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,NO,OMITS,SMCITY/RURAL,EDUCATION,OMITS,NO,PEROT,NONE,BOTHDID,OMITS,DIS/UNFAV,YES,INDEPEND,RURAL,POSTGRAD,OTHERCHRIST,OMITS,,YES,NO,,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHWEST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,YES,BOTH,BOTH,ISSUES,,,OMITS,0.978
STATE ONLY,23.0,1.0,43.0,THIRD CALL,45-49,,MALE,GORE,STABENOW,APPROVE,FAVORABLE,BUSH,NO,MORE,SMCITY/RURAL,WORLDAFFAIRS,COMPLEXISSUE,NO,CLINTON,NONE,BOTHDID,SAME,APP/FAV,YES,INDEPEND,RURAL,NOHS,ELSE,MORETHAN1AWK,75-100K,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHWEST,45-59,40-49,IND/OTHER,40-49,OTHER,NO,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,SUPPORT,0.976
STATE ONLY,23.0,1.0,44.0,THIRD CALL,30-39,WHITE,MALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,SMCITY/RURAL,OMITS,HONEST,NO,DOLE,NONE,OMITS,SAME,DIS/UNFAV,YES,REPUBLCN,RURAL,COLGRAD,OTHERCHRIST,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHWEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,NO,BOTH,ONLYGORE,PERSONALQUAL,,,OPPOSE,1.027
STATE ONLY,23.0,1.0,45.0,THIRD CALL,45-49,WHITE,MALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,TAXES,HONEST,YES,DOLE,NONE,GOREDID,BETTER,DIS/UNFAV,YES,REPUBLCN,RURAL,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,50-75K,NO,NO,CONSERV,18-64,OTHRPROGRAMS,STATE,COMPLETE,SOUTHWEST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,YES,ONLYBUSH,ONLYGORE,ISSUES,,,OPPOSE,0.656
