VERSION,STATEID,PRECINCT,SEQ,CALL,WGT,AGE9,RACE,SEX,PRES,TIME,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,UNFAIR,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,BUSHWIN,PRESKNOW,SAYANY,ISSVQUAL,GOREWIN,VNS1,VNS2,WEIGHT
STATE ONLY,18.0,3.0,26.0,THIRD CALL,1406.0,50-59,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,OMITS,SMCITY/RURAL,WORLDAFFAIRS,COMPLEXISSUE,NO,CLINTON,BUSHDID,BETTER,APP/FAV,NO,DEMOCRAT,RURAL,POSTGRAD,PROTESTANT,MORETHAN1AWK,75-100K,YES,NO,LIBERAL,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHCENTRAL,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,SCARED,ONLYGORE,ONLYBUSH,ISSUES,EXCITED,,,1.4060000000000001
STATE ONLY,18.0,3.0,27.0,THIRD CALL,1730.0,18-24,WHITE,MALE,GORE,LAST.3DAYS,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,ECON/JOBS,EXPERIENCE,NO,CLINTON,NEITHERDID,BETTER,APP/FAV,NO,DEMOCRAT,RURAL,POSTGRAD,PROTESTANT,AFEWAYEAR,LESS15K,NO,NO,LIBERAL,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHCENTRAL,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,SCARED,ONLYGORE,BOTH,ISSUES,OPTIMIST,,,1.73
STATE ONLY,18.0,7.0,1.0,FIRST CALL,1205.0,30-39,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,ECON/JOBS,GOODJUDGMENT,YES,DOLE,GOREDID,WORSE,DIS/UNFAV,YES,REPUBLCN,SUBURBS,COLGRAD,PROTESTANT,ONCEAWEEK,75-100K,YES,YES,CONSERV,18-64,OTHRPROGRAMS,STATE,COMPLETE,NORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,EXCITED,ONLYBUSH,ONLYGORE,PERSONALQUAL,SCARED,,,1.205
STATE ONLY,18.0,7.0,2.0,FIRST CALL,1632.0,30-39,WHITE,FEMALE,GORE,LAST.MONTH,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,COMPLEXISSUE,NO,CLINTON,NEITHERDID,BETTER,APP/FAV,YES,DEMOCRAT,SUBURBS,COLGRAD,OTHERCHRIST,NEVER,50-75K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,SCARED,ONLYGORE,BOTH,ISSUES,EXCITED,,,1.6320000000000001
STATE ONLY,18.0,7.0,3.0,FIRST CALL,1205.0,45-49,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,NO,DOLE,GOREDID,BETTER,DIS/UNFAV,YES,REPUBLCN,SUBURBS,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,50-75K,YES,NO,CONSERV,18-64,OMITS,STATE,COMPLETE,NORTH,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,OPTIMIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,OMITS,,,1.205
STATE ONLY,18.0,7.0,4.0,FIRST CALL,1217.0,30-39,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,OMITS,HONEST,YES,DOLE,BOTHDID,SAME,DIS/UNFAV,NO,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,50-75K,YES,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,OPTIMIST,BOTH,BOTH,PERSONALQUAL,SCARED,,,1.217
STATE ONLY,18.0,7.0,5.0,FIRST CALL,1205.0,30-39,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,EDUCATION,HONEST,NO,DOLE,NEITHERDID,SAME,DIS/UNFAV,YES,REPUBLCN,SUBURBS,COLGRAD,CATHOLIC,ONCEAWEEK,75-100K,YES,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,OPTIMIST,BOTH,ONLYGORE,ISSUES,CONCERND,,,1.205
STATE ONLY,18.0,7.0,6.0,FIRST CALL,1405.0,65-74,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,MEDICARE/RX,GOODJUDGMENT,NO,DOLE,BOTHDID,SAME,DIS/UNFAV,NO,REPUBLCN,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,50-75K,YES,NO,CONSERV,65+,CUTFEDINCTAX,STATE,COMPLETE,NORTH,60+,60+,REPUBLICAN,65+,CATHOLIC,EXCITED,ONLYBUSH,ONLYGORE,PERSONALQUAL,SCARED,,,1.405
STATE ONLY,18.0,7.0,7.0,FIRST CALL,1205.0,40-44,WHITE,MALE,BUSH,BEFORE,OMITS,OMITS,OMITS,LESS,SUBURBS,EDUCATION,STRONGLEADER,NO,OMITS,NEITHERDID,OMITS,,,,SUBURBS,,,OMITS,,,,,18-64,OMITS,STATE,NOTCOMPLETE,NORTH,30-44,40-49,,40-49,,OPTIMIST,OMITS,OMITS,OMITS,CONCERND,,,1.205
STATE ONLY,18.0,7.0,8.0,FIRST CALL,1632.0,30-39,WHITE,FEMALE,GORE,BEFORE,APPROVE,UNFAVORABLE,GORE,LESS,SUBURBS,ECON/JOBS,CARES,NO,CLINTON,BOTHDID,SAME,APP/UNFAV,YES,INDEPEND,SUBURBS,SOMCOL/ASSOC,PROTESTANT,NEVER,75-100K,YES,YES,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,CONCERND,BOTH,NEITHER,ISSUES,OPTIMIST,,,1.6320000000000001
STATE ONLY,18.0,7.0,9.0,FIRST CALL,830.0,45-49,BLACK,MALE,BUSH,BEFORE,OMITS,OMITS,OMITS,LESS,SUBURBS,ECON/JOBS,STRONGLEADER,NO,OMITS,GOREDID,OMITS,,,,SUBURBS,,,OMITS,,,,,18-64,OMITS,STATE,NOTCOMPLETE,NORTH,45-59,40-49,,40-49,,OPTIMIST,OMITS,OMITS,OMITS,CONCERND,,,0.8300000000000001
STATE ONLY,18.0,7.0,10.0,FIRST CALL,1419.0,65-74,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,HONEST,NO,OMITS,NEITHERDID,SAME,DIS/UNFAV,NO,REPUBLCN,SUBURBS,HSGRAD,OTHERCHRIST,MORETHAN1AWK,50-75K,NO,NO,CONSERV,65+,REDUCNATDEBT,STATE,COMPLETE,NORTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,OPTIMIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,CONCERND,,,1.419
STATE ONLY,18.0,7.0,11.0,SECOND CALL,1205.0,45-49,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,ECON/JOBS,HONEST,NO,DOLE,GOREDID,BETTER,DIS/UNFAV,YES,REPUBLCN,SUBURBS,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,75-100K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,EXCITED,ONLYBUSH,ONLYGORE,PERSONALQUAL,SCARED,,,1.205
STATE ONLY,18.0,7.0,12.0,SECOND CALL,1217.0,50-59,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,SOCIALSECUR,CARES,NO,DOLE,GOREDID,WORSE,DIS/UNFAV,NO,REPUBLCN,SUBURBS,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,15-30K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,EXCITED,ONLYBUSH,ONLYGORE,ISSUES,SCARED,,,1.217
STATE ONLY,18.0,7.0,13.0,SECOND CALL,1227.0,18-24,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,TAXES,CARES,NO,NOVOTE,GOREDID,WORSE,DIS/UNFAV,YES,REPUBLCN,SUBURBS,COLGRAD,CATHOLIC,AFEWAYEAR,15-30K,NO,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH,18-29,18-24,REPUBLICAN,18-24,CATHOLIC,EXCITED,ONLYBUSH,ONLYGORE,ISSUES,SCARED,,,1.227
STATE ONLY,18.0,7.0,14.0,SECOND CALL,1217.0,40-44,WHITE,FEMALE,BUSH,BEFORE,APPROVE,FAVORABLE,BUSH,LESS,SUBURBS,MEDICARE/RX,STRONGLEADER,NO,CLINTON,NEITHERDID,BETTER,APP/FAV,YES,DEMOCRAT,SUBURBS,COLGRAD,NONE,AFEWAYEAR,30-50K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH,30-44,40-49,DEMOCRAT,40-49,NONE,EXCITED,ONLYBUSH,ONLYGORE,ISSUES,SCARED,,,1.217
STATE ONLY,18.0,7.0,15.0,SECOND CALL,1217.0,30-39,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,ECON/JOBS,HONEST,NO,DOLE,BOTHDID,SAME,DIS/UNFAV,NO,REPUBLCN,SUBURBS,COLGRAD,PROTESTANT,ONCEAWEEK,50-75K,YES,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,OPTIMIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,SCARED,,,1.217
STATE ONLY,18.0,7.0,16.0,THIRD CALL,1217.0,40-44,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,OMITS,SUBURBS,SOCIALSECUR,GOODJUDGMENT,YES,DOLE,NEITHERDID,SAME,DIS/UNFAV,YES,REPUBLCN,SUBURBS,POSTGRAD,PROTESTANT,ONCEAWEEK,50-75K,NO,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,OPTIMIST,BOTH,BOTH,PERSONALQUAL,OPTIMIST,,,1.217
STATE ONLY,18.0,7.0,17.0,THIRD CALL,1227.0,25-29,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,STRONGLEADER,NO,DOLE,NEITHERDID,SAME,DIS/UNFAV,NO,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,NONE,AFEWAYEAR,OVER100K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH,18-29,25-29,DEMOCRAT,25-29,NONE,EXCITED,ONLYBUSH,BOTH,ISSUES,SCARED,,,1.227
