VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,CLINTON,BCPERSON,HOU,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,FINSIT,JOBPERS,WORK,ROTH,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,TIMEDES,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,8.0,2.0,20.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,ROTH,BURRIS,APPROVE,FAVORABLE,CASTLE,GORE,MORE,SUBURBS,HEALTHCARE,STRONGLEADER,NOVOTE,BETTER,APP/FAV,YES,NO,DEMOCRAT,SUBURBS,NOHS,ELSE,AFEWAMONTH,30-50K,NO,YES,CONSERV,18-64,REDUCNATDEBT,LAST.MONTH,STATE,COMPLETE,KENTSUSS,45-59,50-59,DEMOCRAT,50-64,OTHER,ONLYGORE,BOTH,ISSUES,,,0.635
STATE ONLY,8.0,2.0,21.0,SECOND CALL,65-74,WHITE,MALE,BUSH,ROTH,BURRIS,OMITS,OMITS,CASTLE,OMITS,LESS,SUBURBS,MEDICARE/RX,GOODJUDGMENT,OMITS,OMITS,,,NO,,SUBURBS,,,OMITS,,,,,65+,OMITS,BEFORE,STATE,NOTCOMPLETE,KENTSUSS,60+,60+,,65+,,OMITS,OMITS,OMITS,,,1.153
STATE ONLY,8.0,2.0,22.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,ROTH,MINNER,APPROVE,UNFAVORABLE,CASTLE,GORE,MORE,SUBURBS,EDUCATION,EXPERIENCE,CLINTON,BETTER,APP/UNFAV,YES,NO,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAMONTH,15-30K,NO,YES,LIBERAL,18-64,REDUCNATDEBT,BEFORE,STATE,COMPLETE,KENTSUSS,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,0.664
STATE ONLY,8.0,2.0,23.0,SECOND CALL,18-24,WHITE,FEMALE,GORE,CARPER,BURRIS,APPROVE,FAVORABLE,CASTLE,GORE,MORE,SUBURBS,ECON/JOBS,EXPERIENCE,PEROT,SAME,APP/FAV,NO,YES,INDEPEND,SUBURBS,SOMCOL/ASSOC,ELSE,AFEWAYEAR,30-50K,YES,NO,MODERATE,18-64,SOCIALSECURI,LASTWEEK,STATE,COMPLETE,KENTSUSS,18-29,18-24,IND/OTHER,18-24,OTHER,ONLYGORE,BOTH,ISSUES,,,0.661
STATE ONLY,8.0,2.0,24.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,CARPER,MINNER,APPROVE,FAVORABLE,MILLER,BUSH,MORE,SUBURBS,HEALTHCARE,CARES,CLINTON,SAME,APP/FAV,NO,YES,DEMOCRAT,SUBURBS,NOHS,PROTESTANT,ONCEAWEEK,LESS15K,YES,NO,MODERATE,18-64,SOCIALSECURI,LAST.3DAYS,STATE,COMPLETE,KENTSUSS,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,BOTH,BOTH,ISSUES,,,0.852
STATE ONLY,8.0,2.0,25.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,CARPER,MINNER,OMITS,OMITS,CASTLE,OMITS,MORE,SUBURBS,SOCIALSECUR,COMPLEXISSUE,OMITS,OMITS,,,YES,,SUBURBS,,,OMITS,,,,,18-64,OMITS,LAST.3DAYS,STATE,NOTCOMPLETE,KENTSUSS,45-59,50-59,,50-64,,OMITS,OMITS,OMITS,,,0.765
STATE ONLY,8.0,2.0,26.0,SECOND CALL,75+,WHITE,,GORE,CARPER,MINNER,OMITS,OMITS,CASTLE,OMITS,MORE,SUBURBS,MEDICARE/RX,CARES,OMITS,OMITS,,,YES,,SUBURBS,,,OMITS,,,,,65+,OMITS,BEFORE,STATE,NOTCOMPLETE,KENTSUSS,60+,60+,,65+,,OMITS,OMITS,OMITS,,,0.846
STATE ONLY,8.0,2.0,27.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,CARPER,BURRIS,APPROVE,FAVORABLE,CASTLE,GORE,MORE,SUBURBS,OMITS,HONEST,CLINTON,BETTER,APP/FAV,YES,YES,INDEPEND,SUBURBS,HSGRAD,CATHOLIC,AFEWAMONTH,30-50K,YES,NO,MODERATE,18-64,SOCIALSECURI,LAST.3DAYS,STATE,COMPLETE,KENTSUSS,45-59,40-49,IND/OTHER,40-49,CATHOLIC,BOTH,ONLYBUSH,PERSONALQUAL,,,0.646
STATE ONLY,8.0,2.0,28.0,SECOND CALL,45-49,OTHER,FEMALE,GORE,CARPER,MINNER,APPROVE,FAVORABLE,MILLER,GORE,MORE,SUBURBS,OMITS,COMPLEXISSUE,CLINTON,BETTER,APP/FAV,YES,YES,ELSE,SUBURBS,POSTGRAD,ELSE,ONCEAWEEK,15-30K,YES,YES,LIBERAL,18-64,OTHRPROGRAMS,BEFORE,STATE,COMPLETE,KENTSUSS,45-59,40-49,IND/OTHER,40-49,OTHER,ONLYGORE,ONLYBUSH,ISSUES,,,0.581
STATE ONLY,8.0,2.0,29.0,SECOND CALL,45-49,WHITE,MALE,BUSH,ROTH,BURRIS,APPROVE,FAVORABLE,CASTLE,BUSH,LESS,SUBURBS,SOCIALSECUR,CARES,DOLE,BETTER,APP/FAV,YES,NO,REPUBLCN,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,75-100K,YES,NO,MODERATE,18-64,SOCIALSECURI,BEFORE,STATE,COMPLETE,KENTSUSS,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,BOTH,BOTH,ISSUES,,,0.902
STATE ONLY,8.0,2.0,30.0,SECOND CALL,25-29,BLACK,FEMALE,GORE,CARPER,MINNER,DISAPPR,UNFAVORABLE,CASTLE,GORE,MORE,SUBURBS,SOCIALSECUR,HONEST,NOVOTE,WORSE,DIS/UNFAV,YES,NO,ELSE,SUBURBS,HSGRAD,NONE,NEVER,OVER100K,YES,NO,LIBERAL,18-64,SOCIALSECURI,LAST.3DAYS,STATE,COMPLETE,KENTSUSS,18-29,25-29,IND/OTHER,25-29,NONE,ONLYGORE,ONLYGORE,ISSUES,,,0.611
STATE ONLY,8.0,2.0,31.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,CARPER,MINNER,APPROVE,FAVORABLE,MILLER,GORE,MORE,SUBURBS,MEDICARE/RX,HONEST,CLINTON,BETTER,APP/FAV,YES,YES,DEMOCRAT,SUBURBS,HSGRAD,OTHERCHRIST,AFEWAYEAR,,YES,NO,CONSERV,18-64,CUTFEDINCTAX,LAST.MONTH,STATE,COMPLETE,KENTSUSS,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,0.581
STATE ONLY,8.0,2.0,32.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,CARPER,MINNER,APPROVE,UNFAVORABLE,CASTLE,GORE,MORE,SUBURBS,MEDICARE/RX,EXPERIENCE,CLINTON,BETTER,APP/UNFAV,NO,YES,DEMOCRAT,SUBURBS,HSGRAD,OTHERCHRIST,AFEWAYEAR,30-50K,YES,NO,MODERATE,65+,REDUCNATDEBT,BEFORE,STATE,COMPLETE,KENTSUSS,60+,60+,DEMOCRAT,65+,PROT/CHRIST,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,0.846
STATE ONLY,8.0,2.0,33.0,THIRD CALL,50-59,WHITE,MALE,GORE,CARPER,BURRIS,OMITS,OMITS,CASTLE,OMITS,MORE,SUBURBS,WORLDAFFAIRS,EXPERIENCE,OMITS,OMITS,,,YES,,SUBURBS,,,OMITS,,,,,18-64,OMITS,LAST.3DAYS,STATE,NOTCOMPLETE,KENTSUSS,45-59,50-59,,50-64,,OMITS,OMITS,OMITS,,,0.804
STATE ONLY,8.0,2.0,34.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,CARPER,MINNER,DISAPPR,UNFAVORABLE,CASTLE,BUSH,LESS,SUBURBS,EDUCATION,GOODJUDGMENT,CLINTON,BETTER,DIS/UNFAV,YES,NO,INDEPEND,SUBURBS,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,75-100K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,LAST.MONTH,STATE,COMPLETE,KENTSUSS,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,BOTH,NEITHER,ISSUES,,,0.765
STATE ONLY,8.0,2.0,35.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,CARPER,MINNER,OMITS,OMITS,CASTLE,OMITS,MORE,SUBURBS,WORLDAFFAIRS,GOODJUDGMENT,OMITS,OMITS,,,YES,,SUBURBS,,,OMITS,,,,,18-64,OMITS,LAST.3DAYS,STATE,NOTCOMPLETE,KENTSUSS,30-44,40-49,,40-49,,OMITS,OMITS,OMITS,,,0.765
STATE ONLY,8.0,2.0,36.0,THIRD CALL,25-29,WHITE,MALE,BUSH,CARPER,MINNER,DISAPPR,FAVORABLE,CASTLE,BUSH,LESS,SUBURBS,TAXES,STRONGLEADER,CLINTON,SAME,DIS/FAV,YES,YES,REPUBLCN,SUBURBS,COLGRAD,PROTESTANT,NEVER,30-50K,NO,NO,MODERATE,18-64,REDUCNATDEBT,LAST.MONTH,STATE,COMPLETE,KENTSUSS,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,BOTH,ONLYGORE,PERSONALQUAL,,,0.965
STATE ONLY,8.0,2.0,37.0,THIRD CALL,30-39,WHITE,MALE,GORE,CARPER,MINNER,DISAPPR,UNFAVORABLE,MILLER,GORE,LESS,SUBURBS,ECON/JOBS,CARES,CLINTON,BETTER,DIS/UNFAV,YES,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAMONTH,30-50K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,BEFORE,STATE,COMPLETE,KENTSUSS,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,0.716
STATE ONLY,8.0,2.0,38.0,THIRD CALL,45-49,BLACK,MALE,GORE,CARPER,MINNER,APPROVE,FAVORABLE,MILLER,GORE,MORE,SUBURBS,TAXES,GOODJUDGMENT,CLINTON,BETTER,APP/FAV,YES,NO,DEMOCRAT,SUBURBS,HSGRAD,OTHERCHRIST,ONCEAWEEK,OVER100K,YES,NO,LIBERAL,18-64,CUTFEDINCTAX,BEFORE,STATE,COMPLETE,KENTSUSS,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,BOTH,BOTH,PERSONALQUAL,,,0.645
STATE ONLY,8.0,4.0,1.0,FIRST CALL,30-39,WHITE,MALE,BUSH,ROTH,BURRIS,DISAPPR,UNFAVORABLE,OTHER,BUSH,LESS,SUBURBS,TAXES,HONEST,DOLE,WORSE,DIS/UNFAV,YES,NO,REPUBLCN,SUBURBS,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,30-50K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,BEFORE,STATE,COMPLETE,KENTSUSS,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,ONLYBUSH,ONLYGORE,OMITS,,,2.725
STATE ONLY,8.0,4.0,2.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,CARPER,MINNER,APPROVE,FAVORABLE,MILLER,GORE,MORE,SUBURBS,OMITS,COMPLEXISSUE,CLINTON,SAME,APP/FAV,YES,YES,DEMOCRAT,SUBURBS,NOHS,OTHERCHRIST,ONCEAWEEK,15-30K,NO,NO,MODERATE,18-64,SOCIALSECURI,BEFORE,STATE,COMPLETE,KENTSUSS,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,0.869
STATE ONLY,8.0,4.0,3.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,ROTH,BURRIS,DISAPPR,UNFAVORABLE,CASTLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,GOODJUDGMENT,DOLE,BETTER,DIS/UNFAV,NO,NO,REPUBLCN,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,BEFORE,STATE,COMPLETE,KENTSUSS,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,ONLYGORE,ONLYGORE,PERSONALQUAL,,,1.092
STATE ONLY,8.0,4.0,4.0,FIRST CALL,25-29,HISP,FEMALE,BUSH,CARPER,MINNER,APPROVE,FAVORABLE,CASTLE,BUSH,LESS,SUBURBS,ECON/JOBS,GOODJUDGMENT,PEROT,BETTER,APP/FAV,YES,YES,REPUBLCN,SUBURBS,COLGRAD,CATHOLIC,ONCEAWEEK,15-30K,YES,YES,MODERATE,18-64,REDUCNATDEBT,LAST.MONTH,STATE,COMPLETE,KENTSUSS,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,BOTH,BOTH,PERSONALQUAL,,,1.049
STATE ONLY,8.0,4.0,5.0,FIRST CALL,18-24,BLACK,MALE,NADER,CARPER,MINNER,APPROVE,FAVORABLE,MILLER,WOULDNOTVOTE,LESS,SUBURBS,ECON/JOBS,CARES,NOVOTE,WORSE,APP/FAV,NO,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,15-30K,NO,YES,LIBERAL,18-64,OTHRPROGRAMS,LAST.3DAYS,STATE,COMPLETE,KENTSUSS,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,0.6950000000000001
STATE ONLY,8.0,4.0,6.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,CARPER,MINNER,APPROVE,FAVORABLE,MILLER,GORE,MORE,SUBURBS,ECON/JOBS,STRONGLEADER,CLINTON,BETTER,APP/FAV,YES,NO,DEMOCRAT,SUBURBS,POSTGRAD,NONE,NEVER,15-30K,NO,NO,LIBERAL,18-64,SOCIALSECURI,LAST.MONTH,STATE,COMPLETE,KENTSUSS,45-59,50-59,DEMOCRAT,50-64,NONE,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,0.869
STATE ONLY,8.0,4.0,7.0,FIRST CALL,30-39,WHITE,MALE,BUSH,ROTH,BURRIS,DISAPPR,UNFAVORABLE,CASTLE,BUSH,LESS,SUBURBS,TAXES,HONEST,DOLE,SAME,DIS/UNFAV,YES,NO,REPUBLCN,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,30-50K,YES,YES,CONSERV,18-64,REDUCNATDEBT,BEFORE,STATE,COMPLETE,KENTSUSS,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,1.352
STATE ONLY,8.0,4.0,8.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,CARPER,MINNER,APPROVE,FAVORABLE,CASTLE,GORE,MORE,SUBURBS,ECON/JOBS,EXPERIENCE,CLINTON,SAME,APP/FAV,YES,YES,ELSE,SUBURBS,COLGRAD,OTHERCHRIST,AFEWAYEAR,75-100K,NO,YES,MODERATE,18-64,REDUCNATDEBT,BEFORE,STATE,COMPLETE,KENTSUSS,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,BOTH,BOTH,ISSUES,,,0.993
STATE ONLY,8.0,4.0,9.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,ROTH,MINNER,APPROVE,FAVORABLE,CASTLE,GORE,MORE,SUBURBS,SOCIALSECUR,CARES,CLINTON,SAME,APP/FAV,YES,NO,DEMOCRAT,SUBURBS,HSGRAD,PROTESTANT,AFEWAYEAR,50-75K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,BEFORE,STATE,COMPLETE,KENTSUSS,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,ONLYGORE,ONLYGORE,PERSONALQUAL,,,0.972
STATE ONLY,8.0,4.0,10.0,FIRST CALL,30-39,WHITE,FEMALE,NADER,CARPER,BURRIS,APPROVE,UNFAVORABLE,CASTLE,BUSH,MORE,SUBURBS,WORLDAFFAIRS,CARES,NOVOTE,SAME,APP/UNFAV,YES,YES,INDEPEND,SUBURBS,SOMCOL/ASSOC,NONE,NEVER,15-30K,NO,YES,LIBERAL,18-64,REDUCNATDEBT,BEFORE,STATE,COMPLETE,KENTSUSS,30-44,30-39,IND/OTHER,30-39,NONE,NEITHER,BOTH,PERSONALQUAL,,,0.685
STATE ONLY,8.0,4.0,11.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,ROTH,MINNER,APPROVE,FAVORABLE,CASTLE,BUSH,MORE,SUBURBS,EDUCATION,LIKEABLE,CLINTON,SAME,APP/FAV,YES,NO,INDEPEND,SUBURBS,SOMCOL/ASSOC,ELSE,NEVER,30-50K,YES,YES,MODERATE,18-64,SOCIALSECURI,BEFORE,STATE,COMPLETE,KENTSUSS,30-44,30-39,IND/OTHER,30-39,OTHER,BOTH,ONLYGORE,PERSONALQUAL,,,1.119
