VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,TIME,CLINTON,BCPERSON,XWAY2000,ISSUE,QUAL,RELRIGHT,X6VOTE,UNFAIR,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,16.0,5.0,11.0,FIRST CALL,60-64,WHITE,,BUSH,BEFORE,OMITS,OMITS,OMITS,MEDICARE/RX,CARES,NO,OMITS,GOREDID,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,CENTRAL,60+,60+,,50-64,,,,0.838
STATE ONLY,16.0,5.0,12.0,FIRST CALL,65-74,WHITE,,BUSH,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,GOREDID,OMITS,,,,,,,65+,STATE,NOTCOMPLETE,CENTRAL,60+,60+,,65+,,,,0.867
STATE ONLY,16.0,5.0,13.0,FIRST CALL,30-39,WHITE,MALE,GORE,LAST.3DAYS,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,CARES,NO,CLINTON,NEITHERDID,SAME,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,CENTRAL,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.71
STATE ONLY,16.0,5.0,14.0,FIRST CALL,65-74,WHITE,MALE,BUSH,BEFORE,APPROVE,UNFAVORABLE,BUSH,MEDICARE/RX,HONEST,OMITS,DOLE,BOTHDID,BETTER,APP/UNFAV,REPUBLCN,NOHS,PROTESTANT,15-30K,CONSERV,65+,STATE,COMPLETE,CENTRAL,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.867
STATE ONLY,16.0,5.0,15.0,FIRST CALL,25-29,WHITE,MALE,BUSH,LAST.3DAYS,DISAPPR,UNFAVORABLE,BUSH,EDUCATION,STRONGLEADER,NO,NOVOTE,BOTHDID,BETTER,DIS/UNFAV,ELSE,POSTGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,CENTRAL,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,,,0.7000000000000001
STATE ONLY,16.0,5.0,16.0,FIRST CALL,65-74,WHITE,MALE,BUSH,BEFORE,APPROVE,UNFAVORABLE,BUSH,OMITS,HONEST,NO,DOLE,GOREDID,BETTER,APP/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,50-75K,MODERATE,65+,STATE,COMPLETE,CENTRAL,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.867
STATE ONLY,16.0,5.0,17.0,SECOND CALL,75+,BLACK,,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,OMITS,LIKEABLE,NO,DOLE,BOTHDID,SAME,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,15-30K,CONSERV,65+,STATE,COMPLETE,CENTRAL,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,0.652
STATE ONLY,16.0,5.0,18.0,SECOND CALL,65-74,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,HEALTHCARE,EXPERIENCE,NO,CLINTON,BOTHDID,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,15-30K,CONSERV,65+,STATE,COMPLETE,CENTRAL,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.851
STATE ONLY,16.0,5.0,19.0,SECOND CALL,65-74,WHITE,MALE,BUSH,BEFORE,OMITS,OMITS,OMITS,OMITS,STRONGLEADER,NO,OMITS,GOREDID,OMITS,,,,,,,65+,STATE,NOTCOMPLETE,CENTRAL,60+,60+,,65+,,,,0.867
STATE ONLY,16.0,5.0,20.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,BEFORE,OMITS,OMITS,OMITS,WORLDAFFAIRS,OMITS,YES,OMITS,GOREDID,OMITS,,,,,,,65+,STATE,NOTCOMPLETE,CENTRAL,60+,60+,,65+,,,,0.838
STATE ONLY,16.0,5.0,21.0,SECOND CALL,45-49,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,HONEST,NO,DOLE,GOREDID,WORSE,DIS/UNFAV,REPUBLCN,,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,CENTRAL,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.724
STATE ONLY,16.0,5.0,22.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,LAST.MONTH,APPROVE,FAVORABLE,GORE,OMITS,OMITS,OMITS,CLINTON,BOTHDID,SAME,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,,MODERATE,18-64,STATE,COMPLETE,CENTRAL,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.686
STATE ONLY,16.0,5.0,23.0,THIRD CALL,30-39,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,HONEST,YES,DOLE,GOREDID,BETTER,DIS/UNFAV,ELSE,SOMCOL/ASSOC,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,CENTRAL,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.724
STATE ONLY,16.0,5.0,24.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,LASTWEEK,DISAPPR,UNFAVORABLE,GORE,ECON/JOBS,CARES,NO,PEROT,NEITHERDID,BETTER,DIS/UNFAV,INDEPEND,COLGRAD,OTHERCHRIST,50-75K,LIBERAL,18-64,STATE,COMPLETE,CENTRAL,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.686
STATE ONLY,16.0,5.0,25.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,BEFORE,OMITS,OMITS,OMITS,OMITS,HONEST,NO,OMITS,GOREDID,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,CENTRAL,30-44,40-49,,40-49,,,,0.6980000000000001
STATE ONLY,16.0,5.0,26.0,THIRD CALL,25-29,WHITE,MALE,GORE,LAST.MONTH,APPROVE,FAVORABLE,GORE,ECON/JOBS,STRONGLEADER,NO,CLINTON,BUSHDID,BETTER,APP/FAV,DEMOCRAT,COLGRAD,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,CENTRAL,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,0.687
STATE ONLY,16.0,5.0,27.0,THIRD CALL,40-44,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,GOODJUDGMENT,YES,CLINTON,BOTHDID,BETTER,APP/FAV,INDEPEND,POSTGRAD,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,CENTRAL,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.71
STATE ONLY,16.0,5.0,28.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,BEFORE,APPROVE,FAVORABLE,BUSH,HEALTHCARE,STRONGLEADER,NO,CLINTON,BOTHDID,SAME,APP/FAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,LIBERAL,18-64,STATE,COMPLETE,CENTRAL,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.6980000000000001
STATE ONLY,16.0,5.0,29.0,THIRD CALL,18-24,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,GOODJUDGMENT,NO,DOLE,GOREDID,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,CENTRAL,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.7000000000000001
STATE ONLY,16.0,5.0,30.0,THIRD CALL,50-59,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,SOCIALSECUR,HONEST,NO,CLINTON,GOREDID,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,CONSERV,18-64,STATE,COMPLETE,CENTRAL,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.724
STATE ONLY,16.0,5.0,31.0,THIRD CALL,60-64,WHITE,MALE,BUSH,BEFORE,OMITS,OMITS,OMITS,TAXES,HONEST,NO,OMITS,GOREDID,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,CENTRAL,60+,60+,,50-64,,,,0.867
STATE ONLY,16.0,5.0,32.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,EDUCATION,GOODJUDGMENT,NO,CLINTON,NEITHERDID,SAME,APP/UNFAV,,COLGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,CENTRAL,30-44,30-39,,30-39,PROT/CHRIST,,,0.686
STATE ONLY,16.0,5.0,33.0,THIRD CALL,30-39,WHITE,MALE,BUSH,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,OMITS,STRONGLEADER,YES,NOVOTE,GOREDID,SAME,DIS/UNFAV,REPUBLCN,NOHS,ELSE,30-50K,CONSERV,18-64,STATE,COMPLETE,CENTRAL,30-44,30-39,REPUBLICAN,30-39,OTHER,,,0.724
STATE ONLY,16.0,5.0,34.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,LAST.3DAYS,APPROVE,FAVORABLE,BUSH,MEDICARE/RX,OMITS,YES,CLINTON,GOREDID,SAME,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,CENTRAL,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.6980000000000001
STATE ONLY,16.0,5.0,35.0,THIRD CALL,45-49,WHITE,MALE,BUSH,LASTWEEK,APPROVE,FAVORABLE,BUSH,TAXES,GOODJUDGMENT,NO,NOVOTE,BOTHDID,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,NONE,30-50K,MODERATE,18-64,STATE,COMPLETE,CENTRAL,45-59,40-49,DEMOCRAT,40-49,NONE,,,0.724
STATE ONLY,16.0,5.0,36.0,THIRD CALL,45-49,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,OMITS,HONEST,NO,DOLE,NEITHERDID,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,CENTRAL,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.724
STATE ONLY,16.0,5.0,37.0,THIRD CALL,18-24,WHITE,MALE,BUSH,LAST.MONTH,APPROVE,UNFAVORABLE,BUSH,TAXES,CARES,OMITS,NOVOTE,BOTHDID,BETTER,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,,CONSERV,18-64,STATE,COMPLETE,CENTRAL,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,0.7000000000000001
STATE ONLY,16.0,5.0,38.0,THIRD CALL,65-74,WHITE,FEMALE,BUSH,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,OMITS,HONEST,OMITS,DOLE,BOTHDID,SAME,DIS/UNFAV,INDEPEND,HSGRAD,PROTESTANT,,CONSERV,65+,STATE,COMPLETE,CENTRAL,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,0.838
STATE ONLY,16.0,6.0,1.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,EXPERIENCE,NO,CLINTON,NEITHERDID,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,WEST,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.0230000000000001
STATE ONLY,16.0,6.0,2.0,FIRST CALL,50-59,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,OMITS,HONEST,NO,CLINTON,BOTHDID,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,50-75K,LIBERAL,18-64,STATE,COMPLETE,WEST,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.054
STATE ONLY,16.0,6.0,3.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,LAST.MONTH,APPROVE,FAVORABLE,GORE,OMITS,CARES,OMITS,CLINTON,BUSHDID,SAME,APP/FAV,REPUBLCN,HSGRAD,PROTESTANT,LESS15K,,65+,STATE,COMPLETE,WEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.211
STATE ONLY,16.0,6.0,4.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,LASTWEEK,APPROVE,UNFAVORABLE,BUSH,HEALTHCARE,GOODJUDGMENT,YES,CLINTON,GOREDID,BETTER,APP/UNFAV,DEMOCRAT,HSGRAD,CATHOLIC,15-30K,MODERATE,65+,STATE,COMPLETE,WEST,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.272
STATE ONLY,16.0,6.0,5.0,FIRST CALL,75+,BLACK,,BUSH,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,MEDICARE/RX,CARES,OMITS,DOLE,BOTHDID,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,15-30K,MODERATE,65+,STATE,COMPLETE,WEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.909
STATE ONLY,16.0,6.0,6.0,FIRST CALL,50-59,WHITE,MALE,NADER,LAST.MONTH,APPROVE,FAVORABLE,GORE,MEDICARE/RX,COMPLEXISSUE,NO,CLINTON,BOTHDID,BETTER,APP/FAV,DEMOCRAT,,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,WEST,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,4.591
STATE ONLY,16.0,6.0,7.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,HEALTHCARE,EXPERIENCE,NO,CLINTON,NEITHERDID,SAME,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,WEST,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.0230000000000001
STATE ONLY,16.0,6.0,8.0,FIRST CALL,75+,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,MEDICARE/RX,STRONGLEADER,NO,CLINTON,NEITHERDID,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,LIBERAL,65+,STATE,COMPLETE,WEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.247
STATE ONLY,16.0,6.0,9.0,FIRST CALL,75+,WHITE,MALE,GORE,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,HEALTHCARE,COMPLEXISSUE,NO,CLINTON,NEITHERDID,SAME,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,65+,STATE,COMPLETE,WEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.247
STATE ONLY,16.0,6.0,10.0,FIRST CALL,45-49,WHITE,MALE,BUSH,BEFORE,APPROVE,FAVORABLE,BUSH,ECON/JOBS,HONEST,NO,DOLE,GOREDID,WORSE,APP/FAV,REPUBLCN,HSGRAD,PROTESTANT,LESS15K,LIBERAL,18-64,STATE,COMPLETE,WEST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.107
STATE ONLY,16.0,6.0,11.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MEDICARE/RX,STRONGLEADER,NO,NOVOTE,BOTHDID,WORSE,DIS/UNFAV,REPUBLCN,HSGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,WEST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.074
STATE ONLY,16.0,6.0,12.0,FIRST CALL,50-59,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,MEDICARE/RX,EXPERIENCE,NO,CLINTON,NEITHERDID,BETTER,APP/FAV,INDEPEND,NOHS,PROTESTANT,LESS15K,LIBERAL,18-64,STATE,COMPLETE,WEST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.054
STATE ONLY,16.0,6.0,13.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,HONEST,NO,DOLE,GOREDID,BETTER,DIS/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,WEST,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,,1.074
STATE ONLY,16.0,6.0,14.0,FIRST CALL,65-74,WHITE,MALE,GORE,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,COMPLEXISSUE,NO,CLINTON,BOTHDID,BETTER,APP/UNFAV,INDEPEND,HSGRAD,PROTESTANT,OVER100K,MODERATE,65+,STATE,COMPLETE,WEST,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.247
STATE ONLY,16.0,6.0,15.0,FIRST CALL,45-49,WHITE,MALE,BUSH,BEFORE,APPROVE,UNFAVORABLE,BUSH,ECON/JOBS,HONEST,NO,CLINTON,GOREDID,WORSE,APP/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,WEST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.107
STATE ONLY,16.0,6.0,16.0,SECOND CALL,50-59,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,HEALTHCARE,COMPLEXISSUE,NO,CLINTON,BUSHDID,SAME,APP/FAV,DEMOCRAT,POSTGRAD,ELSE,15-30K,LIBERAL,18-64,STATE,COMPLETE,WEST,45-59,50-59,DEMOCRAT,50-64,OTHER,,,1.054
STATE ONLY,16.0,6.0,17.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,BEFORE,APPROVE,UNFAVORABLE,BUSH,WORLDAFFAIRS,OMITS,OMITS,DOLE,GOREDID,SAME,APP/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,,CONSERV,65+,STATE,COMPLETE,WEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.272
STATE ONLY,16.0,6.0,18.0,SECOND CALL,30-39,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,TAXES,CARES,NO,CLINTON,NEITHERDID,BETTER,APP/FAV,INDEPEND,HSGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,WEST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.054
STATE ONLY,16.0,6.0,19.0,SECOND CALL,30-39,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,TAXES,EXPERIENCE,NO,DOLE,GOREDID,WORSE,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,WEST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.107
STATE ONLY,16.0,6.0,20.0,SECOND CALL,50-59,WHITE,MALE,GORE,LAST.MONTH,APPROVE,FAVORABLE,GORE,ECON/JOBS,CARES,NO,CLINTON,BOTHDID,SAME,APP/FAV,INDEPEND,HSGRAD,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,WEST,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.054
STATE ONLY,16.0,6.0,21.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,HONEST,NO,PEROT,BOTHDID,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,WEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.074
STATE ONLY,16.0,6.0,22.0,SECOND CALL,50-59,WHITE,MALE,GORE,BEFORE,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,HONEST,YES,CLINTON,BUSHDID,SAME,APP/UNFAV,INDEPEND,HSGRAD,CATHOLIC,75-100K,CONSERV,18-64,STATE,COMPLETE,WEST,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.054
STATE ONLY,16.0,6.0,23.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,BEFORE,APPROVE,UNFAVORABLE,BUSH,WORLDAFFAIRS,HONEST,NO,DOLE,BOTHDID,SAME,APP/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,WEST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.074
STATE ONLY,16.0,6.0,24.0,SECOND CALL,30-39,WHITE,MALE,BUSH,BEFORE,APPROVE,UNFAVORABLE,BUSH,WORLDAFFAIRS,STRONGLEADER,NO,DOLE,NEITHERDID,SAME,APP/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,WEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.107
STATE ONLY,16.0,6.0,25.0,SECOND CALL,30-39,WHITE,MALE,BUSH,LAST.MONTH,OMITS,OMITS,OMITS,TAXES,HONEST,NO,OMITS,GOREDID,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,WEST,30-44,30-39,,30-39,,,,1.107
STATE ONLY,16.0,6.0,26.0,THIRD CALL,30-39,WHITE,FEMALE,BUCHANAN,LAST.MONTH,DISAPPR,OMITS,BUSH,OMITS,HONEST,OMITS,DOLE,BOTHDID,BETTER,OMITS,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,WEST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.735
STATE ONLY,16.0,6.0,27.0,THIRD CALL,65-74,WHITE,MALE,BUSH,BEFORE,APPROVE,UNFAVORABLE,BUSH,SOCIALSECUR,HONEST,NO,DOLE,GOREDID,BETTER,APP/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,15-30K,CONSERV,65+,STATE,COMPLETE,WEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.311
STATE ONLY,16.0,6.0,28.0,THIRD CALL,65-74,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,OMITS,STRONGLEADER,NO,DOLE,GOREDID,WORSE,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,15-30K,CONSERV,65+,STATE,COMPLETE,WEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.272
STATE ONLY,16.0,6.0,29.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,LAST.3DAYS,APPROVE,FAVORABLE,BUSH,ECON/JOBS,CARES,NO,NOVOTE,BOTHDID,BETTER,APP/FAV,INDEPEND,COLGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,WEST,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,1.548
