VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,HOU,XWAY2000,PROPSD,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,42.0,1.0,15.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,APPROVE,FAVORABLE,HOHN,BUSH,YES,CLINTON,BETTER,APP/FAV,REPUBLCN,NONE,30-50K,LIBERAL,18-64,STATE,NORTHEST,18-29,25-29,REPUBLICAN,25-29,NONE,,,0.583
STATE ONLY,42.0,1.0,16.0,SECOND CALL,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,HOHN,GORE,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,30-50K,MODERATE,18-64,STATE,NORTHEST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.7010000000000001
STATE ONLY,42.0,1.0,17.0,SECOND CALL,65-74,WHITE,MALE,GORE,APPROVE,FAVORABLE,HOHN,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,30-50K,LIBERAL,65+,STATE,NORTHEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.897
STATE ONLY,42.0,1.0,18.0,SECOND CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,CONSERV,18-64,STATE,NORTHEST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.66
STATE ONLY,42.0,1.0,19.0,SECOND CALL,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,HOHN,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,OVER100K,MODERATE,18-64,STATE,NORTHEST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.006
STATE ONLY,42.0,1.0,20.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,PEROT,BETTER,DIS/UNFAV,ELSE,PROTESTANT,15-30K,CONSERV,18-64,STATE,NORTHEST,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.603
STATE ONLY,42.0,1.0,21.0,SECOND CALL,65-74,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,,CONSERV,65+,STATE,NORTHEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.842
STATE ONLY,42.0,1.0,22.0,SECOND CALL,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,NORTHEST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.66
STATE ONLY,42.0,1.0,23.0,SECOND CALL,45-49,OTHER,FEMALE,GORE,APPROVE,FAVORABLE,,GORE,,CLINTON,BETTER,APP/FAV,DEMOCRAT,CATHOLIC,50-75K,MODERATE,18-64,STATE,NORTHEST,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.881
STATE ONLY,42.0,1.0,24.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,THUNE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,15-30K,LIBERAL,18-64,STATE,NORTHEST,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,0.886
STATE ONLY,42.0,1.0,25.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,NO,CLINTON,SAME,DIS/UNFAV,DEMOCRAT,PROTESTANT,15-30K,MODERATE,65+,STATE,NORTHEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.102
STATE ONLY,42.0,1.0,26.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,DISAPPR,UNFAVORABLE,THUNE,WOULDNOTVOTE,YES,CLINTON,BETTER,DIS/UNFAV,DEMOCRAT,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,NORTHEST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.6930000000000001
STATE ONLY,42.0,1.0,27.0,SECOND CALL,30-39,HISP,FEMALE,BUSH,DISAPPR,UNFAVORABLE,,BUSH,,CLINTON,BETTER,DIS/UNFAV,REPUBLCN,ELSE,30-50K,MODERATE,18-64,STATE,NORTHEST,30-44,30-39,REPUBLICAN,30-39,OTHER,,,0.522
STATE ONLY,42.0,1.0,28.0,THIRD CALL,30-39,WHITE,MALE,BUSH,DISAPPR,OMITS,THUNE,BUSH,YES,DOLE,SAME,OMITS,INDEPEND,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,NORTHEST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.66
STATE ONLY,42.0,1.0,29.0,THIRD CALL,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,NO,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,STATE,NORTHEST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.9450000000000001
STATE ONLY,42.0,1.0,30.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,HOHN,GORE,NO,CLINTON,WORSE,APP/UNFAV,INDEPEND,PROTESTANT,15-30K,MODERATE,18-64,STATE,NORTHEST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.916
STATE ONLY,42.0,1.0,31.0,THIRD CALL,18-24,WHITE,MALE,GORE,APPROVE,FAVORABLE,HOHN,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,CATHOLIC,30-50K,MODERATE,18-64,STATE,NORTHEST,18-29,18-24,DEMOCRAT,18-24,CATHOLIC,,,1.053
STATE ONLY,42.0,1.0,32.0,THIRD CALL,65-74,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,NO,DOLE,WORSE,DIS/UNFAV,REPUBLCN,CATHOLIC,30-50K,CONSERV,65+,STATE,NORTHEST,60+,60+,REPUBLICAN,65+,CATHOLIC,,,1.206
STATE ONLY,42.0,1.0,33.0,THIRD CALL,45-49,WHITE,MALE,OTHER,APPROVE,FAVORABLE,THUNE,WOULDNOTVOTE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,NORTHEST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.865
STATE ONLY,42.0,1.0,34.0,THIRD CALL,50-59,WHITE,MALE,,APPROVE,FAVORABLE,THUNE,GORE,,CLINTON,SAME,APP/FAV,DEMOCRAT,OTHERCHRIST,LESS15K,,18-64,STATE,NORTHEST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.838
STATE ONLY,42.0,1.0,35.0,THIRD CALL,30-39,WHITE,MALE,BUSH,APPROVE,FAVORABLE,THUNE,BUSH,NO,NOVOTE,BETTER,APP/FAV,INDEPEND,OTHERCHRIST,30-50K,LIBERAL,18-64,STATE,NORTHEST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.9450000000000001
STATE ONLY,42.0,1.0,36.0,THIRD CALL,50-59,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,THUNE,BUSH,YES,DOLE,BETTER,APP/UNFAV,REPUBLCN,PROTESTANT,OVER100K,CONSERV,18-64,STATE,NORTHEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.66
STATE ONLY,42.0,9.0,1.0,FIRST CALL,25-29,WHITE,MALE,GORE,APPROVE,FAVORABLE,HOHN,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,30-50K,LIBERAL,18-64,STATE,SOUTHEST,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,4.168
STATE ONLY,42.0,9.0,2.0,FIRST CALL,75+,,FEMALE,GORE,APPROVE,FAVORABLE,THUNE,GORE,YES,CLINTON,WORSE,APP/FAV,DEMOCRAT,PROTESTANT,,MODERATE,65+,STATE,SOUTHEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,3.479
STATE ONLY,42.0,9.0,3.0,FIRST CALL,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,PEROT,BETTER,DIS/UNFAV,DEMOCRAT,CATHOLIC,50-75K,CONSERV,18-64,STATE,SOUTHEST,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.786
STATE ONLY,42.0,9.0,4.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,HOHN,GORE,YES,PEROT,WORSE,APP/UNFAV,INDEPEND,PROTESTANT,30-50K,MODERATE,18-64,STATE,SOUTHEST,60+,60+,IND/OTHER,50-64,PROT/CHRIST,,,3.209
STATE ONLY,42.0,9.0,5.0,FIRST CALL,65-74,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,CONSERV,65+,STATE,SOUTHEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.942
STATE ONLY,42.0,9.0,6.0,FIRST CALL,65-74,WHITE,MALE,GORE,APPROVE,FAVORABLE,HOHN,GORE,NO,CLINTON,WORSE,APP/FAV,INDEPEND,PROTESTANT,LESS15K,MODERATE,65+,STATE,SOUTHEST,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,4.168
STATE ONLY,42.0,9.0,7.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,CLINTON,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,18-64,STATE,SOUTHEST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.971
STATE ONLY,42.0,9.0,8.0,FIRST CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,MODERATE,18-64,STATE,SOUTHEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,2.56
STATE ONLY,42.0,9.0,9.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,STATE,SOUTHEST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,2.822
STATE ONLY,42.0,9.0,10.0,FIRST CALL,30-39,WHITE,MALE,BUSH,APPROVE,FAVORABLE,THUNE,BUSH,NO,CLINTON,OMITS,APP/FAV,INDEPEND,OTHERCHRIST,15-30K,,18-64,STATE,SOUTHEST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,2.56
STATE ONLY,42.0,9.0,11.0,FIRST CALL,65-74,WHITE,FEMALE,,DISAPPR,UNFAVORABLE,THUNE,WOULDNOTVOTE,YES,CLINTON,SAME,DIS/UNFAV,DEMOCRAT,PROTESTANT,30-50K,CONSERV,65+,STATE,SOUTHEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,2.572
STATE ONLY,42.0,9.0,12.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,18-64,STATE,SOUTHEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.971
STATE ONLY,42.0,9.0,13.0,SECOND CALL,65-74,WHITE,MALE,GORE,DISAPPR,UNFAVORABLE,HOHN,GORE,NO,CLINTON,WORSE,DIS/UNFAV,DEMOCRAT,CATHOLIC,LESS15K,MODERATE,65+,STATE,SOUTHEST,60+,60+,DEMOCRAT,65+,CATHOLIC,,,4.168
STATE ONLY,42.0,9.0,14.0,SECOND CALL,65-74,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,65+,STATE,SOUTHEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.942
STATE ONLY,42.0,9.0,15.0,SECOND CALL,45-49,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,THUNE,BUSH,YES,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,SOUTHEST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.786
STATE ONLY,42.0,9.0,16.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,CONSERV,65+,STATE,SOUTHEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,2.14
STATE ONLY,42.0,9.0,17.0,SECOND CALL,18-24,WHITE,MALE,BUSH,APPROVE,FAVORABLE,THUNE,BUSH,NO,CLINTON,SAME,APP/FAV,INDEPEND,CATHOLIC,50-75K,LIBERAL,18-64,STATE,SOUTHEST,18-29,18-24,IND/OTHER,18-24,CATHOLIC,,,2.781
STATE ONLY,42.0,9.0,18.0,SECOND CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,18-64,STATE,SOUTHEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,2.56
STATE ONLY,42.0,9.0,19.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,NO,DOLE,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,SOUTHEST,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,3.065
STATE ONLY,42.0,9.0,20.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,,OTHER,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,,CONSERV,65+,STATE,SOUTHEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,2.5580000000000003
STATE ONLY,42.0,9.0,21.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,18-64,STATE,SOUTHEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.971
STATE ONLY,42.0,9.0,22.0,SECOND CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,STATE,SOUTHEST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.786
STATE ONLY,42.0,9.0,23.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,THUNE,BUSH,YES,DOLE,BETTER,APP/UNFAV,INDEPEND,PROTESTANT,15-30K,MODERATE,18-64,STATE,SOUTHEST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.971
STATE ONLY,42.0,9.0,24.0,SECOND CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,PEROT,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,75-100K,MODERATE,18-64,STATE,SOUTHEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.786
STATE ONLY,42.0,9.0,25.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,CONSERV,65+,STATE,SOUTHEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,3.065
STATE ONLY,42.0,9.0,26.0,THIRD CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,DOLE,BETTER,DIS/UNFAV,DEMOCRAT,CATHOLIC,75-100K,MODERATE,18-64,STATE,SOUTHEST,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.786
STATE ONLY,42.0,9.0,27.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,HOHN,GORE,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,15-30K,LIBERAL,18-64,STATE,SOUTHEST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,4.232
STATE ONLY,42.0,9.0,28.0,THIRD CALL,18-24,WHITE,MALE,BUSH,APPROVE,FAVORABLE,HOHN,BUSH,YES,PEROT,WORSE,APP/FAV,REPUBLCN,CATHOLIC,15-30K,CONSERV,18-64,STATE,SOUTHEST,18-29,18-24,REPUBLICAN,18-24,CATHOLIC,,,1.7890000000000001
STATE ONLY,42.0,9.0,29.0,THIRD CALL,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,CATHOLIC,50-75K,CONSERV,18-64,STATE,SOUTHEST,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,,1.786
STATE ONLY,42.0,9.0,30.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,MODERATE,18-64,STATE,SOUTHEST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.971
STATE ONLY,42.0,9.0,31.0,THIRD CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,,CONSERV,18-64,STATE,SOUTHEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.786
STATE ONLY,42.0,9.0,32.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,THUNE,GORE,YES,CLINTON,WORSE,APP/FAV,REPUBLCN,CATHOLIC,LESS15K,MODERATE,18-64,STATE,SOUTHEST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.982
STATE ONLY,42.0,9.0,33.0,THIRD CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,18-64,STATE,SOUTHEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.786
STATE ONLY,42.0,9.0,34.0,THIRD CALL,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,DOLE,BETTER,DIS/UNFAV,,,,CONSERV,18-64,STATE,SOUTHEST,30-44,40-49,,40-49,,,,1.786
STATE ONLY,42.0,9.0,35.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,OTHER,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,,,18-64,STATE,SOUTHEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.971
STATE ONLY,42.0,9.0,36.0,THIRD CALL,75+,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,PEROT,WORSE,DIS/UNFAV,INDEPEND,PROTESTANT,15-30K,MODERATE,65+,STATE,SOUTHEST,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.942
STATE ONLY,42.0,10.0,1.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,THUNE,GORE,NO,NOVOTE,BETTER,APP/FAV,INDEPEND,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,NORTHEST,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,,,2.062
STATE ONLY,42.0,10.0,2.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,THUNE,BUSH,NO,DOLE,WORSE,APP/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,18-64,STATE,NORTHEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.706
STATE ONLY,42.0,10.0,3.0,FIRST CALL,25-29,BLACK,MALE,BUCHANAN,DISAPPR,UNFAVORABLE,HOHN,BUSH,NO,CLINTON,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,LESS15K,LIBERAL,18-64,STATE,NORTHEST,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,2.1510000000000002
STATE ONLY,42.0,10.0,4.0,FIRST CALL,75+,WHITE,,GORE,APPROVE,UNFAVORABLE,THUNE,GORE,YES,CLINTON,SAME,APP/UNFAV,DEMOCRAT,PROTESTANT,,MODERATE,65+,STATE,NORTHEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.752
STATE ONLY,42.0,10.0,5.0,FIRST CALL,18-24,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,WOULDNOTVOTE,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,NONE,30-50K,MODERATE,18-64,STATE,NORTHEST,18-29,18-24,REPUBLICAN,18-24,NONE,,,1.96
STATE ONLY,42.0,10.0,6.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,DISAPPR,UNFAVORABLE,HOHN,GORE,NO,PEROT,SAME,DIS/UNFAV,REPUBLCN,CATHOLIC,30-50K,CONSERV,18-64,STATE,NORTHEST,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,1.9020000000000001
STATE ONLY,42.0,10.0,7.0,FIRST CALL,75+,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,65+,STATE,NORTHEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,2.383
STATE ONLY,42.0,10.0,8.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,THUNE,BUSH,NO,DOLE,SAME,APP/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,65+,STATE,NORTHEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,2.178
