VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,TIME,CLINTON,BCPERSON,XWAY2000,ISSUE,RELRIGHT,X6VOTE,ENVIRON,UNION4,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,49.0,4.0,16.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,BYRD,WISE,LAST.3DAYS,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,YES,NOVOTE,PROGRWTH,SOMEONEELSE,BETTER,DIS/UNFAV,,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,OHIORIVER,18-29,25-29,,25-29,PROT/CHRIST,,,1.205
STATE ONLY,49.0,4.0,17.0,SECOND CALL,50-59,WHITE,MALE,BUSH,BYRD,UNDERWOOD,BEFORE,DISAPPR,FAVORABLE,BUSH,OMITS,YES,PEROT,PROGRWTH,MEANDSOMEONE,SAME,DIS/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,OHIORIVER,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.884
STATE ONLY,49.0,4.0,18.0,SECOND CALL,40-44,WHITE,MALE,BUSH,BYRD,UNDERWOOD,LAST.3DAYS,DISAPPR,UNFAVORABLE,BUSH,SOCIALSECUR,YES,PEROT,PROGRWTH,NONE,SAME,DIS/UNFAV,INDEPEND,HSGRAD,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,OHIORIVER,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.884
STATE ONLY,49.0,4.0,19.0,SECOND CALL,30-39,WHITE,MALE,BUSH,GALLAHER,UNDERWOOD,BEFORE,DISAPPR,UNFAVORABLE,BUSH,OMITS,NO,DOLE,PROGRWTH,NONE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,NONE,50-75K,CONSERV,18-64,STATE,COMPLETE,OHIORIVER,30-44,30-39,REPUBLICAN,30-39,NONE,,,0.868
STATE ONLY,49.0,4.0,20.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,BYRD,WISE,BEFORE,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,NO,NOVOTE,PROGRWTH,NONE,BETTER,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,OHIORIVER,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,0.759
STATE ONLY,49.0,4.0,21.0,SECOND CALL,75+,WHITE,MALE,GORE,BYRD,WISE,BEFORE,APPROVE,FAVORABLE,GORE,SOCIALSECUR,YES,CLINTON,PROENVIR,ME,BETTER,APP/FAV,DEMOCRAT,NOHS,PROTESTANT,15-30K,CONSERV,65+,STATE,COMPLETE,OHIORIVER,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.915
STATE ONLY,49.0,4.0,22.0,SECOND CALL,60-64,WHITE,MALE,GORE,BYRD,WISE,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,MEDICARE/RX,NO,CLINTON,PROGRWTH,ME,BETTER,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,ELSE,50-75K,MODERATE,18-64,STATE,COMPLETE,OHIORIVER,60+,60+,DEMOCRAT,50-64,OTHER,,,0.915
STATE ONLY,49.0,4.0,23.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,BYRD,WISE,LAST.3DAYS,DISAPPR,UNFAVORABLE,GORE,MEDICARE/RX,NO,NOVOTE,PROENVIR,NONE,SAME,DIS/UNFAV,DEMOCRAT,HSGRAD,PROTESTANT,30-50K,MODERATE,65+,STATE,COMPLETE,OHIORIVER,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.759
STATE ONLY,49.0,4.0,24.0,SECOND CALL,75+,WHITE,MALE,BUSH,BYRD,UNDERWOOD,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MEDICARE/RX,NO,DOLE,PROGRWTH,ME,SAME,DIS/UNFAV,DEMOCRAT,HSGRAD,PROTESTANT,,CONSERV,65+,STATE,COMPLETE,OHIORIVER,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.12
STATE ONLY,49.0,4.0,25.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,BYRD,WISE,BEFORE,APPROVE,FAVORABLE,GORE,SOCIALSECUR,YES,CLINTON,PROGRWTH,NONE,WORSE,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,OHIORIVER,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.597
STATE ONLY,49.0,4.0,26.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,BYRD,UNDERWOOD,BEFORE,APPROVE,UNFAVORABLE,GORE,OMITS,NO,CLINTON,PROGRWTH,ME,SAME,APP/UNFAV,DEMOCRAT,HSGRAD,PROTESTANT,50-75K,LIBERAL,18-64,STATE,COMPLETE,OHIORIVER,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.498
STATE ONLY,49.0,4.0,27.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,BYRD,WISE,BEFORE,APPROVE,FAVORABLE,GORE,EDUCATION,YES,CLINTON,PROGRWTH,SOMEONEELSE,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,OHIORIVER,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.597
STATE ONLY,49.0,4.0,28.0,THIRD CALL,65-74,WHITE,FEMALE,BUCHANAN,BYRD,WISE,LAST.3DAYS,DISAPPR,FAVORABLE,GORE,HEALTHCARE,YES,CLINTON,PROGRWTH,NONE,WORSE,DIS/FAV,DEMOCRAT,NOHS,PROTESTANT,15-30K,CONSERV,65+,STATE,COMPLETE,OHIORIVER,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.386
STATE ONLY,49.0,4.0,29.0,THIRD CALL,40-44,WHITE,MALE,BUSH,BYRD,UNDERWOOD,LAST.MONTH,APPROVE,UNFAVORABLE,BUSH,WORLDAFFAIRS,YES,DOLE,PROGRWTH,NONE,BETTER,APP/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,OHIORIVER,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.884
STATE ONLY,49.0,4.0,30.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,BYRD,UNDERWOOD,BEFORE,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,NO,CLINTON,PROENVIR,NONE,SAME,APP/UNFAV,DEMOCRAT,COLGRAD,OTHERCHRIST,30-50K,LIBERAL,18-64,STATE,COMPLETE,OHIORIVER,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.498
STATE ONLY,49.0,4.0,31.0,THIRD CALL,30-39,WHITE,FEMALE,BUCHANAN,GALLAHER,WISE,LAST.3DAYS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,PROENVIR,SOMEONEELSE,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,OHIORIVER,30-44,30-39,,30-39,,,,0.297
STATE ONLY,49.0,4.0,32.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,GALLAHER,UNDERWOOD,BEFORE,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,YES,PEROT,PROGRWTH,SOMEONEELSE,WORSE,DIS/UNFAV,DEMOCRAT,HSGRAD,PROTESTANT,15-30K,CONSERV,18-64,STATE,COMPLETE,OHIORIVER,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.716
STATE ONLY,49.0,4.0,33.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,BYRD,UNDERWOOD,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,NO,NOVOTE,PROGRWTH,SOMEONEELSE,SAME,DIS/UNFAV,DEMOCRAT,COLGRAD,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,OHIORIVER,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.73
STATE ONLY,49.0,4.0,34.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,BYRD,WISE,BEFORE,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,YES,CLINTON,PROGRWTH,NONE,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,OHIORIVER,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.597
STATE ONLY,49.0,4.0,35.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,BYRD,WISE,LAST.3DAYS,APPROVE,FAVORABLE,GORE,ECON/JOBS,NO,CLINTON,PROGRWTH,SOMEONEELSE,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,,CONSERV,18-64,STATE,COMPLETE,OHIORIVER,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.597
STATE ONLY,49.0,4.0,36.0,THIRD CALL,30-39,WHITE,MALE,GORE,BYRD,WISE,BEFORE,APPROVE,FAVORABLE,GORE,MEDICARE/RX,NO,PEROT,PROGRWTH,NONE,SAME,APP/FAV,ELSE,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,OHIORIVER,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.724
STATE ONLY,49.0,4.0,37.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,BYRD,WISE,BEFORE,APPROVE,FAVORABLE,GORE,EDUCATION,NO,CLINTON,PROENVIR,NONE,BETTER,APP/FAV,DEMOCRAT,COLGRAD,NONE,15-30K,LIBERAL,18-64,STATE,COMPLETE,OHIORIVER,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.597
STATE ONLY,49.0,4.0,38.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,BYRD,WISE,LAST.3DAYS,OMITS,UNFAVORABLE,BUSH,MEDICARE/RX,YES,PEROT,PROGRWTH,SOMEONEELSE,SAME,OMITS,DEMOCRAT,HSGRAD,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,OHIORIVER,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.876
STATE ONLY,49.0,4.0,39.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,BYRD,WISE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,NO,CLINTON,PROGRWTH,NONE,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,NONE,50-75K,LIBERAL,18-64,STATE,COMPLETE,OHIORIVER,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.597
STATE ONLY,49.0,4.0,40.0,THIRD CALL,45-49,WHITE,MALE,BUCHANAN,BYRD,OTHER,LAST.3DAYS,APPROVE,UNFAVORABLE,WOULDNOTVOTE,ECON/JOBS,NO,PEROT,PROGRWTH,ME,SAME,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,,LIBERAL,18-64,STATE,COMPLETE,OHIORIVER,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.34500000000000003
STATE ONLY,49.0,4.0,41.0,THIRD CALL,18-24,WHITE,FEMALE,BUCHANAN,BYRD,WISE,LAST.MONTH,APPROVE,UNFAVORABLE,WOULDNOTVOTE,ECON/JOBS,YES,NOVOTE,PROGRWTH,SOMEONEELSE,SAME,APP/UNFAV,DEMOCRAT,HSGRAD,OTHERCHRIST,,MODERATE,18-64,STATE,COMPLETE,OHIORIVER,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.417
STATE ONLY,49.0,4.0,42.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,GALLAHER,UNDERWOOD,BEFORE,APPROVE,UNFAVORABLE,GORE,MEDICARE/RX,NO,PEROT,PROENVIR,ME,BETTER,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,50-75K,LIBERAL,18-64,STATE,COMPLETE,OHIORIVER,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.489
STATE ONLY,49.0,6.0,1.0,FIRST CALL,18-24,BLACK,MALE,GORE,GALLAHER,WISE,LAST.MONTH,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,YES,CLINTON,PROGRWTH,SOMEONEELSE,SAME,APP/FAV,INDEPEND,COLGRAD,ELSE,30-50K,MODERATE,18-64,STATE,COMPLETE,CHARLESTON,18-29,18-24,IND/OTHER,18-24,OTHER,,,1.066
STATE ONLY,49.0,6.0,2.0,FIRST CALL,18-24,HISP,FEMALE,GORE,BYRD,WISE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,NO,CLINTON,PROENVIR,NONE,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,OVER100K,LIBERAL,18-64,STATE,COMPLETE,CHARLESTON,18-29,18-24,DEMOCRAT,18-24,CATHOLIC,,,1.02
STATE ONLY,49.0,6.0,3.0,FIRST CALL,25-29,,,BUSH,,UNDERWOOD,LAST.3DAYS,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,SOCIALSECUR,NO,DOLE,PROENVIR,NONE,SAME,DIS/UNFAV,ELSE,COLGRAD,NONE,75-100K,CONSERV,18-64,STATE,COMPLETE,CHARLESTON,18-29,25-29,IND/OTHER,25-29,NONE,,,1.054
STATE ONLY,49.0,6.0,4.0,FIRST CALL,40-44,BLACK,FEMALE,GORE,,WISE,BEFORE,APPROVE,FAVORABLE,GORE,HEALTHCARE,YES,CLINTON,PROENVIR,SOMEONEELSE,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,CHARLESTON,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.1320000000000001
STATE ONLY,49.0,6.0,5.0,FIRST CALL,40-44,WHITE,MALE,GORE,GALLAHER,WISE,LAST.MONTH,APPROVE,FAVORABLE,GORE,HEALTHCARE,YES,CLINTON,PROENVIR,MEANDSOMEONE,SAME,APP/FAV,INDEPEND,HSGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,CHARLESTON,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.316
STATE ONLY,49.0,6.0,6.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,GALLAHER,WISE,LAST.MONTH,APPROVE,UNFAVORABLE,BUSH,MEDICARE/RX,NO,DOLE,PROGRWTH,NONE,BETTER,APP/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,CHARLESTON,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.341
STATE ONLY,49.0,6.0,7.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,BYRD,WISE,LASTWEEK,DISAPPR,UNFAVORABLE,GORE,ECON/JOBS,NO,CLINTON,PROGRWTH,NONE,BETTER,DIS/UNFAV,DEMOCRAT,COLGRAD,JEWISH,15-30K,LIBERAL,18-64,STATE,COMPLETE,CHARLESTON,18-29,25-29,DEMOCRAT,25-29,JEWISH,,,1.151
STATE ONLY,49.0,6.0,8.0,SECOND CALL,18-24,WHITE,MALE,GORE,BYRD,WISE,BEFORE,APPROVE,FAVORABLE,GORE,EDUCATION,YES,CLINTON,PROENVIR,NONE,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,15-30K,LIBERAL,18-64,STATE,COMPLETE,CHARLESTON,18-29,18-24,DEMOCRAT,18-24,CATHOLIC,,,1.223
STATE ONLY,49.0,6.0,9.0,SECOND CALL,40-44,WHITE,MALE,GORE,,WISE,OMITS,APPROVE,FAVORABLE,GORE,ECON/JOBS,NO,CLINTON,PROGRWTH,NONE,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,15-30K,LIBERAL,18-64,STATE,COMPLETE,CHARLESTON,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.354
STATE ONLY,49.0,6.0,10.0,SECOND CALL,30-39,WHITE,MALE,BUSH,BYRD,WISE,LAST.3DAYS,APPROVE,UNFAVORABLE,BUSH,WORLDAFFAIRS,NO,DOLE,PROGRWTH,NONE,BETTER,APP/UNFAV,REPUBLCN,SOMCOL/ASSOC,,50-75K,CONSERV,18-64,STATE,COMPLETE,CHARLESTON,30-44,30-39,REPUBLICAN,30-39,,,,1.458
STATE ONLY,49.0,6.0,11.0,SECOND CALL,50-59,WHITE,MALE,GORE,BYRD,WISE,BEFORE,APPROVE,UNFAVORABLE,GORE,SOCIALSECUR,NO,CLINTON,PROENVIR,MEANDSOMEONE,SAME,APP/UNFAV,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,CHARLESTON,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.338
STATE ONLY,49.0,6.0,12.0,SECOND CALL,65-74,BLACK,FEMALE,GORE,BYRD,WISE,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,MEDICARE/RX,YES,CLINTON,PROGRWTH,SOMEONEELSE,WORSE,APP/UNFAV,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,CONSERV,65+,STATE,COMPLETE,CHARLESTON,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.356
STATE ONLY,49.0,6.0,13.0,SECOND CALL,40-44,WHITE,MALE,BUSH,BYRD,WISE,BEFORE,APPROVE,UNFAVORABLE,BUSH,ECON/JOBS,NO,CLINTON,PROGRWTH,NONE,WORSE,APP/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,CHARLESTON,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,,1.458
STATE ONLY,49.0,6.0,14.0,SECOND CALL,40-44,WHITE,MALE,BUSH,BYRD,WISE,BEFORE,DISAPPR,FAVORABLE,GORE,SOCIALSECUR,YES,DOLE,PROGRWTH,MEANDSOMEONE,WORSE,DIS/FAV,INDEPEND,COLGRAD,PROTESTANT,75-100K,LIBERAL,18-64,STATE,COMPLETE,CHARLESTON,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.458
STATE ONLY,49.0,6.0,15.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,BYRD,WISE,LASTWEEK,APPROVE,FAVORABLE,GORE,ECON/JOBS,YES,CLINTON,PROENVIR,MEANDSOMEONE,BETTER,APP/FAV,REPUBLCN,HSGRAD,PROTESTANT,30-50K,LIBERAL,18-64,STATE,COMPLETE,CHARLESTON,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.366
STATE ONLY,49.0,6.0,16.0,SECOND CALL,65-74,WHITE,MALE,BUSH,BYRD,WISE,OMITS,APPROVE,UNFAVORABLE,GORE,SOCIALSECUR,NO,DOLE,PROGRWTH,NONE,WORSE,APP/UNFAV,REPUBLCN,NOHS,JEWISH,15-30K,MODERATE,65+,STATE,COMPLETE,CHARLESTON,60+,60+,REPUBLICAN,65+,JEWISH,,,1.7670000000000001
STATE ONLY,49.0,6.0,17.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,BYRD,WISE,LAST.3DAYS,APPROVE,UNFAVORABLE,GORE,MEDICARE/RX,NO,CLINTON,PROGRWTH,NONE,SAME,APP/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CHARLESTON,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,,1.366
STATE ONLY,49.0,6.0,18.0,SECOND CALL,18-24,WHITE,MALE,BUSH,GALLAHER,UNDERWOOD,LAST.MONTH,APPROVE,FAVORABLE,BUSH,MEDICARE/RX,YES,CLINTON,PROENVIR,NONE,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,,LESS15K,MODERATE,18-64,STATE,COMPLETE,CHARLESTON,18-29,18-24,DEMOCRAT,18-24,,,,1.088
STATE ONLY,49.0,6.0,19.0,SECOND CALL,60-64,WHITE,MALE,BUSH,GALLAHER,UNDERWOOD,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MEDICARE/RX,NO,DOLE,OMITS,MEANDSOMEONE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,,30-50K,CONSERV,18-64,STATE,COMPLETE,CHARLESTON,60+,60+,REPUBLICAN,50-64,,,,1.444
