VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,LOGO,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,HISPANIC,QRACE,REL5,WEIGHT
STATE ONLY,9.0,2.0,14.0,FIRST CALL,18-24,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,JEWISH,30-50K,LIBERAL,18-64,,STATE,NESESW,18-29,18-24,DEMOCRAT,18-24,NO,WHITE,JEWISH,1.101
STATE ONLY,9.0,2.0,15.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,OMITS,GORE,NOVOTE,BETTER,OMITS,DEMOCRAT,POSTGRAD,CATHOLIC,75-100K,LIBERAL,18-64,,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,CATHOLIC,1.033
STATE ONLY,9.0,2.0,16.0,FIRST CALL,25-29,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,50-75K,MODERATE,18-64,,STATE,NESESW,18-29,25-29,REPUBLICAN,25-29,NO,WHITE,PROT/CHRIST,0.984
STATE ONLY,9.0,2.0,17.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,APPROVE,OMITS,GORE,CLINTON,SAME,OMITS,DEMOCRAT,POSTGRAD,NONE,50-75K,LIBERAL,65+,,STATE,NESESW,60+,60+,DEMOCRAT,65+,NO,WHITE,NONE,1.405
STATE ONLY,9.0,2.0,18.0,SECOND CALL,30-39,HISP,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,NONE,OVER100K,LIBERAL,18-64,,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,YES,WHITE,NONE,1.377
STATE ONLY,9.0,2.0,19.0,SECOND CALL,25-29,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,50-75K,MODERATE,18-64,,STATE,NESESW,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,PROT/CHRIST,1.027
STATE ONLY,9.0,2.0,20.0,SECOND CALL,25-29,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,30-50K,CONSERV,18-64,,STATE,NESESW,18-29,25-29,REPUBLICAN,25-29,NO,WHITE,PROT/CHRIST,0.984
STATE ONLY,9.0,2.0,21.0,SECOND CALL,65-74,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,WORSE,APP/FAV,REPUBLCN,COLGRAD,CATHOLIC,OVER100K,LIBERAL,65+,,STATE,NESESW,60+,60+,REPUBLICAN,65+,NO,WHITE,CATHOLIC,1.309
STATE ONLY,9.0,2.0,22.0,SECOND CALL,25-29,WHITE,MALE,NADER,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,NONE,50-75K,LIBERAL,18-64,,STATE,NESESW,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,NONE,1.129
STATE ONLY,9.0,2.0,23.0,SECOND CALL,65-74,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,JEWISH,OVER100K,LIBERAL,65+,,STATE,NESESW,60+,60+,DEMOCRAT,65+,NO,WHITE,JEWISH,1.309
STATE ONLY,9.0,2.0,24.0,SECOND CALL,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,75-100K,LIBERAL,18-64,,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,PROT/CHRIST,0.962
STATE ONLY,9.0,2.0,25.0,SECOND CALL,18-24,OTHER,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,NONE,50-75K,MODERATE,18-64,,STATE,NESESW,18-29,18-24,DEMOCRAT,18-24,NO,OTHER,NONE,1.027
STATE ONLY,9.0,2.0,26.0,SECOND CALL,25-29,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,OTHERCHRIST,30-50K,MODERATE,18-64,,STATE,NESESW,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,PROT/CHRIST,1.027
STATE ONLY,9.0,2.0,27.0,SECOND CALL,25-29,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,50-75K,LIBERAL,18-64,,STATE,NESESW,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,CATHOLIC,1.027
STATE ONLY,9.0,2.0,28.0,SECOND CALL,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,OTHER,BETTER,APP/FAV,INDEPEND,POSTGRAD,ELSE,50-75K,LIBERAL,18-64,,STATE,NESESW,30-44,30-39,IND/OTHER,30-39,NO,WHITE,OTHER,0.962
STATE ONLY,9.0,2.0,29.0,SECOND CALL,50-59,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,50-75K,LIBERAL,18-64,,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,1.283
STATE ONLY,9.0,2.0,30.0,SECOND CALL,25-29,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,NONE,30-50K,LIBERAL,18-64,,STATE,NESESW,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,NONE,1.027
STATE ONLY,9.0,2.0,31.0,SECOND CALL,25-29,WHITE,MALE,GORE,DISAPPR,UNFAVORABLE,GORE,CLINTON,BETTER,DIS/UNFAV,DEMOCRAT,HSGRAD,JEWISH,OVER100K,MODERATE,18-64,,STATE,NESESW,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,JEWISH,1.027
STATE ONLY,9.0,2.0,32.0,SECOND CALL,25-29,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,JEWISH,50-75K,LIBERAL,18-64,,STATE,NESESW,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,JEWISH,1.027
STATE ONLY,9.0,2.0,33.0,SECOND CALL,30-39,BLACK,MALE,NADER,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,OTHER,BETTER,DIS/UNFAV,INDEPEND,COLGRAD,NONE,75-100K,LIBERAL,18-64,,STATE,NESESW,30-44,30-39,IND/OTHER,30-39,NO,BLACK,NONE,1.411
STATE ONLY,9.0,2.0,34.0,SECOND CALL,50-59,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,50-75K,MODERATE,18-64,,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,PROT/CHRIST,0.962
STATE ONLY,9.0,2.0,35.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,APPROVE,FAVORABLE,GORE,DOLE,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,NONE,OVER100K,MODERATE,18-64,,STATE,NESESW,60+,60+,DEMOCRAT,50-64,NO,WHITE,NONE,1.346
STATE ONLY,9.0,2.0,36.0,SECOND CALL,65-74,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,REPUBLCN,HSGRAD,ELSE,15-30K,LIBERAL,65+,,STATE,NESESW,60+,60+,REPUBLICAN,65+,NO,WHITE,OTHER,1.309
STATE ONLY,9.0,2.0,37.0,SECOND CALL,25-29,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NOVOTE,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,LIBERAL,18-64,,STATE,NESESW,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,CATHOLIC,1.027
STATE ONLY,9.0,2.0,38.0,SECOND CALL,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,JEWISH,LESS15K,LIBERAL,18-64,,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,JEWISH,0.962
STATE ONLY,9.0,2.0,39.0,THIRD CALL,18-24,BLACK,MALE,GORE,APPROVE,UNFAVORABLE,GORE,NOVOTE,SAME,APP/UNFAV,ELSE,HSGRAD,ELSE,15-30K,LIBERAL,18-64,,STATE,NESESW,18-29,18-24,IND/OTHER,18-24,NO,BLACK,OTHER,1.368
STATE ONLY,9.0,2.0,40.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,JEWISH,75-100K,LIBERAL,18-64,NO,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,JEWISH,1.033
STATE ONLY,9.0,2.0,41.0,THIRD CALL,30-39,WHITE,MALE,BUSH,APPROVE,FAVORABLE,GORE,DOLE,BETTER,APP/FAV,REPUBLCN,COLGRAD,NONE,OVER100K,CONSERV,18-64,NO,STATE,NESESW,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,NONE,0.922
STATE ONLY,9.0,2.0,42.0,THIRD CALL,30-39,HISP,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,50-75K,LIBERAL,18-64,YES,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,YES,WHITE,PROT/CHRIST,1.377
STATE ONLY,9.0,2.0,43.0,THIRD CALL,60-64,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,WORSE,APP/FAV,DEMOCRAT,POSTGRAD,NONE,30-50K,MODERATE,18-64,NO,STATE,NESESW,60+,60+,DEMOCRAT,50-64,NO,WHITE,NONE,1.309
STATE ONLY,9.0,2.0,44.0,THIRD CALL,65-74,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,DOLE,BETTER,APP/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,OVER100K,MODERATE,65+,NO,STATE,NESESW,60+,60+,REPUBLICAN,65+,NO,WHITE,PROT/CHRIST,1.2550000000000001
STATE ONLY,9.0,2.0,45.0,THIRD CALL,45-49,WHITE,MALE,NADER,APPROVE,FAVORABLE,BUSH,DOLE,BETTER,APP/FAV,REPUBLCN,COLGRAD,CATHOLIC,OVER100K,LIBERAL,18-64,YES,STATE,NESESW,45-59,40-49,REPUBLICAN,40-49,NO,WHITE,CATHOLIC,1.059
STATE ONLY,9.0,2.0,46.0,THIRD CALL,30-39,HISP,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,CATHOLIC,50-75K,LIBERAL,18-64,NO,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,YES,BLACK,CATHOLIC,1.377
STATE ONLY,9.0,2.0,47.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,JEWISH,50-75K,LIBERAL,18-64,NO,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,JEWISH,1.033
STATE ONLY,9.0,2.0,48.0,THIRD CALL,18-24,WHITE,FEMALE,NADER,APPROVE,UNFAVORABLE,BUSH,DOLE,OMITS,APP/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,30-50K,,18-64,NO,STATE,NESESW,18-29,18-24,REPUBLICAN,18-24,NO,WHITE,CATHOLIC,1.212
STATE ONLY,9.0,2.0,49.0,THIRD CALL,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,50-75K,LIBERAL,18-64,YES,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,CATHOLIC,0.962
STATE ONLY,9.0,2.0,50.0,THIRD CALL,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,NOHS,PROTESTANT,30-50K,LIBERAL,18-64,YES,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,PROT/CHRIST,0.962
STATE ONLY,9.0,2.0,51.0,THIRD CALL,45-49,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,50-75K,LIBERAL,18-64,NO,STATE,NESESW,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,PROT/CHRIST,0.962
STATE ONLY,9.0,2.0,52.0,THIRD CALL,30-39,WHITE,MALE,OTHER,DISAPPR,UNFAVORABLE,BUSH,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,JEWISH,OVER100K,CONSERV,18-64,YES,STATE,NESESW,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,JEWISH,0.961
STATE ONLY,9.0,2.0,53.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,APPROVE,FAVORABLE,BUSH,OMITS,BETTER,APP/FAV,REPUBLCN,COLGRAD,PROTESTANT,50-75K,MODERATE,18-64,YES,STATE,NESESW,18-29,25-29,REPUBLICAN,25-29,NO,WHITE,PROT/CHRIST,1.055
STATE ONLY,9.0,2.0,54.0,THIRD CALL,45-49,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,INDEPEND,POSTGRAD,PROTESTANT,75-100K,LIBERAL,18-64,YES,STATE,NESESW,45-59,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,0.962
STATE ONLY,9.0,2.0,55.0,THIRD CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,75-100K,CONSERV,18-64,NO,STATE,NESESW,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,CATHOLIC,0.922
STATE ONLY,9.0,2.0,56.0,THIRD CALL,50-59,WHITE,MALE,GORE,OMITS,OMITS,GORE,CLINTON,SAME,OMITS,DEMOCRAT,POSTGRAD,CATHOLIC,OVER100K,MODERATE,18-64,NO,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,CATHOLIC,0.962
STATE ONLY,9.0,2.0,57.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,30-50K,MODERATE,18-64,YES,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,CATHOLIC,1.033
STATE ONLY,9.0,2.0,58.0,THIRD CALL,18-24,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,LIBERAL,18-64,NO,STATE,NESESW,18-29,18-24,DEMOCRAT,18-24,NO,WHITE,CATHOLIC,1.027
STATE ONLY,9.0,2.0,59.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,POSTGRAD,JEWISH,OVER100K,LIBERAL,18-64,YES,STATE,NESESW,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,JEWISH,1.101
STATE ONLY,9.0,2.0,60.0,THIRD CALL,40-44,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,DOLE,BETTER,APP/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,OVER100K,MODERATE,18-64,NO,STATE,NESESW,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,CATHOLIC,0.922
STATE ONLY,9.0,2.0,61.0,THIRD CALL,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,OVER100K,MODERATE,18-64,YES,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,PROT/CHRIST,0.962
STATE ONLY,9.0,2.0,62.0,THIRD CALL,45-49,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,OVER100K,LIBERAL,18-64,NO,STATE,NESESW,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,PROT/CHRIST,0.962
STATE ONLY,9.0,2.0,63.0,THIRD CALL,30-39,WHITE,MALE,OTHER,APPROVE,UNFAVORABLE,OMITS,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,NONE,OVER100K,LIBERAL,18-64,NO,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,NONE,0.961
STATE ONLY,9.0,2.0,64.0,THIRD CALL,30-39,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,DOLE,BETTER,APP/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,50-75K,CONSERV,18-64,YES,STATE,NESESW,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,0.962
STATE ONLY,9.0,2.0,65.0,THIRD CALL,18-24,WHITE,MALE,NADER,DISAPPR,UNFAVORABLE,GORE,NOVOTE,SAME,DIS/UNFAV,INDEPEND,COLGRAD,PROTESTANT,15-30K,MODERATE,18-64,NO,STATE,NESESW,18-29,18-24,IND/OTHER,18-24,NO,WHITE,PROT/CHRIST,1.129
STATE ONLY,9.0,2.0,66.0,THIRD CALL,25-29,WHITE,MALE,NADER,APPROVE,FAVORABLE,WOULDNOTVOTE,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,30-50K,LIBERAL,18-64,NO,STATE,NESESW,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,PROT/CHRIST,1.129
STATE ONLY,9.0,2.0,67.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,INDEPEND,POSTGRAD,PROTESTANT,OVER100K,MODERATE,18-64,YES,STATE,NESESW,18-29,25-29,IND/OTHER,25-29,NO,WHITE,PROT/CHRIST,1.101
STATE ONLY,9.0,2.0,68.0,THIRD CALL,18-24,HISP,MALE,GORE,APPROVE,UNFAVORABLE,GORE,NOVOTE,SAME,APP/UNFAV,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,LIBERAL,18-64,YES,STATE,NESESW,18-29,18-24,DEMOCRAT,18-24,YES,BLACK,PROT/CHRIST,1.368
STATE ONLY,9.0,3.0,1.0,FIRST CALL,45-49,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,NO,STATE,NESESW,45-59,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,0.9390000000000001
STATE ONLY,9.0,3.0,2.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,50-75K,LIBERAL,18-64,NO,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,CATHOLIC,0.9390000000000001
STATE ONLY,9.0,3.0,3.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,NONE,50-75K,MODERATE,18-64,NO,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,NONE,0.9390000000000001
STATE ONLY,9.0,3.0,4.0,FIRST CALL,45-49,HISP,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,75-100K,LIBERAL,18-64,YES,STATE,NESESW,45-59,40-49,DEMOCRAT,40-49,YES,HISP,CATHOLIC,0.875
STATE ONLY,9.0,3.0,5.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,15-30K,LIBERAL,18-64,NO,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,0.9390000000000001
STATE ONLY,9.0,3.0,6.0,FIRST CALL,50-59,BLACK,MALE,GORE,OMITS,FAVORABLE,GORE,CLINTON,BETTER,OMITS,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,50-75K,LIBERAL,18-64,NO,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,0.875
STATE ONLY,9.0,3.0,7.0,FIRST CALL,75+,BLACK,FEMALE,GORE,OMITS,OMITS,GORE,CLINTON,BETTER,OMITS,DEMOCRAT,NOHS,PROTESTANT,,,65+,YES,STATE,NESESW,60+,60+,DEMOCRAT,65+,,BLACK,PROT/CHRIST,1.2770000000000001
STATE ONLY,9.0,3.0,8.0,FIRST CALL,45-49,BLACK,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,PROTESTANT,30-50K,MODERATE,18-64,YES,STATE,NESESW,45-59,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,0.9390000000000001
STATE ONLY,9.0,3.0,9.0,FIRST CALL,50-59,BLACK,,GORE,OMITS,OMITS,GORE,CLINTON,BETTER,OMITS,DEMOCRAT,HSGRAD,OTHERCHRIST,75-100K,LIBERAL,18-64,YES,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,0.875
STATE ONLY,9.0,3.0,10.0,FIRST CALL,65-74,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,30-50K,MODERATE,65+,YES,STATE,NESESW,60+,60+,DEMOCRAT,65+,NO,BLACK,PROT/CHRIST,1.19
STATE ONLY,9.0,3.0,12.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,NO,STATE,NESESW,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,0.9390000000000001
