VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,CLINTON,BCPERSON,XWAY2000,X6VOTE,FINSIT,JOBPERS,PARTYID,INCOME,REL7,PHIL3,OVER65,RELG6,LOGO,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,45.0,9.0,13.0,FIRST CALL,75+,WHITE,FEMALE,GORE,HATCH,,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,LESS15K,MORMON/LDS,MODERATE,65+,MORMON/LDS,NO,STATE,EAST/OGDEN,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.205
STATE ONLY,45.0,9.0,14.0,FIRST CALL,60-64,WHITE,FEMALE,NADER,,,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,DOLE,SAME,DIS/UNFAV,ELSE,30-50K,CATHOLIC,MODERATE,18-64,CATHOLIC,NO,STATE,EAST/OGDEN,60+,60+,IND/OTHER,50-64,CATHOLIC,,,0.884
STATE ONLY,45.0,9.0,15.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,HATCH,ORTON,DISAPPR,FAVORABLE,BUSH,CLINTON,SAME,DIS/FAV,DEMOCRAT,15-30K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,YES,STATE,EAST/OGDEN,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.051
STATE ONLY,45.0,9.0,16.0,FIRST CALL,25-29,WHITE,MALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,30-50K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,YES,STATE,EAST/OGDEN,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,0.982
STATE ONLY,45.0,9.0,17.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,,LEAVITT,DISAPPR,UNFAVORABLE,GORE,NOVOTE,WORSE,DIS/UNFAV,INDEPEND,LESS15K,NONE,CONSERV,18-64,NONE,YES,STATE,EAST/OGDEN,45-59,50-59,IND/OTHER,50-64,NONE,,,1.082
STATE ONLY,45.0,9.0,18.0,SECOND CALL,40-44,WHITE,MALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,30-50K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,YES,STATE,EAST/OGDEN,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.041
STATE ONLY,45.0,9.0,19.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,CLINTON,WORSE,DIS/UNFAV,REPUBLCN,30-50K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,YES,STATE,EAST/OGDEN,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,1.16
STATE ONLY,45.0,9.0,20.0,SECOND CALL,30-39,WHITE,MALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,PEROT,WORSE,DIS/UNFAV,REPUBLCN,LESS15K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,NO,STATE,EAST/OGDEN,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.041
STATE ONLY,45.0,9.0,21.0,SECOND CALL,25-29,WHITE,MALE,BUSH,HATCH,ORTON,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,50-75K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,NO,STATE,EAST/OGDEN,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,1.024
STATE ONLY,45.0,9.0,22.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,HATCH,ORTON,DISAPPR,UNFAVORABLE,BUSH,OTHER,BETTER,DIS/UNFAV,REPUBLCN,30-50K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,YES,STATE,EAST/OGDEN,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.051
STATE ONLY,45.0,9.0,23.0,SECOND CALL,30-39,WHITE,MALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,50-75K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,NO,STATE,EAST/OGDEN,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.041
STATE ONLY,45.0,9.0,24.0,SECOND CALL,30-39,WHITE,MALE,BUSH,OTHER,ORTON,DISAPPR,UNFAVORABLE,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,30-50K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,YES,STATE,EAST/OGDEN,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.7550000000000001
STATE ONLY,45.0,9.0,25.0,SECOND CALL,18-24,WHITE,FEMALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,30-50K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,YES,STATE,EAST/OGDEN,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.9550000000000001
STATE ONLY,45.0,9.0,26.0,SECOND CALL,18-24,WHITE,MALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,15-30K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,NO,STATE,EAST/OGDEN,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.982
STATE ONLY,45.0,9.0,27.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,15-30K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,NO,STATE,EAST/OGDEN,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.0130000000000001
STATE ONLY,45.0,9.0,28.0,SECOND CALL,45-49,WHITE,MALE,BUSH,HATCH,ORTON,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,50-75K,PROTESTANT,CONSERV,18-64,PROT/CHRIST,YES,STATE,EAST/OGDEN,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.081
STATE ONLY,45.0,9.0,29.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,HATCH,LEAVITT,APPROVE,FAVORABLE,BUSH,CLINTON,BETTER,APP/FAV,REPUBLCN,75-100K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,YES,STATE,EAST/OGDEN,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.0130000000000001
STATE ONLY,45.0,9.0,30.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,15-30K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,YES,STATE,EAST/OGDEN,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.0130000000000001
STATE ONLY,45.0,9.0,31.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,HATCH,LEAVITT,APPROVE,FAVORABLE,BUSH,CLINTON,WORSE,APP/FAV,REPUBLCN,LESS15K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,YES,STATE,EAST/OGDEN,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.0130000000000001
STATE ONLY,45.0,9.0,32.0,SECOND CALL,30-39,WHITE,MALE,BUSH,HATCH,LEAVITT,APPROVE,UNFAVORABLE,BUSH,CLINTON,WORSE,APP/UNFAV,REPUBLCN,LESS15K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,NO,STATE,EAST/OGDEN,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.041
STATE ONLY,45.0,9.0,33.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,HATCH,ORTON,APPROVE,UNFAVORABLE,BUSH,CLINTON,WORSE,APP/UNFAV,REPUBLCN,LESS15K,MORMON/LDS,LIBERAL,18-64,MORMON/LDS,NO,STATE,EAST/OGDEN,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.051
STATE ONLY,45.0,9.0,34.0,SECOND CALL,40-44,WHITE,MALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,50-75K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,YES,STATE,EAST/OGDEN,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.041
STATE ONLY,45.0,9.0,35.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,HATCH,ORTON,APPROVE,FAVORABLE,BUSH,CLINTON,SAME,APP/FAV,DEMOCRAT,30-50K,PROTESTANT,LIBERAL,18-64,PROT/CHRIST,NO,STATE,EAST/OGDEN,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.051
STATE ONLY,45.0,9.0,36.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,HOWELL,ORTON,DISAPPR,UNFAVORABLE,BUSH,PEROT,SAME,DIS/UNFAV,INDEPEND,15-30K,MORMON/LDS,MODERATE,65+,MORMON/LDS,YES,STATE,EAST/OGDEN,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.355
STATE ONLY,45.0,9.0,37.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,HATCH,ORTON,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,15-30K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,NO,STATE,EAST/OGDEN,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.051
STATE ONLY,45.0,9.0,38.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,HATCH,ORTON,APPROVE,FAVORABLE,GORE,DOLE,WORSE,APP/FAV,REPUBLCN,LESS15K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,NO,STATE,EAST/OGDEN,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.07
STATE ONLY,45.0,9.0,39.0,SECOND CALL,50-59,HISP,FEMALE,GORE,HOWELL,ORTON,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,50-75K,OTHER,MODERATE,18-64,OTHER,YES,STATE,EAST/OGDEN,45-59,50-59,DEMOCRAT,50-64,OTHER,,,1.156
STATE ONLY,45.0,9.0,40.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,OMITS,BETTER,DIS/UNFAV,REPUBLCN,30-50K,MORMON/LDS,,18-64,MORMON/LDS,NO,STATE,EAST/OGDEN,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.0130000000000001
STATE ONLY,45.0,9.0,41.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,HATCH,ORTON,APPROVE,UNFAVORABLE,BUSH,DOLE,SAME,APP/UNFAV,REPUBLCN,30-50K,MORMON/LDS,CONSERV,65+,MORMON/LDS,NO,STATE,EAST/OGDEN,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.203
STATE ONLY,45.0,9.0,42.0,SECOND CALL,50-59,WHITE,MALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,PEROT,WORSE,DIS/UNFAV,REPUBLCN,30-50K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,YES,STATE,EAST/OGDEN,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.041
STATE ONLY,45.0,9.0,43.0,SECOND CALL,40-44,WHITE,MALE,BUSH,HOWELL,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,INDEPEND,50-75K,CATHOLIC,CONSERV,18-64,CATHOLIC,NO,STATE,EAST/OGDEN,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,1.169
STATE ONLY,45.0,9.0,44.0,THIRD CALL,65-74,WHITE,MALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,15-30K,MORMON/LDS,CONSERV,65+,MORMON/LDS,YES,STATE,EAST/OGDEN,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.191
STATE ONLY,45.0,9.0,45.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,15-30K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,NO,STATE,EAST/OGDEN,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.9550000000000001
STATE ONLY,45.0,9.0,46.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,HATCH,LEAVITT,APPROVE,UNFAVORABLE,BUSH,CLINTON,BETTER,APP/UNFAV,REPUBLCN,50-75K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,YES,STATE,EAST/OGDEN,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.0130000000000001
STATE ONLY,45.0,9.0,47.0,THIRD CALL,60-64,WHITE,FEMALE,NADER,HOWELL,ORTON,APPROVE,OMITS,GORE,NOVOTE,SAME,OMITS,INDEPEND,LESS15K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,NO,STATE,EAST/OGDEN,60+,60+,IND/OTHER,50-64,PROT/CHRIST,,,0.961
STATE ONLY,45.0,9.0,48.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,,ORTON,APPROVE,FAVORABLE,GORE,DOLE,SAME,APP/FAV,DEMOCRAT,30-50K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,YES,STATE,EAST/OGDEN,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.125
STATE ONLY,45.0,9.0,49.0,THIRD CALL,30-39,WHITE,MALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,PEROT,SAME,DIS/UNFAV,REPUBLCN,30-50K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,YES,STATE,EAST/OGDEN,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.041
STATE ONLY,45.0,9.0,50.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,HOWELL,ORTON,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,30-50K,MORMON/LDS,LIBERAL,18-64,MORMON/LDS,NO,STATE,EAST/OGDEN,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.203
STATE ONLY,45.0,9.0,51.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,HOWELL,ORTON,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,INDEPEND,50-75K,CATHOLIC,MODERATE,18-64,CATHOLIC,YES,STATE,EAST/OGDEN,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.184
STATE ONLY,45.0,9.0,52.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,30-50K,NONE,CONSERV,18-64,NONE,YES,STATE,EAST/OGDEN,18-29,18-24,REPUBLICAN,18-24,NONE,,,0.9550000000000001
STATE ONLY,45.0,9.0,53.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,HATCH,ORTON,DISAPPR,UNFAVORABLE,GORE,CLINTON,SAME,DIS/UNFAV,REPUBLCN,30-50K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,YES,STATE,EAST/OGDEN,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.07
STATE ONLY,45.0,21.0,1.0,FIRST CALL,75+,WHITE,MALE,BUSH,HOWELL,ORTON,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,30-50K,MORMON/LDS,CONSERV,65+,MORMON/LDS,,STATE,SALTLAKECNTY,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.962
STATE ONLY,45.0,21.0,2.0,FIRST CALL,45-49,WHITE,MALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,75-100K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,,STATE,SALTLAKECNTY,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.604
STATE ONLY,45.0,21.0,3.0,FIRST CALL,45-49,WHITE,MALE,NADER,HOWELL,ORTON,APPROVE,FAVORABLE,GORE,PEROT,SAME,APP/FAV,DEMOCRAT,15-30K,CATHOLIC,LIBERAL,18-64,CATHOLIC,,STATE,SALTLAKECNTY,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.032
STATE ONLY,45.0,21.0,4.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,INDEPEND,30-50K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,,STATE,SALTLAKECNTY,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.556
STATE ONLY,45.0,21.0,5.0,FIRST CALL,30-39,WHITE,MALE,NADER,HOWELL,ORTON,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,INDEPEND,OVER100K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,,STATE,SALTLAKECNTY,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.032
STATE ONLY,45.0,21.0,6.0,FIRST CALL,18-24,WHITE,MALE,BUSH,HATCH,LEAVITT,APPROVE,UNFAVORABLE,BUSH,DOLE,BETTER,APP/UNFAV,REPUBLCN,LESS15K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,,STATE,SALTLAKECNTY,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.636
STATE ONLY,45.0,21.0,7.0,FIRST CALL,45-49,WHITE,MALE,NADER,HOWELL,ORTON,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,15-30K,CATHOLIC,LIBERAL,18-64,CATHOLIC,,STATE,SALTLAKECNTY,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.032
STATE ONLY,45.0,21.0,8.0,FIRST CALL,75+,WHITE,MALE,BUSH,HOWELL,ORTON,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,30-50K,MORMON/LDS,CONSERV,65+,MORMON/LDS,,STATE,SALTLAKECNTY,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.962
STATE ONLY,45.0,21.0,9.0,FIRST CALL,45-49,WHITE,MALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,75-100K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,,STATE,SALTLAKECNTY,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.604
STATE ONLY,45.0,21.0,10.0,FIRST CALL,60-64,WHITE,MALE,BUSH,HATCH,ORTON,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,OVER100K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,,STATE,SALTLAKECNTY,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,0.856
STATE ONLY,45.0,21.0,11.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,HATCH,ORTON,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,OVER100K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,,STATE,SALTLAKECNTY,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.5760000000000001
STATE ONLY,45.0,21.0,12.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,INDEPEND,75-100K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,,STATE,SALTLAKECNTY,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.556
STATE ONLY,45.0,21.0,13.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,HATCH,ORTON,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,75-100K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,,STATE,SALTLAKECNTY,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.5760000000000001
STATE ONLY,45.0,21.0,14.0,FIRST CALL,18-24,WHITE,MALE,BUSH,HATCH,ORTON,DISAPPR,UNFAVORABLE,BUSH,NOVOTE,WORSE,DIS/UNFAV,INDEPEND,LESS15K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,,STATE,SALTLAKECNTY,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,0.661
STATE ONLY,45.0,21.0,15.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,50-75K,MORMON/LDS,CONSERV,65+,MORMON/LDS,,STATE,SALTLAKECNTY,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.761
STATE ONLY,45.0,21.0,16.0,FIRST CALL,45-49,WHITE,MALE,BUSH,HATCH,ORTON,DISAPPR,UNFAVORABLE,BUSH,DOLE,OMITS,DIS/UNFAV,REPUBLCN,OVER100K,MORMON/LDS,MODERATE,18-64,MORMON/LDS,,STATE,SALTLAKECNTY,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.628
STATE ONLY,45.0,21.0,17.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,OTHER,SAME,DIS/UNFAV,REPUBLCN,,MORMON/LDS,CONSERV,18-64,MORMON/LDS,,STATE,SALTLAKECNTY,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.556
