VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,ISSUE,X6VOTE,UNION4,FINSIT,JOBPERS,WORK,PARTYID,EDUC,RELIGION,INCOME,MARRIED,CHILD,PHIL3,OVER65,LOGO,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,21.0,4.0,11.0,SECOND CALL,50-59,WHITE,FEMALE,NADER,SARBANES,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,CLINTON,NONE,SAME,APP/UNFAV,NO,INDEPEND,COLGRAD,CATHOLIC,50-75K,YES,NO,MODERATE,18-64,YES,STATE,COMPLETE,BALTSUBURBAN,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.0110000000000001
STATE ONLY,21.0,4.0,12.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,SOCIALSECUR,DOLE,SOMEONEELSE,WORSE,DIS/UNFAV,NO,REPUBLCN,HSGRAD,PROTESTANT,50-75K,YES,NO,CONSERV,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.366
STATE ONLY,21.0,4.0,13.0,SECOND CALL,30-39,WHITE,MALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,PEROT,ME,BETTER,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,30-50K,YES,YES,CONSERV,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.309
STATE ONLY,21.0,4.0,14.0,SECOND CALL,50-59,WHITE,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,CLINTON,NONE,WORSE,APP/FAV,NO,DEMOCRAT,POSTGRAD,CATHOLIC,30-50K,YES,NO,MODERATE,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.247
STATE ONLY,21.0,4.0,15.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,NONE,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,30-50K,NO,YES,LIBERAL,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.301
STATE ONLY,21.0,4.0,16.0,SECOND CALL,25-29,WHITE,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,NONE,BETTER,APP/FAV,YES,INDEPEND,COLGRAD,CATHOLIC,30-50K,NO,NO,LIBERAL,18-64,YES,STATE,COMPLETE,BALTSUBURBAN,18-29,25-29,IND/OTHER,25-29,CATHOLIC,,,1.202
STATE ONLY,21.0,4.0,17.0,SECOND CALL,65-74,BLACK,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,ECON/JOBS,CLINTON,SOMEONEELSE,BETTER,APP/FAV,NO,DEMOCRAT,COLGRAD,PROTESTANT,OVER100K,YES,NO,CONSERV,65+,YES,STATE,COMPLETE,BALTSUBURBAN,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.239
STATE ONLY,21.0,4.0,18.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,CLINTON,SOMEONEELSE,SAME,APP/FAV,YES,DEMOCRAT,HSGRAD,CATHOLIC,50-75K,NO,NO,CONSERV,18-64,YES,STATE,COMPLETE,BALTSUBURBAN,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.301
STATE ONLY,21.0,4.0,19.0,SECOND CALL,45-49,WHITE,MALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,TAXES,DOLE,NONE,SAME,DIS/UNFAV,YES,INDEPEND,SOMCOL/ASSOC,PROTESTANT,30-50K,YES,NO,CONSERV,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.309
STATE ONLY,21.0,4.0,20.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,MEDICARE/RX,DOLE,SOMEONEELSE,SAME,DIS/UNFAV,NO,REPUBLCN,HSGRAD,OTHERCHRIST,,YES,NO,LIBERAL,65+,YES,STATE,COMPLETE,BALTSUBURBAN,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.581
STATE ONLY,21.0,4.0,21.0,SECOND CALL,50-59,BLACK,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,NOVOTE,NONE,BETTER,APP/FAV,NO,DEMOCRAT,HSGRAD,OTHERCHRIST,50-75K,NO,NO,CONSERV,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.07
STATE ONLY,21.0,4.0,22.0,SECOND CALL,40-44,BLACK,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,ECON/JOBS,CLINTON,ME,SAME,APP/FAV,YES,DEMOCRAT,POSTGRAD,PROTESTANT,30-50K,NO,NO,LIBERAL,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.117
STATE ONLY,21.0,4.0,23.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,SARBANES,DISAPPR,UNFAVORABLE,BUSH,MEDICARE/RX,DOLE,ME,BETTER,DIS/UNFAV,YES,REPUBLCN,POSTGRAD,PROTESTANT,OVER100K,YES,NO,CONSERV,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.363
STATE ONLY,21.0,4.0,24.0,THIRD CALL,18-24,WHITE,MALE,GORE,SARBANES,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,CLINTON,NONE,BETTER,APP/UNFAV,NO,INDEPEND,COLGRAD,CATHOLIC,30-50K,NO,NO,LIBERAL,18-64,YES,STATE,COMPLETE,BALTSUBURBAN,18-29,18-24,IND/OTHER,18-24,CATHOLIC,,,1.202
STATE ONLY,21.0,4.0,25.0,THIRD CALL,45-49,BLACK,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,TAXES,CLINTON,MEANDSOMEONE,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,ELSE,15-30K,NO,NO,LIBERAL,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,45-59,40-49,DEMOCRAT,40-49,OTHER,,,1.117
STATE ONLY,21.0,4.0,26.0,THIRD CALL,50-59,HISP,MALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,DOLE,NONE,BETTER,DIS/UNFAV,YES,REPUBLCN,COLGRAD,PROTESTANT,OVER100K,YES,NO,MODERATE,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.123
STATE ONLY,21.0,4.0,27.0,THIRD CALL,50-59,OTHER,,GORE,SARBANES,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,NONE,BETTER,APP/FAV,NO,INDEPEND,SOMCOL/ASSOC,CATHOLIC,OVER100K,YES,NO,MODERATE,18-64,YES,STATE,COMPLETE,BALTSUBURBAN,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.247
STATE ONLY,21.0,4.0,28.0,THIRD CALL,45-49,BLACK,MALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,TAXES,DOLE,NONE,SAME,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,NO,NO,CONSERV,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.123
STATE ONLY,21.0,4.0,29.0,THIRD CALL,50-59,BLACK,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,ME,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,30-50K,YES,,CONSERV,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.07
STATE ONLY,21.0,4.0,30.0,THIRD CALL,50-59,WHITE,MALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,DOLE,NONE,WORSE,DIS/UNFAV,YES,INDEPEND,SOMCOL/ASSOC,CATHOLIC,OVER100K,YES,NO,MODERATE,18-64,YES,STATE,COMPLETE,BALTSUBURBAN,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.309
STATE ONLY,21.0,4.0,31.0,THIRD CALL,40-44,WHITE,MALE,GORE,SARBANES,DISAPPR,UNFAVORABLE,GORE,OMITS,CLINTON,NONE,BETTER,DIS/UNFAV,YES,ELSE,POSTGRAD,NONE,30-50K,NO,NO,LIBERAL,18-64,YES,STATE,COMPLETE,BALTSUBURBAN,30-44,40-49,IND/OTHER,40-49,NONE,,,1.247
STATE ONLY,21.0,4.0,32.0,THIRD CALL,65-74,WHITE,MALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,SOCIALSECUR,PEROT,NONE,SAME,DIS/UNFAV,NO,DEMOCRAT,COLGRAD,CATHOLIC,30-50K,YES,NO,CONSERV,65+,NO,STATE,COMPLETE,BALTSUBURBAN,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.514
STATE ONLY,21.0,4.0,33.0,THIRD CALL,40-44,OTHER,FEMALE,OTHER,OTHER,APPROVE,FAVORABLE,WOULDNOTVOTE,WORLDAFFAIRS,CLINTON,NONE,BETTER,APP/FAV,YES,ELSE,POSTGRAD,OTHERCHRIST,50-75K,NO,YES,CONSERV,18-64,YES,STATE,COMPLETE,BALTSUBURBAN,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.297
STATE ONLY,21.0,4.0,34.0,THIRD CALL,40-44,WHITE,MALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,SOCIALSECUR,PEROT,ME,WORSE,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,75-100K,YES,YES,CONSERV,18-64,YES,STATE,COMPLETE,BALTSUBURBAN,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.309
STATE ONLY,21.0,4.0,35.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,SARBANES,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,HEALTHCARE,PEROT,NONE,BETTER,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,75-100K,YES,YES,,18-64,YES,STATE,COMPLETE,BALTSUBURBAN,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,,1.363
STATE ONLY,21.0,4.0,36.0,THIRD CALL,18-24,BLACK,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,TAXES,CLINTON,NONE,SAME,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,15-30K,YES,YES,LIBERAL,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,1.077
NATIONAL WHITE,21.0,8.0,1.0,FIRST CALL,40-44,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,OMITS,NONE,SAME,DIS/UNFAV,YES,INDEPEND,POSTGRAD,NONE,OVER100K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,30-44,40-49,IND/OTHER,40-49,NONE,,,0.651
NATIONAL WHITE,21.0,8.0,2.0,FIRST CALL,65-74,WHITE,MALE,BUSH,RAPPAPORT,OMITS,OMITS,OMITS,TAXES,OMITS,NONE,OMITS,,NO,,,,,,,,65+,,NATIONAL,NOTCOMPLETE,BALTSUBURBAN,60+,60+,,65+,,,,0.754
NATIONAL WHITE,21.0,8.0,3.0,FIRST CALL,60-64,WHITE,MALE,BUSH,SARBANES,OMITS,OMITS,OMITS,MEDICARE/RX,OMITS,NONE,OMITS,,YES,,,,,,,,18-64,,NATIONAL,NOTCOMPLETE,BALTSUBURBAN,60+,60+,,50-64,,,,0.753
NATIONAL YELLOW,21.0,8.0,4.0,FIRST CALL,50-59,WHITE,MALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,TAXES,DOLE,NONE,WORSE,DIS/UNFAV,YES,REPUBLCN,POSTGRAD,CATHOLIC,OVER100K,YES,YES,CONSERV,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,TAXES,HONEST,0.652
NATIONAL YELLOW,21.0,8.0,5.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,OMITS,DOLE,NONE,BETTER,DIS/UNFAV,YES,INDEPEND,COLGRAD,PROTESTANT,,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,OMITS,HONEST,0.681
NATIONAL YELLOW,21.0,8.0,6.0,FIRST CALL,50-59,WHITE,MALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,DOLE,NONE,BETTER,DIS/UNFAV,YES,REPUBLCN,COLGRAD,NONE,OVER100K,YES,NO,CONSERV,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,45-59,50-59,REPUBLICAN,50-64,NONE,ECON/JOBS,GOODJUDGMENT,0.652
NATIONAL GREY,21.0,8.0,7.0,FIRST CALL,50-59,WHITE,MALE,BUSH,RAPPAPORT,,,,,,,,,,,,,,,,,18-64,,NATIONAL,NOTCOMPLETE,BALTSUBURBAN,45-59,50-59,,50-64,,,,0.652
NATIONAL GREY,21.0,8.0,8.0,FIRST CALL,50-59,WHITE,MALE,BUSH,RAPPAPORT,,,,,,,,,,REPUBLCN,COLGRAD,,OVER100K,,,MODERATE,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,45-59,50-59,REPUBLICAN,50-64,,,,0.652
NATIONAL GREY,21.0,8.0,9.0,FIRST CALL,30-39,WHITE,MALE,BUSH,RAPPAPORT,,,,,,,,,,REPUBLCN,SOMCOL/ASSOC,,OVER100K,,,MODERATE,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,30-44,30-39,REPUBLICAN,30-39,,,,0.652
NATIONAL PINK,21.0,8.0,10.0,FIRST CALL,50-59,WHITE,MALE,BUSH,RAPPAPORT,,,,,,NONE,,,YES,REPUBLCN,,PROTESTANT,OVER100K,YES,YES,CONSERV,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.652
NATIONAL PINK,21.0,8.0,11.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,RAPPAPORT,,,,,,NONE,,,NO,REPUBLCN,,PROTESTANT,75-100K,YES,YES,CONSERV,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.681
NATIONAL PINK,21.0,8.0,12.0,FIRST CALL,30-39,BLACK,MALE,BUSH,RAPPAPORT,,,,,,NONE,,,YES,INDEPEND,,PROTESTANT,50-75K,YES,NO,CONSERV,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.56
NATIONAL WHITE,21.0,8.0,13.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,NONE,BETTER,APP/FAV,YES,INDEPEND,POSTGRAD,CATHOLIC,15-30K,NO,NO,LIBERAL,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,60+,60+,IND/OTHER,50-64,CATHOLIC,,,0.749
NATIONAL WHITE,21.0,8.0,14.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,ECON/JOBS,CLINTON,NONE,BETTER,APP/FAV,YES,DEMOCRAT,COLGRAD,NONE,OVER100K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.648
NATIONAL WHITE,21.0,8.0,15.0,SECOND CALL,75+,WHITE,FEMALE,NADER,RAPPAPORT,DISAPPR,UNFAVORABLE,GORE,EDUCATION,DOLE,NONE,SAME,DIS/UNFAV,YES,REPUBLCN,POSTGRAD,ELSE,50-75K,NO,NO,MODERATE,65+,,NATIONAL,COMPLETE,BALTSUBURBAN,60+,60+,REPUBLICAN,65+,OTHER,,,0.583
NATIONAL YELLOW,21.0,8.0,16.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,RAPPAPORT,OMITS,OMITS,OMITS,SOCIALSECUR,OMITS,NONE,OMITS,,NO,,,,,,,,18-64,,NATIONAL,NOTCOMPLETE,BALTSUBURBAN,60+,60+,,50-64,,SOCIALSECUR,COMPLEXISSUE,0.751
NATIONAL YELLOW,21.0,8.0,17.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,MEDICARE/RX,CLINTON,NONE,BETTER,APP/FAV,NO,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,OVER100K,YES,NO,LIBERAL,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,MEDICARE/RX,HONEST,0.648
NATIONAL YELLOW,21.0,8.0,18.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,CLINTON,ME,SAME,APP/FAV,YES,DEMOCRAT,POSTGRAD,JEWISH,OVER100K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,45-59,50-59,DEMOCRAT,50-64,JEWISH,WORLDAFFAIRS,EXPERIENCE,0.648
NATIONAL GREY,21.0,8.0,19.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,RAPPAPORT,,,,,,,,,,REPUBLCN,HSGRAD,,OVER100K,,,CONSERV,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,30-44,40-49,REPUBLICAN,40-49,,,,0.649
NATIONAL GREY,21.0,8.0,20.0,SECOND CALL,75+,WHITE,MALE,GORE,SARBANES,,,,,,,,,,DEMOCRAT,HSGRAD,,,,,MODERATE,65+,,NATIONAL,COMPLETE,BALTSUBURBAN,60+,60+,DEMOCRAT,65+,,,,0.718
NATIONAL GREY,21.0,8.0,21.0,SECOND CALL,25-29,WHITE,MALE,GORE,SARBANES,,,,,,,,,,DEMOCRAT,COLGRAD,,OVER100K,,,MODERATE,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,18-29,25-29,DEMOCRAT,25-29,,,,0.599
NATIONAL PINK,21.0,8.0,22.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,SARBANES,,,,,,NONE,,,YES,DEMOCRAT,,JEWISH,30-50K,NO,YES,LIBERAL,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,30-44,40-49,DEMOCRAT,40-49,JEWISH,,,0.648
NATIONAL PINK,21.0,8.0,23.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,SARBANES,,,,,,SOMEONEELSE,,,NO,DEMOCRAT,,CATHOLIC,30-50K,NO,NO,MODERATE,65+,,NATIONAL,COMPLETE,BALTSUBURBAN,60+,60+,DEMOCRAT,65+,CATHOLIC,,,0.749
NATIONAL PINK,21.0,8.0,24.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,RAPPAPORT,,,,,,NONE,,,YES,REPUBLCN,,PROTESTANT,75-100K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.681
NATIONAL WHITE,21.0,8.0,25.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,RAPPAPORT,APPROVE,UNFAVORABLE,BUSH,TAXES,CLINTON,NONE,SAME,APP/UNFAV,YES,DEMOCRAT,POSTGRAD,CATHOLIC,OVER100K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.681
NATIONAL WHITE,21.0,8.0,26.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,RAPPAPORT,DISAPPR,UNFAVORABLE,GORE,OMITS,CLINTON,NONE,BETTER,DIS/UNFAV,YES,INDEPEND,SOMCOL/ASSOC,PROTESTANT,75-100K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.649
NATIONAL WHITE,21.0,8.0,27.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,SARBANES,APPROVE,UNFAVORABLE,GORE,EDUCATION,CLINTON,ME,SAME,APP/UNFAV,NO,DEMOCRAT,COLGRAD,PROTESTANT,50-75K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.648
NATIONAL WHITE,21.0,8.0,28.0,THIRD CALL,65-74,WHITE,MALE,GORE,SARBANES,OMITS,OMITS,OMITS,MEDICARE/RX,OMITS,NONE,OMITS,,NO,,,,,,,,65+,,NATIONAL,NOTCOMPLETE,BALTSUBURBAN,60+,60+,,65+,,,,0.718
NATIONAL WHITE,21.0,8.0,29.0,THIRD CALL,50-59,WHITE,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,NONE,BETTER,APP/FAV,YES,DEMOCRAT,POSTGRAD,NONE,OVER100K,YES,NO,LIBERAL,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,45-59,50-59,DEMOCRAT,50-64,NONE,,,0.621
NATIONAL WHITE,21.0,8.0,30.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,DOLE,NONE,SAME,DIS/UNFAV,NO,DEMOCRAT,POSTGRAD,CATHOLIC,75-100K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,BALTSUBURBAN,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.681
