VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,ISSUE,X6VOTE,UNION4,ABORTION,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,ATTEND,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,WEIGHT
STATE ONLY,40.0,11.0,11.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,CHAFEE,APPROVE,UNFAVORABLE,GORE,HEALTHCARE,CLINTON,NONE,MOSTLGL,BETTER,APP/UNFAV,INDEPEND,COLGRAD,NONE,NEVER,75-100K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,45-59,40-49,IND/OTHER,40-49,NONE,0.868
STATE ONLY,40.0,11.0,12.0,FIRST CALL,50-59,WHITE,MALE,NADER,WEYGAND,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,NONE,MOSTILL,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,ONCEAWEEK,75-100K,LIBERAL,18-64,STATE,COMPLETE,SUBURBS,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,0.256
STATE ONLY,40.0,11.0,13.0,FIRST CALL,50-59,WHITE,MALE,BUSH,CHAFEE,APPROVE,UNFAVORABLE,BUSH,TAXES,CLINTON,NONE,MOSTLGL,BETTER,APP/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,AFEWAMONTH,30-50K,CONSERV,18-64,STATE,COMPLETE,SUBURBS,45-59,50-59,IND/OTHER,50-64,CATHOLIC,0.6900000000000001
STATE ONLY,40.0,11.0,14.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,CHAFEE,OMITS,OMITS,OMITS,SOCIALSECUR,CLINTON,NONE,MOSTILL,SAME,OMITS,,,NONE,NEVER,,,18-64,STATE,COMPLETE,SUBURBS,60+,60+,,50-64,NONE,1.173
STATE ONLY,40.0,11.0,15.0,FIRST CALL,65-74,WHITE,MALE,GORE,CHAFEE,APPROVE,FAVORABLE,GORE,MEDICARE/RX,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,ONCEAWEEK,50-75K,MODERATE,65+,STATE,COMPLETE,SUBURBS,60+,60+,DEMOCRAT,65+,PROT/CHRIST,1.107
STATE ONLY,40.0,11.0,16.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,CHAFEE,APPROVE,UNFAVORABLE,GORE,EDUCATION,CLINTON,SOMEONEELSE,MOSTLGL,BETTER,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,50-75K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,0.868
STATE ONLY,40.0,11.0,17.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,CHAFEE,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,CLINTON,NONE,ALWYSLGL,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,AFEWAMONTH,,LIBERAL,18-64,STATE,COMPLETE,SUBURBS,18-29,25-29,IND/OTHER,25-29,CATHOLIC,0.996
STATE ONLY,40.0,11.0,18.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,CHAFEE,OMITS,OMITS,OMITS,HEALTHCARE,OMITS,SOMEONEELSE,MOSTLGL,OMITS,,,,,OMITS,,,18-64,STATE,NOTCOMPLETE,SUBURBS,30-44,40-49,,40-49,,0.868
STATE ONLY,40.0,11.0,19.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,WEYGAND,OMITS,OMITS,OMITS,ECON/JOBS,OMITS,NONE,MOSTLGL,OMITS,,,,,OMITS,,,18-64,STATE,NOTCOMPLETE,SUBURBS,30-44,30-39,,30-39,,0.81
STATE ONLY,40.0,11.0,20.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,CHAFEE,OMITS,OMITS,OMITS,OMITS,OMITS,NONE,MOSTLGL,OMITS,,,,,OMITS,,,18-64,STATE,NOTCOMPLETE,SUBURBS,30-44,40-49,,40-49,,0.868
STATE ONLY,40.0,11.0,21.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,CHAFEE,DISAPPR,UNFAVORABLE,BUSH,OMITS,DOLE,NONE,MOSTILL,SAME,DIS/UNFAV,INDEPEND,COLGRAD,CATHOLIC,MORETHAN1AWK,50-75K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,60+,60+,IND/OTHER,50-64,CATHOLIC,0.986
STATE ONLY,40.0,11.0,22.0,SECOND CALL,30-39,WHITE,FEMALE,BUCHANAN,CHAFEE,APPROVE,UNFAVORABLE,BUSH,EDUCATION,DOLE,NONE,MOSTILL,SAME,APP/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,ONCEAWEEK,OVER100K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,30-44,30-39,IND/OTHER,30-39,CATHOLIC,0.032
STATE ONLY,40.0,11.0,23.0,SECOND CALL,25-29,WHITE,MALE,GORE,CHAFEE,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,SOMEONEELSE,MOSTLGL,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,AFEWAMONTH,15-30K,CONSERV,18-64,STATE,COMPLETE,SUBURBS,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,0.9410000000000001
STATE ONLY,40.0,11.0,24.0,SECOND CALL,75+,WHITE,MALE,GORE,CHAFEE,APPROVE,FAVORABLE,GORE,SOCIALSECUR,CLINTON,ME,ALWYSLGL,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,AFEWAYEAR,15-30K,MODERATE,65+,STATE,COMPLETE,SUBURBS,60+,60+,DEMOCRAT,65+,CATHOLIC,1.107
STATE ONLY,40.0,11.0,25.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,CHAFEE,APPROVE,FAVORABLE,GORE,ECON/JOBS,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,30-50K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,18-29,25-29,IND/OTHER,25-29,CATHOLIC,0.996
STATE ONLY,40.0,11.0,26.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,WEYGAND,APPROVE,FAVORABLE,BUSH,SOCIALSECUR,CLINTON,NONE,ALWYSILL,WORSE,APP/FAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,15-30K,CONSERV,18-64,STATE,COMPLETE,SUBURBS,30-44,30-39,IND/OTHER,30-39,CATHOLIC,0.682
STATE ONLY,40.0,11.0,27.0,SECOND CALL,40-44,WHITE,MALE,BUSH,,OMITS,OMITS,OMITS,OMITS,OMITS,,OMITS,OMITS,,,,,OMITS,,,18-64,STATE,NOTCOMPLETE,SUBURBS,30-44,40-49,,40-49,,0.669
STATE ONLY,40.0,11.0,28.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,CHAFEE,APPROVE,FAVORABLE,GORE,MEDICARE/RX,CLINTON,ME,ALWYSLGL,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,ELSE,ONCEAWEEK,15-30K,LIBERAL,18-64,STATE,COMPLETE,SUBURBS,45-59,40-49,DEMOCRAT,40-49,OTHER,0.868
STATE ONLY,40.0,11.0,29.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,WEYGAND,APPROVE,UNFAVORABLE,BUSH,HEALTHCARE,CLINTON,NONE,MOSTILL,BETTER,APP/UNFAV,INDEPEND,HSGRAD,PROTESTANT,MORETHAN1AWK,OVER100K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,0.682
STATE ONLY,40.0,11.0,30.0,THIRD CALL,30-39,WHITE,MALE,GORE,WEYGAND,APPROVE,FAVORABLE,GORE,ECON/JOBS,CLINTON,ME,MOSTLGL,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,50-75K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,30-44,30-39,IND/OTHER,30-39,CATHOLIC,0.765
STATE ONLY,40.0,11.0,31.0,THIRD CALL,60-64,WHITE,MALE,BUSH,WEYGAND,DISAPPR,UNFAVORABLE,BUSH,SOCIALSECUR,OMITS,NONE,MOSTILL,BETTER,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,MORETHAN1AWK,50-75K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,60+,60+,IND/OTHER,50-64,CATHOLIC,0.868
STATE ONLY,40.0,11.0,32.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,WEYGAND,DISAPPR,UNFAVORABLE,GORE,SOCIALSECUR,CLINTON,NONE,MOSTILL,WORSE,DIS/UNFAV,INDEPEND,COLGRAD,CATHOLIC,AFEWAYEAR,30-50K,LIBERAL,18-64,STATE,COMPLETE,SUBURBS,45-59,40-49,IND/OTHER,40-49,CATHOLIC,0.81
STATE ONLY,40.0,11.0,33.0,THIRD CALL,50-59,WHITE,MALE,NADER,CHAFEE,OMITS,OMITS,OMITS,SOCIALSECUR,OMITS,NONE,MOSTLGL,OMITS,,,,,OMITS,,,18-64,STATE,NOTCOMPLETE,SUBURBS,45-59,50-59,,50-64,,0.274
STATE ONLY,40.0,11.0,34.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,WEYGAND,DISAPPR,UNFAVORABLE,BUSH,HEALTHCARE,CLINTON,NONE,ALWYSILL,BETTER,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,MORETHAN1AWK,50-75K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,30-44,40-49,IND/OTHER,40-49,CATHOLIC,0.682
STATE ONLY,40.0,11.0,35.0,THIRD CALL,60-64,WHITE,MALE,GORE,WEYGAND,APPROVE,FAVORABLE,GORE,ECON/JOBS,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,AFEWAYEAR,50-75K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,60+,60+,DEMOCRAT,50-64,CATHOLIC,1.032
STATE ONLY,40.0,11.0,36.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,CHAFEE,APPROVE,FAVORABLE,GORE,HEALTHCARE,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,INDEPEND,NOHS,CATHOLIC,ONCEAWEEK,15-30K,CONSERV,18-64,STATE,COMPLETE,SUBURBS,45-59,50-59,IND/OTHER,50-64,CATHOLIC,0.868
STATE ONLY,40.0,11.0,37.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,CHAFEE,DISAPPR,UNFAVORABLE,GORE,HEALTHCARE,CLINTON,NONE,ALWYSLGL,WORSE,DIS/UNFAV,DEMOCRAT,HSGRAD,CATHOLIC,AFEWAYEAR,LESS15K,LIBERAL,18-64,STATE,COMPLETE,SUBURBS,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,0.996
STATE ONLY,40.0,11.0,38.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,CHAFEE,APPROVE,UNFAVORABLE,GORE,HEALTHCARE,CLINTON,NONE,ALWYSILL,BETTER,APP/UNFAV,INDEPEND,COLGRAD,OTHERCHRIST,AFEWAYEAR,50-75K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,0.868
STATE ONLY,40.0,11.0,39.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,WEYGAND,APPROVE,FAVORABLE,WOULDNOTVOTE,TAXES,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,INDEPEND,COLGRAD,CATHOLIC,AFEWAYEAR,,LIBERAL,18-64,STATE,COMPLETE,SUBURBS,45-59,40-49,IND/OTHER,40-49,CATHOLIC,0.81
STATE ONLY,40.0,11.0,40.0,THIRD CALL,18-24,OTHER,MALE,GORE,WEYGAND,APPROVE,FAVORABLE,GORE,TAXES,NOVOTE,NONE,ALWYSLGL,WORSE,APP/FAV,DEMOCRAT,HSGRAD,NONE,NEVER,15-30K,LIBERAL,18-64,STATE,COMPLETE,SUBURBS,18-29,18-24,DEMOCRAT,18-24,NONE,0.877
STATE ONLY,40.0,14.0,1.0,FIRST CALL,50-59,WHITE,MALE,BUSH,WEYGAND,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,DOLE,NONE,ALWYSILL,WORSE,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,ONCEAWEEK,30-50K,CONSERV,18-64,STATE,COMPLETE,SUBURBS,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,0.403
STATE ONLY,40.0,14.0,2.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,CHAFEE,APPROVE,FAVORABLE,GORE,MEDICARE/RX,CLINTON,NONE,ALWYSLGL,BETTER,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,ONCEAWEEK,,CONSERV,18-64,STATE,COMPLETE,SUBURBS,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,0.623
STATE ONLY,40.0,14.0,3.0,FIRST CALL,18-24,WHITE,MALE,BUSH,,APPROVE,UNFAVORABLE,BUSH,WORLDAFFAIRS,CLINTON,NONE,ALWYSILL,WORSE,APP/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,MORETHAN1AWK,OVER100K,CONSERV,18-64,STATE,COMPLETE,SUBURBS,18-29,18-24,REPUBLICAN,18-24,CATHOLIC,0.47900000000000004
STATE ONLY,40.0,14.0,4.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,WEYGAND,APPROVE,UNFAVORABLE,GORE,TAXES,CLINTON,NONE,MOSTLGL,SAME,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,50-75K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,0.508
STATE ONLY,40.0,14.0,5.0,FIRST CALL,18-24,,FEMALE,GORE,,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,DOLE,NONE,MOSTLGL,WORSE,APP/FAV,DEMOCRAT,HSGRAD,ELSE,AFEWAYEAR,50-75K,CONSERV,18-64,STATE,COMPLETE,SUBURBS,18-29,18-24,DEMOCRAT,18-24,OTHER,0.604
STATE ONLY,40.0,14.0,6.0,FIRST CALL,75+,WHITE,MALE,GORE,CHAFEE,OMITS,OMITS,OMITS,ECON/JOBS,OMITS,NONE,MOSTLGL,OMITS,,,,,OMITS,,,65+,STATE,NOTCOMPLETE,SUBURBS,60+,60+,,65+,,0.6920000000000001
STATE ONLY,40.0,14.0,7.0,FIRST CALL,40-44,WHITE,MALE,GORE,CHAFEE,APPROVE,FAVORABLE,GORE,MEDICARE/RX,CLINTON,NONE,MOSTILL,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,ONCEAWEEK,,MODERATE,18-64,STATE,COMPLETE,SUBURBS,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,0.514
STATE ONLY,40.0,14.0,8.0,FIRST CALL,60-64,WHITE,FEMALE,BUCHANAN,,OMITS,OMITS,OMITS,OMITS,OMITS,SOMEONEELSE,ALWYSILL,OMITS,,,,,OMITS,,,18-64,STATE,NOTCOMPLETE,SUBURBS,60+,60+,,50-64,,0.026000000000000002
STATE ONLY,40.0,14.0,9.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,WEYGAND,DISAPPR,UNFAVORABLE,BUSH,EDUCATION,DOLE,NONE,MOSTILL,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,MORETHAN1AWK,75-100K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,0.427
STATE ONLY,40.0,14.0,10.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,CHAFEE,APPROVE,UNFAVORABLE,BUSH,MEDICARE/RX,PEROT,NONE,MOSTLGL,BETTER,APP/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,AFEWAYEAR,50-75K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,0.458
STATE ONLY,40.0,14.0,11.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,WEYGAND,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,AFEWAYEAR,50-75K,LIBERAL,18-64,STATE,COMPLETE,SUBURBS,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,0.427
STATE ONLY,40.0,14.0,12.0,FIRST CALL,50-59,BLACK,FEMALE,BUSH,CHAFEE,APPROVE,UNFAVORABLE,BUSH,SOCIALSECUR,NOVOTE,NONE,MOSTILL,WORSE,APP/UNFAV,INDEPEND,HSGRAD,CATHOLIC,NEVER,50-75K,LIBERAL,18-64,STATE,COMPLETE,SUBURBS,45-59,50-59,IND/OTHER,50-64,CATHOLIC,0.585
STATE ONLY,40.0,14.0,13.0,FIRST CALL,75+,WHITE,MALE,GORE,CHAFEE,APPROVE,UNFAVORABLE,BUSH,WORLDAFFAIRS,DOLE,NONE,OMITS,WORSE,APP/UNFAV,INDEPEND,COLGRAD,PROTESTANT,NEVER,LESS15K,LIBERAL,65+,STATE,COMPLETE,SUBURBS,60+,60+,IND/OTHER,65+,PROT/CHRIST,0.6920000000000001
STATE ONLY,40.0,14.0,14.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,CHAFEE,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,CLINTON,NONE,ALWYSLGL,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,JEWISH,MORETHAN1AWK,OVER100K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,45-59,40-49,DEMOCRAT,40-49,JEWISH,0.545
STATE ONLY,40.0,14.0,15.0,FIRST CALL,40-44,WHITE,MALE,BUSH,CHAFEE,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,DOLE,,ALWYSLGL,SAME,DIS/UNFAV,INDEPEND,COLGRAD,CATHOLIC,AFEWAYEAR,75-100K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,30-44,40-49,IND/OTHER,40-49,CATHOLIC,0.433
STATE ONLY,40.0,14.0,16.0,FIRST CALL,25-29,WHITE,MALE,NADER,CHAFEE,APPROVE,UNFAVORABLE,WOULDNOTVOTE,OMITS,CLINTON,NONE,MOSTLGL,BETTER,APP/UNFAV,REPUBLCN,NOHS,PROTESTANT,AFEWAYEAR,75-100K,LIBERAL,18-64,STATE,COMPLETE,SUBURBS,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,0.197
STATE ONLY,40.0,14.0,17.0,FIRST CALL,45-49,WHITE,MALE,BUSH,WEYGAND,DISAPPR,FAVORABLE,BUSH,WORLDAFFAIRS,DOLE,ME,MOSTILL,SAME,DIS/FAV,REPUBLCN,POSTGRAD,PROTESTANT,ONCEAWEEK,OVER100K,LIBERAL,18-64,STATE,COMPLETE,SUBURBS,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,0.403
STATE ONLY,40.0,14.0,18.0,SECOND CALL,50-59,WHITE,MALE,GORE,CHAFEE,APPROVE,UNFAVORABLE,GORE,MEDICARE/RX,CLINTON,NONE,MOSTLGL,SAME,APP/UNFAV,INDEPEND,HSGRAD,CATHOLIC,AFEWAYEAR,50-75K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,45-59,50-59,IND/OTHER,50-64,CATHOLIC,0.514
STATE ONLY,40.0,14.0,19.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,CHAFEE,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,DOLE,NONE,ALWYSLGL,BETTER,DIS/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,ONCEAWEEK,75-100K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,45-59,40-49,IND/OTHER,40-49,CATHOLIC,0.458
STATE ONLY,40.0,14.0,20.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,WEYGAND,APPROVE,FAVORABLE,GORE,MEDICARE/RX,CLINTON,MEANDSOMEONE,ALWYSLGL,BETTER,APP/FAV,ELSE,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,50-75K,CONSERV,18-64,STATE,COMPLETE,SUBURBS,45-59,50-59,IND/OTHER,50-64,CATHOLIC,0.508
STATE ONLY,40.0,14.0,21.0,SECOND CALL,75+,WHITE,FEMALE,GORE,CHAFEE,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,NONE,ALWYSLGL,SAME,APP/FAV,DEMOCRAT,NOHS,CATHOLIC,ONCEAWEEK,30-50K,LIBERAL,65+,STATE,COMPLETE,SUBURBS,60+,60+,DEMOCRAT,65+,CATHOLIC,0.734
STATE ONLY,40.0,14.0,22.0,SECOND CALL,18-24,WHITE,MALE,GORE,CHAFEE,APPROVE,FAVORABLE,GORE,OMITS,NOVOTE,NONE,ALWYSLGL,SAME,APP/FAV,INDEPEND,NOHS,CATHOLIC,NEVER,30-50K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,18-29,18-24,IND/OTHER,18-24,CATHOLIC,0.588
STATE ONLY,40.0,14.0,23.0,SECOND CALL,75+,WHITE,MALE,GORE,CHAFEE,APPROVE,FAVORABLE,GORE,ECON/JOBS,CLINTON,NONE,ALWYSLGL,SAME,APP/FAV,INDEPEND,HSGRAD,JEWISH,AFEWAYEAR,,LIBERAL,65+,STATE,COMPLETE,SUBURBS,60+,60+,IND/OTHER,65+,JEWISH,0.6920000000000001
STATE ONLY,40.0,14.0,24.0,SECOND CALL,30-39,HISP,MALE,GORE,WEYGAND,APPROVE,FAVORABLE,GORE,ECON/JOBS,CLINTON,NONE,ALWYSILL,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,15-30K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,0.613
STATE ONLY,40.0,14.0,25.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,WEYGAND,DISAPPR,UNFAVORABLE,BUSH,HEALTHCARE,OTHER,ME,ALWYSILL,SAME,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,50-75K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,60+,60+,IND/OTHER,50-64,CATHOLIC,0.5750000000000001
STATE ONLY,40.0,14.0,26.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,CHAFEE,OMITS,OMITS,OMITS,EDUCATION,OMITS,NONE,MOSTLGL,OMITS,,,,,OMITS,,,65+,STATE,NOTCOMPLETE,SUBURBS,60+,60+,,65+,,0.734
STATE ONLY,40.0,14.0,27.0,SECOND CALL,18-24,WHITE,MALE,GORE,WEYGAND,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,CLINTON,MEANDSOMEONE,MOSTLGL,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,75-100K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,18-29,18-24,DEMOCRAT,18-24,CATHOLIC,0.548
