VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,PROPME6,GOVTDO,ISSUE,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,20.0,1.0,16.0,SECOND CALL,30-39,WHITE,MALE,GORE,SNOWE,DISAPPR,UNFAVORABLE,GORE,YES,LESS,EDUCATION,NO,CLINTON,BETTER,DIS/UNFAV,INDEPEND,COLGRAD,NONE,30-50K,MODERATE,18-64,STATE,COMPLETE,CD2,30-44,30-39,IND/OTHER,30-39,NONE,,,0.709
STATE ONLY,20.0,1.0,17.0,THIRD CALL,40-44,WHITE,MALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,EDUCATION,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,CD2,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.713
STATE ONLY,20.0,1.0,18.0,THIRD CALL,40-44,WHITE,MALE,BUSH,SNOWE,APPROVE,FAVORABLE,BUSH,NO,LESS,ECON/JOBS,NO,CLINTON,WORSE,APP/FAV,INDEPEND,POSTGRAD,NONE,75-100K,MODERATE,18-64,STATE,COMPLETE,CD2,30-44,40-49,IND/OTHER,40-49,NONE,,,0.713
STATE ONLY,20.0,1.0,19.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,SNOWE,APPROVE,FAVORABLE,BUSH,NO,LESS,EDUCATION,NO,DOLE,BETTER,APP/FAV,REPUBLCN,POSTGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CD2,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,,,0.635
STATE ONLY,20.0,1.0,20.0,THIRD CALL,40-44,WHITE,MALE,NADER,SNOWE,DISAPPR,FAVORABLE,GORE,NO,LESS,WORLDAFFAIRS,YES,CLINTON,BETTER,DIS/FAV,INDEPEND,COLGRAD,CATHOLIC,75-100K,MODERATE,18-64,STATE,COMPLETE,CD2,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.668
STATE ONLY,20.0,1.0,21.0,THIRD CALL,50-59,WHITE,MALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,MORE,HEALTHCARE,YES,OMITS,SAME,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,COMPLETE,CD2,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.713
STATE ONLY,20.0,1.0,22.0,THIRD CALL,75+,BLACK,MALE,BUSH,SNOWE,OMITS,OMITS,OMITS,NO,LESS,SOCIALSECUR,YES,OMITS,OMITS,,,,,,,65+,STATE,NOTCOMPLETE,CD2,60+,60+,,65+,,,,0.63
STATE ONLY,20.0,1.0,23.0,THIRD CALL,40-44,WHITE,MALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,TAXES,NO,DOLE,WORSE,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,15-30K,CONSERV,18-64,STATE,COMPLETE,CD2,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.713
STATE ONLY,20.0,1.0,24.0,THIRD CALL,30-39,WHITE,FEMALE,BUCHANAN,LAWRENCE,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,NO,LESS,ECON/JOBS,NO,DOLE,WORSE,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,CD2,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.382
STATE ONLY,20.0,1.0,25.0,THIRD CALL,30-39,WHITE,MALE,GORE,LAWRENCE,APPROVE,UNFAVORABLE,BUSH,NO,MORE,SOCIALSECUR,YES,CLINTON,BETTER,APP/UNFAV,INDEPEND,NOHS,CATHOLIC,15-30K,LIBERAL,18-64,STATE,COMPLETE,CD2,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.8310000000000001
STATE ONLY,20.0,1.0,26.0,THIRD CALL,45-49,WHITE,MALE,,LAWRENCE,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,,LESS,OMITS,NO,PEROT,WORSE,DIS/UNFAV,INDEPEND,COLGRAD,OTHERCHRIST,LESS15K,MODERATE,18-64,STATE,COMPLETE,CD2,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.728
STATE ONLY,20.0,1.0,27.0,THIRD CALL,18-24,WHITE,FEMALE,BUCHANAN,SNOWE,OMITS,OMITS,GORE,YES,LESS,OMITS,NO,PEROT,OMITS,OMITS,INDEPEND,SOMCOL/ASSOC,NONE,,LIBERAL,18-64,STATE,COMPLETE,CD2,18-29,18-24,IND/OTHER,18-24,NONE,,,0.335
STATE ONLY,20.0,1.0,28.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,TAXES,YES,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,HSGRAD,NONE,50-75K,MODERATE,18-64,STATE,COMPLETE,CD2,18-29,25-29,REPUBLICAN,25-29,NONE,,,0.646
STATE ONLY,20.0,1.0,29.0,THIRD CALL,25-29,WHITE,FEMALE,NADER,SNOWE,DISAPPR,UNFAVORABLE,GORE,YES,LESS,HEALTHCARE,YES,CLINTON,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CD2,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,0.54
STATE ONLY,20.0,1.0,30.0,THIRD CALL,30-39,WHITE,MALE,GORE,LAWRENCE,APPROVE,FAVORABLE,GORE,YES,MORE,ECON/JOBS,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,CD2,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.74
STATE ONLY,20.0,1.0,31.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,,APPROVE,UNFAVORABLE,BUSH,NO,OMITS,TAXES,YES,DOLE,BETTER,APP/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,CD2,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,0.654
STATE ONLY,20.0,1.0,32.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,SOCIALSECUR,NO,CLINTON,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,15-30K,LIBERAL,18-64,STATE,COMPLETE,CD2,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,0.646
STATE ONLY,20.0,1.0,33.0,THIRD CALL,50-59,WHITE,,BUSH,SNOWE,APPROVE,UNFAVORABLE,GORE,YES,MORE,WORLDAFFAIRS,YES,CLINTON,SAME,APP/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,15-30K,LIBERAL,18-64,STATE,COMPLETE,CD2,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.5660000000000001
STATE ONLY,20.0,1.0,34.0,THIRD CALL,65-74,BLACK,FEMALE,GORE,LAWRENCE,APPROVE,FAVORABLE,GORE,YES,OMITS,OMITS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,30-50K,LIBERAL,65+,STATE,COMPLETE,CD2,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.581
STATE ONLY,20.0,1.0,35.0,THIRD CALL,65-74,WHITE,MALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,YES,MORE,SOCIALSECUR,NO,PEROT,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,15-30K,CONSERV,65+,STATE,COMPLETE,CD2,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.809
STATE ONLY,20.0,1.0,36.0,THIRD CALL,18-24,WHITE,MALE,BUSH,SNOWE,APPROVE,FAVORABLE,GORE,NO,LESS,MEDICARE/RX,YES,NOVOTE,BETTER,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,LESS15K,MODERATE,18-64,STATE,COMPLETE,CD2,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.729
STATE ONLY,20.0,1.0,37.0,THIRD CALL,30-39,WHITE,MALE,BUSH,LAWRENCE,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,HEALTHCARE,YES,CLINTON,BETTER,DIS/UNFAV,INDEPEND,HSGRAD,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,CD2,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.662
STATE ONLY,20.0,1.0,38.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,SNOWE,APPROVE,UNFAVORABLE,GORE,NO,LESS,HEALTHCARE,YES,CLINTON,BETTER,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,75-100K,LIBERAL,18-64,STATE,COMPLETE,CD2,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,0.709
STATE ONLY,20.0,1.0,39.0,THIRD CALL,50-59,WHITE,MALE,GORE,LAWRENCE,OMITS,OMITS,OMITS,YES,MORE,ECON/JOBS,YES,OMITS,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,CD2,45-59,50-59,,50-64,,,,0.74
STATE ONLY,20.0,1.0,40.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,SNOWE,APPROVE,UNFAVORABLE,GORE,YES,MORE,MEDICARE/RX,YES,CLINTON,WORSE,APP/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,LESS15K,LIBERAL,18-64,STATE,COMPLETE,CD2,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.631
STATE ONLY,20.0,1.0,41.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,LAWRENCE,APPROVE,FAVORABLE,GORE,YES,MORE,TAXES,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,OTHERCHRIST,75-100K,MODERATE,18-64,STATE,COMPLETE,CD2,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,0.671
STATE ONLY,20.0,1.0,42.0,THIRD CALL,75+,BLACK,MALE,GORE,LAWRENCE,OMITS,FAVORABLE,GORE,YES,MORE,ECON/JOBS,NO,CLINTON,BETTER,OMITS,DEMOCRAT,NOHS,ELSE,15-30K,MODERATE,65+,STATE,COMPLETE,CD2,60+,60+,DEMOCRAT,65+,OTHER,,,0.651
STATE ONLY,20.0,1.0,43.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,SNOWE,APPROVE,FAVORABLE,GORE,YES,MORE,HEALTHCARE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,,30-50K,LIBERAL,18-64,STATE,COMPLETE,CD2,30-44,30-39,DEMOCRAT,30-39,,,,0.631
NATIONAL WHITE,20.0,3.0,1.0,FIRST CALL,50-59,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,SOCIALSECUR,NO,CLINTON,SAME,DIS/UNFAV,DEMOCRAT,HSGRAD,CATHOLIC,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,CD2,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.762
NATIONAL WHITE,20.0,3.0,2.0,FIRST CALL,18-24,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,MEDICARE/RX,YES,OTHER,WORSE,DIS/UNFAV,INDEPEND,HSGRAD,OTHERCHRIST,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,CD2,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,0.776
NATIONAL WHITE,20.0,3.0,3.0,FIRST CALL,30-39,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,TAXES,YES,DOLE,WORSE,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,CD2,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.762
NATIONAL WHITE,20.0,3.0,4.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,,APPROVE,FAVORABLE,GORE,NO,LESS,WORLDAFFAIRS,NO,DOLE,OMITS,APP/FAV,DEMOCRAT,POSTGRAD,JEWISH,30-50K,LIBERAL,18-64,NATIONAL,COMPLETE,CD2,45-59,50-59,DEMOCRAT,50-64,JEWISH,,,0.756
NATIONAL WHITE,20.0,3.0,5.0,FIRST CALL,45-49,WHITE,MALE,GORE,,APPROVE,UNFAVORABLE,BUSH,YES,MORE,EDUCATION,NO,CLINTON,SAME,APP/UNFAV,INDEPEND,COLGRAD,PROTESTANT,LESS15K,LIBERAL,18-64,NATIONAL,COMPLETE,CD2,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.756
NATIONAL WHITE,20.0,3.0,6.0,FIRST CALL,30-39,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,ECON/JOBS,NO,DOLE,SAME,DIS/UNFAV,DEMOCRAT,HSGRAD,CATHOLIC,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,CD2,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.762
NATIONAL WHITE,20.0,3.0,7.0,FIRST CALL,25-29,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,,LESS,MEDICARE/RX,NO,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,15-30K,LIBERAL,18-64,NATIONAL,COMPLETE,CD2,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,0.732
NATIONAL YELLOW,20.0,3.0,8.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,,APPROVE,UNFAVORABLE,GORE,YES,OMITS,EDUCATION,NO,DOLE,WORSE,APP/UNFAV,DEMOCRAT,POSTGRAD,JEWISH,50-75K,LIBERAL,18-64,NATIONAL,COMPLETE,CD2,30-44,30-39,DEMOCRAT,30-39,JEWISH,EDUCATION,COMPLEXISSUE,0.673
NATIONAL YELLOW,20.0,3.0,9.0,FIRST CALL,18-24,WHITE,FEMALE,GORE,,DISAPPR,UNFAVORABLE,GORE,YES,MORE,EDUCATION,NO,NOVOTE,SAME,DIS/UNFAV,ELSE,SOMCOL/ASSOC,NONE,LESS15K,LIBERAL,18-64,NATIONAL,COMPLETE,CD2,18-29,18-24,IND/OTHER,18-24,NONE,EDUCATION,STRONGLEADER,0.687
NATIONAL YELLOW,20.0,3.0,10.0,FIRST CALL,25-29,WHITE,FEMALE,NADER,,DISAPPR,UNFAVORABLE,GORE,YES,MORE,WORLDAFFAIRS,NO,DOLE,BETTER,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,NONE,50-75K,LIBERAL,18-64,NATIONAL,COMPLETE,CD2,18-29,25-29,IND/OTHER,25-29,NONE,WORLDAFFAIRS,CARES,0.5750000000000001
NATIONAL YELLOW,20.0,3.0,11.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,MEDICARE/RX,YES,DOLE,WORSE,DIS/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,15-30K,CONSERV,65+,NATIONAL,COMPLETE,CD2,60+,60+,REPUBLICAN,65+,CATHOLIC,MEDICARE/RX,EXPERIENCE,0.863
NATIONAL YELLOW,20.0,3.0,12.0,FIRST CALL,18-24,BLACK,MALE,BUSH,,APPROVE,UNFAVORABLE,BUSH,YES,LESS,SOCIALSECUR,NO,NOVOTE,WORSE,APP/UNFAV,REPUBLCN,SOMCOL/ASSOC,ELSE,,MODERATE,18-64,NATIONAL,COMPLETE,CD2,18-29,18-24,REPUBLICAN,18-24,OTHER,SOCIALSECUR,STRONGLEADER,0.47800000000000004
NATIONAL YELLOW,20.0,3.0,13.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,,APPROVE,UNFAVORABLE,BUSH,NO,MORE,HEALTHCARE,NO,DOLE,BETTER,APP/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,,MODERATE,18-64,NATIONAL,COMPLETE,CD2,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,HEALTHCARE,LIKEABLE,0.756
NATIONAL YELLOW,20.0,3.0,14.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,,APPROVE,FAVORABLE,GORE,YES,MORE,MEDICARE/RX,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,CD2,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,MEDICARE/RX,HONEST,0.673
NATIONAL GREY,20.0,3.0,15.0,FIRST CALL,40-44,WHITE,MALE,GORE,,,,,NO,,,,,,,REPUBLCN,POSTGRAD,,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,CD2,30-44,40-49,REPUBLICAN,40-49,,,,0.85
NATIONAL GREY,20.0,3.0,16.0,FIRST CALL,30-39,HISP,MALE,GORE,,,,,NO,,,,,,,,,,OVER100K,LIBERAL,18-64,NATIONAL,COMPLETE,CD2,30-44,30-39,,30-39,,,,0.587
NATIONAL GREY,20.0,3.0,17.0,FIRST CALL,,WHITE,MALE,GORE,,,,,,,,,,,,INDEPEND,HSGRAD,,LESS15K,MODERATE,,NATIONAL,COMPLETE,CD2,,,IND/OTHER,,,,,0.802
NATIONAL GREY,20.0,3.0,18.0,FIRST CALL,,WHITE,FEMALE,,,,,,NO,,,,,,,INDEPEND,SOMCOL/ASSOC,,50-75K,MODERATE,,NATIONAL,COMPLETE,CD2,,,IND/OTHER,,,,,0.7010000000000001
NATIONAL GREY,20.0,3.0,19.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,,,,,NO,,,,,,,INDEPEND,SOMCOL/ASSOC,,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,CD2,45-59,40-49,IND/OTHER,40-49,,,,0.676
NATIONAL GREY,20.0,3.0,20.0,FIRST CALL,25-29,WHITE,FEMALE,BUSH,,,,,,,,,,,,REPUBLCN,SOMCOL/ASSOC,,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,CD2,18-29,25-29,REPUBLICAN,25-29,,,,0.651
NATIONAL GREY,20.0,3.0,21.0,FIRST CALL,,ASIAN,FEMALE,BUCHANAN,,,,,YES,,,,,,,INDEPEND,HSGRAD,,,LIBERAL,,NATIONAL,COMPLETE,CD2,,,IND/OTHER,,,,,0.35000000000000003
NATIONAL PINK,20.0,3.0,22.0,FIRST CALL,,WHITE,MALE,NADER,,,,,YES,,,NO,,,,DEMOCRAT,,PROTESTANT,LESS15K,CONSERV,,NATIONAL,COMPLETE,CD2,,,DEMOCRAT,,PROT/CHRIST,,,0.634
NATIONAL PINK,20.0,3.0,23.0,FIRST CALL,50-59,WHITE,FEMALE,NADER,,,,,YES,,,NO,,,,INDEPEND,,CATHOLIC,75-100K,MODERATE,18-64,NATIONAL,COMPLETE,CD2,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.5640000000000001
NATIONAL PINK,20.0,3.0,24.0,FIRST CALL,40-44,WHITE,MALE,BUSH,,,,,,,,NO,,,,REPUBLCN,,PROTESTANT,15-30K,CONSERV,18-64,NATIONAL,COMPLETE,CD2,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.718
NATIONAL PINK,20.0,3.0,25.0,FIRST CALL,,,MALE,BUCHANAN,,,,,NO,,,OMITS,,,,INDEPEND,,OTHERCHRIST,50-75K,MODERATE,,NATIONAL,COMPLETE,CD2,,,IND/OTHER,,PROT/CHRIST,,,0.439
NATIONAL PINK,20.0,3.0,26.0,FIRST CALL,65-74,WHITE,MALE,GORE,,,,,NO,,,NO,,,,INDEPEND,,CATHOLIC,30-50K,MODERATE,65+,NATIONAL,COMPLETE,CD2,60+,60+,IND/OTHER,65+,CATHOLIC,,,1.083
NATIONAL PINK,20.0,3.0,27.0,FIRST CALL,25-29,WHITE,MALE,BUSH,,,,,NO,,,NO,,,,INDEPEND,,PROTESTANT,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,CD2,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,,,0.776
NATIONAL PINK,20.0,3.0,28.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,,,,,NO,,,NO,,,,REPUBLCN,,PROTESTANT,15-30K,MODERATE,18-64,NATIONAL,COMPLETE,CD2,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.676
NATIONAL WHITE,20.0,3.0,29.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,,APPROVE,UNFAVORABLE,GORE,YES,MORE,WORLDAFFAIRS,NO,OTHER,SAME,APP/UNFAV,INDEPEND,POSTGRAD,ELSE,30-50K,LIBERAL,18-64,NATIONAL,COMPLETE,CD2,45-59,40-49,IND/OTHER,40-49,OTHER,,,0.673
