VERSION,STATEID,PRECINCT,SEQ,CALL,WGT,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,HOU,XWAY2000,GOVTDO,ISSUE,QUAL,RELRIGHT,X6VOTE,UNION4,ABORTION,FINSIT,JOBPERS,WORK,PARTYID,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,HISPANIC,QRACE,REL5,TRACK,PRESKNOW,FTVOTER,SAYANY,ISSVQUAL,VNS1,VNS2,GAY,CLINPRES,NEC,FEC,CLINECON,WEIGHT
NATIONAL WHITE,44.0,3.0,13.0,SECOND CALL,2106.0,30-39,WHITE,MALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,REP,BUSH,LESS,TAXES,GOODJUDGMENT,NO,CLINTON,NONE,MOSTLGL,SAME,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,30-50K,NO,YES,MODERATE,18-64,,NATIONAL,COMPLETE,WEST,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,RIGHTDIR,,NO,,PERSONALQUAL,,,NO,NEITHER,GOOD,BETTER,NOTTOORESPON,2.106
NATIONAL YELLOW,44.0,3.0,14.0,SECOND CALL,2002.0,50-59,WHITE,FEMALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,REP,BUSH,MORE,ECON/JOBS,STRONGLEADER,NO,NOVOTE,NONE,MOSTLGL,SAME,DIS/UNFAV,YES,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,30-50K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,WEST,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,PROT/CHRIST,WRONGTRACK,,NO,,PERSONALQUAL,ECON/JOBS,STRONGLEADER,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,2.0020000000000002
NATIONAL GREY,44.0,3.0,15.0,SECOND CALL,2106.0,50-59,WHITE,MALE,BUSH,HUTCHISON,,,REP,,,,,,,,,,,,DEMOCRAT,SOMCOL/ASSOC,,,50-75K,,,MODERATE,18-64,SOCIALSECURI,NATIONAL,COMPLETE,WEST,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,,,BOTH,,ONLYGORE,,,,,,,,,2.106
NATIONAL PINK,44.0,3.0,16.0,SECOND CALL,2593.0,65-74,WHITE,FEMALE,BUSH,HUTCHISON,,,REP,,,,,YES,,NONE,,,,YES,DEMOCRAT,,PROTESTANT,,50-75K,YES,NO,CONSERV,65+,,NATIONAL,COMPLETE,WEST,60+,60+,DEMOCRAT,65+,NO,WHITE,PROT/CHRIST,,,NO,,,,,,,,,,2.593
NATIONAL WHITE,44.0,3.0,17.0,THIRD CALL,2731.0,75+,WHITE,MALE,BUSH,HUTCHISON,OMITS,OMITS,REP,OMITS,LESS,SOCIALSECUR,HONEST,NO,OMITS,NONE,OMITS,OMITS,,NO,,,,OMITS,,,,,65+,,NATIONAL,NOTCOMPLETE,WEST,60+,60+,,65+,NO,WHITE,,OMITS,,NO,,OMITS,,,,NEITHER,OMITS,OMITS,OMITS,2.731
NATIONAL YELLOW,44.0,3.0,18.0,THIRD CALL,2106.0,45-49,WHITE,MALE,BUSH,HUTCHISON,APPROVE,UNFAVORABLE,REP,BUSH,LESS,WORLDAFFAIRS,GOODJUDGMENT,NO,NOVOTE,NONE,MOSTILL,WORSE,APP/UNFAV,YES,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,AFEWAMONTH,50-75K,NO,YES,MODERATE,18-64,,NATIONAL,COMPLETE,WEST,45-59,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,RIGHTDIR,,NO,,PERSONALQUAL,WORLDAFFAIRS,GOODJUDGMENT,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,2.106
NATIONAL YELLOW,44.0,3.0,19.0,THIRD CALL,2186.0,18-24,WHITE,MALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,REP,BUSH,MORE,EDUCATION,STRONGLEADER,NO,DOLE,NONE,MOSTLGL,SAME,DIS/UNFAV,YES,REPUBLCN,COLGRAD,NONE,NEVER,LESS15K,NO,NO,MODERATE,18-64,,NATIONAL,COMPLETE,WEST,18-29,18-24,REPUBLICAN,18-24,NO,WHITE,NONE,RIGHTDIR,,NO,,ISSUES,EDUCATION,STRONGLEADER,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,2.186
NATIONAL GREY,44.0,3.0,20.0,THIRD CALL,2489.0,75+,,FEMALE,GORE,HUTCHISON,,,,,,,,,,,,,,,,,,,,,,,65+,OMITS,NATIONAL,NOTCOMPLETE,WEST,60+,60+,,65+,NO,,,,OMITS,,OMITS,,,,,,,,,2.489
NATIONAL GREY,44.0,3.0,21.0,THIRD CALL,2002.0,50-59,WHITE,FEMALE,BUSH,HUTCHISON,,,,,,,,,,,,,,,INDEPEND,SOMCOL/ASSOC,,,30-50K,,,CONSERV,18-64,CUTFEDINCTAX,NATIONAL,COMPLETE,WEST,45-59,50-59,IND/OTHER,50-64,NO,WHITE,,,BOTH,,ONLYGORE,,,,,,,,,2.0020000000000002
NATIONAL PINK,44.0,3.0,22.0,THIRD CALL,2106.0,50-59,WHITE,MALE,BUSH,HUTCHISON,,,REP,,,,,YES,,NONE,,,,YES,REPUBLCN,,ELSE,,LESS15K,YES,NO,CONSERV,18-64,,NATIONAL,COMPLETE,WEST,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,OTHER,,,YES,,,,,,,,,,2.106
NATIONAL WHITE,44.0,7.0,1.0,FIRST CALL,1399.0,50-59,WHITE,FEMALE,BUSH,HUTCHISON,APPROVE,UNFAVORABLE,DEM,BUSH,LESS,EDUCATION,HONEST,NO,DOLE,NONE,MOSTILL,BETTER,APP/UNFAV,YES,INDEPEND,POSTGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,SOUTH,45-59,50-59,IND/OTHER,50-64,NO,WHITE,CATHOLIC,RIGHTDIR,,NO,,ISSUES,,,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,1.399
NATIONAL WHITE,44.0,7.0,2.0,FIRST CALL,1343.0,50-59,WHITE,MALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,DEM,BUSH,LESS,TAXES,HONEST,NO,DOLE,NONE,MOSTILL,BETTER,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,75-100K,YES,NO,CONSERV,18-64,,NATIONAL,COMPLETE,SOUTH,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,WRONGTRACK,,NO,,ISSUES,,,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,1.343
NATIONAL WHITE,44.0,7.0,3.0,FIRST CALL,1343.0,30-39,WHITE,MALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,REP,BUSH,LESS,TAXES,HONEST,NO,DOLE,NONE,ALWYSLGL,BETTER,DIS/UNFAV,YES,REPUBLCN,POSTGRAD,PROTESTANT,NEVER,75-100K,NO,NO,CONSERV,18-64,,NATIONAL,COMPLETE,SOUTH,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,RIGHTDIR,,NO,,PERSONALQUAL,,,NO,NEITHER,GOOD,SAME,NOTTOORESPON,1.343
NATIONAL WHITE,44.0,7.0,4.0,FIRST CALL,948.0,30-39,BLACK,MALE,GORE,KELLY,APPROVE,FAVORABLE,DEM,GORE,MORE,ECON/JOBS,CARES,NO,CLINTON,NONE,ALWYSLGL,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,NEVER,30-50K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,,BLACK,PROT/CHRIST,RIGHTDIR,,NO,,ISSUES,,,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,0.9480000000000001
NATIONAL WHITE,44.0,7.0,5.0,FIRST CALL,699.0,30-39,WHITE,FEMALE,GORE,HUTCHISON,DISAPPR,UNFAVORABLE,,GORE,OMITS,SOCIALSECUR,CARES,NO,NOVOTE,NONE,MOSTLGL,SAME,DIS/UNFAV,YES,DEMOCRAT,SOMCOL/ASSOC,NONE,AFEWAYEAR,30-50K,NO,NO,LIBERAL,18-64,,NATIONAL,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,NONE,RIGHTDIR,,NO,,ISSUES,,,YES,NEITHER,GOOD,SAME,SOMEWHATRESP,0.6990000000000001
NATIONAL YELLOW,44.0,7.0,6.0,FIRST CALL,714.0,40-44,BLACK,MALE,GORE,HUTCHISON,APPROVE,FAVORABLE,DEM,GORE,LESS,ECON/JOBS,CARES,NO,CLINTON,NONE,ALWYSLGL,SAME,APP/FAV,YES,INDEPEND,POSTGRAD,PROTESTANT,ONCEAWEEK,75-100K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,SOUTH,30-44,40-49,IND/OTHER,40-49,NO,BLACK,PROT/CHRIST,RIGHTDIR,,NO,,ISSUES,ECON/JOBS,CARES,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,0.714
NATIONAL YELLOW,44.0,7.0,7.0,FIRST CALL,1343.0,40-44,WHITE,MALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,DEM,BUSH,LESS,OMITS,STRONGLEADER,NO,DOLE,NONE,ALWYSLGL,SAME,DIS/UNFAV,YES,REPUBLCN,COLGRAD,CATHOLIC,ONCEAWEEK,50-75K,YES,NO,CONSERV,18-64,,NATIONAL,COMPLETE,SOUTH,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,CATHOLIC,RIGHTDIR,,NO,,PERSONALQUAL,OMITS,STRONGLEADER,NO,OPPOSECLIN,GOOD,SAME,SOMEWHATRESP,1.343
NATIONAL YELLOW,44.0,7.0,8.0,FIRST CALL,1149.0,65-74,BLACK,MALE,GORE,,APPROVE,FAVORABLE,DEM,GORE,MORE,EDUCATION,EXPERIENCE,NO,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,50-75K,YES,NO,MODERATE,65+,,NATIONAL,COMPLETE,SOUTH,60+,60+,DEMOCRAT,65+,NO,BLACK,PROT/CHRIST,RIGHTDIR,,NO,,ISSUES,EDUCATION,EXPERIENCE,NO,SUPPORTCLIN,GOOD,BETTER,VERYRESPONSI,1.149
NATIONAL YELLOW,44.0,7.0,9.0,FIRST CALL,1399.0,30-39,WHITE,FEMALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,REP,BUSH,LESS,EDUCATION,CARES,NO,DOLE,NONE,MOSTILL,SAME,DIS/UNFAV,NO,REPUBLCN,COLGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,SOUTH,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,CATHOLIC,WRONGTRACK,,NO,,PERSONALQUAL,EDUCATION,CARES,NO,OPPOSECLIN,GOOD,SAME,VERYRESPONSI,1.399
NATIONAL YELLOW,44.0,7.0,10.0,FIRST CALL,1786.0,45-49,WHITE,MALE,BUSH,KELLY,DISAPPR,UNFAVORABLE,OTHER,BUSH,LESS,EDUCATION,STRONGLEADER,NO,PEROT,NONE,ALWYSILL,SAME,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,AFEWAMONTH,30-50K,YES,NO,CONSERV,18-64,,NATIONAL,COMPLETE,SOUTH,45-59,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,RIGHTDIR,,NO,,PERSONALQUAL,EDUCATION,STRONGLEADER,NO,OPPOSECLIN,NOTGOOD,WORSE,VERYRESPONSI,1.786
NATIONAL GREY,44.0,7.0,11.0,FIRST CALL,1797.0,25-29,WHITE,FEMALE,BUSH,HUTCHISON,,,REP,,,,,,,,,,,,REPUBLCN,SOMCOL/ASSOC,,,50-75K,,,MODERATE,18-64,CUTFEDINCTAX,NATIONAL,COMPLETE,SOUTH,18-29,25-29,REPUBLICAN,25-29,NO,WHITE,,,BOTH,,BOTH,,,,,,,,,1.797
NATIONAL GREY,44.0,7.0,12.0,FIRST CALL,670.0,40-44,WHITE,MALE,GORE,HUTCHISON,,,REP,,,,,,,,,,,,REPUBLCN,SOMCOL/ASSOC,,,30-50K,,,CONSERV,18-64,REDUCNATDEBT,NATIONAL,COMPLETE,SOUTH,30-44,40-49,REPUBLICAN,40-49,,WHITE,,,ONLYGORE,,NEITHER,,,,,,,,,0.67
NATIONAL GREY,44.0,7.0,13.0,FIRST CALL,1399.0,30-39,WHITE,FEMALE,BUSH,HUTCHISON,,,REP,,,,,,,,,,,,REPUBLCN,COLGRAD,,,30-50K,,,CONSERV,18-64,CUTFEDINCTAX,NATIONAL,COMPLETE,SOUTH,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,,,ONLYBUSH,,ONLYGORE,,,,,,,,,1.399
NATIONAL GREY,44.0,7.0,14.0,FIRST CALL,548.0,60-64,BLACK,MALE,NADER,KELLY,,,DEM,,,,,,,,,,,,DEMOCRAT,HSGRAD,,,LESS15K,,,MODERATE,18-64,SOCIALSECURI,NATIONAL,COMPLETE,SOUTH,60+,60+,DEMOCRAT,50-64,NO,BLACK,,,NEITHER,,BOTH,,,,,,,,,0.548
NATIONAL GREY,44.0,7.0,15.0,FIRST CALL,1797.0,25-29,WHITE,FEMALE,BUSH,HUTCHISON,,,REP,,,,,,,,,,,,REPUBLCN,COLGRAD,,,15-30K,,,MODERATE,18-64,OTHRPROGRAMS,NATIONAL,COMPLETE,SOUTH,18-29,25-29,REPUBLICAN,25-29,NO,WHITE,,,ONLYBUSH,,ONLYGORE,,,,,,,,,1.797
NATIONAL PINK,44.0,7.0,16.0,FIRST CALL,1399.0,30-39,ASIAN,FEMALE,BUSH,HUTCHISON,,,REP,,,,,NO,,NONE,,,,YES,INDEPEND,,CATHOLIC,,OVER100K,YES,NO,CONSERV,18-64,,NATIONAL,COMPLETE,SOUTH,30-44,30-39,IND/OTHER,30-39,NO,ASIAN,CATHOLIC,,,YES,,,,,,,,,,1.399
NATIONAL PINK,44.0,7.0,17.0,FIRST CALL,1399.0,50-59,WHITE,FEMALE,BUSH,HUTCHISON,,,REP,,,,,YES,,NONE,,,,YES,REPUBLCN,,PROTESTANT,,50-75K,NO,NO,MODERATE,18-64,,NATIONAL,COMPLETE,SOUTH,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,,,NO,,,,,,,,,,1.399
NATIONAL PINK,44.0,7.0,18.0,FIRST CALL,1399.0,30-39,WHITE,FEMALE,BUSH,HUTCHISON,,,REP,,,,,NO,,NONE,,,,NO,REPUBLCN,,OTHERCHRIST,,50-75K,YES,YES,CONSERV,18-64,,NATIONAL,COMPLETE,SOUTH,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,,,NO,,,,,,,,,,1.399
NATIONAL PINK,44.0,7.0,19.0,FIRST CALL,988.0,50-59,BLACK,FEMALE,GORE,KELLY,,,DEM,,,,,YES,,NONE,,,,NO,DEMOCRAT,,OTHERCHRIST,,,YES,NO,LIBERAL,18-64,,NATIONAL,COMPLETE,SOUTH,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,PROT/CHRIST,,,NO,,,,,,,,,,0.988
NATIONAL PINK,44.0,7.0,20.0,FIRST CALL,948.0,45-49,BLACK,MALE,GORE,KELLY,,,DEM,,,,,NO,,NONE,,,,YES,DEMOCRAT,,PROTESTANT,,50-75K,NO,NO,MODERATE,18-64,,NATIONAL,COMPLETE,SOUTH,45-59,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,,,NO,,,,,,,,,,0.9480000000000001
NATIONAL WHITE,44.0,7.0,21.0,SECOND CALL,988.0,40-44,BLACK,FEMALE,GORE,KELLY,APPROVE,FAVORABLE,DEM,GORE,MORE,WORLDAFFAIRS,GOODJUDGMENT,YES,CLINTON,NONE,ALWYSLGL,BETTER,APP/FAV,NO,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,,NATIONAL,COMPLETE,SOUTH,30-44,40-49,DEMOCRAT,40-49,NO,BLACK,PROT/CHRIST,WRONGTRACK,,NO,,PERSONALQUAL,,,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,0.988
NATIONAL WHITE,44.0,7.0,22.0,SECOND CALL,1001.0,18-24,ASIAN,FEMALE,GORE,,APPROVE,FAVORABLE,,GORE,MORE,WORLDAFFAIRS,EXPERIENCE,YES,NOVOTE,NONE,ALWYSLGL,BETTER,APP/FAV,YES,INDEPEND,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,30-50K,YES,NO,CONSERV,18-64,,NATIONAL,COMPLETE,SOUTH,18-29,18-24,IND/OTHER,18-24,NO,ASIAN,PROT/CHRIST,RIGHTDIR,,YES,,ISSUES,,,NO,SUPPORTCLIN,NOTGOOD,BETTER,VERYRESPONSI,1.0010000000000001
NATIONAL WHITE,44.0,7.0,23.0,SECOND CALL,1399.0,50-59,ASIAN,FEMALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,REP,BUSH,MORE,OMITS,OMITS,YES,DOLE,NONE,ALWYSLGL,SAME,DIS/UNFAV,YES,REPUBLCN,POSTGRAD,OTHERCHRIST,ONCEAWEEK,50-75K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,SOUTH,45-59,50-59,REPUBLICAN,50-64,NO,ASIAN,PROT/CHRIST,WRONGTRACK,,NO,,PERSONALQUAL,,,NO,NEITHER,NOTGOOD,SAME,NOTTOORESPON,1.399
NATIONAL YELLOW,44.0,7.0,24.0,SECOND CALL,1399.0,40-44,WHITE,FEMALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,DEM,BUSH,MORE,TAXES,STRONGLEADER,NO,DOLE,NONE,MOSTLGL,SAME,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,50-75K,YES,NO,CONSERV,18-64,,NATIONAL,COMPLETE,SOUTH,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,RIGHTDIR,,NO,,PERSONALQUAL,TAXES,STRONGLEADER,NO,NEITHER,GOOD,SAME,NOTTOORESPON,1.399
NATIONAL YELLOW,44.0,7.0,25.0,SECOND CALL,915.0,18-24,BLACK,MALE,GORE,HUTCHISON,APPROVE,FAVORABLE,DEM,GORE,LESS,EDUCATION,COMPLEXISSUE,NO,NOVOTE,NONE,MOSTILL,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,ELSE,MORETHAN1AWK,50-75K,NO,YES,LIBERAL,18-64,,NATIONAL,COMPLETE,SOUTH,18-29,18-24,DEMOCRAT,18-24,NO,BLACK,OTHER,RIGHTDIR,,YES,,ISSUES,EDUCATION,COMPLEXISSUE,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,0.915
NATIONAL YELLOW,44.0,7.0,26.0,SECOND CALL,988.0,30-39,HISP,FEMALE,GORE,KELLY,APPROVE,UNFAVORABLE,DEM,GORE,MORE,SOCIALSECUR,EXPERIENCE,NO,NOVOTE,NONE,ALWYSLGL,BETTER,APP/UNFAV,YES,DEMOCRAT,COLGRAD,OTHERCHRIST,AFEWAMONTH,30-50K,NO,NO,MODERATE,18-64,,NATIONAL,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,YES,HISP,PROT/CHRIST,RIGHTDIR,,YES,,ISSUES,SOCIALSECUR,EXPERIENCE,NO,NEITHER,EXCEL,OMITS,SOMEWHATRESP,0.988
NATIONAL GREY,44.0,7.0,27.0,SECOND CALL,928.0,40-44,WHITE,FEMALE,GORE,KELLY,,,REP,,,,,,,,,,,,REPUBLCN,HSGRAD,,,15-30K,,,CONSERV,18-64,SOCIALSECURI,NATIONAL,COMPLETE,SOUTH,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,,,ONLYGORE,,NEITHER,,,,,,,,,0.928
NATIONAL GREY,44.0,7.0,28.0,SECOND CALL,1399.0,30-39,WHITE,FEMALE,BUSH,HUTCHISON,,,REP,,,,,,,,,,,,REPUBLCN,SOMCOL/ASSOC,,,,,,MODERATE,18-64,CUTFEDINCTAX,NATIONAL,COMPLETE,SOUTH,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,,,ONLYBUSH,,ONLYGORE,,,,,,,,,1.399
