VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,HOU,XWAY2000,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,LOGO,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,WEIGHT
STATE ONLY,51.0,3.0,12.0,FIRST CALL,30-39,WHITE,FEMALE,OTHER,LOGAN,APPROVE,UNFAVORABLE,GREEN,GORE,PEROT,BETTER,APP/UNFAV,DEMOCRAT,ELSE,OVER100K,LIBERAL,18-64,NO,STATE,SOUTH,30-44,30-39,DEMOCRAT,30-39,OTHER,0.198
STATE ONLY,51.0,3.0,13.0,FIRST CALL,40-44,WHITE,MALE,GORE,LOGAN,APPROVE,UNFAVORABLE,GREEN,GORE,CLINTON,SAME,APP/UNFAV,DEMOCRAT,NONE,50-75K,MODERATE,18-64,YES,STATE,SOUTH,30-44,40-49,DEMOCRAT,40-49,NONE,0.193
STATE ONLY,51.0,3.0,14.0,FIRST CALL,30-39,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,OTHERCHRIST,75-100K,CONSERV,18-64,NO,STATE,SOUTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,0.222
STATE ONLY,51.0,3.0,15.0,SECOND CALL,50-59,HISP,FEMALE,GORE,OTHER,APPROVE,UNFAVORABLE,OTHER,GORE,CLINTON,WORSE,APP/UNFAV,DEMOCRAT,CATHOLIC,15-30K,LIBERAL,18-64,YES,STATE,SOUTH,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,0.313
STATE ONLY,51.0,3.0,16.0,SECOND CALL,30-39,WHITE,FEMALE,OTHER,OTHER,OMITS,OMITS,,WOULDNOTVOTE,CLINTON,SAME,OMITS,INDEPEND,CATHOLIC,30-50K,LIBERAL,18-64,YES,STATE,SOUTH,30-44,30-39,IND/OTHER,30-39,CATHOLIC,0.23900000000000002
STATE ONLY,51.0,3.0,17.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,CLINTON,BETTER,DIS/UNFAV,INDEPEND,CATHOLIC,LESS15K,LIBERAL,18-64,YES,STATE,SOUTH,45-59,40-49,IND/OTHER,40-49,CATHOLIC,0.20800000000000002
STATE ONLY,51.0,3.0,18.0,SECOND CALL,18-24,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,NOVOTE,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,MODERATE,18-64,NO,STATE,SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,0.202
STATE ONLY,51.0,3.0,19.0,SECOND CALL,40-44,WHITE,MALE,GORE,,DISAPPR,UNFAVORABLE,CUBIN,GORE,NOVOTE,SAME,DIS/UNFAV,INDEPEND,OTHERCHRIST,50-75K,CONSERV,18-64,YES,STATE,SOUTH,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,0.209
STATE ONLY,51.0,3.0,20.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,GREEN,BUSH,DOLE,SAME,DIS/UNFAV,INDEPEND,CATHOLIC,30-50K,MODERATE,18-64,NO,STATE,SOUTH,45-59,40-49,IND/OTHER,40-49,CATHOLIC,0.18
STATE ONLY,51.0,3.0,21.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,LOGAN,APPROVE,UNFAVORABLE,GREEN,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,PROTESTANT,50-75K,MODERATE,65+,NO,STATE,SOUTH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,0.258
STATE ONLY,51.0,3.0,22.0,SECOND CALL,50-59,WHITE,MALE,GORE,THOMAS,APPROVE,UNFAVORABLE,CUBIN,GORE,NOVOTE,BETTER,APP/UNFAV,DEMOCRAT,CATHOLIC,50-75K,MODERATE,18-64,NO,STATE,SOUTH,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,0.20500000000000002
STATE ONLY,51.0,3.0,23.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,NONE,75-100K,CONSERV,18-64,YES,STATE,SOUTH,45-59,40-49,REPUBLICAN,40-49,NONE,0.20800000000000002
STATE ONLY,51.0,3.0,24.0,THIRD CALL,18-24,WHITE,MALE,BUSH,LOGAN,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,CATHOLIC,LESS15K,MODERATE,18-64,YES,STATE,SOUTH,18-29,18-24,REPUBLICAN,18-24,CATHOLIC,0.218
STATE ONLY,51.0,3.0,25.0,THIRD CALL,25-29,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,CATHOLIC,LESS15K,MODERATE,18-64,YES,STATE,SOUTH,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,0.202
STATE ONLY,51.0,3.0,26.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,LOGAN,APPROVE,FAVORABLE,GREEN,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,NONE,15-30K,LIBERAL,18-64,YES,STATE,SOUTH,30-44,30-39,DEMOCRAT,30-39,NONE,0.18
STATE ONLY,51.0,3.0,27.0,THIRD CALL,18-24,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,NOVOTE,BETTER,DIS/UNFAV,DEMOCRAT,OTHERCHRIST,75-100K,CONSERV,18-64,NO,STATE,SOUTH,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,0.202
STATE ONLY,51.0,3.0,28.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,THOMAS,APPROVE,UNFAVORABLE,GREEN,GORE,CLINTON,SAME,APP/UNFAV,DEMOCRAT,CATHOLIC,15-30K,MODERATE,18-64,NO,STATE,SOUTH,18-29,18-24,DEMOCRAT,18-24,CATHOLIC,0.15
STATE ONLY,51.0,3.0,29.0,THIRD CALL,60-64,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,18-64,NO,STATE,SOUTH,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,0.301
STATE ONLY,51.0,3.0,30.0,THIRD CALL,18-24,WHITE,MALE,GORE,LOGAN,APPROVE,FAVORABLE,GREEN,GORE,CLINTON,BETTER,APP/FAV,INDEPEND,CATHOLIC,LESS15K,MODERATE,18-64,YES,STATE,SOUTH,18-29,18-24,IND/OTHER,18-24,CATHOLIC,0.176
STATE ONLY,51.0,3.0,31.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,NOVOTE,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,CONSERV,18-64,NO,STATE,SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,0.188
STATE ONLY,51.0,3.0,32.0,THIRD CALL,18-24,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,OVER100K,CONSERV,18-64,NO,STATE,SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,0.202
STATE ONLY,51.0,3.0,33.0,THIRD CALL,18-24,WHITE,MALE,BUSH,THOMAS,APPROVE,UNFAVORABLE,CUBIN,BUSH,DOLE,BETTER,APP/UNFAV,REPUBLCN,CATHOLIC,OVER100K,MODERATE,18-64,NO,STATE,SOUTH,18-29,18-24,REPUBLICAN,18-24,CATHOLIC,0.202
STATE ONLY,51.0,3.0,34.0,THIRD CALL,25-29,WHITE,MALE,,LOGAN,DISAPPR,FAVORABLE,,OMITS,CLINTON,SAME,DIS/FAV,,PROTESTANT,,,18-64,YES,STATE,SOUTH,18-29,25-29,,25-29,PROT/CHRIST,0.197
STATE ONLY,51.0,3.0,35.0,THIRD CALL,18-24,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,NO,STATE,SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,0.202
STATE ONLY,51.0,3.0,36.0,THIRD CALL,18-24,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,LESS15K,MODERATE,18-64,YES,STATE,SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,0.202
STATE ONLY,51.0,3.0,37.0,THIRD CALL,25-29,WHITE,MALE,GORE,LOGAN,APPROVE,UNFAVORABLE,GREEN,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,CATHOLIC,LESS15K,MODERATE,18-64,NO,STATE,SOUTH,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,0.176
STATE ONLY,51.0,3.0,38.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,NOVOTE,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,75-100K,CONSERV,18-64,YES,STATE,SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,0.188
STATE ONLY,51.0,3.0,39.0,THIRD CALL,25-29,WHITE,MALE,GORE,LOGAN,APPROVE,FAVORABLE,GREEN,GORE,CLINTON,BETTER,APP/FAV,INDEPEND,CATHOLIC,15-30K,MODERATE,18-64,NO,STATE,SOUTH,18-29,25-29,IND/OTHER,25-29,CATHOLIC,0.176
STATE ONLY,51.0,3.0,40.0,THIRD CALL,40-44,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,18-64,NO,STATE,SOUTH,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,0.222
STATE ONLY,51.0,3.0,41.0,THIRD CALL,50-59,WHITE,MALE,GORE,LOGAN,DISAPPR,FAVORABLE,GREEN,GORE,NOVOTE,SAME,DIS/FAV,INDEPEND,PROTESTANT,15-30K,MODERATE,18-64,YES,STATE,SOUTH,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,0.193
STATE ONLY,51.0,3.0,42.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,THOMAS,APPROVE,UNFAVORABLE,CUBIN,BUSH,NOVOTE,SAME,APP/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,MODERATE,18-64,YES,STATE,SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,0.188
STATE ONLY,51.0,3.0,43.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,LOGAN,APPROVE,OMITS,,GORE,CLINTON,BETTER,OMITS,DEMOCRAT,ELSE,75-100K,LIBERAL,18-64,NO,STATE,SOUTH,45-59,50-59,DEMOCRAT,50-64,OTHER,0.201
STATE ONLY,51.0,5.0,1.0,FIRST CALL,60-64,WHITE,MALE,GORE,LOGAN,APPROVE,UNFAVORABLE,GREEN,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,CATHOLIC,50-75K,MODERATE,18-64,YES,STATE,SOUTH,60+,60+,DEMOCRAT,50-64,CATHOLIC,0.435
STATE ONLY,51.0,5.0,2.0,FIRST CALL,18-24,WHITE,MALE,OTHER,LOGAN,APPROVE,FAVORABLE,CUBIN,GORE,CLINTON,SAME,APP/FAV,INDEPEND,NONE,OVER100K,LIBERAL,18-64,NO,STATE,SOUTH,18-29,18-24,IND/OTHER,18-24,NONE,0.342
STATE ONLY,51.0,5.0,3.0,FIRST CALL,40-44,WHITE,MALE,OTHER,LOGAN,APPROVE,UNFAVORABLE,GREEN,GORE,CLINTON,SAME,APP/UNFAV,INDEPEND,CATHOLIC,30-50K,MODERATE,18-64,NO,STATE,SOUTH,30-44,40-49,IND/OTHER,40-49,CATHOLIC,0.327
STATE ONLY,51.0,5.0,4.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,THOMAS,APPROVE,UNFAVORABLE,CUBIN,BUSH,CLINTON,SAME,APP/UNFAV,DEMOCRAT,PROTESTANT,OVER100K,MODERATE,18-64,NO,STATE,SOUTH,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,0.322
STATE ONLY,51.0,5.0,5.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,GORE,CLINTON,BETTER,DIS/UNFAV,DEMOCRAT,CATHOLIC,75-100K,MODERATE,18-64,YES,STATE,SOUTH,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,0.296
STATE ONLY,51.0,5.0,6.0,FIRST CALL,25-29,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,OTHER,WORSE,DIS/UNFAV,INDEPEND,OTHERCHRIST,LESS15K,CONSERV,18-64,YES,STATE,SOUTH,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,0.293
STATE ONLY,51.0,5.0,7.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,LOGAN,APPROVE,FAVORABLE,GREEN,GORE,CLINTON,BETTER,APP/FAV,INDEPEND,CATHOLIC,75-100K,MODERATE,18-64,YES,STATE,SOUTH,45-59,50-59,IND/OTHER,50-64,CATHOLIC,0.278
STATE ONLY,51.0,5.0,8.0,FIRST CALL,40-44,WHITE,MALE,GORE,LOGAN,APPROVE,FAVORABLE,GREEN,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,ELSE,50-75K,MODERATE,18-64,YES,STATE,SOUTH,30-44,40-49,DEMOCRAT,40-49,OTHER,0.298
STATE ONLY,51.0,5.0,9.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,LOGAN,APPROVE,FAVORABLE,GREEN,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,,LESS15K,LIBERAL,18-64,NO,STATE,SOUTH,30-44,30-39,DEMOCRAT,30-39,,0.278
STATE ONLY,51.0,5.0,10.0,FIRST CALL,25-29,WHITE,MALE,GORE,,DISAPPR,UNFAVORABLE,CUBIN,BUSH,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,15-30K,CONSERV,18-64,YES,STATE,SOUTH,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,0.293
STATE ONLY,51.0,5.0,11.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,YES,STATE,SOUTH,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,0.47100000000000003
STATE ONLY,51.0,5.0,12.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,THOMAS,APPROVE,UNFAVORABLE,,BUSH,CLINTON,BETTER,APP/UNFAV,INDEPEND,PROTESTANT,OVER100K,MODERATE,18-64,YES,STATE,SOUTH,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,0.314
STATE ONLY,51.0,5.0,13.0,FIRST CALL,60-64,WHITE,MALE,GORE,LOGAN,APPROVE,UNFAVORABLE,GREEN,GORE,CLINTON,BETTER,APP/UNFAV,INDEPEND,PROTESTANT,50-75K,MODERATE,18-64,NO,STATE,SOUTH,60+,60+,IND/OTHER,50-64,PROT/CHRIST,0.435
STATE ONLY,51.0,5.0,14.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,LOGAN,APPROVE,UNFAVORABLE,GREEN,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,NONE,OVER100K,LIBERAL,18-64,YES,STATE,SOUTH,45-59,40-49,DEMOCRAT,40-49,NONE,0.278
STATE ONLY,51.0,5.0,15.0,SECOND CALL,18-24,WHITE,MALE,GORE,THOMAS,APPROVE,FAVORABLE,GREEN,GORE,NOVOTE,BETTER,APP/FAV,INDEPEND,OTHERCHRIST,30-50K,MODERATE,18-64,NO,STATE,SOUTH,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,0.247
STATE ONLY,51.0,5.0,16.0,SECOND CALL,18-24,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,LESS15K,CONSERV,18-64,NO,STATE,SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,0.293
STATE ONLY,51.0,5.0,17.0,SECOND CALL,18-24,WHITE,FEMALE,GORE,THOMAS,APPROVE,UNFAVORABLE,CUBIN,GORE,NOVOTE,SAME,APP/UNFAV,DEMOCRAT,OTHERCHRIST,LESS15K,LIBERAL,18-64,YES,STATE,SOUTH,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,0.266
STATE ONLY,51.0,5.0,18.0,SECOND CALL,50-59,WHITE,MALE,GORE,THOMAS,APPROVE,UNFAVORABLE,GREEN,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,OTHERCHRIST,50-75K,MODERATE,18-64,NO,STATE,SOUTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,0.275
STATE ONLY,51.0,5.0,19.0,SECOND CALL,18-24,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,ELSE,OVER100K,CONSERV,18-64,NO,STATE,SOUTH,18-29,18-24,REPUBLICAN,18-24,OTHER,0.293
STATE ONLY,51.0,5.0,20.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,THOMAS,APPROVE,UNFAVORABLE,GREEN,BUSH,NOVOTE,WORSE,APP/UNFAV,REPUBLCN,NONE,15-30K,MODERATE,18-64,NO,STATE,SOUTH,30-44,30-39,REPUBLICAN,30-39,NONE,0.279
STATE ONLY,51.0,5.0,21.0,SECOND CALL,65-74,WHITE,MALE,GORE,LOGAN,APPROVE,FAVORABLE,GREEN,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,CATHOLIC,50-75K,LIBERAL,65+,NO,STATE,SOUTH,60+,60+,DEMOCRAT,65+,CATHOLIC,0.435
STATE ONLY,51.0,5.0,22.0,SECOND CALL,18-24,WHITE,MALE,BUSH,THOMAS,APPROVE,FAVORABLE,GREEN,BUSH,NOVOTE,SAME,APP/FAV,REPUBLCN,OTHERCHRIST,OVER100K,MODERATE,18-64,YES,STATE,SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,0.272
STATE ONLY,51.0,5.0,23.0,SECOND CALL,18-24,WHITE,MALE,GORE,LOGAN,APPROVE,FAVORABLE,GREEN,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,OVER100K,LIBERAL,18-64,YES,STATE,SOUTH,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,0.27
STATE ONLY,51.0,5.0,24.0,SECOND CALL,18-24,WHITE,MALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,GREEN,BUSH,CLINTON,WORSE,DIS/UNFAV,INDEPEND,OTHERCHRIST,15-30K,CONSERV,18-64,NO,STATE,SOUTH,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,0.272
STATE ONLY,51.0,5.0,25.0,SECOND CALL,18-24,WHITE,FEMALE,GORE,LOGAN,APPROVE,FAVORABLE,GREEN,GORE,NOVOTE,SAME,APP/FAV,DEMOCRAT,OTHERCHRIST,LESS15K,LIBERAL,18-64,YES,STATE,SOUTH,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,0.251
STATE ONLY,51.0,5.0,26.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,LOGAN,APPROVE,FAVORABLE,GREEN,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,75-100K,MODERATE,18-64,NO,STATE,SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,0.278
STATE ONLY,51.0,5.0,27.0,THIRD CALL,18-24,WHITE,MALE,GORE,,APPROVE,FAVORABLE,,GORE,NOVOTE,BETTER,APP/FAV,INDEPEND,ELSE,75-100K,LIBERAL,18-64,YES,STATE,SOUTH,18-29,18-24,IND/OTHER,18-24,OTHER,0.28500000000000003
STATE ONLY,51.0,5.0,28.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,LOGAN,APPROVE,UNFAVORABLE,GREEN,GORE,CLINTON,SAME,APP/UNFAV,DEMOCRAT,PROTESTANT,50-75K,MODERATE,18-64,NO,STATE,SOUTH,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,0.278
STATE ONLY,51.0,5.0,29.0,THIRD CALL,18-24,HISP,MALE,GORE,LOGAN,APPROVE,FAVORABLE,OTHER,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,30-50K,LIBERAL,18-64,NO,STATE,SOUTH,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,0.437
STATE ONLY,51.0,5.0,30.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,LESS15K,CONSERV,18-64,NO,STATE,SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,0.293
STATE ONLY,51.0,5.0,31.0,THIRD CALL,45-49,WHITE,MALE,BUSH,THOMAS,APPROVE,UNFAVORABLE,CUBIN,BUSH,DOLE,BETTER,APP/UNFAV,REPUBLCN,PROTESTANT,50-75K,MODERATE,18-64,YES,STATE,SOUTH,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,0.34500000000000003
STATE ONLY,51.0,5.0,32.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,,OMITS,UNFAVORABLE,,BUSH,NOVOTE,BETTER,OMITS,REPUBLCN,PROTESTANT,75-100K,CONSERV,18-64,YES,STATE,SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,0.266
STATE ONLY,51.0,5.0,33.0,THIRD CALL,18-24,OTHER,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,CATHOLIC,75-100K,CONSERV,18-64,YES,STATE,SOUTH,18-29,18-24,REPUBLICAN,18-24,CATHOLIC,0.293
STATE ONLY,51.0,5.0,34.0,THIRD CALL,30-39,WHITE,MALE,OTHER,LOGAN,DISAPPR,UNFAVORABLE,,WOULDNOTVOTE,PEROT,WORSE,DIS/UNFAV,INDEPEND,CATHOLIC,15-30K,MODERATE,18-64,YES,STATE,SOUTH,30-44,30-39,IND/OTHER,30-39,CATHOLIC,0.368
STATE ONLY,51.0,5.0,35.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,SAME,DIS/UNFAV,INDEPEND,OTHERCHRIST,50-75K,CONSERV,18-64,NO,STATE,SOUTH,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,0.322
