VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,PROPCO20,PROPCO22,ISSUE,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,MEXICAN,QRACE,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,6.0,1.0,23.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,YES,WORLDAFFAIRS,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,COMPLETE,DENVR/BOULDR,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,,,1.077
STATE ONLY,6.0,1.0,24.0,THIRD CALL,30-39,HISP,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,YES,HEALTHCARE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,DENVR/BOULDR,30-44,30-39,DEMOCRAT,30-39,YES,HISP,CATHOLIC,,,0.598
STATE ONLY,6.0,1.0,25.0,THIRD CALL,50-59,HISP,FEMALE,GORE,APPROVE,OMITS,GORE,NO,NO,OMITS,NO,CLINTON,WORSE,OMITS,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,DENVR/BOULDR,45-59,50-59,DEMOCRAT,50-64,YES,HISP,CATHOLIC,,,0.508
STATE ONLY,6.0,1.0,26.0,THIRD CALL,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,YES,YES,SOCIALSECUR,NO,NOVOTE,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,DENVR/BOULDR,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,PROT/CHRIST,,,0.765
STATE ONLY,6.0,1.0,27.0,THIRD CALL,30-39,HISP,MALE,GORE,APPROVE,FAVORABLE,GORE,YES,YES,ECON/JOBS,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,DENVR/BOULDR,30-44,30-39,DEMOCRAT,30-39,YES,HISP,CATHOLIC,,,0.598
STATE ONLY,6.0,1.0,28.0,THIRD CALL,25-29,WHITE,FEMALE,NADER,APPROVE,UNFAVORABLE,GORE,YES,YES,EDUCATION,NO,NOVOTE,SAME,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,NONE,15-30K,MODERATE,18-64,STATE,COMPLETE,DENVR/BOULDR,18-29,25-29,IND/OTHER,25-29,NO,WHITE,NONE,,,0.837
STATE ONLY,6.0,1.0,29.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,NO,EDUCATION,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,DENVR/BOULDR,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,PROT/CHRIST,,,0.637
STATE ONLY,6.0,1.0,30.0,THIRD CALL,18-24,WHITE,FEMALE,NADER,APPROVE,FAVORABLE,WOULDNOTVOTE,YES,NO,EDUCATION,NO,NOVOTE,WORSE,APP/FAV,ELSE,SOMCOL/ASSOC,NONE,50-75K,LIBERAL,18-64,STATE,COMPLETE,DENVR/BOULDR,18-29,18-24,IND/OTHER,18-24,NO,WHITE,NONE,,,0.714
STATE ONLY,6.0,1.0,31.0,THIRD CALL,50-59,ASIAN,MALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,YES,OMITS,NO,CLINTON,BETTER,APP/UNFAV,INDEPEND,POSTGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,DENVR/BOULDR,45-59,50-59,IND/OTHER,50-64,NO,ASIAN,PROT/CHRIST,,,0.784
STATE ONLY,6.0,1.0,32.0,THIRD CALL,40-44,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,YES,YES,ECON/JOBS,NO,DOLE,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,NONE,30-50K,LIBERAL,18-64,STATE,COMPLETE,DENVR/BOULDR,30-44,40-49,DEMOCRAT,40-49,NO,WHITE,NONE,,,0.765
STATE ONLY,6.0,1.0,33.0,THIRD CALL,40-44,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,YES,TAXES,NO,NOVOTE,BETTER,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,DENVR/BOULDR,30-44,40-49,DEMOCRAT,40-49,NO,WHITE,PROT/CHRIST,,,0.784
STATE ONLY,6.0,1.0,34.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,YES,EDUCATION,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,DENVR/BOULDR,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,CATHOLIC,,,1.077
STATE ONLY,6.0,1.0,35.0,THIRD CALL,65-74,HISP,MALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,NO,MEDICARE/RX,NO,OTHER,BETTER,APP/UNFAV,ELSE,NOHS,ELSE,LESS15K,CONSERV,65+,STATE,COMPLETE,DENVR/BOULDR,60+,60+,IND/OTHER,65+,YES,HISP,OTHER,,,0.87
NATIONAL WHITE,6.0,2.0,1.0,FIRST CALL,40-44,WHITE,MALE,GORE,DISAPPR,FAVORABLE,GORE,,NO,TAXES,NO,CLINTON,BETTER,DIS/FAV,INDEPEND,HSGRAD,NONE,OVER100K,LIBERAL,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,30-44,40-49,IND/OTHER,40-49,NO,WHITE,NONE,,,0.676
NATIONAL WHITE,6.0,2.0,2.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,,YES,SOCIALSECUR,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,PROT/CHRIST,,,0.776
NATIONAL WHITE,6.0,2.0,3.0,FIRST CALL,45-49,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,,NO,SOCIALSECUR,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,,30-50K,LIBERAL,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,,,,0.676
NATIONAL YELLOW,6.0,2.0,4.0,FIRST CALL,50-59,HISP,MALE,GORE,APPROVE,FAVORABLE,GORE,,YES,OMITS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,45-59,50-59,DEMOCRAT,50-64,YES,HISP,CATHOLIC,OMITS,STRONGLEADER,0.621
NATIONAL YELLOW,6.0,2.0,5.0,FIRST CALL,65-74,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,,YES,SOCIALSECUR,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,65+,NATIONAL,COMPLETE,DENVR/BOULDR,60+,60+,DEMOCRAT,65+,NO,BLACK,PROT/CHRIST,SOCIALSECUR,GOODJUDGMENT,1.035
NATIONAL YELLOW,6.0,2.0,6.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,,,TAXES,NO,CLINTON,BETTER,DIS/UNFAV,REPUBLCN,HSGRAD,NONE,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,NONE,TAXES,STRONGLEADER,1.064
NATIONAL GREY,6.0,2.0,7.0,FIRST CALL,40-44,WHITE,MALE,BUSH,,,,,NO,,,,,,REPUBLCN,SOMCOL/ASSOC,,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,,,,0.974
NATIONAL GREY,6.0,2.0,8.0,FIRST CALL,40-44,WHITE,MALE,BUSH,,,,,YES,,,,,,REPUBLCN,HSGRAD,,75-100K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,,,,1.145
NATIONAL GREY,6.0,2.0,9.0,FIRST CALL,50-59,WHITE,MALE,,,,,,NO,,,,,,DEMOCRAT,POSTGRAD,,75-100K,CONSERV,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,,,,0.758
NATIONAL PINK,6.0,2.0,10.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,,,,,YES,,OMITS,,,,INDEPEND,,OTHERCHRIST,15-30K,CONSERV,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,30-44,30-39,IND/OTHER,30-39,NO,WHITE,PROT/CHRIST,,,1.119
NATIONAL PINK,6.0,2.0,11.0,FIRST CALL,45-49,,MALE,GORE,,,,,NO,,NO,,,,INDEPEND,,CATHOLIC,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,45-59,40-49,IND/OTHER,40-49,,,CATHOLIC,,,0.676
NATIONAL WHITE,6.0,2.0,12.0,SECOND CALL,40-44,HISP,MALE,GORE,APPROVE,UNFAVORABLE,GORE,,YES,EDUCATION,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HSGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,30-44,40-49,DEMOCRAT,40-49,YES,WHITE,PROT/CHRIST,,,0.621
NATIONAL WHITE,6.0,2.0,13.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,,YES,SOCIALSECUR,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,60+,60+,DEMOCRAT,50-64,NO,WHITE,PROT/CHRIST,,,1.293
NATIONAL WHITE,6.0,2.0,14.0,SECOND CALL,25-29,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,,YES,ECON/JOBS,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,LIBERAL,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,PROT/CHRIST,,,0.961
NATIONAL WHITE,6.0,2.0,15.0,SECOND CALL,60-64,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,,YES,EDUCATION,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,60+,60+,DEMOCRAT,50-64,NO,WHITE,PROT/CHRIST,,,1.32
NATIONAL WHITE,6.0,2.0,16.0,SECOND CALL,50-59,HISP,MALE,BUSH,APPROVE,FAVORABLE,BUSH,,YES,TAXES,NO,OTHER,SAME,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,45-59,50-59,DEMOCRAT,50-64,YES,HISP,CATHOLIC,,,0.895
NATIONAL WHITE,6.0,2.0,17.0,SECOND CALL,60-64,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,,NO,TAXES,NO,DOLE,WORSE,DIS/UNFAV,INDEPEND,COLGRAD,NONE,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,60+,60+,IND/OTHER,50-64,NO,WHITE,NONE,,,1.621
NATIONAL YELLOW,6.0,2.0,18.0,SECOND CALL,40-44,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,,YES,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,30-44,40-49,DEMOCRAT,40-49,NO,WHITE,PROT/CHRIST,ECON/JOBS,OMITS,0.794
NATIONAL YELLOW,6.0,2.0,19.0,SECOND CALL,60-64,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,,YES,OMITS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,NOHS,PROTESTANT,15-30K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,60+,60+,DEMOCRAT,50-64,NO,WHITE,PROT/CHRIST,OMITS,OMITS,1.32
NATIONAL YELLOW,6.0,2.0,20.0,SECOND CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,,NO,EDUCATION,NO,DOLE,WORSE,DIS/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,CATHOLIC,EDUCATION,LIKEABLE,0.974
NATIONAL YELLOW,6.0,2.0,21.0,SECOND CALL,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,,YES,EDUCATION,NO,CLINTON,SAME,APP/FAV,REPUBLCN,COLGRAD,CATHOLIC,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,CATHOLIC,EDUCATION,GOODJUDGMENT,0.794
NATIONAL YELLOW,6.0,2.0,22.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,OMITS,OMITS,GORE,,YES,OMITS,NO,CLINTON,BETTER,OMITS,,POSTGRAD,,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,18-29,25-29,,25-29,NO,WHITE,,OMITS,OMITS,0.9400000000000001
NATIONAL YELLOW,6.0,2.0,23.0,SECOND CALL,18-24,WHITE,FEMALE,GORE,DISAPPR,UNFAVORABLE,GORE,,NO,OMITS,NO,NOVOTE,OMITS,DIS/UNFAV,INDEPEND,,ELSE,30-50K,,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,18-29,18-24,IND/OTHER,18-24,NO,WHITE,OTHER,OMITS,OMITS,0.801
NATIONAL GREY,6.0,2.0,24.0,SECOND CALL,40-44,WHITE,MALE,GORE,,,,,NO,,,,,,INDEPEND,COLGRAD,,,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,30-44,40-49,IND/OTHER,40-49,NO,WHITE,,,,0.676
NATIONAL GREY,6.0,2.0,25.0,SECOND CALL,60-64,HISP,FEMALE,GORE,,,,,YES,,,,,,DEMOCRAT,HSGRAD,,15-30K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,60+,60+,DEMOCRAT,50-64,YES,HISP,,,,1.012
NATIONAL GREY,6.0,2.0,26.0,SECOND CALL,40-44,WHITE,,GORE,,,,,NO,,,,,,REPUBLCN,HSGRAD,,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,,,,0.66
NATIONAL GREY,6.0,2.0,27.0,SECOND CALL,60-64,HISP,MALE,GORE,,,,,YES,,,,,,DEMOCRAT,SOMCOL/ASSOC,,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,60+,60+,DEMOCRAT,50-64,YES,HISP,,,,1.035
NATIONAL GREY,6.0,2.0,28.0,SECOND CALL,30-39,HISP,MALE,GORE,,,,,YES,,,,,,INDEPEND,HSGRAD,,50-75K,LIBERAL,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,30-44,30-39,IND/OTHER,30-39,YES,WHITE,,,,0.621
NATIONAL GREY,6.0,2.0,29.0,SECOND CALL,40-44,WHITE,MALE,BUSH,,,,,NO,,,,,,REPUBLCN,SOMCOL/ASSOC,,75-100K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,,,,0.974
NATIONAL PINK,6.0,2.0,30.0,SECOND CALL,30-39,WHITE,MALE,BUSH,,,,,YES,,NO,,,,REPUBLCN,,OTHERCHRIST,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,,,1.145
NATIONAL PINK,6.0,2.0,31.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,,,,,YES,,YES,,,,INDEPEND,,OTHERCHRIST,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,30-44,30-39,IND/OTHER,30-39,NO,WHITE,PROT/CHRIST,,,0.776
NATIONAL PINK,6.0,2.0,32.0,SECOND CALL,50-59,WHITE,MALE,GORE,,,,,YES,,NO,,,,DEMOCRAT,,CATHOLIC,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,CATHOLIC,,,0.794
NATIONAL PINK,6.0,2.0,33.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,,,,,YES,,NO,,,,REPUBLCN,,PROTESTANT,15-30K,MODERATE,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,,,1.119
NATIONAL PINK,6.0,2.0,34.0,SECOND CALL,30-39,HISP,MALE,GORE,,,,,YES,,NO,,,,DEMOCRAT,,CATHOLIC,50-75K,LIBERAL,18-64,NATIONAL,COMPLETE,DENVR/BOULDR,30-44,30-39,DEMOCRAT,30-39,YES,HISP,CATHOLIC,,,0.621
