VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,PROPSC,GOVTDO,ISSLOTT,ISSUE,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
NATIONAL WHITE,41.0,1.0,19.0,SECOND CALL,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,,WORLDAFFAIRS,YES,DOLE,WORSE,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.203
NATIONAL WHITE,41.0,1.0,20.0,SECOND CALL,45-49,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,MORE,,WORLDAFFAIRS,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,50-75K,LIBERAL,18-64,NATIONAL,COMPLETE,COLUMBIA,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.199
NATIONAL YELLOW,41.0,1.0,21.0,SECOND CALL,25-29,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,LESS,,ECON/JOBS,YES,NOVOTE,WORSE,APP/FAV,INDEPEND,NOHS,NONE,50-75K,,18-64,NATIONAL,COMPLETE,COLUMBIA,18-29,25-29,IND/OTHER,25-29,NONE,ECON/JOBS,CARES,0.214
NATIONAL YELLOW,41.0,1.0,22.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,,OMITS,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,OMITS,HONEST,0.181
NATIONAL YELLOW,41.0,1.0,23.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,,EDUCATION,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,15-30K,MODERATE,65+,NATIONAL,COMPLETE,COLUMBIA,60+,60+,REPUBLICAN,65+,PROT/CHRIST,EDUCATION,CARES,0.242
NATIONAL YELLOW,41.0,1.0,24.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,,TAXES,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,TAXES,STRONGLEADER,0.176
NATIONAL GREY,41.0,1.0,25.0,SECOND CALL,50-59,BLACK,FEMALE,GORE,,,,NO,,,,,,,,DEMOCRAT,HSGRAD,,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,COLUMBIA,45-59,50-59,DEMOCRAT,50-64,,,,0.20500000000000002
NATIONAL GREY,41.0,1.0,26.0,SECOND CALL,75+,,,GORE,,,,YES,,,,,,,,,,,LESS15K,MODERATE,65+,NATIONAL,COMPLETE,COLUMBIA,60+,60+,,65+,,,,0.291
NATIONAL GREY,41.0,1.0,27.0,SECOND CALL,30-39,WHITE,MALE,BUSH,,,,NO,,,,,,,,REPUBLCN,SOMCOL/ASSOC,,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,30-39,REPUBLICAN,30-39,,,,0.203
NATIONAL GREY,41.0,1.0,28.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,,,,NO,,,,,,,,INDEPEND,COLGRAD,,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,40-49,IND/OTHER,40-49,,,,0.181
NATIONAL PINK,41.0,1.0,29.0,SECOND CALL,30-39,WHITE,MALE,GORE,,,,YES,,,,YES,,,,INDEPEND,,OTHERCHRIST,30-50K,LIBERAL,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.23700000000000002
NATIONAL PINK,41.0,1.0,30.0,SECOND CALL,45-49,WHITE,MALE,BUSH,,,,NO,,,,YES,,,,REPUBLCN,,PROTESTANT,OVER100K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.203
NATIONAL PINK,41.0,1.0,31.0,SECOND CALL,18-24,WHITE,MALE,BUSH,,,,YES,,,,NO,,,,DEMOCRAT,,OTHERCHRIST,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.184
NATIONAL PINK,41.0,1.0,32.0,SECOND CALL,25-29,WHITE,MALE,BUSH,,,,NO,,,,YES,,,,REPUBLCN,,PROTESTANT,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,0.189
NATIONAL WHITE,41.0,1.0,33.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,,EDUCATION,NO,DOLE,WORSE,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.181
NATIONAL WHITE,41.0,1.0,34.0,THIRD CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,,EDUCATION,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,15-30K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.203
NATIONAL WHITE,41.0,1.0,35.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,LESS,,TAXES,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.211
NATIONAL WHITE,41.0,1.0,36.0,THIRD CALL,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,YES,OMITS,,WORLDAFFAIRS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,75-100K,MODERATE,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.23700000000000002
NATIONAL WHITE,41.0,1.0,37.0,THIRD CALL,18-24,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,MORE,,ECON/JOBS,NO,NOVOTE,BETTER,APP/FAV,INDEPEND,HSGRAD,NONE,15-30K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,18-29,18-24,IND/OTHER,18-24,NONE,,,0.185
NATIONAL WHITE,41.0,1.0,38.0,THIRD CALL,18-24,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,MORE,,ECON/JOBS,YES,NOVOTE,WORSE,APP/FAV,DEMOCRAT,HSGRAD,ELSE,LESS15K,MODERATE,18-64,NATIONAL,COMPLETE,COLUMBIA,18-29,18-24,DEMOCRAT,18-24,OTHER,,,0.185
NATIONAL WHITE,41.0,1.0,39.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,DISAPPR,FAVORABLE,BUSH,NO,LESS,,OMITS,YES,OMITS,WORSE,DIS/FAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,18-29,18-24,REPUBLICAN,18-24,CATHOLIC,,,0.168
NATIONAL YELLOW,41.0,1.0,40.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,MORE,,HEALTHCARE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,OTHERCHRIST,30-50K,LIBERAL,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,HEALTHCARE,HONEST,0.199
NATIONAL YELLOW,41.0,1.0,41.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,MORE,,OMITS,NO,NOVOTE,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,OMITS,STRONGLEADER,0.211
NATIONAL YELLOW,41.0,1.0,42.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,,EDUCATION,NO,CLINTON,BETTER,DIS/UNFAV,DEMOCRAT,COLGRAD,PROTESTANT,15-30K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,EDUCATION,HONEST,0.181
NATIONAL YELLOW,41.0,1.0,43.0,THIRD CALL,75+,WHITE,MALE,BUSH,OMITS,OMITS,BUSH,NO,OMITS,,OMITS,OMITS,OMITS,OMITS,OMITS,,,,LESS15K,,65+,NATIONAL,COMPLETE,COLUMBIA,60+,60+,,65+,,OMITS,OMITS,0.28
NATIONAL YELLOW,41.0,1.0,44.0,THIRD CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,,WORLDAFFAIRS,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,WORLDAFFAIRS,HONEST,0.203
NATIONAL YELLOW,41.0,1.0,45.0,THIRD CALL,18-24,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,YES,MORE,,EDUCATION,YES,NOVOTE,SAME,APP/UNFAV,REPUBLCN,HSGRAD,OTHERCHRIST,15-30K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,EDUCATION,STRONGLEADER,0.184
NATIONAL YELLOW,41.0,1.0,46.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,MORE,,EDUCATION,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,OTHERCHRIST,30-50K,LIBERAL,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,EDUCATION,GOODJUDGMENT,0.199
NATIONAL GREY,41.0,1.0,47.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,,,,NO,,,,,,,,REPUBLCN,SOMCOL/ASSOC,,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,18-29,25-29,REPUBLICAN,25-29,,,,0.168
NATIONAL GREY,41.0,1.0,48.0,THIRD CALL,60-64,BLACK,FEMALE,GORE,,,,,,,,,,,,,,,,,18-64,NATIONAL,NOTCOMPLETE,COLUMBIA,60+,60+,,50-64,,,,0.278
NATIONAL GREY,41.0,1.0,49.0,THIRD CALL,40-44,WHITE,MALE,BUSH,,,,NO,,,,,,,,REPUBLCN,COLGRAD,,75-100K,MODERATE,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,40-49,REPUBLICAN,40-49,,,,0.203
NATIONAL GREY,41.0,1.0,50.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,,,,NO,,,,,,,,REPUBLCN,COLGRAD,,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,COLUMBIA,45-59,50-59,REPUBLICAN,50-64,,,,0.181
NATIONAL GREY,41.0,1.0,51.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,,,,NO,,,,,,,,INDEPEND,COLGRAD,,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,30-39,IND/OTHER,30-39,,,,0.217
NATIONAL GREY,41.0,1.0,52.0,THIRD CALL,40-44,BLACK,MALE,BUSH,,,,YES,,,,,,,,DEMOCRAT,SOMCOL/ASSOC,,15-30K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,40-49,DEMOCRAT,40-49,,,,0.187
NATIONAL PINK,41.0,1.0,53.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,,,,NO,,,,NO,,,,REPUBLCN,,OTHERCHRIST,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.181
NATIONAL PINK,41.0,1.0,54.0,THIRD CALL,50-59,WHITE,MALE,BUSH,,,,YES,,,,YES,,,,INDEPEND,,CATHOLIC,,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.198
NATIONAL PINK,41.0,1.0,55.0,THIRD CALL,45-49,HISP,MALE,OTHER,,,,YES,,,,YES,,,,ELSE,,OTHERCHRIST,LESS15K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.337
NATIONAL PINK,41.0,1.0,56.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,,,,NO,,,,NO,,,,INDEPEND,,PROTESTANT,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.181
NATIONAL PINK,41.0,1.0,57.0,THIRD CALL,45-49,BLACK,FEMALE,GORE,,,,YES,,,,NO,,,,DEMOCRAT,,ELSE,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,COLUMBIA,45-59,40-49,DEMOCRAT,40-49,OTHER,,,0.199
NATIONAL PINK,41.0,1.0,58.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,,,,YES,,,,YES,,,,DEMOCRAT,,ELSE,LESS15K,MODERATE,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,30-39,DEMOCRAT,30-39,OTHER,,,0.199
STATE ONLY,41.0,2.0,1.0,FIRST CALL,45-49,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,YES,MORE,MONEYFOREDUC,EDUCATION,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,75-100K,LIBERAL,18-64,STATE,COMPLETE,GREENVILLE,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.6500000000000001
STATE ONLY,41.0,2.0,2.0,FIRST CALL,25-29,WHITE,FEMALE,BUSH,APPROVE,FAVORABLE,BUSH,YES,LESS,MYPARTYPOSIT,ECON/JOBS,NO,NOVOTE,BETTER,APP/FAV,REPUBLCN,COLGRAD,ELSE,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENVILLE,18-29,25-29,REPUBLICAN,25-29,OTHER,,,1.992
STATE ONLY,41.0,2.0,4.0,FIRST CALL,45-49,BLACK,FEMALE,,APPROVE,UNFAVORABLE,OMITS,NO,MORE,CHURCHPOSITI,WORLDAFFAIRS,YES,OMITS,BETTER,APP/UNFAV,ELSE,HSGRAD,OTHERCHRIST,,CONSERV,18-64,STATE,COMPLETE,GREENVILLE,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.758
STATE ONLY,41.0,2.0,5.0,FIRST CALL,65-74,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,YES,LESS,MONEYFOREDUC,MEDICARE/RX,NO,NOVOTE,SAME,APP/UNFAV,INDEPEND,HSGRAD,CATHOLIC,15-30K,MODERATE,65+,STATE,COMPLETE,GREENVILLE,60+,60+,IND/OTHER,65+,CATHOLIC,,,2.1710000000000003
STATE ONLY,41.0,2.0,6.0,FIRST CALL,30-39,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,MORE,MONEYFOREDUC,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,REPUBLCN,COLGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,GREENVILLE,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.588
STATE ONLY,41.0,2.0,7.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,OMITS,OMITS,OMITS,NO,LESS,MORALISSUES,WORLDAFFAIRS,OMITS,OMITS,OMITS,,,,,,,65+,STATE,NOTCOMPLETE,GREENVILLE,60+,60+,,65+,,,,2.141
STATE ONLY,41.0,2.0,8.0,FIRST CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,MORE,MYPARTYPOSIT,MEDICARE/RX,NO,PEROT,WORSE,DIS/UNFAV,INDEPEND,HSGRAD,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENVILLE,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,2.063
STATE ONLY,41.0,2.0,9.0,FIRST CALL,,BLACK,MALE,BUSH,OMITS,OMITS,OMITS,NO,MORE,OMITS,OMITS,OMITS,OMITS,BETTER,OMITS,,,,,,,STATE,COMPLETE,GREENVILLE,,,,,,,,1.864
STATE ONLY,41.0,2.0,10.0,FIRST CALL,50-59,WHITE,FEMALE,BUCHANAN,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,MORALISSUES,MEDICARE/RX,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,15-30K,CONSERV,18-64,STATE,COMPLETE,GREENVILLE,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.331
STATE ONLY,41.0,2.0,11.0,FIRST CALL,30-39,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,YES,MORE,PEOPLEFREE,EDUCATION,NO,CLINTON,SAME,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,GREENVILLE,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,2.0100000000000002
STATE ONLY,41.0,2.0,12.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,MORALISSUES,EDUCATION,NO,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,HSGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,GREENVILLE,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,2.045
STATE ONLY,41.0,2.0,13.0,FIRST CALL,30-39,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,YES,MORE,MONEYFOREDUC,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENVILLE,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.6500000000000001
STATE ONLY,41.0,2.0,14.0,FIRST CALL,25-29,BLACK,MALE,GORE,OMITS,OMITS,OMITS,YES,LESS,MONEYFOREDUC,ECON/JOBS,NO,OMITS,OMITS,,,,,,,18-64,STATE,NOTCOMPLETE,GREENVILLE,18-29,25-29,,25-29,,,,1.702
STATE ONLY,41.0,2.0,15.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,MONEYFOREDUC,WORLDAFFAIRS,NO,DOLE,SAME,DIS/UNFAV,INDEPEND,NOHS,OTHERCHRIST,30-50K,LIBERAL,18-64,STATE,COMPLETE,GREENVILLE,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.932
STATE ONLY,41.0,2.0,16.0,FIRST CALL,65-74,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,MORE,MORALISSUES,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,50-75K,LIBERAL,65+,STATE,COMPLETE,GREENVILLE,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,2.0260000000000002
STATE ONLY,41.0,2.0,17.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,MORE,CHURCHPOSITI,HEALTHCARE,YES,DOLE,SAME,APP/FAV,INDEPEND,POSTGRAD,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,GREENVILLE,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.803
