VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,CLINTON,BCPERSON,HOU,XWAY2000,ISSUE,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,FORESTS,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,27.0,2.0,11.0,SECOND CALL,45-49,WHITE,FEMALE,NADER,SCHWEITZER,OKEEFE,APPROVE,FAVORABLE,KEENAN,WOULDNOTVOTE,OMITS,NOVOTE,WORSE,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,LESS15K,MODERATE,18-64,HELPSTATE,STATE,COMPLETE,EAST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.642
STATE ONLY,27.0,2.0,12.0,SECOND CALL,65-74,WHITE,,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,ECON/JOBS,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,30-50K,CONSERV,65+,HURTSTATE,STATE,COMPLETE,EAST,60+,60+,REPUBLICAN,65+,CATHOLIC,,,0.87
STATE ONLY,27.0,2.0,13.0,SECOND CALL,50-59,OTHER,FEMALE,GORE,SCHWEITZER,OKEEFE,DISAPPR,UNFAVORABLE,KEENAN,GORE,ECON/JOBS,CLINTON,SAME,DIS/UNFAV,DEMOCRAT,SOMCOL/ASSOC,ELSE,30-50K,CONSERV,18-64,HELPSTATE,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,OTHER,,,1.244
STATE ONLY,27.0,2.0,14.0,SECOND CALL,65-74,OTHER,MALE,GORE,SCHWEITZER,OKEEFE,APPROVE,FAVORABLE,KEENAN,GORE,TAXES,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,OTHERCHRIST,15-30K,MODERATE,65+,NOTAFFECT,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.599
STATE ONLY,27.0,2.0,15.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,EDUCATION,CLINTON,WORSE,DIS/UNFAV,INDEPEND,COLGRAD,PROTESTANT,30-50K,LIBERAL,65+,HURTSTATE,STATE,COMPLETE,EAST,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,0.87
STATE ONLY,27.0,2.0,16.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,SCHWEITZER,OKEEFE,DISAPPR,UNFAVORABLE,,GORE,SOCIALSECUR,CLINTON,SAME,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,50-75K,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.213
STATE ONLY,27.0,2.0,17.0,SECOND CALL,40-44,WHITE,MALE,BUSH,BURNS,OKEEFE,OMITS,FAVORABLE,REHBERG,BUSH,OMITS,NOVOTE,SAME,OMITS,DEMOCRAT,SOMCOL/ASSOC,ELSE,75-100K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,EAST,30-44,40-49,DEMOCRAT,40-49,OTHER,,,0.683
STATE ONLY,27.0,2.0,18.0,SECOND CALL,30-39,WHITE,MALE,GORE,SCHWEITZER,OKEEFE,APPROVE,UNFAVORABLE,KEENAN,GORE,HEALTHCARE,CLINTON,BETTER,APP/UNFAV,REPUBLCN,NOHS,OTHERCHRIST,LESS15K,MODERATE,18-64,HELPSTATE,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.283
STATE ONLY,27.0,2.0,19.0,SECOND CALL,40-44,OTHER,FEMALE,GORE,SCHWEITZER,OKEEFE,DISAPPR,UNFAVORABLE,KEENAN,GORE,ECON/JOBS,CLINTON,BETTER,DIS/UNFAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,15-30K,MODERATE,18-64,OMITS,STATE,COMPLETE,EAST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.244
STATE ONLY,27.0,2.0,20.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,SCHWEITZER,OKEEFE,APPROVE,UNFAVORABLE,REHBERG,GORE,WORLDAFFAIRS,CLINTON,BETTER,APP/UNFAV,REPUBLCN,COLGRAD,OTHERCHRIST,15-30K,CONSERV,18-64,OMITS,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.1420000000000001
STATE ONLY,27.0,2.0,21.0,SECOND CALL,40-44,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,TAXES,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,30-50K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,EAST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.724
STATE ONLY,27.0,2.0,22.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,WORLDAFFAIRS,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.7010000000000001
STATE ONLY,27.0,2.0,23.0,SECOND CALL,75+,WHITE,,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,TAXES,DOLE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,30-50K,CONSERV,65+,NOTAFFECT,STATE,COMPLETE,EAST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.9
STATE ONLY,27.0,2.0,24.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,HEALTHCARE,OMITS,SAME,DIS/UNFAV,INDEPEND,COLGRAD,PROTESTANT,50-75K,CONSERV,18-64,OMITS,STATE,COMPLETE,EAST,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.7010000000000001
STATE ONLY,27.0,2.0,25.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,BURNS,OKEEFE,DISAPPR,UNFAVORABLE,KEENAN,BUSH,TAXES,PEROT,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,75-100K,,18-64,OMITS,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.719
STATE ONLY,27.0,2.0,26.0,THIRD CALL,18-24,OTHER,FEMALE,GORE,SCHWEITZER,OKEEFE,APPROVE,UNFAVORABLE,KEENAN,GORE,EDUCATION,CLINTON,WORSE,APP/UNFAV,DEMOCRAT,COLGRAD,NONE,30-50K,LIBERAL,18-64,NOTAFFECT,STATE,COMPLETE,EAST,18-29,18-24,DEMOCRAT,18-24,NONE,,,1.181
STATE ONLY,27.0,2.0,27.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,SCHWEITZER,OKEEFE,APPROVE,FAVORABLE,KEENAN,GORE,OMITS,CLINTON,SAME,APP/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,30-50K,MODERATE,18-64,NOTAFFECT,STATE,COMPLETE,EAST,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.244
STATE ONLY,27.0,2.0,28.0,THIRD CALL,50-59,WHITE,MALE,NADER,SCHWEITZER,OKEEFE,APPROVE,FAVORABLE,KEENAN,GORE,EDUCATION,CLINTON,BETTER,APP/FAV,INDEPEND,POSTGRAD,NONE,30-50K,LIBERAL,18-64,HELPSTATE,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,NONE,,,0.666
STATE ONLY,27.0,2.0,29.0,THIRD CALL,50-59,OTHER,,BUSH,,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,SOCIALSECUR,OMITS,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,OTHERCHRIST,,,18-64,HURTSTATE,STATE,COMPLETE,EAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.778
STATE ONLY,27.0,2.0,30.0,THIRD CALL,50-59,WHITE,FEMALE,NADER,SCHWEITZER,OKEEFE,OMITS,OMITS,KEENAN,GORE,OMITS,CLINTON,SAME,OMITS,INDEPEND,SOMCOL/ASSOC,PROTESTANT,,,18-64,HELPSTATE,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.642
STATE ONLY,27.0,2.0,31.0,THIRD CALL,,WHITE,FEMALE,BUSH,BURNS,OKEEFE,DISAPPR,UNFAVORABLE,REHBERG,BUSH,OMITS,DOLE,SAME,DIS/UNFAV,REPUBLCN,POSTGRAD,OTHERCHRIST,15-30K,CONSERV,,HELPSTATE,STATE,COMPLETE,EAST,,,REPUBLICAN,,PROT/CHRIST,,,0.659
STATE ONLY,27.0,2.0,32.0,THIRD CALL,50-59,WHITE,FEMALE,NADER,BURNS,,APPROVE,OMITS,REHBERG,GORE,SOCIALSECUR,CLINTON,SAME,OMITS,,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,18-64,HELPSTATE,STATE,COMPLETE,EAST,45-59,50-59,,50-64,PROT/CHRIST,,,0.482
STATE ONLY,27.0,2.0,33.0,THIRD CALL,40-44,WHITE,MALE,BUSH,BURNS,,DISAPPR,UNFAVORABLE,,BUSH,OMITS,PEROT,WORSE,DIS/UNFAV,ELSE,SOMCOL/ASSOC,,LESS15K,,18-64,HURTSTATE,STATE,COMPLETE,EAST,30-44,40-49,IND/OTHER,40-49,,,,0.755
STATE ONLY,27.0,4.0,1.0,FIRST CALL,50-59,WHITE,MALE,BUSH,,,DISAPPR,UNFAVORABLE,,BUSH,OMITS,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,50-75K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,EAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.431
STATE ONLY,27.0,4.0,2.0,FIRST CALL,50-59,WHITE,MALE,BUSH,BURNS,MARTZ,OMITS,OMITS,REHBERG,OMITS,OMITS,OMITS,OMITS,,,,,,,18-64,OMITS,STATE,NOTCOMPLETE,EAST,45-59,50-59,,50-64,,,,1.236
STATE ONLY,27.0,4.0,3.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,WORLDAFFAIRS,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,15-30K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,EAST,60+,60+,REPUBLICAN,50-64,CATHOLIC,,,1.485
STATE ONLY,27.0,4.0,4.0,FIRST CALL,18-24,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,ECON/JOBS,DOLE,WORSE,DIS/UNFAV,ELSE,HSGRAD,ELSE,,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,EAST,18-29,18-24,IND/OTHER,18-24,OTHER,,,1.175
STATE ONLY,27.0,4.0,5.0,FIRST CALL,65-74,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,TAXES,DOLE,SAME,DIS/UNFAV,,HSGRAD,PROTESTANT,,CONSERV,65+,HURTSTATE,STATE,COMPLETE,EAST,60+,60+,,65+,PROT/CHRIST,,,1.536
STATE ONLY,27.0,4.0,6.0,FIRST CALL,25-29,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,TAXES,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,OTHERCHRIST,15-30K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,EAST,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,1.175
STATE ONLY,27.0,4.0,7.0,FIRST CALL,60-64,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,WORLDAFFAIRS,DOLE,WORSE,DIS/UNFAV,REPUBLCN,NOHS,CATHOLIC,OVER100K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,EAST,60+,60+,REPUBLICAN,50-64,CATHOLIC,,,1.536
STATE ONLY,27.0,4.0,8.0,FIRST CALL,18-24,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,TAXES,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,75-100K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,EAST,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,1.175
STATE ONLY,27.0,4.0,9.0,FIRST CALL,50-59,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,KEENAN,BUSH,TAXES,CLINTON,WORSE,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,LESS15K,,18-64,HURTSTATE,STATE,COMPLETE,EAST,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,,,1.347
STATE ONLY,27.0,4.0,10.0,FIRST CALL,45-49,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,ECON/JOBS,DOLE,WORSE,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,EAST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.236
STATE ONLY,27.0,4.0,11.0,FIRST CALL,65-74,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,TAXES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,15-30K,CONSERV,65+,HURTSTATE,STATE,COMPLETE,EAST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.536
STATE ONLY,27.0,4.0,12.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,OMITS,DOLE,WORSE,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,LESS15K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,EAST,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,1.195
STATE ONLY,27.0,4.0,13.0,FIRST CALL,30-39,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,TAXES,PEROT,SAME,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,50-75K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,1.236
STATE ONLY,27.0,4.0,14.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,TAXES,DOLE,WORSE,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,75-100K,CONSERV,65+,HURTSTATE,STATE,COMPLETE,EAST,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.485
STATE ONLY,27.0,4.0,15.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,BURNS,MARTZ,APPROVE,UNFAVORABLE,KEENAN,BUSH,TAXES,CLINTON,SAME,APP/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,15-30K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,EAST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.302
STATE ONLY,27.0,4.0,16.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,OMITS,DOLE,WORSE,DIS/UNFAV,INDEPEND,POSTGRAD,PROTESTANT,75-100K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.195
STATE ONLY,27.0,4.0,17.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,EDUCATION,DOLE,WORSE,DIS/UNFAV,INDEPEND,COLGRAD,CATHOLIC,,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,EAST,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,1.195
STATE ONLY,27.0,4.0,18.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,SCHWEITZER,OKEEFE,APPROVE,UNFAVORABLE,KEENAN,WOULDNOTVOTE,OMITS,OMITS,SAME,APP/UNFAV,,HSGRAD,CATHOLIC,,,18-64,NOTAFFECT,STATE,COMPLETE,EAST,45-59,40-49,,40-49,CATHOLIC,,,1.556
STATE ONLY,27.0,4.0,19.0,SECOND CALL,30-39,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,KEENAN,BUSH,OMITS,DOLE,BETTER,DIS/UNFAV,,SOMCOL/ASSOC,NONE,30-50K,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,EAST,30-44,30-39,,30-39,NONE,,,1.347
STATE ONLY,27.0,4.0,20.0,SECOND CALL,65-74,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,ECON/JOBS,DOLE,SAME,DIS/UNFAV,ELSE,NOHS,NONE,15-30K,CONSERV,65+,HURTSTATE,STATE,COMPLETE,EAST,60+,60+,IND/OTHER,65+,NONE,,,1.536
STATE ONLY,27.0,4.0,21.0,SECOND CALL,25-29,WHITE,MALE,BUSH,BURNS,MARTZ,OMITS,OMITS,KEENAN,OMITS,EDUCATION,OMITS,OMITS,,,,,,,18-64,OMITS,STATE,NOTCOMPLETE,EAST,18-29,25-29,,25-29,,,,1.281
STATE ONLY,27.0,4.0,22.0,SECOND CALL,,WHITE,MALE,BUSH,SCHWEITZER,MARTZ,DISAPPR,UNFAVORABLE,KEENAN,BUSH,OMITS,PEROT,WORSE,DIS/UNFAV,INDEPEND,NOHS,CATHOLIC,15-30K,MODERATE,,HURTSTATE,STATE,COMPLETE,EAST,,,IND/OTHER,,CATHOLIC,,,1.715
STATE ONLY,27.0,4.0,23.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,SCHWEITZER,OKEEFE,DISAPPR,UNFAVORABLE,REHBERG,BUSH,SOCIALSECUR,PEROT,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,HELPSTATE,STATE,COMPLETE,EAST,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,1.356
STATE ONLY,27.0,4.0,24.0,SECOND CALL,45-49,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,OMITS,DOLE,WORSE,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,EAST,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,1.236
STATE ONLY,27.0,4.0,25.0,SECOND CALL,65-74,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,SOCIALSECUR,DOLE,WORSE,DIS/UNFAV,INDEPEND,HSGRAD,CATHOLIC,LESS15K,CONSERV,65+,HURTSTATE,STATE,COMPLETE,EAST,60+,60+,IND/OTHER,65+,CATHOLIC,,,1.536
STATE ONLY,27.0,4.0,26.0,SECOND CALL,65-74,WHITE,MALE,BUSH,BURNS,OKEEFE,DISAPPR,UNFAVORABLE,KEENAN,WOULDNOTVOTE,WORLDAFFAIRS,DOLE,WORSE,DIS/UNFAV,ELSE,HSGRAD,OTHERCHRIST,75-100K,MODERATE,65+,HURTSTATE,STATE,COMPLETE,EAST,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.578
STATE ONLY,27.0,4.0,27.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,BURNS,OKEEFE,DISAPPR,UNFAVORABLE,REHBERG,BUSH,WORLDAFFAIRS,OTHER,SAME,DIS/UNFAV,ELSE,HSGRAD,CATHOLIC,OVER100K,MODERATE,65+,HURTSTATE,STATE,COMPLETE,EAST,60+,60+,IND/OTHER,65+,CATHOLIC,,,1.3960000000000001
STATE ONLY,27.0,4.0,28.0,SECOND CALL,18-24,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,KEENAN,BUSH,EDUCATION,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,NOHS,PROTESTANT,,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,EAST,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,1.281
STATE ONLY,27.0,4.0,29.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,OMITS,DOLE,SAME,DIS/UNFAV,,HSGRAD,PROTESTANT,15-30K,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,EAST,60+,60+,,50-64,PROT/CHRIST,,,1.485
STATE ONLY,27.0,4.0,30.0,SECOND CALL,30-39,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,WORLDAFFAIRS,DOLE,WORSE,DIS/UNFAV,INDEPEND,NOHS,OTHERCHRIST,LESS15K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.236
STATE ONLY,27.0,4.0,31.0,SECOND CALL,18-24,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,OMITS,PEROT,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,,,,18-64,NOTAFFECT,STATE,COMPLETE,EAST,18-29,18-24,REPUBLICAN,18-24,,,,1.175
STATE ONLY,27.0,4.0,32.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,BURNS,OKEEFE,DISAPPR,UNFAVORABLE,,BUSH,WORLDAFFAIRS,PEROT,BETTER,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,50-75K,MODERATE,18-64,HELPSTATE,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.627
STATE ONLY,27.0,4.0,33.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,OMITS,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,15-30K,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,EAST,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,,1.195
