VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,GOV,CLINTON,BCPERSON,XWAY2000,ISSUE,X6VOTE,FINSIT,JOBPERS,MIGRATNH,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,MCSUPP,STINCTAX,VNS1,VNS2,WEIGHT
STATE ONLY,30.0,4.0,25.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,SOCIALSECUR,CLINTON,SAME,APP/FAV,NO,INDEPEND,COLGRAD,PROTESTANT,15-30K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,YES,YES,,,0.841
STATE ONLY,30.0,4.0,26.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,TAXES,CLINTON,BETTER,APP/FAV,NO,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,YES,NO,,,0.841
STATE ONLY,30.0,4.0,27.0,THIRD CALL,60-64,WHITE,MALE,BUSH,HUMPHREY,OMITS,OMITS,OMITS,EDUCATION,OMITS,OMITS,,NO,,,,,,18-64,STATE,NOTCOMPLETE,RURALNORTH,60+,60+,,50-64,,YES,NO,,,0.9
STATE ONLY,30.0,4.0,28.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,TAXES,DOLE,BETTER,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,YES,NO,,,0.8220000000000001
STATE ONLY,30.0,4.0,29.0,THIRD CALL,45-49,WHITE,MALE,BUSH,BROWN,DISAPPR,OMITS,BUSH,SOCIALSECUR,NOVOTE,SAME,OMITS,YES,INDEPEND,SOMCOL/ASSOC,PROTESTANT,15-30K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,NO,NO,,,0.8320000000000001
STATE ONLY,30.0,4.0,30.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,TAXES,PEROT,SAME,DIS/UNFAV,NO,REPUBLCN,COLGRAD,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,OMITS,OMITS,,,0.8220000000000001
STATE ONLY,30.0,4.0,31.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,DOLE,BETTER,DIS/UNFAV,NO,REPUBLCN,NOHS,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,NO,NO,,,0.8220000000000001
STATE ONLY,30.0,4.0,32.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,DOLE,WORSE,DIS/UNFAV,NO,REPUBLCN,HSGRAD,,30-50K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,30-44,40-49,REPUBLICAN,40-49,,YES,NO,,,0.8220000000000001
STATE ONLY,30.0,4.0,33.0,THIRD CALL,45-49,WHITE,MALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,DOLE,BETTER,DIS/UNFAV,NO,REPUBLCN,HSGRAD,OTHERCHRIST,,,18-64,STATE,COMPLETE,RURALNORTH,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,NO,NO,,,0.8150000000000001
STATE ONLY,30.0,4.0,34.0,THIRD CALL,50-59,WHITE,MALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,OMITS,DOLE,BETTER,DIS/UNFAV,NO,,SOMCOL/ASSOC,CATHOLIC,75-100K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,,50-64,CATHOLIC,NO,NO,,,0.8150000000000001
STATE ONLY,30.0,4.0,35.0,THIRD CALL,30-39,WHITE,MALE,BUSH,HUMPHREY,APPROVE,FAVORABLE,BUSH,WORLDAFFAIRS,CLINTON,BETTER,APP/FAV,YES,REPUBLCN,COLGRAD,ELSE,30-50K,LIBERAL,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,REPUBLICAN,30-39,OTHER,YES,NO,,,0.8150000000000001
STATE ONLY,30.0,4.0,36.0,THIRD CALL,60-64,WHITE,MALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,SOCIALSECUR,NOVOTE,WORSE,DIS/UNFAV,NO,INDEPEND,HSGRAD,CATHOLIC,15-30K,LIBERAL,18-64,STATE,COMPLETE,RURALNORTH,60+,60+,IND/OTHER,50-64,CATHOLIC,NO,NO,,,0.9
STATE ONLY,30.0,4.0,37.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,HUMPHREY,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,BETTER,APP/FAV,YES,ELSE,SOMCOL/ASSOC,ELSE,50-75K,LIBERAL,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,IND/OTHER,30-39,OTHER,NO,NO,,,0.8300000000000001
STATE ONLY,30.0,4.0,38.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,SHAHEEN,OMITS,OMITS,OMITS,EDUCATION,OMITS,OMITS,,NO,,,,,,18-64,STATE,NOTCOMPLETE,RURALNORTH,45-59,40-49,,40-49,,YES,YES,,,0.841
STATE ONLY,30.0,4.0,39.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,HEALTHCARE,CLINTON,BETTER,APP/UNFAV,NO,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,75-100K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,NO,NO,,,0.841
STATE ONLY,30.0,12.0,1.0,FIRST CALL,40-44,WHITE,,GORE,SHAHEEN,OMITS,OMITS,OMITS,TAXES,OMITS,OMITS,,NO,,,,,,18-64,STATE,NOTCOMPLETE,RURALNORTH,30-44,40-49,,40-49,,YES,NO,,,1.0010000000000001
STATE ONLY,30.0,12.0,2.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,CLINTON,SAME,APP/FAV,YES,DEMOCRAT,HSGRAD,ELSE,50-75K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,DEMOCRAT,30-39,OTHER,NO,YES,,,1.0110000000000001
STATE ONLY,30.0,12.0,3.0,FIRST CALL,65-74,,FEMALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,SOCIALSECUR,CLINTON,BETTER,APP/UNFAV,NO,REPUBLCN,HSGRAD,PROTESTANT,50-75K,MODERATE,65+,STATE,COMPLETE,RURALNORTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,YES,NO,,,1.118
STATE ONLY,30.0,12.0,4.0,FIRST CALL,65-74,WHITE,MALE,BUSH,HUMPHREY,OMITS,OMITS,OMITS,MEDICARE/RX,OMITS,OMITS,,YES,,,,,,65+,STATE,NOTCOMPLETE,RURALNORTH,60+,60+,,65+,,YES,NO,,,1.084
STATE ONLY,30.0,12.0,5.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,DOLE,BETTER,DIS/UNFAV,YES,REPUBLCN,HSGRAD,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,YES,NO,,,0.989
STATE ONLY,30.0,12.0,6.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,HEALTHCARE,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,HSGRAD,PROTESTANT,LESS15K,MODERATE,65+,STATE,COMPLETE,RURALNORTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,NO,NO,,,1.095
STATE ONLY,30.0,12.0,7.0,FIRST CALL,30-39,WHITE,MALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,HEALTHCARE,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,YES,NO,,,0.979
STATE ONLY,30.0,12.0,8.0,FIRST CALL,75+,WHITE,MALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,HSGRAD,PROTESTANT,30-50K,CONSERV,65+,STATE,COMPLETE,RURALNORTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,NO,YES,,,1.084
STATE ONLY,30.0,12.0,9.0,FIRST CALL,65-74,WHITE,MALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,EDUCATION,PEROT,SAME,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,65+,STATE,COMPLETE,RURALNORTH,60+,60+,REPUBLICAN,65+,CATHOLIC,YES,NO,,,1.084
STATE ONLY,30.0,12.0,10.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,SHAHEEN,APPROVE,UNFAVORABLE,GORE,SOCIALSECUR,CLINTON,BETTER,APP/UNFAV,NO,REPUBLCN,HSGRAD,PROTESTANT,50-75K,MODERATE,65+,STATE,COMPLETE,RURALNORTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,YES,NO,,,1.109
STATE ONLY,30.0,12.0,11.0,FIRST CALL,65-74,WHITE,MALE,BUSH,HUMPHREY,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,NO,,,,,,65+,STATE,NOTCOMPLETE,RURALNORTH,60+,60+,,65+,,YES,NO,,,1.084
STATE ONLY,30.0,12.0,12.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,OTHER,SAME,DIS/UNFAV,YES,INDEPEND,HSGRAD,CATHOLIC,75-100K,MODERATE,65+,STATE,COMPLETE,RURALNORTH,60+,60+,IND/OTHER,65+,CATHOLIC,NO,YES,,,1.095
STATE ONLY,30.0,12.0,13.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,SHAHEEN,APPROVE,UNFAVORABLE,BUSH,EDUCATION,CLINTON,BETTER,APP/UNFAV,NO,REPUBLCN,COLGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,YES,YES,,,1.002
STATE ONLY,30.0,12.0,14.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,OMITS,DOLE,SAME,DIS/UNFAV,NO,INDEPEND,HSGRAD,PROTESTANT,,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,OMITS,NO,,,0.989
STATE ONLY,30.0,12.0,15.0,SECOND CALL,18-24,WHITE,MALE,GORE,,APPROVE,FAVORABLE,GORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,NO,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,NO,NO,,,0.978
STATE ONLY,30.0,12.0,16.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,TAXES,PEROT,BETTER,APP/FAV,YES,ELSE,HSGRAD,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,IND/OTHER,30-39,CATHOLIC,NO,NO,,,1.0110000000000001
STATE ONLY,30.0,12.0,17.0,SECOND CALL,45-49,WHITE,MALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,MEDICARE/RX,NOVOTE,BETTER,APP/UNFAV,NO,INDEPEND,HSGRAD,CATHOLIC,,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,45-59,40-49,IND/OTHER,40-49,CATHOLIC,YES,NO,,,1.0010000000000001
STATE ONLY,30.0,12.0,18.0,SECOND CALL,30-39,WHITE,MALE,GORE,HUMPHREY,DISAPPR,UNFAVORABLE,GORE,EDUCATION,NOVOTE,SAME,DIS/UNFAV,NO,ELSE,HSGRAD,ELSE,30-50K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,IND/OTHER,30-39,OTHER,YES,NO,,,0.988
STATE ONLY,30.0,12.0,19.0,SECOND CALL,18-24,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,EDUCATION,NOVOTE,SAME,DIS/UNFAV,NO,REPUBLCN,HSGRAD,NONE,15-30K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,18-29,18-24,REPUBLICAN,18-24,NONE,YES,NO,,,0.97
STATE ONLY,30.0,12.0,20.0,SECOND CALL,60-64,WHITE,MALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,COLGRAD,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,NO,NO,,,1.084
STATE ONLY,30.0,12.0,21.0,THIRD CALL,50-59,WHITE,MALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,HEALTHCARE,CLINTON,BETTER,APP/UNFAV,NO,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,OVER100K,LIBERAL,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,YES,YES,,,1.0010000000000001
STATE ONLY,30.0,12.0,22.0,THIRD CALL,18-24,WHITE,MALE,BUSH,SHAHEEN,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,NOVOTE,BETTER,DIS/UNFAV,YES,INDEPEND,SOMCOL/ASSOC,NONE,LESS15K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,18-29,18-24,IND/OTHER,18-24,NONE,YES,NO,,,0.974
STATE ONLY,30.0,12.0,23.0,THIRD CALL,65-74,WHITE,MALE,BUSH,HUMPHREY,APPROVE,UNFAVORABLE,BUSH,TAXES,DOLE,BETTER,APP/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,JEWISH,75-100K,CONSERV,65+,STATE,COMPLETE,RURALNORTH,60+,60+,REPUBLICAN,65+,JEWISH,YES,NO,,,1.084
STATE ONLY,30.0,12.0,24.0,THIRD CALL,65-74,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,DOLE,BETTER,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,CONSERV,65+,STATE,COMPLETE,RURALNORTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,YES,NO,,,1.095
STATE ONLY,30.0,12.0,25.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,SHAHEEN,APPROVE,FAVORABLE,WOULDNOTVOTE,MEDICARE/RX,CLINTON,WORSE,APP/FAV,NO,INDEPEND,NOHS,NONE,30-50K,LIBERAL,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,IND/OTHER,30-39,NONE,NO,NO,,,1.002
STATE ONLY,30.0,12.0,26.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,DOLE,BETTER,DIS/UNFAV,YES,INDEPEND,SOMCOL/ASSOC,PROTESTANT,OVER100K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,YES,NO,,,0.989
STATE ONLY,30.0,12.0,27.0,THIRD CALL,65-74,WHITE,FEMALE,BUSH,HUMPHREY,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,NO,,,,,,65+,STATE,NOTCOMPLETE,RURALNORTH,60+,60+,,65+,,YES,NO,,,1.095
STATE ONLY,30.0,12.0,28.0,THIRD CALL,50-59,WHITE,MALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,DOLE,BETTER,APP/UNFAV,NO,REPUBLCN,HSGRAD,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,NO,NO,,,1.0010000000000001
STATE ONLY,30.0,12.0,29.0,THIRD CALL,50-59,WHITE,MALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,TAXES,PEROT,BETTER,DIS/UNFAV,NO,INDEPEND,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,IND/OTHER,50-64,CATHOLIC,YES,NO,,,0.979
