VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,ISSUE,X6VOTE,FINSIT,JOBPERS,MIGRATAZ,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,MEXICAN,QRACE,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,3.0,3.0,13.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,,,0.8210000000000001
STATE ONLY,3.0,3.0,14.0,FIRST CALL,65-74,WHITE,MALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,MORE,SOCIALSECUR,DOLE,SAME,DIS/UNFAV,YES,REPUBLCN,HSGRAD,CATHOLIC,LESS15K,MODERATE,65+,STATE,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,NO,WHITE,CATHOLIC,,,0.919
STATE ONLY,3.0,3.0,15.0,FIRST CALL,25-29,WHITE,MALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,PEROT,BETTER,DIS/UNFAV,NO,INDEPEND,HSGRAD,ELSE,15-30K,LIBERAL,18-64,STATE,COMPLETE,DESERT,18-29,25-29,IND/OTHER,25-29,NO,WHITE,OTHER,,,0.6930000000000001
STATE ONLY,3.0,3.0,16.0,FIRST CALL,50-59,WHITE,FEMALE,NADER,,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,CLINTON,SAME,APP/FAV,YES,ELSE,SOMCOL/ASSOC,ELSE,15-30K,MODERATE,18-64,STATE,COMPLETE,DESERT,45-59,50-59,IND/OTHER,50-64,NO,WHITE,OTHER,,,0.535
STATE ONLY,3.0,3.0,17.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,KYL,APPROVE,FAVORABLE,GORE,LESS,HEALTHCARE,PEROT,SAME,APP/FAV,NO,DEMOCRAT,HSGRAD,ELSE,30-50K,MODERATE,18-64,STATE,COMPLETE,DESERT,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,OTHER,,,1.0150000000000001
STATE ONLY,3.0,3.0,18.0,SECOND CALL,75+,WHITE,,BUSH,KYL,APPROVE,UNFAVORABLE,BUSH,LESS,ECON/JOBS,DOLE,BETTER,APP/UNFAV,YES,INDEPEND,SOMCOL/ASSOC,ELSE,50-75K,LIBERAL,65+,STATE,COMPLETE,DESERT,60+,60+,IND/OTHER,65+,NO,WHITE,OTHER,,,0.919
STATE ONLY,3.0,3.0,19.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,OTHER,APPROVE,FAVORABLE,GORE,LESS,ECON/JOBS,CLINTON,WORSE,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,ELSE,LESS15K,MODERATE,18-64,STATE,COMPLETE,DESERT,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,OTHER,,,1.0150000000000001
STATE ONLY,3.0,3.0,20.0,SECOND CALL,65-74,HISP,FEMALE,BUSH,OTHER,APPROVE,UNFAVORABLE,OMITS,LESS,SOCIALSECUR,CLINTON,WORSE,APP/UNFAV,NO,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,15-30K,MODERATE,65+,STATE,COMPLETE,DESERT,60+,60+,DEMOCRAT,65+,YES,WHITE,CATHOLIC,,,0.671
STATE ONLY,3.0,3.0,21.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,DOLE,WORSE,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,LESS15K,CONSERV,18-64,STATE,COMPLETE,DESERT,45-59,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,,,0.8210000000000001
STATE ONLY,3.0,3.0,22.0,SECOND CALL,60-64,WHITE,MALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,MEDICARE/RX,DOLE,WORSE,DIS/UNFAV,NO,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,DESERT,60+,60+,DEMOCRAT,50-64,NO,WHITE,PROT/CHRIST,,,0.919
STATE ONLY,3.0,3.0,23.0,SECOND CALL,65-74,WHITE,MALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,MORE,ECON/JOBS,DOLE,SAME,DIS/UNFAV,YES,INDEPEND,HSGRAD,ELSE,15-30K,CONSERV,65+,STATE,COMPLETE,DESERT,60+,60+,IND/OTHER,65+,NO,WHITE,OTHER,,,0.919
STATE ONLY,3.0,3.0,24.0,SECOND CALL,65-74,WHITE,MALE,GORE,KYL,APPROVE,FAVORABLE,GORE,LESS,WORLDAFFAIRS,CLINTON,BETTER,APP/FAV,YES,REPUBLCN,HSGRAD,PROTESTANT,15-30K,MODERATE,65+,STATE,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,NO,WHITE,PROT/CHRIST,,,1.1380000000000001
STATE ONLY,3.0,3.0,25.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,KYL,APPROVE,UNFAVORABLE,GORE,MORE,EDUCATION,CLINTON,BETTER,APP/UNFAV,NO,DEMOCRAT,COLGRAD,ELSE,OVER100K,LIBERAL,18-64,STATE,COMPLETE,DESERT,45-59,40-49,DEMOCRAT,40-49,NO,WHITE,OTHER,,,1.0150000000000001
STATE ONLY,3.0,3.0,26.0,SECOND CALL,60-64,WHITE,,GORE,,APPROVE,FAVORABLE,GORE,MORE,WORLDAFFAIRS,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,NONE,15-30K,LIBERAL,18-64,STATE,COMPLETE,DESERT,60+,60+,DEMOCRAT,50-64,NO,WHITE,NONE,,,1.179
STATE ONLY,3.0,3.0,27.0,SECOND CALL,18-24,WHITE,FEMALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,MORE,ECON/JOBS,NOVOTE,SAME,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,75-100K,CONSERV,18-64,STATE,COMPLETE,DESERT,18-29,18-24,REPUBLICAN,18-24,NO,WHITE,CATHOLIC,,,0.718
STATE ONLY,3.0,3.0,28.0,SECOND CALL,60-64,WHITE,MALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,DOLE,BETTER,DIS/UNFAV,NO,REPUBLCN,HSGRAD,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,DESERT,60+,60+,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,,,0.919
STATE ONLY,3.0,3.0,29.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,DOLE,BETTER,DIS/UNFAV,NO,REPUBLCN,HSGRAD,PROTESTANT,15-30K,CONSERV,18-64,STATE,COMPLETE,DESERT,60+,60+,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,,,0.9540000000000001
STATE ONLY,3.0,3.0,30.0,SECOND CALL,30-39,WHITE,FEMALE,NADER,KYL,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,LESS,ECON/JOBS,NOVOTE,SAME,DIS/UNFAV,YES,DEMOCRAT,COLGRAD,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,DESERT,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,PROT/CHRIST,,,0.535
STATE ONLY,3.0,3.0,31.0,SECOND CALL,45-49,WHITE,MALE,GORE,KYL,APPROVE,UNFAVORABLE,GORE,LESS,SOCIALSECUR,CLINTON,BETTER,APP/UNFAV,NO,REPUBLCN,COLGRAD,PROTESTANT,,CONSERV,18-64,STATE,COMPLETE,DESERT,45-59,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,,,0.979
STATE ONLY,3.0,3.0,32.0,SECOND CALL,50-59,WHITE,MALE,NADER,OTHER,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,CLINTON,WORSE,APP/FAV,NO,DEMOCRAT,HSGRAD,,LESS15K,LIBERAL,18-64,STATE,COMPLETE,DESERT,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,,,,0.516
STATE ONLY,3.0,3.0,33.0,SECOND CALL,60-64,WHITE,MALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,COLGRAD,OTHERCHRIST,15-30K,CONSERV,18-64,STATE,COMPLETE,DESERT,60+,60+,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,,,0.919
STATE ONLY,3.0,3.0,34.0,SECOND CALL,65-74,HISP,MALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,OTHER,WORSE,DIS/UNFAV,NO,DEMOCRAT,HSGRAD,,30-50K,MODERATE,65+,STATE,COMPLETE,DESERT,60+,60+,DEMOCRAT,65+,YES,HISP,,,,0.648
STATE ONLY,3.0,3.0,35.0,SECOND CALL,45-49,WHITE,MALE,BUSH,DIDNOTVOTE,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,NOVOTE,WORSE,DIS/UNFAV,YES,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,15-30K,CONSERV,18-64,STATE,COMPLETE,DESERT,45-59,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,,,0.792
STATE ONLY,3.0,3.0,36.0,SECOND CALL,65-74,WHITE,MALE,BUSH,KYL,DISAPPR,OMITS,BUSH,MORE,MEDICARE/RX,NOVOTE,SAME,OMITS,NO,REPUBLCN,HSGRAD,CATHOLIC,15-30K,CONSERV,65+,STATE,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,NO,WHITE,CATHOLIC,,,0.919
STATE ONLY,3.0,3.0,37.0,SECOND CALL,40-44,WHITE,MALE,NADER,,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,LESS,TAXES,PEROT,SAME,DIS/UNFAV,NO,ELSE,HSGRAD,OTHERCHRIST,LESS15K,MODERATE,18-64,STATE,COMPLETE,DESERT,30-44,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,,,0.516
STATE ONLY,3.0,3.0,38.0,SECOND CALL,50-59,WHITE,MALE,GORE,KYL,APPROVE,UNFAVORABLE,GORE,MORE,WORLDAFFAIRS,CLINTON,SAME,APP/UNFAV,YES,INDEPEND,SOMCOL/ASSOC,NONE,LESS15K,LIBERAL,18-64,STATE,COMPLETE,DESERT,45-59,50-59,IND/OTHER,50-64,NO,WHITE,NONE,,,0.979
STATE ONLY,3.0,3.0,39.0,SECOND CALL,50-59,WHITE,MALE,BUSH,KYL,OMITS,OMITS,OMITS,LESS,TAXES,OMITS,OMITS,,NO,,,,,,18-64,STATE,NOTCOMPLETE,DESERT,45-59,50-59,,50-64,NO,WHITE,,,,0.792
STATE ONLY,3.0,3.0,40.0,SECOND CALL,65-74,WHITE,MALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,DOLE,SAME,DIS/UNFAV,NO,INDEPEND,SOMCOL/ASSOC,,,CONSERV,65+,STATE,COMPLETE,DESERT,60+,60+,IND/OTHER,65+,,WHITE,,,,0.919
STATE ONLY,3.0,3.0,41.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,PEROT,WORSE,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,DESERT,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,,,0.8210000000000001
STATE ONLY,3.0,3.0,42.0,SECOND CALL,50-59,WHITE,MALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,DOLE,WORSE,DIS/UNFAV,NO,INDEPEND,COLGRAD,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,COMPLETE,DESERT,45-59,50-59,IND/OTHER,50-64,NO,WHITE,PROT/CHRIST,,,0.792
STATE ONLY,3.0,3.0,43.0,THIRD CALL,50-59,WHITE,MALE,GORE,OTHER,DISAPPR,UNFAVORABLE,GORE,LESS,EDUCATION,OTHER,SAME,DIS/UNFAV,NO,INDEPEND,SOMCOL/ASSOC,NONE,30-50K,CONSERV,18-64,STATE,COMPLETE,DESERT,45-59,50-59,IND/OTHER,50-64,NO,WHITE,NONE,,,0.979
STATE ONLY,3.0,3.0,44.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,MORE,WORLDAFFAIRS,NOVOTE,SAME,DIS/UNFAV,NO,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,DESERT,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,PROT/CHRIST,,,0.8210000000000001
STATE ONLY,3.0,3.0,45.0,THIRD CALL,50-59,WHITE,MALE,OTHER,OTHER,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,LESS,TAXES,OTHER,WORSE,DIS/UNFAV,YES,ELSE,SOMCOL/ASSOC,NONE,30-50K,MODERATE,18-64,STATE,COMPLETE,DESERT,45-59,50-59,IND/OTHER,50-64,NO,WHITE,NONE,,,0.854
STATE ONLY,3.0,3.0,46.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,COLGRAD,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,,,0.8210000000000001
STATE ONLY,3.0,3.0,47.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,EDUCATION,DOLE,BETTER,DIS/UNFAV,NO,REPUBLCN,POSTGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,,,0.8210000000000001
STATE ONLY,3.0,3.0,48.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,POSTGRAD,NONE,50-75K,MODERATE,18-64,STATE,COMPLETE,DESERT,45-59,40-49,REPUBLICAN,40-49,NO,WHITE,NONE,,,0.8210000000000001
STATE ONLY,3.0,3.0,49.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,DOLE,SAME,DIS/UNFAV,YES,INDEPEND,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,DESERT,45-59,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,,,0.8210000000000001
STATE ONLY,3.0,3.0,50.0,THIRD CALL,18-24,WHITE,MALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,ECON/JOBS,NOVOTE,BETTER,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,OVER100K,CONSERV,18-64,STATE,COMPLETE,DESERT,18-29,18-24,REPUBLICAN,18-24,NO,WHITE,CATHOLIC,,,0.6930000000000001
STATE ONLY,3.0,3.0,51.0,THIRD CALL,50-59,WHITE,MALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,ECON/JOBS,DOLE,BETTER,DIS/UNFAV,NO,INDEPEND,COLGRAD,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,COMPLETE,DESERT,45-59,50-59,IND/OTHER,50-64,NO,WHITE,PROT/CHRIST,,,0.792
NATIONAL WHITE,3.0,5.0,1.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,LESS,HEALTHCARE,CLINTON,SAME,DIS/UNFAV,,INDEPEND,HSGRAD,OTHERCHRIST,15-30K,,65+,NATIONAL,COMPLETE,DESERT,60+,60+,IND/OTHER,65+,NO,WHITE,PROT/CHRIST,,,1.045
NATIONAL YELLOW,3.0,5.0,2.0,FIRST CALL,45-49,OTHER,FEMALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,DOLE,WORSE,DIS/UNFAV,,REPUBLCN,COLGRAD,PROTESTANT,75-100K,CONSERV,18-64,NATIONAL,COMPLETE,DESERT,45-59,40-49,REPUBLICAN,40-49,NO,OTHER,PROT/CHRIST,WORLDAFFAIRS,HONEST,0.9
NATIONAL YELLOW,3.0,5.0,3.0,FIRST CALL,18-24,HISP,FEMALE,GORE,KYL,APPROVE,FAVORABLE,GORE,MORE,OMITS,NOVOTE,SAME,APP/FAV,,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,,MODERATE,18-64,NATIONAL,COMPLETE,DESERT,18-29,18-24,DEMOCRAT,18-24,YES,HISP,CATHOLIC,OMITS,OMITS,0.686
NATIONAL YELLOW,3.0,5.0,4.0,FIRST CALL,65-74,BLACK,MALE,BUSH,KYL,APPROVE,FAVORABLE,BUSH,LESS,EDUCATION,DOLE,SAME,APP/FAV,,REPUBLCN,SOMCOL/ASSOC,NONE,,CONSERV,65+,NATIONAL,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,NO,BLACK,NONE,EDUCATION,GOODJUDGMENT,0.711
NATIONAL YELLOW,3.0,5.0,5.0,FIRST CALL,50-59,WHITE,MALE,GORE,KYL,APPROVE,FAVORABLE,GORE,MORE,SOCIALSECUR,CLINTON,BETTER,APP/FAV,,DEMOCRAT,POSTGRAD,CATHOLIC,OVER100K,MODERATE,18-64,NATIONAL,COMPLETE,DESERT,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,CATHOLIC,SOCIALSECUR,STRONGLEADER,1.073
NATIONAL GREY,3.0,5.0,6.0,FIRST CALL,45-49,WHITE,MALE,BUSH,KYL,,,,,,,,,,REPUBLCN,POSTGRAD,,OVER100K,CONSERV,18-64,NATIONAL,COMPLETE,DESERT,45-59,40-49,REPUBLICAN,40-49,NO,WHITE,,,,0.868
NATIONAL GREY,3.0,5.0,7.0,FIRST CALL,75+,WHITE,MALE,BUSH,DIDNOTVOTE,,,,,,,,,,DEMOCRAT,SOMCOL/ASSOC,,30-50K,MODERATE,65+,NATIONAL,COMPLETE,DESERT,60+,60+,DEMOCRAT,65+,NO,WHITE,,,,1.008
NATIONAL GREY,3.0,5.0,8.0,FIRST CALL,50-59,HISP,MALE,GORE,KYL,,,,,,,,,,DEMOCRAT,COLGRAD,,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,DESERT,45-59,50-59,DEMOCRAT,50-64,YES,HISP,,,,0.756
NATIONAL GREY,3.0,5.0,9.0,FIRST CALL,50-59,HISP,MALE,GORE,KYL,,,,,,,,,,DEMOCRAT,COLGRAD,,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,DESERT,45-59,50-59,DEMOCRAT,50-64,YES,HISP,,,,0.756
NATIONAL PINK,3.0,5.0,10.0,FIRST CALL,30-39,WHITE,MALE,GORE,KYL,,,,,,,,,,INDEPEND,,CATHOLIC,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,DESERT,30-44,30-39,IND/OTHER,30-39,NO,WHITE,CATHOLIC,,,1.073
NATIONAL PINK,3.0,5.0,11.0,FIRST CALL,60-64,WHITE,MALE,GORE,,,,,,,,,,,DEMOCRAT,,PROTESTANT,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,DESERT,60+,60+,DEMOCRAT,50-64,NO,WHITE,PROT/CHRIST,,,1.247
NATIONAL PINK,3.0,5.0,12.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,,,,,,,,,,,DEMOCRAT,,NONE,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,DESERT,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,NONE,,,1.112
NATIONAL PINK,3.0,5.0,13.0,FIRST CALL,30-39,WHITE,MALE,BUSH,KYL,,,,,,,,,,REPUBLCN,,PROTESTANT,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,DESERT,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,PROT/CHRIST,,,0.868
NATIONAL WHITE,3.0,5.0,14.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,HEALTHCARE,DOLE,SAME,DIS/UNFAV,,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,,CONSERV,65+,NATIONAL,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,NO,WHITE,PROT/CHRIST,,,1.045
NATIONAL WHITE,3.0,5.0,15.0,SECOND CALL,30-39,WHITE,FEMALE,NADER,OTHER,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,LESS,WORLDAFFAIRS,DOLE,WORSE,DIS/UNFAV,,INDEPEND,SOMCOL/ASSOC,NONE,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,DESERT,30-44,30-39,IND/OTHER,30-39,NO,WHITE,NONE,,,0.587
NATIONAL WHITE,3.0,5.0,16.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,KYL,APPROVE,FAVORABLE,GORE,MORE,MEDICARE/RX,CLINTON,SAME,APP/FAV,,DEMOCRAT,COLGRAD,PROTESTANT,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,DESERT,60+,60+,DEMOCRAT,50-64,NO,WHITE,PROT/CHRIST,,,1.292
NATIONAL WHITE,3.0,5.0,17.0,SECOND CALL,60-64,HISP,FEMALE,GORE,OTHER,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,75-100K,MODERATE,18-64,NATIONAL,COMPLETE,DESERT,60+,60+,DEMOCRAT,50-64,YES,HISP,CATHOLIC,,,0.911
