VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,TIME,CLINTON,BCPERSON,XWAY2000,GOVTDO,CUBAN3,SIZEPLC3,ISSUE,QUAL,X6VOTE,ENVIRON,UNFAIR,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,QRACE,REL5,PRESKNOW,JEBBUSH,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,10.0,1.0,11.0,FIRST CALL,60-64,WHITE,MALE,GORE,NELSON,BEFORE,OMITS,OMITS,OMITS,LESS,NO,SUBURBS,SOCIALSECUR,COMPLEXISSUE,OMITS,PROENVIR,BUSHDID,OMITS,,,,SUBURBS,,,OMITS,,,,,18-64,OMITS,STATE,NOTCOMPLETE,NORTH,60+,60+,,50-64,WHITE,,OMITS,UNFAVORABLE,OMITS,OMITS,,,2.223
STATE ONLY,10.0,1.0,12.0,FIRST CALL,25-29,WHITE,MALE,BUSH,MCCOLLUM,BEFORE,APPROVE,UNFAVORABLE,BUSH,MORE,NO,SUBURBS,WORLDAFFAIRS,LIKEABLE,DOLE,PROENVIR,NEITHERDID,BETTER,APP/UNFAV,YES,REPUBLCN,SUBURBS,COLGRAD,CATHOLIC,NEVER,50-75K,NO,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH,18-29,25-29,REPUBLICAN,25-29,WHITE,CATHOLIC,BOTH,FAVORABLE,BOTH,PERSONALQUAL,,,1.694
STATE ONLY,10.0,1.0,13.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,MCCOLLUM,LAST.3DAYS,DISAPPR,UNFAVORABLE,BUSH,MORE,NO,SUBURBS,EDUCATION,HONEST,NOVOTE,PROENVIR,NEITHERDID,SAME,DIS/UNFAV,YES,INDEPEND,SUBURBS,SOMCOL/ASSOC,NONE,AFEWAYEAR,LESS15K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH,18-29,18-24,IND/OTHER,18-24,WHITE,NONE,ONLYBUSH,FAVORABLE,NEITHER,PERSONALQUAL,,,1.677
STATE ONLY,10.0,1.0,14.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,SUBURBS,SOCIALSECUR,HONEST,CLINTON,PROENVIR,GOREDID,SAME,DIS/UNFAV,YES,INDEPEND,SUBURBS,HSGRAD,OTHERCHRIST,AFEWAYEAR,30-50K,NO,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH,30-44,30-39,IND/OTHER,30-39,WHITE,PROT/CHRIST,ONLYBUSH,FAVORABLE,ONLYGORE,ISSUES,,,1.681
STATE ONLY,10.0,1.0,15.0,SECOND CALL,40-44,WHITE,MALE,BUSH,MCCOLLUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,SUBURBS,ECON/JOBS,COMPLEXISSUE,DOLE,OMITS,BOTHDID,SAME,DIS/UNFAV,YES,REPUBLCN,SUBURBS,HSGRAD,ELSE,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,OMITS,STATE,COMPLETE,NORTH,30-44,40-49,REPUBLICAN,40-49,WHITE,OTHER,ONLYBUSH,FAVORABLE,BOTH,ISSUES,,,1.693
STATE ONLY,10.0,1.0,16.0,SECOND CALL,50-59,HISP,FEMALE,BUSH,MCCOLLUM,BEFORE,APPROVE,FAVORABLE,BUSH,LESS,OTHERHISP,SUBURBS,TAXES,CARES,CLINTON,PROENVIR,GOREDID,BETTER,APP/FAV,NO,REPUBLCN,SUBURBS,NOHS,PROTESTANT,NEVER,OVER100K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH,45-59,50-59,REPUBLICAN,50-64,WHITE,PROT/CHRIST,ONLYBUSH,FAVORABLE,BOTH,ISSUES,,,1.6420000000000001
STATE ONLY,10.0,1.0,17.0,SECOND CALL,18-24,WHITE,FEMALE,GORE,,LASTWEEK,APPROVE,FAVORABLE,GORE,MORE,NO,SUBURBS,HEALTHCARE,EXPERIENCE,NOVOTE,PROENVIR,NEITHERDID,BETTER,APP/FAV,YES,INDEPEND,SUBURBS,SOMCOL/ASSOC,NONE,AFEWAYEAR,LESS15K,NO,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH,18-29,18-24,IND/OTHER,18-24,WHITE,NONE,BOTH,OMITS,ONLYBUSH,ISSUES,,,1.738
STATE ONLY,10.0,1.0,18.0,SECOND CALL,50-59,WHITE,MALE,BUSH,MCCOLLUM,LAST.3DAYS,APPROVE,FAVORABLE,WOULDNOTVOTE,MORE,NO,SUBURBS,EDUCATION,GOODJUDGMENT,NOVOTE,PROGRWTH,NEITHERDID,OMITS,APP/FAV,NO,INDEPEND,SUBURBS,HSGRAD,OTHERCHRIST,NEVER,30-50K,,NO,LIBERAL,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH,45-59,50-59,IND/OTHER,50-64,WHITE,PROT/CHRIST,BOTH,FAVORABLE,BOTH,PERSONALQUAL,,,1.693
STATE ONLY,10.0,1.0,19.0,SECOND CALL,25-29,WHITE,MALE,GORE,NELSON,BEFORE,APPROVE,FAVORABLE,GORE,LESS,NO,SUBURBS,WORLDAFFAIRS,EXPERIENCE,NOVOTE,PROENVIR,BUSHDID,BETTER,APP/FAV,YES,INDEPEND,SUBURBS,SOMCOL/ASSOC,NONE,NEVER,30-50K,NO,NO,LIBERAL,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH,18-29,25-29,IND/OTHER,25-29,WHITE,NONE,ONLYGORE,UNFAVORABLE,ONLYBUSH,ISSUES,,,1.742
STATE ONLY,10.0,1.0,20.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,NELSON,BEFORE,APPROVE,UNFAVORABLE,GORE,MORE,NO,SUBURBS,HEALTHCARE,EXPERIENCE,PEROT,PROENVIR,BUSHDID,BETTER,APP/UNFAV,NO,INDEPEND,SUBURBS,COLGRAD,CATHOLIC,NEVER,50-75K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH,45-59,50-59,IND/OTHER,50-64,WHITE,CATHOLIC,ONLYGORE,UNFAVORABLE,NEITHER,ISSUES,,,1.726
STATE ONLY,10.0,1.0,21.0,SECOND CALL,50-59,BLACK,,GORE,NELSON,BEFORE,APPROVE,OMITS,GORE,MORE,,SUBURBS,SOCIALSECUR,HONEST,CLINTON,PROGRWTH,GOREDID,BETTER,OMITS,NO,DEMOCRAT,SUBURBS,HSGRAD,OTHERCHRIST,ONCEAWEEK,50-75K,,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH,45-59,50-59,DEMOCRAT,50-64,BLACK,PROT/CHRIST,ONLYGORE,UNFAVORABLE,ONLYGORE,PERSONALQUAL,,,1.691
STATE ONLY,10.0,1.0,22.0,SECOND CALL,40-44,WHITE,MALE,BUCHANAN,MCCOLLUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,SUBURBS,EDUCATION,CARES,NOVOTE,PROENVIR,GOREDID,SAME,DIS/UNFAV,YES,REPUBLCN,SUBURBS,HSGRAD,OTHERCHRIST,MORETHAN1AWK,30-50K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH,30-44,40-49,REPUBLICAN,40-49,WHITE,PROT/CHRIST,BOTH,FAVORABLE,ONLYGORE,ISSUES,,,0.773
STATE ONLY,10.0,1.0,23.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,NELSON,LAST.3DAYS,APPROVE,UNFAVORABLE,GORE,LESS,NO,SUBURBS,ECON/JOBS,CARES,CLINTON,PROENVIR,BOTHDID,BETTER,APP/UNFAV,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,30-50K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH,30-44,30-39,DEMOCRAT,30-39,WHITE,PROT/CHRIST,ONLYGORE,FAVORABLE,ONLYBUSH,ISSUES,,,1.726
STATE ONLY,10.0,1.0,24.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,MCCOLLUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,SUBURBS,ECON/JOBS,COMPLEXISSUE,DOLE,PROENVIR,BOTHDID,SAME,DIS/UNFAV,NO,REPUBLCN,SUBURBS,COLGRAD,PROTESTANT,MORETHAN1AWK,50-75K,YES,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH,45-59,50-59,REPUBLICAN,50-64,WHITE,PROT/CHRIST,BOTH,FAVORABLE,BOTH,PERSONALQUAL,,,1.676
STATE ONLY,10.0,1.0,25.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,LOGAN,LAST.3DAYS,APPROVE,UNFAVORABLE,BUSH,LESS,NO,SUBURBS,EDUCATION,EXPERIENCE,DOLE,PROENVIR,GOREDID,SAME,APP/UNFAV,YES,INDEPEND,SUBURBS,POSTGRAD,PROTESTANT,ONCEAWEEK,50-75K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH,45-59,50-59,IND/OTHER,50-64,WHITE,PROT/CHRIST,BOTH,FAVORABLE,ONLYGORE,ISSUES,,,1.405
STATE ONLY,10.0,1.0,26.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,MCCOLLUM,BEFORE,APPROVE,UNFAVORABLE,BUSH,LESS,NO,SUBURBS,MEDICARE/RX,STRONGLEADER,DOLE,PROENVIR,NEITHERDID,BETTER,APP/UNFAV,YES,REPUBLCN,SUBURBS,HSGRAD,PROTESTANT,MORETHAN1AWK,OVER100K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH,30-44,40-49,REPUBLICAN,40-49,WHITE,PROT/CHRIST,BOTH,FAVORABLE,NEITHER,ISSUES,,,1.676
STATE ONLY,10.0,1.0,27.0,THIRD CALL,40-44,WHITE,MALE,BUSH,NELSON,LAST.MONTH,APPROVE,FAVORABLE,BUSH,LESS,NO,SUBURBS,WORLDAFFAIRS,GOODJUDGMENT,PEROT,OMITS,BOTHDID,SAME,APP/FAV,YES,INDEPEND,SUBURBS,SOMCOL/ASSOC,PROTESTANT,NEVER,15-30K,NO,YES,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH,30-44,40-49,IND/OTHER,40-49,WHITE,PROT/CHRIST,ONLYBUSH,UNFAVORABLE,ONLYGORE,PERSONALQUAL,,,1.685
STATE ONLY,10.0,1.0,28.0,THIRD CALL,40-44,WHITE,MALE,GORE,NELSON,LAST.3DAYS,APPROVE,FAVORABLE,GORE,MORE,NO,SUBURBS,ECON/JOBS,HONEST,CLINTON,PROENVIR,NEITHERDID,BETTER,APP/FAV,YES,DEMOCRAT,SUBURBS,HSGRAD,CATHOLIC,ONCEAWEEK,15-30K,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH,30-44,40-49,DEMOCRAT,40-49,WHITE,CATHOLIC,ONLYGORE,UNFAVORABLE,BOTH,ISSUES,,,1.742
STATE ONLY,10.0,1.0,29.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MORE,NO,SUBURBS,EDUCATION,STRONGLEADER,CLINTON,PROENVIR,NEITHERDID,SAME,DIS/UNFAV,NO,REPUBLCN,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,15-30K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH,30-44,30-39,REPUBLICAN,30-39,WHITE,PROT/CHRIST,ONLYBUSH,FAVORABLE,NEITHER,PERSONALQUAL,,,1.681
STATE ONLY,10.0,1.0,30.0,THIRD CALL,50-59,WHITE,MALE,BUSH,MCCOLLUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,SUBURBS,TAXES,HONEST,DOLE,PROGRWTH,NEITHERDID,WORSE,DIS/UNFAV,YES,INDEPEND,SUBURBS,NOHS,OTHERCHRIST,MORETHAN1AWK,15-30K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH,45-59,50-59,IND/OTHER,50-64,WHITE,PROT/CHRIST,ONLYBUSH,FAVORABLE,ONLYGORE,ISSUES,,,1.693
STATE ONLY,10.0,1.0,31.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MORE,NO,SUBURBS,OMITS,OMITS,PEROT,OMITS,NEITHERDID,BETTER,DIS/UNFAV,YES,INDEPEND,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,30-50K,YES,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH,30-44,40-49,IND/OTHER,40-49,WHITE,PROT/CHRIST,ONLYBUSH,FAVORABLE,NEITHER,OMITS,,,1.681
STATE ONLY,10.0,1.0,32.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,MCCOLLUM,LASTWEEK,DISAPPR,UNFAVORABLE,BUSH,MORE,NO,SUBURBS,WORLDAFFAIRS,STRONGLEADER,CLINTON,PROENVIR,NEITHERDID,BETTER,DIS/UNFAV,NO,INDEPEND,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,30-50K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH,30-44,30-39,IND/OTHER,30-39,WHITE,PROT/CHRIST,ONLYBUSH,FAVORABLE,BOTH,ISSUES,,,1.676
STATE ONLY,10.0,1.0,33.0,THIRD CALL,40-44,WHITE,MALE,GORE,NELSON,BEFORE,OMITS,OMITS,OMITS,MORE,NO,SUBURBS,EDUCATION,CARES,OMITS,PROGRWTH,BOTHDID,OMITS,,,,SUBURBS,,,OMITS,,,,,18-64,OMITS,STATE,NOTCOMPLETE,NORTH,30-44,40-49,,40-49,WHITE,,OMITS,FAVORABLE,OMITS,OMITS,,,1.742
STATE ONLY,10.0,1.0,34.0,THIRD CALL,30-39,WHITE,MALE,BUSH,NELSON,LASTWEEK,APPROVE,FAVORABLE,BUSH,LESS,NO,SUBURBS,ECON/JOBS,EXPERIENCE,NOVOTE,PROENVIR,BOTHDID,BETTER,APP/FAV,YES,INDEPEND,SUBURBS,HSGRAD,CATHOLIC,NEVER,30-50K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH,30-44,30-39,IND/OTHER,30-39,WHITE,CATHOLIC,ONLYBUSH,FAVORABLE,BOTH,PERSONALQUAL,,,1.685
STATE ONLY,10.0,5.0,1.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,NELSON,BEFORE,APPROVE,FAVORABLE,GORE,MORE,NO,CITYOVER50K,OMITS,STRONGLEADER,CLINTON,PROGRWTH,NEITHERDID,BETTER,APP/FAV,YES,DEMOCRAT,50-500K,POSTGRAD,PROTESTANT,AFEWAMONTH,50-75K,NO,NO,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH,18-29,25-29,DEMOCRAT,25-29,WHITE,PROT/CHRIST,ONLYGORE,UNFAVORABLE,ONLYBUSH,PERSONALQUAL,,,1.232
STATE ONLY,10.0,5.0,2.0,FIRST CALL,40-44,BLACK,MALE,GORE,NELSON,BEFORE,APPROVE,FAVORABLE,GORE,MORE,NO,CITYOVER50K,WORLDAFFAIRS,OMITS,CLINTON,PROENVIR,NEITHERDID,BETTER,APP/FAV,YES,DEMOCRAT,50-500K,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,30-50K,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH,30-44,40-49,DEMOCRAT,40-49,BLACK,PROT/CHRIST,ONLYGORE,UNFAVORABLE,NEITHER,PERSONALQUAL,,,1.219
STATE ONLY,10.0,5.0,3.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,MCCOLLUM,BEFORE,APPROVE,UNFAVORABLE,BUSH,LESS,NO,CITYOVER50K,HEALTHCARE,HONEST,DOLE,PROENVIR,GOREDID,BETTER,APP/UNFAV,YES,REPUBLCN,50-500K,COLGRAD,PROTESTANT,AFEWAYEAR,OVER100K,YES,NO,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH,45-59,40-49,REPUBLICAN,40-49,WHITE,PROT/CHRIST,ONLYBUSH,FAVORABLE,ONLYGORE,ISSUES,,,1.195
STATE ONLY,10.0,5.0,4.0,FIRST CALL,25-29,WHITE,MALE,BUSH,MCCOLLUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,CITYOVER50K,TAXES,HONEST,NOVOTE,PROGRWTH,NEITHERDID,BETTER,DIS/UNFAV,YES,REPUBLCN,50-500K,COLGRAD,OTHERCHRIST,AFEWAYEAR,50-75K,YES,NO,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH,18-29,25-29,REPUBLICAN,25-29,WHITE,PROT/CHRIST,ONLYBUSH,FAVORABLE,ONLYGORE,PERSONALQUAL,,,1.208
STATE ONLY,10.0,5.0,5.0,FIRST CALL,25-29,HISP,MALE,GORE,NELSON,BEFORE,APPROVE,FAVORABLE,GORE,MORE,OTHERHISP,CITYOVER50K,WORLDAFFAIRS,COMPLEXISSUE,CLINTON,PROENVIR,BUSHDID,BETTER,APP/FAV,YES,DEMOCRAT,50-500K,POSTGRAD,CATHOLIC,AFEWAYEAR,LESS15K,YES,YES,LIBERAL,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH,18-29,25-29,DEMOCRAT,25-29,HISP,CATHOLIC,ONLYGORE,UNFAVORABLE,ONLYBUSH,ISSUES,,,1.219
STATE ONLY,10.0,5.0,6.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,NELSON,BEFORE,OMITS,OMITS,OMITS,OMITS,NO,CITYOVER50K,HEALTHCARE,COMPLEXISSUE,OMITS,PROENVIR,BOTHDID,OMITS,,,,50-500K,,,OMITS,,,,,65+,OMITS,STATE,NOTCOMPLETE,NORTH,60+,60+,,65+,WHITE,,OMITS,UNFAVORABLE,OMITS,OMITS,,,1.573
STATE ONLY,10.0,5.0,7.0,FIRST CALL,50-59,WHITE,,BUSH,MCCOLLUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,CITYOVER50K,MEDICARE/RX,GOODJUDGMENT,DOLE,PROENVIR,NEITHERDID,BETTER,DIS/UNFAV,YES,DEMOCRAT,50-500K,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,30-50K,NO,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH,45-59,50-59,DEMOCRAT,50-64,WHITE,PROT/CHRIST,BOTH,FAVORABLE,BOTH,PERSONALQUAL,,,1.208
STATE ONLY,10.0,5.0,8.0,FIRST CALL,30-39,WHITE,MALE,GORE,NELSON,LAST.MONTH,DISAPPR,FAVORABLE,BUSH,MORE,NO,CITYOVER50K,TAXES,EXPERIENCE,CLINTON,PROENVIR,BOTHDID,SAME,DIS/FAV,YES,REPUBLCN,50-500K,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,30-50K,YES,YES,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH,30-44,30-39,REPUBLICAN,30-39,WHITE,PROT/CHRIST,ONLYGORE,UNFAVORABLE,BOTH,PERSONALQUAL,,,1.244
STATE ONLY,10.0,5.0,9.0,FIRST CALL,30-39,WHITE,MALE,BUSH,NELSON,LAST.3DAYS,APPROVE,FAVORABLE,BUSH,LESS,NO,CITYOVER50K,EDUCATION,OMITS,DOLE,PROENVIR,BOTHDID,SAME,APP/FAV,YES,INDEPEND,50-500K,POSTGRAD,OTHERCHRIST,AFEWAYEAR,50-75K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH,30-44,30-39,IND/OTHER,30-39,WHITE,PROT/CHRIST,BOTH,FAVORABLE,BOTH,ISSUES,,,1.202
STATE ONLY,10.0,5.0,10.0,FIRST CALL,25-29,WHITE,MALE,GORE,NELSON,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,LESS,NO,CITYOVER50K,WORLDAFFAIRS,EXPERIENCE,NOVOTE,PROGRWTH,NEITHERDID,WORSE,APP/UNFAV,YES,INDEPEND,50-500K,POSTGRAD,JEWISH,NEVER,30-50K,NO,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH,18-29,25-29,IND/OTHER,25-29,WHITE,JEWISH,ONLYBUSH,UNFAVORABLE,BOTH,PERSONALQUAL,,,1.244
