VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,ISSUE,QUAL,RELRIGHT,X6VOTE,FINSIT,JOBPERS,GORETN,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,43.0,14.0,16.0,SECOND CALL,18-24,WHITE,MALE,BUSH,FRIST,DISAPPR,UNFAVORABLE,BUSH,LESS,ECON/JOBS,HONEST,NO,OMITS,SAME,DIS/UNFAV,NOTATALL,REPUBLCN,,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,1.778
STATE ONLY,43.0,14.0,17.0,SECOND CALL,40-44,WHITE,MALE,GORE,CLARK,APPROVE,UNFAVORABLE,GORE,LESS,HEALTHCARE,CARES,NO,CLINTON,BETTER,APP/UNFAV,VERYIMP,INDEPEND,NOHS,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.579
STATE ONLY,43.0,14.0,18.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,FRIST,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,GOODJUDGMENT,NO,CLINTON,BETTER,APP/FAV,NOTTOOIMP,INDEPEND,POSTGRAD,NONE,75-100K,LIBERAL,18-64,STATE,COMPLETE,CENTRAL/WEST,30-44,40-49,IND/OTHER,40-49,NONE,,,1.625
STATE ONLY,43.0,14.0,19.0,SECOND CALL,50-59,WHITE,MALE,GORE,FRIST,APPROVE,UNFAVORABLE,GORE,MORE,HEALTHCARE,HONEST,YES,CLINTON,SAME,APP/UNFAV,NOTTOOIMP,DEMOCRAT,,CATHOLIC,,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,1.74
STATE ONLY,43.0,14.0,20.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,CLARK,APPROVE,UNFAVORABLE,GORE,LESS,HEALTHCARE,COMPLEXISSUE,NO,CLINTON,BETTER,APP/UNFAV,NOTTOOIMP,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,1.3840000000000001
STATE ONLY,43.0,14.0,21.0,SECOND CALL,65-74,,MALE,GORE,CLARK,APPROVE,FAVORABLE,GORE,MORE,SOCIALSECUR,CARES,NO,CLINTON,BETTER,APP/FAV,VERYIMP,DEMOCRAT,NOHS,OTHERCHRIST,LESS15K,MODERATE,65+,STATE,COMPLETE,CENTRAL/WEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.482
STATE ONLY,43.0,14.0,22.0,SECOND CALL,30-39,WHITE,MALE,GORE,FRIST,APPROVE,UNFAVORABLE,GORE,LESS,WORLDAFFAIRS,EXPERIENCE,NO,DOLE,BETTER,APP/UNFAV,NOTTOOIMP,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,CENTRAL/WEST,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,1.74
STATE ONLY,43.0,14.0,23.0,SECOND CALL,40-44,,FEMALE,GORE,CLARK,APPROVE,UNFAVORABLE,GORE,LESS,WORLDAFFAIRS,GOODJUDGMENT,NO,CLINTON,BETTER,APP/UNFAV,NOTTOOIMP,DEMOCRAT,HSGRAD,ELSE,15-30K,LIBERAL,18-64,STATE,COMPLETE,CENTRAL/WEST,30-44,40-49,DEMOCRAT,40-49,OTHER,,,1.474
STATE ONLY,43.0,14.0,24.0,SECOND CALL,30-39,WHITE,MALE,BUSH,FRIST,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,STRONGLEADER,YES,DOLE,BETTER,DIS/UNFAV,NOTATALL,REPUBLCN,HSGRAD,PROTESTANT,50-75K,CONSERV,18-64,STATE,COMPLETE,CENTRAL/WEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.7570000000000001
STATE ONLY,43.0,14.0,25.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,FRIST,APPROVE,FAVORABLE,GORE,OMITS,OMITS,STRONGLEADER,OMITS,CLINTON,BETTER,APP/FAV,VERYIMP,DEMOCRAT,HSGRAD,PROTESTANT,,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,1.524
STATE ONLY,43.0,14.0,26.0,SECOND CALL,65-74,,FEMALE,GORE,,APPROVE,OMITS,GORE,OMITS,WORLDAFFAIRS,OMITS,NO,OMITS,BETTER,OMITS,NOTATALL,INDEPEND,,PROTESTANT,30-50K,LIBERAL,65+,STATE,COMPLETE,CENTRAL/WEST,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.5050000000000001
STATE ONLY,43.0,14.0,27.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,FRIST,APPROVE,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,GOODJUDGMENT,YES,NOVOTE,SAME,APP/UNFAV,NOTATALL,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.639
STATE ONLY,43.0,14.0,28.0,SECOND CALL,50-59,WHITE,MALE,BUSH,FRIST,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,CARES,YES,PEROT,WORSE,DIS/UNFAV,NOTATALL,INDEPEND,HSGRAD,OTHERCHRIST,LESS15K,CONSERV,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.7570000000000001
STATE ONLY,43.0,14.0,29.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,FRIST,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,GOODJUDGMENT,NO,PEROT,WORSE,DIS/UNFAV,NOTATALL,REPUBLCN,COLGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,1.659
STATE ONLY,43.0,14.0,30.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,FRIST,APPROVE,FAVORABLE,GORE,MORE,MEDICARE/RX,CARES,NO,CLINTON,BETTER,APP/FAV,NOTTOOIMP,DEMOCRAT,HSGRAD,NONE,50-75K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,18-29,25-29,DEMOCRAT,25-29,NONE,,,1.6440000000000001
STATE ONLY,43.0,14.0,31.0,THIRD CALL,50-59,WHITE,MALE,BUSH,FRIST,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,STRONGLEADER,NO,DOLE,BETTER,DIS/UNFAV,NOTATALL,REPUBLCN,POSTGRAD,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.7570000000000001
STATE ONLY,43.0,14.0,32.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,CLARK,APPROVE,UNFAVORABLE,GORE,MORE,HEALTHCARE,COMPLEXISSUE,NO,CLINTON,BETTER,APP/UNFAV,SOMEWHAT,DEMOCRAT,COLGRAD,OTHERCHRIST,75-100K,LIBERAL,18-64,STATE,COMPLETE,CENTRAL/WEST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.474
STATE ONLY,43.0,14.0,33.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,FRIST,DISAPPR,UNFAVORABLE,BUSH,LESS,HEALTHCARE,GOODJUDGMENT,YES,CLINTON,SAME,DIS/UNFAV,NOTATALL,INDEPEND,HSGRAD,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.639
STATE ONLY,43.0,14.0,34.0,THIRD CALL,50-59,WHITE,MALE,BUSH,FRIST,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,HONEST,YES,DOLE,SAME,DIS/UNFAV,NOTATALL,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,CONSERV,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.7570000000000001
STATE ONLY,43.0,14.0,35.0,THIRD CALL,50-59,WHITE,MALE,GORE,FRIST,APPROVE,FAVORABLE,GORE,MORE,OMITS,OMITS,NO,CLINTON,BETTER,APP/FAV,NOTATALL,ELSE,COLGRAD,PROTESTANT,30-50K,,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.74
STATE ONLY,43.0,14.0,36.0,THIRD CALL,18-24,WHITE,MALE,GORE,FRIST,APPROVE,FAVORABLE,GORE,MORE,TAXES,GOODJUDGMENT,NO,CLINTON,SAME,APP/FAV,NOTTOOIMP,DEMOCRAT,HSGRAD,OTHERCHRIST,30-50K,LIBERAL,18-64,STATE,COMPLETE,CENTRAL/WEST,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,1.7610000000000001
STATE ONLY,43.0,14.0,37.0,THIRD CALL,30-39,WHITE,MALE,BUSH,FRIST,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,CARES,YES,DOLE,SAME,DIS/UNFAV,NOTATALL,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.7570000000000001
STATE ONLY,43.0,14.0,38.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,CLARK,APPROVE,UNFAVORABLE,GORE,MORE,EDUCATION,COMPLEXISSUE,NO,CLINTON,BETTER,APP/UNFAV,SOMEWHAT,DEMOCRAT,POSTGRAD,JEWISH,50-75K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,50-59,DEMOCRAT,50-64,JEWISH,,,1.474
STATE ONLY,43.0,14.0,39.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,FRIST,APPROVE,UNFAVORABLE,BUSH,LESS,TAXES,HONEST,YES,CLINTON,BETTER,APP/UNFAV,NOTATALL,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.639
STATE ONLY,43.0,14.0,40.0,THIRD CALL,18-24,WHITE,FEMALE,NADER,FRIST,APPROVE,UNFAVORABLE,GORE,LESS,EDUCATION,LIKEABLE,NO,NOVOTE,BETTER,APP/UNFAV,NOTATALL,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,CENTRAL/WEST,18-29,18-24,DEMOCRAT,18-24,CATHOLIC,,,1.599
STATE ONLY,43.0,14.0,41.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,FRIST,DISAPPR,UNFAVORABLE,BUSH,MORE,EDUCATION,GOODJUDGMENT,YES,DOLE,SAME,DIS/UNFAV,NOTATALL,DEMOCRAT,HSGRAD,PROTESTANT,50-75K,CONSERV,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.639
STATE ONLY,43.0,14.0,42.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,FRIST,DISAPPR,UNFAVORABLE,BUSH,LESS,EDUCATION,STRONGLEADER,YES,NOVOTE,SAME,DIS/UNFAV,NOTATALL,REPUBLCN,COLGRAD,PROTESTANT,50-75K,CONSERV,18-64,STATE,COMPLETE,CENTRAL/WEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.639
STATE ONLY,43.0,18.0,1.0,FIRST CALL,30-39,BLACK,MALE,GORE,FRIST,OMITS,OMITS,OMITS,MORE,HEALTHCARE,CARES,NO,OMITS,OMITS,,VERYIMP,,,,,,18-64,STATE,NOTCOMPLETE,CENTRAL/WEST,30-44,30-39,,30-39,,,,0.28400000000000003
STATE ONLY,43.0,18.0,2.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,FRIST,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,GOODJUDGMENT,YES,CLINTON,BETTER,APP/FAV,VERYIMP,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,50-75K,LIBERAL,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.265
STATE ONLY,43.0,18.0,3.0,FIRST CALL,50-59,WHITE,MALE,BUSH,FRIST,APPROVE,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,STRONGLEADER,NO,DOLE,BETTER,APP/UNFAV,NOTATALL,REPUBLCN,POSTGRAD,JEWISH,30-50K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,50-59,REPUBLICAN,50-64,JEWISH,,,0.315
STATE ONLY,43.0,18.0,4.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,FRIST,APPROVE,FAVORABLE,GORE,LESS,ECON/JOBS,COMPLEXISSUE,NO,CLINTON,SAME,APP/FAV,VERYIMP,DEMOCRAT,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.265
STATE ONLY,43.0,18.0,5.0,FIRST CALL,30-39,BLACK,MALE,GORE,CLARK,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,CARES,NO,CLINTON,BETTER,APP/FAV,NOTTOOIMP,DEMOCRAT,COLGRAD,OTHERCHRIST,75-100K,LIBERAL,18-64,STATE,COMPLETE,CENTRAL/WEST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.259
STATE ONLY,43.0,18.0,6.0,FIRST CALL,65-74,BLACK,FEMALE,GORE,CLARK,APPROVE,FAVORABLE,GORE,MORE,SOCIALSECUR,CARES,YES,CLINTON,BETTER,APP/FAV,VERYIMP,DEMOCRAT,HSGRAD,OTHERCHRIST,30-50K,MODERATE,65+,STATE,COMPLETE,CENTRAL/WEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.225
STATE ONLY,43.0,18.0,7.0,FIRST CALL,30-39,BLACK,MALE,GORE,CLARK,OMITS,OMITS,OMITS,MORE,SOCIALSECUR,EXPERIENCE,YES,OMITS,BETTER,OMITS,NOTATALL,,HSGRAD,OTHERCHRIST,30-50K,,18-64,STATE,COMPLETE,CENTRAL/WEST,30-44,30-39,,30-39,PROT/CHRIST,,,0.259
STATE ONLY,43.0,18.0,8.0,FIRST CALL,60-64,BLACK,FEMALE,GORE,CLARK,OMITS,OMITS,OMITS,MORE,HEALTHCARE,CARES,YES,OMITS,OMITS,,VERYIMP,,,,,,18-64,STATE,NOTCOMPLETE,CENTRAL/WEST,60+,60+,,50-64,,,,0.225
STATE ONLY,43.0,18.0,9.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,CLARK,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,COMPLEXISSUE,NO,CLINTON,BETTER,APP/FAV,VERYIMP,DEMOCRAT,COLGRAD,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.24
STATE ONLY,43.0,18.0,10.0,FIRST CALL,40-44,BLACK,MALE,GORE,FRIST,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,CARES,YES,CLINTON,BETTER,APP/FAV,NOTTOOIMP,DEMOCRAT,POSTGRAD,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.28400000000000003
STATE ONLY,43.0,18.0,11.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,FRIST,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,STRONGLEADER,YES,NOVOTE,WORSE,DIS/UNFAV,NOTATALL,REPUBLCN,COLGRAD,OTHERCHRIST,,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.298
STATE ONLY,43.0,18.0,12.0,FIRST CALL,18-24,BLACK,FEMALE,GORE,CLARK,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,STRONGLEADER,NO,NOVOTE,WORSE,APP/FAV,NOTTOOIMP,DEMOCRAT,HSGRAD,OTHERCHRIST,,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.243
STATE ONLY,43.0,18.0,13.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,CLARK,OMITS,OMITS,OMITS,MORE,MEDICARE/RX,CARES,YES,OMITS,OMITS,,VERYIMP,,,,,,18-64,STATE,NOTCOMPLETE,CENTRAL/WEST,45-59,50-59,,50-64,,,,0.24
STATE ONLY,43.0,18.0,14.0,FIRST CALL,30-39,BLACK,FEMALE,GORE,CLARK,APPROVE,FAVORABLE,GORE,OMITS,HEALTHCARE,CARES,NO,CLINTON,BETTER,APP/FAV,NOTTOOIMP,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.24
STATE ONLY,43.0,18.0,15.0,SECOND CALL,18-24,BLACK,MALE,BUSH,FRIST,APPROVE,FAVORABLE,BUSH,MORE,HEALTHCARE,STRONGLEADER,YES,NOVOTE,BETTER,APP/FAV,NOTTOOIMP,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.291
STATE ONLY,43.0,18.0,16.0,SECOND CALL,18-24,,FEMALE,BUSH,CLARK,OMITS,FAVORABLE,BUSH,LESS,SOCIALSECUR,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,REPUBLCN,HSGRAD,,30-50K,LIBERAL,18-64,STATE,COMPLETE,CENTRAL/WEST,18-29,18-24,REPUBLICAN,18-24,,,,0.271
STATE ONLY,43.0,18.0,17.0,SECOND CALL,50-59,BLACK,MALE,GORE,CLARK,DISAPPR,FAVORABLE,BUSH,LESS,ECON/JOBS,COMPLEXISSUE,OMITS,DOLE,BETTER,DIS/FAV,NOTTOOIMP,,SOMCOL/ASSOC,OTHERCHRIST,30-50K,LIBERAL,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,50-59,,50-64,PROT/CHRIST,,,0.259
STATE ONLY,43.0,18.0,18.0,SECOND CALL,30-39,BLACK,FEMALE,GORE,CLARK,OMITS,OMITS,GORE,LESS,ECON/JOBS,LIKEABLE,YES,OMITS,OMITS,OMITS,NOTTOOIMP,REPUBLCN,POSTGRAD,,,,18-64,STATE,COMPLETE,CENTRAL/WEST,30-44,30-39,REPUBLICAN,30-39,,,,0.24
STATE ONLY,43.0,18.0,19.0,SECOND CALL,65-74,BLACK,FEMALE,BUSH,CLARK,DISAPPR,UNFAVORABLE,BUSH,MORE,MEDICARE/RX,EXPERIENCE,NO,OMITS,BETTER,DIS/UNFAV,VERYIMP,DEMOCRAT,HSGRAD,PROTESTANT,LESS15K,MODERATE,65+,STATE,COMPLETE,CENTRAL/WEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.228
STATE ONLY,43.0,18.0,20.0,SECOND CALL,25-29,BLACK,MALE,GORE,CLARK,APPROVE,UNFAVORABLE,BUSH,LESS,MEDICARE/RX,HONEST,NO,DOLE,BETTER,APP/UNFAV,VERYIMP,INDEPEND,HSGRAD,CATHOLIC,15-30K,LIBERAL,18-64,STATE,COMPLETE,CENTRAL/WEST,18-29,25-29,IND/OTHER,25-29,CATHOLIC,,,0.261
STATE ONLY,43.0,18.0,21.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,,DISAPPR,FAVORABLE,BUSH,OMITS,MEDICARE/RX,HONEST,NO,OTHER,BETTER,DIS/FAV,SOMEWHAT,REPUBLCN,HSGRAD,ELSE,LESS15K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,18-29,25-29,REPUBLICAN,25-29,OTHER,,,0.291
