VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,ABORTION,FINSIT,JOBPERS,WORK,MIGRATGA,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,11.0,1.0,11.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,MILLER,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,WORLDAFFAIRS,GOODJUDGMENT,NO,CLINTON,MOSTLGL,BETTER,APP/FAV,NO,NO,DEMOCRAT,RURAL,HSGRAD,PROTESTANT,ONCEAWEEK,30-50K,YES,NO,MODERATE,65+,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,ONLYGORE,NEITHER,PERSONALQUAL,,,1.104
STATE ONLY,11.0,1.0,12.0,SECOND CALL,30-39,WHITE,MALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,ECON/JOBS,HONEST,NO,PEROT,ALWYSILL,BETTER,DIS/UNFAV,YES,NO,INDEPEND,RURAL,HSGRAD,OTHERCHRIST,ONCEAWEEK,30-50K,NO,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,0.545
STATE ONLY,11.0,1.0,13.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,HONEST,YES,DOLE,ALWYSILL,SAME,DIS/UNFAV,NO,NO,REPUBLCN,RURAL,COLGRAD,PROTESTANT,ONCEAWEEK,50-75K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,0.611
STATE ONLY,11.0,1.0,14.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,MILLER,APPROVE,FAVORABLE,BUSH,LESS,SMCITY/RURAL,EDUCATION,STRONGLEADER,YES,PEROT,MOSTILL,SAME,APP/FAV,YES,NO,DEMOCRAT,RURAL,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,15-30K,NO,NO,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH/SOUTH,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,ONLYBUSH,BOTH,PERSONALQUAL,,,0.65
STATE ONLY,11.0,1.0,15.0,SECOND CALL,18-24,WHITE,MALE,BUSH,MATTINGLY,APPROVE,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,WORLDAFFAIRS,GOODJUDGMENT,YES,DOLE,MOSTILL,BETTER,APP/UNFAV,YES,NO,REPUBLCN,RURAL,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,75-100K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,ONLYBUSH,BOTH,PERSONALQUAL,,,0.441
STATE ONLY,11.0,1.0,16.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,HONEST,NO,DOLE,ALWYSILL,SAME,DIS/UNFAV,YES,NO,REPUBLCN,RURAL,COLGRAD,PROTESTANT,ONCEAWEEK,50-75K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,0.611
STATE ONLY,11.0,1.0,17.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,MEDICARE/RX,HONEST,YES,DOLE,MOSTILL,SAME,DIS/UNFAV,NO,NO,REPUBLCN,RURAL,HSGRAD,PROTESTANT,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,0.496
STATE ONLY,11.0,1.0,18.0,SECOND CALL,65-74,WHITE,MALE,BUSH,MILLER,APPROVE,FAVORABLE,BUSH,LESS,SMCITY/RURAL,MEDICARE/RX,GOODJUDGMENT,NO,CLINTON,ALWYSLGL,SAME,APP/FAV,NO,NO,DEMOCRAT,RURAL,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,30-50K,NO,NO,MODERATE,65+,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,BOTH,ONLYGORE,ISSUES,,,0.755
STATE ONLY,11.0,1.0,19.0,SECOND CALL,25-29,WHITE,MALE,BUSH,MILLER,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,LIKEABLE,NO,DOLE,MOSTILL,BETTER,DIS/UNFAV,YES,NO,INDEPEND,RURAL,COLGRAD,NONE,AFEWAYEAR,30-50K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,18-29,25-29,IND/OTHER,25-29,NONE,BOTH,BOTH,PERSONALQUAL,,,0.47100000000000003
STATE ONLY,11.0,1.0,20.0,SECOND CALL,30-39,BLACK,MALE,GORE,MILLER,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,ECON/JOBS,STRONGLEADER,YES,CLINTON,MOSTLGL,WORSE,APP/FAV,YES,YES,DEMOCRAT,RURAL,HSGRAD,OTHERCHRIST,AFEWAYEAR,LESS15K,NO,NO,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,ONLYGORE,ONLYGORE,ISSUES,,,0.628
STATE ONLY,11.0,1.0,21.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,MILLER,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,HONEST,NO,PEROT,MOSTLGL,SAME,DIS/UNFAV,YES,NO,INDEPEND,RURAL,COLGRAD,OTHERCHRIST,ONCEAWEEK,15-30K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,BOTH,ONLYGORE,ISSUES,,,0.529
STATE ONLY,11.0,1.0,22.0,THIRD CALL,18-24,WHITE,MALE,BUSH,MATTINGLY,APPROVE,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,SOCIALSECUR,CARES,YES,PEROT,MOSTILL,BETTER,APP/UNFAV,YES,NO,REPUBLCN,RURAL,HSGRAD,OTHERCHRIST,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,BOTH,ONLYGORE,ISSUES,,,0.441
STATE ONLY,11.0,1.0,23.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,MILLER,DISAPPR,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,OMITS,CARES,YES,PEROT,ALWYSILL,SAME,DIS/UNFAV,YES,NO,DEMOCRAT,RURAL,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,ONLYBUSH,ONLYBUSH,OMITS,,,0.65
STATE ONLY,11.0,1.0,24.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,MILLER,APPROVE,FAVORABLE,BUSH,MORE,SMCITY/RURAL,OMITS,GOODJUDGMENT,NO,CLINTON,MOSTLGL,BETTER,APP/FAV,YES,NO,DEMOCRAT,RURAL,HSGRAD,PROTESTANT,AFEWAYEAR,15-30K,NO,YES,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,ONLYBUSH,BOTH,PERSONALQUAL,,,0.65
STATE ONLY,11.0,1.0,25.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,MILLER,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,HEALTHCARE,EXPERIENCE,NO,CLINTON,MOSTLGL,BETTER,APP/FAV,YES,NO,DEMOCRAT,RURAL,COLGRAD,OTHERCHRIST,AFEWAYEAR,30-50K,NO,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,BOTH,BOTH,ISSUES,,,0.847
STATE ONLY,11.0,1.0,26.0,THIRD CALL,18-24,WHITE,MALE,GORE,MILLER,APPROVE,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,WORLDAFFAIRS,STRONGLEADER,NO,NOVOTE,MOSTILL,BETTER,APP/UNFAV,YES,NO,DEMOCRAT,RURAL,HSGRAD,OTHERCHRIST,AFEWAYEAR,30-50K,NO,NO,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,BOTH,BOTH,PERSONALQUAL,,,0.612
STATE ONLY,11.0,1.0,27.0,THIRD CALL,18-24,WHITE,MALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,STRONGLEADER,NO,NOVOTE,ALWYSILL,SAME,DIS/UNFAV,YES,NO,REPUBLCN,RURAL,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,15-30K,NO,YES,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,0.441
STATE ONLY,11.0,1.0,28.0,THIRD CALL,30-39,WHITE,MALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,SOCIALSECUR,STRONGLEADER,YES,DOLE,ALWYSILL,SAME,DIS/UNFAV,YES,NO,ELSE,RURAL,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,0.545
STATE ONLY,11.0,1.0,29.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,MEDICARE/RX,CARES,NO,CLINTON,ALWYSLGL,WORSE,DIS/UNFAV,YES,NO,DEMOCRAT,RURAL,HSGRAD,OTHERCHRIST,AFEWAMONTH,30-50K,YES,YES,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,BOTH,ONLYGORE,ISSUES,,,0.611
STATE ONLY,11.0,1.0,30.0,THIRD CALL,30-39,WHITE,MALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,HONEST,YES,DOLE,ALWYSILL,BETTER,DIS/UNFAV,YES,NO,INDEPEND,RURAL,COLGRAD,PROTESTANT,ONCEAWEEK,OVER100K,YES,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,0.545
STATE ONLY,11.0,1.0,31.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,OMITS,HONEST,YES,DOLE,ALWYSILL,BETTER,DIS/UNFAV,YES,NO,REPUBLCN,RURAL,POSTGRAD,PROTESTANT,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,0.611
STATE ONLY,11.0,1.0,32.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,MILLER,DISAPPR,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,MEDICARE/RX,GOODJUDGMENT,OMITS,NOVOTE,MOSTLGL,SAME,DIS/UNFAV,NO,YES,DEMOCRAT,RURAL,HSGRAD,OTHERCHRIST,ONCEAWEEK,,YES,NO,,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,0.65
STATE ONLY,11.0,1.0,33.0,THIRD CALL,30-39,WHITE,MALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,WORLDAFFAIRS,GOODJUDGMENT,YES,DOLE,ALWYSILL,SAME,DIS/UNFAV,YES,NO,INDEPEND,RURAL,HSGRAD,OTHERCHRIST,MORETHAN1AWK,15-30K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,BOTH,BOTH,ISSUES,,,0.545
STATE ONLY,11.0,1.0,34.0,THIRD CALL,18-24,WHITE,MALE,GORE,MILLER,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,ECON/JOBS,EXPERIENCE,NO,CLINTON,MOSTLGL,SAME,APP/FAV,NO,NO,DEMOCRAT,RURAL,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,LESS15K,NO,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,BOTH,BOTH,PERSONALQUAL,,,0.612
STATE ONLY,11.0,1.0,35.0,THIRD CALL,45-49,BLACK,FEMALE,BUSH,MILLER,APPROVE,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,EXPERIENCE,NO,CLINTON,MOSTILL,SAME,APP/UNFAV,YES,YES,,RURAL,SOMCOL/ASSOC,OTHERCHRIST,AFEWAMONTH,30-50K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,45-59,40-49,,40-49,PROT/CHRIST,ONLYBUSH,ONLYBUSH,ISSUES,,,0.541
STATE ONLY,11.0,1.0,36.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,MILLER,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,MEDICARE/RX,EXPERIENCE,NO,NOVOTE,MOSTLGL,SAME,APP/FAV,NO,NO,DEMOCRAT,RURAL,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,LESS15K,NO,NO,LIBERAL,18-64,OTHRPROGRAMS,STATE,COMPLETE,NORTH/SOUTH,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,ONLYGORE,ONLYGORE,PERSONALQUAL,,,0.687
STATE ONLY,11.0,1.0,37.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,MILLER,APPROVE,FAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,LIKEABLE,NO,CLINTON,MOSTLGL,WORSE,APP/FAV,NO,NO,REPUBLCN,RURAL,HSGRAD,PROTESTANT,AFEWAYEAR,50-75K,NO,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,OMITS,BOTH,ISSUES,,,0.65
STATE ONLY,11.0,2.0,1.0,FIRST CALL,30-39,WHITE,MALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,NO,DOLE,MOSTLGL,BETTER,DIS/UNFAV,YES,NO,REPUBLCN,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,75-100K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,1.748
STATE ONLY,11.0,2.0,2.0,FIRST CALL,25-29,WHITE,FEMALE,BUSH,MILLER,APPROVE,FAVORABLE,BUSH,MORE,SUBURBS,EDUCATION,CARES,YES,CLINTON,MOSTLGL,BETTER,APP/FAV,NO,NO,REPUBLCN,SUBURBS,COLGRAD,OTHERCHRIST,ONCEAWEEK,50-75K,YES,YES,LIBERAL,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH/SOUTH,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,BOTH,BOTH,ISSUES,,,1.7
STATE ONLY,11.0,2.0,3.0,FIRST CALL,40-44,WHITE,MALE,BUCHANAN,MILLER,DISAPPR,OMITS,WOULDNOTVOTE,LESS,SUBURBS,TAXES,HONEST,YES,OTHER,MOSTILL,BETTER,OMITS,YES,YES,INDEPEND,SUBURBS,HSGRAD,ELSE,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,30-44,40-49,IND/OTHER,40-49,OTHER,NEITHER,BOTH,PERSONALQUAL,,,1.046
STATE ONLY,11.0,2.0,4.0,FIRST CALL,65-74,WHITE,MALE,GORE,MILLER,APPROVE,OMITS,GORE,MORE,SUBURBS,SOCIALSECUR,COMPLEXISSUE,NO,CLINTON,MOSTLGL,BETTER,OMITS,NO,NO,INDEPEND,SUBURBS,HSGRAD,PROTESTANT,NEVER,15-30K,YES,NO,MODERATE,65+,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,60+,60+,IND/OTHER,65+,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,3.1590000000000003
STATE ONLY,11.0,2.0,5.0,FIRST CALL,30-39,WHITE,MALE,OTHER,MILLER,APPROVE,FAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,CARES,NO,OTHER,ALWYSLGL,SAME,APP/FAV,YES,NO,ELSE,SUBURBS,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,30-50K,YES,YES,LIBERAL,18-64,OTHRPROGRAMS,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,ONLYBUSH,BOTH,ISSUES,,,0.931
STATE ONLY,11.0,2.0,6.0,FIRST CALL,30-39,WHITE,MALE,BUSH,MILLER,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,WORLDAFFAIRS,STRONGLEADER,NO,NOVOTE,MOSTLGL,SAME,DIS/UNFAV,YES,YES,INDEPEND,SUBURBS,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,50-75K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,ONLYBUSH,ONLYBUSH,ISSUES,,,1.865
STATE ONLY,11.0,2.0,7.0,FIRST CALL,50-59,WHITE,MALE,BUSH,MATTINGLY,APPROVE,FAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,STRONGLEADER,NO,CLINTON,MOSTLGL,SAME,APP/FAV,YES,NO,ELSE,SUBURBS,HSGRAD,OTHERCHRIST,AFEWAYEAR,30-50K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,BOTH,NEITHER,ISSUES,,,1.748
STATE ONLY,11.0,2.0,8.0,FIRST CALL,30-39,WHITE,MALE,BUSH,MILLER,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,HONEST,YES,DOLE,ALWYSILL,BETTER,DIS/UNFAV,YES,NO,REPUBLCN,SUBURBS,HSGRAD,PROTESTANT,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,1.865
