VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,FINSIT,JOBPERS,WORK,ROBB,PARTYID,UNFAIRVA,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,TIMEVAS,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,47.0,2.0,11.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,ROBB,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,ECON/JOBS,COMPLEXISSUE,NO,CLINTON,BETTER,APP/FAV,YES,RIGHTAMT,INDEPEND,NEITHERDID,10-50K,COLGRAD,PROTESTANT,NEVER,30-50K,NO,NO,LIBERAL,18-64,SOCIALSECURI,LAST.3DAYS,STATE,COMPLETE,EST/RICHMOND,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,1.149
STATE ONLY,47.0,2.0,12.0,FIRST CALL,50-59,WHITE,MALE,BUSH,ALLEN,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,HONEST,OMITS,DOLE,SAME,DIS/UNFAV,YES,TOOOFTEN,REPUBLCN,BOTHDID,10-50K,POSTGRAD,PROTESTANT,ONCEAWEEK,OVER100K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,BEFORE,STATE,COMPLETE,EST/RICHMOND,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,BOTH,ONLYGORE,PERSONALQUAL,,,1.02
STATE ONLY,47.0,2.0,13.0,SECOND CALL,30-39,WHITE,MALE,BUSH,ALLEN,DISAPPR,UNFAVORABLE,BUSH,OMITS,SMCITY/RURAL,WORLDAFFAIRS,HONEST,NO,DOLE,SAME,DIS/UNFAV,YES,OMITS,ELSE,ROBBDID,10-50K,COLGRAD,PROTESTANT,MORETHAN1AWK,30-50K,YES,YES,MODERATE,18-64,OMITS,BEFORE,STATE,COMPLETE,EST/RICHMOND,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,BOTH,NEITHER,PERSONALQUAL,,,1.02
STATE ONLY,47.0,2.0,14.0,SECOND CALL,18-24,WHITE,FEMALE,NADER,ROBB,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,ECON/JOBS,CARES,NO,CLINTON,BETTER,APP/FAV,NO,RIGHTAMT,DEMOCRAT,NEITHERDID,10-50K,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,30-50K,NO,NO,LIBERAL,18-64,OTHRPROGRAMS,BEFORE,STATE,COMPLETE,EST/RICHMOND,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,NEITHER,BOTH,PERSONALQUAL,,,0.481
STATE ONLY,47.0,2.0,15.0,SECOND CALL,50-59,WHITE,MALE,BUSH,ROBB,APPROVE,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,WORLDAFFAIRS,EXPERIENCE,NO,DOLE,SAME,APP/UNFAV,NO,RIGHTAMT,INDEPEND,BOTHDID,10-50K,COLGRAD,PROTESTANT,AFEWAYEAR,OVER100K,YES,NO,MODERATE,18-64,REDUCNATDEBT,BEFORE,STATE,COMPLETE,EST/RICHMOND,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,BOTH,NEITHER,PERSONALQUAL,,,1.051
STATE ONLY,47.0,2.0,16.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,ALLEN,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,STRONGLEADER,NO,DOLE,SAME,DIS/UNFAV,NO,TOOOFTEN,REPUBLCN,BOTHDID,10-50K,COLGRAD,PROTESTANT,AFEWAYEAR,50-75K,YES,NO,MODERATE,18-64,SOCIALSECURI,LASTWEEK,STATE,COMPLETE,EST/RICHMOND,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,BOTH,ONLYGORE,ISSUES,,,1.623
STATE ONLY,47.0,2.0,17.0,SECOND CALL,40-44,WHITE,MALE,BUSH,ROBB,APPROVE,FAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,EXPERIENCE,NO,CLINTON,BETTER,APP/FAV,YES,RIGHTAMT,REPUBLCN,NEITHERDID,10-50K,POSTGRAD,CATHOLIC,AFEWAYEAR,75-100K,NO,NO,MODERATE,18-64,SOCIALSECURI,LASTWEEK,STATE,COMPLETE,EST/RICHMOND,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,BOTH,NEITHER,PERSONALQUAL,,,1.051
STATE ONLY,47.0,2.0,18.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,ROBB,APPROVE,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,WORLDAFFAIRS,COMPLEXISSUE,NO,CLINTON,SAME,APP/UNFAV,NO,RIGHTAMT,INDEPEND,OMITS,10-50K,COLGRAD,CATHOLIC,AFEWAYEAR,50-75K,YES,NO,MODERATE,18-64,REDUCNATDEBT,BEFORE,STATE,COMPLETE,EST/RICHMOND,60+,60+,IND/OTHER,50-64,CATHOLIC,ONLYGORE,BOTH,ISSUES,,,1.723
STATE ONLY,47.0,2.0,19.0,SECOND CALL,40-44,WHITE,MALE,BUSH,ALLEN,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,HONEST,NO,DOLE,BETTER,DIS/UNFAV,YES,RIGHTAMT,REPUBLCN,ROBBDID,10-50K,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,15-30K,NO,YES,CONSERV,18-64,CUTFEDINCTAX,BEFORE,STATE,COMPLETE,EST/RICHMOND,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,1.02
STATE ONLY,47.0,2.0,20.0,SECOND CALL,75+,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,OMITS,HONEST,NO,DOLE,SAME,DIS/UNFAV,NO,OMITS,INDEPEND,BOTHDID,10-50K,POSTGRAD,PROTESTANT,AFEWAYEAR,OVER100K,YES,NO,MODERATE,65+,CUTFEDINCTAX,OMITS,STATE,COMPLETE,EST/RICHMOND,60+,60+,IND/OTHER,65+,PROT/CHRIST,BOTH,BOTH,PERSONALQUAL,,,1.552
STATE ONLY,47.0,2.0,21.0,SECOND CALL,25-29,,MALE,BUSH,ALLEN,APPROVE,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,HONEST,YES,DOLE,BETTER,APP/UNFAV,YES,RIGHTAMT,REPUBLCN,BOTHDID,10-50K,HSGRAD,CATHOLIC,AFEWAYEAR,15-30K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,LAST.3DAYS,STATE,COMPLETE,EST/RICHMOND,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,ONLYBUSH,ONLYBUSH,ISSUES,,,0.9380000000000001
STATE ONLY,47.0,2.0,22.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,ROBB,OMITS,OMITS,OMITS,LESS,SMCITY/RURAL,OMITS,STRONGLEADER,NO,OMITS,OMITS,,,RIGHTAMT,,BOTHDID,10-50K,,,OMITS,,,,,65+,OMITS,BEFORE,STATE,NOTCOMPLETE,EST/RICHMOND,60+,60+,,65+,,OMITS,OMITS,OMITS,,,1.671
STATE ONLY,47.0,2.0,23.0,SECOND CALL,18-24,WHITE,MALE,BUSH,ALLEN,DISAPPR,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,ECON/JOBS,GOODJUDGMENT,YES,NOVOTE,BETTER,DIS/UNFAV,NO,NOTENOUGH,REPUBLCN,BOTHDID,10-50K,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,,NO,NO,MODERATE,18-64,SOCIALSECURI,LAST.3DAYS,STATE,COMPLETE,EST/RICHMOND,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,BOTH,BOTH,ISSUES,,,0.9380000000000001
STATE ONLY,47.0,2.0,24.0,SECOND CALL,25-29,WHITE,MALE,BUSH,ALLEN,APPROVE,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,CARES,NO,DOLE,BETTER,APP/UNFAV,NO,TOOOFTEN,REPUBLCN,BOTHDID,10-50K,POSTGRAD,PROTESTANT,AFEWAYEAR,50-75K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,BEFORE,STATE,COMPLETE,EST/RICHMOND,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,BOTH,ONLYGORE,ISSUES,,,0.9380000000000001
STATE ONLY,47.0,2.0,25.0,SECOND CALL,75+,WHITE,MALE,OTHER,ROBB,OMITS,OMITS,WOULDNOTVOTE,MORE,SMCITY/RURAL,WORLDAFFAIRS,COMPLEXISSUE,NO,CLINTON,SAME,OMITS,NO,OMITS,INDEPEND,OMITS,10-50K,POSTGRAD,OTHERCHRIST,AFEWAYEAR,50-75K,YES,NO,MODERATE,65+,REDUCNATDEBT,BEFORE,STATE,COMPLETE,EST/RICHMOND,60+,60+,IND/OTHER,65+,PROT/CHRIST,OMITS,NEITHER,ISSUES,,,1.5330000000000001
STATE ONLY,47.0,2.0,26.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,ROBB,APPROVE,UNFAVORABLE,GORE,LESS,SMCITY/RURAL,WORLDAFFAIRS,GOODJUDGMENT,NO,CLINTON,SAME,APP/UNFAV,NO,OMITS,DEMOCRAT,ALLENDID,10-50K,POSTGRAD,NONE,NEVER,OVER100K,NO,YES,MODERATE,18-64,REDUCNATDEBT,BEFORE,STATE,COMPLETE,EST/RICHMOND,45-59,40-49,DEMOCRAT,40-49,NONE,ONLYGORE,BOTH,PERSONALQUAL,,,1.149
STATE ONLY,47.0,2.0,27.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,ROBB,APPROVE,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,HEALTHCARE,GOODJUDGMENT,NO,CLINTON,BETTER,APP/UNFAV,YES,OMITS,INDEPEND,OMITS,10-50K,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,15-30K,NO,YES,LIBERAL,18-64,OTHRPROGRAMS,LAST.3DAYS,STATE,COMPLETE,EST/RICHMOND,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,ONLYGORE,NEITHER,PERSONALQUAL,,,1.149
STATE ONLY,47.0,2.0,28.0,SECOND CALL,25-29,WHITE,MALE,GORE,ROBB,OMITS,OMITS,OMITS,MORE,SMCITY/RURAL,EDUCATION,STRONGLEADER,NO,OMITS,OMITS,,,RIGHTAMT,,BOTHDID,10-50K,,,OMITS,,,,,18-64,OMITS,LAST.MONTH,STATE,NOTCOMPLETE,EST/RICHMOND,18-29,25-29,,25-29,,OMITS,OMITS,OMITS,,,0.994
STATE ONLY,47.0,2.0,29.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,ROBB,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,EDUCATION,COMPLEXISSUE,NO,CLINTON,BETTER,APP/FAV,NO,NOTENOUGH,DEMOCRAT,BOTHDID,10-50K,POSTGRAD,CATHOLIC,ONCEAWEEK,75-100K,NO,NO,LIBERAL,18-64,OTHRPROGRAMS,LAST.MONTH,STATE,COMPLETE,EST/RICHMOND,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,ONLYGORE,BOTH,ISSUES,,,1.055
STATE ONLY,47.0,2.0,30.0,SECOND CALL,30-39,WHITE,MALE,GORE,ROBB,APPROVE,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,SOCIALSECUR,EXPERIENCE,NO,CLINTON,WORSE,APP/UNFAV,NO,RIGHTAMT,INDEPEND,ALLENDID,10-50K,COLGRAD,NONE,NEVER,LESS15K,NO,NO,MODERATE,18-64,SOCIALSECURI,LASTWEEK,STATE,COMPLETE,EST/RICHMOND,30-44,30-39,IND/OTHER,30-39,NONE,ONLYGORE,BOTH,ISSUES,,,1.082
STATE ONLY,47.0,2.0,31.0,SECOND CALL,50-59,WHITE,MALE,BUSH,ALLEN,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,OMITS,HONEST,NO,OMITS,SAME,DIS/UNFAV,YES,TOOOFTEN,INDEPEND,ROBBDID,10-50K,HSGRAD,NONE,NEVER,OVER100K,YES,NO,CONSERV,18-64,REDUCNATDEBT,BEFORE,STATE,COMPLETE,EST/RICHMOND,45-59,50-59,IND/OTHER,50-64,NONE,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,1.02
STATE ONLY,47.0,2.0,32.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,ROBB,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,SOCIALSECUR,COMPLEXISSUE,NO,NOVOTE,BETTER,APP/FAV,YES,RIGHTAMT,DEMOCRAT,OMITS,10-50K,COLGRAD,CATHOLIC,AFEWAYEAR,75-100K,NO,NO,LIBERAL,18-64,CUTFEDINCTAX,LAST.MONTH,STATE,COMPLETE,EST/RICHMOND,18-29,18-24,DEMOCRAT,18-24,CATHOLIC,BOTH,ONLYBUSH,ISSUES,,,1.055
STATE ONLY,47.0,2.0,33.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,ALLEN,APPROVE,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,HEALTHCARE,HONEST,NO,DOLE,BETTER,APP/UNFAV,YES,RIGHTAMT,REPUBLCN,BOTHDID,10-50K,COLGRAD,CATHOLIC,ONCEAWEEK,30-50K,NO,NO,MODERATE,18-64,SOCIALSECURI,LASTWEEK,STATE,COMPLETE,EST/RICHMOND,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,BOTH,NEITHER,ISSUES,,,0.994
STATE ONLY,47.0,2.0,34.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,ROBB,DISAPPR,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,EDUCATION,HONEST,NO,CLINTON,SAME,DIS/UNFAV,NO,RIGHTAMT,DEMOCRAT,BOTHDID,10-50K,COLGRAD,NONE,NEVER,LESS15K,NO,NO,LIBERAL,18-64,OTHRPROGRAMS,BEFORE,STATE,COMPLETE,EST/RICHMOND,18-29,25-29,DEMOCRAT,25-29,NONE,ONLYGORE,ONLYBUSH,ISSUES,,,1.055
STATE ONLY,47.0,2.0,35.0,THIRD CALL,18-24,BLACK,FEMALE,GORE,ROBB,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,EDUCATION,EXPERIENCE,NO,CLINTON,BETTER,APP/FAV,YES,TOOOFTEN,DEMOCRAT,ALLENDID,10-50K,COLGRAD,CATHOLIC,AFEWAMONTH,30-50K,NO,NO,LIBERAL,18-64,CUTFEDINCTAX,BEFORE,STATE,COMPLETE,EST/RICHMOND,18-29,18-24,DEMOCRAT,18-24,CATHOLIC,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,1.028
STATE ONLY,47.0,2.0,36.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,ALLEN,APPROVE,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,ECON/JOBS,COMPLEXISSUE,NO,NOVOTE,SAME,APP/UNFAV,NO,OMITS,INDEPEND,BOTHDID,10-50K,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,75-100K,NO,YES,MODERATE,18-64,OTHRPROGRAMS,LAST.3DAYS,STATE,COMPLETE,EST/RICHMOND,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,BOTH,NEITHER,ISSUES,,,1.024
STATE ONLY,47.0,2.0,37.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,ROBB,OMITS,OMITS,OMITS,MORE,SMCITY/RURAL,ECON/JOBS,EXPERIENCE,NO,OMITS,OMITS,,,NOTENOUGH,,BOTHDID,10-50K,,,OMITS,,,,,18-64,OMITS,BEFORE,STATE,NOTCOMPLETE,EST/RICHMOND,18-29,25-29,,25-29,,OMITS,OMITS,OMITS,,,1.055
STATE ONLY,47.0,2.0,38.0,THIRD CALL,18-24,WHITE,FEMALE,NADER,ROBB,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,EDUCATION,HONEST,NO,DOLE,SAME,DIS/UNFAV,NO,OMITS,INDEPEND,BOTHDID,10-50K,POSTGRAD,PROTESTANT,AFEWAYEAR,15-30K,YES,NO,MODERATE,18-64,REDUCNATDEBT,LAST.3DAYS,STATE,COMPLETE,EST/RICHMOND,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,BOTH,ONLYGORE,PERSONALQUAL,,,0.481
STATE ONLY,47.0,2.0,39.0,THIRD CALL,25-29,WHITE,MALE,BUSH,ALLEN,APPROVE,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,EDUCATION,CARES,NO,DOLE,BETTER,APP/UNFAV,YES,TOOOFTEN,REPUBLCN,NEITHERDID,10-50K,POSTGRAD,PROTESTANT,AFEWAYEAR,50-75K,YES,NO,CONSERV,18-64,SOCIALSECURI,BEFORE,STATE,COMPLETE,EST/RICHMOND,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,BOTH,BOTH,ISSUES,,,0.9380000000000001
STATE ONLY,47.0,2.0,40.0,THIRD CALL,60-64,WHITE,FEMALE,BUSH,ROBB,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,SOCIALSECUR,HONEST,OMITS,DOLE,BETTER,DIS/UNFAV,YES,TOOOFTEN,REPUBLCN,NEITHERDID,10-50K,,PROTESTANT,ONCEAWEEK,50-75K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,BEFORE,STATE,COMPLETE,EST/RICHMOND,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,OMITS,ONLYGORE,ISSUES,,,1.671
STATE ONLY,47.0,2.0,41.0,THIRD CALL,30-39,WHITE,MALE,BUSH,ALLEN,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,HONEST,NO,DOLE,SAME,DIS/UNFAV,YES,TOOOFTEN,REPUBLCN,BOTHDID,10-50K,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,50-75K,YES,YES,CONSERV,18-64,SOCIALSECURI,BEFORE,STATE,COMPLETE,EST/RICHMOND,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,1.02
STATE ONLY,47.0,2.0,42.0,THIRD CALL,45-49,HISP,FEMALE,NADER,ROBB,APPROVE,FAVORABLE,GORE,OMITS,SMCITY/RURAL,ECON/JOBS,CARES,NO,PEROT,WORSE,APP/FAV,NO,RIGHTAMT,INDEPEND,ALLENDID,10-50K,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,75-100K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,LAST.MONTH,STATE,COMPLETE,EST/RICHMOND,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,ONLYGORE,BOTH,PERSONALQUAL,,,0.509
STATE ONLY,47.0,2.0,43.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,ALLEN,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,EDUCATION,STRONGLEADER,NO,DOLE,BETTER,DIS/UNFAV,NO,TOOOFTEN,REPUBLCN,BOTHDID,10-50K,POSTGRAD,,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,OMITS,BEFORE,STATE,COMPLETE,EST/RICHMOND,30-44,30-39,REPUBLICAN,30-39,,BOTH,BOTH,PERSONALQUAL,,,1.083
NATIONAL WHITE,47.0,3.0,1.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,ROBB,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,NO,CLINTON,BETTER,APP/FAV,YES,,DEMOCRAT,,SUBURBS,POSTGRAD,PROTESTANT,ONCEAWEEK,30-50K,YES,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,DCSUBURBS,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,ISSUES,,,0.883
NATIONAL WHITE,47.0,3.0,2.0,FIRST CALL,30-39,WHITE,MALE,GORE,ROBB,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,COMPLEXISSUE,NO,CLINTON,BETTER,APP/FAV,YES,,DEMOCRAT,,SUBURBS,COLGRAD,NONE,NEVER,OVER100K,YES,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,DCSUBURBS,30-44,30-39,DEMOCRAT,30-39,NONE,,,ISSUES,,,0.979
NATIONAL WHITE,47.0,3.0,3.0,FIRST CALL,40-44,WHITE,MALE,BUSH,ALLEN,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,NO,DOLE,SAME,DIS/UNFAV,YES,,REPUBLCN,,SUBURBS,POSTGRAD,PROTESTANT,NEVER,75-100K,YES,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,DCSUBURBS,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,PERSONALQUAL,,,1.272
