ID,ABORT2,ABORTION,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAK14,BREAK14B,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,CHRISTIEPRES,CLIMATECHANGE,CONGRESS,CONGRESS4,CUBAN3,EBOLA14,ECONBETT,ECONDIR,ECONFAIR,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVREP2,FINSIT2,FOLLOW14,FOLLOW14B,FOROBAMAH,GAY,GEOCODE,GOV,GOVTDO10,HCLINPRES,HEALTHCARE14,HILLVREP,HOU,IMMDEPORT,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,JBUSHPRES,LANDPHONE,LATINO,LIFE,MARCHILD,MARIJUANALAW,MARRIED,NEC,NEC2,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PAULPRES,PERRYPRES,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QRACEAK,QRACEHI,QTYPE,RACE,RACEAI,RACEAK,RACEREL14,RCONGANG,RCONGANG2,REGION,REL5,RELIGN10,RELWHITE,SAMESEXM12,SEN,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TEABRN,TEAPARTY,TEAPARTY3,TELEPOLL,TERRWORR,TERWORR2,TRACK,TRUSTGOV,TRUSTGOVB,UNIONHH12,VERSION,VETVOTER,WHITEREL,WHNCLINC,WHTEVANG,WORK,WORKSEX,WPROTBRN,WPROTBRN3,WRKWOMEN,WRKWOMEN4,WEIGHT
9149.0,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,,,,,6.0,,,,No,,,,,Approve,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,Extremely closely,Extremely or very closely,,,4.0,,,Yes,,,The Democratic candidate,,,,,,,,,,,Omit,Yes,,,,,,,,,,,,,,45+,65+,,,,,,,,No,No,,-1.0,,,White,White,,,National questionnaire,White,White,,,,,Midwest,,,,,,Male,White men,,Suburbs,Suburbs,,Indiana,,Strongly oppose,Oppose,Telephone survey,,,,,,,Version 5,,,,All others,,,,,,,2.29199361801147
8976.0,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,,,,,2.0,,,,,,Disapprove,Strongly disapprove,,,,,,No high school diploma,No college degree,High school graduate or less,White no college degree,,,,,,,,1.0,,,,,,The Democratic candidate,,,,,,,,,Approve,Omit,,,No,,,,,,,Worried,Somewhat worried,Approve,Strongly approve,,,45+,65+,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,,,,-1.0,,,White,White,,,National questionnaire,White,White,,,,,West,,,,,,Male,White men,,Suburbs,Suburbs,,Washington,,,,Telephone survey,Somewhat worried,Very or somewhat worried,,,,,Version 1,Yes,,,,,,,,,,0.738616108894348
77400.0,Legal,Legal in most cases,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Once a week,Weekly,Catholic/Attend weekly,Complete,,,Yes,Call 2,3.0,,,No,,,,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,Better,,,,,2.0,,,,,Hillary Clinton,The Democratic candidate,,,,,,,,,,,,,No,,All others,,Yes,,,,,,,,,45+,65+,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,,,Moderate,27.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,,,National questionnaire,White,White,,,,,Midwest,Catholic,Catholic,Catholic,,,Female,White women,Married women,Suburbs,Suburbs,,Missouri,,,,Election day exit poll,,,,Only some of the time,Only some of the time or never,No,Version 3,,White Catholics,,White Born-again/Evangelical Christians,,,No,All others,,,0.901714324951172
67823.0,,,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,,,,Complete,,,No,Call 2,2.0,Yes,Only cell phone service,,Omit,,,,,Disapprove,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,Somewhat closely,Somewhat or not too closely,,Yes,1.0,,,Yes,,,The Democratic candidate,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,,Omit,No,No,,,,,,,,,,,,,18-44,18-64,,,,,,,,Omit,Omit,Liberal,95.0,,,White,White,,,National questionnaire,White,White,,,,,Midwest,Something else,Other,Something else,,,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",,Indiana,Neither,Strongly oppose,Oppose,Election day exit poll,,,,,,,Version 5,,White something else,Yes,All others,,,No,All others,,,0.740855813026428
68405.0,,,,,,,,,,,,,,,Complete,Not too closely,Somewhat or not too closely,,Call 2,2.0,,,,,,Disapprove,Strongly disapprove,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,,,1.0,,,,,,The Democratic candidate,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Approve,The economy,,,No,,,,,,,Worried,Very worried,Approve,Strongly approve,,,,,,,,,,,,,,Conservative,95.0,,,White,White,,,National questionnaire,White,White,,,,,Midwest,,,,,,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",,Indiana,,,,Election day exit poll,Not at all worried,Not too or not at all worried,,,,,Version 1,Yes,,Yes,,,,,,,,0.673751294612885
67867.0,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,,,,Call 2,9.0,,,,,Yes,,,,,,,Favors the wealthy,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Unfavorable,,,,,,4.0,,Government should do more to solve problems,,,,The Democratic candidate,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,,,No,Worse than life today,,Legal,,,,,,,,,,45+,65+,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,,,Liberal,11.0,Liberal Democrats,Liberal Democrats,White,White,,,National questionnaire,White,White,,Gotten worse,,,Midwest,,,,Yes,,Male,White men,,Suburbs,Suburbs,,Indiana,,,,Election day exit poll,,,Seriously off on the wrong track,,,,Version 4,,,Yes,,,,,,,,0.797851920127869
67722.0,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,Somewhat closely,Somewhat or not too closely,,Call 2,9.0,,,,,,Disapprove,Strongly disapprove,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,,,4.0,,,,,,The Democratic candidate,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Approve,The economy,,,No,,,,,,,Worried,Very worried,Approve,Strongly approve,,,45+,65+,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,,,Moderate,11.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,,,National questionnaire,White,White,,,,,Midwest,,,,,,Male,White men,,Suburbs,Suburbs,,Indiana,,,,Election day exit poll,Somewhat worried,Very or somewhat worried,,,,,Version 1,Yes,,Yes,,,,,,,,0.797851920127869
67684.0,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,,,No,Call 2,9.0,No,Only regular land-line phone service,,No,,,,,Disapprove,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,Somewhat closely,Somewhat or not too closely,,No,4.0,,,Yes,,,The Democratic candidate,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,No,Yes,No,,,,,,,,,,,,,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,No,No,Moderate,11.0,Moderate/Liberal Republicans,Moderate Independents,White,White,,,National questionnaire,White,White,,,,,Midwest,None,None,None,,,Female,White women,,Suburbs,Suburbs,,Indiana,Tea Party supporter and not born-again,Somewhat support,Support,Election day exit poll,,,,,,,Version 5,,White none,Yes,All others,,,No,All others,,,0.729905009269714
67120.0,,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,,,,Call 2,3.0,,,,,,,,,,Staying about the same,Poor and staying the same,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,,Barack Obama was not a factor,,2.0,,,,Did not go far enough,,The Democratic candidate,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,The economy,,,No,,,,Yes,Not so good,Not so good or poor,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,,,Liberal,114.0,Liberal Democrats,Liberal Democrats,White,White,,,National questionnaire,White,White,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,,,,,,Female,White women,Married women,Suburbs,Suburbs,,Indiana,,,,Election day exit poll,,,,,,,Version 2,,,Yes,,Yes,Working women,,,Working women,Working women,3.03449320793152
67119.0,,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,,,,Call 2,3.0,,,,,,,,,,Staying about the same,Poor and staying the same,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,,Barack Obama was not a factor,,2.0,,,,Did not go far enough,,The Democratic candidate,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,The economy,,,No,,,,Yes,Not so good,Not so good or poor,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,,,Liberal,114.0,Liberal Democrats,Liberal Democrats,White,White,,,National questionnaire,White,White,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,,,,,,Female,White women,Married women,Suburbs,Suburbs,,Indiana,,,,Election day exit poll,,,,,,,Version 2,,,Yes,,Yes,Working women,,,Working women,Working women,3.03449320793152
67096.0,,,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,,,,Call 2,3.0,,,,,Yes,,,,,,,Favors the wealthy,High school graduate,No college degree,High school graduate or less,White no college degree,Favorable,Unfavorable,,,,,,2.0,,Government should do more to solve problems,,,,The Democratic candidate,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,,,No,Better than life today,,Legal,,,,,,,,,,18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,,,Liberal,114.0,Liberal Democrats,Liberal Democrats,White,White,,,National questionnaire,White,White,,Stayed about the same,,,Midwest,,,,Yes,,Female,White women,,Suburbs,Suburbs,,Indiana,,,,Election day exit poll,,,Generally going in the right direction,,,,Version 4,,,Yes,,,,,,,,3.03449320793152
65802.0,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,Somewhat closely,Somewhat or not too closely,,Call 1,3.0,,,,,,Disapprove,Somewhat disapprove,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,,,,2.0,,,,,,The Democratic candidate,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Approve,The economy,,,No,,,,,,,Worried,Somewhat worried,Approve,Strongly approve,,,45+,65+,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,,,Liberal,22.0,Liberal Democrats,Liberal Democrats,White,White,,,National questionnaire,White,White,,,,,West,,,,,,Male,White men,,Suburbs,Suburbs,, Utah,,,,Election day exit poll,Somewhat worried,Very or somewhat worried,,,,,Version 1,Yes,,Yes,,,,,,,,0.895533800125122
96142.0,Legal,Legal in all cases,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,A few times a month,Occasionally,All others,Complete,,,No,Call 3,1.0,,,No,,,,,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,About the same,,,,,2.0,,,,,It depends,The Democratic candidate,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,,,,No,,All others,,Yes,,,,,,,,,45+,18-64,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,,,Moderate,64.0,Moderate/Liberal Republicans,Moderate Independents,White,White,,,National questionnaire,White,White,,,,,Midwest,Protestant/Other Non-Catholic Christian,Other christian,Protestant/Other Non-Catholic Christian,,,Male,White men,Married men,Rural,Small Cities/Rural,,North Dakota,,,,Election day exit poll,,,,Most of the time,Just about always or most of the time,No,Version 3,,White Protestants,Yes,All others,,,No,White Protestant non-evangelical,,,0.562280714511871
59777.0,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,,,,Call 1,1.0,,,,,,,,,,Getting better,Getting better,,No high school diploma,No college degree,High school graduate or less,White no college degree,,,,,,To express support for Barack Obama,,1.0,,,,Was about right,,The Democratic candidate,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,Foreign policy,,,No,,,,No,Good,Excellent or good,,,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",45+,65+,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,,,Moderate,148.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,,,National questionnaire,White,White,,,Angry,"Dissatisfied, but not angry or angry",Midwest,,,,,,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",,Missouri,,,,Election day exit poll,,,,,,,Version 2,,,Yes,,,,,,,,0.901714324951172
59377.0,,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,Somewhat closely,Somewhat or not too closely,,Call 1,3.0,,,,,,Disapprove,Strongly disapprove,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,,,,4.0,,,,,,The Democratic candidate,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Disapprove,The economy,,,No,,,,,,,Worried,Very worried,Approve,Somewhat approve,,,18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,,,Liberal,24.0,Liberal Democrats,Liberal Democrats,White,White,,,National questionnaire,White,White,,,,,Midwest,,,,,,Male,White men,,"Cities 10,000-50,000",Small Cities/Rural,,Missouri,,,,Election day exit poll,Very worried,Very or somewhat worried,,,,,Version 1,No,,Yes,,,,,,,,1.12487077713013
58444.0,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,Somewhat closely,Somewhat or not too closely,,Call 1,7.0,,,,,,Disapprove,Somewhat disapprove,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,,,5.0,,,,,,The Democratic candidate,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Disapprove,The economy,,,No,,,,,,,Worried,Somewhat worried,Disapprove,Somewhat disapprove,,,45+,65+,,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,,,Conservative,3.0,Independent/Something else,Conservative Republicans,White,White,,,National questionnaire,White,White,,,,,Midwest,,,,,,Male,White men,,Rural,Small Cities/Rural,,Missouri,,,,Election day exit poll,Not too worried,Not too or not at all worried,,,,,Version 1,Yes,,Yes,,,,,,,,1.8070342540741
58132.0,Legal,Legal in all cases,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Omit,Omit,All others,Complete,,,No,Call 1,3.0,,,No,,,,,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,About the same,,,,,2.0,,,,,Hillary Clinton,The Democratic candidate,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,,,,No,,All others,,,,,,,,,,,45+,65+,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,,,Liberal,27.0,Liberal Democrats,Liberal Democrats,White,White,,,National questionnaire,White,White,,,,,Midwest,None,None,None,,,Female,White women,,Suburbs,Suburbs,,Missouri,,,,Election day exit poll,,,,Only some of the time,Only some of the time or never,No,Version 3,,White none,Yes,All others,,,No,All others,,,0.901714324951172
57900.0,,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,,,,Complete,,,,Call 1,3.0,,,,,Yes,,,,,,,Is fair to most Americans,No high school diploma,No college degree,High school graduate or less,White no college degree,Favorable,Unfavorable,,,,,,2.0,,Government should do more to solve problems,,,,The Democratic candidate,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,,,No,Better than life today,,Legal,,,,,,,,,,45+,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,,,Moderate,27.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,,,National questionnaire,White,White,,Gotten better,,,Midwest,,,,No,,Male,White men,,Suburbs,Suburbs,,Missouri,,,,Election day exit poll,,,Generally going in the right direction,,,,Version 4,,,Yes,,,,,,,,0.985655069351196
57820.0,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,Somewhat closely,Somewhat or not too closely,,Call 1,3.0,,,,,,Disapprove,Somewhat disapprove,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,,,2.0,,,,,,The Democratic candidate,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Omit,The economy,,,No,,,,,,,Worried,Somewhat worried,Disapprove,Somewhat disapprove,,,45+,65+,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,,,Moderate,27.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,,,National questionnaire,White,White,,,,,Midwest,,,,,,Male,White men,,Suburbs,Suburbs,,Missouri,,,,Election day exit poll,Somewhat worried,Very or somewhat worried,,,,,Version 1,No,,Yes,,,,,,,,0.985655069351196
