ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENNH10,GOVNH10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,CHILD,FAVDEM2,FAVREP2,FAVPALIN2,FAVROMN2,FINSIT2,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,NECWORRY,OBAMA4,PRIORITY,TEAPARTY,TIMESEN10,VOTE2008,WORK,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARENTS,TEAPARTY3,TIMESENMTH10,TIMESENWK10,WHNCLINC,WRKWOMEN,XTEAPARTYID,CELLPHONE,LANDPHONE,RPRIM2012,TAXCUTSNH,CELLULAR,REP2012P,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
892659.0,New Hampshire,61.0,Call 2,Not complete,Election day exit poll,0.610132455825806,Paul Hodes,John Lynch,Female,White,30-39,,,,,No,Yes,,,,,,,,,,,,,,,,,,Non black female,White women,30-44,30-59,18-44,30-44,30-39,White 30-44,,,,,,,,,Moms - Women with children,,,,,,,,,White,,,,,,,,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,2.0,East,Version 4,Suburb,Urban,Urban Core,Downscale,3109.0
892638.0,New Hampshire,113.0,Call 2,Not complete,Election day exit poll,0.933229207992554,Paul Hodes,John Lynch,Female,White,40-44,,,,High school graduate,No,,,,,,About the same,,,,,,,,,,In the last month,,No,Non black female,White women,30-44,30-59,18-44,30-44,40-49,White 30-44,No college degree,High school graduate or less,White no college degree,,,,,,,,,,,,,,,White,,,In the last month,In the last month or earlier,,All others,,,,,,,,State questionnaire,Rural,Small Cities/Rural,2.0,3.0,East,Version 2,Low Density Rural,Rural,Rural,Very downscale,3470.0
892637.0,New Hampshire,113.0,Call 2,Not complete,Election day exit poll,0.933229207992554,Paul Hodes,John Lynch,Female,White,40-44,,,,High school graduate,No,,,,,,About the same,,,,,,,,,,In the last month,,No,Non black female,White women,30-44,30-59,18-44,30-44,40-49,White 30-44,No college degree,High school graduate or less,White no college degree,,,,,,,,,,,,,,,White,,,In the last month,In the last month or earlier,,All others,,,,,,,,State questionnaire,Rural,Small Cities/Rural,2.0,3.0,East,Version 2,Low Density Rural,Rural,Rural,Very downscale,3470.0
877979.0,New Hampshire,61.0,Call 1,Not complete,Election day exit poll,0.620436668395996,Paul Hodes,John Lynch,Male,White,50-59,,,,,No,,,,,,,,,,,,,,,,,,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,,,,,,,,,,,,,,,,,,White,,,,,,,,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,2.0,East,Version 2,Suburb,Urban,Urban Core,Downscale,3109.0
877880.0,New Hampshire,45.0,Call 1,Not complete,Election day exit poll,1.02852833271027,Paul Hodes,John Lynch,Male,White,60-64,,,,College graduate,No,,,,,,,,,Government should do more to solve problems,,,,,,,,,,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,Continue them for all Americans,,,State questionnaire,Rural,Small Cities/Rural,2.0,3.0,East,Version 1,Low Density Rural,Rural,Rural,Very upscale,3229.0
877869.0,New Hampshire,57.0,Call 1,Not complete,Election day exit poll,0.952228486537933,Paul Hodes,John Lynch,Female,White,65 or over,,,,College graduate,No,,,,,,,,,Government should do more to solve problems,,,,,,,,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,"Continue them for families who earn less than $250,000 a year",,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,2.0,East,Version 1,Suburb,Urban,Urban Core,Very downscale,3102.0
877723.0,New Hampshire,85.0,Call 1,Not complete,Election day exit poll,1.05205166339874,Paul Hodes,John Lynch,Male,White,65 or over,,,,Postgraduate study,No,,,,,,,,,Government should do more to solve problems,,,,,,,,,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,"Continue them for families who earn less than $250,000 a year",,,State questionnaire,Suburbs,Suburbs,1.0,5.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,3862.0
892255.0,New Hampshire,2.0,Call 2,Not complete,Election day exit poll,1.14548766613007,Paul Hodes,John Lynch,Female,White,50-59,,,,Some college/assoc. degree,No,,,,,,,,,Government should do more to solve problems,,,,,,,,,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,"Continue them for families who earn less than $250,000 a year",,,State questionnaire,Rural,Small Cities/Rural,1.0,5.0,East,Version 1,Low Density Rural,Rural,Rural,Downscale,3809.0
877472.0,New Hampshire,112.0,Call 1,Not complete,Election day exit poll,0.381315231323242,Paul Hodes,John Lynch,Male,White,50-59,,,,Some college/assoc. degree,No,,,,,,,,,Omit,,,,,,,,,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,Allow them to expire for all,,,State questionnaire,Suburbs,Suburbs,2.0,4.0,East,Version 1,Low Density Rural,60s Suburbs,High-Growth Suburban Perimeter,Upscale,3086.0
877411.0,New Hampshire,8.0,Call 1,Not complete,Election day exit poll,0.545054376125336,Paul Hodes,John Lynch,Male,White,50-59,,,,College graduate,No,,,,,,,,,Government should do more to solve problems,,,,,,,,,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,Continue them for all Americans,,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,3110.0
877365.0,New Hampshire,115.0,Call 1,Not complete,Election day exit poll,0.874292254447937,Paul Hodes,John Lynch,Female,White,60-64,,,,Postgraduate study,No,,,,,,About the same,,,,,,,,,,In the last month,,No,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,In the last month,In the last month or earlier,,All others,,,,,,,,State questionnaire,Rural,Small Cities/Rural,1.0,5.0,East,Version 2,Low Density Rural,Rural,Rural,Downscale,3894.0
877270.0,New Hampshire,113.0,Call 1,Not complete,Election day exit poll,1.01144647598267,Paul Hodes,John Lynch,Female,Hispanic,65 or over,,,,High school graduate,Yes,,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,,,,Non black female,Latino women,65+,60+,45+,60+,65+,Latino 65+,No college degree,High school graduate or less,Non white no college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,"Continue them for families who earn less than $250,000 a year",,,State questionnaire,Rural,Small Cities/Rural,2.0,3.0,East,Version 1,Low Density Rural,Rural,Rural,Very downscale,3470.0
891789.0,New Hampshire,77.0,Call 2,Not complete,Election day exit poll,0.610132455825806,Paul Hodes,John Lynch,Female,White,50-59,,,,Postgraduate study,No,,,,,,,,,Omit,,,,,,,,,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,Continue them for all Americans,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,2.0,East,Version 1,Suburb,Urban,Urban Core,Very upscale,3062.0
906336.0,New Hampshire,92.0,Call 3,Not complete,Election day exit poll,1.07460880279541,Paul Hodes,John Lynch,Female,,50-59,,,,Some college/assoc. degree,No,,,,,,,,,Government should do more to solve problems,,,,,,,,,,,,45-65,30-59,45+,45-59,50-64,,No college degree,More than High school graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,"Continue them for families who earn less than $250,000 a year",,,State questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,3801.0
877115.0,New Hampshire,112.0,Call 1,Not complete,Election day exit poll,0.413274616003037,Paul Hodes,John Lynch,Male,White,60-64,,,,Postgraduate study,No,,,,,,,,,Government should do more to solve problems,,,,,,,,,,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,"Continue them for families who earn less than $250,000 a year",,,State questionnaire,Suburbs,Suburbs,2.0,4.0,East,Version 1,Low Density Rural,60s Suburbs,High-Growth Suburban Perimeter,Upscale,3086.0
877051.0,New Hampshire,61.0,Call 1,Not complete,Election day exit poll,0.610132455825806,Paul Hodes,John Lynch,Female,White,50-59,,,,,No,Yes,,,,,,,,,,,,,,,,,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,,,,,,,,,Moms - Women with children,,,,,,,,,White,,,,,,,,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,2.0,East,Version 4,Suburb,Urban,Urban Core,Downscale,3109.0
891600.0,New Hampshire,96.0,Call 2,Not complete,Election day exit poll,0.828282058238983,Paul Hodes,John Lynch,Female,White,60-64,,,,College graduate,No,,,,,,About the same,,,,,,,,,,In the last month,,Yes,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,In the last month,In the last month or earlier,,Working women,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 2,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,3867.0
876774.0,New Hampshire,112.0,Call 1,Not complete,Election day exit poll,0.374982327222824,Paul Hodes,John Lynch,Female,White,50-59,,,,College graduate,No,,,,,,,,,Omit,,,,,,,,,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,"Continue them for families who earn less than $250,000 a year",,,State questionnaire,Suburbs,Suburbs,2.0,4.0,East,Version 1,Low Density Rural,60s Suburbs,High-Growth Suburban Perimeter,Upscale,3086.0
891248.0,New Hampshire,23.0,Call 2,Not complete,Election day exit poll,1.06881594657898,Paul Hodes,John Lynch,Male,Black,50-59,,,,High school graduate,,,,,,,About the same,,,,,,,,,,In the last three days,,,Black male,Black men,45-65,30-59,45+,45-59,50-64,Black 45-54,No college degree,High school graduate or less,Non white no college degree,,,,,,,,,,,,,,,Black,,,In the last month,In the last week,,All others,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,3820.0
876522.0,New Hampshire,25.0,Call 1,Not complete,Election day exit poll,0.828282058238983,Paul Hodes,John Lynch,Female,White,65 or over,,,,Some college/assoc. degree,No,,,,,,,,,Omit,,,,,,,,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,Allow them to expire for all,,,State questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,3820.0
876382.0,New Hampshire,85.0,Call 1,Not complete,Election day exit poll,1.07543432712555,Paul Hodes,John Lynch,Male,Black,50-59,,,,College graduate,No,,,,,,Worse,,,,,,,,,,Before that,,No,Black male,Black men,45-65,30-59,45+,45-59,50-64,Black 45-54,College graduate,More than High school graduate,Non white college degree,,,,,,,,,,,,,,,Black,,,Before that,In the last month or earlier,,All others,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,5.0,East,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,3862.0
902443.0,New Hampshire,25.0,Call 3,Not complete,Election day exit poll,0.764229297637939,Paul Hodes,John Lynch,Female,White,45-49,,,,Some college/assoc. degree,No,,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,,,,Non black female,White women,45-65,30-59,45+,45-59,40-49,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,"Continue them for families who earn less than $250,000 a year",,,State questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,3820.0
876174.0,New Hampshire,105.0,Call 1,Not complete,Election day exit poll,1.02549433708191,Paul Hodes,John Lynch,Female,White,65 or over,,,,Postgraduate study,,,,,,,,,,Omit,,,,,,,,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,"Continue them for families who earn less than $250,000 a year",,,State questionnaire,Rural,Small Cities/Rural,2.0,3.0,East,Version 1,Low Density Rural,Rural,Rural,Downscale,3446.0
904079.0,New Hampshire,57.0,Call 3,Not complete,Election day exit poll,0.893428802490234,Paul Hodes,John Lynch,Male,White,30-39,,,,College graduate,No,,,,,,,,,Government should do more to solve problems,,,,,,,,,,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,"Continue them for families who earn less than $250,000 a year",,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,2.0,East,Version 1,Suburb,Urban,Urban Core,Very downscale,3102.0
890723.0,New Hampshire,92.0,Call 2,Not complete,Election day exit poll,1.14634394645691,Paul Hodes,John Lynch,Female,White,50-59,,,,College graduate,No,,,,,,About the same,,,,,,,,,,Before that,,Yes,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,Before that,In the last month or earlier,,Working women,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,3801.0
890660.0,New Hampshire,113.0,Call 2,Not complete,Election day exit poll,0.948990106582642,Paul Hodes,John Lynch,Male,White,30-39,,,,Some college/assoc. degree,No,,,,,,,,,Government should do more to solve problems,,,,,,,,,,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,No college degree,More than High school graduate,White no college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,Allow them to expire for all,,,State questionnaire,Rural,Small Cities/Rural,2.0,3.0,East,Version 1,Low Density Rural,Rural,Rural,Very downscale,3470.0
890621.0,New Hampshire,92.0,Call 2,Not complete,Election day exit poll,1.16570401191711,Paul Hodes,John Lynch,Male,White,45-49,,,,Some college/assoc. degree,No,,,,,,About the same,,,,,,,,,,Before that,,Yes,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,,,,,,,,,,White,,,Before that,In the last month or earlier,,All others,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,3801.0
877725.0,New Hampshire,85.0,Call 1,Not complete,Election day exit poll,1.05205166339874,Paul Hodes,John Lynch,Male,White,65 or over,,,,Postgraduate study,No,,,,,,,,,Government should do more to solve problems,,,,,,,,,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,"Continue them for families who earn less than $250,000 a year",,,State questionnaire,Suburbs,Suburbs,1.0,5.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,3862.0
890485.0,New Hampshire,85.0,Call 2,Not complete,Election day exit poll,0.970694363117218,Paul Hodes,John Lynch,Male,White,50-59,,,,Some college/assoc. degree,No,,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,,,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,Allow them to expire for all,,,State questionnaire,Suburbs,Suburbs,1.0,5.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,3862.0
901670.0,New Hampshire,23.0,Call 3,Not complete,Election day exit poll,0.964720606803894,Paul Hodes,John Lynch,Male,White,50-59,,,,No high school diploma,No,,,,,,About the same,,,,,,,,,,Before that,,Yes,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,,,,,,,,,,White,,,Before that,In the last month or earlier,,All others,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,3820.0
909988.0,New Hampshire,39.0,Call 3,Not complete,Election day exit poll,0.7500941157341,Paul Hodes,John Lynch,Female,White,40-44,,,,,No,,,,,,,,,,,,,,,,,,,Non black female,White women,30-44,30-59,18-44,30-44,40-49,White 30-44,,,,,,,,,,,,,,,,,,White,,,,,,,,,,,,,,National questionnaire,Suburbs,Suburbs,1.0,4.0,East,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,3841.0
875741.0,New Hampshire,23.0,Call 1,Not complete,Election day exit poll,0.964720606803894,Paul Hodes,John Lynch,Male,White,50-59,,,,College graduate,No,,,,,,Better,,,,,,,,,,Before that,,Yes,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,Before that,In the last month or earlier,,All others,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,3820.0
876767.0,New Hampshire,92.0,Call 1,Not complete,Election day exit poll,1.24242305755615,Paul Hodes,John Lynch,Female,White,60-64,,,,Some college/assoc. degree,No,,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,,,,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,"Continue them for families who earn less than $250,000 a year",,,State questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,3801.0
903754.0,New Hampshire,61.0,Call 3,Not complete,Election day exit poll,0.496398955583572,Paul Hodes,John Stephen,Female,White,50-59,,,,,No,,,,,,,,,,,,,,,,,,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,,,,,,,,,,,,,,,,,,White,,,,,,,,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,2.0,East,Version 2,Suburb,Urban,Urban Core,Downscale,3109.0
902423.0,New Hampshire,85.0,Call 3,Not complete,Election day exit poll,0.823269009590149,Paul Hodes,John Stephen,Female,White,45-49,,,,College graduate,No,,,,,,Worse,,,,,,,,,,In the last month,,Yes,Non black female,White women,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,In the last month,In the last month or earlier,,Working women,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,5.0,East,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,3862.0
877351.0,New Hampshire,111.0,Call 1,Not complete,Election day exit poll,0.743558406829834,Paul Hodes,John Stephen,Female,White,65 or over,,,,No high school diploma,No,,,,,,About the same,,,,,,,,,,In the last three days,,No,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,,,,,,,,,,White,,,In the last month,In the last week,,All others,,,,,,,,State questionnaire,Rural,Small Cities/Rural,2.0,5.0,East,Version 2,Extremely Low Density Rural,Rural,Rural,Very downscale,3598.0
904637.0,New Hampshire,1.0,Call 3,Not complete,Election day exit poll,0.929109930992126,Paul Hodes,John Stephen,Male,White,50-59,,,,No high school diploma,No,,,,,,Worse,,,,,,,,,,In the last month,,No,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,,,,,,,,,,White,,,In the last month,In the last month or earlier,,All others,,,,,,,,State questionnaire,Rural,Small Cities/Rural,2.0,3.0,East,Version 2,Suburb,Rural,Rural,Downscale,3275.0
907780.0,New Hampshire,68.0,Call 3,Not complete,Election day exit poll,2.26795697212219,Kelly Ayotte,,Female,White,65 or over,,,,No high school diploma,No,,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,Omit,,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 1,Suburb,80s Suburbs,Low-Growth Suburban Perimeter,Very upscale,3054.0
