ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENSC10,GOVSC10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,BRNAGAIN,CHILD,DESCRIBS10,FAVDEM2,FAVREP2,FAVPALIN2,FAVROMN2,FINSIT2,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,LAIDOFF,NECWORRY,OBAMA4,STIMULUS,TEAPARTY,TEAREASG,VOTE2008,WORK,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARENTS,TEAPARTY3,WHNCLINC,WHTEVANG,XTEAPARTYID,RPRIM2012,REP2012P,WRKWOMEN,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
886817.0,South Carolina,65.0,Call 2,Complete,Election day exit poll,1.08078515529633,Alvin Greene,Vincent Sheheen,Female,Black,50-59,Democrat,,"Under $30,000",High school graduate,No,No,Yes,,Favorable,Unfavorable,,,,,,,,,No,,,,,,,,Black female,Black women,45-65,30-59,45+,45-59,50-64,Black 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,Moms - Women with children,,,,,Democrat,Democratic Women,Non White Democrats,,Black,,,No,All others,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
886750.0,South Carolina,65.0,Call 2,Complete,Election day exit poll,1.2570253610611,Alvin Greene,Vincent Sheheen,Male,Black,25-29,Democrat,Moderate,"Under $30,000",Some college/assoc. degree,No,Yes,Yes,,Favorable,Unfavorable,,,,,,,,,Yes,,,,,,,,Black male,Black men,18-29,18-29,18-44,18-29,25-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,Dads - Men with children,,,,,Democrat,Democratic Men,Non White Democrats,Moderate/Conservative Democrats,Black,,,No,All others,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
867352.0,South Carolina,65.0,Call 1,Complete,Election day exit poll,1.2570253610611,Alvin Greene,Vincent Sheheen,Male,Black,25-29,Democrat,Liberal,"Under $30,000",High school graduate,No,No,Yes,,Favorable,Unfavorable,,,,,,,,,Yes,,,,,,,,Black male,Black men,18-29,18-29,18-44,18-29,25-29,Black 18-29,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,Dads - Men with children,,,,,Democrat,Democratic Men,Non White Democrats,Liberal Democrats,Black,,,No,All others,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
903627.0,South Carolina,65.0,Call 3,Complete,Election day exit poll,1.21735215187073,Alvin Greene,Vincent Sheheen,Female,Black,60-64,Democrat,Liberal,"Under $30,000",Some college/assoc. degree,No,,,,,,,,Better,,"Dissatisfied, but not angry",,,Health care,,,,,,,,,Black female,Black women,45-65,60+,45+,60+,50-64,Black 45-54,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Negative,Something else,,,Democrat,Democratic Women,Non White Democrats,Liberal Democrats,Black,,,No,,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 2,Town,No Answer,Urban Perimeter,Upscale,29588.0
887832.0,South Carolina,65.0,Call 2,Complete,Election day exit poll,1.32491278648376,Alvin Greene,Vincent Sheheen,Female,Other,65 or over,Democrat,Liberal,"$50,000-$74,999",High school graduate,No,,,,,,,,Better,,Enthusiastic,,,Health care,,,,,,,,,Non black female,All other races,65+,60+,45+,60+,65+,Other,No college degree,High school graduate or less,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,,Positive,Something else,,,Democrat,Democratic Women,Non White Democrats,Liberal Democrats,American Indian,,,No,,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 2,Town,No Answer,Urban Perimeter,Upscale,29588.0
887646.0,South Carolina,65.0,Call 2,Complete,Election day exit poll,1.2570253610611,Alvin Greene,Vincent Sheheen,Male,Black,25-29,Democrat,Moderate,"Under $30,000",High school graduate,No,,,,,,,,Better,,"Dissatisfied, but not angry",,,Health care,,,,,,,,,Black male,Black men,18-29,18-29,18-44,18-29,25-29,Black 18-29,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Negative,Something else,,,Democrat,Democratic Men,Non White Democrats,Moderate/Conservative Democrats,Black,,,No,,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 2,Town,No Answer,Urban Perimeter,Upscale,29588.0
887588.0,South Carolina,65.0,Call 2,Complete,Election day exit poll,1.08078515529633,Alvin Greene,Vincent Sheheen,Female,Hispanic,50-59,Democrat,Moderate,"Under $30,000",No high school diploma,Yes,,,,,,,,About the same,,Enthusiastic,,,Health care,,,,,,,,,Non black female,Latino women,45-65,30-59,45+,45-59,50-64,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Positive,Something else,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,,No,,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 2,Town,No Answer,Urban Perimeter,Upscale,29588.0
868061.0,South Carolina,65.0,Call 1,Complete,Election day exit poll,1.13121259212494,Alvin Greene,Vincent Sheheen,Male,Black,50-59,Democrat,Conservative,"Under $30,000",Some college/assoc. degree,No,,,,,,,,Better,,"Satisfied, but not enthusiastic",,,Health care,,,,,,,,,Black male,Black men,45-65,30-59,45+,45-59,50-64,Black 45-54,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Positive,Something else,,,Democrat,Democratic Men,Non White Democrats,Moderate/Conservative Democrats,Black,,,No,,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 2,Town,No Answer,Urban Perimeter,Upscale,29588.0
904032.0,South Carolina,65.0,Call 3,Complete,Election day exit poll,1.08078515529633,Alvin Greene,Vincent Sheheen,Female,Black,40-44,Democrat,Moderate,"$30,000-$49,999",Some college/assoc. degree,No,,,,,,,,Worse,,"Dissatisfied, but not angry",,,The economy,,,,,,,,,Black female,Black women,30-44,30-59,18-44,30-44,40-49,Black 30-44,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,,Negative,The economy,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,,No,,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 2,Town,No Answer,Urban Perimeter,Upscale,29588.0
903748.0,South Carolina,65.0,Call 3,Complete,Election day exit poll,1.08078515529633,Alvin Greene,Vincent Sheheen,Female,Black,40-44,Democrat,Moderate,"Under $30,000",High school graduate,No,,,,,,,,About the same,,"Satisfied, but not enthusiastic",,,The economy,,,,,,,,,Black female,Black women,30-44,30-59,18-44,30-44,40-49,Black 30-44,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Positive,The economy,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,,No,,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 2,Town,No Answer,Urban Perimeter,Upscale,29588.0
903700.0,South Carolina,65.0,Call 3,Complete,Election day exit poll,1.17627930641174,Alvin Greene,Vincent Sheheen,Female,White,30-39,Democrat,Moderate,"Under $30,000",High school graduate,No,,,,,,,,Better,,Angry,,,The economy,,,,,,,,,Non black female,White women,30-44,30-59,18-44,30-44,30-39,White 30-44,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,Negative,The economy,,,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,,,Yes,,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 2,Town,No Answer,Urban Perimeter,Upscale,29588.0
887985.0,South Carolina,65.0,Call 2,Complete,Election day exit poll,1.08078515529633,Alvin Greene,Vincent Sheheen,Female,Black,40-44,Democrat,Moderate,"$30,000-$49,999",College graduate,No,,,,,,,,Better,,Enthusiastic,,,The economy,,,,,,,,,Black female,Black women,30-44,30-59,18-44,30-44,40-49,Black 30-44,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,,Positive,The economy,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,,No,,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 2,Town,No Answer,Urban Perimeter,Upscale,29588.0
887768.0,South Carolina,65.0,Call 2,Complete,Election day exit poll,1.08078515529633,Alvin Greene,Vincent Sheheen,Female,Black,40-44,Democrat,Moderate,"Under $30,000",College graduate,No,,,,,,,,About the same,,"Satisfied, but not enthusiastic",,,The economy,,,,,,,,,Black female,Black women,30-44,30-59,18-44,30-44,40-49,Black 30-44,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Positive,The economy,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,,No,,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 2,Town,No Answer,Urban Perimeter,Upscale,29588.0
868163.0,South Carolina,65.0,Call 1,Complete,Election day exit poll,1.13121259212494,Alvin Greene,Vincent Sheheen,Male,Black,50-59,Something else,Conservative,"$50,000-$74,999",Some college/assoc. degree,No,,,,,,,,About the same,,"Dissatisfied, but not angry",,,The economy,,,,,,,,,Black male,Black men,45-65,30-59,45+,45-59,50-64,Black 45-54,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,,Negative,The economy,,,Independent/Something else,Independent Men,All others,Independents/Something else,Black,,,No,,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 2,Town,No Answer,Urban Perimeter,Upscale,29588.0
868116.0,South Carolina,65.0,Call 1,Complete,Election day exit poll,1.08078515529633,Alvin Greene,Vincent Sheheen,Female,Black,30-39,Democrat,Moderate,"Under $30,000",High school graduate,No,,,,,,,,Worse,,"Satisfied, but not enthusiastic",,,The economy,,,,,,,,,Black female,Black women,30-44,30-59,18-44,30-44,30-39,Black 30-44,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Positive,The economy,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,,No,,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 2,Town,No Answer,Urban Perimeter,Upscale,29588.0
868006.0,South Carolina,65.0,Call 1,Complete,Election day exit poll,1.08078515529633,Alvin Greene,Vincent Sheheen,Female,Black,40-44,Democrat,Moderate,"Under $30,000",Some college/assoc. degree,No,,,,,,,,About the same,,"Satisfied, but not enthusiastic",,,The economy,,,,,,,,,Black female,Black women,30-44,30-59,18-44,30-44,40-49,Black 30-44,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Positive,The economy,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,,No,,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 2,Town,No Answer,Urban Perimeter,Upscale,29588.0
903068.0,South Carolina,65.0,Call 3,Complete,Election day exit poll,1.28010368347168,Jim DeMint,Nikki Haley,Male,White,30-39,Republican,Conservative,"$50,000-$74,999",Some college/assoc. degree,No,Yes,No,,Unfavorable,Favorable,,,,,,,,,Yes,,,,,,,,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Men without children,,,,,Republican,Republican Men,White Republicans,Conservative Republicans,White,,,No,White Born-again/Evangelical Christians,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
902980.0,South Carolina,65.0,Call 3,Complete,Election day exit poll,1.22303891181946,Jim DeMint,Nikki Haley,Female,White,45-49,Republican,Moderate,"$50,000-$74,999",College graduate,No,No,No,,Unfavorable,Favorable,,,,,,,,,Yes,,,,,,,,Non black female,White women,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Women without children,,,,,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,,,No,All others,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
902911.0,South Carolina,65.0,Call 3,Complete,Election day exit poll,1.22303891181946,Jim DeMint,Nikki Haley,Female,White,50-59,Republican,Moderate,"$50,000-$74,999",Some college/assoc. degree,,Yes,No,,Unfavorable,Favorable,,,,,,,,,Yes,,,,,,,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Women without children,,,,,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,,,No,White Born-again/Evangelical Christians,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
887147.0,South Carolina,65.0,Call 2,Complete,Election day exit poll,1.44185626506805,Jim DeMint,Nikki Haley,Male,White,65 or over,Republican,Conservative,"Under $30,000",High school graduate,No,Yes,No,,Unfavorable,Favorable,,,,,,,,,Yes,,,,,,,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,Men without children,,,,,Republican,Republican Men,White Republicans,Conservative Republicans,White,,,Yes,White Born-again/Evangelical Christians,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
887080.0,South Carolina,65.0,Call 2,Complete,Election day exit poll,1.35906457901001,Jim DeMint,Nikki Haley,Female,White,18-24,Republican,Conservative,"$200,000 or more",Some college/assoc. degree,No,,No,,Unfavorable,Favorable,,,,,,,,,No,,,,,,,,Non black female,White women,18-29,18-29,18-44,18-29,18-24,White 18-29,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Women without children,,,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,,No,All others,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
867569.0,South Carolina,65.0,Call 1,Complete,Election day exit poll,1.28010368347168,Jim DeMint,Nikki Haley,Male,White,45-49,Republican,Conservative,"$50,000-$74,999",High school graduate,No,No,Yes,,Unfavorable,Favorable,,,,,,,,,Yes,,,,,,,,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Dads - Men with children,,,,,Republican,Republican Men,White Republicans,Conservative Republicans,White,,,No,All others,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
867435.0,South Carolina,65.0,Call 1,Complete,Election day exit poll,1.22303891181946,Jim DeMint,Nikki Haley,Female,White,30-39,Republican,Conservative,"$75,000-$99,999",Some college/assoc. degree,No,Yes,Yes,,Unfavorable,Favorable,,,,,,,,,No,,,,,,,,Non black female,White women,30-44,30-59,18-44,30-44,30-39,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Moms - Women with children,,,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,,No,White Born-again/Evangelical Christians,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
902826.0,South Carolina,65.0,Call 3,Complete,Election day exit poll,1.22303891181946,Jim DeMint,Nikki Haley,Female,White,50-59,Republican,Conservative,"$100,000-$199,999",Some college/assoc. degree,No,No,No,,Unfavorable,Favorable,,,,,,,,,Yes,,,,,,,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Women without children,,,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,,No,All others,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
867490.0,South Carolina,65.0,Call 1,Complete,Election day exit poll,1.28010368347168,Jim DeMint,Nikki Haley,Male,White,40-44,Republican,Conservative,"$100,000-$199,999",College graduate,No,Yes,Yes,,Unfavorable,Unfavorable,,,,,,,,,Yes,,,,,,,,Non black male,White men,30-44,30-59,18-44,30-44,40-49,White 30-44,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Dads - Men with children,,,,,Republican,Republican Men,White Republicans,Conservative Republicans,White,,,No,White Born-again/Evangelical Christians,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 4,Town,No Answer,Urban Perimeter,Upscale,29588.0
865373.0,South Carolina,,,Complete,Telephone survey,0.0,Jim DeMint,Nikki Haley,Female,White,65 or over,Independent,Moderate,"$100,000-$199,999",Postgraduate study,No,,,,,,,,About the same,,"Dissatisfied, but not angry",,,The war in Afghanistan,,,,,,,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,,Negative,Something else,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,No,,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 2,Town,No Answer,Urban Perimeter,Upscale,29588.0
903906.0,South Carolina,65.0,Call 3,Complete,Election day exit poll,1.22303891181946,Jim DeMint,Nikki Haley,Female,White,50-59,Republican,Conservative,"$50,000-$74,999",High school graduate,No,,,,,,,,Worse,,"Dissatisfied, but not angry",,,Health care,,,,,,,,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,Negative,Something else,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,,No,,,,,,National questionnaire,Suburbs,Suburbs,1.0,3.0,South,Version 2,Town,No Answer,Urban Perimeter,Upscale,29588.0
