ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENWV10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,BRNAGAIN,DESCRIBS10,FAVDEM2,FAVREP2,FINSIT2,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,NECWORRY,OBAMA4,PRIORITY,QUALSEN10,SENCNTL,TEAPARTY,TIMESEN10,UNIONHH10,VOTE2008,WORK,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARTY3,TIMESENMTH10,TIMESENWK10,WHNCLINC,WHTEVANG,XTEAPARTYID,COALHH,GUNOWNER,MANCHJOB,MANCHJOB2,WRKWOMEN,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
911574.0,West Virginia,71.0,Call 3,Complete,Election day exit poll,1.00202596187592,John Raese,Male,White,65 or over,Republican,Moderate,,High school graduate,,Yes,I strongly favor my candidate,Unfavorable,Favorable,Worse,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,,,,Cutting taxes,,The Republican Party,,,No,McCain,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,Negative,,,,Republican,Republican Men,White Republicans,Moderate/Liberal Republicans,White,,,,,White Born-again/Evangelical Christians,,,Yes,Strongly disapprove,Disapprove,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
911248.0,West Virginia,71.0,Call 3,Complete,Election day exit poll,0.866888761520386,John Raese,Male,White,50-59,Republican,Liberal,,High school graduate,No,No,I like my candidate but with reservations,Unfavorable,Favorable,Worse,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,,,,Spending to create jobs,,The Republican Party,,,Yes,McCain,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,Negative,,,,Republican,Republican Men,White Republicans,Moderate/Liberal Republicans,White,,,,,All others,,,Yes,Somewhat approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
911119.0,West Virginia,71.0,Call 3,Complete,Election day exit poll,0.832682013511658,John Raese,Female,White,50-59,Republican,Moderate,,Some college/assoc. degree,No,Yes,I like my candidate but with reservations,Omit,Favorable,About the same,To express opposition to Barack Obama,"Satisfied, but not enthusiastic",,,,,,Spending to create jobs,,The Republican Party,,,Yes,McCain,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,Positive,,,,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,,,,,White Born-again/Evangelical Christians,,,Yes,Somewhat approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
910875.0,West Virginia,71.0,Call 3,Complete,Election day exit poll,0.866888761520386,John Raese,Male,White,50-59,Republican,Conservative,,High school graduate,No,Yes,I strongly favor my candidate,Unfavorable,Favorable,About the same,To express opposition to Barack Obama,Angry,,,,,,Reducing the budget deficit,,The Republican Party,,,No,McCain,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,Negative,,,,Republican,Republican Men,White Republicans,Conservative Republicans,White,,,,,White Born-again/Evangelical Christians,,,Yes,Somewhat approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
910623.0,West Virginia,71.0,Call 3,Complete,Election day exit poll,0.866888761520386,John Raese,Male,White,40-44,Republican,Conservative,,College graduate,No,Yes,I strongly favor my candidate,Unfavorable,Favorable,Better,To express opposition to Barack Obama,Angry,,,,,,Reducing the budget deficit,,The Republican Party,,,No,McCain,,Non black male,White men,30-44,30-59,18-44,30-44,40-49,White 30-44,College graduate,More than High school graduate,White college degree,,,,,,Negative,,,,Republican,Republican Men,White Republicans,Conservative Republicans,White,,,,,White Born-again/Evangelical Christians,,,Yes,Somewhat disapprove,Disapprove,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
890083.0,West Virginia,71.0,Call 2,Complete,Election day exit poll,0.832682013511658,John Raese,Female,White,40-44,Republican,Conservative,,College graduate,No,Yes,I strongly favor my candidate,Unfavorable,Favorable,Worse,To express opposition to Barack Obama,Angry,,,,,,Cutting taxes,,The Republican Party,,,No,McCain,,Non black female,White women,30-44,30-59,18-44,30-44,40-49,White 30-44,College graduate,More than High school graduate,White college degree,,,,,,Negative,,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,,,,White Born-again/Evangelical Christians,,,Yes,Somewhat approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
909203.0,West Virginia,71.0,Call 3,Complete,Election day exit poll,0.832682013511658,John Raese,Female,White,40-44,Republican,Conservative,,Postgraduate study,No,No,I strongly favor my candidate,Unfavorable,Favorable,Worse,To express opposition to Barack Obama,Angry,,,,,,Reducing the budget deficit,,The Republican Party,,,No,McCain,,Non black female,White women,30-44,30-59,18-44,30-44,40-49,White 30-44,College graduate,More than High school graduate,White college degree,,,,,,Negative,,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,,,,All others,,,Yes,Strongly disapprove,Disapprove,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
875018.0,West Virginia,71.0,Call 1,Complete,Election day exit poll,1.00202596187592,John Raese,Male,White,65 or over,Independent,Conservative,,College graduate,No,No,I like my candidate but with reservations,Unfavorable,Unfavorable,Worse,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,,,,Cutting taxes,,The Republican Party,,,No,McCain,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,,,,,,Negative,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,,,All others,,,Yes,Somewhat disapprove,Disapprove,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
908938.0,West Virginia,71.0,Call 3,Complete,Election day exit poll,0.866888761520386,John Raese,Male,White,45-49,Independent,Moderate,,College graduate,No,Yes,I like my candidate but with reservations,Unfavorable,Favorable,Worse,Barack Obama was not a factor,"Dissatisfied, but not angry",,,,,,Spending to create jobs,,The Republican Party,,,Yes,McCain,,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Negative,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,,,White Born-again/Evangelical Christians,,,No,Somewhat approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
911766.0,West Virginia,71.0,Call 3,Complete,Election day exit poll,0.866888761520386,John Raese,Male,White,45-49,Independent,Moderate,,College graduate,No,Yes,I like my candidate but with reservations,Unfavorable,Favorable,Worse,Barack Obama was not a factor,"Dissatisfied, but not angry",,,,,,Spending to create jobs,,The Republican Party,,,Yes,McCain,,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Negative,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,,,White Born-again/Evangelical Christians,,,No,Somewhat approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
910979.0,West Virginia,71.0,Call 3,Complete,Election day exit poll,0.832682013511658,John Raese,Female,White,30-39,Independent,Conservative,,Some college/assoc. degree,No,Yes,I like my candidate but with reservations,Unfavorable,Favorable,Worse,To express opposition to Barack Obama,Angry,,,,,,Spending to create jobs,,The Republican Party,,,No,McCain,,Non black female,White women,30-44,30-59,18-44,30-44,30-39,White 30-44,No college degree,More than High school graduate,White no college degree,,,,,,Negative,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,,,White Born-again/Evangelical Christians,,,No,Somewhat disapprove,Disapprove,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
911433.0,West Virginia,71.0,Call 3,Complete,Election day exit poll,0.866888761520386,John Raese,Male,White,45-49,Independent,Moderate,,College graduate,No,Yes,I like my candidate but with reservations,Unfavorable,Favorable,Worse,Barack Obama was not a factor,"Dissatisfied, but not angry",,,,,,Spending to create jobs,,The Republican Party,,,Yes,McCain,,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Negative,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,,,White Born-again/Evangelical Christians,,,No,Somewhat approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
875124.0,West Virginia,71.0,Call 1,Complete,Election day exit poll,0.832682013511658,John Raese,Female,White,45-49,Republican,Conservative,,Postgraduate study,No,No,I strongly favor my candidate,Unfavorable,Favorable,About the same,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,,,,Reducing the budget deficit,,The Republican Party,,,No,McCain,,Non black female,White women,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Negative,,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,,,,All others,,,No,Somewhat approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
909054.0,West Virginia,71.0,Call 3,Complete,Election day exit poll,0.832682013511658,John Raese,Female,White,50-59,Independent,Liberal,,Postgraduate study,No,No,I like my candidate but with reservations,Favorable,Favorable,About the same,Barack Obama was not a factor,"Dissatisfied, but not angry",,,,,,Spending to create jobs,,Does not matter to me,,,No,McCain,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Negative,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,,,All others,,,No,Somewhat approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
874518.0,West Virginia,71.0,Call 1,Complete,Election day exit poll,0.807320117950439,Joe Manchin,Female,White,60-64,Republican,Moderate,,High school graduate,No,Yes,I strongly favor my candidate,Favorable,Unfavorable,Worse,To express support for Barack Obama,"Satisfied, but not enthusiastic",,,,,,Reducing the budget deficit,,Omit,,,No,Obama,,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,Positive,,,,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,,,,,White Born-again/Evangelical Christians,,,Yes,Somewhat approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
874652.0,West Virginia,71.0,Call 1,Complete,Election day exit poll,0.840485036373138,Joe Manchin,Male,White,65 or over,Democrat,Moderate,,High school graduate,,No,I like my candidate but with reservations,Favorable,Unfavorable,About the same,Barack Obama was not a factor,"Dissatisfied, but not angry",,,,,,Spending to create jobs,,The Democratic Party,,,No,Obama,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,Negative,,,,Democrat,Democratic Men,White Democrats,Moderate/Conservative Democrats,White,,,,,All others,,,Yes,Somewhat approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
874379.0,West Virginia,71.0,Call 1,Complete,Election day exit poll,0.807320117950439,Joe Manchin,Female,White,60-64,Independent,Moderate,,Some college/assoc. degree,No,Yes,I dislike the other candidate,Unfavorable,Unfavorable,Worse,Barack Obama was not a factor,"Dissatisfied, but not angry",,,,,,Reducing the budget deficit,,Does not matter to me,,,No,Obama,,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,Negative,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,,,White Born-again/Evangelical Christians,,,No,Somewhat approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
874210.0,West Virginia,71.0,Call 1,Complete,Election day exit poll,0.807320117950439,Joe Manchin,Female,White,65 or over,Democrat,Moderate,,College graduate,No,No,I strongly favor my candidate,Favorable,Unfavorable,About the same,Barack Obama was not a factor,Angry,,,,,,Reducing the budget deficit,,The Democratic Party,,,Yes,Obama,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,,,,,,Negative,,,,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,,,,,All others,,,No,Strongly approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
876295.0,West Virginia,71.0,Call 1,Not complete,Election day exit poll,0.962486803531647,John Raese,Female,White,65 or over,,,,High school graduate,No,,,,,,,,,,,,,,Can bring needed change,,,Before that,,,No,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,,,,,,,,,White,,Before that,In the last month or earlier,,,,No,,,,All others,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 1,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
890541.0,West Virginia,71.0,Call 2,Complete,Election day exit poll,0.679453194141388,Joe Manchin,Female,White,18-24,Republican,Moderate,"$50,000-$74,999",High school graduate,No,,,,,,,,Government should do more to solve problems,Expand it,Health care,Somewhat worried,Somewhat disapprove,,Has the right experience,,Neutral,In the last three days,,,No,Non black female,White women,18-29,18-29,18-44,18-29,18-24,White 18-29,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,Something else,Worried,Disapprove,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,Neutral,In the last month,In the last week,No,,Non-Tea Party supporters and Republicans,No,,,,All others,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 1,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
890540.0,West Virginia,71.0,Call 2,Complete,Election day exit poll,0.679453194141388,Joe Manchin,Female,White,18-24,Republican,Moderate,"$50,000-$74,999",High school graduate,No,,,,,,,,Government should do more to solve problems,Expand it,Health care,Somewhat worried,Somewhat disapprove,,Has the right experience,,Neutral,In the last three days,,,No,Non black female,White women,18-29,18-29,18-44,18-29,18-24,White 18-29,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,Something else,Worried,Disapprove,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,Neutral,In the last month,In the last week,No,,Non-Tea Party supporters and Republicans,No,,,,All others,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 1,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
890455.0,West Virginia,71.0,Call 2,Complete,Election day exit poll,0.698441684246063,Joe Manchin,Female,White,30-39,Democrat,Liberal,"$75,000-$99,999",Postgraduate study,No,,,,,,,,Government should do more to solve problems,Expand it,Health care,Somewhat worried,Somewhat approve,,Can bring needed change,,Neutral,In the last month,,,No,Non black female,White women,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,Something else,Worried,Approve,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,Neutral,In the last month,In the last month or earlier,No,,Non-Tea Party supporters and Democrats,No,,,,All others,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 1,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
875730.0,West Virginia,71.0,Call 1,Complete,Election day exit poll,0.840485036373138,Joe Manchin,Male,White,60-64,Democrat,Moderate,"Under $30,000",High school graduate,No,,,,,,,,Government is doing too many things better left to businesses and individuals,Leave it as is,The economy,Somewhat worried,Strongly disapprove,,Has the right experience,,Neutral,In the last week,,,Yes,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,The economy,Worried,Disapprove,Democrat,Democratic Men,White Democrats,Moderate/Conservative Democrats,White,Neutral,In the last month,In the last week,Yes,,Non-Tea Party supporters and Democrats,No,,,,All others,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 1,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
875607.0,West Virginia,71.0,Call 1,Complete,Election day exit poll,0.727133870124817,Joe Manchin,Male,White,50-59,Democrat,Moderate,"$30,000-$49,999",High school graduate,No,,,,,,,,Government should do more to solve problems,Leave it as is,Health care,Somewhat worried,Somewhat approve,,Understands the needs of people like me,,Strongly oppose,Before that,,,Yes,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,,Something else,Worried,Approve,Democrat,Democratic Men,White Democrats,Moderate/Conservative Democrats,White,Oppose,Before that,In the last month or earlier,Yes,,Non-Tea Party supporters and Democrats,No,,,,All others,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 1,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
875537.0,West Virginia,71.0,Call 1,Complete,Election day exit poll,0.807320117950439,Joe Manchin,Female,White,60-64,Independent,Moderate,"$50,000-$74,999",College graduate,No,,,,,,,,Government should do more to solve problems,Leave it as is,Health care,Very worried,Somewhat approve,,Has the right experience,,Strongly oppose,In the last month,,,No,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,Something else,Worried,Approve,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Oppose,In the last month,In the last month or earlier,No,,Non-Tea Party supporters and Independents/Something else,No,,,,All others,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 1,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
