ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENFL10,GOVFL10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,CUBAN3,CHILD,DESCRIBS10B,FAVDEM2,FAVREP2,FINSIT2,FORECLOSE,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,LAIDOFF,NECWORRY,OBAMA4,PRIORITY,QUALSEN10,SENCNTL,STIMULUS,TEAPARTY,TEAREAS,TIMESEN10,TRACK,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARENTS,TEAPARTY3,TIMESENMTH10,TIMESENWK10,WHNCLINC,XTEAPARTYID,@2WAYSENFL,DECLINE10,DESCRIBG10,MARRIED,FORECLOSE2,QTYPE,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
886619.0,Florida,110.0,Call 2,Complete,Election day exit poll,1.74000000953674,Marco Rubio,Rick Scott,Male,White,65 or over,Independent,Conservative,,Some college/assoc. degree,No,,I strongly favor my candidate,Unfavorable,Favorable,Worse,,To express opposition to Barack Obama,Angry,,,,,,,Cutting taxes,,The Republican Party,,,In favor of the Tea Party movement,,,McCain,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,,,,,,,Negative,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,,,,,,,,Yes,,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 2,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale
902807.0,Florida,110.0,Call 3,Complete,Election day exit poll,1.78999996185303,Marco Rubio,Rick Scott,Male,White,50-59,Independent,Conservative,"$200,000 or more",High school graduate,No,No,,,,,Very worried,,,,,,,,Strongly disapprove,,Can bring needed change,,Hurt the economy,Somewhat support,,,Seriously off on the wrong track,McCain,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Men without children,,,,Disapprove,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Do not have children,Support,,,No,Tea Party supporters,Marco Rubio,"A serious, long-term decline",,,Worried,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 3,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale
902806.0,Florida,110.0,Call 3,Complete,Election day exit poll,1.78999996185303,Marco Rubio,Rick Scott,Male,White,50-59,Independent,Conservative,"$200,000 or more",High school graduate,No,No,,,,,Very worried,,,,,,,,Strongly disapprove,,Can bring needed change,,Hurt the economy,Somewhat support,,,Seriously off on the wrong track,McCain,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Men without children,,,,Disapprove,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Do not have children,Support,,,No,Tea Party supporters,Marco Rubio,"A serious, long-term decline",,,Worried,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 3,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale
886994.0,Florida,110.0,Call 2,Complete,Election day exit poll,1.74000000953674,Charlie Crist,Rick Scott,Female,White,40-44,Republican,Moderate,"$75,000-$99,999",Some college/assoc. degree,No,Yes,,,,,Very worried,,,,,,,,Somewhat disapprove,,Has the right experience,,Hurt the economy,Somewhat support,,,Seriously off on the wrong track,McCain,Non black female,White women,30-44,30-59,18-44,30-44,40-49,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Moms - Women with children,,,,Disapprove,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,Tea Party supporters and Moms,Support,,,No,Tea Party supporters,Marco Rubio,"A serious, long-term decline",,,Worried,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 3,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale
860121.0,Florida,50000.0,,Complete,Telephone survey,1.97000002861023,Charlie Crist,Alex Sink,Male,White,60-64,Independent,Moderate,,Some college/assoc. degree,No,,I dislike the other candidates,Unfavorable,Unfavorable,Worse,,Barack Obama was not a factor,"Dissatisfied, but not angry",,,,,,,Reducing the budget deficit,,Does not matter to me,,,Against the Tea Party movement,,,Obama,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,,Negative,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,,,,,,,,Yes,,State questionnaire,English,Suburbs,Suburbs,1.0,1.0,South,Version 2,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale
871032.0,Florida,110.0,Call 1,Complete,Election day exit poll,0.649999976158142,Other,Alex Sink,Female,White,50-59,Independent,Moderate,,Postgraduate study,No,,I like my candidate but with reservations,Unfavorable,Unfavorable,About the same,,Barack Obama was not a factor,"Dissatisfied, but not angry",,,,,,,Reducing the budget deficit,,The Democratic Party,,,The Tea Party movement was not a factor,,,Obama,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,Negative,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,,,,,,,,Yes,,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 2,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale
902552.0,Florida,110.0,Call 3,Complete,Election day exit poll,2.09999990463257,Charlie Crist,Alex Sink,Female,White,60-64,Independent,Moderate,,Postgraduate study,No,,I like my candidate but with reservations,Favorable,Unfavorable,Better,,Barack Obama was not a factor,"Satisfied, but not enthusiastic",,,,,,,Reducing the budget deficit,,The Democratic Party,,,Against the Tea Party movement,,,Obama,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,Positive,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,,,,,,,,Yes,,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 2,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale
886791.0,Florida,110.0,Call 2,Complete,Election day exit poll,1.54999995231628,Kendrick Meek,Alex Sink,Male,Black,40-44,Independent,Conservative,,Postgraduate study,No,,I strongly favor my candidate,Favorable,Unfavorable,About the same,,To express support for Barack Obama,"Satisfied, but not enthusiastic",,,,,,,Cutting taxes,,The Democratic Party,,,The Tea Party movement was not a factor,,,Obama,Black male,Black men,30-44,30-59,18-44,30-44,40-49,Black 30-44,College graduate,More than High school graduate,Non white college degree,,,,,,,Positive,,,,Independent/Something else,Independent Men,All others,Independents/Something else,Black,,,,,,,,,,Yes,,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 2,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale
864824.0,Florida,50000.0,,Complete,Telephone survey,1.64999997615814,Charlie Crist,Alex Sink,Female,White,65 or over,Democrat,Liberal,,Some college/assoc. degree,,,,,,,,,,Government should do more to solve problems,,Health care,,Somewhat worried,Strongly approve,,,,,Strongly oppose,,,,Obama,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,,,,,,,,Something else,Worried,Approve,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,,Oppose,,,,Non-Tea Party supporters and Democrats,,,,,,National questionnaire,,Suburbs,Suburbs,1.0,1.0,South,Version 1,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale
886860.0,Florida,110.0,Call 2,Complete,Election day exit poll,1.42999994754791,Kendrick Meek,Alex Sink,Female,Black,50-59,Democrat,Liberal,"$200,000 or more",Postgraduate study,No,No,,,,,Somewhat worried,,,,,,,,Strongly approve,,Can bring needed change,,Helped the economy,Strongly oppose,,,Generally going in the right direction,Obama,Black female,Black women,45-65,30-59,45+,45-59,50-64,Black 45-54,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,Women without children,,,,Approve,Democrat,Democratic Women,Non White Democrats,Liberal Democrats,Black,Do not have children,Oppose,,,No,Non-Tea Party supporters and Democrats,Kendrick Meek,A normal downturn,,,Worried,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 3,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale
902636.0,Florida,110.0,Call 3,Complete,Election day exit poll,2.16000008583069,Charlie Crist,Alex Sink,Female,White,50-59,Democrat,Liberal,"$100,000-$199,999",Postgraduate study,No,Yes,,,,,Not very worried,,,,,,,,Strongly approve,,Can bring needed change,,Helped the economy,Strongly oppose,,,Generally going in the right direction,Obama,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Moms - Women with children,,,,Approve,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,Non-Tea Party supporters and Moms,Oppose,,,No,Non-Tea Party supporters and Democrats,Kendrick Meek,"A serious, long-term decline",,,Not worried,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 3,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale
887065.0,Florida,110.0,Call 2,Complete,Election day exit poll,2.16000008583069,Charlie Crist,Alex Sink,Female,White,40-44,Democrat,Conservative,"$50,000-$74,999",College graduate,No,Yes,,,,,Somewhat worried,,,,,,,,Somewhat approve,,Has the right experience,,Helped the economy,Strongly oppose,,,Seriously off on the wrong track,Obama,Non black female,White women,30-44,30-59,18-44,30-44,40-49,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Moms - Women with children,,,,Approve,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,Non-Tea Party supporters and Moms,Oppose,,,No,Non-Tea Party supporters and Democrats,Kendrick Meek,A normal downturn,,,Worried,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 3,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale
886179.0,Florida,110.0,Call 2,Complete,Election day exit poll,1.78999996185303,Marco Rubio,Rick Scott,Male,White,45-49,Republican,Liberal,"$200,000 or more",Postgraduate study,No,,,,,,,,,Government should do more to solve problems,Repeal it,The economy,Omit,Very worried,Strongly disapprove,,,,,Strongly oppose,,Before that,,,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,,,The economy,Worried,Disapprove,Republican,Republican Men,White Republicans,Moderate/Liberal Republicans,White,,Oppose,Before that,In the last month or earlier,No,Non-Tea Party supporters and Republicans,,,I strongly favor my candidate,,,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 1,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale
859816.0,Florida,50000.0,,Complete,Telephone survey,1.85000002384186,Marco Rubio,Rick Scott,Male,White,65 or over,Republican,Moderate,"$200,000 or more",Postgraduate study,No,,,,,,,,,Government is doing too many things better left to businesses and individuals,Repeal it,The economy,No,Somewhat worried,Strongly disapprove,,,,,Somewhat support,,Before that,,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,,,The economy,Worried,Disapprove,Republican,Republican Men,White Republicans,Moderate/Liberal Republicans,White,,Support,Before that,In the last month or earlier,No,Tea Party supporters,,,I strongly favor my candidate,,,State questionnaire,English,Suburbs,Suburbs,1.0,1.0,South,Version 1,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale
886360.0,Florida,110.0,Call 2,Complete,Election day exit poll,1.78999996185303,Marco Rubio,Rick Scott,Male,White,50-59,Independent,Conservative,"$50,000-$74,999",College graduate,No,,,,,,,,,Government is doing too many things better left to businesses and individuals,Repeal it,The economy,No,Somewhat worried,Strongly disapprove,,,,,Strongly support,,Before that,,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,,The economy,Worried,Disapprove,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,Support,Before that,In the last month or earlier,No,Tea Party supporters,,,I like my candidate but with reservations,,,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 1,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale
902463.0,Florida,110.0,Call 3,Complete,Election day exit poll,1.58000004291534,Marco Rubio,Rick Scott,Male,,65 or over,Republican,Moderate,"$75,000-$99,999",High school graduate,No,,,,,,,,,Government should do more to solve problems,Leave it as is,The economy,No,Very worried,Somewhat disapprove,,,,,Neutral,,In the last week,,,,,65+,60+,45+,60+,65+,,No college degree,High school graduate or less,,Less than 100k,50k or more,30k or more,50 to 100 thousand,,,,The economy,Worried,Disapprove,Republican,Republican Men,,Moderate/Liberal Republicans,,,Neutral,In the last month,In the last week,,Non-Tea Party supporters and Republicans,,,I strongly favor my candidate,,,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 1,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale
870877.0,Florida,110.0,Call 1,Complete,Election day exit poll,1.42999994754791,Kendrick Meek,Alex Sink,Female,Black,45-49,Democrat,Liberal,"$200,000 or more",Postgraduate study,No,,,,,,,,,Government should do more to solve problems,Expand it,The economy,No,Very worried,Strongly approve,,,,,Strongly oppose,,Before that,,,Black female,Black women,45-65,30-59,45+,45-59,40-49,Black 45-54,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,,,The economy,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Liberal Democrats,Black,,Oppose,Before that,In the last month or earlier,No,Non-Tea Party supporters and Democrats,,,I strongly favor my candidate,,,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 1,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale
870946.0,Florida,110.0,Call 1,Complete,Election day exit poll,1.78999996185303,Marco Rubio,Rick Scott,Male,White,50-59,Republican,Conservative,"$200,000 or more",Some college/assoc. degree,No,,,,,,,,,Government is doing too many things better left to businesses and individuals,Repeal it,Health care,No,Very worried,Strongly disapprove,,,,,Strongly support,,Before that,,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,,,Something else,Worried,Disapprove,Republican,Republican Men,White Republicans,Conservative Republicans,White,,Support,Before that,In the last month or earlier,No,Tea Party supporters,,,I strongly favor my candidate,,,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 1,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale
886414.0,Florida,110.0,Call 2,Complete,Election day exit poll,1.42999994754791,Kendrick Meek,Alex Sink,Female,Black,50-59,Democrat,Moderate,"$200,000 or more",Postgraduate study,No,,,,,,,,,Government should do more to solve problems,Leave it as is,Health care,No,Somewhat worried,Strongly approve,,,,,Strongly oppose,,Before that,,,Black female,Black women,45-65,30-59,45+,45-59,50-64,Black 45-54,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,,,Something else,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,Oppose,Before that,In the last month or earlier,No,Non-Tea Party supporters and Democrats,,,I strongly favor my candidate,,,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 1,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale
886096.0,Florida,110.0,Call 2,Complete,Election day exit poll,1.61000001430511,Marco Rubio,Rick Scott,Female,White,65 or over,Republican,Moderate,"$30,000-$49,999",Some college/assoc. degree,No,,,,,,,,,Government should do more to solve problems,Repeal it,The economy,Yes,Somewhat worried,Somewhat disapprove,,,,,Neutral,,In the last month,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,,,The economy,Worried,Disapprove,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,,Neutral,In the last month,In the last month or earlier,Yes,Non-Tea Party supporters and Republicans,,,I like my candidate but with reservations,,,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 1,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale
886303.0,Florida,110.0,Call 2,Complete,Election day exit poll,1.61000001430511,Marco Rubio,Rick Scott,Female,White,65 or over,Republican,Moderate,"$30,000-$49,999",Some college/assoc. degree,No,,,,,,,,,Government is doing too many things better left to businesses and individuals,Expand it,The economy,Yes,Very worried,Strongly disapprove,,,,,Somewhat support,,In the last month,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,,,The economy,Worried,Disapprove,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,,Support,In the last month,In the last month or earlier,Yes,Tea Party supporters,,,I strongly favor my candidate,,,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 1,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale
886245.0,Florida,110.0,Call 2,Complete,Election day exit poll,1.92999994754791,Marco Rubio,Rick Scott,Female,White,18-24,,,,Some college/assoc. degree,No,,,,,,,,,Omit,Omit,Health care,Yes,Omit,Strongly disapprove,,,,,Somewhat support,,Before that,,,Non black female,White women,18-29,18-29,18-44,18-29,18-24,White 18-29,No college degree,More than High school graduate,White no college degree,,,,,,,,Something else,Omit,Disapprove,,,,,White,,Support,Before that,In the last month or earlier,,,,,Omit,,,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 1,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale
859740.0,Florida,50063.0,,Complete,Telephone survey,2.59999990463257,Charlie Crist,Alex Sink,Male,Hispanic,50-59,Something else,Liberal,"Under $30,000",High school graduate,"Yes, other Hispanic",,,,,,,,,Omit,Expand it,Health care,Yes,Very worried,Strongly approve,,,,,Strongly oppose,,In the last month,,,Non black male,Latino men,45-65,30-59,45+,45-59,50-64,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,,Something else,Worried,Approve,Independent/Something else,Independent Men,All others,Independents/Something else,Hispanic/Latino,,Oppose,In the last month,In the last month or earlier,No,Non-Tea Party supporters and Independents/Something else,,,I like my candidate but with reservations,,,State questionnaire,English,Suburbs,Suburbs,13.0,4.0,South,Version 1,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale
