ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENLA10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,GOVTDO10,HEALTHCARE10,ISSUE10,NECWORRY,OBAMA4,TEAPARTY,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARTY3,WHNCLINC,XTEAPARTYID,FAVMELAN,FAVVITTER,HURRICANE,OILSPILL,HURRICANE2,OILSPILL2,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
893223.0, Louisiana,15.0,Call 2,Complete,Election day exit poll,0.992522358894348,Did not vote,Female,White,60-64,Republican,,,High school graduate,No,,Repeal it,,,,Strongly support,McCain,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,,,,Republican,Republican Women,White Republicans,,White,Support,,Tea Party supporters,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",7.0,2.0,South,Version 3,Low Density Rural,Urban,Urban Core,Upscale,70607.0
915317.0, Louisiana,8.0,Call 3,Complete,Election day exit poll,1.07163119316101,Did not vote,Female,Black,30-39,Democrat,Conservative,"$50,000-$74,999",High school graduate,No,,,,,,,,Black female,Black women,30-44,30-59,18-44,30-44,30-39,Black 30-44,No college degree,High school graduate or less,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,No,,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,1.0,South,Version 4,Suburb,Urban,Urban Core,Very upscale,71105.0
872692.0, Louisiana,42.0,Call 1,Complete,Election day exit poll,1.12575316429138,Did not vote,Male,White,18-24,Independent,Moderate,"$75,000-$99,999",Some college/assoc. degree,No,Government is doing too many things better left to businesses and individuals,,The war in Afghanistan,Not too worried,Somewhat disapprove,Somewhat oppose,McCain,Non black male,White men,18-29,18-29,18-44,18-29,18-24,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Something else,Not worried,Disapprove,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Oppose,No,Non-Tea Party supporters and Independents/Something else,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,4.0,South,Version 1,Suburb,Urban,Urban Core,Downscale,70062.0
895869.0, Louisiana,44.0,Call 2,Complete,Election day exit poll,1.41663110256195,Charlie Melancon,Female,Black,45-49,Democrat,Moderate,"$30,000-$49,999",College graduate,No,Government should do more to solve problems,Expand it,The war in Afghanistan,Somewhat worried,Strongly approve,Neutral,Obama,Black female,Black women,45-65,30-59,45+,45-59,40-49,Black 45-54,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,Something else,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,Neutral,No,Non-Tea Party supporters and Democrats,Favorable,Unfavorable,No severe hardship,No severe hardship,No severe hardship,No severe hardship,State questionnaire,Suburbs,Suburbs,2.0,4.0,South,Version 1,Suburb,60s Suburbs,Urban Perimeter,Very downscale,70094.0
874871.0, Louisiana,59.0,Call 1,Not complete,Election day exit poll,1.10434019565582,Charlie Melancon,Female,White,40-44,,,,High school graduate,No,Government is doing too many things better left to businesses and individuals,,,,,,,Non black female,White women,30-44,30-59,18-44,30-44,40-49,White 30-44,No college degree,High school graduate or less,White no college degree,,,,,,,,,,,,,White,,,,Unfavorable,Unfavorable,No severe hardship,,No severe hardship,,State questionnaire,Suburbs,Suburbs,6.0,4.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Upscale,70706.0
872532.0, Louisiana,3.0,Call 1,Not complete,Election day exit poll,1.30396091938019,Charlie Melancon,Male,Black,50-59,,,,Some college/assoc. degree,No,Government should do more to solve problems,,,,,,,Black male,Black men,45-65,30-59,45+,45-59,50-64,Black 45-54,No college degree,More than High school graduate,Non white no college degree,,,,,,,,,,,,,Black,,,,Omit,Unfavorable,No severe hardship,,No severe hardship,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,1.0,South,Version 1,Suburb,Urban,Urban Core,Upscale,71112.0
874861.0, Louisiana,82.0,Call 1,Complete,Election day exit poll,0.640411794185638,Charlie Melancon,Female,Black,60-64,Democrat,Moderate,"$75,000-$99,999",College graduate,No,Government should do more to solve problems,Expand it,The economy,Somewhat worried,Strongly approve,Strongly oppose,Obama,Black female,Black women,45-65,60+,45+,60+,50-64,Black 45-54,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,The economy,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,Oppose,No,Non-Tea Party supporters and Democrats,Favorable,Unfavorable,No severe hardship,No severe hardship,No severe hardship,No severe hardship,State questionnaire,Suburbs,Suburbs,3.0,3.0,South,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,70084.0
914514.0, Louisiana,86.0,Call 3,Complete,Election day exit poll,0.857541918754578,Charlie Melancon,Female,Black,40-44,Democrat,Moderate,"$30,000-$49,999",Some college/assoc. degree,No,Government should do more to solve problems,Expand it,Health care,Very worried,Somewhat approve,Somewhat oppose,Obama,Black female,Black women,30-44,30-59,18-44,30-44,40-49,Black 30-44,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,Something else,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,Oppose,No,Non-Tea Party supporters and Democrats,Favorable,Unfavorable,No severe hardship,No severe hardship,No severe hardship,No severe hardship,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,7.0,2.0,South,Version 1,Suburb,Rural,Rural,Downscale,70570.0
893509.0, Louisiana,63.0,Call 2,Complete,Election day exit poll,0.665576636791229,Charlie Melancon,Male,White,30-39,Democrat,Liberal,"$30,000-$49,999",Postgraduate study,No,Government should do more to solve problems,Expand it,The economy,Somewhat worried,Somewhat approve,Somewhat oppose,Obama,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,The economy,Worried,Approve,Democrat,Democratic Men,White Democrats,Liberal Democrats,White,Oppose,No,Non-Tea Party supporters and Democrats,Favorable,Unfavorable,No severe hardship,No severe hardship,No severe hardship,No severe hardship,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,5.0,South,Version 1,Extremely High Density Urban,Urban,Urban Core,Very downscale,70116.0
893505.0, Louisiana,21.0,Call 2,Complete,Election day exit poll,0.734043717384338,Charlie Melancon,Male,Black,,Democrat,Liberal,"$75,000-$99,999",Some college/assoc. degree,No,Government should do more to solve problems,Expand it,The economy,Very worried,Strongly approve,Strongly oppose,Obama,Black male,Black men,,,,,,,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,The economy,Worried,Approve,Democrat,Democratic Men,Non White Democrats,Liberal Democrats,Black,Oppose,No,Non-Tea Party supporters and Democrats,Favorable,Unfavorable,No severe hardship,No severe hardship,No severe hardship,No severe hardship,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",6.0,3.0,South,Version 1,Suburb,Urban,Urban Core,Very downscale,70805.0
872507.0, Louisiana,3.0,Call 1,Complete,Election day exit poll,1.25478386878967,Charlie Melancon,Female,Black,45-49,Democrat,Conservative,"$30,000-$49,999",Some college/assoc. degree,No,Government should do more to solve problems,Expand it,Health care,Somewhat worried,Strongly approve,Strongly oppose,Obama,Black female,Black women,45-65,30-59,45+,45-59,40-49,Black 45-54,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,Something else,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,Oppose,No,Non-Tea Party supporters and Democrats,Favorable,Unfavorable,A severe hardship but you have recovered,No severe hardship,Caused a severe hardship,No severe hardship,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,1.0,South,Version 1,Suburb,Urban,Urban Core,Upscale,71112.0
914497.0, Louisiana,71.0,Call 3,Complete,Election day exit poll,0.914856910705566,Charlie Melancon,Male,White,30-39,Republican,Conservative,"$100,000-$199,999",Postgraduate study,No,Government is doing too many things better left to businesses and individuals,Repeal it,The economy,Somewhat worried,Strongly disapprove,Somewhat support,McCain,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,The economy,Worried,Disapprove,Republican,Republican Men,White Republicans,Conservative Republicans,White,Support,No,Tea Party supporters,Unfavorable,Unfavorable,No severe hardship,No severe hardship,No severe hardship,No severe hardship,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,1.0,South,Version 1,Suburb,Urban,Urban Core,Upscale,71203.0
872502.0, Louisiana,70.0,Call 1,Complete,Election day exit poll,0.973166406154633,Charlie Melancon,Female,White,25-29,Republican,Moderate,"Under $30,000",Some college/assoc. degree,No,Government should do more to solve problems,Repeal it,The economy,Somewhat worried,Somewhat disapprove,Neutral,McCain,Non black female,White women,18-29,18-29,18-44,18-29,25-29,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,The economy,Worried,Disapprove,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,Neutral,Yes,Non-Tea Party supporters and Republicans,Favorable,Unfavorable,No severe hardship,No severe hardship,No severe hardship,No severe hardship,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,1.0,South,Version 1,Suburb,Urban,Urban Core,Very upscale,71201.0
893555.0, Louisiana,26.0,Call 2,Complete,Election day exit poll,0.831453263759613,Charlie Melancon,Male,Black,60-64,Democrat,Conservative,"$100,000-$199,999",Postgraduate study,No,Government should do more to solve problems,Expand it,The economy,Not too worried,Strongly approve,Strongly oppose,Obama,Black male,Black men,45-65,60+,45+,60+,50-64,Black 45-54,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,The economy,Not worried,Approve,Democrat,Democratic Men,Non White Democrats,Moderate/Conservative Democrats,Black,Oppose,No,Non-Tea Party supporters and Democrats,Favorable,Unfavorable,A severe hardship and you have not recovered,No severe hardship,Caused a severe hardship,No severe hardship,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",6.0,3.0,South,Version 1,Suburb,Urban,Urban Core,Very upscale,70808.0
874827.0, Louisiana,63.0,Call 1,Complete,Election day exit poll,0.665576636791229,Charlie Melancon,Male,White,50-59,Something else,Moderate,"$100,000-$199,999",College graduate,No,Omit,Repeal it,The economy,Somewhat worried,Somewhat disapprove,Omit,Obama,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,The economy,Worried,Disapprove,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Omit,No,,Favorable,Unfavorable,No severe hardship,No severe hardship,No severe hardship,No severe hardship,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,5.0,South,Version 1,Extremely High Density Urban,Urban,Urban Core,Very downscale,70116.0
872492.0, Louisiana,14.0,Call 1,Complete,Election day exit poll,0.737468898296356,Charlie Melancon,Female,White,65 or over,Independent,Conservative,"Under $30,000",High school graduate,No,Government is doing too many things better left to businesses and individuals,Expand it,The economy,Very worried,Strongly disapprove,Somewhat support,McCain,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,The economy,Worried,Disapprove,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Support,Yes,Tea Party supporters,Favorable,Unfavorable,No severe hardship,No severe hardship,No severe hardship,No severe hardship,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",7.0,2.0,South,Version 1,Suburb,Urban,Urban Core,Very upscale,70605.0
914483.0, Louisiana,26.0,Call 3,Complete,Election day exit poll,0.728983521461487,Charlie Melancon,Male,Black,30-39,Independent,Moderate,"$75,000-$99,999",College graduate,No,Government should do more to solve problems,Expand it,The economy,Somewhat worried,Somewhat approve,Somewhat oppose,Obama,Black male,Black men,30-44,30-59,18-44,30-44,30-39,Black 30-44,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,The economy,Worried,Approve,Independent/Something else,Independent Men,All others,Independents/Something else,Black,Oppose,No,Non-Tea Party supporters and Independents/Something else,Favorable,Unfavorable,No severe hardship,No severe hardship,No severe hardship,No severe hardship,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",6.0,3.0,South,Version 1,Suburb,Urban,Urban Core,Very upscale,70808.0
893470.0, Louisiana,82.0,Call 2,Complete,Election day exit poll,0.56148636341095,Charlie Melancon,Female,Black,30-39,Democrat,Liberal,"$30,000-$49,999",Postgraduate study,No,Government should do more to solve problems,Expand it,The economy,Not too worried,Strongly approve,Somewhat oppose,Obama,Black female,Black women,30-44,30-59,18-44,30-44,30-39,Black 30-44,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,The economy,Not worried,Approve,Democrat,Democratic Women,Non White Democrats,Liberal Democrats,Black,Oppose,No,Non-Tea Party supporters and Democrats,Favorable,Unfavorable,No severe hardship,No severe hardship,No severe hardship,No severe hardship,State questionnaire,Suburbs,Suburbs,3.0,3.0,South,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,70084.0
895802.0, Louisiana,44.0,Call 2,Complete,Election day exit poll,1.10434019565582,Charlie Melancon,Female,White,30-39,Democrat,Liberal,"$75,000-$99,999",College graduate,No,Government should do more to solve problems,Expand it,Health care,Very worried,Somewhat disapprove,Strongly oppose,Obama,Non black female,White women,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Something else,Worried,Disapprove,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,Oppose,No,Non-Tea Party supporters and Democrats,Unfavorable,Unfavorable,No severe hardship,No severe hardship,No severe hardship,No severe hardship,State questionnaire,Suburbs,Suburbs,2.0,4.0,South,Version 1,Suburb,60s Suburbs,Urban Perimeter,Very downscale,70094.0
874798.0, Louisiana,65.0,Call 1,Complete,Election day exit poll,0.681366622447968,Charlie Melancon,Male,White,,Independent,Liberal,,College graduate,No,Government should do more to solve problems,Expand it,The economy,Somewhat worried,Somewhat approve,Somewhat oppose,Obama,Non black male,White men,,,,,,,College graduate,More than High school graduate,White college degree,,,,,,The economy,Worried,Approve,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Oppose,,Non-Tea Party supporters and Independents/Something else,Favorable,Favorable,A severe hardship but you have recovered,No severe hardship,Caused a severe hardship,No severe hardship,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,5.0,South,Version 1,High Density Urban,Urban,Urban Core,Very downscale,70117.0
874797.0, Louisiana,21.0,Call 1,Complete,Election day exit poll,0.689991056919098,Charlie Melancon,Female,Black,50-59,Democrat,Moderate,"$30,000-$49,999",Some college/assoc. degree,No,Government is doing too many things better left to businesses and individuals,Expand it,The economy,Very worried,Strongly approve,Neutral,Obama,Black female,Black women,45-65,30-59,45+,45-59,50-64,Black 45-54,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,The economy,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,Neutral,No,Non-Tea Party supporters and Democrats,Favorable,Unfavorable,No severe hardship,No severe hardship,No severe hardship,No severe hardship,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",6.0,3.0,South,Version 1,Suburb,Urban,Urban Core,Very downscale,70805.0
914452.0, Louisiana,86.0,Call 3,Complete,Election day exit poll,0.877886056900024,Charlie Melancon,Female,Black,,Democrat,Liberal,,Some college/assoc. degree,No,Omit,Expand it,Health care,Not at all worried,Strongly approve,Strongly oppose,Obama,Black female,Black women,,,,,,,No college degree,More than High school graduate,Non white no college degree,,,,,,Something else,Not worried,Approve,Democrat,Democratic Women,Non White Democrats,Liberal Democrats,Black,Oppose,,Non-Tea Party supporters and Democrats,Favorable,Unfavorable,No severe hardship,No severe hardship,No severe hardship,No severe hardship,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,7.0,2.0,South,Version 1,Suburb,Rural,Rural,Downscale,70570.0
874785.0, Louisiana,44.0,Call 1,Complete,Election day exit poll,1.47215139865875,Charlie Melancon,Male,Black,50-59,Democrat,Moderate,"$50,000-$74,999",Some college/assoc. degree,No,Government should do more to solve problems,Leave it as is,The economy,Not too worried,Strongly approve,Somewhat oppose,Obama,Black male,Black men,45-65,30-59,45+,45-59,50-64,Black 45-54,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,The economy,Not worried,Approve,Democrat,Democratic Men,Non White Democrats,Moderate/Conservative Democrats,Black,Oppose,No,Non-Tea Party supporters and Democrats,Favorable,Unfavorable,A severe hardship but you have recovered,No severe hardship,Caused a severe hardship,No severe hardship,State questionnaire,Suburbs,Suburbs,2.0,4.0,South,Version 1,Suburb,60s Suburbs,Urban Perimeter,Very downscale,70094.0
914433.0, Louisiana,14.0,Call 3,Complete,Election day exit poll,0.829425811767578,Charlie Melancon,Female,Black,45-49,Democrat,Liberal,"$50,000-$74,999",Postgraduate study,No,Government should do more to solve problems,Leave it as is,The economy,Somewhat worried,Strongly approve,Neutral,Obama,Black female,Black women,45-65,30-59,45+,45-59,40-49,Black 45-54,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,The economy,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Liberal Democrats,Black,Neutral,No,Non-Tea Party supporters and Democrats,Favorable,Unfavorable,No severe hardship,No severe hardship,No severe hardship,No severe hardship,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",7.0,2.0,South,Version 1,Suburb,Urban,Urban Core,Very upscale,70605.0
893429.0, Louisiana,63.0,Call 2,Complete,Election day exit poll,0.665576636791229,Charlie Melancon,Male,White,30-39,Independent,Liberal,"Under $30,000",College graduate,No,Government should do more to solve problems,Expand it,The economy,Somewhat worried,Somewhat approve,Somewhat oppose,Obama,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,The economy,Worried,Approve,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Oppose,No,Non-Tea Party supporters and Independents/Something else,Favorable,Unfavorable,No severe hardship,No severe hardship,No severe hardship,No severe hardship,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,5.0,South,Version 1,Extremely High Density Urban,Urban,Urban Core,Very downscale,70116.0
893544.0, Louisiana,70.0,Call 2,Complete,Election day exit poll,1.15432608127594,Charlie Melancon,Male,Black,50-59,Democrat,Moderate,"$30,000-$49,999",High school graduate,No,Government should do more to solve problems,Expand it,The economy,Not too worried,Strongly approve,Neutral,Obama,Black male,Black men,45-65,30-59,45+,45-59,50-64,Black 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,The economy,Not worried,Approve,Democrat,Democratic Men,Non White Democrats,Moderate/Conservative Democrats,Black,Neutral,No,Non-Tea Party supporters and Democrats,Favorable,Unfavorable,No severe hardship,No severe hardship,No severe hardship,No severe hardship,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,1.0,South,Version 1,Suburb,Urban,Urban Core,Very upscale,71201.0
