ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENHI10,GOVHI10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,GOVTDO10,HEALTHCARE10,ISSUE10,NECWORRY,OBAMA4,TEAPARTY,UNIONHH10,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEHI,TEAPARTY3,WHNCLINC,XTEAPARTYID,LINGLE2,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
915499.0,Hawaii,44.0,Call 2,Complete,Election day exit poll,0.493632346391678,Did not vote,Neil Abercrombie,Female,White,30-39,Democrat,Liberal,"$30,000-$49,999",Some college/assoc. degree,No,Government is doing too many things better left to businesses and individuals,Expand it,Health care,Somewhat worried,Somewhat approve,Strongly oppose,No,Obama,Non black female,White women,30-44,30-59,18-44,30-44,30-39,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,Something else,Worried,Approve,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,Oppose,Yes,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Downscale,96714.0
891760.0,Hawaii,53.0,Call 1,Complete,Election day exit poll,0.483532041311264,,Neil Abercrombie,Male,White,18-24,,,,Postgraduate study,,Omit,Omit,Health care,Omit,Somewhat disapprove,Neutral,,Omit,Non black male,White men,18-29,18-29,18-44,18-29,18-24,White 18-29,College graduate,More than High school graduate,White college degree,,,,,,Something else,Omit,Disapprove,,,,,White,Neutral,,,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Upscale,96768.0
910507.0,Hawaii,53.0,Call 2,Complete,Election day exit poll,0.609986782073975,Did not vote,Neil Abercrombie,Female,Asian,65 or over,Independent,Moderate,"Under $30,000",Postgraduate study,No,Government is doing too many things better left to businesses and individuals,Omit,The economy,Very worried,Somewhat approve,Omit,No,Obama,Non black female,All other races,65+,60+,45+,60+,65+,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,The economy,Worried,Approve,Independent/Something else,Independent Women,All others,Independents/Something else,Asian,Omit,No,,Approve,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Upscale,96768.0
896139.0,Hawaii,8.0,Call 1,Complete,Election day exit poll,0.74010169506073,,Neil Abercrombie,Male,Other,60-64,Democrat,Moderate,"$75,000-$99,999",Postgraduate study,No,Government should do more to solve problems,Expand it,Health care,Not too worried,Strongly approve,Strongly oppose,Yes,Obama,Non black male,All other races,45-65,60+,45+,60+,50-64,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,Something else,Not worried,Approve,Democrat,Democratic Men,Non White Democrats,Moderate/Conservative Democrats,Native Hawaiian,Oppose,No,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96821.0
893746.0,Hawaii,44.0,Call 1,Complete,Election day exit poll,0.508783757686615,,Neil Abercrombie,Male,White,45-49,Something else,Liberal,"$50,000-$74,999",College graduate,No,Government should do more to solve problems,Expand it,The war in Afghanistan,Somewhat worried,Somewhat approve,Strongly oppose,No,Obama,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Something else,Worried,Approve,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Oppose,No,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Downscale,96714.0
893740.0,Hawaii,10.0,Call 1,Complete,Election day exit poll,0.58297598361969,,Neil Abercrombie,Female,Asian,30-39,Democrat,Moderate,"$50,000-$74,999",Postgraduate study,No,Government should do more to solve problems,Leave it as is,Health care,Somewhat worried,Somewhat approve,Somewhat oppose,No,Obama,Non black female,All other races,30-44,30-59,18-44,30-44,30-39,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,Something else,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Asian,Oppose,No,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96816.0
920037.0,Hawaii,44.0,Call 3,Complete,Election day exit poll,0.493632346391678,,Neil Abercrombie,Female,White,50-59,Democrat,Liberal,"$30,000-$49,999",No high school diploma,No,Government should do more to solve problems,Expand it,Health care,Somewhat worried,Somewhat approve,Neutral,No,Obama,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,Something else,Worried,Approve,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,Neutral,Yes,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Downscale,96714.0
920024.0,Hawaii,44.0,Call 3,Complete,Election day exit poll,0.493632346391678,,Neil Abercrombie,Female,White,50-59,Democrat,Liberal,"Under $30,000",College graduate,No,Government should do more to solve problems,Expand it,Omit,Somewhat worried,Strongly approve,Somewhat oppose,No,Obama,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,Omit,Worried,Approve,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,Oppose,No,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Downscale,96714.0
919837.0,Hawaii,43.0,Call 3,Complete,Election day exit poll,0.573419034481049,,Neil Abercrombie,Female,White,50-59,Independent,Conservative,"$75,000-$99,999",Some college/assoc. degree,No,Government is doing too many things better left to businesses and individuals,Repeal it,Health care,Somewhat worried,Somewhat disapprove,Neutral,No,Obama,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Something else,Worried,Disapprove,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Neutral,No,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Suburbs,Suburbs,2.0,1.0,West,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
915558.0,Hawaii,44.0,Call 2,Complete,Election day exit poll,0.508783757686615,Did not vote,Neil Abercrombie,Male,White,30-39,Independent,Liberal,"$30,000-$49,999",Postgraduate study,No,Government should do more to solve problems,Expand it,Health care,Somewhat worried,Strongly approve,Strongly oppose,No,Obama,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,Something else,Worried,Approve,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Oppose,No,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Downscale,96714.0
894619.0,Hawaii,13.0,Call 1,Complete,Election day exit poll,0.446384638547897,Did not vote,Neil Abercrombie,Female,Other,25-29,Democrat,Liberal,,College graduate,No,,Expand it,,,,Omit,,Obama,Non black female,All other races,18-29,18-29,18-44,18-29,25-29,Other,College graduate,More than High school graduate,Non white college degree,,,,,,,,,Democrat,Democratic Women,Non White Democrats,Liberal Democrats,Other,Omit,,,,National questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 3,Extremely High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,96815.0
915050.0,Hawaii,13.0,Call 2,Complete,Election day exit poll,0.479158371686935,Did not vote,Neil Abercrombie,Female,White,40-44,Independent,Moderate,"$50,000-$74,999",Some college/assoc. degree,No,,,Health care,,,,,,Non black female,White women,30-44,30-59,18-44,30-44,40-49,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Something else,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,No,,,National questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 2,Extremely High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,96815.0
895003.0,Hawaii,13.0,Call 1,Complete,Election day exit poll,0.401683747768402,,Neil Abercrombie,Female,Hispanic,25-29,Something else,Moderate,,College graduate,Yes,,Expand it,,,,Strongly oppose,,Obama,Non black female,Latino women,18-29,18-29,18-44,18-29,25-29,Latino 18-29,College graduate,More than High school graduate,Non white college degree,,,,,,,,,Independent/Something else,Independent Women,All others,Independents/Something else,Black,Oppose,,Non-Tea Party supporters and Independents/Something else,,National questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 3,Extremely High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,96815.0
909972.0,Hawaii,53.0,Call 2,Complete,Election day exit poll,1.3035831451416,Daniel Inouye,Neil Abercrombie,Female,White,65 or over,Democrat,Liberal,"$30,000-$49,999",Postgraduate study,No,Government should do more to solve problems,Expand it,Health care,Somewhat worried,Somewhat approve,Strongly oppose,No,Obama,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,Something else,Worried,Approve,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,Oppose,No,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Upscale,96768.0
919897.0,Hawaii,12.0,Call 3,Complete,Election day exit poll,0.718097567558289,Daniel Inouye,Neil Abercrombie,Male,White,30-39,Democrat,Liberal,"$30,000-$49,999",Some college/assoc. degree,No,Government should do more to solve problems,Expand it,The economy,Very worried,Somewhat approve,Strongly oppose,No,Didn't vote,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,The economy,Worried,Approve,Democrat,Democratic Men,White Democrats,Liberal Democrats,White,Oppose,Yes,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Extremely High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,96826.0
914380.0,Hawaii,43.0,Call 2,Complete,Election day exit poll,0.986815869808197,Daniel Inouye,Neil Abercrombie,Female,White,65 or over,Independent,Moderate,"$50,000-$74,999",Postgraduate study,No,Government is doing too many things better left to businesses and individuals,Leave it as is,The economy,Somewhat worried,Somewhat approve,Strongly oppose,No,Obama,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,The economy,Worried,Approve,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Oppose,No,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Suburbs,Suburbs,2.0,1.0,West,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
914379.0,Hawaii,43.0,Call 2,Complete,Election day exit poll,0.986815869808197,Daniel Inouye,Neil Abercrombie,Female,White,65 or over,Independent,Moderate,"$50,000-$74,999",Postgraduate study,No,Government is doing too many things better left to businesses and individuals,Leave it as is,The economy,Somewhat worried,Somewhat approve,Strongly oppose,No,Obama,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,The economy,Worried,Approve,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Oppose,No,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Suburbs,Suburbs,2.0,1.0,West,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
919893.0,Hawaii,12.0,Call 3,Complete,Election day exit poll,0.696712851524353,Daniel Inouye,Neil Abercrombie,Female,Asian,50-59,,,"$100,000-$199,999",Postgraduate study,No,Government should do more to solve problems,Omit,The economy,Somewhat worried,Strongly approve,Neutral,No,Obama,Non black female,All other races,45-65,30-59,45+,45-59,50-64,Other,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,The economy,Worried,Approve,,,,,Asian,Neutral,No,,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Extremely High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,96826.0
919892.0,Hawaii,54.0,Call 3,Complete,Election day exit poll,2.76083636283875,Daniel Inouye,Neil Abercrombie,Female,Asian,60-64,Independent,Liberal,"$30,000-$49,999",Postgraduate study,No,Omit,Expand it,The war in Afghanistan,Very worried,Strongly approve,Strongly oppose,No,Obama,Non black female,All other races,45-65,60+,45+,60+,50-64,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,Something else,Worried,Approve,Independent/Something else,Independent Women,All others,Independents/Something else,Asian,Oppose,No,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Upscale,96768.0
919889.0,Hawaii,12.0,Call 3,Complete,Election day exit poll,0.872455954551697,Daniel Inouye,Neil Abercrombie,Female,White,60-64,Independent,Moderate,"$100,000-$199,999",Some college/assoc. degree,No,Government is doing too many things better left to businesses and individuals,Omit,The economy,Somewhat worried,Somewhat disapprove,Somewhat support,No,McCain,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,The economy,Worried,Disapprove,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Support,No,Tea Party supporters,Approve,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Extremely High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,96826.0
919885.0,Hawaii,12.0,Call 3,Complete,Election day exit poll,0.593190312385559,Daniel Inouye,Neil Abercrombie,Male,,18-24,Something else,Liberal,"$50,000-$74,999",No high school diploma,No,Government should do more to solve problems,Expand it,The economy,Not too worried,Somewhat approve,Somewhat oppose,Yes,Didn't vote,,,18-29,18-29,18-44,18-29,18-24,,No college degree,High school graduate or less,,Less than 100k,50k or more,30k or more,50 to 100 thousand,,The economy,Not worried,Approve,Independent/Something else,Independent Men,,Independents/Something else,,Oppose,,Non-Tea Party supporters and Independents/Something else,Approve,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Extremely High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,96826.0
911060.0,Hawaii,22.0,Call 2,Complete,Election day exit poll,1.36808562278748,Daniel Inouye,Neil Abercrombie,Female,Asian,60-64,Democrat,Conservative,"$100,000-$199,999",No high school diploma,No,Government should do more to solve problems,Leave it as is,The war in Afghanistan,Very worried,Strongly approve,Somewhat support,Yes,Obama,Non black female,All other races,45-65,60+,45+,60+,50-64,Other,No college degree,High school graduate or less,Non white no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,Something else,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Asian,Support,No,Tea Party supporters,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,High Density Urban,80s Suburbs,High-Growth Suburban Perimeter,Upscale,96797.0
919883.0,Hawaii,54.0,Call 3,Complete,Election day exit poll,2.05390882492065,Daniel Inouye,Neil Abercrombie,Female,Hispanic,25-29,Something else,Liberal,"$50,000-$74,999",High school graduate,Yes,Government should do more to solve problems,Expand it,The war in Afghanistan,Somewhat worried,Somewhat disapprove,Neutral,No,Obama,Non black female,Latino women,18-29,18-29,18-44,18-29,25-29,Latino 18-29,No college degree,High school graduate or less,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,Something else,Worried,Disapprove,Independent/Something else,Independent Women,All others,Independents/Something else,Native Hawaiian,Neutral,No,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Upscale,96768.0
893410.0,Hawaii,10.0,Call 1,Complete,Election day exit poll,0.801170647144318,Daniel Inouye,Neil Abercrombie,Female,Asian,30-39,Democrat,Moderate,"$100,000-$199,999",College graduate,No,Government should do more to solve problems,Leave it as is,The economy,Somewhat worried,Somewhat approve,Neutral,Yes,Obama,Non black female,All other races,30-44,30-59,18-44,30-44,30-39,Other,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,The economy,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Asian,Neutral,No,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96816.0
919878.0,Hawaii,54.0,Call 3,Complete,Election day exit poll,2.27237820625305,Daniel Inouye,Neil Abercrombie,Male,Other,45-49,Independent,Liberal,"$100,000-$199,999",Postgraduate study,No,Government should do more to solve problems,Leave it as is,The war in Afghanistan,Not too worried,Somewhat approve,Strongly oppose,No,Obama,Non black male,All other races,45-65,30-59,45+,45-59,40-49,Other,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,Something else,Not worried,Approve,Independent/Something else,Independent Men,All others,Independents/Something else,Native Hawaiian,Oppose,No,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Upscale,96768.0
919876.0,Hawaii,12.0,Call 3,Complete,Election day exit poll,0.696712851524353,Daniel Inouye,Neil Abercrombie,Female,White,45-49,Independent,Moderate,"Under $30,000",Some college/assoc. degree,No,Government should do more to solve problems,Expand it,The economy,Not at all worried,Strongly approve,Strongly oppose,No,Obama,Non black female,White women,45-65,30-59,45+,45-59,40-49,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,The economy,Not worried,Approve,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Oppose,Yes,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Extremely High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,96826.0
