ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENNY10,SEN2NY10,GOVNY10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,CHILD,GOVTDO10,ISSUE10,NECWORRY,OBAMA4,TEAPARTY,UNIONHH10,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARENTS,TEAPARTY3,WHNCLINC,XTEAPARTYID,HONEST10NY,HONESTCUOMO,HONESTPALA,QTYPE,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
913522.0, New York,59.0,Call 3,Complete,Election day exit poll,0.980697333812714,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Female,Black,65 or over,Democrat,Moderate,,High school graduate,,No,,,,,,No,,Black female,Black women,65+,60+,45+,60+,65+,Black 65+,No college degree,High school graduate or less,Non white no college degree,,,,,,Women without children,,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,,,,,,,National questionnaire,,Suburbs,Suburbs,4.0,2.0,East,Version 4,High Density Urban,60s Suburbs,Urban Perimeter,Very upscale
913448.0, New York,56.0,Call 3,Complete,Election day exit poll,1.08023869991302,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Male,Black,50-59,Democrat,Moderate,,Some college/assoc. degree,,,,,,,Strongly oppose,,Obama,Black male,Black men,45-65,30-59,45+,45-59,50-64,Black 45-54,No college degree,More than High school graduate,Non white no college degree,,,,,,,,,,Democrat,Democratic Men,Non White Democrats,Moderate/Conservative Democrats,Black,,Oppose,,Non-Tea Party supporters and Democrats,,,,National questionnaire,,Suburbs,Suburbs,4.0,2.0,East,Version 3,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Very upscale
893743.0, New York,51.0,Call 2,Not complete,Election day exit poll,1.5375097990036,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Female,Black,65 or over,,,,Some college/assoc. degree,,No,Omit,,,,,,,Black female,Black women,65+,60+,45+,60+,65+,Black 65+,No college degree,More than High school graduate,Non white no college degree,,,,,,Women without children,,,,,,,,Black,,,,,,,,State questionnaire,,"Cities 50,000-500,000","Cities over 50,000",28.0,4.0,East,Version 1,High Density Urban,Urban,Urban Core,Very downscale
869432.0, New York,59.0,Call 1,Complete,Election day exit poll,0.980697333812714,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Female,Black,60-64,Democrat,Moderate,"$50,000-$74,999",Some college/assoc. degree,,Yes,,,,,,No,,Black female,Black women,45-65,60+,45+,60+,50-64,Black 45-54,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,Moms - Women with children,,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,,No,,,,,National questionnaire,,Suburbs,Suburbs,4.0,2.0,East,Version 4,High Density Urban,60s Suburbs,Urban Perimeter,Very upscale
893678.0, New York,51.0,Call 2,Not complete,Election day exit poll,1.54582846164703,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Male,Black,65 or over,,,,Some college/assoc. degree,,No,Government should do more to solve problems,,,,,,,Black male,Black men,65+,60+,45+,60+,65+,Black 65+,No college degree,More than High school graduate,Non white no college degree,,,,,,Men without children,,,,,,,,Black,,,,,,,,State questionnaire,,"Cities 50,000-500,000","Cities over 50,000",28.0,4.0,East,Version 1,High Density Urban,Urban,Urban Core,Very downscale
893601.0, New York,2.0,Call 2,Complete,Election day exit poll,1.1862108707428,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Male,White,60-64,Democrat,Liberal,"$75,000-$99,999",Postgraduate study,,No,,,,,,Yes,,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Men without children,,,,Democrat,Democratic Men,White Democrats,Liberal Democrats,White,,,No,,,,,National questionnaire,,Suburbs,Suburbs,21.0,3.0,East,Version 4,Suburb,70s Suburbs,Urban Perimeter,Very upscale
893437.0, New York,85.0,Call 2,Complete,Election day exit poll,0.751065731048584,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Male,Black,40-44,Democrat,Liberal,,Some college/assoc. degree,,No,,,,,,Yes,,Black male,Black men,30-44,30-59,18-44,30-44,40-49,Black 30-44,No college degree,More than High school graduate,Non white no college degree,,,,,,Men without children,,,,Democrat,Democratic Men,Non White Democrats,Liberal Democrats,Black,,,,,,,,National questionnaire,,"Cities over 500,000","Cities over 50,000",13.0,1.0,East,Version 4,Extremely High Density Urban,Urban,Urban Core,Upscale
913447.0, New York,59.0,Call 3,Complete,Election day exit poll,0.753157675266266,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Male,White,60-64,Something else,Conservative,"$50,000-$74,999",Postgraduate study,,No,,,,,,Yes,,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Men without children,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,No,,,,,National questionnaire,,Suburbs,Suburbs,4.0,2.0,East,Version 4,High Density Urban,60s Suburbs,Urban Perimeter,Very upscale
869981.0, New York,32.0,Call 1,Complete,Election day exit poll,0.796469926834106,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Male,Black,60-64,Democrat,Liberal,,Some college/assoc. degree,,,,,,,Strongly oppose,,Obama,Black male,Black men,45-65,60+,45+,60+,50-64,Black 45-54,No college degree,More than High school graduate,Non white no college degree,,,,,,,,,,Democrat,Democratic Men,Non White Democrats,Liberal Democrats,Black,,Oppose,,Non-Tea Party supporters and Democrats,,,,National questionnaire,,"Cities over 500,000","Cities over 50,000",11.0,1.0,East,Version 3,Extremely High Density Urban,Urban,Urban Core,Very downscale
868911.0, New York,56.0,Call 1,Complete,Election day exit poll,0.820698797702789,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Female,White,50-59,Democrat,Moderate,"$50,000-$74,999",College graduate,,No,,,,,,Yes,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Women without children,,,,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,,,No,,,,,National questionnaire,,Suburbs,Suburbs,4.0,2.0,East,Version 4,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Very upscale
868665.0, New York,56.0,Call 1,Complete,Election day exit poll,1.22400414943695,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Male,Black,60-64,Democrat,Moderate,,College graduate,,,,,,,Somewhat oppose,,Obama,Black male,Black men,45-65,60+,45+,60+,50-64,Black 45-54,College graduate,More than High school graduate,Non white college degree,,,,,,,,,,Democrat,Democratic Men,Non White Democrats,Moderate/Conservative Democrats,Black,,Oppose,,Non-Tea Party supporters and Democrats,,,,National questionnaire,,Suburbs,Suburbs,4.0,2.0,East,Version 3,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Very upscale
897252.0, New York,37.0,Call 2,Complete,Election day exit poll,1.57220733165741,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Male,Hispanic,60-64,Independent,Liberal,,Postgraduate study,,,,,,,Neutral,,Obama,Non black male,Latino men,45-65,60+,45+,60+,50-64,Latino 45-54,College graduate,More than High school graduate,Non white college degree,,,,,,,,,,Independent/Something else,Independent Men,All others,Independents/Something else,Hispanic/Latino,,Neutral,,Non-Tea Party supporters and Independents/Something else,,,,National questionnaire,,"Cities over 500,000","Cities over 50,000",8.0,1.0,East,Version 3,Extremely High Density Urban,Urban,Urban Core,Downscale
893325.0, New York,47.0,Call 2,Not complete,Election day exit poll,0.73399806022644,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Male,White,65 or over,,,,,,,,,,,,,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,,,,,,,,,,,,,,,,,White,,,,,,,,National questionnaire,,Suburbs,Suburbs,26.0,4.0,East,Version 2,Suburb,70s Suburbs,Urban Perimeter,Upscale
869267.0, New York,63.0,Call 1,Not complete,Election day exit poll,0.780336558818817,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Female,White,45-49,,,,Postgraduate study,,,Government is doing too many things better left to businesses and individuals,,,,,,,Non black female,White women,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,White,,,,,,,,State questionnaire,,Suburbs,Suburbs,3.0,2.0,East,Version 1,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale
896339.0, New York,23.0,Call 2,Complete,Election day exit poll,0.360685408115387,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Female,White,65 or over,Democrat,Liberal,"$30,000-$49,999",Some college/assoc. degree,,No,,,,,,No,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,Women without children,,,,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,,,Yes,,,,,National questionnaire,,Suburbs,Suburbs,27.0,4.0,East,Version 4,Suburb,70s Suburbs,Urban Perimeter,Very upscale
896338.0, New York,23.0,Call 2,Complete,Election day exit poll,0.360685408115387,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Female,White,65 or over,Democrat,Liberal,"$30,000-$49,999",Some college/assoc. degree,,No,,,,,,No,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,Women without children,,,,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,,,Yes,,,,,National questionnaire,,Suburbs,Suburbs,27.0,4.0,East,Version 4,Suburb,70s Suburbs,Urban Perimeter,Very upscale
871369.0, New York,101.0,Call 1,Complete,Election day exit poll,0.732802033424377,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Male,White,65 or over,Independent,Moderate,,Some college/assoc. degree,,,,,,,Strongly oppose,,Obama,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,,,,,,,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,Oppose,,Non-Tea Party supporters and Independents/Something else,,,,National questionnaire,,Suburbs,Suburbs,3.0,2.0,East,Version 3,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale
870838.0, New York,85.0,Call 1,Complete,Election day exit poll,0.751065731048584,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Male,Black,50-59,Democrat,,"$100,000-$199,999",Some college/assoc. degree,,Yes,,,,,,Yes,,Black male,Black men,45-65,30-59,45+,45-59,50-64,Black 45-54,No college degree,More than High school graduate,Non white no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,Dads - Men with children,,,,Democrat,Democratic Men,Non White Democrats,,Black,,,No,,,,,National questionnaire,,"Cities over 500,000","Cities over 50,000",13.0,1.0,East,Version 4,Extremely High Density Urban,Urban,Urban Core,Upscale
914454.0, New York,85.0,Call 3,Complete,Election day exit poll,0.650052785873413,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Male,White,65 or over,Democrat,Liberal,,High school graduate,,,,,,,Neutral,,Didn't vote,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,,,,,Democrat,Democratic Men,White Democrats,Liberal Democrats,White,,Neutral,,Non-Tea Party supporters and Democrats,,,,National questionnaire,,"Cities over 500,000","Cities over 50,000",13.0,1.0,East,Version 3,Extremely High Density Urban,Urban,Urban Core,Upscale
894618.0, New York,101.0,Call 2,Complete,Election day exit poll,0.728858530521393,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Female,White,65 or over,Democrat,Moderate,,Postgraduate study,,,,,,,Strongly oppose,,Obama,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,,,,,,,,,,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,,Oppose,,Non-Tea Party supporters and Democrats,,,,National questionnaire,,Suburbs,Suburbs,3.0,2.0,East,Version 3,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale
913879.0, New York,85.0,Call 3,Complete,Election day exit poll,0.751065731048584,Charles Schumer,Kirsten Gillibrand,Andrew Cuomo,Male,Black,40-44,Democrat,Liberal,"$100,000-$199,999",High school graduate,,Yes,,,,,,No,,Black male,Black men,30-44,30-59,18-44,30-44,40-49,Black 30-44,No college degree,High school graduate or less,Non white no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,Dads - Men with children,,,,Democrat,Democratic Men,Non White Democrats,Liberal Democrats,Black,,,No,,,,,National questionnaire,,"Cities over 500,000","Cities over 50,000",13.0,1.0,East,Version 4,Extremely High Density Urban,Urban,Urban Core,Upscale
892940.0, New York,47.0,Call 2,Complete,Election day exit poll,0.443216919898987,Jay Townsend,Kirsten Gillibrand,Andrew Cuomo,Male,White,50-59,Independent,Moderate,,Some college/assoc. degree,,,,,,,Neutral,,McCain,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,Neutral,,Non-Tea Party supporters and Independents/Something else,,,,National questionnaire,,Suburbs,Suburbs,26.0,4.0,East,Version 3,Suburb,70s Suburbs,Urban Perimeter,Upscale
893992.0, New York,56.0,Call 2,Complete,Election day exit poll,0.973143458366394,Charles Schumer,Joseph DioGuardi,Andrew Cuomo,Male,White,65 or over,Republican,Conservative,,High school graduate,,,,,,,Neutral,,Other,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,,,,,Republican,Republican Men,White Republicans,Conservative Republicans,White,,Neutral,,Non-Tea Party supporters and Republicans,,,,National questionnaire,,Suburbs,Suburbs,4.0,2.0,East,Version 3,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Very upscale
894487.0, New York,32.0,Call 2,Complete,Election day exit poll,0.803651094436646,Charles Schumer,Joseph DioGuardi,Andrew Cuomo,Male,Black,60-64,Democrat,Moderate,,Some college/assoc. degree,,,,,,,Neutral,,Obama,Black male,Black men,45-65,60+,45+,60+,50-64,Black 45-54,No college degree,More than High school graduate,Non white no college degree,,,,,,,,,,Democrat,Democratic Men,Non White Democrats,Moderate/Conservative Democrats,Black,,Neutral,,Non-Tea Party supporters and Democrats,,,,National questionnaire,,"Cities over 500,000","Cities over 50,000",11.0,1.0,East,Version 3,Extremely High Density Urban,Urban,Urban Core,Very downscale
894919.0, New York,101.0,Call 2,Complete,Election day exit poll,0.61056113243103,,,Carl Paladino,Male,Black,65 or over,Republican,Moderate,"$75,000-$99,999",High school graduate,,No,,,,,,No,,Black male,Black men,65+,60+,45+,60+,65+,Black 65+,No college degree,High school graduate or less,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,Men without children,,,,Republican,Republican Men,All others,Moderate/Liberal Republicans,Black,,,No,,,,,National questionnaire,,Suburbs,Suburbs,3.0,2.0,East,Version 4,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale
