ID,PRSME20,SENME20,WEIGHT,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CHILD12,CONTAINCOVID,CONTAINCOVID2,CONTROLSEN,COUNT2,COUNTACC,EARLYVELECTION,ECONVCORONA20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVCOLLINS,FAVGIDEON,FAVPRES20,FAVSENME20,FAVTRUMP,FINSIT,FORCAND,GEOCODE,HANDLECORONA20,HANDLEECON20,ISSUE20,LATINO,LGBT,NEC,NEC2,NEWVOTER,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT20,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACISM20,RACISM20B,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,SUPPORTRCV,TELEPOLL,TEMPBIDEN,TEMPERAMENT20,TEMPTRUMP,TIME16,TIME16MONTH,TIME16WEEK,TRUMP2,TRUMP4,VERSION,VOTEMETHOD
117187.0,Joe Biden,Sara Gideon,0.91766062517,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,2.0,,Very well,Very well or somewhat well,,Very confident or somewhat confident,Very confident,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,,,,,3.0,,,,,,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,National questionnaire,White,White,,One of many important problems,The most important problem or one of many important problems,East,Female,White women,Suburbs,Suburbs,Maine,White suburban women,,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 3,Early in-person
117188.0,,Sara Gideon,0.00574856854,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,All others,All others,Complete,,1.0,,Somewhat well,Very well or somewhat well,,Not very confident or not at all confident,Not at all confident,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,,1.0,,,,,,,,,,Independent/Something else,Non-black non-Democrat,All Other,Independent men,Something else,All others,Conservative,,Moderate/Liberal Republicans,Conservative Independents,,Other,Other,National questionnaire,Other,Non-white,,Omit,Omit,East,Male,All other races,"Cities 50,000-500,000","Cities over 50,000",Maine,Other,,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 3,Early in-person
117189.0,Joe Biden,Susan Collins,0.30338407657,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,2.0,,Somewhat well,Very well or somewhat well,,Very confident or somewhat confident,Very confident,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,,,3.0,,,,,,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,National questionnaire,White,White,,One of many important problems,The most important problem or one of many important problems,East,Female,White women,"Cities 10,000-50,000",Small Cities/Rural,Maine,Other,,Telephone survey,,,,,,,Strongly or somewhat disapprove,Somewhat disapprove,Version 3,Early in-person
118784.0,Donald Trump,Susan Collins,0.92347639865,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,1.0,No,,,,,,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,Better today,,1.0,,,,,No,,,,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,,White,White,National questionnaire,White,White,,,,East,Male,White men,Suburbs,Suburbs,Maine,White suburban men,,Telephone survey,No,Only Donald Trump does,Yes,Before that,Before that,Before that,,,Version 4,By mail
118785.0,Joe Biden,Sara Gideon,1.08859530878,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,1.0,No,,,,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,About the same,,1.0,,,,,No,,,,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Liberal,,Conservative Republicans,Mod./Liberal Republicans,,White,White,National questionnaire,White,White,,,,East,Male,White men,Suburbs,Suburbs,Maine,White suburban men,,Telephone survey,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,Version 4,By mail
118786.0,Joe Biden,Sara Gideon,0.9109172055,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,,2.0,No,,,,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,About the same,,3.0,,,,,Yes,,,,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,National questionnaire,White,White,,,,East,Female,White women,Rural,Small Cities/Rural,Maine,Other,,Telephone survey,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,Version 4,By mail
118787.0,Joe Biden,Sara Gideon,2.122138817,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,1.0,No,,,,,,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,About the same,,2.0,,,,,No,,,,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,National questionnaire,White,White,,,,East,Male,White men,Suburbs,Suburbs,Maine,White suburban men,,Telephone survey,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,Version 4,Early in-person
118788.0,Joe Biden,Sara Gideon,0.71149494576,30-44,30-59,35-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,2.0,Yes,,,,,,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,Worse today,,3.0,,,,,No,,,,Women with children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,National questionnaire,White,White,,,,East,Female,White women,Suburbs,Suburbs,Maine,White suburban women,,Telephone survey,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,Version 4,Early in-person
118789.0,Donald Trump,Lisa Savage,0.42445702751,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,2.0,No,,,,,,Absentee or early in-person,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,Better today,,3.0,,,,,No,,,,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,National questionnaire,White,White,,,,East,Female,White women,Rural,Small Cities/Rural,Maine,Other,,Telephone survey,No,Only Donald Trump does,Yes,Before that,Before that,Before that,,,Version 4,Early in-person
119755.0,Donald Trump,Susan Collins,0.78715410424,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,,,,,,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Unfavorable,,,Only Trump,,Favorable,,,3.0,,,Crime and safety,,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,White,White,National questionnaire,White,White,,,,East,Male,White men,,,Maine,,,Telephone survey,,,,,,,,,Version 1,By mail
119756.0,Donald Trump,Susan Collins,3.0666543449,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,2.0,,,,,,,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Unfavorable,,,Only Trump,,Favorable,,,3.0,,,The economy,,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,,,,,Can unite the country,White,White,National questionnaire,White,White,,,,East,Female,White women,Rural,Small Cities/Rural,Maine,Other,,Telephone survey,,,,,,,,,Version 1,By mail
119757.0,Joe Biden,Sara Gideon,0.39979569426,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,2.0,,,,,,,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,,,Only Biden,,Unfavorable,,,4.0,,,The coronavirus pandemic,,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Can unite the country,White,White,National questionnaire,White,White,,,,East,Male,White men,Rural,Small Cities/Rural,Maine,Other,,Telephone survey,,,,,,,,,Version 1,By mail
119758.0,Joe Biden,Sara Gideon,0.5228154813,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,2.0,,,,,,,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Favorable,,,Only Biden,,Unfavorable,,,3.0,,,The coronavirus pandemic,,,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Conservative,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Cares about people like me,White,White,National questionnaire,White,White,,,,East,Female,White women,"Cities 10,000-50,000",Small Cities/Rural,Maine,Other,,Telephone survey,,,,,,,,,Version 1,By mail
119759.0,Joe Biden,Sara Gideon,3.10755308603,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,1.0,,,,,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,,,Only Biden,,Unfavorable,,,2.0,,,The coronavirus pandemic,,,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,Can unite the country,White,White,National questionnaire,White,White,,,,East,Female,White women,Suburbs,Suburbs,Maine,White suburban women,,Telephone survey,,,,,,,,,Version 1,Early in-person
119760.0,Joe Biden,Sara Gideon,0.75975399698,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,2.0,,,,,,,Absentee or early in-person,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,,,Only Biden,,Unfavorable,,,2.0,,,Racial inequality,,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,Can unite the country,White,White,National questionnaire,White,White,,,,East,Female,White women,Rural,Small Cities/Rural,Maine,Other,,Telephone survey,,,,,,,,,Version 1,Early in-person
119761.0,Joe Biden,Sara Gideon,1.36614297186,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,Latino 60+,Latino 45-64,Complete,,2.0,,,,,,,Absentee or early in-person,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Favorable,,,Only Biden,,Unfavorable,,,4.0,,,Racial inequality,,,,,,,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Has good judgment,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,,,,East,Female,Latino women,Rural,Small Cities/Rural,Maine,Other,,Telephone survey,,,,,,,,,Version 1,Early in-person
119762.0,Joe Biden,Sara Gideon,0.1791980551,45-65,30-59,45-49,45+,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete,,2.0,,,,,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Favorable,,,Only Biden,,Unfavorable,,,3.0,,,Crime and safety,,,,,,,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,,,,,Is a strong leader,Black,Black,National questionnaire,Black,Non-white,,,,East,Male,Black men,Rural,Small Cities/Rural,Maine,Other,,Telephone survey,,,,,,,,,Version 1,Early in-person
120611.0,Other,Susan Collins,0.17578828606,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,1.0,,Somewhat well,Very well or somewhat well,,Very confident or somewhat confident,Very confident,Absentee or early in-person,,,,,,,,Favorable,Unfavorable,,Only Collins,,,Omit,2.0,Omit,Donald Trump,,No,No,Poor,Not so good or poor,No,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,East,Male,White men,Suburbs,Suburbs,Maine,White suburban men,,Telephone survey,,,,,,,Strongly or somewhat approve,Somewhat approve,Version 2,By mail
120612.0,Joe Biden,Sara Gideon,0.71303173881,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,1.0,,Very badly,Somewhat badly or very badly,,Very confident or somewhat confident,Very confident,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,Unfavorable,Favorable,,Only Gideon,,,Against his opponent,2.0,Joe Biden,Joe Biden,,No,No,Poor,Not so good or poor,No,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,East,Male,White men,Suburbs,Suburbs,Maine,White suburban men,,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,By mail
120613.0,Joe Biden,Sara Gideon,1.46559060419,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,1.0,,Somewhat badly,Somewhat badly or very badly,,Very confident or somewhat confident,Very confident,Absentee or early in-person,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,Unfavorable,Favorable,,Only Gideon,,,Against his opponent,2.0,Joe Biden,Joe Biden,,No,No,Good,Excellent or good,No,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,East,Female,White women,Suburbs,Suburbs,Maine,White suburban women,,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,By mail
120614.0,Joe Biden,Sara Gideon,1.96742827731,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,1.0,,Very badly,Somewhat badly or very badly,,Very confident or somewhat confident,Somewhat confident,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,Unfavorable,Favorable,,Only Gideon,,,For your candidate,2.0,Joe Biden,Joe Biden,,No,No,Poor,Not so good or poor,No,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,East,Female,White women,Suburbs,Suburbs,Maine,White suburban women,,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,By mail
120615.0,Joe Biden,Sara Gideon,0.80656511459,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,1.0,,Very badly,Somewhat badly or very badly,,Very confident or somewhat confident,Very confident,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,Unfavorable,Favorable,,Only Gideon,,,Omit,2.0,Joe Biden,Joe Biden,,No,No,Poor,Not so good or poor,No,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,East,Female,White women,Suburbs,Suburbs,Maine,White suburban women,,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,By mail
120616.0,Rocky De LA Fuente,Sara Gideon,0.75468044591,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,,1.0,,Very badly,Somewhat badly or very badly,,Not very confident or not at all confident,Not at all confident,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,Unfavorable,Favorable,,Only Gideon,,,Against his opponent,2.0,Donald Trump,Donald Trump,,Yes,Yes,Not so good,Not so good or poor,Yes,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,Something else,All others,Liberal,,Moderate/Liberal Republicans,Liberal Independents,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Not a problem at all,A minor problem or not a problem at all,East,Female,Latino women,Suburbs,Suburbs,Maine,Other,,Telephone survey,,,,,,,Strongly or somewhat approve,Strongly approve,Version 2,By mail
120617.0,Joe Biden,Sara Gideon,1.66560170189,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,1.0,,Somewhat badly,Somewhat badly or very badly,,Very confident or somewhat confident,Very confident,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,Unfavorable,Favorable,,Only Gideon,,,Against his opponent,2.0,Joe Biden,Joe Biden,,No,No,Not so good,Not so good or poor,No,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,East,Male,White men,Suburbs,Suburbs,Maine,White suburban men,,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,By mail
120618.0,Jo Jorgensen,Susan Collins,4.0043820524,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,1.0,,Somewhat badly,Somewhat badly or very badly,,Very confident or somewhat confident,Very confident,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,Favorable,Unfavorable,,Only Collins,,,Against his opponent,2.0,Joe Biden,Omit,,No,No,Not so good,Not so good or poor,No,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,East,Male,White men,Suburbs,Suburbs,Maine,White suburban men,,Telephone survey,,,,,,,Strongly or somewhat disapprove,Somewhat disapprove,Version 2,By mail
