ID,PRSNV20,WEIGHT,ACASUPREME,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CHILD12,CONTAINCOVID,CONTAINCOVID2,COUNT2,COUNTACC,COVIDHARDSHIP,COVIDHARDSHIP2,EARLYVELECTION,ECONVCORONA20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FACEMASKS,FAVBIDEN2,FAVPRES20,FAVTRUMP,FINSIT,FORCAND,GEOCODE,GOVTANGR16,GOVTANGR16B,HANDLECORONA20,HANDLEECON20,IMMBETTER,INC100K,INC30K,INC50K,INCOME3,INCOME20,INCWHITE,ISSUE20,LATINO,LGBT,NEC,NEC2,NEWVOTER,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT20,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACISM20,RACISM20B,REGION,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TEMPBIDEN,TEMPERAMENT20,TEMPTRUMP,TIME16,TIME16MONTH,TIME16WEEK,TRUMP2,TRUMP4,UNIONHH12,VERSION,VETVOTER,VOTEMETHOD,WHNCLINC
115629.0,Donald Trump,0.09780245667,Overturn it,65+,60+,65-74,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,,3.0,,,,,,,,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Public health responsibility,Unfavorable,Only Trump,Favorable,,,2.0,,,,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and non white",The economy,No,,,,,,Republican,Black non-Democrat,All Republicans,Republican men,Republican,Republican Men,All others,Conservative,-1.0,Independent/Something else,Conservative Republicans,Is a strong leader,Black,Black,National questionnaire,Black,Non-white,Black,,,West,Male,Black men,,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,,,,,,,,,,Version 1,,Early in-person,No
142999.0,Donald Trump,0.15307799517,Overturn it,30-44,30-59,35-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 2,2.0,,,,,,,,Election day,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Public health responsibility,Unfavorable,Neither of them,Unfavorable,,,1.0,,,,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",The economy,No,,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Moderate,99.0,Conservative Republicans,Mod./Liberal Republicans,Is a strong leader,White,White,National questionnaire,White,White,White,,,West,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Election day exit poll,,,,,,,,,,Version 1,,Election day,No
154897.0,Joe Biden,0.11305563599,Keep it as is,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,Call 3,2.0,,,,,,,,Election day,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Public health responsibility,Favorable,Only Biden,Unfavorable,,,1.0,,,,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and non white",Racial inequality,Yes,,,,,,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,99.0,Liberal Democrats,Liberal Democrats,Cares about people like me,Other,American Indian,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,,,West,Female,Latino women,,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Election day exit poll,,,,,,,,,,Version 1,,Election day,No
154827.0,Joe Biden,0.59514382274,Keep it as is,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,Call 3,4.0,,,,,,,,Election day,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Public health responsibility,Favorable,Only Biden,Unfavorable,,,2.0,,,,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and non white",Racial inequality,Yes,,,,,,,,,,,,,Moderate,39.0,,,Cares about people like me,Other,Other,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,,,West,Female,Latino women,,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,Election day exit poll,,,,,,,,,,Version 1,,Election day,No
154778.0,Joe Biden,0.19119115573,Keep it as is,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 3,2.0,,,,,,,,Election day,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Public health responsibility,Favorable,Only Biden,Unfavorable,,,1.0,,,,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Racial inequality,,,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Liberal,99.0,Liberal Democrats,Liberal Democrats,Can unite the country,White,White,National questionnaire,White,White,White,,,West,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",,Nevada,Other,Election day exit poll,,,,,,,,,,Version 1,,Election day,No
154626.0,Joe Biden,0.09319815726,Keep it as is,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 3,2.0,,,,,,,,Election day,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Public health responsibility,,,Unfavorable,,,1.0,,,,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",,No,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,99.0,Moderate/Liberal Republicans,Moderate Independents,Can unite the country,White,White,National questionnaire,White,White,White,,,West,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Election day exit poll,,,,,,,,,,Version 1,,Election day,No
154552.0,Joe Biden,0.1172716682,Keep it as is,30-44,30-59,35-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,Call 3,2.0,,,,,,,,Election day,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Public health responsibility,Favorable,Only Biden,Unfavorable,,,1.0,,,,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and non white",The economy,No,,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,99.0,Liberal Democrats,Liberal Democrats,Cares about people like me,Black,Black,National questionnaire,Black,Non-white,Black,,,West,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Election day exit poll,,,,,,,,,,Version 1,,Election day,No
115627.0,Joe Biden,0.60168445404,Keep it as is,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,3.0,,,,,,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Public health responsibility,Favorable,Only Biden,Unfavorable,,,2.0,,,,,,,,,,,,Health care policy,No,,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Liberal,-1.0,Liberal Democrats,Liberal Democrats,Cares about people like me,White,White,National questionnaire,White,White,White,,,West,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,,,,,,,,,,Version 1,,Early in-person,No
142801.0,,0.05748584798,Overturn it,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,Call 2,2.0,,,,,,,,Election day,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Public health responsibility,Unfavorable,Neither of them,Unfavorable,,,1.0,,,,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",The economy,No,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Moderate,99.0,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,White,White,National questionnaire,White,White,White,,,West,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Election day exit poll,,,,,,,,,,Version 1,,Election day,No
115624.0,Donald Trump,0.89945123295,Overturn it,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,3.0,,,,,,,,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Public health responsibility,Unfavorable,Only Trump,Favorable,,,2.0,,,,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Health care policy,No,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Moderate,-1.0,Moderate/Liberal Republicans,Moderate Independents,Cares about people like me,White,White,National questionnaire,White,White,White,,,West,Male,White men,,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,,,,,,,,,,Version 1,,By mail,No
155018.0,Donald Trump,0.17124194517,Overturn it,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Call 3,2.0,,,,,,,,Election day,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Public health responsibility,Favorable,Both of them,Favorable,,,1.0,,,,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",The economy,No,,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Moderate,99.0,Conservative Republicans,Mod./Liberal Republicans,Is a strong leader,White,White,National questionnaire,White,White,White,,,West,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Election day exit poll,,,,,,,,,,Version 1,,Election day,No
133854.0,Donald Trump,0.15307799517,Overturn it,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 1,2.0,,,,,,,,Election day,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Personal choice,Unfavorable,Only Trump,Favorable,,,1.0,,,,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",The economy,No,,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,99.0,Independent/Something else,Conservative Republicans,Is a strong leader,White,White,National questionnaire,White,White,White,,,West,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Election day exit poll,,,,,,,,,,Version 1,,Election day,No
133769.0,Donald Trump,0.11139093091,Overturn it,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,All others,All others,Complete,Call 1,2.0,,,,,,,,Election day,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,Personal choice,Unfavorable,Only Trump,Favorable,,,1.0,,,,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",,No,,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,All others,Conservative,99.0,Independent/Something else,Conservative Republicans,,Other,Asian,National questionnaire,Asian,Non-white,Asian,,,West,Female,All other races,,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Election day exit poll,,,,,,,,,,Version 1,,Election day,No
154921.0,Donald Trump,0.15700652547,Keep it as is,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 3,2.0,,,,,,,,Election day,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Personal choice,Unfavorable,Only Trump,Favorable,,,1.0,,,,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",The economy,No,,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,,99.0,,,Is a strong leader,White,White,National questionnaire,White,White,White,,,West,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Election day exit poll,,,,,,,,,,Version 1,,Election day,No
154871.0,Donald Trump,0.17563660735,Overturn it,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,Call 3,2.0,,,,,,,,Election day,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,Personal choice,Unfavorable,Only Trump,Favorable,,,1.0,,,,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",The economy,No,,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,99.0,Independent/Something else,Conservative Republicans,Can unite the country,White,White,National questionnaire,White,White,White,,,West,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Election day exit poll,,,,,,,,,,Version 1,,Election day,No
143606.0,Donald Trump,0.22115999126,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,Call 2,3.0,,,,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,Unfavorable,Only Trump,Favorable,Better today,,2.0,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and non white",The economy,Yes,,,,,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Independent,Independent Men,All others,Moderate,10.0,Moderate/Liberal Republicans,Moderate Independents,Is a strong leader,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,,,West,Male,Latino men,,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Election day exit poll,No,Only Donald Trump does,Yes,In October,In the last month,Before that,,,,Version 1,No,Election day,No
143356.0,Donald Trump,0.21109346904,,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Call 2,2.0,,,,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,Unfavorable,Only Trump,Favorable,About the same,,1.0,Angry,"Dissatisfied, but not angry or Angry",,,Hurt the country,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",The economy,No,,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,101.0,Independent/Something else,Conservative Republicans,Is a strong leader,White,White,State questionnaire,White,White,White,,,West,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Election day exit poll,No,Only Donald Trump does,Yes,Before that,Before that,Before that,,,,Version 1,No,Election day,No
134104.0,Donald Trump,0.32988816517,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,3.0,,,,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,Unfavorable,Only Trump,Favorable,About the same,,2.0,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",,,Help the country,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",The economy,No,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,71.0,Moderate/Liberal Republicans,Conservative Independents,Has good judgment,White,White,State questionnaire,White,White,White,,,West,Male,White men,,Suburbs,Suburbs,English,Nevada,White suburban men,Election day exit poll,No,Only Donald Trump does,Yes,Before that,Before that,Before that,,,,Version 1,Yes,Election day,No
142685.0,Donald Trump,0.13717916316,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 2,2.0,,,,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,Unfavorable,Only Trump,Favorable,About the same,,3.0,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",,,Hurt the country,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",The economy,No,,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Liberal,85.0,Conservative Republicans,Mod./Liberal Republicans,Can unite the country,White,White,State questionnaire,White,White,White,,,West,Female,White women,,Rural,Small Cities/Rural,English,Nevada,Other,Election day exit poll,No,Only Donald Trump does,Yes,In the last week,In the last month,In the last week,,,,Version 1,No,Election day,No
