ID,WEIGHT,PRSVA20,SENVA20,ABORT2,ABORTION,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CHILD12,CONTAINCOVID,CONTAINCOVID2,COUNT2,COUNTACC,EARLYVELECTION,ECONVCORONA20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVBLM,FAVPRES20,FAVTRUMP,FINSIT,FORCAND,GEOCODE,HANDLECORONA20,HANDLEECON20,INC100K,INC30K,INC50K,INCOME3,INCOME20,INCWHITE,ISSUE20,LATINO,LGBT,MARCHILD,MARRIED,NEC,NEC2,NEWVOTER,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT20,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACISM20,RACISM20B,REGION,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TEMPBIDEN,TEMPERAMENT20,TEMPTRUMP,TIME16,TIME16MONTH,TIME16WEEK,TRUMP2,TRUMP4,VERSION,VETVOTER,VOTEMETHOD,WHNCLINC,WHTEVANG
53232.0,3.14573520101,Joe Biden,Mark Warner,Legal,Legal in most cases,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,8.0,No,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,Favorable,,,,For your candidate,1.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,No,Good,Excellent or good,Yes,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,A minor problem,A minor problem or not a problem at all,South,Female,White women,Non married women,"Cities 10,000-50,000",Small Cities/Rural, Virginia,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53233.0,8.29886763657,Joe Biden,Mark Warner,Legal,Legal in most cases,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,No,,11.0,Yes,Somewhat badly,Somewhat badly or very badly,,,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,Favorable,,,,For your candidate,1.0,Joe Biden,Joe Biden,,,,,,,,No,No,Married with children,Yes,Not so good,Not so good or poor,No,Men with children,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Black,Black,State questionnaire,Black,Non-white,Black,One of many important problems,The most important problem or one of many important problems,South,Male,Black men,Married men,Suburbs,Suburbs, Virginia,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53234.0,1.41521575525,Joe Biden,Mark Warner,Legal,Legal in most cases,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,7.0,No,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,Favorable,,,,For your candidate,2.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,No,Not so good,Not so good or poor,No,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,The most important problem,The most important problem or one of many important problems,South,Female,White women,Non married women,Suburbs,Suburbs, Virginia,White suburban women,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53235.0,1.73936516875,Joe Biden,Mark Warner,Legal,Legal in all cases,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,1.0,No,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,Favorable,,,,Against his opponent,2.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,Yes,Not so good,Not so good or poor,No,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Female,White women,Married women,Suburbs,Suburbs, Virginia,White suburban women,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53236.0,11.18344025518,Joe Biden,Mark Warner,Illegal,Illegal in all cases,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,No,,10.0,Yes,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,Favorable,,,,Against his opponent,1.0,Joe Biden,Joe Biden,,,,,,,,No,No,Married with children,Yes,Not so good,Not so good or poor,No,Women with children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Female,White women,Married women,Suburbs,Suburbs, Virginia,White suburban women,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53237.0,1.91311620522,Joe Biden,Mark Warner,Legal,Legal in most cases,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,11.0,No,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,Favorable,,,,Against his opponent,1.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,Yes,Poor,Not so good or poor,No,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Male,White men,Married men,Suburbs,Suburbs, Virginia,White suburban men,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,Yes,By mail,,All others
53238.0,11.4892411877,Joe Biden,Mark Warner,Legal,Legal in most cases,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,No,,8.0,No,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,,Favorable,,,,For your candidate,1.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,No,Poor,Not so good or poor,No,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Female,White women,Non married women,Suburbs,Suburbs, Virginia,White suburban women,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53239.0,2.21437665657,Joe Biden,Mark Warner,Legal,Legal in most cases,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,No,,1.0,No,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,Favorable,,,,For your candidate,2.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,Yes,Not so good,Not so good or poor,No,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Male,White men,Married men,Suburbs,Suburbs, Virginia,White suburban men,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53240.0,11.4031979603,Joe Biden,Mark Warner,Legal,Legal in most cases,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,No,,3.0,Yes,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,Favorable,,,,For your candidate,3.0,Joe Biden,Joe Biden,,,,,,,,No,No,Married with children,Yes,Not so good,Not so good or poor,No,Men with children,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Conservative,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Black,Black,State questionnaire,Black,Non-white,Black,A minor problem,A minor problem or not a problem at all,South,Male,Black men,Married men,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53241.0,19.65053891169,Joe Biden,Mark Warner,Legal,Legal in all cases,30-44,30-59,30-34,18-44,30-44,30-39,Non-Black 30-44,All others,All others,Complete,No,,11.0,No,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,Favorable,,,,For your candidate,1.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,Yes,Not so good,Not so good or poor,No,Men without children,Democrat,Non-black Democrat,All Other,Democratic men,Democrat,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,Other,Asian,State questionnaire,Asian,Non-white,Asian,One of many important problems,The most important problem or one of many important problems,South,Male,All other races,Married men,Suburbs,Suburbs, Virginia,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53242.0,28.97760862382,Joe Biden,Mark Warner,Illegal,Illegal in all cases,45-65,30-59,45-49,45+,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete,No,,11.0,Yes,Somewhat badly,Somewhat badly or very badly,,,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,Favorable,,,,Against his opponent,1.0,Joe Biden,Joe Biden,,,,,,,,No,No,Married with children,Yes,Good,Excellent or good,No,Women with children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Conservative,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Black,Black,State questionnaire,Black,Non-white,Black,The most important problem,The most important problem or one of many important problems,South,Female,Black women,Married women,Suburbs,Suburbs, Virginia,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53243.0,4.5886359799,Joe Biden,Mark Warner,Legal,Legal in all cases,65+,60+,65-74,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,Yes,,3.0,No,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,Favorable,,,,For your candidate,4.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,Yes,Poor,Not so good or poor,No,Women without children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,Black,Black,State questionnaire,Black,Non-white,Black,One of many important problems,The most important problem or one of many important problems,South,Female,Black women,Married women,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53244.0,1.47120238067,Joe Biden,Mark Warner,Legal,Legal in most cases,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,5.0,No,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,Favorable,,,,For your candidate,5.0,Joe Biden,Joe Biden,,,,,,,,No,Yes,All others,Yes,Poor,Not so good or poor,No,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Male,White men,Married men,Suburbs,Suburbs, Virginia,White suburban men,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53245.0,1.60146310362,Joe Biden,Mark Warner,Legal,Legal in most cases,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,6.0,No,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,Favorable,,,,For your candidate,5.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,Yes,Poor,Not so good or poor,No,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Female,White women,Married women,Suburbs,Suburbs, Virginia,White suburban women,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53246.0,3.14573520101,Joe Biden,Mark Warner,Legal,Legal in all cases,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,10.0,No,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,Favorable,,,,For your candidate,1.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,Yes,Poor,Not so good or poor,No,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Female,White women,Married women,Suburbs,Suburbs, Virginia,White suburban women,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53247.0,22.25766324424,Joe Biden,Mark Warner,Legal,Legal in all cases,30-44,30-59,30-34,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,No,,8.0,No,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,Favorable,,,,For your candidate,1.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,No,Poor,Not so good or poor,No,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Male,White men,Non married men,Suburbs,Suburbs, Virginia,White suburban men,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53248.0,2.92053207152,Joe Biden,Mark Warner,Illegal,Illegal in most cases,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,,5.0,No,Somewhat well,Very well or somewhat well,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,Favorable,,,,Against his opponent,2.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,Yes,Poor,Not so good or poor,No,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,The most important problem,The most important problem or one of many important problems,South,Male,White men,Married men,Suburbs,Suburbs, Virginia,White suburban men,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
