ID,WEIGHT,PRES,HOU,ABORT2,ABORTION,ACASUPREME,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BIDENWINGEN,BIDENWINGENB,BREAK12,BREAK12A,BREAK12B,BRNAGAIN,CALL,CDNUM,CHILD12,CLIMATECHANGE,CONTAINCOVID,CONTAINCOVID2,COUNT2,COUNTACC,COVIDHARDSHIP,COVIDHARDSHIP2,EARLYVELECTION,ECONVCORONA20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FACEMASKS,FAIRJUSTICE20,FAVBIDEN2,FAVBLM,FAVHARRIS,FAVPENCE,FAVPRES20,FAVTRUMP,FAVVP20,FINSIT,FORCAND,GEOCODE,GOVTANGR16,GOVTANGR16B,HANDLECORONA20,HANDLEECON20,HEALTHBIDEN,HEALTHCAND20,HEALTHTRUMP,INC100K,INC30K,INC50K,INCOME3,INCOME20,INCWHITE,ISSUE20,ISSVQUAL20,LATINO,LGBT,LIFE,MARCHILD,MARRIED,NEC,NEC2,NEWVOTER,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT20,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACISM20,RACISM20B,REGION,REL5,RELIGN18,RELWHITE,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,SUPREME16,SUPREME16B,TELEPOLL,TEMPBIDEN,TEMPERAMENT20,TEMPTRUMP,TIME16,TIME16MONTH,TIME16WEEK,TRUMP2,TRUMP4,TRUMPWINGEN20,TRUMPWINGEN20B,UNIONHH12,VERSION,VETVOTER,VOTE2016,VOTEEXPERIENCE,VOTEEXPERIENCE2,VOTEMETHOD,WHITEREL,WHNCLINC,WHTEVANG,WORK,WORKSEX,WPROTBRN,WPROTBRN3,WRKWOMEN,WRKWOMEN4
114639.0,0.03857746606,Joe Biden,,,,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,All others,All others,Complete,,,,,,,,1.0,,,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,A moderate financial hardship,A severe financial hardship or a moderate financial hardship,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,Omit,Unfavorable,,,Omit,,,2.0,,,,,Joe Biden does not,Neither of them,Donald Trump does not,,,,,,,,,No,,Worse than life today,,,,,,,Independent/Something else,Non-black non-Democrat,All Other,Independent men,Something else,Independent Men,All others,,,,,,Other,Other,National questionnaire,Other,Non-white,Other,One of many important problems,The most important problem or one of many important problems,West,,,,Male,All other races,,"Cities over 500,000","Cities over 50,000",English,Colorado,Other,,,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,,,,Version 3,,,Very easy,Very easy or somewhat easy,By mail,,,,,,,,,
151608.0,0.0392047846,Joe Biden,,,,,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,All others,All others,Complete,Excited,Excited or optimistic,,,,,Call 3,1.0,,,,,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,,,,,For your candidate,2.0,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Joe Biden,Joe Biden,,,,,,,,,,,,No,,,,,Not so good,Not so good or poor,Yes,,Democrat,Non-black Democrat,All Other,Democratic men,Democrat,Democratic Men,Non-White Democrats,Liberal,2.0,Liberal Democrats,Liberal Democrats,,Other,Other,National questionnaire,Other,Non-white,Other,,,East,,,,Male,All other races,,"Cities over 500,000","Cities over 50,000",,District of Columbia,Other,,,Election day exit poll,,,,,,,,,Scared,Concerned or scared,No,Version 2,,Hillary Clinton,,,Election day,,,,Yes,Working men,,,All others,Working men
136570.0,0.03929164126,Joe Biden,,,,Keep it as is,30-44,30-59,35-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,,,The most important factor,Important,Factor,,Call 2,1.0,,,,,,,,,Election day,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Public health responsibility,Treats Black people unfairly,Favorable,Favorable,,,Only Biden,Unfavorable,,,,1.0,,,,,,,,,,,,,,Omit,My candidate's positions on the issues,No,,,,,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,,18.0,,,Is a strong leader,Black,Black,National questionnaire,Black,Non-white,Black,,,East,,,,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000",,Delaware,Other,,,Election day exit poll,,,,,,,,,,,,Version 1,,,,,Election day,,No,,,,,,,
151869.0,0.04060429495,Joe Biden,,,,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,Excited,Excited or optimistic,,,,,Call 3,4.0,,,,,,,,,Election day,Omit,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,,,,Omit,3.0,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Donald Trump,Joe Biden,,,,,,,,,,,,Yes,,,,,Good,Excellent or good,No,,,,,,,,,,91.0,,,,Other,Asian,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,,,East,,,,Female,Latino women,,Suburbs,Suburbs,, Maryland,Other,,,Election day exit poll,,,,,,,,,Omit,Omit,No,Version 2,,Omit,,,Election day,,,,Yes,Working women,,,Working women,Working women
114647.0,0.04086068362,Joe Biden,,,,,30-44,30-59,35-39,18-44,30-44,30-39,Non-Black 30-44,All others,All others,Complete,,,,,,,,,,,Somewhat badly,Somewhat badly or very badly,Not very confident or not at all confident,Not very confident,A severe financial hardship,A severe financial hardship or a moderate financial hardship,Absentee or early in-person,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,Favorable,Favorable,,,Both,,,3.0,,,,,Joe Biden does not,Only Donald Trump,Donald Trump does,,,,,,,,,No,,Better than life today,,,,,,,Democrat,Non-black Democrat,All Other,Democratic men,Democrat,Democratic Men,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Other,Other,National questionnaire,Other,Non-white,Other,One of many important problems,The most important problem or one of many important problems,West,,,,Male,All other races,,,,English,Colorado,Other,,,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,,,,Version 3,,,Somewhat easy,Very easy or somewhat easy,Early in-person,,,,,,,,,
123583.0,0.0409198037,Joe Biden,,Legal,Legal in all cases,,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,,,,,,No,Call 1,1.0,No,Yes,,,,,,,Election day,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,,,Worse today,,2.0,,,,,,,,,,,,,,,,,Yes,,All others,Yes,,,,Men without children,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Liberal,2.0,Liberal Democrats,Liberal Democrats,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,,,East,Something else,Other,,Male,Latino men,Married men,"Cities over 500,000","Cities over 50,000",,District of Columbia,Other,The most important factor,The most important factor or an important factor,Election day exit poll,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,,,,Version 4,No,,,,Election day,Non-white,,All others,,,No,,,
114633.0,0.04097195481,Joe Biden,,,,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,,,,,,,,4.0,,,Very badly,Somewhat badly or very badly,Not very confident or not at all confident,Not very confident,A moderate financial hardship,A severe financial hardship or a moderate financial hardship,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,Favorable,Unfavorable,,,Only Harris,,,1.0,,,,,Joe Biden does,Only Joe Biden,Donald Trump does not,,,,,,,,,Yes,,Worse than life today,,,,,,,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,One of many important problems,The most important problem or one of many important problems,West,,,,Female,Latino women,,Rural,Small Cities/Rural,English,Colorado,Other,,,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,,,,Version 3,,,Somewhat easy,Very easy or somewhat easy,By mail,,,,,,,,,
137122.0,0.04287953527,Joe Biden,,,,,30-44,30-59,30-34,18-44,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,,,,,,,Call 2,1.0,,,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,A severe financial hardship,A severe financial hardship or a moderate financial hardship,Election day,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,Favorable,Unfavorable,,,Only Harris,,,2.0,,,,,Joe Biden does,Only Joe Biden,Donald Trump does not,,,,,,,,,Yes,,Worse than life today,,,,,,,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,2.0,Liberal Democrats,Liberal Democrats,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,The most important problem,The most important problem or one of many important problems,East,,,,Female,Latino women,,"Cities over 500,000","Cities over 50,000",,District of Columbia,Other,,,Election day exit poll,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,,,,Version 3,,,Very easy,Very easy or somewhat easy,Election day,,,,,,,,,
115022.0,0.0434341679,Joe Biden,,,,Omit,,,,,,,,,,Complete,,,,,,,,9.0,,,,,,,,,Absentee or early in-person,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Public health responsibility,Omit,Favorable,Omit,,,Only Biden,Unfavorable,,,,3.0,,,,,,,,,,,,,,Omit,My candidate's personal qualities,,,,,,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Has good judgment,White,White,National questionnaire,White,White,,,,South,,,,Female,White women,,Suburbs,Suburbs,, North Carolina,White suburban women,,,Telephone survey,,,,,,,,,,,,Version 1,,,,,Early in-person,,,,,,,,,
137434.0,0.04557705521,Joe Biden,,,,,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete,Optimistic,Excited or optimistic,,,,,Call 2,1.0,,,,,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,,,,For your candidate,2.0,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Joe Biden,Joe Biden,,,,,,,,,,,,No,,,,,Not so good,Not so good or poor,No,,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Moderate,2.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Black,Black,National questionnaire,Black,Non-white,Black,,,East,,,,Male,Black men,,"Cities over 500,000","Cities over 50,000",,District of Columbia,Other,,,Election day exit poll,,,,,,,,,Scared,Concerned or scared,Yes,Version 2,,Hillary Clinton,,,Election day,,,,Yes,Working men,,,All others,Working men
123696.0,0.04601745738,Joe Biden,,,,,30-44,30-59,35-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,,,,,,,Call 1,1.0,,,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,A severe financial hardship,A severe financial hardship or a moderate financial hardship,Election day,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,Favorable,Unfavorable,,,Only Harris,,,2.0,,,,,Joe Biden does,Only Joe Biden,Donald Trump does not,,,,,,,,,No,,Better than life today,,,,,,,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,,2.0,,,,Black,Black,National questionnaire,Black,Non-white,Black,The most important problem,The most important problem or one of many important problems,East,,,,Male,Black men,,"Cities over 500,000","Cities over 50,000",,District of Columbia,Other,,,Election day exit poll,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,,,,Version 3,,,Very easy,Very easy or somewhat easy,Election day,,,,,,,,,
136905.0,0.04700451057,Joe Biden,,,,Overturn it,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,,,The most important factor,Important,Factor,,Call 2,1.0,,,,,,,,,Election day,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Public health responsibility,Treats Black people unfairly,Favorable,Favorable,,,Only Biden,Unfavorable,,,,2.0,,,,,,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and non white",Racial inequality,My candidate's positions on the issues,Yes,,,,,,,,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Something else,Independent Men,All others,Moderate,2.0,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,,,East,,,,Male,Latino men,,"Cities over 500,000","Cities over 50,000",,District of Columbia,Other,,,Election day exit poll,,,,,,,,,,,,Version 1,,,,,Election day,,No,,,,,,,
123463.0,0.04866176231,Joe Biden,,,,Keep it as is,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,,,An important factor,Important,Factor,,Call 1,1.0,,,,,,,,,Election day,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Public health responsibility,Treats Black people unfairly,Favorable,Favorable,,,Only Biden,Unfavorable,,,,2.0,,,,,,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and non white",Racial inequality,My candidate's positions on the issues,No,,,,,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Moderate,2.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Has good judgment,Black,Black,National questionnaire,Black,Non-white,Black,,,East,,,,Female,Black women,,"Cities over 500,000","Cities over 50,000",,District of Columbia,Other,,,Election day exit poll,,,,,,,,,,,,Version 1,,,,,Election day,,No,,,,,,,
138758.0,0.04869459807,Joe Biden,,,,Keep it as is,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,,An important factor,Important,Factor,,Call 2,1.0,,,,,,,,,Election day,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Personal choice,Treats all people fairly,Favorable,Favorable,,,Only Biden,Unfavorable,,,,1.0,,,,,,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",Racial inequality,My candidate's positions on the issues,No,,,,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Liberal,60.0,Moderate/Liberal Republicans,Liberal Independents,Can unite the country,White,White,National questionnaire,White,White,White,,,East,,,,Female,White women,,Suburbs,Suburbs,, Maryland,White suburban women,,,Election day exit poll,,,,,,,,,,,,Version 1,,,,,Election day,,Yes,,,,,,,
139178.0,0.05067586867,Joe Biden,,,,,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,All others,All others,Complete,Excited,Excited or optimistic,,,,,Call 2,4.0,,,,,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,,,,For your candidate,5.0,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Joe Biden,Joe Biden,,,,,,,,,,,,No,,,,,Good,Excellent or good,Yes,,Democrat,Non-black Democrat,All Other,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,94.0,Liberal Democrats,Liberal Democrats,,Other,Other,National questionnaire,Other,Non-white,Other,,,Midwest,,,,Female,All other races,,Rural,Small Cities/Rural,,Missouri,Other,,,Election day exit poll,,,,,,,,,Scared,Concerned or scared,No,Version 2,,Didn't vote,,,Election day,,,,No,Non-working women,,,All others,Non-working women
