ID,WEIGHT,PRSFL20,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BIDENWINGEN,BIDENWINGENB,CALL,CDNUM,CHILD12,CLIMATECHANGE,CONTAINCOVID,CONTAINCOVID2,COUNT2,COUNTACC,CUBAN,CUBANPR4,EARLYVELECTION,ECONVCORONA20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVPRES20,FAVTRUMP,FINSIT,FORCAND,GEOCODE,HANDLECORONA20,HANDLEECON20,ISSUE20,LATINO,LGBT,NEC,NEC2,NEWVOTER,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,PUERTORICAN,QLT20,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACISM20,RACISM20B,REGION,REL5,RELIGN18,RELWHITE,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TEMPBIDEN,TEMPERAMENT20,TEMPTRUMP,TIME16,TIME16MONTH,TIME16WEEK,TRUMP2,TRUMP4,TRUMPWINGEN20,TRUMPWINGEN20B,VERSION,VOTE2016,VOTEMETHOD
56949.0,3.63090417585,Joe Biden,30-44,30-59,35-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Excited,Excited or optimistic,,23.0,No,,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Somewhat confident,No,No,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,,Against his opponent,5.0,Joe Biden,Joe Biden,,No,No,Poor,Not so good or poor,No,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,No,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Catholic,Catholic,Catholic,Female,White women,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Scared,Concerned or scared,Version 2,,By mail
56950.0,6.56278546285,Joe Biden,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Excited,Excited or optimistic,,22.0,No,,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,No,No,Absentee or early in-person,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,Against his opponent,5.0,Joe Biden,Joe Biden,,No,No,Good,Excellent or good,No,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,No,,White,White,State questionnaire,White,White,White,The most important problem,The most important problem or one of many important problems,South,Protestant/Other Non-Catholic Christian,Protestant,Protestant/Other Non-Catholic Christian,Female,White women,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Scared,Concerned or scared,Version 2,,By mail
56951.0,1.36755950638,Joe Biden,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Excited,Excited or optimistic,,22.0,No,,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,No,No,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,For your candidate,5.0,Joe Biden,Joe Biden,,No,Yes,Not so good,Not so good or poor,No,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,No,,White,White,State questionnaire,White,White,White,The most important problem,The most important problem or one of many important problems,South,Protestant/Other Non-Catholic Christian,Other Christian,Protestant/Other Non-Catholic Christian,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Scared,Concerned or scared,Version 2,,By mail
56952.0,2.92810177559,Joe Biden,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,Optimistic,Excited or optimistic,,24.0,Yes,,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,No,"Yes, other Hispanic",Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,For your candidate,5.0,Joe Biden,Joe Biden,,Yes,No,Not so good,Not so good or poor,No,Men with children,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,No,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,One of many important problems,The most important problem or one of many important problems,South,Catholic,Catholic,,Male,Latino men,Suburbs,Suburbs,English,Florida,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Somewhat disapprove,Scared,Concerned or scared,Version 2,,By mail
56953.0,3.88134070212,Joe Biden,30-44,30-59,35-39,18-44,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,Optimistic,Excited or optimistic,,23.0,No,,Somewhat well,Very well or somewhat well,Very confident or somewhat confident,Somewhat confident,No,"Yes, Puerto Rican",Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,Against his opponent,5.0,Joe Biden,Joe Biden,,Yes,No,Good,Excellent or good,No,Men without children,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Yes,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,One of many important problems,The most important problem or one of many important problems,South,None,None,,Male,Latino men,Suburbs,Suburbs,English,Florida,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Somewhat disapprove,Concerned,Concerned or scared,Version 2,,By mail
56954.0,5.325467357,Joe Biden,65+,60+,65-74,45+,60+,65+,Non-Black 60+,All others,All others,Complete,Omit,Omit,,20.0,Yes,,Somewhat badly,Somewhat badly or very badly,Omit,Omit,No,No,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,For your candidate,5.0,Omit,Omit,,No,No,Poor,Not so good or poor,No,Women with children,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Something else,All others,Conservative,,Moderate/Liberal Republicans,Conservative Independents,No,,Other,Other,State questionnaire,Other,Non-white,Other,The most important problem,The most important problem or one of many important problems,South,Protestant/Other Non-Catholic Christian,Other Christian,,Female,All other races,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Omit,Omit,Version 2,,By mail
56955.0,5.49836948185,Joe Biden,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Excited,Excited or optimistic,,20.0,No,,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Somewhat confident,No,No,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,For your candidate,5.0,Joe Biden,Joe Biden,,No,No,Poor,Not so good or poor,No,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,No,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Protestant/Other Non-Catholic Christian,Protestant,Protestant/Other Non-Catholic Christian,Female,White women,Suburbs,Suburbs,English,Florida,White suburban women,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Scared,Concerned or scared,Version 2,,By mail
56956.0,2.92534354503,Joe Biden,65+,60+,65-74,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,Excited,Excited or optimistic,,20.0,No,,Somewhat well,Very well or somewhat well,Not very confident or not at all confident,Not very confident,No,No,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,For your candidate,5.0,Joe Biden,Joe Biden,,No,No,Poor,Not so good or poor,No,Men without children,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,No,,Black,Black,State questionnaire,Black,Non-white,Black,The most important problem,The most important problem or one of many important problems,South,Something else,Other,,Male,Black men,Suburbs,Suburbs,English,Florida,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Scared,Concerned or scared,Version 2,,By mail
56957.0,11.39169540894,Joe Biden,65+,60+,65-74,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,Excited,Excited or optimistic,,24.0,No,,Very badly,Somewhat badly or very badly,Omit,Omit,No,No,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Omit,5.0,Joe Biden,Joe Biden,,No,No,Poor,Not so good or poor,No,Women without children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,,,,,No,,Black,Black,State questionnaire,Black,Non-white,Black,The most important problem,The most important problem or one of many important problems,South,Protestant/Other Non-Catholic Christian,Other Christian,,Female,Black women,Suburbs,Suburbs,English,Florida,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Scared,Concerned or scared,Version 2,,By mail
56958.0,3.66353386303,Joe Biden,65+,60+,65-74,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,Optimistic,Excited or optimistic,,23.0,No,,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Somewhat confident,No,No,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,Against his opponent,5.0,Joe Biden,Joe Biden,,No,No,Not so good,Not so good or poor,No,Women without children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,No,,Black,Black,State questionnaire,Black,Non-white,Black,One of many important problems,The most important problem or one of many important problems,South,Protestant/Other Non-Catholic Christian,Other Christian,,Female,Black women,Suburbs,Suburbs,English,Florida,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Concerned,Concerned or scared,Version 2,,By mail
56959.0,7.36078602116,Joe Biden,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,Excited,Excited or optimistic,,21.0,No,,Very badly,Somewhat badly or very badly,Not very confident or not at all confident,Not very confident,No,No,Absentee or early in-person,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,Against his opponent,5.0,Joe Biden,Joe Biden,,No,No,Not so good,Not so good or poor,No,Women without children,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,Independent,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,No,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,The most important problem,The most important problem or one of many important problems,South,Catholic,Catholic,,Female,Latino women,Suburbs,Suburbs,English,Florida,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Scared,Concerned or scared,Version 2,,By mail
56960.0,1.74001482982,Joe Biden,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Optimistic,Excited or optimistic,,21.0,No,,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,No,No,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,Against his opponent,5.0,Joe Biden,Joe Biden,,No,No,Not so good,Not so good or poor,No,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,No,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Something else,Muslim,Something else,Male,White men,Suburbs,Suburbs,English,Florida,White suburban men,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Scared,Concerned or scared,Version 2,,By mail
56961.0,5.69278386606,Joe Biden,65+,60+,65-74,45+,60+,65+,Non-Black 60+,Latino 60+,Latino 65+,Complete,Excited,Excited or optimistic,,23.0,No,,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,No,"Yes, Puerto Rican",Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,For your candidate,5.0,Joe Biden,Joe Biden,,Yes,No,Not so good,Not so good or poor,No,Men without children,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Yes,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,The most important problem,The most important problem or one of many important problems,South,Catholic,Catholic,,Male,Latino men,Suburbs,Suburbs,English,Florida,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Concerned,Concerned or scared,Version 2,,By mail
56962.0,5.87761107839,Joe Biden,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,Latino 60+,Latino 45-64,Complete,Optimistic,Excited or optimistic,,23.0,No,,Very badly,Somewhat badly or very badly,Not very confident or not at all confident,Not very confident,No,No,Absentee or early in-person,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,Against his opponent,5.0,Joe Biden,Joe Biden,,No,No,Not so good,Not so good or poor,No,Men without children,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,No,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,One of many important problems,The most important problem or one of many important problems,South,Catholic,Catholic,,Male,Latino men,Suburbs,Suburbs,English,Florida,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Scared,Concerned or scared,Version 2,,By mail
56963.0,1.41196022985,Joe Biden,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Excited,Excited or optimistic,,24.0,No,,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,No,No,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,For your candidate,5.0,Joe Biden,Joe Biden,,No,No,Not so good,Not so good or poor,No,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,No,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Jewish,Jewish,Jewish,Male,White men,Suburbs,Suburbs,English,Florida,White suburban men,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Scared,Concerned or scared,Version 2,,By mail
56964.0,2.78938342301,Joe Biden,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Optimistic,Excited or optimistic,,23.0,No,,Somewhat badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,No,No,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,For your candidate,5.0,Joe Biden,Joe Biden,,No,No,Not so good,Not so good or poor,No,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,No,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,None,None,None,Male,White men,Suburbs,Suburbs,English,Florida,White suburban men,Telephone survey,,,,,,,Strongly or somewhat disapprove,Somewhat disapprove,Concerned,Concerned or scared,Version 2,,By mail
56965.0,9.09630511517,Joe Biden,65+,60+,75 or older,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,Excited,Excited or optimistic,,20.0,No,,Somewhat badly,Somewhat badly or very badly,Very confident or somewhat confident,Somewhat confident,No,No,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,For your candidate,5.0,Joe Biden,Joe Biden,,No,No,Not so good,Not so good or poor,No,Men without children,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,No,,Black,Black,State questionnaire,Black,Non-white,Black,One of many important problems,The most important problem or one of many important problems,South,Protestant/Other Non-Catholic Christian,Other Christian,,Male,Black men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Omit,Omit,Version 2,,By mail
