ExternalID,PRSCA20,HOUCA20,WEIGHT,ABORT2,ABORTION,ACASUPREME,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BIDENWINGEN,BIDENWINGENB,BREAK12,BREAK12A,BREAK12B,BRNAGAIN,CALL,CDNUM,CHILD12,CLIMATECHANGE,CONTAINCOVID,CONTAINCOVID2,COUNT2,COUNTACC,COVIDHARDSHIP,COVIDHARDSHIP2,EARLYVELECTION,ECONVCORONA20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FACEMASKS,FAIRJUSTICE20,FAVBIDEN2,FAVBLM,FAVHARRIS,FAVPENCE,FAVPRES20,FAVTRUMP,FAVVP20,FINSIT,FORCAND,GEOCODE,GOVTANGR16,GOVTANGR16B,HANDLECORONA20,HANDLEECON20,HEALTHBIDEN,HEALTHCAND20,HEALTHTRUMP,INC100K,INC30K,INC50K,INCOME3,INCOME20,INCWHITE,ISSUE20,ISSVQUAL20,LATINO,LGBT,LIFE,MARCHILD,MARRIED,NEC,NEC2,NEWVOTER,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT20,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACISM20,RACISM20B,REGION,REL5,RELIGN18,RELWHITE,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,SUPREME16,SUPREME16B,TELEPOLL,TEMPBIDEN,TEMPERAMENT20,TEMPTRUMP,TIME16,TIME16MONTH,TIME16WEEK,TRUMP2,TRUMP4,TRUMPWINGEN20,TRUMPWINGEN20B,UNIONHH12,VERSION,VETVOTER,VOTE2016,VOTEEXPERIENCE,VOTEEXPERIENCE2,VOTEMETHOD,WHNCLINC,WHTEVANG,WORK,WORKSEX,WPROTBRN,WPROTBRN3,WRKWOMEN,WRKWOMEN4
1172.0,Donald Trump,A Republican candidate,0.65691227036,Illegal,Illegal in most cases,,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,,,,Yes,,41.0,No,Yes,,,,,,,Absentee or early in-person,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,,,,Worse today,,2.0,,,,,,,,,,,,,,,,No,No,,All others,No,,,,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,National questionnaire,White,White,White,,,West,Protestant/Other Non-Catholic Christian,Protestant,Protestant/Other Non-Catholic Christian,Female,White women,Non married women,Suburbs,Suburbs,English,California,White suburban women,An important factor,The most important factor or an important factor,Telephone survey,No,Only Donald Trump does,Yes,Before that,Before that,Before that,,,,,,Version 4,No,,,,Early in-person,,White Born-again/Evangelical Christians,,,Yes,White Protestant evangelical,,
1173.0,Joe Biden,A Democratic candidate,4.01520540965,Legal,Legal in all cases,,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete,,,,,,Yes,,43.0,Yes,Yes,,,,,,,Absentee or early in-person,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,,,Worse today,,4.0,,,,,,,,,,,,,,,,No,No,,All others,No,,,,Men with children,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Conservative,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Black,Black,National questionnaire,Black,Non-white,Black,,,West,None,None,,Male,Black men,Non married men,"Cities over 500,000","Cities over 50,000",English,California,Other,The most important factor,The most important factor or an important factor,Telephone survey,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,,,,Version 4,No,,,,Early in-person,,All others,,,No,,,
1173.0,Donald Trump,A Republican candidate,0.09232448559,,,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,,,,,,,19.0,,,Somewhat well,Very well or somewhat well,Very confident or somewhat confident,Very confident,A moderate financial hardship,A severe financial hardship or a moderate financial hardship,Absentee or early in-person,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,Favorable,Favorable,,,Both,,,3.0,,,,,Joe Biden does not,Only Donald Trump,Donald Trump does,,,,,,,,,No,,Worse than life today,,,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,National questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,West,,,,Male,White men,,Suburbs,Suburbs,English,California,White suburban men,,,Telephone survey,,,,,,,Strongly or somewhat approve,Strongly approve,,,,Version 3,,,Very easy,Very easy or somewhat easy,By mail,,,,,,,,
1174.0,Joe Biden,A Democratic candidate,0.121007504,,,,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete,,,,,,,,43.0,,,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,A moderate financial hardship,A severe financial hardship or a moderate financial hardship,Absentee or early in-person,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,Favorable,Unfavorable,,,Only Harris,,,4.0,,,,,Joe Biden does,Only Joe Biden,Donald Trump does not,,,,,,,,,No,,Better than life today,,,,,,,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Black,Black,National questionnaire,Black,Non-white,Black,The most important problem,The most important problem or one of many important problems,West,,,,Male,Black men,,Suburbs,Suburbs,English,California,Other,,,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,,,,Version 3,,,Somewhat difficult,Somewhat difficult or very difficult,By mail,,,,,,,,
1174.0,Joe Biden,A Democratic candidate,1.05768962946,Legal,Legal in most cases,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,,,,No,,45.0,No,Yes,,,,,,,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,,,,Worse today,,5.0,,,,,,,,,,,,,,,,No,No,,All others,Yes,,,,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,National questionnaire,White,White,White,,,West,Protestant/Other Non-Catholic Christian,Protestant,Protestant/Other Non-Catholic Christian,Female,White women,Married women,Suburbs,Suburbs,English,California,White suburban women,An important factor,The most important factor or an important factor,Telephone survey,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,,,,Version 4,No,,,,Early in-person,,All others,,,No,White Protestant non-evangelical,,
1175.0,Joe Biden,A Democratic candidate,1.0775582955,Legal,Legal in most cases,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,,,,No,,18.0,No,Yes,,,,,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,,,,Worse today,,3.0,,,,,,,,,,,,,,,,No,No,,All others,Yes,,,,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,National questionnaire,White,White,White,,,West,Protestant/Other Non-Catholic Christian,Other Christian,Protestant/Other Non-Catholic Christian,Female,White women,Married women,Suburbs,Suburbs,English,California,White suburban women,Not a factor at all,A minor factor or not a factor at all,Telephone survey,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,,,,Version 4,No,,,,Early in-person,,All others,,,No,White Protestant non-evangelical,,
1175.0,Donald Trump,A Democratic candidate,0.09427011184,,,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,,,,,,,,21.0,,,Very well,Very well or somewhat well,Not very confident or not at all confident,Not at all confident,A moderate financial hardship,A severe financial hardship or a moderate financial hardship,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,Unfavorable,Favorable,,,Only Pence,,,2.0,,,,,Joe Biden does not,Only Donald Trump,Donald Trump does,,,,,,,,,Yes,,Worse than life today,,,,,,,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Not a problem at all,A minor problem or not a problem at all,West,,,,Male,Latino men,,"Cities 50,000-500,000","Cities over 50,000",English,California,Other,,,Telephone survey,,,,,,,Strongly or somewhat approve,Strongly approve,,,,Version 3,,,Very difficult,Somewhat difficult or very difficult,By mail,,,,,,,,
1176.0,Donald Trump,A Republican candidate,2.79649526498,,,,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,,,,,,26.0,,,Somewhat well,Very well or somewhat well,Very confident or somewhat confident,Very confident,A moderate financial hardship,A severe financial hardship or a moderate financial hardship,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Unfavorable,Favorable,,,Only Pence,,,1.0,,,,,Joe Biden does not,Only Donald Trump,Donald Trump does,,,,,,,,,No,,About the same,,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,National questionnaire,White,White,White,A minor problem,A minor problem or not a problem at all,West,,,,Male,White men,,"Cities 10,000-50,000",Small Cities/Rural,English,California,Other,,,Telephone survey,,,,,,,Strongly or somewhat approve,Somewhat approve,,,,Version 3,,,Very easy,Very easy or somewhat easy,By mail,,,,,,,,
1176.0,Donald Trump,A Republican candidate,1.0308101677,Legal,Legal in most cases,,,,,,,,,,,Complete,,,,,,Yes,,14.0,No,No,,,,,,,Absentee or early in-person,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,,,,Better today,,3.0,,,,,,,,,,,,,,,,No,No,,All others,No,,,,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Liberal,,Conservative Republicans,Mod./Liberal Republicans,,White,White,National questionnaire,White,White,White,,,West,Something else,Other,Something else,Male,White men,Non married men,Suburbs,Suburbs,English,California,White suburban men,The most important factor,The most important factor or an important factor,Telephone survey,No,Only Donald Trump does,Yes,In the last week,In the last month,In the last week,,,,,,Version 4,Yes,,,,Early in-person,,White Born-again/Evangelical Christians,,,No,All others,,
1177.0,Donald Trump,A Republican candidate,9.77453824652,,,,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,,,,,,,8.0,,,Somewhat well,Very well or somewhat well,Not very confident or not at all confident,Not at all confident,No financial hardship at all,No financial hardship at all,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,Unfavorable,Favorable,,,Only Pence,,,2.0,,,,,Joe Biden does not,Only Donald Trump,Donald Trump does,,,,,,,,,No,,Better than life today,,,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,National questionnaire,White,White,White,Not a problem at all,A minor problem or not a problem at all,West,,,,Female,White women,,Suburbs,Suburbs,English,California,White suburban women,,,Telephone survey,,,,,,,Strongly or somewhat approve,Strongly approve,,,,Version 3,,,Somewhat difficult,Somewhat difficult or very difficult,By mail,,,,,,,,
1178.0,Joe Biden,A Democratic candidate,3.60557842579,,,,,,,,,,,,,Complete,,,,,,,,34.0,,,Very badly,Somewhat badly or very badly,Omit,Omit,Omit,Omit,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,Favorable,Omit,,,Only Harris,,,4.0,,,,,Joe Biden does,Only Joe Biden,Donald Trump does not,,,,,,,,,Yes,,Better than life today,,,,,,,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,Other,,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Not a problem at all,A minor problem or not a problem at all,West,,,,Male,Latino men,,"Cities over 500,000","Cities over 50,000",English,California,Other,,,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,,,,Version 3,,,Very easy,Very easy or somewhat easy,By mail,,,,,,,,
1178.0,Donald Trump,A Republican candidate,3.75771851682,Illegal,Illegal in most cases,,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete,,,,,,Yes,,1.0,No,No,,,,,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,,,Better today,,2.0,,,,,,,,,,,,,,,,No,No,,All others,No,,,,Men without children,Republican,Black non-Democrat,All Republicans,Republican men,Republican,Republican Men,All others,Conservative,,Independent/Something else,Conservative Republicans,,Black,Black,National questionnaire,Black,Non-white,Black,,,West,Protestant/Other Non-Catholic Christian,Protestant,,Male,Black men,Non married men,Rural,Small Cities/Rural,English,California,Other,The most important factor,The most important factor or an important factor,Telephone survey,No,Only Donald Trump does,Yes,In October,In the last month,Before that,,,,,,Version 4,No,,,,Early in-person,,All others,,,No,,,
1178.0,Donald Trump,A Republican candidate,0.2307927543,Illegal,Illegal in most cases,,30-44,30-59,30-34,18-44,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,,,,,,No,,44.0,No,Yes,,,,,,,Absentee or early in-person,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,,,Better today,,4.0,,,,,,,,,,,,,,,,Yes,No,,All others,No,,,,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,All others,Moderate,,Conservative Republicans,Mod./Liberal Republicans,,Other,White,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,,,West,None,None,,Male,Latino men,Non married men,"Cities over 500,000","Cities over 50,000",English,California,Other,An important factor,The most important factor or an important factor,Telephone survey,No,Neither of them do,No,In September,Before that,Before that,,,,,,Version 4,No,,,,By mail,,All others,,,No,,,
1179.0,Joe Biden,A Democratic candidate,0.19019692444,,,,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,,,,,,33.0,,,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,No financial hardship at all,No financial hardship at all,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,Favorable,Unfavorable,,,Only Harris,,,4.0,,,,,Joe Biden does,Only Joe Biden,Donald Trump does not,,,,,,,,,No,,Better than life today,,,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,National questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,West,,,,Male,White men,,Suburbs,Suburbs,English,California,White suburban men,,,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,,,,Version 3,,,Very easy,Very easy or somewhat easy,By mail,,,,,,,,
